phone,website,location,moreInfoLink,name,startDate,venue,price,description,endDate
602-354-8150,http://www.azfairtrade.com/,"1020 N. First Ave. Phoenix, AZ, 85003",http://www.azcentral.com/thingstodo/music/Open_Mic_Night_318086163064,Open Mic Night,04/06/2010,Fair Trade Cafe & Gallery,No cover,"This downtown Phoenix coffeehouse welcomes local musicians, performance artists and poets to this weekly, all-acoustic open mic night. All genres and styles welcome, with mics and amps provided. Hosted by James Claymon and Jason Lynn",04/13/2027
602-200-8121,http://www.clubcentralphx.com/,"3110 N. Central, Suite 140 Phoenix, AZ, 85012",http://www.azcentral.com/thingstodo/music/Club_Central_288163388136,Club Central,,Club Central,$10 cover charge after 7 p.m. Fridays,"Nestled in a cozy corner of Park Central, this bi-level club brings in some of the best jazz and blues musicians in the nation. A dress code is strictly enforced on Friday nights, when the first floor gets packed for karaoke and a DJ spins R&amp;B and hip-hop tunes upstairs. Think you’re funny? See if others agree on Wednesdays, open-mike comedy nights.",
602-230-0205,http://www.charshastheblues.com,"4631 N. Seventh Ave. Phoenix, AZ, 85013",http://www.azcentral.com/thingstodo/music/Lady_J_802413719893,Lady J,,Char's Has the Blues,Free,The R&amp;B singer performs.,
602-225-9000,http://www.chuckebaby.com,"The Buttes 2000 Westcourt Way Tempe, AZ, 85282",http://www.azcentral.com/thingstodo/music/Chuck_E._Baby_and_the_All_Stars_732416829496,Chuck E. Baby and the All Stars,04/17/2010,Thirsty Cactus,"Free, menu items vary","This local band rocks this resort bar every Saturday night, performing a range of classic rock tunes, blues tracks and original songs. Songs off the group's first album, ""Never in a Million Years,"" were picked up by MTV and used in several episodes of the series ""The Real World.""",03/27/2027
480-945-2606,http://www.eldoradobarandgrill.com,"8708 E. McDowell Road Scottsdale, AZ, 85257",http://www.azcentral.com/thingstodo/music/El_Dorado_Bar_and_Grill_751802195935,El Dorado Bar and Grill,,El Dorado Bar and Grill,,"Keep yourself entertained at this neighborhood spot with televisions, dart boards and pool tables, or sing a tune during karaoke nights held Sunday-Wednesday and Friday beginning at 8 p.m.",
480-782-5550,http://www.dvinewine101.com,"3990 S. Alma School Road Chandler, AZ, 85248",http://www.azcentral.com/thingstodo/music/Soulcatcher_506665386637,Soulcatcher,,D'Vine Bistro & Wine Bar,,The blues band performs.,
480-899-5299,http://www.truetolifetheband.com,"1451 E. Williams Field Road, Suite 108 Gilbert, AZ, 85295",http://www.azcentral.com/thingstodo/music/True_to_Life_731102145584,True to Life,,Warren's Jazz Bistro,Free,"This Phoenix cover band performs a range of genres, touching on dance, latin, disco, country, classic RNB and today's Top 40 hits. The band hits the stage Wednesday nights.",
480-502-9095,http://www.sassi.biz/,"10455 E. Pinnacle Peak Parkway Scottsdale, AZ, 85255",http://www.azcentral.com/thingstodo/music/Renee_Patrick_911266413620,Renee Patrick,02/13/2010,Sassi,"No cover, menu items vary","This Phoenix based pop/gospel/jazz artist comes from a musical family. Her father was a member of the doo-wop group the Ink Spots, and her mother recorded duets with Terry Johnson of the Flamingos. Patrick performs pop and jazz tunes with emotion and energy.",02/26/2033
480-423-0117,http://www.myspace.com/crownroom,"7419 E. Indian Plaza Scottsdale, AZ, 85251",http://www.azcentral.com/thingstodo/music/Manic_Mondays_709977907230,Manic Mondays,11/01/2010,Crown Room,No cover,"Monday night can get a little crazy at this Scottsdale hangout, as DJ Steel starts the workweek off with his eclectic mix of classic and indie-rock, as well as plenty of electro beats.",02/28/2011
602-264-1700,,"4343 N. Seventh Ave Phoenix, AZ, 85017",http://www.azcentral.com/thingstodo/music/Electrostatic_463510119601,Electrostatic,,Club Sanctum,"No cover, menu items vary","This hipster dance party used to draw huge crowds to both Glam and the Homme Lounge, but now that those clubs have closed, DJ Joshie and Benni Beatnik have moved their Tuesday night party to this new central Phoenix hotspot. Spinning a mix of nu-disco, drum 'n' bass, dubstep and indie-rock, the night also features DJs Bigie, the Ariel and Kid Turnswell.",
480-967-4777,http://www.myspace.com/yuccatap,"29 W. Southern Ave. Tempe, AZ, 85282",http://www.azcentral.com/thingstodo/music/Dirty_Funk_237234454077,Dirty Funk,,Yucca Tap Room,"No cover, menu items vary","DJ Pickster One keeps things low key and funky at this bi-weekly nightlife party, spinning a mix of funk jams, rare grooves and ’70s psych rock. Expect plenty of guests to hit the decks alongside Pickster, including Meaty Ogre, Brad B. from the Drunken Immortals and Tenski. Event runs every other Tuesday.",
480-596-2660,,"6110 N. Scottsdale Road Scottsdale, AZ, 85253",http://www.azcentral.com/thingstodo/music/Young_Sounds_of_Arizona_552953259230,Young Sounds of Arizona,02/27/2011,ASU Kerr Cultural Center,$7 - $10,"This big band features 40 students from more than 20 schools in the Phoenix area. Formed in 1971, the group continues to highlight young, local talent. The band performs classic jazz standards and big-band hits.",
480-303-2474,http://www.pinnacleconcerts.org,"25150 N. Pima Road Scottsdale, AZ, 85255",http://www.azcentral.com/thingstodo/music/Pinnacle_Concert_Series:_Harry_James_Orchestra_900392783525,Pinnacle Concert Series: Harry James Orchestra,03/06/2011,Pinnacle Presbyterian Church,$5 - $40,"One of the biggest names of the big band era, Harry James was well known for his trumpet virtuosity; his wife, Betty Grable; and his lead singer, Frank Sinatra. Though James died in 1983, the Harry James Orchestra has continued his trademark sound with mellow arrangements and a complex rhythm section, performing under the direction of trumpet virtuoso Fred Radke.",
480-303-2474,http://www.pinnacleconcerts.org,"25150 N. Pima Road Scottsdale, AZ, 85255",http://www.azcentral.com/thingstodo/music/Pinnacle_Concert_Series:_Groove_for_Thought_803544884550,Pinnacle Concert Series: Groove for Thought,03/18/2011,Pinnacle Presbyterian Church,$5 - $40,"This seven-piece Seattle vocal group has been pleasing crowds around the country with a soulful blend of jazz and R&amp;B. The group performs original songs, along with tunes by Billy Joel and Bill Withers.",
623-974-5637,http://www.willowbrookumc.org,"19390 N. 99th Ave. Sun City, AZ, 85373",http://www.azcentral.com/thingstodo/music/Willowbrook_Performing_Arts_Series:_Desert_Brass_Band_758392437135,Willowbrook Performing Arts Series: Desert Brass Band,03/27/2011,Willowbrook United Methodist Church,$5,"The Desert Brass Band performs an evening of classic big-band music, including hits from the 1940s and '50s, under the direction of Charles Musgrave.",
480-303-2474,http://www.pinnacleconcerts.org,"25150 N. Pima Road Scottsdale, AZ, 85255",http://www.azcentral.com/thingstodo/music/Pinnacle_Concert_Series:_Dixieland_Ramblers_303634965702,Pinnacle Concert Series: Dixieland Ramblers,04/01/2011,Pinnacle Presbyterian Church,$5 - $40,"Formed in 1957 by clarinetist Mike Bennett and drummer Tom Stevenson, this band combines New Orleans jazz, swing and mainstream jazz styles. The group has released four albums and performs their tunes on piano, bass, drums, clarinet, trumpet and trombone.",
480-596-2660,,"6110 N. Scottsdale Road Scottsdale, AZ, 85253",http://www.azcentral.com/thingstodo/music/Fred_Forney’s_Arizona_Jazz_Masterworks_Orchestra:_&quot;They_Came_to_Swing!&quot;_571285710270,"Fred Forney’s Arizona Jazz Masterworks Orchestra: ""They Came to Swing!""",04/06/2011,ASU Kerr Cultural Center,$24 - $29,"Trumpeter Fred Forney leads the Arizona Jazz Masterworks Orchestra in a big-band celebration of Duke Ellington, Count Basie, Benny Goodman, Jelly Roll Morton and many more. The show includes new works by contemporary composers Vince Mendoza, John Clayton, Bob Brookmeyer and Maria Schneider.",
480-478-6000,http://www.themim.org,"4725 E. Mayo Blvd. Phoenix, AZ, 85050",http://www.azcentral.com/thingstodo/music/Ken_Waldman:_Alaska's_Fiddling_Poet_472203578959,Ken Waldman: Alaska's Fiddling Poet,04/30/2011,MIM Music Theater,$25,"Old-time fiddle music is paired with original poetry from storyteller, Ken Waldman.",
623.935.6384,http://www.westvalleyarts.org,"13243 N. Founders Park Blvd. Surprise, AZ, 85379",http://www.azcentral.com/thingstodo/music/West_Valley_Arts_Council:_Be_Bop_Revolution_and_Margo_Reed_428184119265,West Valley Arts Council: Be Bop Revolution and Margo Reed,05/19/2011,Marley Park Heritage Pool House,$2 - $5,"Local jazz favorite and Arizona Blues Hall of Famer Margo Reed teams up with Armand Boatman and the Be Bop Revolution for a night of high-energy jazz. The group performs material by Charlie Parker, Bud Powell, Dizzy Gillespie, Tadd Dameron and Hank Mobley, as well as original swing and bob songs.",
602-225-9000,http://www.chuckebaby.com,"The Buttes 2000 Westcourt Way Tempe, AZ, 85282",http://www.azcentral.com/thingstodo/music/Chuck_E._Baby_and_the_All_Stars_168100934911,Chuck E. Baby and the All Stars,04/10/2010,Tequila on the Rocks,"Free, menu items vary","This local band rocks this resort bar every Saturday night, performing a range of classic rock tunes, blues track and original songs. Songs off the group's first album, ""Never in a Million Years,"" were picked up by MTV and used in several episodes of the hit series ""The Real World.""",03/09/2019
480-289-4222,http://www.mccoolsbarandgrill.com,"4910 W. Ray Road Chandler, AZ, 85226",http://www.azcentral.com/thingstodo/music/Open_Blues_Jam_405053605329,Open Blues Jam,04/11/2010,McCool's Bar and Grill,No cover,"This weekly Sunday night blues jam welcomes all players and singers. Drums, bass amp and PA provided. Players bring their own instruments.",04/13/2025
602-230-0205,http://www.charshastheblues.com,"4631 N. Seventh Ave. Phoenix, AZ, 85013",http://www.azcentral.com/thingstodo/music/Soul_Power_532415976218,Soul Power,,Char's Has the Blues,Free,The blues band performs.,
602-230-0205,http://www.charshastheblues.com,"4631 N. Seventh Ave. Phoenix, AZ, 85013",http://www.azcentral.com/thingstodo/music/Bam_Bam_Jam_Session_150048612104,Bam Bam Jam Session,,Char's Has the Blues,,"This house-turned-nightclub provides an intimate atmosphere this rollicking jam session, which includes R&amp;B, Motown, funk and soul music. The venue was purchased by a gentleman who turned it into a blues club and then gave it to his wife Charlene, for a birthday present.",
602-248-9461,http://www.stinkweeds.com,"12 W. Camelback Road Phoenix, AZ, 85013",http://www.azcentral.com/thingstodo/music/Blues_Brunch_349572318838,Blues Brunch,,Stinkweeds,Free,"Stinkweeds is an independently owned and operated music store and Web site that guarantees personalized service from people who love music. On Sundays, Stickweeds opens their doors with local acoustic blues players for a blues brunch. Coffee and danishes are offered. Everyone is welcome to come and enjoy the show.",
602-224-0225,http://www.vincentsoncamelback.com/,"3930 E. Camelback Road Phoenix, AZ, 85018",http://www.azcentral.com/thingstodo/music/Live_Entertainment_821912495997,Live Entertainment,,Vincent on Camelback,Free,"This weekend entertainment option features local entertainment from valley musicians. Hear jazz selections performed by Cindy Francois, Jerry Howard, Bridget Maynes and Auggie Mendoza. Complimentary appetizers are served.",
480-443-8555,http://www.mastrosrestaurants.com,"15045 N. Kierland Blvd. Phoenix, AZ, 85054",http://www.azcentral.com/thingstodo/music/Steve_Kostakes_860350991188,Steve Kostakes,,Mastro's Ocean Club,Free,"The keyboard player and vocalist plays smooth jazz and blues in the ""O"" Bar.",
480-558-4168,http://www.dirtygoat.com,"3495 E. Baseline Road Gilbert, AZ, 85234",http://www.azcentral.com/thingstodo/music/Blues_Jam_Night_813224863738,Blues Jam Night,,Heather's Wild Hare,Free.,Hosted by Louis Zachary and his band Too Deep.,
480-644-6500,,"1 E. Main St. Mesa, AZ, 85211",http://www.azcentral.com/thingstodo/music/&quot;Ricky_Nelson_Remembered&quot;_875331085803,"""Ricky Nelson Remembered""",03/05/2011,Mesa Arts Center,$37,"This multimedia tribute honors Rock and Roll Hall of Famer Ricky Nelson, who died in a plane crash in 1985. The singer's twin sons, Matthew and Gunnar, perform of some of Nelson's biggest hits, including ""Hello Mary Lou,"" ""Travelin' Man"" and ""Garden Party.""",
877-598-8497 602-379-2800,,"400 W. Washington St. Phoenix, AZ, 85003",http://www.azcentral.com/thingstodo/music/The_Pink_Floyd_Experience_418502985051,The Pink Floyd Experience,03/26/2011,Comerica Theatre,$28 - $38,"Re-creating the classic music of beloved psychedelic rock pioneers Pink Floyd, this world-renown tribute band offers an over-the-top stage show to match. The show features six musicians playing songs such as ""Money,” “Wish You Were Here,” “Time,” “Comfortably Numb” and “Another Brick in the Wall,” accompanied by interpretive videos, plane crashes, a flying pig, a helicopter and other stage stunts.",
480-782-2680,http://www.chandlercenter.org,"250 N. Arizona Ave. Chandler, AZ, 85225",http://www.azcentral.com/thingstodo/music/Hotel_California:_A_Salute_to_the_Eagles_816493721320,Hotel California: A Salute to the Eagles,04/16/2011,Chandler Center for the Arts,$20 - $32,"The band pays tribute to the classic rockers whose sound incorporates elements of country and R&amp;B. Hear hits by the Eagles, including ""Hotel California,"" ""Take It Easy,"" ""Heartache Tonight"" and ""Love Will Keep Us Alive.""",
480-941-4700,http://www.mastrosrestaurants.com,"6991 E. Camelback Road Scottsdale, AZ, 85251",http://www.azcentral.com/thingstodo/music/The_Dianne_Lindsay_Band_564099949936,The Dianne Lindsay Band,,Mastro's City Hall Steakhouse,Free,The soul/rock band performs for dinner patrons.,
480-897-0025,,"2350 E. Southern Ave. Tempe, AZ, 85282",http://www.azcentral.com/thingstodo/music/Chuck_E._Baby_904052313233,Chuck E. Baby,,Manuel's Mexican Restaurant and Cantina,,The band performs.,
602-992-1122,http://www.fatsospizza.com,"3131 E. Thunderbird Road Phoenix, AZ, 85032",http://www.azcentral.com/thingstodo/music/Live_Music_330552571015,Live Music,,Fatso's Pizza,"No cover, menu prices vary","Listen to live music while you eat pizzas, such as the Bar-B-Que Fat Chick, which has white-meat chicken, barbecue sauce, red onion and mozzarella with pineapple. Or try an oven-baked sandwich like the Fat Boy Special, made with ham, turkey, provolone and Swiss cheese.",
480-348-2445,http://www.fridays.com/,"7435 E. Frank Lloyd Wright Blvd. Scottsdale, AZ, 85260",http://www.azcentral.com/thingstodo/music/Chuck_Peterson_and_Blue_Coda_720113482251,Chuck Peterson and Blue Coda,,TGI Friday's,Free.,The musicians play rock.,
480-558-4168,,"3495 E. Baseline Road Gilbert, AZ, 85234",http://www.azcentral.com/thingstodo/music/Live_Entertainment_405581442271,Live Entertainment,,Heather's Wild Hare,,Bands play a mix of classic and alternative rock.,
480-782-5550,http://www.myspace.com/matthewthornton5,"3990 S. Alma School Road Chandler, AZ, 85248",http://www.azcentral.com/thingstodo/music/Matthew_Thornton_412524915311,Matthew Thornton,05/25/2010,D'Vine Bistro & Wine Bar,No cover,"This Tempe singer-songwriter combines his dark baritone voice and delicate tunes with grand, experimental soundscapes, resulting in a sound reminiscent of U2, Coldplay and Radiohead. Thornton performs at D'Vine Tuesday evenings.",05/17/2011
480-966-0707,http://www.myspace.com/xtraticketband,"910 N. McClintock Drive Tempe, AZ, 85281",http://www.azcentral.com/thingstodo/music/Xtra_Ticket_748268983184,Xtra Ticket,06/03/2010,910 Live,$6,"Thursday nights, jam out to the songs of the Grateful Dead with Tempe tribute band Xtra Ticket. Each character in the group, which has been together since 1994, takes on a character from the Grateful Dead, creating faithful re-creations of some of the band's most iconic songs.",05/26/2011
602-262-4734,http://www.thetraintracks.org,"444 N. Central Ave. Phoenix, AZ, 85004",http://www.azcentral.com/thingstodo/music/The_Train_Tracks_900270684342,The Train Tracks,,Civic Space Park,Price of light rail ticket,"Train Tracks is a foray into local live music in Phoenix via the light rail, held on the first Friday of each month. This is a way to check out fresh, collective top notch bands from the music scene as they perform live on the light rail. So jump on any Friday and check it out. Check Web Site for times.",
602-262-4734,http://www.thetraintracks.org,"444 N. Central Ave. Phoenix, AZ, 85004",http://www.azcentral.com/thingstodo/music/Train_Tracks_Plugged_In_371758207372,Train Tracks Plugged In,,Civic Space Park,Free,Downtown Phoenix hosts this monthly concert series in the park featuring local bands of various musical genres every third Friday of the month through 2009.,
602-262-4734,http://www.thetraintracks.org,"444 N. Central Ave. Phoenix, AZ, 85004",http://www.azcentral.com/thingstodo/music/Third_Friday_Concert_in_the_Park_340096052586,Third Friday Concert in the Park,,Civic Space Park,Free,Bring your friends along with a chair or blanket and enjoy the sights and sounds of a local band in the Downtown Civic Space Park. The concert is part of the Third Friday Concert in the Park series. Check the Web site to hear which band is featured for that month. Located near the ASU campus.,
480-921-2300,http://www.downtowntempe.com/Music-on-Mill.aspx,"Mill Ave. and University Drive Tempe, AZ, 85281",http://www.azcentral.com/thingstodo/music/Music_On_Mill_525857182243,Music On Mill,,Mill Avenue District,Free,"Musicians and performers of all sorts line the streets throughout the district giving visitors a variety of entertainment. Mill Avenue is where historic music venues such as Long Wong's, Gibson's and Edsel's Attic were located at one time that became the launchpads for bands such as the Gin Blossoms, the Refreshments, Dead Hot Workshop and Jimmy Eat World. Branded donation paint cans that are placed at each of their locations identify musicians scheduled to perform for Music on Mill.",
602-274-5144,http://www.myspace.com/briandemarcomusic,"5144 N. Central Ave. Phoenix, AZ, 85012",http://www.azcentral.com/thingstodo/music/Brian_Demarco_Trio_506432850012,Brian Demarco Trio,,Postino Central Winecafe,"No cover, menu items vary","Every Sunday afternoon, these Phoenix roots rockers perform at the Postino brunch, playing covers and tunes from their latest album, ""Solitary Bird.""",
602-553-7227,http://www.myspace.com/elvisbeforenoon,"4041 N. 40th St. Phoenix, AZ, 85018",http://www.azcentral.com/thingstodo/music/Elvis_Before_Noon_103685735728,Elvis Before Noon,,The Vig Restaurant and Bar,No cover,"This local band specializes in the kind of indie-rock power-pop that landed Tempe bands like the Refreshments and Gin Blossoms on the national stage in the 1990s. Dedicated to carrying on that “Tempe sound,” the band features Scott Johnson, a Gin Blossoms member. Visitors can also enjoy half-priced bottles of wine every Sunday.",
602-944-1286,http://www.auntchiladas.com/,"7330 N. Dreamy Draw Drive Phoenix, AZ, 85020",http://www.azcentral.com/thingstodo/music/Friday_Night_Live_Music_366705110824,Friday Night Live Music,02/03/2010,Aunt Chilada's,"No cover, menu items vary","This tucked-away Phoenix bar attracts a huge crowd on Friday nights and showcases a live bands on its outdoor patios. The schedule rotates each week and includes local rock bands Chris Parker Project, Zimis and North. Check Web site for updated schedule.",02/25/2033
480-951-5888,http://www.myspace.com/brendoncottrell,"7012 E. Greenway Parkway Scottsdale, AZ, 85254",http://www.azcentral.com/thingstodo/music/Brendon_Cotrell_271647551163,Brendon Cotrell,,RA Sushi,"No cover, menu items vary","With a distinctive baritone voice, this Phoenix singer-songwriter crafts dreamy indie-rock tunes full of dark melodies and sparkling, romantic touches. Cotrell released his debut album, ""Rough Cuts,"" in 2010 and is already working on his followup, “These Walls Were Meant For Climbing.” He also published his first children’s book “Ruby’s Rainy Day” in 2010. Cotrell plays at RA Sushi Sunday evenings.",
480-782-5550,http://www.myspace.com/brendoncottrel,"3990 S. Alma School Road Chandler, AZ, 85248",http://www.azcentral.com/thingstodo/music/Brendon_Cotrell_364845077660,Brendon Cotrell,,D'Vine Bistro & Wine Bar,No cover,"With a distinctive baritone voice, this Phoenix singer-songwriter crafts dreamy indie-rock tunes full of dark melodies and sparkling, romantic touches. Cotrell released his debut album, ""Rough Cuts,"" in 2010 and is already working on his followup, “These Walls Were Meant For Climbing.” He also published his first children’s book “Ruby’s Rainy Day” in 2010. Cotrell performs at D'Vine Wednesday evenings.",
480-820-7117,http://www.thehollywoodalley.com,"2610 W. Baseline Road Mesa, AZ, 85202",http://www.azcentral.com/thingstodo/music/&quot;Open_Expressions&quot;_610850361092,"""Open Expressions""",05/09/2010,Hollywood Alley,Free,"Aspiring musicians from across the Valley are invited to hop up on stage at this weekly open-mike night, hosted by G-Owens and featuring DJ Knew. Artists from every genre are welcome.",04/10/2011
480-736-8226,http://www.aboynamedsiouxaz.com,"Tempe Marketplace 2000 E. Rio Salado Parkway, Suite 101 Tempe, AZ, 85281",http://www.azcentral.com/thingstodo/music/A_Boy_Named_Sioux_233925933329,A Boy Named Sioux,,San Felipe's Cantina,"No cover, menu items vary","Led by Rob Toner, this Tempe band blends outlaw country with elements of Southern rock and Southwestern twists, resulting in a sound somewhere between Waylon Jennings and Roger Clyne. The group performs Sundays at this Tempe bar, playing acoustic covers and tunes from their debut EP, ""The Next Big Thing."" Visitors can also enjoy $3 Coronas and Modelo Especial.",
480-297-2195,http://www.myspace.com/vintagetempe,"414 S. Mill Ave. Tempe, AZ, 85281",http://www.azcentral.com/thingstodo/music/Rockstar_Wednesdays_Live_Music_Showcase_380458316095,Rockstar Wednesdays Live Music Showcase,,Vintage Bar and Grill,Free,Pre-chosen local bands perform in a live radio music showcase for Rockstar Wednesdays. All bands are welcome to interview and audition to perform. Drink specials offered all night long. Hosted by KWSS 106.7 Live Radio Show.,
480-634-5192,,"730 S. Mill Ave. Tempe, AZ, 85281",http://www.azcentral.com/thingstodo/music/Black_Friday_445548032173,Black Friday,,MADCAP Theaters,Free admission; $7-$10 for movie screenings,"Horror fans can mingle with performers, merchants, exhibitors, photographers and actors and hear live bands perform. The Midnight Movie Mamacita screens a new movie each month, and the ""Rocky Horror Picture Show"" and ""Repo! The Genetic Opera"" are shadow-cast.",
480-967-4777,http://www.yuccatap.com,"29 W. Southern Ave. Tempe, AZ, 85282",http://www.azcentral.com/thingstodo/music/Chocolate_Fountain_Experience_452695580248,Chocolate Fountain Experience,,Yucca Tap Room,Free,The blues-rock band performs. For ages 21 and older.,
480-970-0500,http://www.metalheadrocks.com,"7295 E. Stetson Drive Scottsdale, AZ, 85251",http://www.azcentral.com/thingstodo/music/Metalhead_619875152892,Metalhead,,Martini Ranch,$5,The '80s hair-metal cover band performs.,
480-970-0500,http://www.rocklobsterband.com,"7295 E. Stetson Drive Scottsdale, AZ, 85251",http://www.azcentral.com/thingstodo/music/Rock_Lobster_957048746809,Rock Lobster,,Martini Ranch,Cover varies.,The '80s rock-cover band performs.,
480-736-8226,http://www.sanfelipescantina.com,"Tempe Marketplace 2000 E. Rio Salado Parkway, Suite 101 Tempe, AZ, 85281",http://www.azcentral.com/thingstodo/music/Wet_Wednesdays_420998611227,Wet Wednesdays,,San Felipe's Cantina,Menu prices,"Get $3 drafts at this Mexican cantina, along with live music from Ashely C. Norton from 9 p.m. to midnight.",
480-968-2114,,"2155 E. University Drive, Suite 116 Tempe, AZ, 85281",http://www.azcentral.com/thingstodo/music/Shirley's_Temple_109289204803,Shirley's Temple,,Red Owl Sports Grill,Free,The rock band covers hits from Sheryl Crow to Jimi Hendrix.,
602-788-4574,http://www.myspace.com/TheBloozeBar,"12014 N. 32nd St. Phoenix, AZ, 85028",http://www.azcentral.com/thingstodo/music/Rockabilly_Night_113086476002,Rockabilly Night,,The Blooze Bar,,"With live rockabilly music and a chance to show off hot rods, bikes and wheels. Visit the Web site for a schedule of upcoming bands.",
480-609-0429,http://www.theenergytrio.com,"9719 N. Hayden Road Scottsdale, AZ, 85258",http://www.azcentral.com/thingstodo/music/Energy_Trio_Sundays_864000807947,Energy Trio Sundays,,Voce Ristorante and Lounge,Free,"The next-generation organ trio, the Energy Trio plays jazz, rock, fusion, funk and original music every Sunday at Voce Lounge.",
480-722-9434,http://www.fibbermageespub.com,"1989 W. Elliot Road Chandler, AZ, 85224",http://www.azcentral.com/thingstodo/music/Capital_Down_870309137245,Capital Down,,Fibber Magees Irish Restaurant and Pub,Free,The rock group performs.,
480-833-1950,http://www.myspace.com/openmicattjs,"1734 E. Main St. Mesa, AZ, 85203",http://www.azcentral.com/thingstodo/music/Electric_Open_Mike/Jam_Night_973671695285,Electric Open Mike/Jam Night,,Smokey's Bar & Grill,,Bands and solo artists perform. For 21 and older. Sign-up begins at 7:30 p.m.,
