phone,zipCode,title,picture,webSite,address,city,startDate,venue,description,email,endDate,state
813-272-7232,33602.0,2011 International Dragon Boat Federation World Championship,,http://www.hillsboroughcounty.org/econdev/tourism,"601 E. Kennedy Blvd., 13th Floor",Tampa,08/03/11,Hillsborough County Tourist Development Council,"Administrative offices of the Hillsborough County Tourist Development Council. For travel and entertainment destination information, contact Tampa Bay &amp; Company directly at (813) 223-1111 or <a href=""http://www.visittampabay.com"">www.visittampabay.com</a>.",,08/07/11,FL
727-343-4445,33707.0,Art Walk,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/3/3744/3744_73x73.jpg,http://www.seabreezemanor.com,5701 Shore Blvd. S.,Gulfport,04/02/10,Sea Breeze Manor Bed & Breakfast Inn,"Waterfront Bed and Breakfast nestled in the artist community of Gulfport within walking distance to over 30 shops, restaurants and services.&nbsp;&nbsp;Each suite has&nbsp;spacious inside sitting areas and private balconies out into the tropical garden or with a bay view, private bathrooms, and TV/VCR/CD/Wifi.&nbsp; For those who like to travel with their pets, there are&nbsp; two dog friendly cottages with private patios.&nbsp; Enjoy a full breakfast watching the sun rise on the bay from our watefront balcony or&nbsp;salute the sunset with&nbsp;complimentary Port, Sherry, and snacks.&nbsp; <br />  <br />  There is always something happening in Gulfport from live entertainment to the highly popular Art walk every first Fri. and&nbsp;third Sat. of the month. Tucked inbetween St. Petersburg and St. Pete Beach this is the perfect place to enjoy all the Tampa/St. Petersburg/Gulf Beaches area has to offer without the crowds. <br />  <br />  The Manor is a beautiful place for a wedding.&nbsp; Make the dramatic entrance to the tropical garden from the second floor balcony, say your vows under the jasmine covered gazebo, take&nbsp;your official photos on the beach&nbsp;and dance the night away under the stars.&nbsp;",rsvp@seabreezemanor.com,04/02/12,FL
850-229-7800,32456.0,Salt Air Farmers\' Market,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/35/35166/35166_73x73.jpg,http://www.visitgulf.com,150 Captain Fred's Place,Port St. Joe,04/03/10,Gulf County Tourist Development Council,"Offering unusual, off-the-beaten-path attractions and experiences. Vacationers hoping to combine relaxation with uncommon exploration will find exactly what they're looking for along the waters of Cape San Blas, Indian Pass, St. Joe Beach, St. Joesph Bay and the flowing inland waterways of White City and Wewahitchka. There, diverse offerings and unique attractions await those who want to put a leisurely slant on their next adventure. Let them help you plan the perfect holiday at one of America's #1 beaches, Cape San Blas. As you walk along the shoreline you'll feel like you've gone back in time or maybe the allure of the world-famous Dead Lake will draw you nearer.&nbsp;Shopping have your interest? Check out the historic shopping district in beautiful downtown Port St. Joe.&nbsp;Visit&nbsp;their website to plan your next vacation to paradise.",info@visitgulf.com,02/03/28,FL
954-454-4334,33019.0,Experience the Eruption at Lava Tiki Bar & Grille,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/32/32668/32668_73x73.jpg,http://www.cphollywoodbeach.com/?utm_source=Visit+Florida&utm_medium=Listing&utm_campaign=web_partners,4000 S. Ocean Dr.,Hollywood,03/15/10,Crowne Plaza Hollywood Beach,"The <b>Crowne Plaza Hollywood Beach</b> Florida Hotel does not step, it leaps onto a new standard of chic, contemporary design and luxurious comfort. Since opening in September of 2007, we have become the area standard for one-of-a-kind service, amenities, and plush accommodations among hotels in Hollywood, Florida.<br />  Raising the bar for South Florida resorts, each of our 311 delicately-appointed guestrooms is non-smoking and offers relaxing and romantic balcony views of either the Atlantic Ocean or Intracoastal Waterways, offering upgraded amenities, Crowne Plaza's Sleep Advantage program with not just a better bed but&nbsp;seven sleep amenities for a better nights rest.&nbsp;<br />  Utilize our state-of-the-art fitness center, taste South Florida hotel cuisine at Elements Bistro or sip a cool cocktail from Lava Tiki Bar &amp; Grille.",sales@cphollywoodbeach.com,03/14/11,FL
352-754-4405,34602.0,ANNUAL WEEKI WACHEE SWAMP FEST,,http://www.naturallyhernando.org,30305 Cortez Blvd.,Brooksville,03/05/11,Naturally Hernando Visitor Information,"Take it easy 'naturally'!&nbsp;Bordered by the Gulf of Mexico and the Withlacoochee River, Hernando County offers a cornucopia for nature enthusiasts. Rolling hills, sawgrass salt marshes, crystal clear springs, whispering forests, parks and trails provide hiking, birding, water recreation, golf, camping, biking and breathtaking sunsets. Brooksville's hometown atmosphere renders oak-canopied streets, unique shopping, history, art, events and cozy dining. Be enchanted by the Weeki Wachee Mermaids and enjoy Florida's only natural spring water park.&nbsp;Visit Hernando County with access to all major Florida attractions.",welcomecenter@hernandocounty.us,03/06/11,FL
352-754-4405,34602.0,7th ANNUAL NATURE COAST PET EXPO,,http://www.naturallyhernando.org,30305 Cortez Blvd.,Brooksville,03/19/11,Naturally Hernando Visitor Information,"Take it easy 'naturally'!&nbsp;Bordered by the Gulf of Mexico and the Withlacoochee River, Hernando County offers a cornucopia for nature enthusiasts. Rolling hills, sawgrass salt marshes, crystal clear springs, whispering forests, parks and trails provide hiking, birding, water recreation, golf, camping, biking and breathtaking sunsets. Brooksville's hometown atmosphere renders oak-canopied streets, unique shopping, history, art, events and cozy dining. Be enchanted by the Weeki Wachee Mermaids and enjoy Florida's only natural spring water park.&nbsp;Visit Hernando County with access to all major Florida attractions.",welcomecenter@hernandocounty.us,03/20/11,FL
352-754-4405,34602.0,"27th ANNUAL ART IN THE PARK - ARTS, CRAFT AND MUSIC FESTIVAL",,http://www.naturallyhernando.org,30305 Cortez Blvd.,Brooksville,05/07/11,Naturally Hernando Visitor Information,"Take it easy 'naturally'!&nbsp;Bordered by the Gulf of Mexico and the Withlacoochee River, Hernando County offers a cornucopia for nature enthusiasts. Rolling hills, sawgrass salt marshes, crystal clear springs, whispering forests, parks and trails provide hiking, birding, water recreation, golf, camping, biking and breathtaking sunsets. Brooksville's hometown atmosphere renders oak-canopied streets, unique shopping, history, art, events and cozy dining. Be enchanted by the Weeki Wachee Mermaids and enjoy Florida's only natural spring water park.&nbsp;Visit Hernando County with access to all major Florida attractions.",welcomecenter@hernandocounty.us,05/08/11,FL
305-460-5364,33134.0,ALMA DE TANGO FEATURING WORLD TANGO CHAMPION MONICA LLOBET,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/1/1175/1175_73x73.jpg,http://www.biltmorehotel.com,1200 Anastasia Ave.,Coral Gables,11/03/09,The Biltmore Hotel - Coral Gables,"Set on a 150-acre oasis of privacy and beauty, the Biltmore is the standard for elegance and sophistication. Guest rooms and suites are individually styled and feature up-to-date technologies and comforts. Clef d&rsquo;Or Concierge and highly personalized service assure guests a memorable experience. A complete destination with a Donald Ross-designed golf course, world-famous pool, cabana suites, fitness centre and 12,000sf spa, lighted tennis center and retail shops.",info@biltmorehotel.com,11/01/11,FL
305-460-5364,33134.0,LIVE CARIBBEAN MUSIC SUNDAYS POOLSIDE AT THE BILTMORE,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/1/1175/1175_73x73.jpg,http://www.biltmorehotel.com,1200 Anastasia Ave.,Coral Gables,11/08/09,The Biltmore Hotel - Coral Gables,"Set on a 150-acre oasis of privacy and beauty, the Biltmore is the standard for elegance and sophistication. Guest rooms and suites are individually styled and feature up-to-date technologies and comforts. Clef d&rsquo;Or Concierge and highly personalized service assure guests a memorable experience. A complete destination with a Donald Ross-designed golf course, world-famous pool, cabana suites, fitness centre and 12,000sf spa, lighted tennis center and retail shops.",info@biltmorehotel.com,11/06/11,FL
561-624-6950,33408.0,Yoga On The Beach,,http://www.macarthurbeach.org,10900 Jack Nicklaus Dr.,North Palm Beach,12/06/07,John D. MacArthur Beach State Park,"A sanctuary for native plants and animals in the center of a major metropolitan area. Visitors can explore both maritime hammock and mangrove communities. A 1,600-foot boardwalk spans Lake Worth Cove. Free tram service to and from beach. Snorkel or swim from the beach to view the rock reef. The Nature Center contains exhibits, displays and a video interpreting the barrier island's plant and animal communities. Nature trails, butterfly garden, kayak tours and rentals.",,12/06/11,FL
904-823-2232,32095.0,History of Fort Mose,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/32/32060/32060_73x73.jpg,http://FloridaStateParks.org,"15 Fort Mose Trl., off of U.S. 1 North",St. Augustine,05/01/10,Fort Mose,"The first free African settlement in North America and a premier site on the Florida Black Heritage trail. In 1738, the Spanish governor of Florida chartered Fort Mose as a settlement for freed Africans who had fled slavery in the British Carolinas. When Spain ceded Florida to Britain in 1763, the inhabitants of Fort Mose migrated to Cuba. Although nothing remains of the fort, the site was listed on the National Register of Historic Places in 1994 for its importance in American history.",terri.newmans@dep.state.fl.us,04/30/11,FL
941-349-9900,34242.0,Drum Circle on Siesta Key Beach,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/6/6279/6279_73x73.jpg,http://www.beachpalms.com,153 Beach Rd.,Sarasota,04/18/10,Beach Palms of Siesta Key Village,"Quiet, yet just steps from Siesta Village with nice breakfast restaurants, island cafes with calypso music, bars, fine dining, day spas, shops and more. Explore the beach, bike, kayak or just relax under sweeping palms. Beautiful views, secluded patios, gas grills, dishwashers, hammocks, Swim Spa. Enjoy the laidback comfort with high emphasis on quality to truly enjoy the island life. Complimentary beach chairs and umbrellas.",info@beachpalms.com,04/17/11,FL
813-752-9194,33563.0,Florida Strawberry Festival,,http://www.flstrawberryfestival.com,303 N. Lemon Street,Plant City,03/03/11,Florida Strawberry Festival,,berrypr@flstrawberryfestival.com,03/13/11,FL
305-460-5364,33134.0,BOSSA NOVA LOUNGE AT CASCADE,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/1/1175/1175_73x73.jpg,http://www.biltmorehotel.com,1200 Anastasia Ave.,Coral Gables,11/05/09,The Biltmore Hotel - Coral Gables,"Set on a 150-acre oasis of privacy and beauty, the Biltmore is the standard for elegance and sophistication. Guest rooms and suites are individually styled and feature up-to-date technologies and comforts. Clef d&rsquo;Or Concierge and highly personalized service assure guests a memorable experience. A complete destination with a Donald Ross-designed golf course, world-famous pool, cabana suites, fitness centre and 12,000sf spa, lighted tennis center and retail shops.",info@biltmorehotel.com,11/03/11,FL
954-563-5393,33304.0,15th Annual Young Artist Music Series,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/2/2167/2167_73x73.jpg,http://www.bonnethouse.org,900 N. Birch Rd.,Fort Lauderdale,02/24/11,Bonnet House Museum & Gardens,"An extraordinary blend of art, architecture, history and ecology. This 35-acre subtropical estate and historic house museum was designed by Frederic Clay Bartlett, a noted painter&nbsp;and art collector. Bonnet House is one of the few complete homes and studios of two American artists with original furnishings open to the public. A nature trail walk taking up to 30 minutes is available. Guided golf cart tour of nature trail available. Outdoor rental space available.",nichollemaudlin@bonnethouse.org,02/24/11,FL
954-563-5393,33304.0,15th Annual Young Artist Music Series,,http://www.bonnethouse.org,900 N. Birch Rd.,Fort Lauderdale,04/07/11,Bonnet House Museum & Gardens,"An extraordinary blend of art, architecture, history and ecology. This 35-acre subtropical estate and historic house museum was designed by Frederic Clay Bartlett, a noted painter&nbsp;and art collector. Bonnet House is one of the few complete homes and studios of two American artists with original furnishings open to the public. A nature trail walk taking up to 30 minutes is available. Guided golf cart tour of nature trail available. Outdoor rental space available.",nichollemaudlin@bonnethouse.org,04/07/11,FL
407-238-8000,32821.0,Weekly One Day Sale - Each Wednesday!,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/26/26684/26684_73x73.jpg,http://www.thecaribeorlando.com,8101 World Center Dr.,Orlando,03/31/10,Caribe Royale All-Suite Hotel & Convention Center,"Discover tropical paradise at the Caribe Royale&nbsp;All-Suite Hotel &amp; Convention Center. Surround yourself with tranquility in the free-form pool&nbsp;featuring a&nbsp;75-foot waterslide and cascading waterfalls. Relax under a poolside cabana and read a book or surf the Internet with&nbsp;their wireless poolside access.&nbsp;With 1,218 suites and 120 two-bedroom villas, it's a treat for business or pleasure in this&nbsp;elegant, full-service hotel. Along with standard resort amenities, enjoy a 3,500 square foot, state-of-the-art fitness center and AAA Four-Diamond dining at The Venetian Room restaurant. Over 150,000 square feet of meeting space.",sales@cariberoyale.com,03/30/11,FL
305-460-5364,33134.0,WHAT’S HIP WEDNESDAY AT THE BILTMORE BAR,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/1/1175/1175_73x73.jpg,http://www.biltmorehotel.com,1200 Anastasia Ave.,Coral Gables,11/04/09,The Biltmore Hotel - Coral Gables,"Set on a 150-acre oasis of privacy and beauty, the Biltmore is the standard for elegance and sophistication. Guest rooms and suites are individually styled and feature up-to-date technologies and comforts. Clef d&rsquo;Or Concierge and highly personalized service assure guests a memorable experience. A complete destination with a Donald Ross-designed golf course, world-famous pool, cabana suites, fitness centre and 12,000sf spa, lighted tennis center and retail shops.",info@biltmorehotel.com,11/02/11,FL
305-460-5364,33134.0,JAZZ LOUNGE AT THE BILTMORE BAR,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/1/1175/1175_73x73.jpg,http://www.biltmorehotel.com,1200 Anastasia Ave.,Coral Gables,11/06/09,The Biltmore Hotel - Coral Gables,"Set on a 150-acre oasis of privacy and beauty, the Biltmore is the standard for elegance and sophistication. Guest rooms and suites are individually styled and feature up-to-date technologies and comforts. Clef d&rsquo;Or Concierge and highly personalized service assure guests a memorable experience. A complete destination with a Donald Ross-designed golf course, world-famous pool, cabana suites, fitness centre and 12,000sf spa, lighted tennis center and retail shops.",info@biltmorehotel.com,11/04/11,FL
954-563-5393,33304.0,15th Annual Young Artist Music Series,,http://www.bonnethouse.org,900 N. Birch Rd.,Fort Lauderdale,03/24/11,Bonnet House Museum & Gardens,"An extraordinary blend of art, architecture, history and ecology. This 35-acre subtropical estate and historic house museum was designed by Frederic Clay Bartlett, a noted painter&nbsp;and art collector. Bonnet House is one of the few complete homes and studios of two American artists with original furnishings open to the public. A nature trail walk taking up to 30 minutes is available. Guided golf cart tour of nature trail available. Outdoor rental space available.",nichollemaudlin@bonnethouse.org,03/24/11,FL
561-624-6950,33408.0,Bluegrass Music,,http://www.macarthurbeach.org,10900 Jack Nicklaus Dr.,North Palm Beach,12/16/07,John D. MacArthur Beach State Park,"A sanctuary for native plants and animals in the center of a major metropolitan area. Visitors can explore both maritime hammock and mangrove communities. A 1,600-foot boardwalk spans Lake Worth Cove. Free tram service to and from beach. Snorkel or swim from the beach to view the rock reef. The Nature Center contains exhibits, displays and a video interpreting the barrier island's plant and animal communities. Nature trails, butterfly garden, kayak tours and rentals.",,12/16/11,FL
850-835-5212,32459.0,First Friday Artswalk,http://cdn.fldataengine.milesmedia.com/fldataengine/appmedia/images/37/37104/37104_73x73.jpg,http://www.GetawayAssist.com,Scenic-30A,Seagrove Beach,04/02/10,GetawayAssist,"Owner-Direct vacation rentals along charming Scenic-30A .. where you'll find room to breath and recharge.<br />  <br />  GetawayAssist&nbsp;is a one-stop, community-driven&nbsp;gateway offering&nbsp;owner-direct&nbsp;beach cottages and condos throughout&nbsp;the distinct and friendly communities scattered along 30A.&nbsp;&nbsp;This scenic by-way&nbsp;meanders throughout thousands of acres of state nature preserves strewn with freshwater coastal dune lakes and Florida's most pristine beaches.&nbsp; This incomparable collection of unique communities offers funky shops,&nbsp;both family-friendly and upscale&nbsp;restaurants, art galleries and more.&nbsp; Come explore our exceptional communities for yourself.<br />  <br />  We make it simple for you to locate a property that suits your specific needs and dates along with an array of Guest Service listings to facilitate you in planning an ideal getaway.<br />  <br />  Take off with GetawayAssist!",moneypenny@sloanventures.net,04/02/11,FL
