admission,address,name,description,date,externalURL,moreDetailURL,phone,location
Half Marathon- $50 if postmarked before 01/31/11; $55 if postmarked after 01/31/11-04/13/11; $60 on site at Expo 04/15/11; Cub Run- $10 through 04/15/11,"1200 Dismal Swamp Canal Trail, Chesapeake, VA  23323","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=193"">Dismal Swamp Stomp Half Marathon & Children's Half-Mile Cub Run</a>","<p>  <img src=""http://www.visitchesapeake.com/includes/media/images/GreatDismalSwampStomp.jpg"" border=""0"" alt=""gallery-GreatDismalSwampStomp"" hspace=""5"" width=""200"" height=""133"" align=""left"" />Leave winter in the dust and welcome spring by joining us for the&nbsp;fifth annual <a href=""http://dismalswampstomp.kalerunning.com/"" target=""_blank"" title=""Dismal Swamp Stomp""><strong>Dismal Swamp Stomp Half Marathon</strong></a><strong> </strong>and&nbsp;fourth annual <strong><a href=""http://dismalswampstomp.kalerunning.com/"" target=""_blank"" title=""Children's Half Mile Fun Run"">Children's Half Mile&nbsp;Cub Run</a></strong> on April 16. The 13.1 mile scenic trail leads runners through the picturesque countryside and historic surroundings of Chesapeake, Va.",04/16/2011 - 04/16/2011,mailto:&#116;&#101;&#97;&#109;&#64;&#107;&#97;&#108;&#101;&#114;&#117;&#110;&#110;&#105;&#110;&#103;&#46;&#99;&#111;&#109;,http://www.visitchesapeake.com/calendar/index.cfm,(757) 373-4174,Dismal Swamp Canal Trail
"$25-Full Tour, $10-Single Site Admission, Half Price-Children 6-12, Free-Ages 5 and Under",,"<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=236"">Elizabeth River Garden Club's ""Splendors of Spring""</a>",The Elizabeth River Garden Club presents &quot;Splendors of Spring&quot; featuring unique homes and gardens in the Western Branch section of Chesapeake. Homes open include an 1895 farmhouse renovated in 2009 which retains much of its original woodwork including tongue-in-groove ceilings and heart pine floors. A nearby contemporary Mediterranean home contains original works of art including a Ralph Cowan portrait. A two-story Dutch Colonial houses an impressive collection of antique pieces including an 18th century epergne originally owned by the Tiffany family. Antique pieces as well as a collection of oyster plates are displayed in another residence. A tour highlight is an extensive Japanese garden complete with rock gardens and water features. The home's decor reflects the owners' travels and their love of nature.,04/16/2011 - 04/16/2011,mailto:&#109;&#97;&#114;&#116;&#104;&#97;&#109;&#99;&#108;&#101;&#97;&#110;&#64;&#99;&#104;&#97;&#114;&#116;&#101;&#114;&#46;&#110;&#101;&#116;,http://www.visitchesapeake.com/calendar/index.cfm,(757) 238-3113,Western Branch Section of Chesapeake
Free and Open to the Public,"1733 Indian Creek Road, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=258"">Skywatch at Northwest River Park</a>",Come view the night sky with the Back Bay Amateur Astronomers. Held in the equestrian area.,04/22/2011 - 04/22/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 421-7151,Northwest River Park
,"1200 Dismal Swamp Canal Trail, Chesapeake, VA  23323","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=194"">Paddle for the Border</a>","<p>  <img src=""http://www.visitchesapeake.com/includes/media/images/PaddleforBorderBoats.JPG"" border=""0"" alt=""Paddle for the Border Boats"" title=""Paddle for the Border"" hspace=""5"" width=""150"" height=""200"" align=""left"" />Calling all Paddlers!! Join the fun and come to Chesapeake to participate in the&nbsp;eighth annual <strong><a href=""http://www.chesapeake.va.us/services/depart/park-rec/index.shtml"" title=""Paddle for the Border"">Paddle for the Border</a>,</strong> located along the <a href=""http://www.dismalswamp.com/"" title=""Dismal Swamp"">Dismal Swamp Canal.</a> The beautiful 7.5 mile trip is enjoyable for canoers and kayakers of all ages and skill levels. Landlubbers needn't fear; the canal trail features areas for, picnicking, and bird watching.",04/30/2011 - 04/30/2011,mailto:&#112;&#114;&#103;&#101;&#110;&#101;&#114;&#97;&#108;&#64;&#99;&#105;&#116;&#121;&#111;&#102;&#99;&#104;&#101;&#115;&#97;&#112;&#101;&#97;&#107;&#101;&#46;&#110;&#101;&#116;,http://www.visitchesapeake.com/calendar/index.cfm,(757) 382-6411,Dismal Swamp Canal Trail
,"900 Greenbrier Circle, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=249"">""The Masters"" 10-Ball Tournament</a>","<p>  Reserve your seats now for &quot;The Masters&quot; 10-Ball Tournament at the Chesapeake Conference Center. This event features a full field of 128 players with a total prize fund of $100,000! Held in conjunction with the AP Regionals.",03/01/2011 - 03/05/2011,http://www.masters10ball.com,http://www.visitchesapeake.com/calendar/index.cfm,(757) 499-8900,Chesapeake Conference Center
,"472 North Battlefield Boulevard, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=273"">Lee Strickland/Devi Anne Moore Exhibition</a>",<p>  The Oak Grove UMC Art Gallery is currently exhibiting works from local artists Lee Strickland and Devi Anne Moore now through March 2011.,01/01/2011 - 03/31/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 547-2319,Oak Grove UMC Art Gallery
$3 for adults; 12 and under free,"2752 S Battlefield Boulevard, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=275"">GBFA Fishing Flea Market</a>","Come out for the second annual GBFA Fishing Flea Market! Come buy, swap, meet, greet and eat. This rain or shine event will host vendors featuring custom lures, freshwater and saltwater gear, new &amp; used rods and reels, and a variety of boats and trailers. Refreshments available for purchase.",03/12/2011 - 03/12/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 287-0330,Hickory Ruritan Club
,"472 North Battlefield Boulevard, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=274"">Joseph Simone Exhibition</a>","<p>  Oak Grove UMC Art Gallery will be featuring the work of Joseph Simone, artist and writer, April - June 2011. Born in Saratoga Springs, NY,&nbsp;Simone's became fascinated at an early age with shapes and designs. During college, he turned to creative writing, composing poems, plays and short stories as an expression of what he felt and saw.",04/01/2011 - 06/30/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 547-2319,Oak Grove UMC Art Gallery
,"624 Oak Grove Road, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=272"">Arbor Day Celebration</a>","Festivities include seedling give-aways, tree tours, tree nursery tours, and a small tree sale.",04/02/2011 - 04/02/2011,http://www.chesarbor.org,http://www.visitchesapeake.com/calendar/index.cfm,(757) 382-7060,Chesapeake Arboretum
"$25-Full Tour, $10-Single Site Admission, Half Price-Children 6-12, Free-Ages 5 and Under",,"<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=236"">Elizabeth River Garden Club's ""Splendors of Spring""</a>","<img src=""http://www.visitchesapeake.com/includes/media/images/English-31.jpg"" alt=""English Family Home"" title=""Garden Week 2011-English Home"" hspace=""10"" width=""200"" height=""150"" align=""right"" />The Elizabeth River Garden Club presents &quot;Splendors of Spring&quot; featuring unique homes and gardens in the Western Branch section of Chesapeake. Homes open include an 1895 farmhouse renovated in 2009 which retains much of its original woodwork including tongue-in-groove ceilings and heart pine floors. A nearby contemporary Mediterranean home contains original works of art including a Ralph Cowan portrait. A two-story Dutch Colonial houses an impressive collection of antique pieces including an 18th century epergne originally owned by the Tiffany family. Antique pieces as well as a collection of oyster plates are displayed in another residence. A tour highlight is an extensive Japanese garden complete with rock gardens and water features. The home's decor reflects the owners' travels and their love of nature.",04/16/2011 - 04/16/2011,mailto:&#109;&#97;&#114;&#116;&#104;&#97;&#109;&#99;&#108;&#101;&#97;&#110;&#64;&#99;&#104;&#97;&#114;&#116;&#101;&#114;&#46;&#110;&#101;&#116;,http://www.visitchesapeake.com/calendar/index.cfm,(757) 238-3113,Western Branch Section of Chesapeake
$3,"1733 Indian Creek Road, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=266"">Star Hike at Northwest River</a>",Get your introduction to the stars with&nbsp;Dr. Dean and Jessica. Then hike to the river for some unforgettable star gazing with Back Bay Amateur Astronomers. Kids get to climb the ladder to look at Saturn through a massive 18-inch telescope.&nbsp;Call to reserve your spot.,05/20/2011 - 05/20/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 421-7151,Northwest River Park
FREE,"3100 Desert Road, Suffolk, VA  23434","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=190"">Great Dismal Swamp National Wildlife Refuge Birding Festival</a>","<p>  The <a href=""http://www.fws.gov/northeast/greatdismalswamp/"" target=""_blank"" title=""Great Dismal Swamp National Wildlife Refuge"">Great Dismal Swamp National Wildlife Refuge</a> hosts its&nbsp;fifth annual <strong>Birding Festival</strong> on May&nbsp;12 - 14, 2011. The festival strategically falls during the height of the spring Neotropical songbird migration, when the greatest diversity of species are on the fly.",05/12/2011 - 05/14/2011,http://www.fws.gov/northeast/greatdismalswamp/,http://www.visitchesapeake.com/calendar/index.cfm,(757) 986-3705,Great Dismal Swamp National Wildlife Refuge
General Admission - $30; Student - $15,"900 Greenbrier Circle, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=220"">Violet</a>","<p>  With its powerful story, its energetic, toe-tapping Gospel, Rock, Country, and Rhythm and Blues score, Violet is a musical sure to rouse the spirit and touch the heart. Set in 1964 in the Deep South during the early days of the Civil Rights Movement, Violet follows the growth and enlightenment of a hopeful young woman whose face was accidentally scarred by an errant ax blade. In hopes that a TV evangelist can heal her, she embarks on a journey by bus from her sleepy North Carolina town to Oklahoma. Along the way, she meets a young black soldier who teaches her about beauty, love, courage, and what it means to be an outsider.",05/07/2011 - 05/08/2011,mailto:&#116;&#110;&#116;&#99;&#104;&#101;&#115;&#97;&#112;&#101;&#97;&#107;&#101;&#64;&#103;&#109;&#97;&#105;&#108;&#46;&#99;&#111;&#109;,http://www.visitchesapeake.com/calendar/index.cfm,,Chesapeake Conference Center
,"900 Greenbrier Parkway, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=182"">Chesapeake Jubilee</a>","<p>  The Chesapeake Jubilee is Chesapeake's largest festival! Four days of fun, food, and fireworks! This event features world-famous musical artists, the largest 4-H show and sale in Virginia, Zambelli Fireworks, rides, games, attractions, arts and crafts, Kiwanis Club Shrimp Feast, and a Virginia State Championship Kansas City Barbecue Society Cook-Off.",05/19/2011 - 05/22/2011,mailto:&#105;&#110;&#102;&#111;&#64;&#99;&#104;&#101;&#115;&#97;&#112;&#101;&#97;&#107;&#101;&#106;&#117;&#98;&#105;&#108;&#101;&#101;&#46;&#111;&#114;&#103;,http://www.visitchesapeake.com/calendar/index.cfm,(757) 482-4848,Chesapeake City Park
"Adults - $25.00 in advance, $30.00 at the gate if not sold out. Children - $10.00 Ages 3 - 12, Under 3 - Free","900 Greenbrier Parkway, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=131"">Shrimp Feast</a>",,05/19/2011 - 05/19/2011,mailto:&#105;&#110;&#102;&#111;&#64;&#99;&#104;&#101;&#115;&#97;&#112;&#101;&#97;&#107;&#101;&#106;&#117;&#98;&#105;&#108;&#101;&#101;&#46;&#111;&#114;&#103;,http://www.visitchesapeake.com/calendar/index.cfm,(757) 374-2014,Chesapeake City Park
Free and Open to the Public,"310 Shea Drive, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=241"">Chesapeake Planetarium presents ""Solar System Tour""</a>","<p>  Explore the planets, moons, asteroids, and other members of the solar system&nbsp;on an imaginary tour through our solar system. We will present some of the latest photographs taken by satellites, space probes, and earth based telescopes of our planet neighbors. We will also look at the possibilities of other solar systems in the universe.&nbsp;",05/05/2011 - 05/26/2011,http://www.cps.k12.va.us/departments/planetarium/index.html,http://www.visitchesapeake.com/calendar/index.cfm,(757) 547-0153,Chesapeake Planetarium
Free and Open to the Public,"1733 Indian Creek Road, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=259"">Skywatch at Northwest River Park</a>",Come view the night sky with the Back Bay Amateur Astronomers. Held in the equestrian area.,05/27/2011 - 05/27/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 421-7151,Northwest River Park
$30; Students under 25 - $10,"333 Cedar Road, Chesapeake, VA 23323","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=256"">American String Quartet with Andre`-Michel Schub</a>","The quartet in residence at the famed Aspen Music Festival, this ensemble of Juilliard-trained musicians has won critical acclaim around the world for its &quot;luxurious, beautifully sculptured performances&quot; (<em>New York Times</em>). This event is part of the Virginia Arts Festival.",05/01/2011 - 05/01/2011,mailto:&#100;&#115;&#116;&#97;&#114;&#107;&#101;&#121;&#64;&#118;&#97;&#102;&#101;&#115;&#116;&#46;&#111;&#114;&#103;,http://www.visitchesapeake.com/calendar/index.cfm,(877) 741-2787,Great Bridge Presbyterian Church
Half Marathon- $55 if postmarked before 01/31/11; $65 if postmarked 02/01/11-04/12/11; $75 on site at Expo 04/15/11; Cub Run- $10 through 04/15/11,"1200 Dismal Swamp Canal Trail, Chesapeake, VA  23323","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=193"">Dismal Swamp Stomp Half Marathon & Children's Half-Mile Cub Run</a>","<p>  <img src=""http://www.visitchesapeake.com/includes/media/images/GreatDismalSwampStomp.jpg"" border=""0"" alt=""gallery-GreatDismalSwampStomp"" hspace=""5"" width=""200"" height=""133"" align=""left"" />Leave winter in the dust and welcome spring by joining us for the&nbsp;fifth annual <a href=""http://dismalswampstomp.kalerunning.com/"" target=""_blank"" title=""Dismal Swamp Stomp""><strong>Dismal Swamp Stomp Half Marathon</strong></a><strong> </strong>and&nbsp;fourth annual <strong><a href=""http://dismalswampstomp.kalerunning.com/"" target=""_blank"" title=""Children's Half Mile Fun Run"">Children's Half Mile&nbsp;Cub Run</a></strong> on April 16. The 13.1 mile scenic trail leads runners through the picturesque countryside and historic surroundings of Chesapeake, Va.",04/16/2011 - 04/16/2011,mailto:&#116;&#101;&#97;&#109;&#64;&#107;&#97;&#108;&#101;&#114;&#117;&#110;&#110;&#105;&#110;&#103;&#46;&#99;&#111;&#109;,http://www.visitchesapeake.com/calendar/index.cfm,(757) 373-4174,Dismal Swamp Canal Trail
Free and Open to the Public,"900 Greenbrier Parkway, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=281"">Chesapeake Eggstravaganza</a>",<p>  The annual Chesapeake Eggstravaganza - where children 8 and under can have an egg-citing time!,04/23/2011 - 04/23/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 382-6411,Chesapeake City Park
,"900 Greenbrier Parkway, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=182"">Chesapeake Jubilee</a>","<p>  The 2011 Chesapeake Jubilee kicks off Thursday, May 19th. This year's event is sure to be nothing short of spectacular. Musical guests include Grammy winning country artist Gretchen Wilson, platinum recording artists 10,000 Maniacs, and the reggae legends the Wailers.",05/19/2011 - 05/22/2011,mailto:&#105;&#110;&#102;&#111;&#64;&#99;&#104;&#101;&#115;&#97;&#112;&#101;&#97;&#107;&#101;&#106;&#117;&#98;&#105;&#108;&#101;&#101;&#46;&#111;&#114;&#103;,http://www.visitchesapeake.com/calendar/index.cfm,(757) 482-4848,Chesapeake City Park
Free and Open to the Public,"1441 Bainbridge Boulevard, Chesapeake, VA 23324","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=209"">13th Annual Phelps Brothers Music Festival</a>","<p>  This annual festival celebrates the music careers of local legends Norman, Willie, &amp; Earl Phelps. They have starred on stage, screen, radio, television, and recording throughout their careers. We will have musical instruments and a pictorial history on display for your enjoyment.&nbsp;Musical guest will be announced at a later date.",06/12/2011 - 06/12/2011,http://phelpsbrothers.tripod.com/,http://www.visitchesapeake.com/calendar/index.cfm,(757) 467-2149,Lakeside Park
Free,"1733 Indian Creek Road, City:,  Chesapeake, VA  23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=222"">Family Fishing Rodeo</a>","<p>  <img src=""http://www.visitchesapeake.com/includes/media/images/ChildrenFishing.jpg"" border=""0"" alt=""Children Fishing"" hspace=""5"" width=""200"" height=""133"" align=""left"" />Here's a great way for parents and children to have a rewarding day with Chesapeake Parks &amp; Recreation, Virginia Department of Game&nbsp;and Inland Fisheries, and the fisherman of Region 7. Join us for this free day of fishing that takes place at Northwest River Park's lake.",06/05/2011 - 06/05/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 421-7151,Northwest River Park
Free and Open to the Public,"900 Greenbrier Parkway, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=195"">15th Annual American Indian Festival</a>","<p>  The impressive Grand Entry captures the spirit of the festival as Native Americans enter in full regalia. The Grand Entry will take place at noon on Saturday and 1 PM on Sunday. The essence of the Native American culture is also revealed in the Pow-Wow, where dancers move gracefully to the beat of the drum. This is an educational family event featuring traditional dancing and drumming, American Indian food, demonstrations, native jewelry, and crafts for purchase. The event also features children's activities such as pony rides and make-and-take crafts.",06/04/2011 - 06/05/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 382-6411,Chesapeake City Park
General Admission - FREE/VIP Tickets - $35/On-site Parking - $5,"900 Greenbrier Parkway, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=276"">USO Military Concert Series featuring Jamey Johnson</a>","Don't miss acclaimed country singer-songwriter&nbsp;Jamey Johnson with freedom ride Sunday, April 10 as part of the USO Military Concert Series Hampton Roads presented by Whisper Concerts. General admission to this show is FREE and open to the public. Limited&nbsp;<a href=""http://www.militaryconcerts.com/wp-content/uploads/vip-seating-close-up.jpg"" target=""_blank"">VIP seating</a> is available.",04/10/2011 - 04/10/2011,http://www.militaryconcerts.com,http://www.visitchesapeake.com/calendar/index.cfm,(757) 382-6411,Chesapeake City Park
$3,"1733 Indian Creek Road, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=267"">Star Hike at Northwest River</a>",Get your introduction to the stars with&nbsp;Dr. Dean and Jessica. Then hike to the river for some unforgettable star gazing with Back Bay Amateur Astronomers. Kids get to climb the ladder to look at Saturn through a massive 18-inch telescope.&nbsp;Call to reserve your spot.,06/17/2011 - 06/17/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 421-7151,Northwest River Park
Free and Open to the Public,"1733 Indian Creek Road, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=260"">Skywatch at Northwest River Park</a>",Come view the night sky with the Back Bay Amateur Astronomers. Held in the equestrian area.,06/24/2011 - 06/24/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 421-7151,Northwest River Park
Free and Open to the Public,"310 Shea Drive, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=242"">Chesapeake Planetarium presents ""The Mystery of Stonehenge""</a>","<p>  Examine a strange ring of giant rocks built almost 4,000 yeas ago by a tribe of barbarians. Some believe it was a pagan temple&nbsp;and others believe it was built as a Stone Age computer for the prediction of astronomical events. This program will examine the Stonehenge building site and demonstrate some of the astronomical alignments of these massive stones.&nbsp;",06/02/2011 - 06/30/2011,http://www.cps.k12.va.us/departments/planetarium/index.html,http://www.visitchesapeake.com/calendar/index.cfm,(757) 547-0153,Chesapeake Planetarium
Free,"1428 Cedar Road, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=201"">Shakespeare in the Grove</a>","This summer's season of entertainment will feature Tidewater Community College's annual, ever-popular Shakespeare in the Grove, this year presenting <em>The Merry Wives of Windsor</em>.   <p>  Play director and TCC theatre program head Ed Jacob advises playgoers to arrive early with blankets or low lawn chairs for the outdoor performances at the corner of Bells Mill and Cedar Road - adjacent to the TCC Chesapeake Campus. Suitable for a picnic night under the stars.",06/22/2011 - 06/26/2011,http://www.tcc.edu/academics/divisions/academicC/theatre/Shakespeare.htm,http://www.visitchesapeake.com/calendar/index.cfm,(757) 822-5219,Tidewater Community College - Chesapeake Campus
Free and Open to the Public. On-site parking - $5 per car.,"900 Greenbrier Parkway, Chesapeake, VA 23320","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=196"">Independence Day Concert @ the Bagley</a>","<p>  The Fine Arts Commission again brings FREE family evening entertainment on the eve of our nation's birthday! The U.S. Fleet Forces Band will present a program of patriotic and popular music for all on the beautiful &quot;Bagley Stage&quot; in Chesapeake City Park. Bring lawn chairs or blankets, enjoy vendors on site or bring a picnic supper, and settle in for a stirring concert and fireworks finale.",07/03/2011 - 07/03/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 382-6411,Chesapeake City Park
Free and Open to the Public,"1441 Bainbridge Boulevard, Chesapeake, VA 23324","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=197"">4th of July Celebration at Lakeside Park</a>",<p>  This event kicks off with a parade that starts at South Norfolk Baptist Church and heads toward the park. Opening ceremonies and entertainment follows the end of the parade.,07/04/2011 - 07/04/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 382-6411,Lakeside Park
Free and Open to the Public,"310 Shea Drive, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=243"">Chesapeake Planetarium presents ""Stars of Summer""</a>",<p>  Explore the night sky and learn the constellations visible during the summer months. We will demonstrate how to find some of the brightest stars and explain the mythology associated with them. Visitors will be given a star finder at the conclusion of the program.&nbsp;,07/07/2011 - 08/25/2011,http://www.cps.k12.va.us/departments/planetarium/index.html,http://www.visitchesapeake.com/calendar/index.cfm,(757) 547-0153,Chesapeake Planetarium
$3,"1733 Indian Creek Road, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=268"">Star Hike at Northwest River</a>",Get your introduction to the stars with&nbsp;Dr. Dean and Jessica. Then hike to the river for some unforgettable star gazing with Back Bay Amateur Astronomers. Kids get to climb the ladder to look at Saturn through a massive 18-inch telescope.&nbsp;Call to reserve your spot.,07/08/2011 - 07/08/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 421-7151,Northwest River Park
Free and Open to the Public,"1733 Indian Creek Road, Chesapeake, VA 23322","<a href=""http://www.visitchesapeake.com/calendar/index.cfm?EventID=261"">Skywatch at Northwest River Park</a>",Come view the night sky with the Back Bay Amateur Astronomers. Held in the equestrian area.,07/22/2011 - 07/22/2011,,http://www.visitchesapeake.com/calendar/index.cfm,(757) 421-7151,Northwest River Park
