location,moreInfoLink,timeResult,title,image,date
"San Jose, Calif.",http://www.cbssports.com/collegebasketball/teams/page/SJST/san-jose-state-spartans,,San Jose St. Spartans vs @New Mexico St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/SJST.gif,"Mar 11, 2011"
"Albany, N.Y.",http://www.cbssports.com/collegebasketball/teams/page/ALBANY/albany-great-danes,,Albany Great Danes vs @Maine,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/ALBANY.gif,"Feb 24, 2011"
"Albany, N.Y.",http://www.cbssports.com/collegebasketball/teams/page/ALBANY/albany-great-danes,,Albany Great Danes vs @Hartford,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/ALBANY.gif,"Feb 28, 2011"
"Albany, N.Y.",http://www.cbssports.com/collegebasketball/teams/page/ALBANY/albany-great-danes,,Albany Great Danes vs @Stony Brook,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/ALBANY.gif,"Mar  6, 2011"
"Vestal, N.Y.",http://www.cbssports.com/collegebasketball/teams/page/BING/binghamton-bearcats,,Binghamton Bearcats vs Hartford,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/BING.gif,"Feb 24, 2011"
"Vestal, N.Y.",http://www.cbssports.com/collegebasketball/teams/page/BING/binghamton-bearcats,,Binghamton Bearcats vs @Vermont,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/BING.gif,"Feb 28, 2011"
"Las Cruces, N.M.",http://www.cbssports.com/collegebasketball/teams/page/NMST/new-mexico-state-aggies,,New Mexico St. Aggies vs Idaho,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NMST.gif,"Feb 24, 2011"
"Las Cruces, N.M.",http://www.cbssports.com/collegebasketball/teams/page/NMST/new-mexico-state-aggies,,New Mexico St. Aggies vs Boise St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NMST.gif,"Feb 27, 2011"
"Las Cruces, N.M.",http://www.cbssports.com/collegebasketball/teams/page/NMST/new-mexico-state-aggies,,New Mexico St. Aggies vs @Nevada,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NMST.gif,"Mar  4, 2011"
"Las Cruces, N.M.",http://www.cbssports.com/collegebasketball/teams/page/NMST/new-mexico-state-aggies,,New Mexico St. Aggies vs @Utah St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NMST.gif,"Mar  6, 2011"
"Las Cruces, N.M.",http://www.cbssports.com/collegebasketball/teams/page/NMST/new-mexico-state-aggies,,New Mexico St. Aggies vs San Jose St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NMST.gif,"Mar 11, 2011"
"Las Cruces, N.M.",http://www.cbssports.com/collegebasketball/teams/page/NMST/new-mexico-state-aggies,,New Mexico St. Aggies vs @Nevada,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NMST.gif,"Mar 13, 2011"
"Reno, Nev.",http://www.cbssports.com/collegebasketball/teams/page/NV/nevada-wolf-pack,,Nevada Wolf Pack vs @San Jose St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NV.gif,"Feb 25, 2011"
"Las Cruces, N.M.",http://www.cbssports.com/collegebasketball/teams/page/NMST/new-mexico-state-aggies,,New Mexico St. Aggies vs @Utah St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NMST.gif,"Mar 13, 2011"
"Reno, Nev.",http://www.cbssports.com/collegebasketball/teams/page/NV/nevada-wolf-pack,,Nevada Wolf Pack vs @Hawaii,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NV.gif,"Feb 28, 2011"
"Reno, Nev.",http://www.cbssports.com/collegebasketball/teams/page/NV/nevada-wolf-pack,,Nevada Wolf Pack vs New Mexico St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NV.gif,"Mar  4, 2011"
"Reno, Nev.",http://www.cbssports.com/collegebasketball/teams/page/NV/nevada-wolf-pack,,Nevada Wolf Pack vs Louisiana Tech,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NV.gif,"Mar  6, 2011"
"Reno, Nev.",http://www.cbssports.com/collegebasketball/teams/page/NV/nevada-wolf-pack,,Nevada Wolf Pack vs Idaho,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NV.gif,"Mar 11, 2011"
"Reno, Nev.",http://www.cbssports.com/collegebasketball/teams/page/NV/nevada-wolf-pack,,Nevada Wolf Pack vs New Mexico St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NV.gif,"Mar 13, 2011"
"Ruston, La.",http://www.cbssports.com/collegebasketball/teams/page/LATECH/louisiana-tech-bulldogs,,Louisiana Tech Bulldogs vs Boise St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/LATECH.gif,"Feb 25, 2011"
"Ruston, La.",http://www.cbssports.com/collegebasketball/teams/page/LATECH/louisiana-tech-bulldogs,,Louisiana Tech Bulldogs vs Idaho,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/LATECH.gif,"Feb 27, 2011"
"Ruston, La.",http://www.cbssports.com/collegebasketball/teams/page/LATECH/louisiana-tech-bulldogs,,Louisiana Tech Bulldogs vs @Fresno St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/LATECH.gif,"Mar  4, 2011"
"Ruston, La.",http://www.cbssports.com/collegebasketball/teams/page/LATECH/louisiana-tech-bulldogs,,Louisiana Tech Bulldogs vs @Nevada,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/LATECH.gif,"Mar  6, 2011"
"Ruston, La.",http://www.cbssports.com/collegebasketball/teams/page/LATECH/louisiana-tech-bulldogs,,Louisiana Tech Bulldogs vs Fresno St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/LATECH.gif,"Mar 11, 2011"
"Ruston, La.",http://www.cbssports.com/collegebasketball/teams/page/LATECH/louisiana-tech-bulldogs,,Louisiana Tech Bulldogs vs @Utah St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/LATECH.gif,"Mar 12, 2011"
"Moscow, Idaho",http://www.cbssports.com/collegebasketball/teams/page/ID/idaho-vandals,,Idaho Vandals vs @New Mexico St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/ID.gif,"Feb 24, 2011"
"Moscow, Idaho",http://www.cbssports.com/collegebasketball/teams/page/ID/idaho-vandals,,Idaho Vandals vs @Louisiana Tech,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/ID.gif,"Feb 27, 2011"
"Moscow, Idaho",http://www.cbssports.com/collegebasketball/teams/page/ID/idaho-vandals,,Idaho Vandals vs San Jose St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/ID.gif,"Mar  4, 2011"
"Moscow, Idaho",http://www.cbssports.com/collegebasketball/teams/page/ID/idaho-vandals,,Idaho Vandals vs Hawaii,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/ID.gif,"Mar  6, 2011"
"Moscow, Idaho",http://www.cbssports.com/collegebasketball/teams/page/ID/idaho-vandals,,Idaho Vandals vs @Nevada,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/ID.gif,"Mar 11, 2011"
"Fresno, Calif.",http://www.cbssports.com/collegebasketball/teams/page/FRE/fresno-state-bulldogs,,Fresno St. Bulldogs vs CSU Bakersfield,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/FRE.gif,"Feb 23, 2011"
"Fresno, Calif.",http://www.cbssports.com/collegebasketball/teams/page/FRE/fresno-state-bulldogs,,Fresno St. Bulldogs vs @San Jose St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/FRE.gif,"Feb 27, 2011"
"Fresno, Calif.",http://www.cbssports.com/collegebasketball/teams/page/FRE/fresno-state-bulldogs,,Fresno St. Bulldogs vs @Utah St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/FRE.gif,"Mar  1, 2011"
"Fresno, Calif.",http://www.cbssports.com/collegebasketball/teams/page/FRE/fresno-state-bulldogs,,Fresno St. Bulldogs vs Louisiana Tech,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/FRE.gif,"Mar  4, 2011"
"Fresno, Calif.",http://www.cbssports.com/collegebasketball/teams/page/FRE/fresno-state-bulldogs,,Fresno St. Bulldogs vs @Louisiana Tech,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/FRE.gif,"Mar 11, 2011"
"Moraga, Ca.",http://www.cbssports.com/collegebasketball/teams/page/MARYCA/st-marys-gaels,,St. Mary's (Ca.) Gaels vs Pepperdine,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/MARYCA.gif,"Feb 25, 2011"
"Moraga, Ca.",http://www.cbssports.com/collegebasketball/teams/page/MARYCA/st-marys-gaels,,St. Mary's (Ca.) Gaels vs Loyola-Marymount,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/MARYCA.gif,"Feb 27, 2011"
"Moraga, Ca.",http://www.cbssports.com/collegebasketball/teams/page/MARYCA/st-marys-gaels,,St. Mary's (Ca.) Gaels vs Portland,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/MARYCA.gif,"Mar  7, 2011"
"Moraga, Ca.",http://www.cbssports.com/collegebasketball/teams/page/MARYCA/st-marys-gaels,,St. Mary's (Ca.) Gaels vs @Gonzaga,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/MARYCA.gif,"Mar  8, 2011"
"Santa Clara, Ca.",http://www.cbssports.com/collegebasketball/teams/page/SNCLRA/santa-clara-broncos,,Santa Clara Broncos vs @Gonzaga,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/SNCLRA.gif,"Feb 25, 2011"
"Santa Clara, Ca.",http://www.cbssports.com/collegebasketball/teams/page/SNCLRA/santa-clara-broncos,,Santa Clara Broncos vs @Portland,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/SNCLRA.gif,"Feb 27, 2011"
"San Francisco, Ca.",http://www.cbssports.com/collegebasketball/teams/page/USF/san-francisco-dons,,San Francisco Dons vs @Portland,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/USF.gif,"Feb 25, 2011"
"San Francisco, Ca.",http://www.cbssports.com/collegebasketball/teams/page/USF/san-francisco-dons,,San Francisco Dons vs @Gonzaga,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/USF.gif,"Feb 27, 2011"
"San Francisco, Ca.",http://www.cbssports.com/collegebasketball/teams/page/USF/san-francisco-dons,,San Francisco Dons vs Loyola-Marymount,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/USF.gif,"Mar  6, 2011"
"San Diego, Ca.",http://www.cbssports.com/collegebasketball/teams/page/SDG/san-diego-toreros,,San Diego Toreros vs Loyola-Marymount,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/SDG.gif,"Feb 25, 2011"
"San Diego, Ca.",http://www.cbssports.com/collegebasketball/teams/page/SDG/san-diego-toreros,,San Diego Toreros vs Pepperdine,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/SDG.gif,"Feb 27, 2011"
"San Diego, Ca.",http://www.cbssports.com/collegebasketball/teams/page/SDG/san-diego-toreros,,San Diego Toreros vs @Portland,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/SDG.gif,"Mar  6, 2011"
"Portland, Ore.",http://www.cbssports.com/collegebasketball/teams/page/PORT/portland-pilots,,Portland Pilots vs San Francisco,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/PORT.gif,"Feb 25, 2011"
"Portland, Ore.",http://www.cbssports.com/collegebasketball/teams/page/PORT/portland-pilots,,Portland Pilots vs Santa Clara,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/PORT.gif,"Feb 27, 2011"
"Portland, Ore.",http://www.cbssports.com/collegebasketball/teams/page/PORT/portland-pilots,,Portland Pilots vs Lewis &amp; Clark,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/PORT.gif,"Mar  2, 2011"
"Portland, Ore.",http://www.cbssports.com/collegebasketball/teams/page/PORT/portland-pilots,,Portland Pilots vs San Diego,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/PORT.gif,"Mar  6, 2011"
"Portland, Ore.",http://www.cbssports.com/collegebasketball/teams/page/PORT/portland-pilots,,Portland Pilots vs @St. Mary&acute;s (Ca.),http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/PORT.gif,"Mar  7, 2011"
"Malibu, Ca.",http://www.cbssports.com/collegebasketball/teams/page/PEPPER/pepperdine-waves,,Pepperdine Waves vs @St. Mary&acute;s (Ca.),http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/PEPPER.gif,"Feb 25, 2011"
"Malibu, Ca.",http://www.cbssports.com/collegebasketball/teams/page/PEPPER/pepperdine-waves,,Pepperdine Waves vs @San Diego,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/PEPPER.gif,"Feb 27, 2011"
"Malibu, Ca.",http://www.cbssports.com/collegebasketball/teams/page/PEPPER/pepperdine-waves,,Pepperdine Waves vs @Loyola-Marymount,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/PEPPER.gif,"Mar  5, 2011"
"Los Angeles, Ca.",http://www.cbssports.com/collegebasketball/teams/page/LOYMRY/loyola-marymount-lions,,Loyola-Marymount Lions vs @San Diego,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/LOYMRY.gif,"Feb 25, 2011"
"Los Angeles, Ca.",http://www.cbssports.com/collegebasketball/teams/page/LOYMRY/loyola-marymount-lions,,Loyola-Marymount Lions vs @St. Mary&acute;s (Ca.),http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/LOYMRY.gif,"Feb 27, 2011"
"Los Angeles, Ca.",http://www.cbssports.com/collegebasketball/teams/page/LOYMRY/loyola-marymount-lions,,Loyola-Marymount Lions vs Pepperdine,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/LOYMRY.gif,"Mar  5, 2011"
"Los Angeles, Ca.",http://www.cbssports.com/collegebasketball/teams/page/LOYMRY/loyola-marymount-lions,,Loyola-Marymount Lions vs @San Francisco,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/LOYMRY.gif,"Mar  6, 2011"
"Los Angeles, Ca.",http://www.cbssports.com/collegebasketball/teams/page/LOYMRY/loyola-marymount-lions,,Loyola-Marymount Lions vs @Gonzaga,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/LOYMRY.gif,"Mar  7, 2011"
"Spokane, Wa.",http://www.cbssports.com/collegebasketball/teams/page/GONZAG/gonzaga-bulldogs,,Gonzaga Bulldogs vs Santa Clara,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/GONZAG.gif,"Feb 25, 2011"
"Spokane, Wa.",http://www.cbssports.com/collegebasketball/teams/page/GONZAG/gonzaga-bulldogs,,Gonzaga Bulldogs vs San Francisco,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/GONZAG.gif,"Feb 27, 2011"
"Spokane, Wa.",http://www.cbssports.com/collegebasketball/teams/page/GONZAG/gonzaga-bulldogs,,Gonzaga Bulldogs vs CSU Bakersfield,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/GONZAG.gif,"Mar  2, 2011"
"Spokane, Wa.",http://www.cbssports.com/collegebasketball/teams/page/GONZAG/gonzaga-bulldogs,,Gonzaga Bulldogs vs Loyola-Marymount,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/GONZAG.gif,"Mar  7, 2011"
"Spokane, Wa.",http://www.cbssports.com/collegebasketball/teams/page/GONZAG/gonzaga-bulldogs,,Gonzaga Bulldogs vs St. Mary&acute;s (Ca.),http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/GONZAG.gif,"Mar  8, 2011"
"Denton, Tex.",http://www.cbssports.com/collegebasketball/teams/page/NTX/north-texas-mean-green,,North Texas Mean Green vs UL-Lafayette,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NTX.gif,"Feb 25, 2011"
"Denton, Tex.",http://www.cbssports.com/collegebasketball/teams/page/NTX/north-texas-mean-green,,North Texas Mean Green vs @UL-Monroe,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NTX.gif,"Feb 27, 2011"
"Denton, Tex.",http://www.cbssports.com/collegebasketball/teams/page/NTX/north-texas-mean-green,,North Texas Mean Green vs UL-Monroe,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NTX.gif,"Mar  7, 2011"
"Denton, Tex.",http://www.cbssports.com/collegebasketball/teams/page/NTX/north-texas-mean-green,,North Texas Mean Green vs Denver,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NTX.gif,"Mar  8, 2011"
"Denton, Tex.",http://www.cbssports.com/collegebasketball/teams/page/NTX/north-texas-mean-green,,North Texas Mean Green vs @Troy,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NTX.gif,"Mar  9, 2011"
"Denver, Colo.",http://www.cbssports.com/collegebasketball/teams/page/DENVER/denver-pioneers,,Denver Pioneers vs @South Alabama,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/DENVER.gif,"Feb 25, 2011"
"Denver, Colo.",http://www.cbssports.com/collegebasketball/teams/page/DENVER/denver-pioneers,,Denver Pioneers vs UL-Lafayette,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/DENVER.gif,"Feb 27, 2011"
"Denver, Colo.",http://www.cbssports.com/collegebasketball/teams/page/DENVER/denver-pioneers,,Denver Pioneers vs FIU,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/DENVER.gif,"Mar  6, 2011"
"Denver, Colo.",http://www.cbssports.com/collegebasketball/teams/page/DENVER/denver-pioneers,,Denver Pioneers vs @Middle Tenn.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/DENVER.gif,"Mar  7, 2011"
"Denver, Colo.",http://www.cbssports.com/collegebasketball/teams/page/DENVER/denver-pioneers,,Denver Pioneers vs @North Texas,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/DENVER.gif,"Mar  8, 2011"
"Macon, Ga.",http://www.cbssports.com/collegebasketball/teams/page/MERCER/mercer-bears,,Mercer Bears vs Belmont,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/MERCER.gif,"Mar  4, 2011"
"Macon, Ga.",http://www.cbssports.com/collegebasketball/teams/page/MERCER/mercer-bears,,Mercer Bears vs Jacksonville,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/MERCER.gif,"Mar  5, 2011"
"Macon, Ga.",http://www.cbssports.com/collegebasketball/teams/page/MERCER/mercer-bears,,Mercer Bears vs E. Tennessee St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/MERCER.gif,"Mar  6, 2011"
"DeKalb, Ill.",http://www.cbssports.com/collegebasketball/teams/page/NIL/northern-illinois-huskies,,Northern Ill. Huskies vs Central Mich.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NIL.gif,"Feb 24, 2011"
"DeKalb, Ill.",http://www.cbssports.com/collegebasketball/teams/page/NIL/northern-illinois-huskies,,Northern Ill. Huskies vs @Eastern Mich.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NIL.gif,"Feb 27, 2011"
"DeKalb, Ill.",http://www.cbssports.com/collegebasketball/teams/page/NIL/northern-illinois-huskies,,Northern Ill. Huskies vs Toledo,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NIL.gif,"Mar  4, 2011"
"DeKalb, Ill.",http://www.cbssports.com/collegebasketball/teams/page/NIL/northern-illinois-huskies,,Northern Ill. Huskies vs @Eastern Mich.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/NIL.gif,"Mar  7, 2011"
"Jonesboro, Ark.",http://www.cbssports.com/collegebasketball/teams/page/ARST/arkansas-state-red-wolves,,Arkansas St. Red Wolves vs New Orleans,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/ARST.gif,"Feb 25, 2011"
"Jonesboro, Ark.",http://www.cbssports.com/collegebasketball/teams/page/ARST/arkansas-state-red-wolves,,Arkansas St. Red Wolves vs Ark.-Little Rock,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/ARST.gif,"Mar  6, 2011"
"Jonesboro, Ark.",http://www.cbssports.com/collegebasketball/teams/page/ARST/arkansas-state-red-wolves,,Arkansas St. Red Wolves vs @Western Ky.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/ARST.gif,"Mar  7, 2011"
"Little Rock, Ark.",http://www.cbssports.com/collegebasketball/teams/page/ARKLR/arkansas-little-rock-trojans,,Ark.-Little Rock Trojans vs Troy,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/ARKLR.gif,"Feb 25, 2011"
"Little Rock, Ark.",http://www.cbssports.com/collegebasketball/teams/page/ARKLR/arkansas-little-rock-trojans,,Ark.-Little Rock Trojans vs @Arkansas St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/ARKLR.gif,"Mar  6, 2011"
"Bowling Green, Ky.",http://www.cbssports.com/collegebasketball/teams/page/WKTY/western-kentucky-hilltoppers,,Western Ky. Hilltoppers vs @FAU,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/WKTY.gif,"Feb 25, 2011"
"Bowling Green, Ky.",http://www.cbssports.com/collegebasketball/teams/page/WKTY/western-kentucky-hilltoppers,,Western Ky. Hilltoppers vs New Orleans,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/WKTY.gif,"Mar  6, 2011"
"Bowling Green, Ky.",http://www.cbssports.com/collegebasketball/teams/page/WKTY/western-kentucky-hilltoppers,,Western Ky. Hilltoppers vs Arkansas St.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/WKTY.gif,"Mar  7, 2011"
"Bowling Green, Ky.",http://www.cbssports.com/collegebasketball/teams/page/WKTY/western-kentucky-hilltoppers,,Western Ky. Hilltoppers vs @Troy,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/WKTY.gif,"Mar  8, 2011"
"Troy, Ala.",http://www.cbssports.com/collegebasketball/teams/page/TROY/troy-trojans,,Troy Trojans vs @Ark.-Little Rock,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/TROY.gif,"Feb 25, 2011"
"Troy, Ala.",http://www.cbssports.com/collegebasketball/teams/page/TROY/troy-trojans,,Troy Trojans vs South Alabama,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/TROY.gif,"Mar  7, 2011"
"Troy, Ala.",http://www.cbssports.com/collegebasketball/teams/page/TROY/troy-trojans,,Troy Trojans vs Western Ky.,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/TROY.gif,"Mar  8, 2011"
"Troy, Ala.",http://www.cbssports.com/collegebasketball/teams/page/TROY/troy-trojans,,Troy Trojans vs North Texas,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/TROY.gif,"Mar  9, 2011"
"Mobile, Ala.",http://www.cbssports.com/collegebasketball/teams/page/SALAB/south-alabama-jaguars,,South Alabama Jaguars vs Denver,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/SALAB.gif,"Feb 25, 2011"
"Mobile, Ala.",http://www.cbssports.com/collegebasketball/teams/page/SALAB/south-alabama-jaguars,,South Alabama Jaguars vs @FAU,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/SALAB.gif,"Mar  6, 2011"
"Mobile, Ala.",http://www.cbssports.com/collegebasketball/teams/page/SALAB/south-alabama-jaguars,,South Alabama Jaguars vs @Troy,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/SALAB.gif,"Mar  7, 2011"
"Murfreesboro, Tenn.",http://www.cbssports.com/collegebasketball/teams/page/MITNST/middle-tennessee-blue-raiders,,Middle Tenn. Blue Raiders vs @FIU,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/MITNST.gif,"Feb 25, 2011"
"Murfreesboro, Tenn.",http://www.cbssports.com/collegebasketball/teams/page/MITNST/middle-tennessee-blue-raiders,,Middle Tenn. Blue Raiders vs @FAU,http://sports.cbsimg.net/images/cbss/ui2/logos/collegebasketball/160x100/MITNST.gif,"Feb 27, 2011"
