address,price,description,venue,phone,website,title,fullDates,moreInfo
Daytona State College,free,Screening of Mann&#39;s 1950 western Winchester &#39;73,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Man vs. The West: Icons and Myths,3/30 7:15PM,http://calendar.orlandoweekly.com/Events/e10576/Man_vs_The_West_Icons_and_Myths
1300 S. Orlando Ave.,free,Wednesday Night Pitcher Show with an outdoor showing of John Hughes&#39; 1985 sci-fi comedy,Enzian Theater,(407) 629-0054,http://www.enzian.org,Weird Science,3/30 8:00PM,http://calendar.orlandoweekly.com/Events/e10934/Weird_Science
309 E. First St.,free,WTF Theater encore presentation of Sam Peckinpah&#39;s 1969 Western,Little Fish Huge Pond,(407) 920-1321,http://www.littlefish-hugepond.com,The Wild Bunch,3/30 8:00PM,http://calendar.orlandoweekly.com/Events/e11000/The_Wild_Bunch
445 N. Park Ave.,free,Showing of the film The European Garden,Charles Hosmer Morse Museum of American Art,(407) 645-5311,http://www.morsemuseum.org,Friday Brown Bag Matinees,4/1 12:00PM,http://calendar.orlandoweekly.com/Events/e8481/Friday_Brown_Bag_Matinees
1920 N. Forest Ave.,$7,Bring a blanket and chairs for an outdoor showing of the movie Iron Man 2,Harry P. Leu Gardens,(407) 246-2620,http://www.leugardens.org,Date Night at Leu Gardens,4/1 6:00PM,http://calendar.orlandoweekly.com/Events/e10208/Date_Night_at_Leu_Gardens
Daytona State College,free,Screening of Edwards&#39; 1961 Breakfast at Tiffany&#39;s starring Audrey Hepburn,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Movie Matinee Wednesdays:,4/6 1:30PM,http://calendar.orlandoweekly.com/Events/e10069/Movie_Matinee_Wednesdays_It_Girls_of_the_Movies
Daytona State College,free,Screening of Ford&#39;s 1962 western The Man Who Shot Liberty Valance,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Man vs. The West: Icons and Myths,4/6 7:15PM,http://calendar.orlandoweekly.com/Events/e10577/Man_vs_The_West_Icons_and_Myths
445 N. Park Ave.,free,Showing of the film The Glory of the Garden,Charles Hosmer Morse Museum of American Art,(407) 645-5311,http://www.morsemuseum.org,Friday Brown Bag Matinees,4/8 12:00PM,http://calendar.orlandoweekly.com/Events/e8482/Friday_Brown_Bag_Matinees
274 Cranes Roost Blvd.,free,Outdoor showing of the film Evan Almighty,Cranes Roost Park,(407) 571-8863,http://www.uptownaltamonte.com,Sunset Cinema,4/9 7:00PM,http://calendar.orlandoweekly.com/Events/e11234/Sunset_Cinema
851 N. Maitland Ave.,free,Award-winning film about the life of 13-year-old Hannah in 1942 Poland; based on the book by author Jane Yolen,Holocaust Memorial Resource and Education Center,(407) 628-0555,,The Devil\u0027s Arithmetic,4/10 2:00PM,http://calendar.orlandoweekly.com/Events/e18/iThe_Devils_Arithmetici
Daytona State College,free,Screening of Silverstein&#39;s 1965 film Cat Ballou starring Jane Fonda,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Movie Matinee Wednesdays:,4/13 1:30PM,http://calendar.orlandoweekly.com/Events/e10070/Movie_Matinee_Wednesdays_It_Girls_of_the_Movies
Daytona State College,free,Screening of the 1967 spaghetti Western A Fistful of Dollars,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Man vs. The West: Icons and Myths,4/13 7:15PM,http://calendar.orlandoweekly.com/Events/e10578/Man_vs_The_West_Icons_and_Myths
445 N. Park Ave.,free,Showing of the film Gardens and Galleries,Charles Hosmer Morse Museum of American Art,(407) 645-5311,http://www.morsemuseum.org,Friday Brown Bag Matinees,4/15 12:00PM,http://calendar.orlandoweekly.com/Events/e8483/Friday_Brown_Bag_Matinees
Daytona State College,free,Screening of Lester&#39;s 1976 film Robin and Marian,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Movie Matinee Wednesdays:,4/20 1:30PM,http://calendar.orlandoweekly.com/Events/e10071/Movie_Matinee_Wednesdays_It_Girls_of_the_Movies
Daytona State College,free,Screening of Clint Eastwood&#39;s 1985 Pale Rider,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Man vs. The West: Icons and Myths,4/20 7:15PM,http://calendar.orlandoweekly.com/Events/e10579/Man_vs_The_West_Icons_and_Myths
445 N. Park Ave.,free,Showing of the film Chihuly Gardens and Glass,Charles Hosmer Morse Museum of American Art,(407) 645-5311,http://www.morsemuseum.org,Friday Brown Bag Matinees,4/22 12:00PM,http://calendar.orlandoweekly.com/Events/e8484/Friday_Brown_Bag_Matinees
Daytona State College,free,Screening of Allen&#39;s 1995 film Mighty Aphrodite,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Movie Matinee Wednesdays:,4/27 1:30PM,http://calendar.orlandoweekly.com/Events/e10072/Movie_Matinee_Wednesdays_It_Girls_of_the_Movies
Daytona State College,free,Screening of Harvey&#39;s 1979 western Eagle&#39;s Wing,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Man vs. The West: Icons and Myths,4/27 7:15PM,http://calendar.orlandoweekly.com/Events/e10580/Man_vs_The_West_Icons_and_Myths
Daytona State College,free,Screening of Daldry&#39;s 2003 drama The Hours,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Movie Matinee Wednesdays:,5/4 1:30PM,http://calendar.orlandoweekly.com/Events/e10073/Movie_Matinee_Wednesdays_It_Girls_of_the_Movies
Daytona State College,free,Screening of Siegel&#39;s 1976 film The Shootist,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Man vs. The West: Icons and Myths,5/4 7:15PM,http://calendar.orlandoweekly.com/Events/e10581/Man_vs_The_West_Icons_and_Myths
274 Cranes Roost Blvd.,free,Outdoor showing on the lawn of 2010&#39;s Harry Potter and the Deathly Hollows: Part 1,Cranes Roost Park,(407) 571-8863,http://www.uptownaltamonte.com,Sunset Cinema,"5/14 8:00PM, 6/11 8:00PM",http://calendar.orlandoweekly.com/Events/e11384/Sunset_Cinema
400 First St. South,$47.50-$102.50,Julio Iglesias,"Mahaffey Theater, St. Petersburg",(727) 892-5798,,Julio Iglesias,3/3 8:00PM,http://calendar.orlandoweekly.com/Events/e10107/_Julio_Iglesias
425 N. Bumby Ave.,$29.50,Ethan Bortnick,The Plaza Theatre,(407) 228-1220,http://www.theplazatheatre.com,Ethan Bortnick,3/4 6:30PM,http://calendar.orlandoweekly.com/Events/e8905/Ethan_Bortnick
1000 Holt Ave.,$20-$50,Concertos by Candlelight: Bach and Vivaldi,"Rollins College, Knowles Memorial Chapel",(407) 646-2342,,Concertos by Candlelight: Bach and Vivaldi,3/5 7:30PM,http://calendar.orlandoweekly.com/Events/e1754/Concertos_by_Candlelight_Bach_and_Vivaldi
1000 Holt Ave.,$20-$50,J.S. Bach's St. John Passion,"Rollins College, Knowles Memorial Chapel",(407) 646-2342,,J.S. Bach\u0027s St. John Passion,3/6 3:00PM,http://calendar.orlandoweekly.com/Events/e3688/JS_Bachs_St_John_Passion
3865 N. Wickham Road,$39.50,Kenny G,King Center for Performing Arts,(321) 242-2219,,Kenny G,3/6 7:00PM,http://calendar.orlandoweekly.com/Events/e9521/Kenny_G
445 N. Park Ave.,free,Celtic Crossings,Charles Hosmer Morse Museum of American Art,(407) 645-5311,http://www.morsemuseum.org,Celtic Crossings,3/11 5:00PM,http://calendar.orlandoweekly.com/Events/e8471/Celtic_Crossings
425 N. Bumby Ave.,$20,Orlando Jazz Orchestra presents Tribute to the Trumpet Greats,The Plaza Theatre,(407) 228-1220,http://www.theplazatheatre.com,Orlando Jazz Orchestra presents Tribute to the Trumpet Greats,3/13 4:00PM,http://calendar.orlandoweekly.com/Events/e5247/Orlando_Jazz_Orchestra_presents_Tribute_to_the_Trumpet_Greats
North Park Avenue and West Morse Boulevard,free,Orlando Philharmonic Orchestra presents Epic Dreams of Stage and Screen,"Central Park, Winter Park",(407) 896-6700,http://www.orlandophil.org,Orlando Philharmonic Orchestra presents Epic Dreams of Stage and Screen,3/13 7:00PM,http://calendar.orlandoweekly.com/Events/e11243/Orlando_Philharmonic_Orchestra_presents_Epic_Dreams_of_Stage_and_Screen
425 N. Bumby Ave.,$32,Celtic Tenors,The Plaza Theatre,(407) 228-1220,http://www.theplazatheatre.com,Celtic Tenors,3/14 6:30PM,http://calendar.orlandoweekly.com/Events/e8906/Celtic_Tenors
633 Osceola Ave.,$30,Yonetani at the Polasek featuring Dr. Kiminobu Sugaya and Nikolay Blagov,Albin Polasek Museum and Sculpture Gardens,(407) 647-6294,,Yonetani at the Polasek featuring Dr. Kiminobu Sugaya and Nikolay Blagov,3/20 2:00PM,http://calendar.orlandoweekly.com/Events/e8390/Yonetani_at_the_Polasek_featuring_Dr_Kiminobu_Sugaya_and_Nikolay_Blagov
4000 Central Florida Blvd.,$20,Orlando Jazz Festival -  	UCF-Orlando Jazz Festival,UCF Visual Arts Building,(407) 823-2000,,UCF-Orlando Jazz Festival,"3/25 12:00PM, 3/26 12:00PM",http://calendar.orlandoweekly.com/Events/e10266/UCF-Orlando_Jazz_Festival
2021 W. State Road 426,free,Orlando Philharmonic Orchestra presents Top Brass,St. Luke's Lutheran Church and School,(407) 365-3408,,Orlando Philharmonic Orchestra presents Top Brass,3/26 7:00PM,http://calendar.orlandoweekly.com/Events/e5335/Orlando_Philharmonic_Orchestra_presents_Top_Brass
4000 Central Florida Blvd.,free,"Featuring UCF Wind Ensemble, Concert Band and University Band",UCF Visual Arts Building,(407) 823-2000,,UCF Band Extravaganza,3/27 7:00PM,http://calendar.orlandoweekly.com/Events/e10267/UCF_Band_Extravaganza
812 E. Rollins St.,$15-$39,Orlando Philharmonic Orchestra presents Top Brass,"Margeson Theater, Lowndes Shakespeare Center",(407) 770-0071,,Orlando Philharmonic Orchestra presents Top Brass,3/28 7:00PM,http://calendar.orlandoweekly.com/Events/e5336/Orlando_Philharmonic_Orchestra_presents_Top_Brass
700 W. Lime St.,$48.55-$74.65,An Evening with Marvin Hamlisch,Lakeland Center,(863) 834-8111,http://www.thelakelandcenter.com,An Evening with Marvin Hamlisch,3/29 7:30PM,http://calendar.orlandoweekly.com/Events/e9558/An_Evening_with_Marvin_Hamlisch
4000 Central Florida Blvd.,$25,Central Florida Sax Fest,University of Central Florida Rehearsal Hall,(407) 823-2869,,Central Florida Sax Fest,4/2 9:00AM,http://calendar.orlandoweekly.com/Events/e10268/Central_Florida_Sax_Fest
445 N. Park Ave.,free,Lynn Peghiny,Charles Hosmer Morse Museum of American Art,(407) 645-5311,http://www.morsemuseum.org,Lynn Peghiny,4/8 5:00PM,http://calendar.orlandoweekly.com/Events/e8472/Lynn_Peghiny
401 W. Livingston St.,$14.75-$70,Orlando Philharmonic Orchestra presents Classical Masters,Bob Carr Performing Arts Centre,(407) 770-0071,http://www.orlandovenues.net/,Orlando Philharmonic Orchestra presents Classical Masters,4/9 8:00PM,http://calendar.orlandoweekly.com/Events/e5323/Orlando_Philharmonic_Orchestra_presents_Classical_Masters
701 N. Econlockhatchee Trail,free,Spring Choral Concert,"Valencia Community College Performing Arts Center, East Campus",(407) 582-2900,,Spring Choral Concert,4/12 7:30PM,http://calendar.orlandoweekly.com/Events/e6654/Spring_Choral_Concert
401 W. Livingston St.,$71.10-$143.70,Yanni,Bob Carr Performing Arts Centre,(407) 849-2020,http://www.orlandovenues.net,Yanni,4/20 7:30PM,http://calendar.orlandoweekly.com/Events/e9465/Yanni
701 N. Econlockhatchee Trail,free,Students from the Symphonic and Jazz bands perform,"Valencia Community College Performing Arts Center, East Campus",(407) 582-2900,,Spring Opera Workshop,"4/22 7:30PM, 4/23 7:30PM",http://calendar.orlandoweekly.com/Events/e6667/Spring_Opera_Workshop
401 W. Livingston St.,$14.75-$70,Orlando Philharmonic Orchestra presents Puccini e Verdi,Bob Carr Performing Arts Centre,(407) 770-0071,http://www.orlandphil.org,Orlando Philharmonic Orchestra presents Puccini e Verdi,9/24 8:30PM,http://calendar.orlandoweekly.com/Events/e11029/Orlando_Philharmonic_Orchestra_presents_Puccini_e_Verdi
401 W. Livingston St.,$14.75-$70,Scores from films including The Adventures of Robin Hood and The Wizard of Oz,Bob Carr Performing Arts Centre,(407) 770-0071,http://www.orlandophil.org,Orlando Philharmonic Orchestra presents Night at the Movies,"10/15 2:00PM, 10/15 8:00PM",http://calendar.orlandoweekly.com/Events/e11030/Orlando_Philharmonic_Orchestra_presents_Night_at_the_Movies
401 W. Livingston St.,$14.75-$70,The Zora Neale Hurston Legacy Concert,Bob Carr Performing Arts Centre,(407) 770-0071,http://www.orlandophil.org,Orlando Philharmonic Orchestra presents American Visions,11/12 8:00PM,http://calendar.orlandoweekly.com/Events/e11031/Orlando_Philharmonic_Orchestra_presents_American_Visions
401 W. Livingston St.,$14.75-$70,Orlando Philharmonic Orchestra presents Home For The Holidays,Bob Carr Performing Arts Centre,(407) 770-0071,http://www.orlandophil.org,Orlando Philharmonic Orchestra presents Home For The Holidays,"11/26 8:00PM, 11/26 2:00PM",http://calendar.orlandoweekly.com/Events/e11032/Orlando_Philharmonic_Orchestra_presents_Home_For_The_Holidays
401 W. Livingston St.,$14.75-$70,Orlando Philharmonic Orchestra presents Wolfram Plays Brahms,Bob Carr Performing Arts Centre,(407) 770-0071,http://www.orlandophil.org,Orlando Philharmonic Orchestra presents Wolfram Plays Brahms,1/14/12 8:00PM,http://calendar.orlandoweekly.com/Events/e11033/Orlando_Philharmonic_Orchestra_presents_Wolfram_Plays_Brahms
401 W. Livingston St.,$14.75-$70,Orlando Philharmonic Orchestra presents Rite of Spring,Bob Carr Performing Arts Centre,(407) 770-0071,http://www.orlandophil.org,Orlando Philharmonic Orchestra presents Rite of Spring,2/11/12 8:00PM,http://calendar.orlandoweekly.com/Events/e11034/Orlando_Philharmonic_Orchestra_presents_Rite_of_Spring
5310 E. Colonial Drive,free,I Love Tribal Thursdays with DJ Mike Cruz,Mr. Sisters,(407) 545-2467,http://www.mrsisters.com,I Love Tribal Thursdays with DJ Mike Cruz,"3/3 9:00PM, 3/10 9:00PM, 3/17 9:00PM, 3/24 9:00PM, 3/31 9:00PM",http://calendar.orlandoweekly.com/Events/e10402/I_Love_Tribal_Thursdays_with_DJ_Mike_Cruz
375 S. Bumby Ave.,free,Ladies of the Majestic Theater show featuring Carmen Carrera from RuPaul&#39;s Drag Race,Revolution Nightclub,(407) 228-9900,http://www.revolutionorlando.com,Carmen Carrera,"3/3 9:00PM, 3/4 10:00PM",http://calendar.orlandoweekly.com/Events/e10421/Carmen_Carrera
1912 S. Orange Ave.,free,Throwback Thursdays with Addison Taylor,Pulse,(407) 649-3888,http://www.pulseorlando.com,Throwback Thursdays with Addison Taylor,"3/10 10:00PM, 3/24 10:00PM, 3/31 10:00PM, 4/28 10:00PM, 3/17 10:00PM, 4/21 10:00PM, 4/7 10:00PM, 4/14 10:00PM, 3/3 10:00PM",http://calendar.orlandoweekly.com/Events/e10929/Throwback_Thursdays_with_Addison_Taylor
1912 S. Orange Ave.,free-$5,Platinum Friday with DJ Scott Robert,Pulse,(407) 649-3888,http://www.pulseorlando.com,Platinum Friday with DJ Scott Robert,"3/4 9:00PM, 3/11 9:00PM, 3/18 9:00PM, 3/25 9:00PM, 4/1 9:00PM, 4/8 9:00PM, 4/15 9:00PM, 4/22 9:00PM, 4/29 9:00PM",http://calendar.orlandoweekly.com/Events/e10562/Platinum_Friday_with_DJ_Scott_Robert
375 S. Bumby Ave.,free,"Fuego Fridays with DJ Infinite, DJ Lui Lou",Revolution Nightclub,(407) 228-9900,http://www.revolutionorlando.com,"Fuego Fridays with DJ Infinite, DJ Lui Lou","3/18 10:00PM, 4/8 10:00PM, 4/22 10:00PM, 3/25 10:00PM, 4/1 10:00PM, 4/29 10:00PM, 3/4 10:00PM, 4/15 10:00PM, 3/11 10:00PM",http://calendar.orlandoweekly.com/Events/e2919/Fuego_Fridays_with_DJ_Infinite_DJ_Lui_Lou
741 W. Church St.,free,Risque Fridays with Julian Bane,Stonewall Bar Orlando,(407) 373-0888,http://www.stonewallorlando.com,Risque Fridays with Julian Bane,"3/4 10:00PM, 3/11 10:00PM, 3/18 10:00PM, 3/25 10:00PM",http://calendar.orlandoweekly.com/Events/e11007/Risque_Fridays_with_Julian_Bane
110 W. Church St.,free,"Female impersonation, celebrity look-a-likes, comedy and more",Hamburger Mary's,(321) 319-0600,http://hamburgermarys-orlando.com,Leigh Shannon\u0027s Cabaret Dinner Show,"3/5 8:30PM, 3/12 8:30PM, 4/2 8:30PM, 4/23 8:30PM, 3/19 8:30PM, 3/26 8:30PM, 4/9 8:30PM, 4/16 8:30PM, 4/30 8:30PM",http://calendar.orlandoweekly.com/Events/e10280/Leigh_Shannons_Cabaret_Dinner_Show
1912 S. Orange Ave.,free-$8,"Pulsate with DJ Scott Robert, Roxxxy Andrews and Blade Mathews",Pulse,(407) 649-3888,http://www.pulseorlando.com,"Pulsate with DJ Scott Robert, Roxxxy Andrews and Blade Mathews","3/5 9:00PM, 3/12 9:00PM, 3/19 9:00PM, 3/26 9:00PM, 4/2 9:00PM, 4/9 9:00PM, 4/16 9:00PM, 4/23 9:00PM, 4/30 9:00PM",http://calendar.orlandoweekly.com/Events/e10563/Pulsate_with_DJ_Scott_Robert_Roxxxy_Andrews_and_Blade_Mathews
410 N. Orange Blossom Trail,call for price,"Beads, floats and body painting",The Parliament House,(407) 425-7571,http://www.parliamenthouse.com,Mardi Gras and the Parade Spectacular,3/5 8:00PM,http://calendar.orlandoweekly.com/Events/e10981/Mardi_Gras_and_the_Parade_Spectacular
741 W. Church St.,free,Spin Saturdays with DJ My DYD,Stonewall Bar Orlando,(407) 373-0888,http://www.stonewallorlando.com,Spin Saturdays with DJ My DYD,"3/5 5:00PM, 3/12 5:00PM, 3/19 5:00PM, 3/26 5:00PM",http://calendar.orlandoweekly.com/Events/e9998/Spin_Saturdays_with_DJ_My_DYD
375 S. Bumby Ave.,$5,"Unity Saturdays with DJ Joanie, DJ Infinite",Revolution Nightclub,(407) 228-9900,http://www.revolutionorlando.com,"Unity Saturdays with DJ Joanie, DJ Infinite","3/5 9:00PM, 3/19 9:00PM, 3/12 9:00PM, 4/9 9:00PM, 4/30 9:00PM, 3/26 9:00PM, 4/2 9:00PM, 4/16 9:00PM, 4/23 9:00PM",http://calendar.orlandoweekly.com/Events/e7949/Unity_Saturdays_with_DJ_Joanie_DJ_Infinite
741 W. Church St.,free,Mardi Gras Party with VJ My DYD,Stonewall Bar Orlando,(407) 373-0888,http://www.stonewallorlando.com,Mardi Gras Party with VJ My DYD,3/5 9:30PM,http://calendar.orlandoweekly.com/Events/e11010/Mardi_Gras_Party_with_VJ_My_DYD
946 N. Mills Ave.,donations accepted,"Furniture, clothing, electronics, antiques and more to benefit the Center",The Center,(407) 228-8272,http://www.thecenterorlando.org,Fundraiser Yardsale,3/5 7:00AM,http://calendar.orlandoweekly.com/Events/e11200/Fundraiser_Yardsale
410 N. Orange Blossom Trail,free,Dance -  	Sunday T-Dance,The Parliament House,(407) 425-7571,http://www.parliamenthouse.com,Sunday T-Dance,"3/13 10:30PM, 3/20 10:30PM, 3/27 10:30PM, 4/3 10:30PM, 4/10 10:30PM, 4/17 10:30PM, 4/24 10:30PM, 5/1 10:30PM, 5/8 10:30PM, 5/15 10:30PM, 5/22 10:30PM, 5/29 10:30PM, 3/6 10:30PM",http://calendar.orlandoweekly.com/Events/e10980/Sunday_T-Dance
1912 S. Orange Ave.,free-$8,It-Up Monday with Axel Andrews and Kai'ja Adonis -  	Mix-It-Up Monday with Axel Andrews and Kai&#39;ja Adonis,Pulse,(407) 649-3888,http://www.pulseorlando.com,Mix-It-Up Monday with Axel Andrews and Kai\u0027ja Adonis,"3/7 10:00PM, 3/14 10:00PM, 3/21 10:00PM, 3/28 10:00PM, 4/4 10:00PM, 4/11 10:00PM, 4/18 10:00PM, 4/25 10:00PM",http://calendar.orlandoweekly.com/Events/e10560/Mix-It-Up_Monday_with_Axel_Andrews_and_Kaija_Adonis
5310 E. Colonial Drive,free,Dinner cabaret featuring Andrea Canny and John Dehaas on piano,Mr. Sisters,(407) 545-2467,http://www.mrsisters.com,Blowin\u0027 Broadway,"3/7 7:00PM, 3/14 7:00PM, 3/21 7:00PM, 3/28 7:00PM",http://calendar.orlandoweekly.com/Events/e10841/Blowin_Broadway
375 S. Bumby Ave.,free-$8,Noche Latina with DJ Lui Lou,Revolution Nightclub,(407) 228-9900,http://www.revolutionorlando.com,Noche Latina with DJ Lui Lou,"3/7 10:00PM, 3/14 10:00PM, 3/21 10:00PM, 3/28 10:00PM, 4/4 10:00PM, 4/11 10:00PM, 4/18 10:00PM, 4/25 10:00PM",http://calendar.orlandoweekly.com/Events/e5036/Noche_Latina_with_DJ_Lui_Lou
1912 S. Orange Ave.,free-$10,Korndogg&#39;s Rock Band Karaoke with Chris,Pulse,(407) 649-3888,http://www.pulseorlando.com,Korndogg\u0027s Rock Band Karaoke with Chris,"3/8 9:00PM, 3/15 9:00PM, 3/22 9:00PM, 3/29 9:00PM",http://calendar.orlandoweekly.com/Events/e9517/Korndoggs_Rock_Band_Karaoke_with_Chris
375 S. Bumby Ave.,free,Taken Back Tuesdays with DJ Irene Pardo,Revolution Nightclub,(407) 228-9900,http://www.revolutionorlando.com,Taken Back Tuesdays with DJ Irene Pardo,"3/8 10:00PM, 3/15 10:00PM, 3/22 10:00PM, 3/29 10:00PM, 4/5 10:00PM, 4/12 10:00PM, 4/26 10:00PM, 4/19 10:00PM",http://calendar.orlandoweekly.com/Events/e6959/Taken_Back_Tuesdays_with_DJ_Irene_Pardo
