address,venueName,description,phone,title,moreInfoLink
300 East 7th St.,ImaginOn,Performed by the Tarradiddle Players. This play follows a little angels journey into heaven and struggle to adapt and obey a new set of rules. Held in Wachovia Theatre.,,The Littlest Angel,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230024&amp;max=10
4707 South Blvd.,Villa Antonio,,704-523-1594,Bayou Butch Lucas,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A84937&amp;max=10
130 N. Tryon St,Booth Playhouse,Steve recalls his struggle to survive the holidays with his dysfunctional family members in this hilarious show.,704-372-1000,"My Mother's Italian, My Father's Jewish & I'm Home From the Holidays",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229805&amp;max=10
1201 Elizabeth Ave.,CPCC's Halton Theater,Charlotte Youth Ballet presents performances of the holiday classic.,704-330-6534,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230105&amp;max=10
,Encore Bistro,,,Beats and Keys,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A196241&amp;max=10
300 East 7th St.,ImaginOn,"Based on ""A Christmas Carol"" by Charles Dickens. Musical based on the gruesome character Ebenezer Scrooge, who is payed a visit by three Christmas spirits that change him for the better. For ages 7 years old and up. Best enjoyed by elementary, middle and high school ages. Held in McColl Family Theatre.",,Scrooge,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230023&amp;max=10
27 N. Congress Street,"Sylvia Theater, York",,803-684-5590,Christmas in Dixie,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231804&amp;max=10
124 McLaurin Hall,Winthrop University,"Featuring dance works choreographed by senior dance majors and including a variety of styles, such as modern, jazz, hip-hop, ballet and more. Held in Johnson Theatre.",803-323-2493,Senior Choreography Showcase,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229673&amp;max=10
,"Wild Wing Cafe, South Charlotte",,,DJ Dance Party,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231809&amp;max=10
1933 S. Blvd.,Tyber Creek Pub,,704-343-2727,DJ Wojo,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A81992&amp;max=10
1401 Central Ave.%2C Suite 103,Story Slam,"Story Slam! Charlotte presents dramatic play readings, poetry, fiction and local songwriters For more information, visit www.storyslamcharlotte.com.",,StorySlam Charlotte,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A197955&amp;max=10
400 W. Tremont Ave.,Tremont Music Hall,,704-343-9494,"EyeHateGod, Crowbar, Black Tusk, Phobia",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231761&amp;max=10
801 Neely Road,South Pointe Auditorium,"When two struggling writers hear about a new musical theater festival at the last minute, they decide to participate. In 90 minutes they write and perform their show at the festival and learn valuable lessons from other artists. Presented by The Edge Theatre Company.",,Title of Show,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229807&amp;max=10
307 Armour St.,Armour Street Theatre,"Based on the motion picture, A Christmas Story, written by Jean Shepherd, Leigh Brown and Bob Clark and on the book In God We Trust, All Others Pay Cash by Jean Shepherd. Presented by Davidson Community Players.",,A Christmas Story,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229806&amp;max=10
225 N. Caldwell St.,Breakfast Club,,704-374-1982,Hip Hop w/ DJ Magic,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A153015&amp;max=10
650 E. Stonewall St.,Actor's Theatre of Charlotte,"With just three actors, a very tipsy Santa and some audience participation classic holiday stories, carols and TV specials are crammed together for an evening of seasonal cheer. By Michael Carleton, Jim Fitzgerald and John K. Alvarez, with original music by Will Knapp.",704-342-2251,Every Christmas Story Ever Told,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229775&amp;max=10
345 North College St.,Duke Energy Theatre,"This 1980 Tony Award nominated play, written by North Carolina Native, Samm-Art Williams, follows the many trials and tribulations of an ordinary man named Cephus Miles. Presented by On Q Productions.",704-372-1000,Home,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229804&amp;max=10
Speedway Blvd.,"Iron Thunder, Concord",,,Joe Blythe,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A56902&amp;max=10
300 East 7th St.,ImaginOn,Performed by the Tarradiddle Players. This play follows a little angels journey into heaven and struggle to adapt and obey a new set of rules. Held in Wachovia Theatre.,,The Littlest Angel,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230024&amp;max=10
130 N. Tryon St,Booth Playhouse,Steve recalls his struggle to survive the holidays with his dysfunctional family members in this hilarious show.,704-372-1000,"My Mother's Italian, My Father's Jewish & I'm Home From the Holidays",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229805&amp;max=10
1201 Elizabeth Ave.,CPCC's Halton Theater,Charlotte Youth Ballet presents performances of the holiday classic.,704-330-6534,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230105&amp;max=10
5th %26 College,Blue Restaurant,,,John Alexander,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A196244&amp;max=10
300 East 7th St.,ImaginOn,"Based on ""A Christmas Carol"" by Charles Dickens. Musical based on the gruesome character Ebenezer Scrooge, who is payed a visit by three Christmas spirits that change him for the better. For ages 7 years old and up. Best enjoyed by elementary, middle and high school ages. Held in McColl Family Theatre.",,Scrooge,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230023&amp;max=10
801 Neely Road,South Pointe Auditorium,"When two struggling writers hear about a new musical theater festival at the last minute, they decide to participate. In 90 minutes they write and perform their show at the festival and learn valuable lessons from other artists. Presented by The Edge Theatre Company.",,Title of Show,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229807&amp;max=10
218 E Independence Blvd,Double Door Inn,,704-376-1446,Leslie,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231831&amp;max=10
300 East 7th St.,ImaginOn,Performed by the Tarradiddle Players. This play follows a little angels journey into heaven and struggle to adapt and obey a new set of rules. Held in Wachovia Theatre.,,The Littlest Angel,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230024&amp;max=10
1800 E. 7th St.,Cajun Queen,,704-377-9017,Live Jazz,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A198686&amp;max=10
300 East 7th St.,ImaginOn,"Based on ""A Christmas Carol"" by Charles Dickens. Musical based on the gruesome character Ebenezer Scrooge, who is payed a visit by three Christmas spirits that change him for the better. For ages 7 years old and up. Best enjoyed by elementary, middle and high school ages. Held in McColl Family Theatre.",,Scrooge,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230023&amp;max=10
P.O. Box 105,"Don Gibson Theatre, Shelby",,,New Harmonies: Celebrating American Roots Music,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229971&amp;max=10
300 East 7th St.,ImaginOn,Performed by the Tarradiddle Players. This play follows a little angels journey into heaven and struggle to adapt and obey a new set of rules. Held in Wachovia Theatre.,,The Littlest Angel,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230024&amp;max=10
300 East 7th St.,ImaginOn,"Based on ""A Christmas Carol"" by Charles Dickens. Musical based on the gruesome character Ebenezer Scrooge, who is payed a visit by three Christmas spirits that change him for the better. For ages 7 years old and up. Best enjoyed by elementary, middle and high school ages. Held in McColl Family Theatre.",,Scrooge,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230023&amp;max=10
400 N Polk St.,"Players, Pineville",,,Open Mic,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A159093&amp;max=10
5237 Albemarle Road,Boppers Bar & Boogie,,704-537-3323,Open Mic Night,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229694&amp;max=10
2700 E. Independence Blvd,Ovens Auditorium,Irving Berlin musical direct from broadway. Tells the story of two showbiz buddies who perform in a magical Vermont inn and find their ideal mates in the process.,704-372-3600,White Christmas,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230031&amp;max=10
2901 North Davidson St,Prevue,,,Open Mic Night,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A106570&amp;max=10
650 E. Stonewall St.,Actor's Theatre of Charlotte,"With just three actors, a very tipsy Santa and some audience participation classic holiday stories, carols and TV specials are crammed together for an evening of seasonal cheer. By Michael Carleton, Jim Fitzgerald and John K. Alvarez, with original music by Will Knapp.",704-342-2251,Every Christmas Story Ever Told,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229775&amp;max=10
2740 W. Sugar Creek Road.,Puckett's Farm Equipment,,704-597-8230,Open Mic With Shaun,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231783&amp;max=10
300 East 7th St.,ImaginOn,Performed by the Tarradiddle Players. This play follows a little angels journey into heaven and struggle to adapt and obey a new set of rules. Held in Wachovia Theatre.,,The Littlest Angel,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230024&amp;max=10
1820 South Blvd.,Sunset Club,The open mic highlights national recording artists and provides newly signed and unsigned artists a platform to showcase their talent.,,R&B Live,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A154711&amp;max=10
300 East 7th St.,ImaginOn,"Based on ""A Christmas Carol"" by Charles Dickens. Musical based on the gruesome character Ebenezer Scrooge, who is payed a visit by three Christmas spirits that change him for the better. For ages 7 years old and up. Best enjoyed by elementary, middle and high school ages. Held in McColl Family Theatre.",,Scrooge,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230023&amp;max=10
19607 Statesville Road,Kylie's Sports Bar and Grill,,704-895-6944,Rayen Belchere,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230248&amp;max=10
2700 E. Independence Blvd,Ovens Auditorium,Irving Berlin musical direct from broadway. Tells the story of two showbiz buddies who perform in a magical Vermont inn and find their ideal mates in the process.,704-372-3600,White Christmas,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230031&amp;max=10
1228 Gordon St.,Snug Harbor,,,Shiprocked w/ Scott Weaver,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A157625&amp;max=10
,Charles Mack Citizen Center,Sing along with your favorite songs and become a part of our  new world. Visit: www.masterworkschoolofthearts.com.,,Aladdin,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231372&amp;max=10
307 Armour St.,Armour Street Theatre,"Based on the motion picture, A Christmas Story, written by Jean Shepherd, Leigh Brown and Bob Clark and on the book In God We Trust, All Others Pay Cash by Jean Shepherd. Presented by Davidson Community Players.",,A Christmas Story,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229806&amp;max=10
1118 Clement Ave.,Carolina Actors Studio Theatre (CAST),"This play, by James McClure, is comprised of interwoven stories of New Yorkers that gather to pay tribute to John Lennon after he was shot to death.",704-455-8542,The Day They Shot John Lennon,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230027&amp;max=10
650 E. Stonewall St.,Actor's Theatre of Charlotte,"With just three actors, a very tipsy Santa and some audience participation classic holiday stories, carols and TV specials are crammed together for an evening of seasonal cheer. By Michael Carleton, Jim Fitzgerald and John K. Alvarez, with original music by Will Knapp.",704-342-2251,Every Christmas Story Ever Told,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229775&amp;max=10
1615 Elizabeth Ave.,Visulite Theatre,,704-358-9200,"Tab Benoit and Friends, Anders Osborne, Big Chief Monk Boudreaux",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231790&amp;max=10
3227 N. Davidson St.,The Evening Muse,,704-376-3737,"Tony Lucca, Jay Nash, Matt Duke",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231844&amp;max=10
300 East 7th St.,ImaginOn,Performed by the Tarradiddle Players. This play follows a little angels journey into heaven and struggle to adapt and obey a new set of rules. Held in Wachovia Theatre.,,The Littlest Angel,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230024&amp;max=10
NoDa,Wine Up,,704-372-2633,"Touch One Thursdays f/ live music, DJ Flemingo",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A155240&amp;max=10
300 East 7th St.,ImaginOn,"Based on ""A Christmas Carol"" by Charles Dickens. Musical based on the gruesome character Ebenezer Scrooge, who is payed a visit by three Christmas spirits that change him for the better. For ages 7 years old and up. Best enjoyed by elementary, middle and high school ages. Held in McColl Family Theatre.",,Scrooge,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230023&amp;max=10
1401 Central Ave.%2C Suite 103,Story Slam,"StorySlam! Charlotte presents Senior Theatre League, a casual association of mature theater buffs, who meet for play readings and outings.    For more information, visit www.storyslamcharlotte.com.",,StorySlam Charlotte,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A197954&amp;max=10
2700 E. Independence Blvd,Ovens Auditorium,Irving Berlin musical direct from broadway. Tells the story of two showbiz buddies who perform in a magical Vermont inn and find their ideal mates in the process.,704-372-3600,White Christmas,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230031&amp;max=10
333 E. Trade St.,Time Warner Cable Arena,,,Trans-Siberian Orchestra,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231855&amp;max=10
,Charles Mack Citizen Center,Sing along with your favorite songs and become a part of our  new world. Visit: www.masterworkschoolofthearts.com.,,Aladdin,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231372&amp;max=10
501 Queens Road,Theatre Charlotte,"Adapted by John Jakes from the novel by Charles Dickens. The grumpy Scrooge is visited by Christmas Past, Christmas Present and Christmas Future, which opens his heart experiencing holiday joy.",704-376-3777,A Christmas Carol,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230068&amp;max=10
307 Armour St.,Armour Street Theatre,"Based on the motion picture, A Christmas Story, written by Jean Shepherd, Leigh Brown and Bob Clark and on the book In God We Trust, All Others Pay Cash by Jean Shepherd. Presented by Davidson Community Players.",,A Christmas Story,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229806&amp;max=10
,"George A. Batte Jr. Fine Arts Center, Wingate University",Concert featuring different genres of music from Christmas  theme to drum and mallet ensembles.,704-233-8300,Wingate University present Percussion Christmas Concert,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231596&amp;max=10
1118 Clement Ave.,Carolina Actors Studio Theatre (CAST),"This play, by James McClure, is comprised of interwoven stories of New Yorkers that gather to pay tribute to John Lennon after he was shot to death.",704-455-8542,The Day They Shot John Lennon,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230027&amp;max=10
,"Crossroads Pub, Steele Creek",,,Wizards Roadshow,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A159083&amp;max=10
100 McDowell St.,Matthews Community Center,"Second annual Holiday Music Revue, performed entirely b the  Matthews Playhouse School of Theatre Training students.",704-846-8343,Deck the Halls,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230990&amp;max=10
,DaVinci's Pizza,,,After Work Groove with DJ Festivus,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A196902&amp;max=10
650 E. Stonewall St.,Actor's Theatre of Charlotte,"With just three actors, a very tipsy Santa and some audience participation classic holiday stories, carols and TV specials are crammed together for an evening of seasonal cheer. By Michael Carleton, Jim Fitzgerald and John K. Alvarez, with original music by Will Knapp.",704-342-2251,Every Christmas Story Ever Told,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229775&amp;max=10
300 East 7th St.,ImaginOn,Performed by the Tarradiddle Players. This play follows a little angels journey into heaven and struggle to adapt and obey a new set of rules. Held in Wachovia Theatre.,,The Littlest Angel,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230024&amp;max=10
1423 South Tryon St,Amos' Southend,,704-377-6874,"Beards Because Finale w/ Scythian, Truckstop Preachers, The Murray Brothers",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231753&amp;max=10
130 N. Tryon St.,Belk Theater,"The holiday classic, choreographed by Artistic Director Jean-Pierre Bonnefoux, follows the young Clara who receives a magical Nutcracker doll from her mysterious uncle. As the nutcracker comes alive, Clara embarks on a journey to an enchanting land of snow and sweets. Presented by North Carolina Dance Theatre.",704-372-1000,Nutcracker,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230030&amp;max=10
,"Rusty Rudder, Cornelius",,,Below the Belt,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231856&amp;max=10
218 E Independence Blvd,Double Door Inn,,704-376-1446,"Bill Noonan & The Barb Wires, Leadville Social Club",http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231832&amp;max=10
415 E. First Street,Kannapolis Performing Arts Center,"In its 8th year, Kannapolis based Piedmont Dance theatre  presents The Nutcracker.  www.piedmontdancetheatre.com.",,,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231731&amp;max=10
511 E. 36th St.,Neighborhood Theatre,,704-358-9298,Bonnie Prince Billy & The Cairo Gang,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231838&amp;max=10
,"Wild Wing Cafe, South Charlotte",,,DJ Dance Party,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231810&amp;max=10
900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,4th Annual Merry Christmas Happy Hanukkah Kwanzaa Cheers Whoopi: Festivus Comedy Improv Comedy Variety Extravaganza.,,The Chuckleheads,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231423&amp;max=10
229 Medical Park Road %23120,"G'ss Lounge, Mooresville",,,DJ MCD,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A159608&amp;max=10
900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,"Stand-up comedy open mic. Comics get five minutes.  Sign-up starts at 7 p.m. For more information, visit www.thecomedyzonefortmill.com.",,Open Mic Night,http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229607&amp;max=10
