email,state,endDate,city,address1,startDate,locationName,hour,description,photo,webSite,zipCode,phone,title,info
admin@rbhayes.org,Ohio,"<span id=""cEventDatesEnd"">2/27/2011</span>",Fremont,Spiegel Grove,"<span id=""cEventDatesStart"">8/17/2010</span>",Rutherford B. Hayes Presidential Center,"Sunday: 12:00 PM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM, Wednesday: 9:00 AM - 5:00 PM, Thursday: 9:00 AM - 5:00 PM, Friday: 9:00 AM - 5:00 PM, Saturday: 9:00 AM - 5:00 PM","The Hayes Presidential Center staff invites visitors in for a peek at rarely seen items from its collections vault. From the unique to the unusual these are items that have indirect connections to the Museum's collection focus, yet merit preservation. Perhaps more fascinating than the objects themselves are the stories and, in some cases, mysteries associated with them. This exhibit made possible by funding from the Randolph J. &amp; Estelle M. Dorn Foundation.",http://consumer.discoverohio.com/graphics/listings/photos/thumb_f4f9fc08-a5fe-4b2b-a72f-6b9dc585b55b.jpg,http://www.rbhayes.org,43420,"Toll-Free: 800-998-7737, Local Number: 419-332-2081",Hidden Treasures of the Hayes Museum,http://consumer.discoverohio.com/searchdetails.aspx?detail=73933
admin@rbhayes.org,Ohio,"<span id=""cEventDatesEnd"">2/27/2011</span>",Fremont,Spiegel Grove,"<span id=""cEventDatesStart"">8/17/2010</span>",Rutherford B. Hayes Presidential Center,"Thursday: 9:00 AM - 5:00 PM, Sunday: 12:00 PM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM, Saturday: 9:00 AM - 5:00 PM, Friday: 9:00 AM - 5:00 PM, Wednesday: 9:00 AM - 5:00 PM","The Hayes Presidential Center staff invites visitors in for a peek at rarely seen items from its collections vault. From the unique to the unusual these are items that have indirect connections to the Museum's collection focus, yet merit preservation. Perhaps more fascinating than the objects themselves are the stories and, in some cases, mysteries associated with them. This exhibit made possible by funding from the Randolph J. &amp; Estelle M. Dorn Foundation.",http://consumer.discoverohio.com/graphics/listings/photos/thumb_f4f9fc08-a5fe-4b2b-a72f-6b9dc585b55b.jpg,http://www.rbhayes.org,43420,"Local Number: 419-332-2081, Toll-Free: 800-998-7737",Hidden Treasures of the Hayes Museum,http://consumer.discoverohio.com/searchdetails.aspx?detail=73933
museum@kent.edu,Ohio,"<span id=""cEventDatesEnd"">9/4/2011</span>",Kent,Rockwell Hall,"<span id=""cEventDatesStart"">9/26/2010</span>",Kent State University Museum,"Friday: 10:00 AM - 4:45 PM, Saturday: 10:00 AM - 4:45 PM, Wednesday: 10:00 AM - 4:45 PM, Sunday: 12:00 PM - 4:45 AM, Thursday: 10:00 AM - 8:45 PM","This exhibition will consist of actress Katharine Hepburn's collection of her performance costumes and personal garments over the course of her career. The collection was given to the Kent State University Museum by her estate, and will be the first public showing of her personal collection.",,http://www.kent.edu/museum,44242,Local Number: (330) 672-3450,Katharine Hepburn: Dressed for Stage and Screen,http://consumer.discoverohio.com/searchdetails.aspx?detail=72902
museum@kent.edu,Ohio,"<span id=""cEventDatesEnd"">9/4/2011</span>",Kent,Rockwell Hall,"<span id=""cEventDatesStart"">9/26/2010</span>",Kent State University Museum,"Sunday: 12:00 PM - 4:45 AM, Saturday: 10:00 AM - 4:45 PM, Friday: 10:00 AM - 4:45 PM, Thursday: 10:00 AM - 8:45 PM, Wednesday: 10:00 AM - 4:45 PM","This exhibition will consist of actress Katharine Hepburn's collection of her performance costumes and personal garments over the course of her career. The collection was given to the Kent State University Museum by her estate, and will be the first public showing of her personal collection.",,http://www.kent.edu/museum,44242,Local Number: (330) 672-3450,Katharine Hepburn: Dressed for Stage and Screen,http://consumer.discoverohio.com/searchdetails.aspx?detail=72902
,Ohio,"<span id=""cEventDatesEnd"">4/29/2011</span>",Nelsonville,Public Square,"<span id=""cEventDatesStart"">4/30/2010</span>",Nelsonville Public Square,Friday: 6:00 PM - 10:00 PM,"Nelsonville's Historic Public Square hosts a monthly community arts event the final Friday of every month, except for December. Galleries and retail shops stay open late to feature special art events at each venue. Visitors to the square can watch artists at work in their studios, as well as see new art exhibits, plays, and musical shows.",http://consumer.discoverohio.com/graphics/listings/photos/2763_5312005115525.jpg,http://www.nelsonvillearts.com,45764,Local Number: (740) 753-3391,Final Fridays on the Square,http://consumer.discoverohio.com/searchdetails.aspx?detail=50057
communications@ohiohistory.org,Ohio,"<span id=""cEventDatesEnd"">4/16/2011</span>",Wilberforce,1350 Brush Row Rd,"<span id=""cEventDatesStart"">11/1/2010</span>",National Afro-American Museum & Cultural Center,"Saturday: 9:00 AM - 4:00 PM, Wednesday: 9:00 AM - 4:00 PM, Thursday: 9:00 AM - 4:00 PM, Friday: 9:00 AM - 4:00 PM","On exhibit from November 1, 2010 through April 16, 2011, this exhibition features 90 quilts commemorating a milestone in American history - the election of an African American history and culture from African origins to the present through a variety of programs. Including museum exhibits, research and publications, visiting scholars, oral and visual history and adult and children's educational activities.",,http://www.ohiohistory.org,45384,Toll-Free: (800) 752-2603,The Journey of Hope in America; Quilts Inspired by President Barack Obama,http://consumer.discoverohio.com/searchdetails.aspx?detail=78433
communications@ohiohistory.org,Ohio,"<span id=""cEventDatesEnd"">4/16/2011</span>",Wilberforce,1350 Brush Row Rd,"<span id=""cEventDatesStart"">11/1/2010</span>",National Afro-American Museum & Cultural Center,"Thursday: 9:00 AM - 4:00 PM, Friday: 9:00 AM - 4:00 PM, Saturday: 9:00 AM - 4:00 PM, Wednesday: 9:00 AM - 4:00 PM","On exhibit from November 1, 2010 through April 16, 2011, this exhibition features 90 quilts commemorating a milestone in American history - the election of an African American history and culture from African origins to the present through a variety of programs. Including museum exhibits, research and publications, visiting scholars, oral and visual history and adult and children's educational activities.",,http://www.ohiohistory.org,45384,Toll-Free: (800) 752-2603,The Journey of Hope in America; Quilts Inspired by President Barack Obama,http://consumer.discoverohio.com/searchdetails.aspx?detail=78433
call_center@mail.cosi.org,Ohio,"<span id=""cEventDatesEnd"">3/12/2011</span>",Columbus,333 West Broad Street,"<span id=""cEventDatesStart"">11/3/2010</span>",COSI Columbus,"Saturday: 10:00 AM - 4:00 PM, Thursday: 10:00 AM - 4:00 PM, Friday: 10:00 AM - 4:00 PM, Sunday: 12:00 PM - 5:00 PM, Wednesday: 10:00 AM - 4:00 PM","Legends of FlightNovember 3, 2010 - March 12, 2011Take the ultimate flying experience without ever leaving the ground.Enter the cockpits of planes representing over 100 years of breakthrough aeronautic design and soar through the skies in this visually stunning film for all ages. Legends of Flight brings a new perspective to aviation through the inestimable skills and personality of The Boeing Company's chief pilot for the 787 Dreamliner, Capt. Mike Carriker. His guests will fly engineless through mountain passes, feel the wind in their hair barnstorming in a Stearman bi-plane, and will experience sheer flight exhilaration as a Harrier Jump Jet leaps into the sky at the pilot's command and then rockets to tactical speed.Also get an insider's view of how a modern aircraft is built, and become privy to the manufacturing challenges and incredible financial risks companies assume when they embark on radical new designs. Produced and directed by Stephen Low, in association with the Smithsonian National Air and Space Museum.Media Sponsor: Time Warner Cable Film Sponsor: Yellow BookAdmission:$6.00 with COSI admission, $7.50 for Theater-Only admissionParking: $5",http://consumer.discoverohio.com/graphics/listings/photos/thumb_485ad8a9-71b8-4e0b-a48a-810f915bbf47.jpg,http://www.cosi.org,43215,"Toll-Free: (888) 918-2674, Local Number: (614) 228-2674",Extreme Screen Film: Legends of Flight,http://consumer.discoverohio.com/searchdetails.aspx?detail=78440
call_center@mail.cosi.org,Ohio,"<span id=""cEventDatesEnd"">3/12/2011</span>",Columbus,333 West Broad Street,"<span id=""cEventDatesStart"">11/3/2010</span>",COSI Columbus,"Sunday: 12:00 PM - 5:00 PM, Saturday: 10:00 AM - 4:00 PM, Friday: 10:00 AM - 4:00 PM, Wednesday: 10:00 AM - 4:00 PM, Thursday: 10:00 AM - 4:00 PM","Legends of FlightNovember 3, 2010 - March 12, 2011Take the ultimate flying experience without ever leaving the ground.Enter the cockpits of planes representing over 100 years of breakthrough aeronautic design and soar through the skies in this visually stunning film for all ages. Legends of Flight brings a new perspective to aviation through the inestimable skills and personality of The Boeing Company's chief pilot for the 787 Dreamliner, Capt. Mike Carriker. His guests will fly engineless through mountain passes, feel the wind in their hair barnstorming in a Stearman bi-plane, and will experience sheer flight exhilaration as a Harrier Jump Jet leaps into the sky at the pilot's command and then rockets to tactical speed.Also get an insider's view of how a modern aircraft is built, and become privy to the manufacturing challenges and incredible financial risks companies assume when they embark on radical new designs. Produced and directed by Stephen Low, in association with the Smithsonian National Air and Space Museum.Media Sponsor: Time Warner Cable Film Sponsor: Yellow BookAdmission:$6.00 with COSI admission, $7.50 for Theater-Only admissionParking: $5",http://consumer.discoverohio.com/graphics/listings/photos/thumb_485ad8a9-71b8-4e0b-a48a-810f915bbf47.jpg,http://www.cosi.org,43215,"Toll-Free: (888) 918-2674, Local Number: (614) 228-2674",Extreme Screen Film: Legends of Flight,http://consumer.discoverohio.com/searchdetails.aspx?detail=78440
,Ohio,"<span id=""cEventDatesEnd"">9/4/2011</span>",Columbus,333 W. Broad Street,"<span id=""cEventDatesStart"">11/3/2010</span>",COSI,"Saturday: 10:00 AM - 5:00 PM, Sunday: 12:00 PM - 6:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM","Members of the ""Explorer Society"" have been conducting an archaeological dig in the ""Valley of the Unknown"" on a recently discovered island. In the middle of the valley is the Observatory - a towering ruin rumored to hold the Treasure of Knowledge. Unfortunately, the Observatory is locked...and only true explorers can open it!Crack the code: Our intrepid adventurers need your help uncovering the secrets of this recently-discovered island. Use your wits, creativity, and keen skills of observation to navigate the island's three areas and decipher an ancient code. Solve the levels, gain the ultimate treasure: You'll have to gain access to the island's towering Observatory to complete your quest. Enter the correct code into the keypad and the doors of the Observatory will swing open! Listen closely - could your discovery lead to another level of hidden secrets? Find your way through the maze, discover the truth: Navigate the Maze of Reasoning, locate three hidden animal symbols, and bring the Spirit of Reason to life. Just when you think you know the rules, the game may change!",http://consumer.discoverohio.com/graphics/listings/photos/19263_thumb_112201010529.jpg,http://www.cosi.org,43215,Local Number: (614) 228-2674,COSI's Adventure: Valley of the Unknown,http://consumer.discoverohio.com/searchdetails.aspx?detail=78462
,Ohio,"<span id=""cEventDatesEnd"">9/4/2011</span>",Columbus,333 W. Broad Street,"<span id=""cEventDatesStart"">11/3/2010</span>",COSI,"Thursday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Sunday: 12:00 PM - 6:00 PM","Members of the ""Explorer Society"" have been conducting an archaeological dig in the ""Valley of the Unknown"" on a recently discovered island. In the middle of the valley is the Observatory - a towering ruin rumored to hold the Treasure of Knowledge. Unfortunately, the Observatory is locked...and only true explorers can open it!Crack the code: Our intrepid adventurers need your help uncovering the secrets of this recently-discovered island. Use your wits, creativity, and keen skills of observation to navigate the island's three areas and decipher an ancient code. Solve the levels, gain the ultimate treasure: You'll have to gain access to the island's towering Observatory to complete your quest. Enter the correct code into the keypad and the doors of the Observatory will swing open! Listen closely - could your discovery lead to another level of hidden secrets? Find your way through the maze, discover the truth: Navigate the Maze of Reasoning, locate three hidden animal symbols, and bring the Spirit of Reason to life. Just when you think you know the rules, the game may change!",http://consumer.discoverohio.com/graphics/listings/photos/19263_thumb_112201010529.jpg,http://www.cosi.org,43215,Local Number: (614) 228-2674,COSI's Adventure: Valley of the Unknown,http://consumer.discoverohio.com/searchdetails.aspx?detail=78462
museum@kent.edu,Ohio,"<span id=""cEventDatesEnd"">10/9/2011</span>",Kent,Rockwell Hall,"<span id=""cEventDatesStart"">11/19/2010</span>",,"Wednesday: 10:00 AM - 4:45 PM, Saturday: 10:00 AM - 4:45 PM, Friday: 10:00 AM - 4:45 PM, Thursday: 10:00 AM - 8:45 PM, Sunday: 12:00 PM - 4:45 PM","This exhibition of historic garments opens November 19th, featuring garments donated by the original owners and their families. Costumes include items from the 1830s to a NASA space suit.",,http://kent.edu/museum,44242,Local Number: 330.672.3450,New and Noteworthy,http://consumer.discoverohio.com/searchdetails.aspx?detail=78401
museum@kent.edu,Ohio,"<span id=""cEventDatesEnd"">10/9/2011</span>",Kent,Rockwell Hall,"<span id=""cEventDatesStart"">11/19/2010</span>",,"Friday: 10:00 AM - 4:45 PM, Saturday: 10:00 AM - 4:45 PM, Sunday: 12:00 PM - 4:45 PM, Thursday: 10:00 AM - 8:45 PM, Wednesday: 10:00 AM - 4:45 PM","This exhibition of historic garments opens November 19th, featuring garments donated by the original owners and their families. Costumes include items from the 1830s to a NASA space suit.",,http://kent.edu/museum,44242,Local Number: 330.672.3450,New and Noteworthy,http://consumer.discoverohio.com/searchdetails.aspx?detail=78401
,Ohio,"<span id=""cEventDatesEnd"">2/28/2011</span>",Burton,15161 Main Market,"<span id=""cEventDatesStart"">12/1/2010</span>",,"Monday: 11:00 AM - 9:00 PM, Saturday: 11:00 AM - 9:00 PM, Friday: 11:00 AM - 9:00 PM, Thursday: 11:00 AM - 9:00 PM, Wednesday: 11:00 AM - 9:00 PM, Sunday: 11:00 AM - 9:00 PM, Tuesday: 11:00 AM - 9:00 PM",Dashing through the snow in a one horse open sleigh!  Afterwards warm up with fresh maple coffee and cookies.  Shop 'til you drop in our 1820's log cabin.  Make a memory this winter at Ma &amp; Pa's. ,http://consumer.discoverohio.com/graphics/listings/photos/thumb_24e54a02-d0a3-4b0a-a845-8ac4eadcc1df.JPG,http://www.maandpas.com,44021,Local Number: 440-548-5521,Ma & Pa's Horse Drawn Sleigh Rides 2010-11,http://consumer.discoverohio.com/searchdetails.aspx?detail=74272
,Ohio,"<span id=""cEventDatesEnd"">2/28/2011</span>",Burton,15161 Main Market,"<span id=""cEventDatesStart"">12/1/2010</span>",,"Sunday: 11:00 AM - 9:00 PM, Monday: 11:00 AM - 9:00 PM, Tuesday: 11:00 AM - 9:00 PM, Wednesday: 11:00 AM - 9:00 PM, Thursday: 11:00 AM - 9:00 PM, Friday: 11:00 AM - 9:00 PM, Saturday: 11:00 AM - 9:00 PM",Dashing through the snow in a one horse open sleigh!  Afterwards warm up with fresh maple coffee and cookies.  Shop 'til you drop in our 1820's log cabin.  Make a memory this winter at Ma &amp; Pa's. ,http://consumer.discoverohio.com/graphics/listings/photos/thumb_24e54a02-d0a3-4b0a-a845-8ac4eadcc1df.JPG,http://www.maandpas.com,44021,Local Number: 440-548-5521,Ma & Pa's Horse Drawn Sleigh Rides 2010-11,http://consumer.discoverohio.com/searchdetails.aspx?detail=74272
info@massillonmuseum.org,Ohio,"<span id=""cEventDatesEnd"">2/27/2011</span>",Massillon,121 Lincoln Way East,"<span id=""cEventDatesStart"">12/4/2010</span>",,"Friday: 9:30 AM - 5:00 PM, Saturday: 9:30 AM - 5:00 PM, Sunday: 9:30 AM - 5:00 PM, Tuesday: 9:30 AM - 5:00 PM, Wednesday: 9:30 AM - 5:00 PM, Thursday: 9:30 AM - 5:00 PM","Main gallery exhibition of photographs created by one of the world's most important female photographer, Nell Dorr, a native of Massillon, Ohio.",,http://www.massillonmuseum.org,44646,Local Number: (330) 833-4061,"""Between Two Worlds: The Photography of Nell Dorr"" Exhibition",http://consumer.discoverohio.com/searchdetails.aspx?detail=77305
info@massillonmuseum.org,Ohio,"<span id=""cEventDatesEnd"">2/27/2011</span>",Massillon,121 Lincoln Way East,"<span id=""cEventDatesStart"">12/4/2010</span>",,"Thursday: 9:30 AM - 5:00 PM, Sunday: 9:30 AM - 5:00 PM, Wednesday: 9:30 AM - 5:00 PM, Tuesday: 9:30 AM - 5:00 PM, Saturday: 9:30 AM - 5:00 PM, Friday: 9:30 AM - 5:00 PM","Main gallery exhibition of photographs created by one of the world's most important female photographer, Nell Dorr, a native of Massillon, Ohio.",,http://www.massillonmuseum.org,44646,Local Number: (330) 833-4061,"""Between Two Worlds: The Photography of Nell Dorr"" Exhibition",http://consumer.discoverohio.com/searchdetails.aspx?detail=77305
toledozooinfo@toledozoo.org,Ohio,"<span id=""cEventDatesEnd"">2/28/2011</span>",Toledo,2 Hippo Way,"<span id=""cEventDatesStart"">1/2/2011</span>",The Toledo Zoo,"Saturday: 10:00 AM - 4:00 PM, Friday: 10:00 AM - 4:00 PM, Tuesday: 10:00 AM - 4:00 PM, Monday: 10:00 AM - 4:00 PM, Sunday: 10:00 AM - 4:00 PM, Wednesday: 10:00 AM - 4:00 PM, Thursday: 10:00 AM - 4:00 PM","Dig the cool at the Toledo Zoo and join the annual celebration of all things winter!  Frozentoesen runs throughout January and February with Cabin Fever Feeds, Ice Carving Demonstrations, and special performances in the Zoo's Indoor Theatre.  Enjoy half-price admission during Frozentoesen.  Visit the Toledo Zoo website for a comlete schedule of events.",http://consumer.discoverohio.com/graphics/listings/photos/thumb_6e802e68-658c-4fde-80e5-650046499ae9.JPG,http://www.toledozoo.org,43614,Local Number: (419) 385-4040,Frozentoesen,http://consumer.discoverohio.com/searchdetails.aspx?detail=76913
,Ohio,"<span id=""cEventDatesEnd"">5/29/2011</span>",Warren,National Packard Museum,"<span id=""cEventDatesStart"">1/8/2011</span>",,"Sunday: 1:00 PM - 5:00 PM, Tuesday: 12:00 PM - 5:00 PM, Wednesday: 12:00 PM - 5:00 PM, Thursday: 12:00 PM - 5:00 PM, Saturday: 12:00 PM - 5:00 PM, Friday: 12:00 PM - 5:00 PM","This two-wheel exhibit features over 30 classic motorcycles including Harleys, Indian Chiefs, BMWs, BSAs and NSUs dating from the early 1900s to 1980.    ",,http://www.PackardMuseum.org,44483,Local Number: 330.394.1899,"11th Annual Antique Motorcycle Show -- ""Motorcyles on Main Street""",http://consumer.discoverohio.com/searchdetails.aspx?detail=75625
artmuseum@muohio.edu,Ohio,"<span id=""cEventDatesEnd"">7/23/2011</span>",Oxford,801 South Patterson Avenue,"<span id=""cEventDatesStart"">1/11/2011</span>",Miami University Art Museum,"Saturday: 12:00 PM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM",,http://consumer.discoverohio.com/graphics/listings/photos/thumb_02aa872e-56f6-43fa-8529-b67c0d4b0784.jpg,http://arts.muohio.edu/art-museum,45056,Local Number: (513) 529-2232,Looking Beyond the Surface: Understanding Identity Through Art,http://consumer.discoverohio.com/searchdetails.aspx?detail=77910
