startDate,parkName,fullAddress,startHour,endDate,image,endHour,phone,title,moreInfo,desc
01/08/2011,Glimmerglass State Park,"Glimmerglass State Park, NY",11:00 AM,02/27/2011,,04:00 PM,,Winter Snow Tubing At Glimmerglass State Park,http://nysparks.state.ny.us/events/event.aspx?e=28-2737.0,Enjoy the winter activities at the park! Snow tubing weekends $5 per person tubing per day. Children under 13 years of age must be accompanied by an adult. -- Warming room with refreshments -- Tubes are provided (only the park tubes provided are permitted) -- no tow rope--must walk up the hill. Other Outdoor Winter Activities at the park are Free -- ice skating under the West Pavilion -- cross country skiing -- snow shoeing -- hiking -- ice fishing** All activities are weather permitting**
02/26/2011,Beaver Island Nature Center,"Beaver Island Nature Center, NY",10:00 AM,02/26/2011,,02:00 PM,(716) 282-5154,Winter Birding Adventure on the River,http://nysparks.state.ny.us/events/event.aspx?e=11-2780.0,Beaver Island and Buckhorn Island State Parks Join us as we search for migratory waterfowl and other wintering birds found along the shores of the Niagara River. We will visit a few of the many viewing areas you will find in our state parks on Grand Island. For information and registration please call.
02/26/2011,Beaver Island State Park,"Beaver Island State Park, NY",10:00 AM,02/26/2011,,02:00 PM,(716) 282-5154,Winter Birding Adventure on the River,http://nysparks.state.ny.us/events/event.aspx?e=56-2780.0,Beaver Island and Buckhorn Island State Parks Join us as we search for migratory waterfowl and other wintering birds found along the shores of the Niagara River. We will visit a few of the many viewing areas you will find in our state parks on Grand Island. For information and registration please call.
02/27/2011,Montauk Point State Park,"Montauk Point State Park, NY",,02/27/2011,,,(631) 668-5000,Seal Walks,http://nysparks.state.ny.us/events/event.aspx?e=61-2755.0,A State Park naturalist will lead visitors on a 2-3 hours leisurely beach walk to an area where up to four species of seals can be observed. $5 for Adults;$3 Children under 18.
02/27/2011,Emma Treadwell Thacher Nature Center,"Emma Treadwell Thacher Nature Center, NY",02:00 PM,02/27/2011,,04:00 PM,(518) 872-0800,Porcupines in the Woods: A Winter Walk,http://nysparks.state.ny.us/events/event.aspx?e=8-2699.0,"They are seldom seen, but not rare. Shy, slow-moving porcupines are mysterious animals to most people. Walk through porcupine habitat in Thacher Park and observe and learn about their biology and lore with Chuck Ver Straeten."
02/27/2011,Thacher State Park (John Boyd Thacher),"Thacher State Park (John Boyd Thacher), NY",02:00 PM,02/27/2011,,04:00 PM,(518) 872-0800,Porcupines in the Woods: A Winter Walk,http://nysparks.state.ny.us/events/event.aspx?e=128-2699.0,"They are seldom seen, but not rare. Shy, slow-moving porcupines are mysterious animals to most people. Walk through porcupine habitat in Thacher Park and observe and learn about their biology and lore with Chuck Ver Straeten."
03/05/2011,Niagara Falls State Park,"Niagara Falls State Park, NY",10:00 AM,03/05/2011,,01:00 PM,(716) 282-5154,Icicles and Brunch at the Hard Rock Café,http://nysparks.state.ny.us/events/event.aspx?e=46-2781.0,"Niagara Falls State Park Park naturalists will lead a walk through a winter wonderland at Niagara Falls State Park. Optional ""buy your own lunch"" to follow. For information and registration please call."
03/05/2011,Montauk Point State Park,"Montauk Point State Park, NY",,03/05/2011,,,(631) 668-5000,Seal Walks,http://nysparks.state.ny.us/events/event.aspx?e=61-2756.0,A State Park naturalist will lead visitors on a 2-3 hours leisurely beach walk to an area where up to four species of seals can be observed. $5 for Adults;$3 Children under 18.
03/06/2011,Montauk Point State Park,"Montauk Point State Park, NY",,03/06/2011,,,(631) 668-5000,Seal Walks,http://nysparks.state.ny.us/events/event.aspx?e=61-2757.0,A State Park naturalist will lead visitors on a 2-3 hours leisurely beach walk to an area where up to four species of seals can be observed. $5 for Adults;$3 Children under 18.
03/12/2011,Olana State Historic Site,"Olana State Historic Site, NY",,03/12/2011,,,(518) 828-0135,Family Tour,http://nysparks.state.ny.us/events/event.aspx?e=23-2772.0,"Explore the house, its paintings and treasures from a child's perspective. Tours are geared for families with 6-12 year olds, but all ages are welcome. Children must be accompanied by an adult. Reservations are required by 4PM the preceding Friday."
03/12/2011,Niagara Falls State Park,"Niagara Falls State Park, NY",01:00 PM,03/12/2011,,02:30 PM,(716) 282-5154,Lighthouses - Our Shining Stars,http://nysparks.state.ny.us/events/event.aspx?e=46-2782.0,"Event being held at the Hard Rock Café, Niagara Falls, NY The Niagara Frontier Region of NY State Parks is home to two of the lighthouses found along the Seaway Trail. Come and learn about these and other lighthouses along the Seaway Trail, as well as Lighthouses of the Atlantic Coast. Listen to stories about how they aided mariners of yesterday - once they saw their light ""...so clear, in the sky so very dear""! (Earth, Wind and Fire-1975)For information and registration please call."
03/13/2011,Jones Beach State Park,"Jones Beach State Park, NY",,03/13/2011,,,(516) 679-7254,Seal Walks,http://nysparks.state.ny.us/events/event.aspx?e=10-2745.0,"Introductory program about seals in our local waters, followed by a leisurely beach walk, lead by a State Park naturalist, to an area where up to four species of seals can be observed. $4 per person."
03/13/2011,Theodore Roosevelt Nature Center,"Theodore Roosevelt Nature Center, NY",,03/13/2011,,,(516) 679-7254,Seal Walks,http://nysparks.state.ny.us/events/event.aspx?e=4-2745.0,"Introductory program about seals in our local waters, followed by a leisurely beach walk, lead by a State Park naturalist, to an area where up to four species of seals can be observed. $4 per person."
03/19/2011,Clermont State Historic Site,"Clermont State Historic Site, NY",09:00 AM,03/19/2011,http://nysparks.state.ny.us/events/images/ce416be9-bb44-4dd4-bdad-8b61f9168070.jpg,11:00 AM,,Saturday Guided Bird Walk,http://nysparks.state.ny.us/events/event.aspx?e=16-2789.0,"These grounds are some of the best for bird watching in our area, representing a variety of waterfront, parkland and forested habitats."
03/19/2011,Montauk Point State Park,"Montauk Point State Park, NY",,03/19/2011,,,(631) 668-5000,Seal Walks,http://nysparks.state.ny.us/events/event.aspx?e=61-2765.0,A State Park naturalist will lead visitors on a 2-3 hour leisurely beach walk to an area where up to four species of seals can be observed. $5 for Adults;$3 Children under 18.
03/19/2011,Evangola State Park,"Evangola State Park, NY",02:00 PM,03/19/2011,,04:00 PM,(716) 282-5154,Maple Sugaring 101,http://nysparks.state.ny.us/events/event.aspx?e=91-2783.0,It's that time of year again! Maple sugaring time that is! Park naturalists will give an indoor presentation about the maple sugaring process. An outdoor hands-on informal presentation will follow. Learn how to tap a tree and see the sap turn into syrup. For information and registration please call.
03/20/2011,Montauk Point State Park,"Montauk Point State Park, NY",,03/20/2011,,,(631) 668-5000,Seal Walks,http://nysparks.state.ny.us/events/event.aspx?e=61-2759.0,A State Park naturalist will lead visitors on a 2-3 hours leisurely beach walk to an area where up to four species of seals can be observed. $5 for Adults;$3 Children under 18.
04/02/2011,Montauk Point State Park,"Montauk Point State Park, NY",,04/02/2011,,,(631) 668-5000,Seal Walks,http://nysparks.state.ny.us/events/event.aspx?e=61-2760.0,A State Park naturalist will lead visitors on a 2-3 hours leisurely beach walk to an area where up to four species of seals can be observed. $5 for Adults;$3 Children under 18.
04/03/2011,Montauk Point State Park,"Montauk Point State Park, NY",,04/03/2011,,,(631) 668-5000,Seal Walks,http://nysparks.state.ny.us/events/event.aspx?e=61-2761.0,A State Park naturalist will lead visitors on a 2-3 hours leisurely beach walk to an area where up to four species of seals can be observed. $5 for Adults;$3 Children under 18.
04/16/2011,Montauk Point State Park,"Montauk Point State Park, NY",,04/16/2011,,,(631) 668-5000,Seal Walks,http://nysparks.state.ny.us/events/event.aspx?e=61-2762.0,A State Park naturalist will lead visitors on a 2-3 hours leisurely beach walk to an area where up to four species of seals can be observed. $5 for Adults;$3 Children under 18.
04/17/2011,Montauk Point State Park,"Montauk Point State Park, NY",,04/17/2011,,,(631) 668-5000,Seal Walks,http://nysparks.state.ny.us/events/event.aspx?e=61-2763.0,A State Park naturalist will lead visitors on a 2-3 hours leisurely beach walk to an area where up to four species of seals can be observed. $5 for Adults;$3 Children under 18.
02/25/2011,Moreau Lake State Park,"Moreau Lake State Park, NY",10:00 AM,02/25/2011,,12:00 PM,(518) 793-0511,Kids Snowshoe and Eagle Watch,http://nysparks.state.ny.us/events/event.aspx?e=150-2875.0,Grab a pair of binoculars and join park staff on their weekly Bald Eagle survey. Moreau Lake State Park's section of the Hudson is home to wintering bald eagles. It is important to monitor their population and health which you can help do! Please call to make reservations 793-0511.
02/25/2011,Moreau Lake State Park Nature Center,"Moreau Lake State Park Nature Center, NY",10:00 AM,02/25/2011,,12:00 PM,(518) 793-0511,Kids Snowshoe and Eagle Watch,http://nysparks.state.ny.us/events/event.aspx?e=7-2875.0,Grab a pair of binoculars and join park staff on their weekly Bald Eagle survey. Moreau Lake State Park's section of the Hudson is home to wintering bald eagles. It is important to monitor their population and health which you can help do! Please call to make reservations 793-0511.
03/06/2011,Sterling Forest State Park,"Sterling Forest State Park, NY",,03/06/2011,,,(845) 351-5907,Lecture Series: Bird Feeder Workshop,http://nysparks.state.ny.us/events/event.aspx?e=74-2881.0,"We will talk about our feathered friends, including a segment on how to make a bird feeder. Please bring an empty soda bottle with its cap."
12/03/2011,Clermont State Historic Site,"Clermont State Historic Site, NY",10:00 AM,12/04/2011,http://nysparks.state.ny.us/events/images/f8019df0-76b7-4336-86a2-582f2ca1a7b1.JPG,12:00 PM,,A Child's Christmas,http://nysparks.state.ny.us/events/event.aspx?e=16-2830.0,"Drop in for Christmas stories by the Christmas tree, treats and traditions of days gone by for children ages 3-10 Fee: $3 per child"
12/11/2011,Clermont State Historic Site,"Clermont State Historic Site, NY",03:00 PM,12/11/2011,,06:00 PM,,Candlelight Tours of Clermont,http://nysparks.state.ny.us/events/event.aspx?e=16-2832.0,Candlelight tours of the museum and grounds. Crackling fire lit at 3 p.m. Fee: $6 adults/$5 seniors; children under 12 free
12/17/2011,Clermont State Historic Site,"Clermont State Historic Site, NY",11:00 AM,12/18/2011,http://nysparks.state.ny.us/events/images/59ede463-4511-4a15-ba1e-61332f85dbd9.JPG,04:00 PM,,Christmas at Clermont Open House,http://nysparks.state.ny.us/events/event.aspx?e=16-2833.0,"Tour the historic house at your leisure and view the holiday decorations, all for free!"
02/04/2011,Rockefeller State Park Preserve,"Rockefeller State Park Preserve, NY",09:00 AM,03/13/2011,,04:00 PM,,Art Gallery Exhibit – Art Seeing Music,http://nysparks.state.ny.us/events/event.aspx?e=59-2855.0,"""Art Seeing Music"" is a collection of visual images which combine a love of music with the intimate experiences of talented artists who surprise, yet offer opportunities to remember and rethink what we see and what we hear. It includes portraits of performing jazz musicians by musician/photographer Tom Artin, and paintings by former Film Producer/Associate Director of CBS, Michael Singletary. Both artists focus on the unique vocabulary of jazz personalities. Complementing this vision, John Laurenzi of Rockland contributes colorful paintings that trace the impact of music on people through the language of music and how it affects individuals in everyday life. The Art Gallery@ Rockefeller State Park Preserve"
02/22/2011,Emma Treadwell Thacher Nature Center,"Emma Treadwell Thacher Nature Center, NY",09:00 AM,02/25/2011,,05:00 PM,(518) 872-0800,Winter Break,http://nysparks.state.ny.us/events/event.aspx?e=8-2715.0,"Don't let cabin fever set in. Bring the kids to the nature center for indoor and outdoor fun. We'll have snowshoeing, crafts, fun activities, and hot chocolate, too!"
02/22/2011,Thacher State Park (John Boyd Thacher),"Thacher State Park (John Boyd Thacher), NY",09:00 AM,02/25/2011,,05:00 PM,(518) 872-0800,Winter Break,http://nysparks.state.ny.us/events/event.aspx?e=128-2715.0,"Don't let cabin fever set in. Bring the kids to the nature center for indoor and outdoor fun. We'll have snowshoeing, crafts, fun activities, and hot chocolate, too!"
02/23/2011,Grafton Lakes State Park,"Grafton Lakes State Park, NY",10:00 AM,02/23/2011,,12:00 PM,,Animal Tracks & Traces,http://nysparks.state.ny.us/events/event.aspx?e=53-2795.0,"Winter Recess Program -Animal Tracks &amp; Traces. An introduction to reading the stories left by fox, deer, rabbits and other forest dwellers in the snow. Meet at Park Office. Beginners' class ideal for children. $3/person includes snowshoe rental. Registration required as space is limited."
02/23/2011,Saratoga Spa State Park,"Saratoga Spa State Park, NY",,02/23/2011,,,(518) 548-2000 ext 116,Winter Challenges,http://nysparks.state.ny.us/events/event.aspx?e=112-2804.0,Is Winter Recess giving you a case of cabin fever? Join us at the park for a class about local wildlife! We will learn about local animals and their tracks indoors beside a roaring fire before heading out on snowshoes. This event costs $5 per person with snowshoe rental.Please call to register.
02/24/2011,Moreau Lake State Park,"Moreau Lake State Park, NY",01:00 AM,02/24/2011,,03:00 PM,(518) 793-0511,Moreau Lake Snowshoe Hike,http://nysparks.state.ny.us/events/event.aspx?e=150-2874.0,"This easy snowshoe trip around Moreau Lake is great for all skill levels and will be lead by the park educator. We will learn the basics of walking with snowshoes, as well as some history of the sport. Registration is necessary, please call 793-0511."
02/24/2011,Moreau Lake State Park Nature Center,"Moreau Lake State Park Nature Center, NY",01:00 AM,02/24/2011,,03:00 PM,(518) 793-0511,Moreau Lake Snowshoe Hike,http://nysparks.state.ny.us/events/event.aspx?e=7-2874.0,"This easy snowshoe trip around Moreau Lake is great for all skill levels and will be lead by the park educator. We will learn the basics of walking with snowshoes, as well as some history of the sport. Registration is necessary, please call 793-0511."
02/24/2011,Minnewaska State Park Preserve,"Minnewaska State Park Preserve, NY",06:30 PM,02/24/2011,,09:00 PM,(845) 255-0752,SRBP Lecture Series: Shale Under Siege--Gasland Screening & Discussion,http://nysparks.state.ny.us/events/event.aspx?e=127-2849.0,"With Cara Lee, Shawangunk Ridge Program Director, The Nature Conservancy, and Nadia Steinzor, Marcellus Regional Organizer, EARTHWORKS Oil &amp; Gas Accountability Project. Across the globe and close to home, the race for new sources of energy is on, with natural gas currently in the lead. The Marcellus Shale region is slated by industry for extensive gas development using the controversial technique of horizontal hydraulic fracturing or ""fracking."" The documentary Gasland has been critical to raising awareness and sparking discussion on the issue. After the screening, there will be a discussion about what the gas rush could mean for communities, landowners, and landscapes in this region and how you can get involved. This lecture will take place at the Ellenville Public Library."
02/25/2011,Saratoga Spa State Park,"Saratoga Spa State Park, NY",11:00 AM,02/25/2011,,12:00 PM,(518) 584-2000 ext 116,Hug A Tree and Survive,http://nysparks.state.ny.us/events/event.aspx?e=112-2805.0,"Join us for our first-ever public Hug a Tree and Survive Program! The Hug a Tree and Survive program teaches children how to survive in the woods should they become lost. This program is appropriate for children ages 6 to 12, and lasts approximately 45 minutes. The program includes a video and demonstrations. Each child receives a survival pack with their own safety whistle. This program costs $3 per student. Please call to register."
02/26/2011,Cherry Plain State Park,"Cherry Plain State Park, NY",10:00 AM,02/26/2011,,03:00 PM,,Cherry Plain State Park Outdoor Day,http://nysparks.state.ny.us/events/event.aspx?e=173-2806.0,"Enjoy hot cocoa, snowshoeing and outdoor activities at this free park event. Parking space is limited so please carpool."
02/26/2011,Minnewaska State Park Preserve,"Minnewaska State Park Preserve, NY",12:00 PM,02/26/2011,,02:00 PM,(845) 255-0752,Frozen Falls and Flakes,http://nysparks.state.ny.us/events/event.aspx?e=127-2850.0,"Join Park Preserve educator Jillian Koehnken for a leisurely two-and-a-half mile hike or snowshoe walk along the Awosting Falls Carriage Road. Our destination is the beautiful Awosting Falls, a 65-foot tall waterfall that creates beautiful ice formations every winter. Along the way, we will discuss the amazing properties of water, including the water cycle, snowflake formation, and ice formations! This program is recommended for adults and families with children nine years of age and older, accompanied by a parent or guardian over the age of 18 years. Snowshoes may be rented from the Park Preserve Office for $5 per person for this program."
02/27/2011,Emma Treadwell Thacher Nature Center,"Emma Treadwell Thacher Nature Center, NY",10:00 AM,02/27/2011,,04:00 PM,(518) 872-0800,Porcupines in the Woods: A Winter Walk,http://nysparks.state.ny.us/events/event.aspx?e=8-2699.0,"They are seldom seen, but not rare. Shy, slow-moving porcupines are mysterious animals to most people. Walk through porcupine habitat in Thacher Park and observe and learn about their biology and lore with Chuck Ver Straeten."
02/27/2011,Thacher State Park (John Boyd Thacher),"Thacher State Park (John Boyd Thacher), NY",10:00 AM,02/27/2011,,04:00 PM,(518) 872-0800,Porcupines in the Woods: A Winter Walk,http://nysparks.state.ny.us/events/event.aspx?e=128-2699.0,"They are seldom seen, but not rare. Shy, slow-moving porcupines are mysterious animals to most people. Walk through porcupine habitat in Thacher Park and observe and learn about their biology and lore with Chuck Ver Straeten."
02/27/2011,Sterling Forest State Park,"Sterling Forest State Park, NY",,02/27/2011,,,(845) 351-5907,Lecture Series: Animal Tracks,http://nysparks.state.ny.us/events/event.aspx?e=74-2880.0,We will be identifying some of the animals of the Park by finding their tracks. We will show you how to make castings of animal tracks and then identify tracks while hiking. The program will last approximately three hours. (Easy 1 mile hike)
02/28/2011,Moreau Lake State Park,"Moreau Lake State Park, NY",10:00 AM,02/28/2011,,11:00 AM,(518) 793-0511,Elementary Homeschool,http://nysparks.state.ny.us/events/event.aspx?e=150-2876.0,"Bring your elementary aged homeschoolers to Moreau Lake State Park for a class taught by the Park Educator. This class will be offered monthly and will have different seasonal topics that will be focused on for each class. $1 per student, please call to make reservations 793-0511."
02/28/2011,Moreau Lake State Park Nature Center,"Moreau Lake State Park Nature Center, NY",10:00 AM,02/28/2011,,11:00 AM,(518) 793-0511,Elementary Homeschool,http://nysparks.state.ny.us/events/event.aspx?e=7-2876.0,"Bring your elementary aged homeschoolers to Moreau Lake State Park for a class taught by the Park Educator. This class will be offered monthly and will have different seasonal topics that will be focused on for each class. $1 per student, please call to make reservations 793-0511."
03/02/2011,Cherry Plain State Park,"Cherry Plain State Park, NY",06:00 PM,03/02/2011,,07:30 PM,(518) 279-1155,Amphibian Monitoring Training,http://nysparks.state.ny.us/events/event.aspx?e=173-2807.0,"Learn how to identify local frogs and toads by their calls and sign up to be a North American Amphibian Monitoring Program citizen scientist! Training is free and your efforts will help protect declining amphibian populations. At Shaver Nature Ctr, 194 Shaver Pond Rd in Grafton. Email Suzanne for info: FrogandToad@gw.dec.state.ny.us"
03/13/2011,Sterling Forest State Park,"Sterling Forest State Park, NY",,03/13/2011,,,(845) 351-5907,Family Fun Walk: Lakeville Iron Trail,http://nysparks.state.ny.us/events/event.aspx?e=74-2882.0,Join Park Environmental Educator Doc Bayne for a walk on the same trails and roads miners historically walked to get to work. (Easy 1.5 mile hike)
03/18/2011,Sterling Forest State Park,"Sterling Forest State Park, NY",,03/18/2011,,,(845) 351-5907,Hike of the Month: Lakeville Iron Trail at Night,http://nysparks.state.ny.us/events/event.aspx?e=74-2883.0,"Join Park Environmental Educator Doc Bayne for a night walk on the same trails and roads miners historically walked to get to work. Are their spirits still in Lakeville? Come and see for yourself. Bring a candle lantern if you can; flashlights will not be used on the hike. The program will last approximately two hours. (Easy 1.5 mile walk) (This hike has been a terrific attraction and filled to overflow every time we announce it, so if you have gone before please allow new people the experience.)"
03/19/2011,Clermont State Historic Site,"Clermont State Historic Site, NY",09:00 AM,03/19/2011,http://nysparks.state.ny.us/events/images/ce416be9-bb44-4dd4-bdad-8b61f9168070.jpg,11:00 AM,,Saturday Guided Bird Walk,http://nysparks.state.ny.us/events/event.aspx?e=16-2789.0,"These grounds are some of the best for bird watching in our area, representing a variety of waterfront, parkland and forested habitats.   Love this event? Check out the monthly Saturday Bird Walk Series programs held one Saturday morning of every month during the spring, summer and fall: May 14, June 18, July 16, August 20, September 10, October 8"
03/19/2011,Cherry Plain State Park,"Cherry Plain State Park, NY",10:00 AM,03/19/2011,,12:00 PM,(518) 279-1155,Backyard Maple Sugaring,http://nysparks.state.ny.us/events/event.aspx?e=173-2808.0,"Celebrate Spring being right around the corner with some sweetness of the season! Brief video, demonstration of syruping, and sampling of syrup for all! $2/person, $5/family. Meets at Park Office."
03/20/2011,Rockefeller State Park Preserve,"Rockefeller State Park Preserve, NY",10:00 AM,03/20/2011,http://nysparks.state.ny.us/events/images/addbfae1-4f37-4b24-a568-a94a79b7ebe0.gif,03:00 PM,,Fly Fishing Course - Session 1,http://nysparks.state.ny.us/events/event.aspx?e=59-2836.0,"Overview: Course introduction, Rods, Reels, and Tackle Line,Lunch (bring a bag lunch)- Introduction to Knots: The Improved Clinch, Surgeon's Knot, and Blood Knot- Question and Answer/Conclusion Leaders Meet in the Visitor's Center at 10:00 a.m.Fee$100.00 for Session 1-4, a $6 vehicle access fee applies each day of the workshop.⇒The deadline for registrations is March 17, 2011; the Park Office must receive all registrations by 4:30 p.m. on this date."
03/26/2011,Cherry Plain State Park,"Cherry Plain State Park, NY",10:00 AM,03/26/2011,,12:00 PM,(518) 279-1155,Backyard Maple Sugaring,http://nysparks.state.ny.us/events/event.aspx?e=173-2809.0,"Meet at Park Office Brief Video, demonstration of syruping, and sampling of sweetness! $2/person, $5/family."
03/27/2011,Rockefeller State Park Preserve,"Rockefeller State Park Preserve, NY",10:00 AM,03/27/2011,http://nysparks.state.ny.us/events/images/7337cddd-c708-40d2-92cd-82df490a17de.gif,03:00 PM,,Fly Fishing Course - Session 2,http://nysparks.state.ny.us/events/event.aspx?e=59-2837.0,"Meet at the Pocantico River at 10:00 a.m. Session 2 Overview:  Introduction to Flys: Stream Study and Fly tying demonstration- Knot practice- Lunch (at the Pocantico River, bring a bag lunch) - Reading the Stream - Introduction to casting Question and answer/Conclusion *Bring waders or hip boots, bag lunch and water."
03/27/2011,Sterling Forest State Park,"Sterling Forest State Park, NY",,03/27/2011,,,(845) 351-5907,Lecture Series: Ticks - Get to Know Them,http://nysparks.state.ny.us/events/event.aspx?e=74-2884.0,"Join Park Environmental Educator Doc Bayne and learn about ticks, where they live, how they survive, and what they eat. After the lecture we will go on a tick hunt to see who can find these eight legged vampires. The program will last approximately three hours. (Easy 1 mile hike)"
