longitude,email,state,zipcode,address,city,venue,tickets,dates,latitude,times,location,moreInfoLink,ticketPhone,website,title
-80.834163,,NC,,926 Elizabeth Avenue,Charlotte,Great Aunt Stella Center (GASC),open to the public; donations are appreciated,08/13/2010-06/10/2011,35.219412,"August 13: New North Carolina Ramblers perform old-time &amp; early country numbers, punctuated by the humor of Kinney Rorrer, great nephew of both Charlie Poole and Posey Rorrer. www.myspace.com/newnorthcarolinaramblers","Great Aunt Stella Center (GASC), Charlotte",http://www.gotriadscene.com/event/detail/440839009/Charlotte_Folk_Society_Gathering_Concert_Season_20102011,,,Charlotte Folk Society Gathering Concert Season 2010-2011
,alwest56@hotmail.com,,,,,,,02/07/2011-07/31/2011,,All day,,http://www.gotriadscene.com/event/detail/441127369/Dream_Quest_One_Poetry_Writing_Contest_Summer_2011,,http://www.dreamquestone.com,Dream Quest One Poetry & Writing Contest - Summer 2011
,info@actorsco-op.com,,,,,,,Ongoing,,Classes are every Sat. from 10 - 12,,http://www.gotriadscene.com/event/detail/23593/TEEN_Acting_Classes,,http://www.actorsco-op.com,TEEN Acting Classes
,,,,,,,,04/01/2011-03/30/2013,,King Public Library King July 2-29,,http://www.gotriadscene.com/event/detail/441102762/Freedom_Sacrifice_Memory_Civil_War_Sesquicentennial_Photo_Exhibit_Planned,,,"Freedom, Sacrifice, Memory: Civil War Sesquicentennial Photo Exhibit Planned"
-79.909002,dalianadance@gmail.com,NC,27409,702 A Guilford College Road,Greensboro,Daliana Dance,$130 for a 12 week session,09/20/2010-09/19/2011,36.061278,10-11am,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921565/TinyTots_Dance_Class,3365084417,http://www.dalianadance.com,Tiny-Tots Dance Class
-79.909002,dalianadance@gmail.com,NC,27409,702 A Guilford College Road,Greensboro,Daliana Dance,Prices vary. $12 drop in for class. $25 registration for studio.,09/27/2010-09/19/2011,36.061278,3:30-4:30,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921569/Petites_Ballet_and_Tap_Combo_Class,3365084417,http://www.dalianadance.com,"""Petite's"" Ballet and Tap Combo Class"
-79.909002,dalianadance@gmail.com,NC,27409,702 A Guilford College Road,Greensboro,Daliana Dance,$12 drop in. $25 registration. Tuition prices vary.,09/20/2010-09/19/2011,36.061278,Monday 4:30-5:30 Tuesday 3:30-4:30,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921571/Juniors_Ballet_Level_I,3365084417,http://www.dalianadance.com,Junior's Ballet Level I
-79.909002,dalianadance@gmail.com,NC,27409,702 A Guilford College Road,Greensboro,Daliana Dance,Prices vary based on number of classes. $12 drop in fee. Semester rates if desired. $25 registration fee.,09/20/2010-09/19/2011,36.061278,5:30-6:30pm,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921575/PreTeen_Tap_Level_I,3365084417,http://www.dalianadance.com,Pre-Teen Tap Level I
-79.909002,dalianadance@gmail.com,NC,27409,702 A Guilford College Road,Greensboro,Daliana Dance,$12 drop in fee. $25 registration fee. Tuition by semester if preferred.,09/20/2010-09/19/2011,36.061278,Monday 6:30-7:30 Tuesday 7:30-8:30,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921581/Adult_Ballet_and_Jazz_for_Belly_Dancers,3365084417,http://www.dalianadance.com,Adult Ballet and Jazz for Belly Dancers
-79.909002,dalianadance@gmail.com,NC,27409,702 A Guilford College Road,Greensboro,Daliana Dance,$12 drop in fee. $25 registration. Discounted tuition rates available.,09/20/2010-09/19/2011,36.061278,Monday 7:30-8:30 Tuesday 6:30-7:30,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921587/Adult_Advanced_Belly_Dance,3365084417,http://www.dalianadance.com,Adult Advanced Belly Dance
-79.909002,dalianadance@gmail.com,NC,27409,702 A Guilford College Road,Greensboro,Daliana Dance,$12 drop-in fee. $25 registration. Discount packages available - monthly/trimester.,09/20/2010-09/19/2011,36.061278,Monday and Tuesday 8:30-9:30pm,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921591/Modern_AfroFusion_Dance,3365084417,http://www.dalianadance.com,Modern Afro-Fusion Dance
-79.909002,dalianadance@gmail.com,NC,27409,702 A Guilford College Road,Greensboro,Daliana Dance,$12 drop-in. $25 registration fee. Monthly and trimester discounted rates available.,09/20/2010-09/19/2011,36.061278,Tuesday 5:30-6:30pm,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921597/Petite_K1st_BalletTap_Combo,3365084417,http://www.dalianadance.com,Petite (K-1st) Ballet/Tap Combo
-79.909002,dalianadance@gmail.com,NC,27409,702 A Guilford College Road,Greensboro,Daliana Dance,$12 drop in fee. $25 registration. Discounted monthly and trimester packages available.,09/22/2010-09/21/2011,36.061278,Wednesday 7:30-8:30pm,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921599/African_Dance_with_Wesley_Williams,3365084417,http://www.dalianadance.com,African Dance with Wesley Williams
-79.909002,dalianadance@gmail.com,NC,27409,702 A Guilford College Road,Greensboro,Daliana Dance,$12 drop in fee. $25 registration. Monthly and Trimester discounted packages available.,09/22/2010-09/21/2011,36.061278,Wednesday 6:30-7:30,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921607/Adult_Intermediate_Belly_Dance,3365084417,http://www.dalianadance.com,Adult Intermediate Belly Dance
-79.909002,dalianadance@gmail.com,NC,27409,702 A Guilford College Road,Greensboro,Daliana Dance,$12 drop in. $25 registration fee. Discounted monthly and trimester rates available.,09/22/2010-09/21/2011,36.061278,Wednesdays 10-11am,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921619/Senior_Movement_and_Dance_65,3365084417,http://www.dalianadance.com,Senior Movement and Dance 65+
-79.909002,dalianadance@gmail.com,NC,27409,702 A Guilford College Road,Greensboro,Daliana Dance,$12 drop-in fee. $25 registration. Discounted monthly and trimester packages available.,09/23/2010-09/23/2011,36.061278,Thursday 7:30-8:30pm,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921609/Adult_Beginner_Belly_Dance,3365084417,http://www.dalianadance.com,Adult Beginner Belly Dance
-79.909002,dalianadance@gmail.com,NC,27409,702 A Guilford College Road,Greensboro,Daliana Dance,$12 drop in. $25 registration. Discounted monthly and trimester rates available.,09/24/2010-09/23/2011,36.061278,Friday 6:30-7:30,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921611/Just_Dance,3365084417,http://www.dalianadance.com,Just Dance
-79.909002,dalianadance@gmail.com,NC,27409,702-A Guilford College Road,Greensboro,Daliana Dance,$130 for a 12 week session,09/20/2010-10/03/2011,36.061278,10am-11am,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440921561/Mommy_and_Me_Dance_Class,3365084417,http://www.dalianadance.com,Mommy and Me Dance Class
-79.7907082,,NC,27401,304 N. Greene St,Greensboro,Greensboro Marriott Downtown,Tickets $10 and up,10/07/2011-10/09/2011,36.0761949,"Friday evening, All day Saturday, Sunday morning and afternoon","Greensboro Marriott Downtown, Greensboro",http://www.gotriadscene.com/event/detail/440942149/Carolina_Fall_Classic_Dancesport_Championships,(336) 623-4961,http://www.carolinafallclassic.com/,Carolina Fall Classic Dancesport Championships
-79.97369,,NC,27265,7850 Clinard Farms rd. Lot B,High Point,all-a-flutter Butterfly Farm,"Adults $6, children/seniors (65 and older) $5 each. Cash or checks only.",04/16/2011-10/08/2011,36.061222,Every Saturday 10 a.m. and 3 p.m.,"all-a-flutter Butterfly Farm, High Point",http://www.gotriadscene.com/event/detail/440868765/allaflutter_Butterfly_Farm_Family_Days,,http://www.all-a-flutter.com,all-a-flutter Butterfly Farm Family Days
-79.7954393,,NC,27401,623 Eugene Court,Greensboro,Guilford County Teen Court,Free to youth participants. Not open to the public.,10/08/2010-10/30/2015,36.0669893,Tuesdays 5:30 p.m through 8:30 p.m.,"Guilford County Teen Court, Greensboro",http://www.gotriadscene.com/event/detail/440951463/Guilford_County_Teen_Court_of_One_Step_Further_Inc,,http://www.onestepfurther.com,"Guilford County Teen Court of One Step Further, Inc."
,,NC,27403,,Greensboro,UNCG Baseball Stadium,FREE ADMISSION,04/12/2011,,6 p.m.,"UNCG Baseball Stadium, Greensboro",http://www.gotriadscene.com/event/detail/441102291/UNCG_Baseball_vs_Wake_Forest,,http://www.uncgspartans.com,UNCG Baseball vs. Wake Forest
-79.791019,,NC,27406,620 S. Elm Street; Suite 375,Greensboro,Pizzazz Dance Company,$7-$10 per person,07/31/2010-07/30/2011,36.064737,Call to schedule 336-324-6420,"Pizzazz Dance Company, Greensboro",http://www.gotriadscene.com/event/detail/440823609/PIzzazz_Dance_Companys_Adult_Erotic_Dance_Class,,,PIzzazz Dance Company's Adult Erotic Dance Class
-79.909002,dalianadance@gmail.com,NC,27409,702-A Guilford College Road,Greensboro,Daliana Dance,$12 drop-in fee. $25 registration fee. Discounted monthly and trimester rates available.,09/30/2010-09/29/2011,36.061278,10am-11am,"Daliana Dance, Greensboro",http://www.gotriadscene.com/event/detail/440932497/Ballet_and_Jazz_for_Homeschoolers_2nd3rd_graders,336-508-4417,,Ballet and Jazz for Homeschoolers 2nd-3rd graders
-79.779676,buffalochurchmusic@gmail.com,NC,27405,803 Sixteenth Street,Greensboro,Buffalo Presbyterian Church,Registration prices vary,07/11/2011-07/29/2011,36.109502,3 week summer program,"Buffalo Presbyterian Church, Greensboro",http://www.gotriadscene.com/event/detail/441144567/Brightest_Star_Buffalo,336-375-3380,http://www.brighteststarschoolofperformingarts.com,Brightest Star @ Buffalo
-79.788531,,NC,27401,200 North Davie Street,4th Floor<br />						Greensboro,"CTG,",,06/13/2011-08/19/2011,36.073792,,"CTG, , Greensboro",http://www.gotriadscene.com/event/detail/441146204/Summer_Theatre_Camps_2011,,,Summer Theatre Camps 2011
-79.729871,,NC,27405,3123 - K Cedar Park Rd,Greensboro,Backyard Paradise Indoor Play Center,Free,02/16/2011-12/28/2011,36.055379,10am-1pm Wednesdays and Fridays only,"Backyard Paradise Indoor Play Center, Greensboro",http://www.gotriadscene.com/event/detail/441132823/Backyard_Paradise_Open_Play,,http://www.byparadise.com,Backyard Paradise - Open Play
-80.0527343,neal@precisiontimingsystems.com,NC,27284,9652 East Mountain Street,Kernersville,Triad Park,$25 until April 7th; $30 April 8th - May 6th; $35 on race day for 5K; $15 for Kids Fun Run,05/07/2011,36.1120913,5K Run/Walk will be 8:30am; 1 mile Kids Fun Run will be 9:30 am,"Triad Park, Kernersville",http://www.gotriadscene.com/event/detail/441131947/Declans_Dash_5K_RunWalk_and_Kids_1_mile_Fun_Run_Presented_by_Trone,336-471-7243,http://www.precisiontimingsystems.com,Declan's Dash 5K Run/Walk and Kids 1 mile Fun Run Presented by Trone
,,NC,27341,,Seagrove,Various Participating Pottery Shops,Free,04/16/2011-04/17/2011,,9:00 - 5:00 hours may vary by individual shops,"Various Participating Pottery Shops, Seagrove",http://www.gotriadscene.com/event/detail/441151637/3rd_Annual_Celebration_of_Spring_Kiln_Openings_in_Seagrove_,800-626-2672,http://www.discoverseagrove.com,3rd Annual Celebration of Spring Kiln Openings in Seagrove
-79.993787,,NC,27263,121 SW Cloverleaf Place,High Point,The Salvation Army Boys & Girls Club,$20 per child,05/03/2011-08/06/2011,35.931942,Coaches Meeting at 6 pm,"The Salvation Army Boys & Girls Club, High Point",http://www.gotriadscene.com/event/detail/441126511/Flag_Football,,http://www.salvationarmycarolinas.org/commands/highpoint/bgc,Flag Football
-79.7120306,kjordan358@gmail.com,NC,27406,5315-D Liberty Rd,Greensboro,Creative,"$5 per class, Or Zumba Punch Card - Buy 10 classes for $50 and the eleventh class is free",01/11/2011-01/10/2012,35.9737062,5:30 PM,"Creative , Greensboro",http://www.gotriadscene.com/event/detail/441088235/Zumba_Fitness_Party,336-260-6534,,Zumba Fitness Party
-79.8869518,,NC,27410,5800 W. Friendly Ave,Greensboro,"Carnegie Room, Guilford College Library",Free,03/25/2011-04/15/2011,36.0895885,M-Th 7:30AM-Midnight,"Carnegie Room, Guilford College Library, Greensboro",http://www.gotriadscene.com/event/detail/441132229/Windows_and_Mirrors,,http://www.afsc.org/greensboro,Windows and Mirrors
-80.245175,Judy.Sutherin@ourclub.com,NC,27101,200 West Second Street / 19th Floor,Winston-Salem,BB&T Financial Building,Cost: $15.00 (Members) / $20.00 (Member Prospects),04/08/2011,36.0957579,11:30am- 1:00pm,"BB&T Financial Building, Winston-Salem",http://www.gotriadscene.com/event/detail/441131101/State_of_Main_Street,3367247077,http://www.facebook.com/#!/event.php?eid=186372241394072&index=1,State of Main Street
-80.245175,Judy.Sutherin@ourclub.com,NC,27101,200 West Second Street / 19th Floor,Winston-Salem,BB&T Financial Building,Cost: $15.00 (members) / $20.00 (non-members),05/26/2011,36.0957579,6:00pm - 8:00pm,"BB&T Financial Building, Winston-Salem",http://www.gotriadscene.com/event/detail/441131103/Wine_Cheese_Social_to_Support_Homelessness,336.724.7077,http://www.facebook.com/#!/event.php?eid=180537948648380&index=1,Wine & Cheese Social to Support Homelessness
,,,,237 Idol St.,High Point,Lebanon United Methodist Church,,Ongoing,,6 p.m. fourth Thursday of each month,"Lebanon United Methodist Church, High Point",http://www.gotriadscene.com/event/detail/16579/Alzheimers_Support_Group,,,Alzheimer's Support Group
-80.2413247,culturalevents@salem.edu,NC,27101,601 S. Church St.,Winston-Salem,Shirley Recital Hall,Free,04/07/2011,36.0876117,7 p.m.,"Shirley Recital Hall , Winston-Salem",http://www.gotriadscene.com/event/detail/441070161/Matt_Ezzell_Mens_Role_in_Ending_Violence_against_Women,3369175313,,Matt Ezzell - Men's Role in Ending Violence against Women
,,NC,,,Winston-Salem,657 W. Fifth St.,,Ongoing,,10 a.m.-noon,"657 W. Fifth St., Winston-Salem",http://www.gotriadscene.com/event/detail/17427/Recover_Inc,779-2009,,Recover Inc.
-80.2941101,Kevin@press53.com,NC,27103,1010 Bethesda Ct.,Winston-Salem,Derrick L. Davis Forsyth Regional Cancer Center,Free,04/07/2011,36.0770402,7 - 9 p.m.,"Derrick L. Davis Forsyth Regional Cancer Center, Winston-Salem",http://www.gotriadscene.com/event/detail/441165471/Book_Launch_Party_for_In_the_Palms_of_Angels,(336) 414-5599,http://terrikirbyerickson.wordpress.com,Book Launch Party for 'In the Palms of Angels'
-80.2941101,,NC,27103,1010 Bethesda Ct.,Winston-Salem,Derrick L. Davis Forsyth Regional Cancer Center,Free,04/07/2011,36.0770402,7 p.m. - 9 p.m.,"Derrick L. Davis Forsyth Regional Cancer Center, Winston-Salem",http://www.gotriadscene.com/event/detail/441152275/In_the_Palms_of_Angels_Book_Launch_Party,(336) 414-5599,http://terrikirbyerickson.wordpress.com,In the Palms of Angels Book Launch Party
-79.8055981,jtcauthe@uncg.edu,NC,27403,402 Tate Street,Greensboro,Brown Building Theatre - UNCG,Tickets are $15 for adults; $12 for seniors and students; $9 for groups of 10 or more and UNCG Alumni; $7 for UNCG Students.,04/16/2011,36.0680253,April 16 at 11 am and 2 pm.,"Brown Building Theatre - UNCG, Greensboro",http://www.gotriadscene.com/event/detail/441101147/NC_Theatre_for_Young_People_present_Hansel_and_Gretel_The_Little_Brother_and_the_Little_Sister,336.334.4849,http://www.uncg.edu/the,"NC Theatre for Young People present Hansel and Gretel, The Little Brother and the Little Sister"
-79.992206,milanc@northstate.net,NC,27262,833 Montlieu Avenue,High Point,High Point University - Pauline Theatre,Tickets are $20 at the door or through subscription.,04/16/2011,35.971095,7:30 PM,"High Point University - Pauline Theatre, High Point",http://www.gotriadscene.com/event/detail/441152465/Bronn_and_Katherine_Journey_Concert,336-886-8100,,Bronn and Katherine Journey Concert
,www.uncsa.edu/performances,NC,27101,405 West 4th Street,Winston-Salem,UNCSA Stevens Center,,04/28/2011-05/08/2011,,"Thursday, April 28th -","UNCSA Stevens Center, Winston-Salem",http://www.gotriadscene.com/event/detail/441164521/Oklahoma,336.721.1945,http://www.uncsa.edu/performances,Oklahoma!
-79.9047583,becky@greensboroballet.org,,27358,TBA,Summerfield,Greensboro Ballet - Summerfield,$110,06/13/2011-06/17/2011,36.2087468,9am-noon,"Greensboro Ballet - Summerfield, Summerfield",http://www.gotriadscene.com/event/detail/441153811/Dancers_Dolls_Camp,3363337480,http://greensboroballet.org/ballet-school/summer-programs?PHPSESSID=4ceb2f0b8b5318d3d9e52de4d63ece77,Dancers & Dolls Camp
-79.9047583,becky@greensboroballet.org,NC,27358,TBA,Summerfield,Greensboro Ballet - Summerfield,$110,07/18/2011-07/22/2011,36.2087468,1-4pm,"Greensboro Ballet - Summerfield, Summerfield",http://www.gotriadscene.com/event/detail/441153815/By_the_Sea_Camp,3363337480,http://greensboroballet.org/ballet-school/summer-programs?PHPSESSID=4ceb2f0b8b5318d3d9e52de4d63ece77,By the Sea Camp
-79.9047583,becky@greensboroballet.org,NC,27358,TBA,Summerfield,Greensboro Ballet - Summerfield,$110,08/08/2011-08/12/2011,36.2087468,9am-noon,"Greensboro Ballet - Summerfield, Summerfield",http://www.gotriadscene.com/event/detail/441153821/Princess_Camp,3363337480,http://greensboroballet.org/ballet-school/summer-programs?PHPSESSID=4ceb2f0b8b5318d3d9e52de4d63ece77,Princess Camp
-80.072909,,NC,27284,104 N Main Street,Kernersville,Parking lot next to Ciener Botanical Gardens,Free,03/26/2011-11/29/2014,36.119902,10am-4pm,"Parking lot next to Ciener Botanical Gardens, Kernersville",http://www.gotriadscene.com/event/detail/441172087/Kville_Indie_Flea_A_Vintage_Handmade_Outdoor_Market,336 862-9400,http://KvilleIndieFlea.com,K'ville Indie Flea- A Vintage & Handmade Outdoor Market
-79.8761045,,NC,,1635 New Garden Road,Greensboro,J. Butler's Bar & Grille,FREE,03/23/2011-03/21/2012,36.1168105,9pm - 1am,"J. Butler's Bar & Grille , Greensboro",http://www.gotriadscene.com/event/detail/441165703/Karaoke_Night,336-294-8884,,Karaoke Night
-80.022616,,NC,,2001 N. Main St,High Point,Ham's,FREE,03/29/2011-03/27/2012,35.981282,10pm - 2am,"Ham's, High Point",http://www.gotriadscene.com/event/detail/441165621/Live_Trivia,(336) 887-1556,,Live Trivia
-79.809545,,NC,,1600 Battleground Ave,Greensboro,Kick Back Jack's,Free,03/30/2011-03/28/2012,36.089915,9pm - 1am,"Kick Back Jack's, Greensboro",http://www.gotriadscene.com/event/detail/441165455/Karaoke_Night,336-274-4937,,Karaoke Night
-79.797724,,NC,,3606 N. Elm St.,Greensboro,Hamburger Joe's,FREE,03/30/2011-03/28/2012,36.133139,8pm - 10pm,"Hamburger Joe's , Greensboro",http://www.gotriadscene.com/event/detail/441165611/Live_Trivia,336-286-4880,,Live Trivia
-79.797724,,NC,,3606 N Elm Street,Greensboro,Hamburger Joe's,FREE,03/24/2011-03/29/2012,36.133139,8pm-12am,"Hamburger Joe's, Greensboro",http://www.gotriadscene.com/event/detail/441165727/Karaoke_Night,336-286-4880,,Karaoke Night
-79.970384,,NC,,3793 Samet Dr,High Point,JP Looney's,FREE,03/24/2011-03/31/2012,36.025432,10:00pm-2:00am,"JP Looney's, High Point",http://www.gotriadscene.com/event/detail/441165639/Karaoke_Night,336-882-9812,,Karaoke Night
-79.8543978,,NC,,3709-J Battleground Ave,Greensboro,Ham's,FREE,03/22/2011-03/31/2012,36.130169,10:00pm-2:00 am,"Ham's , Greensboro",http://www.gotriadscene.com/event/detail/441165735/Karaoke_Night,336-288-3334,,Karaoke Night
-79.994372,,NC,27265,"1623 York Ave, Ste 101",High Point,High Point Chiropractic,Community class is free to anyone interested.,04/06/2011-04/08/2011,35.999336,Wednesday meetings are held 5:30-6:30pm,"High Point Chiropractic, High Point",http://www.gotriadscene.com/event/detail/441165469/Triad_Area_Pathways_Connect,336-882-2434,https://www.facebook.com/pages/Triad-Area-Pathways-Connect-Group/196634837027782,Triad Area Pathways Connect
-80.376795,,NC,27012,6200 Bingham Ave,Clemmons,Forsyth Broncos Field - Clemmons Elementary,The event is $3 per person or FREE with 2 canned food donations per person to benefit Clemmons Food Pantry.,04/30/2011,36.024312,10am-3pm,"Forsyth Broncos Field - Clemmons Elementary, Clemmons",http://www.gotriadscene.com/event/detail/441173343/Clemmons_Community_Day,336.970.5100,http://www.lewisville-clemmons.com,Clemmons Community Day
-79.889708,,NC,27407,2317 Stanley Road,Greensboro,Seacoast Church,Free,05/22/2011,36.042133,6 p.m.,"Seacoast Church, Greensboro",http://www.gotriadscene.com/event/detail/441173323/An_Evening_with_Abortion_Survivor_Claire_Culwell,336-852-5630,http://www.facebook.com/home.php#!/event.php?eid=104180666331357,An Evening with Abortion Survivor Claire Culwell
