venue,description,city,state,title,webSite
National Museum of Health and Medicine,"Join the National Museum of Health and Medicine for a free art workshop. Sketch wounds as seen in wax models from the National Museum of Health and Medicine's Historical Collections during this first art workshop. The Museum will also hold two more workshops. These workshops are free, but reservations are required. Space is limited. Ages 15 up. To reserve a spot or for more information, call 202-782-2673. Art supplies will be provided, but attendees are welcome to bring their favorite materials. NMHM is located at 6900 Georgia Avenue NW in Building 54 on the campus of the Walter Reed Army Medical Center in Washington, D.C. Limited visitor parking is available in the driveway in front of the museum. Additional free parking is available throughout the campus on weekends. Adults are required to present photo ID to gain entry to Walter Reed.",Washington,District of Columbia,Lunchtime Art Workshop at the National Museum of Health and Medicine&nbsp,http://www.nmhm.washingtondc.museum/about/directions.html
National Museum of Health and Medicine,"Join the National Museum of Health and Medicine for a free lunchtime art workshop. Enjoy a short discussion about artworks featured in 'Wounded in Action: An Art Exhibition of Orthopaedic Advancements' and then spend time drawing medical technology, including historic prosthetic devices. This free workshop is the second in a three-part series of summer art workshops at the National Museum of Health and Medicine. The final workshop will be held 12 p.m. to 1 p.m. August 4. It will focus on sketching sculptures that depict the human form. These workshops are free, but reservations are required. Ages 15 up. To reserve a spot or for more information, call 202-782-2673. Art supplies will be provided, but attendees are welcome to bring their favorite materials. The National Museum of Health and Medicine is located at 6900 Georgia Avenue NW in Building 54 on the campus of the Walter Reed Army Medical Center in Washington, D.C. Limited visitor parking is available in the driveway in front of the museum. Additional free parking is available throughout the campus on weekends. Adults are required to present photo ID to gain entry to Walter Reed.",Washington,District of Columbia,Lunchtime Art Workshop at the National Museum of Health and Medicine&nbsp,http://www.nmhm.washingtondc.museum/about/directions.html
National Museum of Health and Medicine,"Join the National Museum of Health and Medicine for a free lunchtime art workshop. Enjoy a short discussion about artworks featured in 'Wounded in Action: An Art Exhibition of Orthopaedic Advancements' and then spend time sketching sculptures that depict the human form. This is the third and final art workshop in a three-part series of workshops at the National Museum of Health and Medicine. The first will be held 12 p.m. to 1 p.m. July 21 and the second will be held 12 p.m. to 1 p.m. July 28. These workshops are free, but reservations are required. Ages 15 up. To reserve a spot or for more information, call 202-782-2673. Art supplies will be provided, but attendees are welcome to bring their favorite materials. The National Museum of Health and Medicine is located at 6900 Georgia Avenue NW in Building 54 on the campus of the Walter Reed Army Medical Center in Washington, D.C. Limited visitor parking is available in the driveway in front of the museum. Additional free parking is available throughout the campus on weekends. Adults are required to present photo ID to gain entry to Walter Reed.",Washington,District of Columbia,Lunchtime Art Workshop at the National Museum of Health and Medicine&nbsp,http://www.nmhm.washingtondc.museum/about/directions.html
Craft and Folk Art Museum,,Los Angeles,California,"Artist and Curator Discussion for Some Assembly Required: race, gender &amp; globalization&nbsp",http://www.cafam.org
Craft and Folk Art Museum,,Los Angeles,California,"Trashy Fun with Aaron Kramer  A Listen, Learn &amp; Make Family Workshop",
Craft and Folk Art Museum,"A Listen, Learn &amp; Make Family Workshop  Saturday, July 17  Spend the afternoon tinkering and creating with Salvaged artist Aaron Kramer.",Los Angeles,California,Trashy Fun with Aaron Kramer &nbsp,http://http://www.cafam.org/listen.html
Plummer Park,,Los Angeles,California,"FOLK WEDDING Premiere: A Free, Family Event from CAFAM!&nbsp",http://www.folkarteverywhere.com
,,,,,
Craft and Folk Art Museum,,Los Angeles,California,Henna Tattoo Workshop- Fun for all!&nbsp,http://http://cafam.org
Two Rivers Heritage Museum,This year we are coordinating our Heritage Day with the City of Washougal and the Washougal Lions Club. The city is having the Official opening of the Pedstrian Tunnel and the Lions Club will have a car show all next to the museum,Washougal,Washington,Heritage Day 2010,
The Children's Museum in Easton,,Easton,Massachusetts,Pulling Strings&nbsp,http://www.childrensmuseumineaston.org/summerdropindays.asp
Craft and Folk Art Museum,,Los Angeles,California,The Fabric of Your Life: Family Tree Tapestry&nbsp,http://http://cafam.org
Orange County Regional History Center,"Jonna and Tony Mendez, authors and former members of the CIA, share their fascinating and thrilling experiences during an elegant dinner.",Orlando,Florida,Artists &amp; Authors Series: True Lies from Two Spies&nbsp,http://www.thehistorycenter.org
Craft and Folk Art Museum,,Los Angeles,California,Moving Picture Series - My Nappy ROOTS: A Journey Through Black Hair-itage&nbsp,http://http://www.cafam.org
The Children's Museum in Easton,,Easton,Massachusetts,"Sports, Health and Fitness&nbsp",http://www.childrensmuseumineaston.org/summerdropindays.asp
The Children's Museum in Easton,,Easton,Massachusetts,Tie Dye II&nbsp,http://http://login.npwebsiteservices.com/ChildrensmuseumEaston/SummerDropInDays.asp
Craft and Folk Art Museum,,Los Angeles,California,Kinetic Kreations Workshop with Aaron Kramer&nbsp,http://http://cafam.org
"Membership Preview Reception: Friday, Sept 3, 2010","50 major works with Florida as subject form a fascinating overview of the art produced by female artists over an eighty year period. Notable women artists such as Laura Woodward and Jane Peterson came to Florida at the height of their careers. They created an amazingly diverse group of beautiful images in a wide range of mature styles. Their chosen subjects range from gardens and citrus fruit to sweeping wild landscapes, local portraits and urban life. The works are loaned from the large Florida art collection of Cici and Hyatt Brown.",DeLand,Florida,"Women Paint Florida, 1880 – 1960, from the Collection of Cici and Hyatt Brown&nbsp",http://www.floridamuseumforwomenartists.org/special-events/upcoming-events/
The Children's Museum in Easton,,Easton,Massachusetts,Music Making&nbsp,http://http://login.npwebsiteservices.com/ChildrensmuseumEaston/SummerDropInDays.asp
The Children's Museum in Easton,Come join the circus at The Children's Museum in Easton!,Easton,Massachusetts,Under the Big Top&nbsp,http://www.childrensmuseumineaston.org/summerdropindays.asp
The Children's Museum in EAston,,Easton,Massachusetts,Fetch!™ With Ruff Ruffman&nbsp,http://http://www.childrensmuseum.org/summerdropindays.asp
,,,,,
Liberty Hall Museum,"Liberty Hall Museum requests the pleasure of your company for Afternoon Tea. Take a moment out of your hectic schedule and join us at our Wednesday Afternoon Tea, set on our glass-enclosed porch that overlooks our gardens. Afternoon Tea is served from 2 to 4 p.m. on the second Wednesday of each month. Please arrive by 1:30 pm for registration and to view a short film that explains the history of Liberty Hall. Come earlier if you wish to stroll our grounds. The Tea includes a tour of the house. Liberty Hall’s tradition of Wednesday Afternoon Tea is continued in honor of its last resident, Mary Alice Barney Kean. She loved the home she first saw as a young bride and enjoyed giving her guests a personal tour and finishing their visit with tea on her porch. Liberty Hall is proud to maintain this custom in her memory.",Union,New Jersey,Wednesday Afternoon Tea&nbsp,http://www.kean.edu/libertyhall/events_rentals.html
