cost,moreInfoLink,phone,website,endDate,startDate,name,fullAddress,description,venue
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,8/14/11,7/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
"$20 for adults, $18 for seniors and students 18 and over, free for members and children under 6",http://www.bostonmagazine.com/arts_entertainment/event/nicholas_nixon_at_the_mfa,617-267-9300,http://mfa.org/,5/01/11,7/28/10,Nicholas Nixon at the MFA,"465 Huntington Ave., Boston, MA 02115</div><div>","MassArt professor Nicholas Nixon's intimate black-and-white portraits trace his subjects' physical changes over time, and explore his own family dynamic. A collection of his work, which has claimed space in the National Gallery of Art, opens July 23 at the MFA, perhaps serving as a thoughtful counterpoise to an age of online oversharing.",Museum of Fine Arts
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,8/14/11,7/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,8/14/11,7/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
,http://www.bostonmagazine.com/arts_entertainment/event/mary_poppins,877-686-5366,http://www.bostonoperahouse.com/,3/20/11,2/17/11,Mary Poppins,"539 Washington Street, Boston, MA 02111</div><div>",Organizer Contact,Boston Opera House
$125,http://www.bostonmagazine.com/arts_entertainment/event/life_listers_ball,310-717-6953,http://www.mylifelist.org/ball,,,Life Listers' Ball,"1 Seaport Lane, Boston, MA 02210</div><div>","Meet inspiring people with amazing bucket list experiences. Cocktails, food, dancing, prizes. Sponsored by mylifelist.org, the premiere social network for goal achievers. Proceeds for Cradles 2 Crayons of Boston to help at-risk children.",Seaport Hotel
$100,http://www.bostonmagazine.com/arts_entertainment/event/als_scotch_chocolate,1-888-CURE-ALS,http://web.alsa.org/scotchandchocolate,,,ALS Association's Scotch and Chocolate Event,", Boston, MA 02129</div><div>","On Thursday, February 10, The ALS Association Massachusetts Chapter will host its first Inaugural Scotch and Chocolate event at The Commandant's House in Charlestown. This night of decadence will feature Sir Jeremy Bell, Glenlivet Brand Ambassador, presenting expert pairings of scotch, champagne and port with fruit and chocolate. Bell will dazzle guests with a sabering lesson. The event will also include a professional cigar roller from Cigar Masters, live and silent auctions. Among other surprises in our auctions are a Josh Beckett signed shirt, a one-week Cape house rental in July, spa packages and a scotch and cigar tasting for four at Cigar Masters.",Charlestown Navy Yard
Free,http://www.bostonmagazine.com/arts_entertainment/event/the_poster_show,,http://saysomethingposters.com/#/about,,,The Poster Show,"132 Brookline Ave., Boston, MA </div><div>",Celebrate the 25 semi-finalists from The Say Something Poster Project design competition. Full size prints will be on display for one night only. Come out and jam to DJ sets and take part in the final round of judging to determine the 10 winners.&nbsp;Copies of posters will be available for pre-sale at $85 each. Part proceeds benefiting The Home for Little Wanderers.,The Fourth Wall Gallery
,http://www.bostonmagazine.com/arts_entertainment/event/mary_poppins,877-686-5366,http://www.bostonoperahouse.com/,3/20/11,2/17/11,Mary Poppins,"539 Washington Street, Boston, MA 02111</div><div>",Organizer Contact,Boston Opera House
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,8/14/11,7/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,8/14/11,7/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
Regular tickets start at $33,http://www.bostonmagazine.com/arts_entertainment/event/9_circles,617-933-8600,http://www.publicktheatre.com,4/09/11,3/17/11,9 Circles,"539 Tremont Street, Boston, MA 02115</div><div>",The east coast premiere of playwright Bill Cain's outstanding thriller,Boston Center for the Art's (BCA) Plaza Theatre
Admission is $175 per person (35 and over); $100 per person (35 and under),http://www.bostonmagazine.com/arts_entertainment/event/2nd_annual_carnival_of_dreams,617-332-3066,http://www.roomtodreamfoundation.org,,,2nd Annual Carnival of Dreams,"100 West 2nd Street&#8232;, Boston, MA 02127</div><div>","Dedicated champion of children, the Room to Dream Foundation hosts their second annual Carnival of Dreams this May at the Artists for Humanity EpiCenter. The bash, already renowned as a spectacular must-see, will be led by NECN's Jenny Johnson and WCVB's Susan Wornick. In addition to music, fine food, and entertainment set to an 'old time carnival' theme, there will be seriously exceptional prizes and auction items, included a pair of diamond earrings, private dance lessons and a behind the scenes tour of Franklin Park Zoo. Proceeds, of course, go to benefit the five-year-old Room to Dream Foundation.",Artists for Humanity
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,8/14/11,7/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
$75.50 VIP Package.  $48.50 and $37.50 Add $35 to any regular ticket price to upgrade to VIP.,http://www.bostonmagazine.com/arts_entertainment/event/boston_legends,,http://www.showcaselive.com/,,,Boston Legends: St. Paddy's Day Rock and Roll,"23 Patriot Place, Foxboro, MA 02035</div><div>","Boston's rock star giants come together for one truly legendary St. Paddy's Day concert at the Showcase Live in Foxboro. The line-up includes artists from Aerosmith, Boston, Bellevue Cadillac, the Joe Perry Project and the J. Geils Band. Prices vary, but note: tickets are limited and seating even more so!",Showcase Live
,http://www.bostonmagazine.com/arts_entertainment/event/mondavi_winemaker_dinner,617-266-5108,http://www.mortons.com/bostonbackbay/specialevents/,,,Mondavi Winemaker Dinner,"699 Boylston Street, Boston, MA 02116</div><div>","Morton's Steakhouse in Back Bay invites wine enthusiasts to dine and drink with one of the country's foremost winemakers, Peter Mondavi Jr. of Charles Krug Winery. &nbsp;Known for its extensive, award-winning wine list, Morton's has cultivated relationships with some of the leading domestic wineries. &nbsp;The Winemaker Dinners offer guests a glimpse into the inner-workings of these vineyards, as well as an interactive experience with the winemakers themselves.",Morton's
Regular tickets start at $33,http://www.bostonmagazine.com/arts_entertainment/event/9_circles,617-933-8600,http://www.publicktheatre.com,4/09/11,3/17/11,9 Circles,"539 Tremont Street, Boston, MA 02115</div><div>",The east coast premiere of playwright Bill Cain's outstanding thriller,Boston Center for the Art's (BCA) Plaza Theatre
,http://www.bostonmagazine.com/arts_entertainment/event/horizons_for_homeless_children_22nd_annual_spring_gala,617.445.1480,http://www.horizonsforhomelesschildren.org/,,,Horizons for Homeless Children 22nd Annual Spring Gala,"1 Seaport Lane, Boston, MA 02210</div><div>","Horizons for Homeless Children&rsquo;s Spring Gala will take place at 6:30pm on Saturday, April 30, 2011 at the Seaport Hotel in Boston. A wonderful night is in store, with dinner, dancing, raffles, auctions and more! Funds raised from the 22nd Annual Spring Gala will be directed towards the programs and services of Horizons for Homeless Children.",Seaport Hotel and Seaport World Trade Center Boston
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,8/14/11,7/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
"Tickets to the General Reception may be reserved for $250, space is limited.",http://www.bostonmagazine.com/arts_entertainment/event/an_evening_with_dale_and_leslie_chihuly,800-557-6352,http://www.mfne.org/,,,An Evening With Dale and Leslie Chihuly,"3 Battery Wharf, Boston, MA 02109</div><div>","Legendary glassblower Dale Chihuly and his wife Leslie will attend a reception at the Fairmont Battery Wharf Hotel to both support the Melanoma Foundation of New England, and to celebrate the upcoming unveiling of his newest exhibit at the Museum of Fine Arts, Chihuly: Through the Looking Glass. The artist, known for his stunningly intricate, undulating, and frequently massive works of art, will also sign copies of the Through the Looking Glass catalog. Also present will be Gerald W. R. Ward, a Senior Curator at the MFA and Jim Schantz, director of the Stockbridge Schantz Galleries.",Fairmont Battery Wharf Hotel
Tickets range from $28 to $58. VIP tickets and sponsorships also available.,http://www.bostonmagazine.com/arts_entertainment/event/spring_glee_2011,781-581-2971,http://www.lynnauditorium.com/,,,Spring Glee,"3 City Square, Lynn, MA 01901</div><div>","The Boston Gay Men's Chorus brings Spring Glee to the North Shore this April. The 175-strong community ensemble &mdash; one of the largest in the region &mdash; will sing selections of pop, broadway show tunes, and even a few Beatles songs, all in support of the Lynn Community Health Center. The show is sponsored by north shore business, Lucia Lighting &amp; Design.",Lynn Auditorium
General admission tickets are $90.00; VIP admission is $150.,http://www.bostonmagazine.com/arts_entertainment/event/taste_of_the_nation_boston_2011,202-478-6516,http://taste.strength.org,,,"Taste of the Nation, Boston 2011","900 Boylston St., Boston, MA 02115</div><div>","Share Our Strength returns to Boston this April for its 23rd annual Taste of the Nation. The event is dedicated to fighting childhood hunger in America and will feature fine-dining samples from over 65 of the area's best restaurants, including Rialto, L'Espalier, and Sel de la Terre. Rounding out this extraordinary feast will be over 100 different types of wine plus a solid showing of cocktails prepared, naturally, by local mixologists.",Hynes Convention Center
Tickets range from $28 to $58. VIP tickets and sponsorships also available.,http://www.bostonmagazine.com/arts_entertainment/event/spring_glee_2011,781-581-2971,http://www.lynnauditorium.com/,,,Spring Glee,"3 City Square, Lynn, MA 01901</div><div>","The Boston Gay Men's Chorus brings Spring Glee to the North Shore this April. The 175-strong community ensemble &mdash; one of the largest in the region &mdash; will sing selections of pop, broadway show tunes, and even a few Beatles songs, all in support of the Lynn Community Health Center. The show is sponsored by north shore business, Lucia Lighting &amp; Design.",Lynn Auditorium
Tickets range from $28 to $58. VIP tickets and sponsorships also available.,http://www.bostonmagazine.com/arts_entertainment/event/spring_glee_2011,781-581-2971,http://www.lynnauditorium.com/,,,Spring Glee,"3 City Square, Lynn, MA 01901</div><div>","The Boston Gay Men's Chorus brings Spring Glee to the North Shore this April. The 175-strong community ensemble &mdash; one of the largest in the region &mdash; will sing selections of pop, broadway show tunes, and even a few Beatles songs, all in support of the Lynn Community Health Center. The show is sponsored by north shore business, Lucia Lighting &amp; Design.",Lynn Auditorium
"Tickets to the Grand Tasting are sold by session, starting at $85.&#160; There are three sessions:&#160; Saturday, May 21, from noon-2pm and 3-5pm, and Sunday, May 22, from noon-3pm.&#160; You may combine sessions for a discounted price.&#160; Ticket pric",http://www.bostonmagazine.com/arts_entertainment/event/nantucket_wine_festival_2011,508-228-1128,http://www.nantucketwinefestival.com/,5/22/11,5/18/11,Nantucket Wine Festival 2011,", Nantucket, MA </div><div>","The 15th annual Nantucket Wine Festival kicks off this May, running through&nbsp; five days of culinary excellence, extraordinary wines and a series of symposiums on everything from Demystifying Wine &amp; Food Pairing to The Ultimate BBQ Experience. Not to be missed: The signature Grand Tasting, a taster's heaven with samples from more than 200 different wineries, plus artisan breads, cheeses and meats.",
,http://www.bostonmagazine.com/arts_entertainment/event/2nd_annual_sustainable_seaside_wedding_show,978-356-4351,http://www.craneestate.org,,,2nd Annual Sustainable Seaside Wedding Show,,"The Trustees of Reservations is hosting their second annual Sustainable Seaside Wedding Show on April 10. The event will offer a positive wealth of eco-friendly wedding advice with over 60 vendors on hand to lend their expertise to couples and planners in wedding preparation mode. Food, flower and stationary samples will also be available &ndash; all locally sourced and sustainably crafted. The show returns by popular demand; over 300 people attended the first event, and organizers hope to create a gala equally, if not more, successful this year.&nbsp;",
Tickets are $100.00,http://www.bostonmagazine.com/arts_entertainment/event/beyond_shelter_gala_2011,617-534-6148,http://www.fobh.org/,,,Friends of Boston's Homeless Beyond Shelter Gala,"15 Lansdowne Street, Boston, MA 02215</div><div>","On April 28th,&nbsp; Friends of Boston&rsquo;s Homeless will hold the 24th annual Beyond Shelter Gala at House of Blues. The event, hosted by Mayor Menino and led by the organization's founder, John Rosenthal, will include live music, a raffle and auction &mdash; including Red Sox-autographed sports memorabilia and luxury weekend getaways &mdash; plus gourmet tastings from some of the city's top chefs. Participating restaurants include Hamersley's Bistro, Eastern Standard and Treat Cupcake Bar. All proceeds will go to benefit Friends of Boston's Homeless and its mission to aid the city's most vulnerable population.",House of Blues Boston
Free,http://www.bostonmagazine.com/arts_entertainment/event/the_get_together,617.426.8942 x6,http://togetherboston.com,,,The Get Together,"621 Huntington Ave, Boston, MA 02115</div><div>","This year's annual Together Festival signature event,",THE POZEN CENTER AT MASSART
Free,http://www.bostonmagazine.com/arts_entertainment/event/patriots_day_beach_party,978-356-4354,http://www.thetrustees.org/places-to-visit/northeast-ma/crane-beach-parking-sticker.html,,,Patriots Day Beach Party,"Argilla Road, Ipswich, MA 01938</div><div>","In honor of Patriot&rsquo;s Day and Paul Revere&rsquo;s historic ride, The Trustees of Reservations invite guests join them on Crane Beach in Ipswich for a free beach day on Patriot's Day, April 18 from 10 a.m. &ndash; 2 p.m. The event is part of this year&rsquo;s debut of the Crane Beach Parking Sticker program, in which members can purchase a parking sticker for unlimited, year-round beach access at the early bird discounted rate of only $50 &mdash; down from $75 &mdash; until April 30, 2011. On this day, there will be family events, including a scavenger hunt and a guided hike to round out the fun of a day at the beach.",Crane Beach on the Crane Estate
Regular tickets start at $33,http://www.bostonmagazine.com/arts_entertainment/event/9_circles,617-933-8600,http://www.publicktheatre.com,4/09/11,3/17/11,9 Circles,"539 Tremont Street, Boston, MA 02115</div><div>",The east coast premiere of playwright Bill Cain's outstanding thriller,Boston Center for the Art's (BCA) Plaza Theatre
"Tickets to the Grand Tasting are sold by session, starting at $85.&#160; There are three sessions:&#160; Saturday, May 21, from noon-2pm and 3-5pm, and Sunday, May 22, from noon-3pm.&#160; You may combine sessions for a discounted price.&#160; Ticket pric",http://www.bostonmagazine.com/arts_entertainment/event/nantucket_wine_festival_2011,508-228-1128,http://www.nantucketwinefestival.com/,5/22/11,5/18/11,Nantucket Wine Festival 2011,", Nantucket, MA </div><div>","The 15th annual Nantucket Wine Festival kicks off this May, running through&nbsp; five days of culinary excellence, extraordinary wines and a series of symposiums on everything from Demystifying Wine &amp; Food Pairing to The Ultimate BBQ Experience. Not to be missed: The signature Grand Tasting, a taster's heaven with samples from more than 200 different wineries, plus artisan breads, cheeses and meats.",
Tickets cost $150,http://www.bostonmagazine.com/arts_entertainment/event/Jack_sidells_circle_of_legendary_boston_food_friends,617-731-0600,http://www.facebook.com/metrestaurant,,,Jack Sidell's Circle of Legendary Boston Food Friends,"10 St. James Ave, Boston, MA 02116</div><div>","This month, the first annual Jack Sidell's Circle of Legendary Boston  Food Friends will take place in honor of the late, great Jack Sidell.  The event, held at Davio's, will be&nbsp; emceed by Annie Copps and co-hosted  by Sidell's two daughters,&nbsp; Stephanie and Kathy. Top chefs from around  town, including Jasper White and Dante de Magistris, will prepare  samples of their favorite dishes, to be shared along with their own  stories and anecdotes of the honoree. Proceeds from the event will go to  Massachusetts General Hospital, for the extraordinary care it provided  during Sidell's illness.",The Galleria
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,617-478-3100,http://www.icaboston.org/,8/14/11,7/03/10,Francesa DiMattio at the ICA,"100 Northern Ave., Boston, MA 02210</div><div>","New York-based painter Francesca DiMattio's show at the Institute of Contemporary Art (ICA) features an abstract style that plays with dimension and perspective while blending pop art and architecture subjects. DiMattio uses the ICA's location as a muse, featuring five wall-sive canvases that focus on imagery of ships and the sea.",Institute of Contemporary Art
"Tickets to the Grand Tasting are sold by session, starting at $85.&#160; There are three sessions:&#160; Saturday, May 21, from noon-2pm and 3-5pm, and Sunday, May 22, from noon-3pm.&#160; You may combine sessions for a discounted price.&#160; Ticket pric",http://www.bostonmagazine.com/arts_entertainment/event/nantucket_wine_festival_2011,508-228-1128,http://www.nantucketwinefestival.com/,5/22/11,5/18/11,Nantucket Wine Festival 2011,", Nantucket, MA </div><div>","The 15th annual Nantucket Wine Festival kicks off this May, running through&nbsp; five days of culinary excellence, extraordinary wines and a series of symposiums on everything from Demystifying Wine &amp; Food Pairing to The Ultimate BBQ Experience. Not to be missed: The signature Grand Tasting, a taster's heaven with samples from more than 200 different wineries, plus artisan breads, cheeses and meats.",
"$15 general admission, $13 for students, $10 for seniors, free for members and those 17 and under",http://www.bostonmagazine.com/arts_entertainment/event/francesa_dimattio_at_the_ica,,,8/14/11,7/03/10,Francesa DiMattio at the ICA,,,
"Registration for individuals costs $250; foursomes cost $1,000",http://www.bostonmagazine.com/arts_entertainment/event/swing_for_als,,,,,Swing for ALS,,,
Around $40; prices may vary,http://www.bostonmagazine.com/arts_entertainment/event/hairraising_for_childrens_hospital_boston,,,,,HAIRraising for Childrens Hospital Boston,,,
Tickets cost $150,http://www.bostonmagazine.com/arts_entertainment/event/Jack_sidells_circle_of_legendary_boston_food_friends,,,,,Jack Sidell's Circle of Legendary Boston Food Friends,,,
"Tickets from $650 to $1,250",http://www.bostonmagazine.com/arts_entertainment/event/hot_pink_party,,,,,Hot Pink Party,,,
"Tickets to the Grand Tasting are sold by session, starting at $85.&#160; There are three sessions:&#160; Saturday, May 21, from noon-2pm and 3-5pm, and Sunday, May 22, from noon-3pm.&#160; You may combine sessions for a discounted price.&#160; Ticket pric",http://www.bostonmagazine.com/arts_entertainment/event/nantucket_wine_festival_2011,,,5/22/11,5/18/11,Nantucket Wine Festival 2011,,,
Price varies by restaurant,http://www.bostonmagazine.com/arts_entertainment/event/national_hamburger_day_around_boston,,,,,National Hamburger Day around Boston,,,
