city,startDate,address,name,description,price,venueName,state,endDate,image,moreInfoLink
Minneapolis,02/27/2011,416 Cedar Ave. S.,Jacqueline Ultan,,$5,The Cedar,MN,02/27/2011,,http://www.citypages.com//events/jacqueline-ultan-1682672/
Minneapolis,02/27/2011,650 Hennepin Ave.,Dueling Pianos,,free; $8 after 7 p.m. Fri-Sat,Shout House Dueling Pianos,MN,,,http://www.citypages.com//events/dueling-pianos-811673/
Minneapolis,02/27/2011,408 Hennepin Ave.,Dance Annex,,,Gay 90's,MN,,,http://www.citypages.com//events/dance-annex-487533/
St. Paul,02/23/2011,380 Cedar St.,Ray Evangelista,,free,Hunan Garden,MN,,,http://www.citypages.com//events/ray-evangelista-164660/
Minneapolis,02/25/2011,416 Cedar Ave. S.,Akron/Family,,$12/$15,The Cedar,MN,02/25/2011,,http://www.citypages.com//events/akron-family-1682671/
Minneapolis,02/25/2011,701 1st Ave. N.,Tapes 'n Tapes,with Oberhofer. 18+</p>,$15,First Avenue,MN,02/25/2011,,http://www.citypages.com//events/tapes-n-tapes-1652891/
St. Paul,02/25/2011,380 Cedar St.,Ray Evangelista,,free,Hunan Garden,MN,,,http://www.citypages.com//events/ray-evangelista-164660/
Minneapolis,02/23/2011,408 Hennepin Ave.,Men's Room,,,Gay 90's,MN,,,http://www.citypages.com//events/mens-room-487543/
Minneapolis,02/25/2011,1111 Nicollet Mall,MN Orchestra: A Carnegie Hall Preview: Beethoven and Sibelius,,$26-$84,Orchestra Hall,MN,02/25/2011,,http://www.citypages.com//events/mn-orchestra-a-carnegie-hall-preview-beethoven-and-sibelius-1684941/
Minneapolis,02/25/2011,408 Hennepin Ave.,Dance Annex,,,Gay 90's,MN,,,http://www.citypages.com//events/dance-annex-487533/
Minneapolis,02/24/2011,408 Hennepin Ave.,Men's Room,,,Gay 90's,MN,,,http://www.citypages.com//events/mens-room-487543/
Minneapolis,02/24/2011,1111 Nicollet Mall,MN Orchestra: A Carnegie Hall Preview: Beethoven and Sibelius,,$26-$84,Orchestra Hall,MN,02/24/2011,,http://www.citypages.com//events/mn-orchestra-a-carnegie-hall-preview-beethoven-and-sibelius-1684941/
Minneapolis,02/26/2011,323 1st Ave. N.,F*cking Sick,,,Bootleggers,MN,,,http://www.citypages.com//events/fcking-sick-1322223/
Minneapolis,02/26/2011,16 University Ave. NE,Kilt Night,with Tom Dahill & Ginny Johnson</p>,,Keegan's Irish Pub,MN,,,http://www.citypages.com//events/kilt-night-767486/
Minneapolis,02/25/2011,408 Hennepin Ave.,Men's Room,,,Gay 90's,MN,,,http://www.citypages.com//events/mens-room-487543/
Minneapolis,02/25/2011,701 1st Ave. N.,Energize,,$10; ladies free until 9:30 p.m,The Record Room,MN,,,http://www.citypages.com//events/energize-167998/
Minneapolis,02/26/2011,408 Hennepin Ave.,Men's Room,,,Gay 90's,MN,,,http://www.citypages.com//events/mens-room-487543/
Minneapolis,02/27/2011,408 Hennepin Ave.,Men's Room,,,Gay 90's,MN,,,http://www.citypages.com//events/mens-room-487543/
Minneapolis,02/28/2011,408 Hennepin Ave.,Men's Room,,,Gay 90's,MN,,,http://www.citypages.com//events/mens-room-487543/
Minneapolis,02/25/2011,327 14th Ave. SE,Salsa Police,,,Loring Pasta Bar,MN,,,http://www.citypages.com//events/salsa-police-501738/
Minneapolis,02/26/2011,327 14th Ave. SE,Salsa Police,,,Loring Pasta Bar,MN,,,http://www.citypages.com//events/salsa-police-501738/
Minneapolis,02/23/2011,917 Cedar Ave. S.,Escape the Fate,"with Alesana, Motionless in White, Drive A. All ages</p>",$16/$18,Cabooze,MN,02/23/2011,,http://www.citypages.com//events/escape-the-fate-1688753/
Minneapolis,02/23/2011,1308 4th St. SE,Cowboy Mouth,with Dash Rip Rock</p>,$21.50/$23.50,The Varsity Theater,MN,02/23/2011,,http://www.citypages.com//events/cowboy-mouth-1697293/
St. Paul,02/24/2011,380 Cedar St.,Ray Evangelista,,free,Hunan Garden,MN,,,http://www.citypages.com//events/ray-evangelista-164660/
Minneapolis,02/24/2011,101 Glenwood Ave. N.,Zed's Dead: A Tarantino Lovefest,Mick Sterling presents a night of cover songs from the soundtracks to Quentin Tarantino films</p>,$6,Lee's Liquor Lounge,MN,,,http://www.citypages.com//events/zeds-dead-a-tarantino-lovefest-1386290/
Minneapolis,02/25/2011,101 Glenwood Ave. N.,E.L.nO.,"For far too long we've been told that Electric Light Orchestra were insufferable '70s cheese, a bloated prog-rock monstrosity that valued production technique over real feeling and hovered near the top of the Reasons Punk Needed to Happen list. Truth is, there was a hell of a power-pop band beneath all those electronic strings and concept-record conceits, and even if Jeff Lynne's bid for Beatledom fell a bit short of that lofty goal, the songs that resulted in the interim -- ""Don't Bring Me Down"", ""Mr. Blue Sky"", ""Do Ya"", ""Evil Woman"" -- are deservedly iconic. Local cover band E.L.nO -- comprised of members of Accident Clearinghouse, Detroit, Billy Johnson's Roadshow and Manplanet -- might not be entirely straight-faced in their tribute, at least if their gigantic white-dude-afro wigs are any indication, but they embrace the utopian giddiness in their homage along with the Xanadu-scoring silliness.</p>",$8,Lee's Liquor Lounge,MN,,http://vvoice.vo.llnwd.net/e5/5228100.47.jpg,http://www.citypages.com//events/e-l-no--1502242/
Minneapolis,02/25/2011,323 1st Ave. N.,F*cking Sick,,,Bootleggers,MN,,,http://www.citypages.com//events/fcking-sick-1322223/
Minneapolis,02/26/2011,416 Cedar Ave. S.,Yann Tiersen,,$15,The Cedar,MN,02/26/2011,,http://www.citypages.com//events/yann-tiersen-1697309/
Fridley,02/28/2011,7820 University Ave.,Rawkzilla Battle of the Bands,,,G.B. Leighton's Pickle Park,MN,,,http://www.citypages.com//events/rawkzilla-battle-of-the-bands-1501937/
Minneapolis,02/28/2011,112 Hennepin Ave. E.,Andy Cowley,in the Piano Bar</p>,,Nye's Polonaise Room,MN,,,http://www.citypages.com//events/andy-cowley-1277514/
Minneapolis,02/28/2011,761 Washington Ave. N.,Dr. Mambo's Combo,,$7,Bunker's Music Bar & Grill,MN,,,http://www.citypages.com//events/dr-mambos-combo-1696352/
Minneapolis,02/26/2011,607 W. Lake St.,Bluegrass Pals,,,Dulono's,MN,12/11/2010,,http://www.citypages.com//events/bluegrass-pals-1697323/
Minneapolis,02/26/2011,112 Hennepin Ave. E.,The World's Most Dangerous Polka Band,,,Nye's Polonaise Room,MN,,,http://www.citypages.com//events/the-worlds-most-dangerous-polka-band-1277508/
Minneapolis,02/26/2011,2916 Lyndale Ave. S.,Karaoke,,free,James Ballentine VFW Post 246,MN,,,http://www.citypages.com//events/karaoke-1039559/
Minneapolis,02/26/2011,315 14th Ave. SE,Menergy,"with DJ Bach, more</p>",$1; $3 after 11 p.m,Kitty Cat Klub,MN,,,http://www.citypages.com//events/menergy-1077238/
Minneapolis,02/26/2011,923 Washington Ave. N.,Attitude City,,,Clubhouse Jager,MN,,,http://www.citypages.com//events/attitude-city-1238907/
Minneapolis,02/23/2011,1010 Nicollet Mall,Lizz Wright,$40 at 7 p.m.; $25 at 9:30 p.m</p>,,Dakota Jazz Club & Restaurant,MN,02/23/2011,,http://www.citypages.com//events/lizz-wright-1696479/
Minneapolis,02/23/2011,701 1st Ave. N.,Morcheeba,18+</p>,$20,First Avenue,MN,02/23/2011,,http://www.citypages.com//events/morcheeba-1695250/
Minneapolis,02/23/2011,327 14th Ave. SE,John Devine,,,Loring Pasta Bar,MN,,,http://www.citypages.com//events/john-devine-934121/
Minneapolis,02/23/2011,2901 27th Ave. S.,Karaoke,,,Schooner Tavern,MN,,,http://www.citypages.com//events/karaoke-743846/
Prior Lake,02/27/2011,2400 Mystic Lake Blvd.,Merle Haggard & Kris Kristofferson,,$49-$69,Mystic Lake Casino Hotel,MN,02/27/2011,,http://www.citypages.com//events/merle-haggard-and-kris-kristofferson-1695255/
Minneapolis,02/24/2011,917 Cedar Ave. S.,The Infamous Stringdusters,18+</p>,$12,Cabooze,MN,02/24/2011,,http://www.citypages.com//events/the-infamous-stringdusters-1688754/
Minneapolis,02/24/2011,112 Hennepin Ave. E.,Mike 'Piano Man' Maresh,in the Piano Bar</p>,,Nye's Polonaise Room,MN,,,http://www.citypages.com//events/mike-piano-man-maresh-1277515/
St. Paul,02/24/2011,164 Snelling Ave. N.,Nova Jazz Band,in the Shamrock Room</p>,,O'Gara's Bar & Grill,MN,,,http://www.citypages.com//events/nova-jazz-band-1398254/
Minneapolis,02/24/2011,327 14th Ave. SE,John Devine,,,Loring Pasta Bar,MN,,,http://www.citypages.com//events/john-devine-934121/
Minneapolis,02/24/2011,5411 Penn Ave. S.,DJ HWH the Third,,free,Cafe Maude,MN,,,http://www.citypages.com//events/dj-hwh-the-third-791916/
Minneapolis,02/24/2011,923 Washington Ave. N.,What's That Sound?,,,Clubhouse Jager,MN,,,http://www.citypages.com//events/whats-that-sound--1238906/
St. Paul,02/27/2011,75 W. 5th St.,Skylark Opera: Tales of Offenbach,,free,Landmark Center,MN,02/27/2011,,http://www.citypages.com//events/skylark-opera-tales-of-offenbach-1688669/
Minneapolis,02/27/2011,112 Hennepin Ave. E.,Andy Cowley,in the Piano Bar</p>,,Nye's Polonaise Room,MN,,,http://www.citypages.com//events/andy-cowley-1277514/
Minneapolis,02/27/2011,331 13th Ave. NE,Dr. Sketchy's Anti-Art School,,free,331 Club,MN,,,http://www.citypages.com//events/dr-sketchys-anti-art-school-1571911/
Minneapolis,02/27/2011,761 Washington Ave. N.,Dr. Mambo's Combo,,$7,Bunker's Music Bar & Grill,MN,,,http://www.citypages.com//events/dr-mambos-combo-1696352/
Minneapolis,02/27/2011,329 S. Cedar Ave.,MPLS Free Music Society,All ages</p>,,Acadia Cafe,MN,,,http://www.citypages.com//events/mpls-free-music-society-993940/
Minneapolis,02/25/2011,112 Hennepin Ave. E.,The World's Most Dangerous Polka Band,,,Nye's Polonaise Room,MN,,,http://www.citypages.com//events/the-worlds-most-dangerous-polka-band-1277508/
Minneapolis,02/25/2011,2916 Lyndale Ave. S.,Karaoke,,free,James Ballentine VFW Post 246,MN,,,http://www.citypages.com//events/karaoke-1039559/
St. Paul,03/06/2011,345 Washington St.,MN Opera: La Traviata,Sung in Italian with English translations. For tickets and info call 612.333.6669 or visit www.mnopera.org.</p>,$20-$200,Ordway Center for the Performing Arts,MN,03/13/2011,,http://www.citypages.com//events/mn-opera-la-traviata-1688627/
St. Paul,03/10/2011,345 Washington St.,MN Opera: La Traviata,Sung in Italian with English translations. For tickets and info call 612.333.6669 or visit www.mnopera.org.</p>,$20-$200,Ordway Center for the Performing Arts,MN,03/12/2011,,http://www.citypages.com//events/mn-opera-la-traviata-1688627/
Minneapolis,02/23/2011,830 Hennepin Ave.,Hump Night,"with DJ Naughty Boyy, Bango with Mother Pearl.</p>",,The Saloon,MN,,,http://www.citypages.com//events/hump-night-644988/
Minneapolis,02/24/2011,830 Hennepin Ave.,Boyz Night Out,with DJ Naughty Boyy. 18+.</p>,,The Saloon,MN,,,http://www.citypages.com//events/boyz-night-out-644989/
Minneapolis,02/26/2011,830 Hennepin Ave.,Naughty Boyy,,,The Saloon,MN,,,http://www.citypages.com//events/naughty-boyy-644982/
Minneapolis,02/27/2011,830 Hennepin Ave.,Amateur Shower Contest,with DJ Danny Shaffer. 18+.</p>,,The Saloon,MN,,,http://www.citypages.com//events/amateur-shower-contest-1646174/
Minneapolis,02/28/2011,830 Hennepin Ave.,Hard Mondays,with DJs Nitrogen & guests. 18+.</p>,,The Saloon,MN,,,http://www.citypages.com//events/hard-mondays-644985/
Minneapolis,02/23/2011,923 Washington Ave. N.,Transmission,"""Retro"" is a tricky niche to slot a dance night into. Usually you've got to find yourself an era and a genre, hew towards the hits, and maybe garnish it with an outsized wink, a double-pistol-point and a smirking acknowledgement that you think the past is, well, kinda goofy. Clubhouse Jager's weekly Transmission dance night, one of the bar's longest-running attractions, doesn't constrict itself to that kind of semi-insincere kitsch. Helmed by DJ Jake Rudh, a veteran of college-fave stations Radio K and the (long-lamented) REV 105, Transmission hews a bit closer to the decades-spanning sensibility of a devoted, Anglophilia-skewing music geek, covering vintage and current Britpop, glam, new wave, punk, mod and indie-disco icons from the Kinks to Joy Division to Hot Chip. And don't worry -- nobody'll laugh if you wind up dancing to Duran Duran.</p>",free,Clubhouse Jager,MN,,http://vvoice.vo.llnwd.net/e5/3787317.47.jpg,http://www.citypages.com//events/transmission-759180/
Minneapolis,02/23/2011,416 Cedar Ave. S.,Alexi Murdoch,,$20/$22,The Cedar,MN,02/23/2011,,http://www.citypages.com//events/alexi-murdoch-1732787/
Minneapolis,02/23/2011,629 Cedar Ave. S.,"Fake Problems, the Slow Death, the Sundowners",18+</p>,$10,Triple Rock Social Club,MN,02/23/2011,,http://www.citypages.com//events/fake-problems-the-slow-death-the-sundowners-1731658/
Maple Grove,02/23/2011,7885 Main St. N.,Dan Ristrom,,,Sawatdee,MN,,,http://www.citypages.com//events/dan-ristrom-1017320/
Minneapolis,02/23/2011,112 Hennepin Ave. E.,Molly Maher & Her Disbelievers,,,Nye's Polonaise Room,MN,,,http://www.citypages.com//events/molly-maher-and-her-disbelievers-1277510/
Fridley,02/23/2011,6161 Central Ave. NE,Sam Kuusisto Band,,,Shorewood Bar & Grill,MN,,,http://www.citypages.com//events/sam-kuusisto-band-1224422/
Minneapolis,02/23/2011,901 Cedar Ave. S.,The Lost Marbles,,,Whiskey Junction,MN,,,http://www.citypages.com//events/the-lost-marbles-1448230/
Minneapolis,02/23/2011,2300 NE University Ave.,The Wednesday Crush,with Big City Band</p>,,Mario's Keller Bar,MN,,,http://www.citypages.com//events/the-wednesday-crush-1718179/
Minneapolis,02/23/2011,600 Hennepin Ave. S.,Traditional Irish Music Session,,,Kieran's Irish Pub,MN,,,http://www.citypages.com//events/traditional-irish-music-session-1039628/
Minneapolis,02/23/2011,411 2nd Ave. N.,Vibin' Open Mic,with Mr. Hayes</p>,,The Lounge,MN,,,http://www.citypages.com//events/vibin-open-mic-1450406/
Minneapolis,02/23/2011,409 E. Hennepin Ave.,Wain McFarlane,,,Terminal Bar,MN,,,http://www.citypages.com//events/wain-mcfarlane-1625210/
Minneapolis,02/23/2011,501 Cedar Ave. S.,Wain McFarlane & Friends,on the patio</p>,,Nomad World Pub,MN,,,http://www.citypages.com//events/wain-mcfarlane-and-friends-1465283/
St. Paul,02/23/2011,308 Prince St.,Rahjta Ren,,,Black Dog Coffee and Wine Bar,MN,,,http://www.citypages.com//events/rahjta-ren-1704994/
Chanhassen,02/23/2011,600 Market St. Ste 170,Carol Z & Jeff Carver,,,The School II,MN,,,http://www.citypages.com//events/carol-z-and-jeff-carver-1732798/
Minneapolis,02/23/2011,3001 Hennepin Ave. S.,Javier Trejo,,,Famous Dave's BBQ and Blues,MN,,,http://www.citypages.com//events/javier-trejo-1718266/
White Bear Lake,02/23/2011,4725 Hwy 61 N.,Joe Cruz,,free,Ingredients Cafe & Take Away,MN,,,http://www.citypages.com//events/joe-cruz-1571827/
Minneapolis,02/23/2011,650 Hennepin Ave.,Dueling Pianos,,free; $8 after 7 p.m. Fri-Sat,Shout House Dueling Pianos,MN,,,http://www.citypages.com//events/dueling-pianos-811673/
Fridley,02/23/2011,6161 Central Ave. NE,Karaoke Night,with Mia Dorr & DJ DeeDee</p>,,Shorewood Bar & Grill,MN,,,http://www.citypages.com//events/karaoke-night-1478281/
Minneapolis,02/23/2011,2916 Lyndale Ave. S.,Two Fisted Trivia,,free,James Ballentine VFW Post 246,MN,,,http://www.citypages.com//events/two-fisted-trivia-1329627/
Minneapolis,02/23/2011,4415 Nicollet Ave. S.,Willie Murphy Blues Jam,,,Driftwood Char Bar,MN,,,http://www.citypages.com//events/willie-murphy-blues-jam-1734052/
Minneapolis,02/23/2011,80 S. 9th St.,The Wolverines,,,Hell's Kitchen,MN,,,http://www.citypages.com//events/the-wolverines-1666123/
Minneapolis,02/23/2011,3745 42nd Ave. S.,Overtones Jazz Trio,,,Riverview Cafe & Wine Bar,MN,,,http://www.citypages.com//events/overtones-jazz-trio-776157/
Minneapolis,02/23/2011,3601 E. Lake St.,Wednesday Pub Quiz,,,Merlins Rest,MN,,,http://www.citypages.com//events/wednesday-pub-quiz-674444/
St. Louis Park,02/23/2011,9970 Wayzata Blvd.,Pub Quiz,,,Kip's Irish Pub,MN,,,http://www.citypages.com//events/pub-quiz-806230/
Maplewood,02/23/2011,1638 Rice St.,Bluprint,,free,Wilebski's Blues Saloon,MN,,,http://www.citypages.com//events/bluprint-1725928/
Minneapolis,02/23/2011,400 Cedar Ave. S.,Koerner & Glover,18+</p>,$5/$8,400 Bar,MN,,,http://www.citypages.com//events/koerner-and-glover-1710367/
Minneapolis,02/23/2011,1933 Lyndale Ave. S.,Peter K,,,Rudolph's Bar-b-que,MN,,,http://www.citypages.com//events/peter-k-1248199/
Maplewood,02/23/2011,1638 Rice St.,Tim O'Brien Project & Friends,,,Wilebski's Blues Saloon,MN,,,http://www.citypages.com//events/tim-obrien-project-and-friends-1664970/
St. Paul,02/23/2011,1579 Hamline Ave. N.,When Worlds Collide,with Lonnie Knight & guests</p>,,The Coffee Grounds,MN,,,http://www.citypages.com//events/when-worlds-collide-922225/
Minneapolis,02/23/2011,2200 4th St. NE,Trailer Park Trivia,,free,Grumpy's Bar & Grill,MN,,,http://www.citypages.com//events/trailer-park-trivia-1254717/
Minneapolis,02/23/2011,501 Cedar Ave. S.,Beat Box Radio,,free,Nomad World Pub,MN,,,http://www.citypages.com//events/beat-box-radio-1618694/
Oakdale,02/23/2011,1267 Geneva Ave.,Sassy Lassy Trivia,,,Riley's Pub & Grill,MN,,,http://www.citypages.com//events/sassy-lassy-trivia-1514763/
Minneapolis,02/23/2011,2027 E. Franklin Ave.,Trivia Night,,,Blue Nile Restaurant & Lounge,MN,,,http://www.citypages.com//events/trivia-night-1634167/
Eden Prairie,02/23/2011,13000 Technology Dr.,Karaoke,,,Santorini Taverna & Grill,MN,,,http://www.citypages.com//events/karaoke-443080/
Minneapolis,02/23/2011,701 1st Ave. N.,Konkrete Jungle,18+</p>,$5,The Record Room,MN,,,http://www.citypages.com//events/konkrete-jungle-995853/
Minneapolis,02/23/2011,119 4th St. N.,Triviasco,hosted by Ian of Drinking With Ian</p>,,Pizza Luce,MN,,,http://www.citypages.com//events/triviasco-916575/
Minneapolis,02/24/2011,701 1st Ave. N.,The Bungalow,"Friday night gets all the love, Wednesday night has its nudge-wink ""hump day"" cachet and everyone hates Mondays so much that there's no choice but to go out and wash that start-of-the-week ennui away. But what about Thursday, the day of the week where people are most likely to put socially-outgoing good times off until tomorrow? Well, there's a dance night for that, too, and it's worth hitting: the First Avenue VIP Room's weekly Bungalow dance night features DJ Verb X and DJ Nex, local champions of hip hop, reggae and reggaeton, who provide the kind of wall-to-wall bangers that only true veterans can assemble. Factor in the low cover charge -- three bucks if you drop in before 11 pm -- and you've got a great option for night-before-payday partying. (Photo by Chris Yunker)</p>",$3; $6 after 11 p.m,The Record Room,MN,,http://vvoice.vo.llnwd.net/e5/4684640.47.jpg,http://www.citypages.com//events/the-bungalow-995854/
