venue,to,description,city,address,zipcode,image,state,email,longitude,title,moreInfoLink,tickets,times,latitude,from
ImprovBoston Theatre,01/01/2037,"ImprovBoston Mainstage is the ever-evolving show that is the cornerstone of ImprovBoston. Blending skillful storytelling, memorable music, audience participation, and joyful chaos, an elite cast of Boston's best improvisers creates a show that redefines itself with every performance. No rules. No boundaries. Just spectacular comedy and incredible improvisation.</p>			</p>    			<br><br>",<br /> 						Cambridge,40 Prospect Street,02139,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/41163/mainstage_medium.gif,MA,reservations@improvboston.com,-71.103379,Mainstage,http://www.artsboston.org/event/detail/41163/Mainstage,$16 general admission/$12 seniors and students,8 pm and 10 pm,42.3659518,02/19/2009
ImprovBoston Theatre,01/01/2037,"NightCap is a late-night fringe comedy show that showcases up and coming talent in Boston. Featuring everything from stand-up, improv, sketch, video, and cabaret to conceptual comedy, NightCap is a venue where comedians from Boston and beyond can come and perform experimental and established acts alike in an alternative comedy environment, offering our audiences great late night comedy for a great price.</p>			</p>    			<br><br>",<br /> 						Cambridge,40 Prospect Street,02139,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/41165/slideshownightcap_medium.gif,MA,reservations@improvboston.com,-71.103379,Night Cap,http://www.artsboston.org/event/detail/41165/Night_Cap,$7/$3 with Mainstage ticket,11:30 pm,42.3659518,02/20/2009
ImprovBoston Theatre,01/01/2037,"Each month, ImprovBoston presents two original comedy shows from the New England's best sketch and improv artists. From the silliness of sorority life to ludicrousness of local politicians, the 2008-2009 season of the The Hump promises edgy original comedy at a price anyone can afford!</p>			</p>    			<br><br>",<br /> 						Cambridge,40 Prospect Street,02139,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/41153/humpshow_medium.jpg,MA,reservations@improvboston.com,-71.103379,The Hump,http://www.artsboston.org/event/detail/41153/The_Hump,$10 general admission/$7 students and seniors,8 pm,42.3659518,02/18/2009
ImprovBoston Theatre,01/01/2037,"Boston's most dangerous (or most floral) comedians take the stage with special guests each Thursday for a Schmorgashbord of improv, stand-up and sketch deliciousness. Seriously.</p>			</p>    			<br><br>",<br /> 						Cambridge,40 Prospect Street,02139,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/41155/bastardsinc_medium.gif,MA,reservations@improvboston.com,-71.103379,Bastards Inc.,http://www.artsboston.org/event/detail/41155/Bastards_Inc,$10 general admission/$7 students and seniors,8 pm,42.3659518,02/19/2009
ImprovBoston Theatre,01/01/2037,"It's Friday night, and two teams of improvisers will fight for comedic supremacy in a knockdown, no-holds-barred, artistic throwdown. Witness the humiliating sting of defeat and the rush of victory as they compete for your support with hilarious games, scenes, and characters. A staple of the Boston comedy scene, Friday Night Face Off has been running on the same night and time for over 10 years! Come and see what the fuss is all about!</p>			</p>    			<br><br>",<br /> 						Cambridge,40 Prospect Street,02139,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/41157/fnfo_medium.gif,MA,reservations@improvboston.com,-71.103379,Friday Night Face Off,http://www.artsboston.org/event/detail/41157/Friday_Night_Face_Off,$15 general admission/$12 students and seniors,10 pm,42.3659518,02/20/2009
Improv Asylum Theater,01/01/2037,"Improv Asylum's Main Stage Show features a cast of actors who bring together improvisation and sketch material in front of a live audience. The show has been described as a &quot;hilarious mix of Whose Line is it Anyway? meets Saturday Night Live!&quot; The cast takes suggestions from the audience and creates comedic scenes on the spot: nothing is predictable, anything can happen and it's never the same show twice!</p>			</p>    			<br><br>",<br /> 						Boston,216 Hanover Street,02113,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/40363/corp_audience_medium.jpg,MA,,-71.0554898,Improv Asylum Main Stage Show,http://www.artsboston.org/event/detail/40363/Improv_Asylum_Main_Stage_Show,$20,Thursday 8 PM Friday 8 PM Friday 10 PM Saturday 7 PM Saturday 9 PM,42.362972,03/26/2009
Tsai Performance Center,03/05/2011,"Aspen Santa Fe Ballet, a contemporary company with an unwavering commitment to classical dance, spins a tantalizing web of movement by using innovative choreography and dancing with the heart of a chameleon. These sleek, facile dancers have a flair for eclectic works requiring balletic brilliance. They are a tonic you may not have known you needed&mdash;in short, a refreshing surprise.  &ldquo;A twinge of wonderment that might charm the most cynical of New York dance fans &hellip; They raise the bar, and then they jump over it.&rdquo; &mdash;The New York Times  &ldquo;This is a model of what a small classic company should be.&rdquo; &mdash;Dance Magazine</p>			</p>    			<br><br>",<br /> 						Boston,"Boston University, 685 Commonwealth Avenue",,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440749503/aspensantafe_80_medium.jpg,MA,,-71.1954089,Aspen Santa Fe Ballet,http://www.artsboston.org/event/detail/440749503/Aspen_Santa_Fe_Ballet,Tickets are $52 &amp; $42 (subscription prices),"Friday, 7:30pm Saturday, 8pm",42.3359172,03/04/2011
Colonial Theatre,03/13/2011,"The international dance sensation BURN THE FLOOR visits you direct from its record-breaking run on Broadway! You've seen Ballroom dance on shows like &quot;Dancing with the Stars&quot; and &quot;So You Think You Can Dance.&quot; Now, with BURN THE FLOOR, you will feel, live on stage, all the passion, the drama and the sizzling excitement of 20 gorgeous champion dancers, in a true theatrical experience, a performance with a grace and athleticism that The New York Times calls, &quot;Dazzling!&quot;   From Harlem's hot nights at The Savoy, where dances such as the Lindy, Foxtrot and Charleston were born, to the Latin Quarter where the Cha-Cha, Rumba and Salsa steamed up the stage, BURN THE FLOOR takes audiences on a journey through the passionate drama of dance. The elegance of the Viennese Waltz, the exuberance of the Jive, the intensity of the Paso Doble - audiences will experience them all, as well as the Tango, Samba, Mambo, Quickstep and Swing.  BURN THE FLOOR-it's Ballroom. Reinvented.</p>			</p>    			<br><br>",<br /> 						Boston,106 Boylston Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440828341/the_dirty_boogie._no_photo_credit_medium.jpg,MA,,-71.065459,Burn the Floor,http://www.artsboston.org/event/detail/440828341/Burn_the_Floor,Single tickets/prices will be announced at a later date.  Call 866-523-7469 for more info.,Tues: 7pm Weds and Thurs: 7:30pm Fri: 8pm Sat: 2pm and 8pm Sun: 2pm and 7:30pm,42.352241,03/08/2011
Tsai Performance Center,04/02/2011,"Founded in 2005, BeijingDance/LDTX (Lei Dong Tian Xia, literally translated as Thunder Rumbles Under Heaven) is China&rsquo;s first non-governmental and independent professional dance company. Under the artistic direction of China&rsquo;s leading choreographer, Willy Tsao, this company of 14 technically exquisite dancers is recognized internationally for its integration of Chinese culture with influences from abroad. The program will feature The Cold Dagger (excerpt), All River Red, and a new work by Tibetan choreographer Sang Jijia.  &ldquo;The company doesn&rsquo;t merely dance splendidly, it dances ferociously.&rdquo;  &mdash;The Los Angeles Times</p>			</p>    			<br><br>",<br /> 						Boston,"Boston University, 685 Commonwealth Avenue",,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440750559/beijing_80_medium.jpg,MA,,-71.1954089,BeijingDance/LDTX,http://www.artsboston.org/event/detail/440750559/BeijingDanceLDTX,Tickets are $52-$42 (subscription prices),"Friday, 7:30pm Saturday, 8pm",42.3359172,04/01/2011
The Hanover Theatre,05/11/2011,"One of the world's favorite dance companies comes to Worcester to show off the brilliant artistry and passionate energy that bring audiences around the globe to their feet night after night!</p> <p>What makes this phenomenal company so special is the incomparable sense of joy, freedom and spirit that the dancers and audiences share. Discover for yourself what millions of fans already know - you don't just see an Ailey performance, you FEEL it.</p> <p>&nbsp;</p>			</p>    			<br><br>",<br /> 						Worcester,Two Southbridge Street,01608,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440790256/aileyphotoweb_copy_medium.jpg,MA,info@thehanovertheatre.org,-71.8032447,Alvin Ailey American Dance Theater,http://www.artsboston.org/event/detail/440790256/Alvin_Ailey_American_Dance_Theater,$28-$62; discounts available.,05/11 (7:30 pm),42.2614076,05/11/2011
Cutler Majestic Theatre,05/22/2011,"Founded by the two former Alvin Ailey dancers, Dwight Rhoden and Desmond Richardson, Complexions Contemporary Ballet is a company of dance thoroughbreds&mdash; fearless and focused. With spectacular virtuosity, the company delivers on the leaders&rsquo; athletic, hyper-kinetic and nervy vision to reflect evolving contemporary culture. The program will feature all new works by choreographer Dwight Rhoden.  &ldquo;Rhoden's work is post-Balanchinean choreography, a new aesthetic in movement, stage picture, and performance concepts reflecting a post-modern, techno-savvy worldview.&rdquo; &mdash;Dance Magazine</p>			</p>    			<br><br>",<br /> 						Boston,219 Tremont St.,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440750629/complexions_80_medium.jpg,MA,,-71.0651,Complexions Contemporary Ballet,http://www.artsboston.org/event/detail/440750629/Complexions_Contemporary_Ballet,Tickets are $60-$36 (subscription prices),"Friday, 7:30pm Saturday, 8pm Sunday, 3pm",42.3516,05/20/2011
Harvard Film Archive,10/08/2011,"Join us for a weekend of powerful international documentary films dealing with issues from the plight of migrant farm workers in the US to interpretations of Islam in Syria, and from the complexities of water use in developed countries to the role of widows in India. The Global Voices Film Festival presents films capturing the lives of people around the world.     See our website for the full festival schedule!</p>			</p>    			<br><br>",Street<br /> 						Cambridge,Harvard Film Archive Cinematheque 24 Quincy,02138,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,MA,,-71.1389101,Global Voices Film Festival,http://www.artsboston.org/event/detail/440804365/Global_Voices_Film_Festival,$5 (group rate) - $75 (philanthropist-level festival pass),"October 8, 2011, 7:30PM; (Film followed by discussion with filmmaker)",42.3803274,10/08/2011
WGBH,01/01/2037,Go behind the scenes for a free 45-minute tour of WGBH's all-digital studios at One Guest Street in Boston's Brighton neighborhood.</p>			</p>    			<br><br>,<br /> 						Boston,One Guest St,02135,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/56041/wgbhwhite-black_medium.gif,MA,studiotours@wgbh.org,-71.1482629,Free WGBH Studio Tours,http://www.artsboston.org/event/detail/56041/Free_WGBH_Studio_Tours,"For more information, please visit http://www.wgbh.org/studiotours",,42.3573958,02/09/2010
,01/01/2037,"AHA! takes place every 2nd Thursday and is a FREE art and culture event that features exhibits, performances, live music, talks and tours in downtown New Bedford.</p> <p>&nbsp;</p>			</p>    			<br><br>",,,,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,,,,"AHA! Night (art, history and architecture)",http://www.artsboston.org/event/detail/42863/AHA_Night_art_history_and_architecture,,5-9 pm,,05/14/2009
,01/01/2037,"This map shows all of Somerville with possible walks highlighted in five-minute increments. Use it to explore Somerville on foot for recreation, exploration, and transportation.</p> <p>Use this map for a self guided walk.</p>			</p>    			<br><br>",,,,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,,,,Somerville Walks,http://www.artsboston.org/event/detail/42801/Somerville_Walks,,"This is not an organized walk, please use the map for a self guided walk.",,04/09/2009
ImprovBoston Theatre,01/01/2037,"Start your Saturday night off with an evening full of improvised music, scenes, stories and games that is fun for the whole family! This interactive evening, performed by the ImprovBoston Family Show Cast, is sure to bring out the child in everyone!</p>			</p>    			<br><br>",<br /> 						Cambridge,40 Prospect Street,02139,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/41161/familyshow_medium.gif,MA,reservations@improvboston.com,-71.103379,The Family Show,http://www.artsboston.org/event/detail/41161/The_Family_Show,$12 general admission/$10 seniors/$7 students and children,6 pm,42.3659518,02/21/2009
First Lutheran Church of Boston,02/25/2011,"Ana Vidovic is undoubtedly the most popular guitarist of her generation, and with good reason. Born in Croatia and already performing internationally by the age of eleven, Ana completed her studies at the Peabody Conservatory with Manuel Barrueco and has given over one thousand concerts around the globe.  Ana&rsquo;s extraordinary technique is highly virtuosic and seemingly effortless, wonderfully capturing the relentless energy and forward drive of pieces such as Bach&rsquo;s Prelude from the E Major Violin Partita.  In contrast, her abilities can also render a surprisingly intimate painting of T&aacute;rrega&rsquo;s Capricho &Aacute;rabe.  Ana&rsquo;s concert will take place on February 25th, 2011, at 8 p.m.</p>			</p>    			<br><br>",<br /> 						Boston,299 Berkley Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440799199/anavidovic_medium.jpg,MA,adbcgs@gmail.com,-71.114922,"Ana Vidovic, classical guitar",http://www.artsboston.org/event/detail/440799199/Ana_Vidovic_classical_guitar,$25 general admission; $20 seniors / students. Discount for Members: $5.,8:00 pm,42.493531,02/25/2011
Symphony Hall,02/27/2011,"Dmitri Hvorostovsky, baritone Sunday, February 27, 2011, 3pm, Symphony Hall  Dmitri Hvorostovsky&rsquo;s extraordinary career is about much more than his glamorous image. The real story of his success starts when audiences close their eyes and listen to his dark, unmistakable baritone voice, and his broad range, incomparable legato, and breath control. Next one notices the fierce intensity and power of his interpretations and in recent years, the unmistakable elegance of maturity. The key to his brilliance is his capacity for inhabiting the music he sings. For all his stardom, Mr. Hvorostovsky may be one of the finest recitalists of our time.  &ldquo;&hellip; one of the most remarkable international vocal careers of recent years. His voice is redolent of luxury: beautiful tone, pinpoint intonation and impassioned delivery.&rdquo; &mdash;The New York Times  &ldquo;Genuine stars are rare in the classical music world, though Russian baritone Dmitri Hvorostovsky ranks among them. He is glamourous and audiences love him. The moment he steps on to the platform there are cheers &hellip; staggering stuff, all of it &hellip;&rdquo; &mdash;The Guardian (UK)</p>			</p>    			<br><br>",<br /> 						Boston,301 Massachusetts Avenue,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440749329/hvorostofsky_80_medium.jpg,MA,,-71.0854039,"Dmitri Hvorostovsky, baritone",http://www.artsboston.org/event/detail/440749329/Dmitri_Hvorostovsky_baritone,Tickets are $78-$45 (subscription prices),3pm,42.343064,02/27/2011
"Emmanuel Church, Boston",02/27/2011,"*  Piano Trio No. 4 in Bb, op. 11 &quot;Gassenhauer-Trio&quot;     * Quintet for Piano and Winds in Eb, op. 16     * Septet in Eb, op. 20      Leslie Amper, piano     Heidi Braun-Hill, violin     Margaret Dyer, viola     Thomas Van Dyck, double bass     Peggy Pearson, oboe     Bruce Creditor, clarinet     Thomas Stephenson, bassoon     Whitacre Hill, horn</p>			</p>    			<br><br>",<br /> 						Boston,15 Newbury Street,02116,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440824721/brandenburg_chamberseries_medium.jpg,MA,music@emmanuelmusic.org,-71.0724,Emmanuel Music: Beethoven Chamber Series concert 4,http://www.artsboston.org/event/detail/440824721/Emmanuel_Music_Beethoven_Chamber_Series_concert_4,see website for ticketing information,concert starts at 4 PM in the intimate Parish Hall at Emmanuel Church,42.3526,02/27/2011
Symphony Hall,03/02/2011,"Far from his years as a pianistic boy wonder, Evgeny Kissin has become a dynamic and impulsive pianist whose power and clarity suggest that we are now seeing his impressive potential fulfilled. His music is no longer about gorgeous sound alone, or how he will handle specific musical challenges, it is becoming an expression of his inner musical life. Evgeny Kissin is truly spreading his wings.  &ldquo;[Kissin] is on a remarkable tear at the moment, trying out new things and letting himself go, and that is extremely exciting.&rdquo; &mdash;The Los Angeles Times</p>			</p>    			<br><br>",<br /> 						Boston,301 Massachusetts Avenue,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440749497/kissin2_80_medium.jpg,MA,,-71.0854039,"Evgeny Kissin, piano",http://www.artsboston.org/event/detail/440749497/_Evgeny_Kissin_piano,Tickets are $78-$45 (subscription prices),8pm,42.343064,03/02/2011
NEC's Jordan Hall,03/06/2011,"The Boston Civic Symphony, Max Hobart, conductor, presents the &ldquo;Three B&rsquo;s &ndash; Bizet, Bartok, &amp; Brahms&rdquo; at Jordan Hall in Boston. The program will begin with Bizet&rsquo;s delightful &ldquo;Jeux d&rsquo;Enfants&rdquo; (Children&rsquo;s Games). Violinist Ayano Ninomiya, second-prize winner of the 2003 Walter W. Naumburg Competition will perform Bartoks&rsquo; Violin Concerto #2. The final piece will be Brahm&rsquo;s Symphony no. 2 in D.</p>			</p>    			<br><br>",<br /> 						Boston,30 Gainsborough Street,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440827755/orchestraphotoforweb_medium.jpg,MA,info@bostoncivicsymphony.org,-71.0850575,"The Three B's - Bizet, Bartok, & Brahms",http://www.artsboston.org/event/detail/440827755/The_Three_Bs_Bizet_Bartok_Brahms,Adults $32/$27 Seniors $27/$22,2:00 pm,42.3404547,03/06/2011
NEC's Jordan Hall,03/11/2011,"The Emerson String Quartet&rsquo;s multiple Grammy Awards and endless accolades have not diminished this phenomenal ensemble&rsquo;s aspirations. Now established as the guiding light among quartets, the members of the Emerson are not resting for a moment. They continually seek new challenges and inspirations. Here, the Quartet pairs with flute superstar Sir James Galway, the legendary musician of seemingly unlimited resourcefulness. Don&rsquo;t miss the chance to hear the joyous communion of these giants.  &ldquo;All performing musicians aspire to the condition of James Galway: He has a technical mastery so complete that it makes everything look easy &hellip; No one in their right mind, or ear, could object to such committed, insightful and lovable performances.&rdquo; &mdash;The Los Angeles Times</p>			</p>    			<br><br>",<br /> 						Boston,30 Gainsborough Street,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440749507/emerson_string_quartet_80_medium.jpg,MA,,-71.0850575,"Emerson String Quartet with Sir James Galway, flute",http://www.artsboston.org/event/detail/440749507/Emerson_String_Quartet_with_Sir_James_Galway_flute,Tickets are $68-$44 (subscription prices),8pm,42.3404547,03/11/2011
NEC's Jordan Hall,03/12/2011,"One of the great success stories from the resurgence of early music, Akademie f&uuml;r Alte Musik Berlin was created in the early 1980s in East Germany, its creation a display of musical sovereignty amidst an atmosphere of socialist disapproval. It took courage and determination to form Akademie f&uuml;r Alte Musik Berlin, and that determination is still on full display in a celebration of precision, energy, and joyous sense of purpose.  &ldquo;Every voice, every phrase, every second of articulation has been thought through, deeply assimilated, and set to work with a will.&rdquo; &mdash;The New York Times  &ldquo;The best period orchestra in the world.&rdquo; &mdash;Early Music America  Program:  Best of German Baroque  Telemann Overture (Suite) in C Major, TWV55: C6          J.S. Bach Brandenburg Concerto No. 5 in D Major, BWV 1050      Violin Concerto in E Major, BWV 1042                   Handel       Concerto Grosso in B-flat Major, Opus 3, no. 2, HWV 313 Telemann            Concerto in E minor for recorder and flute, TWV 52: e1</p>			</p>    			<br><br>",<br /> 						Boston,30 Gainsborough Street,02115,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440749515/akademie2_80_medium.jpg,MA,,-71.0850575,Akademie für Alte Musik Berlin,http://www.artsboston.org/event/detail/440749515/Akademie_fur_Alte_Musik_Berlin,Tickets are $66-$41 (subscription prices),8pm,42.3404547,03/12/2011
