mail,address,startDate,venue,eventTitle,endDate,phone,moreInfo
,,03/13/2011,Clackmas County Fairgrounds,Barrel Racing - Clackmas County Fairgrounds,03/13/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,04/02/2011,"Clackamas Co Fairgrounds, Ely Arena","Barrel Racing - Clackamas Co Fairgrounds, Ely Arena",04/02/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,07/16/2011,TETWP - House Top H Arena,Barrel Racing - TETWP - House Top H Arena,07/16/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,10/08/2011,"Clackamas Co Fairgrounds, Ely Arena","Barrel Racing - Clackamas Co Fairgrounds, Ely Arena",10/08/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,11/12/2011,"Clackamas Co Fairgrounds, Ely Arena","Barrel Racing - Clackamas Co Fairgrounds, Ely Arena",11/12/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,12/03/2011,"Clackamas Co Fairgrounds, Ely Arena","Barrel Racing - Clackamas Co Fairgrounds, Ely Arena",12/03/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
jillconnolly@live.com,"4066 Lucky Lane , LEWISTON, ID 83501",03/12/2011,Rockin Y Arena,Barrel Racing - Rockin Y Arena,03/12/2011,509-988-3076&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
judyrowland@qwestoffice.net,"4066 Lucky Lane , LEWISTON, ID 83501",03/19/2011,Rockin Y Stables and Event Center,Barrel Racing - Rockin Y Stables and Event Center,03/19/2011,208-743-2921 / 208-790-0375&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
judyrowland@qwestoffice.net,"4066 Lucky Lane , LEWISTON, ID 83501",09/15/2010,Rockin Y Arena,Barrel Racing - Wednesday Evening Barrel Race,09/15/2010,208-743-2921     208-790-0375&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
jessica97038@yahoo.com,"9936 S. Schneider Rdegon , MOLALLA, OR 97038",02/24/2011,Para Hevea Arena,Barrel Racing - Para Hevea Arena Barrel Racing,02/24/2011,503-803-2161&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
jessica97038@yahoo.com,"9936 S. Schneider Rdegon , MOLALLA, OR 97038",03/03/2011,Para Hevea Arena,Barrel Racing - Para Hevea Arena Barrel Racing,03/03/2011,503-803-2161&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
doubled@web-ster.com or seqkellyw@yahoo.com,"694 NE 4th Avenue  , CANBY, OR 97013",03/05/2011,"Clackamas Co Fairgrounds, Ely Arena",Barrel Racing - CBRC Winter Series Double Header Finals Race,03/05/2011,503-307-2504 or 541-720-9488&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
jessica97038@yahoo.com,"9936 S. Schneider Rdegon , MOLALLA, OR 97038",03/10/2011,Para Hevea Arena,Barrel Racing - Para Hevea Arena Barrel Racing,03/10/2011,503-803-2161&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
jessica97038@yahoo.com,"9936 S. Schneider Rdegon , MOLALLA, OR 97038",03/17/2011,Para Hevea Arena,Barrel Racing - Para Hevea Arena Barrel Racing,03/17/2011,503-803-2161&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
superturbopony@aol.com,"PRINEVILLE, OR",03/19/2011,"Crook Co Fairgrounds, Indoor Arena",Barrel Racing - 17th Annual Turn &quot;N Burn Winter Series,03/19/2011,541-548-6837 or 541-410-9737&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
jessica97038@yahoo.com,"9936 S. Schneider Rdegon , MOLALLA, OR 97038",03/24/2011,Para Hevea Arena,Barrel Racing - Para Hevea Arena Barrel Racing,03/24/2011,503-803-2161&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
jessica97038@yahoo.com,"9936 S. Schneider Rdegon , MOLALLA, OR 97038",03/31/2011,Para Hevea Arena,Barrel Racing - Para Hevea Arena Barrel Racing,03/31/2011,503-803-2161&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,09/09/2011,"CWP Finals, Strobel's Arena","Barrel Racing - CWP Finals, Strobel's Arena",09/11/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
codylavern@hotmail.com,"425 Winfield Lane  , COLUMBIA FALLS, MT 59912",03/13/2011,Thomson's Arena,Barrel Racing - ELMO THOMSON MEMORIAL BARREL RACE,03/13/2011,406-270-3624&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
codylavern@hotmail.com,"425 Winfield Lane  , COLUMBIA FALLS, MT 59912",03/27/2011,Thomson's Arena,Barrel Racing - Thomson's Arena,03/27/2011,406-270-3624&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
codylavern@hotmail.com,"425 Winfield Lane  , COLUMBIA FALLS, MT 59912",04/17/2011,Thomson's Arena,Barrel Racing - Thomson's Arena,04/17/2011,406-270-3624&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
judyrowland@qwestoffice.net,"4600 Tammany Creek Road , LEWISTON, ID 83501",03/12/2011,Rockin Y Arena,Barrel Racing - Winter Saddle Series Rockin Y Arena,03/12/2011,208-790-0375 / 208-816-0141&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
judyrowland@qwestoffice.net,"4066 Lucky Lane , LEWISTON, ID 83501",03/19/2011,Rockin Y Stables and Event Center,Barrel Racing - Rockin Y Stables and Event Center,03/19/2011,208-743-2921 / 208-790-0375&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,09/17/2011,&nbsp;,Barrel Racing - &nbsp;,09/18/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
doubled@web-ster.com or seqkellyw@yahoo.com,"694 NE 4th Avenue  , CANBY, OR 97013",03/05/2011,"Clackamas Co Fairgrounds, Ely Arena","Barrel Racing - Clackamas Co Fairgrounds, Ely Arena",03/05/2011,503-307-2504 or 541-720-9488&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
judyf@pocketinet.com,"Ninth &amp; Orchard, WALLA WALLA, WA",02/26/2011,Walla Walla Expo Building,Barrel Racing - Walla Walla Winter Barrel Racing Series,02/26/2011,509-520-3756 or 509-529-1869&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
BbarFarena@aol.com,"11109 Vail Rd, YELM, WA",02/27/2011,Stewart's Arena,Barrel Racing - B-F PRODUCTIONS,02/27/2011,360-981-8733 OR 360-894-5667&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bobomac@charter.net,"6600 Burden Blvd, PASCO, WA",03/05/2011,TRAC,Barrel Racing - Best of Barrels Only series,03/05/2011,509-520-3756&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/05/2011,Stewarts Arena,Barrel Racing - Stewarts Arena,03/06/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
BbarFarena@aol.com,"11109 Vail Rd, YELM, WA",03/19/2011,Stewart's Arena,Barrel Racing - B-F PRODUCTIONS,03/19/2011,360-981-8733 OR 360-894-5667&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
judyf@pocketinet.com,"Ninth &amp; Orchard, WALLA WALLA, WA",03/26/2011,Walla Walla Expo Building,Barrel Racing - Walla Walla Winter Barrel Racing Series,03/26/2011,509-520-3756 or 509-529-1869&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bobomac@charter.net,"6600 Burden Blvd , PASCO, WA 99302",04/01/2011,TRAC,Barrel Racing - TRAC,04/03/2011,509-520-3756&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
BbarFarena@aol.com,"11109 Vail Rd, YELM, WA",04/23/2011,Stewart's Arena,Barrel Racing - B-F PRODUCTIONS,04/23/2011,360-981-8733 OR 360-894-5667&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
BbarFarena@aol.com,"11109 Vail Rd, YELM, WA",05/14/2011,Stewart's Arena,Barrel Racing - B-F PRODUCTIONS,05/14/2011,360-981-8733 OR 360-894-5667&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"Gore Road Salkum, SALKUM, WA",06/11/2011,Rocky Top Arena,Barrel Racing - Pacific Barrel Horse Association,06/12/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,06/25/2011,Rock N Horse Arena,Barrel Racing - Rock N Horse Arena,06/26/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"175th Ave, ROCHESTER, WA",07/23/2011,Rock N Horse Arena,Barrel Racing - Pacific Barrel Horse Association,07/24/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"175th Ave, ROCHESTER, WA",09/03/2011,Rock N Horse Arena,Barrel Racing - Pacific Barrel Horse Association,09/05/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bobomac@charter.net,"6600 Burden Blvd , PASCO, WA 99302",09/24/2011,TRAC,Barrel Racing - TRAC,09/24/2011,509-520-3756&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bobomac@charter.net,"6600 Burden Blvd , PASCO, WA 99302",10/15/2011,TRAC,Barrel Racing - Team Challenge Weekend,10/16/2011,509-520-3756&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bobomac@charter.net,"6600 Burden Blvd, PASCO, WA",11/05/2011,TRAC,Barrel Racing - TRAC,11/05/2011,509-520-3756&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/12/2011,Dunn's Arena,Barrel Racing - Dunn's Arena,03/13/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,04/09/2011,Dunn's Arena,Barrel Racing - Dunn's Arena,04/10/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,05/14/2011,Dunn's Arena,Barrel Racing - Dunn's Arena,05/15/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,06/11/2011,Dunn's Arena,Barrel Racing - Dunn's Arena,06/11/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,07/09/2011,Dunn's Arena,Barrel Racing - Dunn's Arena,07/09/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,08/13/2011,Dunn's Arena,Barrel Racing - Dunn's Arena,08/13/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,09/10/2011,Dunn's Arena,Barrel Racing - Dunn's Arena,09/10/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,10/08/2011,Dunn's Arena,Barrel Racing - Dunn's Arena,10/09/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
evergreenbarrelracingassociation@yahoo.com,"11109 Vail Rd Se .... , YELM, WA 98597",03/20/2011,Stewart's Arena,Barrel Racing - Evergreen Barrel Racing Association,03/20/2011,253 576 1905&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
masdr@my180.net,"S 9th Avenue &amp; Orchard St, WALLA WALLA, WA",04/08/2011,Walla Walla Fairgrounds,Barrel Racing - Barrel Daze,04/10/2011,509-522-1137 or 509-520-6302&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,04/23/2011,Cowlitz Expo,Barrel Racing - Cowlitz Expo,04/23/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bcjfra@gmail.com,"38804 N. Hayes Rd., BENTON CITY, WA",04/30/2011,BCJFRA Arena,Barrel Racing - Benton Co Jr Fair &amp; Rodeo Association,05/01/2011,509-302-8384 or 509-539-5834&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
masdr@my180.net,"380 Hussey Rd , WALLA WALLA, WA 99362",05/14/2011,Don Johnson Arena,Barrel Racing - Don Johnson Arena,05/14/2011,509-520-6302 or 509-386-4779&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,05/21/2011,Featherland Ranch,Barrel Racing - Featherland Ranch,05/22/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bcjfra@gmail.com,"38804 N. Hayes Rd., BENTON CITY, WA",06/11/2011,BCJFRA Arena,Barrel Racing - Benton Co Jr Fair &amp; Rodeo Association,06/12/2011,509-302-8384 or 509-539-5834&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,06/17/2011,2011 BRN4D SW Championship Finals - Diamond Bar,Barrel Racing - 2011 BRN4D SW Championship Finals - Diamond Bar,06/19/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,06/17/2011,TRAC,Barrel Racing - TRAC,06/19/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
masdr@my180.net,"380 Hussey Rd , WALLA WALLA, WA 99362",06/25/2011,Don Johnson Arena,Barrel Racing - Don Johnson Arena,06/25/2011,509-520-6302 or 509-386-4779&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,07/09/2011,Featherland Ranch,Barrel Racing - Featherland Ranch,07/10/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"175th Ave, ROCHESTER, WA",07/16/2011,Rock N Horse Arena,Barrel Racing - Pacific Barrel Horse Association,07/17/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
masdr@my180.net,"WALLA WALLA, WA",07/23/2011,Don Johnson Arena,Barrel Racing - Featherlite Trailer Appreciation Race,07/24/2011,Gary Aichele 509-386-4779&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bcjfra@gmail.com,"38804 N. Hayes Rd., BENTON CITY, WA",07/30/2011,BCJFRA Arena,Barrel Racing - Benton Co Jr Fair &amp; Rodeo Association,07/31/2011,509-302-8384 or 509-539-5834&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,08/06/2011,Featherland Ranch,Barrel Racing - Featherland Ranch,08/07/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
masdr@my180.net,"Corner of S 9th and Orchard st, WALLA WALLA, WA",10/01/2011,Walla Walla Fairgrounds,Barrel Racing - Autumn Daze,10/01/2011,509-522-1137 or 509-520-6302&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
masdr@my180.net,"South 9th and Orchard st, WALLA WALLA, WA",10/02/2011,Walla Walla Fairgrounds,Barrel Racing - Trailswest Appreciation Race,10/02/2011,509-522-1137 or 509-520-6302&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
pbha@localaccess.com,"ELMA, WA",10/08/2011,Grays Harbor Fairgrounds,Barrel Racing - Pacific Barrel Horse Association,10/09/2011,360-789-4289&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,10/08/2011,Featherland Ranch,Barrel Racing - Featherland Ranch,10/09/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
judyrowland@qwestoffice.net,"4600 Tammany Creek Road , LEWISTON, ID 83501",03/12/2011,Rockin Y Arena,Barrel Racing - Winter Saddle Series Rockin Y Arena,03/12/2011,208-790-0375 / 208-816-0141&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
judyrowland@qwestoffice.net,"4066 Lucky Lane , LEWISTON, ID 83501",03/19/2011,Rockin Y Stables and Event Center,Barrel Racing - Rockin Y Stables and Event Center,03/19/2011,208-743-2921 / 208-790-0375&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,07/21/2012,TETWP - House Top H Arena,Barrel Racing - TETWP - House Top H Arena,07/21/2012,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bobomac@charter.net,"6600 Burden Blvd, PASCO, WA",03/05/2011,TRAC,Barrel Racing - Best of Barrels Only series 2011,03/05/2011,509-520-3756&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/19/2011,Clark County Saddle Club,Barrel Racing - Clark County Saddle Club,03/19/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/20/2011,Rocky Top Arena,Barrel Racing - Rocky Top Arena,03/20/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bobomac@charter.net,"6600 Burden Blvd , PASCO, WA 99302",04/01/2011,TRAC,Barrel Racing - TRAC,04/03/2011,509-520-3756&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
frankmi@cwu.edu,"512 North Poplar Street , ELLENSBURG, WA 98926",04/24/2011,Ellensburg Rodeo Arena,Barrel Racing - CWU Rodeo Club Barrel/ Saddle Series,04/24/2011,509-989-5081&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
JuliePinkal@aol.com,"1500 S. Oak  , KENNEWICK, WA 99337",05/07/2011,Kennewick Fairgrounds 4H Arena,Barrel Racing - TCBRA Fundraiser,05/07/2011,509-531-6203&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bobomac@charter.net,"6600 Burden Blvd , PASCO, WA 99302",05/14/2011,TRAC,Barrel Racing - Best of Barrels Only Series,05/14/2011,509-520-3756&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
bobomac@charter.net,"6600 Burden Blvd , PASCO, WA 99302",06/17/2011,TRAC,Barrel Racing - PRODUCERS GONE WILD,06/19/2011,509-520-3756&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
JuliePinkal@aol.com,"1500 S. Oak  , KENNEWICK, WA 99337",07/16/2011,Kennewick Fairgrounds 4H Arena,Barrel Racing - TCBRA Fundraiser,07/16/2011,509-531-6203&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,01/14/2012,Clark County Saddle Club,Barrel Racing - Clark County Saddle Club,01/14/2012,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,01/28/2012,Clark County Saddle Club,Barrel Racing - Clark County Saddle Club,01/28/2012,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,02/05/2012,Clark County Saddle Club,Barrel Racing - Clark County Saddle Club,02/05/2012,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,02/18/2012,Clark County Saddle Club,Barrel Racing - Clark County Saddle Club,02/18/2012,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/04/2012,Clark County Saddle Club,Barrel Racing - Clark County Saddle Club,03/04/2012,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/09/2012,Clark Co Fairgrounds,Barrel Racing - Clark Co Fairgrounds,03/11/2012,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/17/2012,Clark County Saddle Club,Barrel Racing - Clark County Saddle Club,03/17/2012,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,03/31/2012,Rocky Top Arena,Barrel Racing - Rocky Top Arena,04/01/2012,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
doubled@web-ster.com or seqkellyw@yahoo.com,"694 NE 4th Avenue  , CANBY, OR 97013",03/05/2011,"Clackamas Co Fairgrounds, Ely Arena","Barrel Racing - Clackamas Co Fairgrounds, Ely Arena",03/05/2011,503-307-2504 or 541-720-9488&nbsp,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
,,06/07/2011,Pioneer Posse Grounds,Barrel Racing - Pioneer Posse Grounds,06/07/2011,,http://paywindowpro.com/Brn4dRaces/Schedule/tblRaces/RaceSchedule.aspx
