title,website,ticketPhone,latitude,dates,moreInfoLink,city,address,description,venue,longitude,email,state,zipcode,image
Hot Dog Walk,http://www.fargoparks.com,,46.9121008,05/16/2011,http://fmarea.culturepulse.org/event/detail/441094571/Hot_Dog_Walk,Fargo,1257 28 Avenue North,"This is a fun and recreational event designed for dog enthusiasts. Pets participate in various categories with chances to win fun prizes. Categories include, but are not limited to: best costume, best trick, dog/owner look alike. Dog owners will be served hot dogs and pop following the contest. The public is welcome to attend. * This is not a professional dog competition.</p>			</p>    			<br><br>",Yunker Farm,-96.797223,,ND,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Birding Festival,http://www.fargoparks.com,,46.8771863,05/21/2011,http://fmarea.culturepulse.org/event/detail/441094583/Birding_Festival,Fargo,Forest River Road & the Red River (76 Ave S),A festival for all skill levels.  See a variety of birds in a beautiful setting in South Fargo. Learn about birding and different species of birds.</p>			</p>    			<br><br>,Forest River Property,-96.7898034,,ND,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Community Block Parties,http://www.fargoparks.com,,,05/11/2011-06/29/2011,http://fmarea.culturepulse.org/event/detail/441094547/Community_Block_Parties,Fargo,,"Meet your neighbors at this family event.  Sing karaoke, play on inflatable games, make crafts and get your face painted.<br> <br> Locations vary.  Visit www.fargoparks.com/se_famevents_summer.html for more information.</p>			</p>    			<br><br>",Area parks,,,ND,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Vocal Jazz/Jazz Ensemble Concert,,218-299-4515,,04/11/2011,http://fmarea.culturepulse.org/event/detail/440858937/Vocal_JazzJazz_Ensemble_Concert,,,At-a-<br>Glance     <ul>       <li>       Venue Info,,,,,,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440858937/conjazz_ensemble_medium.jpg
The BIG Art Show Public Reception,http://www.hcscconline.org,218-299-5511,46.8770778,04/12/2011,http://fmarea.culturepulse.org/event/detail/441182757/The_BIG_Art_Show_Public_Reception,Moorhead,202 1st Avenue North,The BIG Art Show is a wide variety of art (2D and 3D) from both emerging and established artists that are members of Fargo Moorhead Visual Artists.</p> <p>The event is free and open to the public. Visit the FMVA Web site at www.fmva.us for more information.</p>			</p>    			<br><br>,Hjemkomst Center,-96.7794831,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441182757/fmvalogo_medium.jpg
FM Percussion Festival,http://www.thenightfire.org,701-388-7763,46.8833179,04/16/2011,http://fmarea.culturepulse.org/event/detail/441165627/FM_Percussion_Festival_,Fargo,124 North Terrace,"The 1st Annual FM Percussion will take place on April 16th, 2011 at Oak Grove High School.  This is an entire day dedicated to Percussion Concerts, Clinics and other activities.  Performances by Percussion Ensembles, Drum Lines, and Color Guards from around the area.  There will also be clinics on Percussion by Kenyon Williams, Chris Mahan, and Wade Stalboerger.  There will be a silent auction with various items from area businesses and organizations.  There will also be door prizes given out at the end of the Festival.</p>			</p>    			<br><br>",Oak Grove,-96.7727428,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/placeholder.png
History Lecture Series,http://www.hcscconline.org,218-299-5511,46.8770778,04/16/2011,http://fmarea.culturepulse.org/event/detail/441198965/History_Lecture_Series,Moorhead,202 1st Avenue North,"Darci Asche, community liaison for Lutheran Social Services of North Dakota, will be discussing refugee immigration to the Red River Valley and truths and myths about refugees.</p>			</p>    			<br><br>",Hjemkomst Center,-96.7794831,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441198965/darci_medium.jpg
Harry Potter Party,http://www.fargocorecon.org,701-212-3505,46.8440756,04/17/2011,http://fmarea.culturepulse.org/event/detail/441174189/Harry_Potter_Party,Moorhead,600 30th Ave S,"CoreCon and Accio Love present:<br> <br> Magical Harry Potter Party: Sunday from 10am to 1pm<br> <br> $2 for adults $1 for children. A book donation gets you in free.<br> <br> Each guest is allowed one free Butter Beer, and may attend any events.<br> <br> 11am - Wand Making<br> <br> 11:30 - Owl Making<br> <br> Noon - House Cup Trivia</p> <p>Door prizes<br> <br> Book donations and a portion of our proceeds go to Accio Love and The HP Alliance's charaity of: The kids at BSNBC school in NYC, and the local Rape and Abuse crisis shelter.<br> <br> </p>			</p>    			<br><br>",AmericInn Moorhead,-96.770594,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441174189/harrypotter(53)_medium.jpg
Garden Party & Bumblebee Brunch,http://www.fargoparks.com,701-241-8160,46.836705,04/30/2011,http://fmarea.culturepulse.org/event/detail/441094513/Garden_Party_Bumblebee_Brunch,Fargo,2902 25th Street South,"Tickets go on sale April 5th for the Bumblebee Brunch, with bug-themed foods and creepy crawly activities.  Come back at 1:30 for the Garden Party: a mini-carnival that includes spring crafts, insect games, a bug hunt, and face painting.</p>			</p>    			<br><br>",Rheault Farm,-96.818643,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/371/parks_logo_medium.jpg
Bachelors In Fine Arts Exhibition,http://www.mnstate.edu/art/Gallery.shtml,,46.8673504,04/25/2011-05/12/2011,http://fmarea.culturepulse.org/event/detail/441127677/Bachelors_In_Fine_Arts_Exhibition,Moorhead,1104 7th Avenue S,This is an exhibition featuring the upcoming talents of the BFA program at Minnesota State University of Moorhead (MSUM). Opening on April 25th in the Roland Dille Center for the Arts Gallery located on MSUM campus. A reception of  will follow on April 28th and will include free food and light beverages offered wile supplies last. During the reception there will be the opportunity to interact with the featured artists. We hope to see you all there.<br> <br> Campus Maps can be found at:<br> http://www.mnstate.edu/home/campustour/buildings.htm</p>			</p>    			<br><br>,Roland Dille Center for the Arts,-96.7619771,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441127677/me11_medium.jpg
One-Day Guided Tour to see Original Pages from The Saint John’s Bible,http://www.hcscconline.org,218-299-5511 Ext. 6739,46.8770778,04/01/2011-05/12/2011,http://fmarea.culturepulse.org/event/detail/441198195/OneDay_Guided_Tour_to_see_Original_Pages_from_The_Saint_Johns_Bible,Moorhead,202 1st Avenue North,"The Historical &amp; Cultural Society of Clay County at the Hjemkomst Center is offering a trip on Thursday, May 12, 2011 down to the Saint John&rsquo;s Abbey in Collegeville, Minn. to see original pages from The Saint John&rsquo;s Bible, enjoy a program on the Historical Books, tour the abbey, and have lunch&mdash;all for $50 per person. The tour is hosted by local calligrapher Anne Kaese and is now open to the public.</p>			</p>    			<br><br>",Hjemkomst Center,-96.7794831,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/343/hjemkomst2_medium.jpg
Fargo-Moorhead Opera Presents Leoncavallo's I Pagliacci,,,46.8963375,04/08/2011,http://fmarea.culturepulse.org/event/detail/440782541/FargoMoorhead_Opera_Presents_Leoncavallos_I_Pagliacci,12th Ave. N. & Bolley Drive<br />						Fargo,"Festival Concert Hall, NDSU, Reineke Fine Arts Cen",The Fargo-Moorhead Opera is proud to present Leoncavallo's I Pagliacci!</p>			</p>    			<br><br>,NDSU Festival Concert Hall,-96.8063616,,ND,58105,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440782541/i_pagliacci_logo_eventful_copy_medium.jpg
Art for Two: Beatlemania in the Studio,http://plainsart.org/learn/art-experiences/,701-232-3821,46.876754,04/09/2011,http://fmarea.culturepulse.org/event/detail/441088957/Art_for_Two_Beatlemania_in_the_Studio,Fargo,704 1st Avenue North,Take a cue from our exhibition The White Album: The Beatles Meet the Plains and create your own fab art.</p>			</p>    			<br><br>,Plains Art Museum,-96.79198,sbenhaim@plainsart.org,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441088957/image-girl_medium.jpg
Standup Comedy:  Featuring Amber Preston and Zach Coulter,http://www.amberpreston.com,,46.8789213,04/09/2011,http://fmarea.culturepulse.org/event/detail/441151817/Standup_Comedy_Featuring_Amber_Preston_and_Zach_Coulter,Fargo,222 Broadway,"Fargo street smarts meets Minneapolis cool! Amber Preston brings to the stage an endearing sarcasm only a nice gal from the Midwest can pull off. Her style can simply be described as naughty wit. Amber will seduce your funny bone with stories we can all relate to but would never admit.  She's truly one classy broad.<br> <br> In addition to working clubs and colleges throughout the country Amber has been making a splash on the comedy festival circuit recently, making appearances at the Aspen Rooftop Comedy Festival, San Francisco's Sketchfest, and the Women in Comedy Festival in Boston.<br> <br> <br> <br> Opener Zach Coulter is just your typical standup comic/rapper/folk storyteller.  If that combination makes sense to you, then so will Zach!  Winsome, bookish charm and outstanding rhythm animate his tales of the mundane insanity of family, work, and romance.  He also has a couple of one-liners.  <br> <br> <br> <br> Book your tickets now for this great night of comedy!</p>			</p>    			<br><br>",Studio 222,-96.7877108,,ND,58102,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441151817/amberbamber_medium.jpg
Stuart Little,,218-844-SHOW (7469),46.8183276,04/09/2011,http://fmarea.culturepulse.org/event/detail/441198409/Stuart_Little,Detroit Lakes,826 Summit Avenue,"From the loving heart of E.B. White, comes this merry musical from Theatre IV about a noble mouse who jumps headlong into adventures big enough to match any imagination.The play brings to life this fantasy classic where Stuart, a mouse, is born into the Little family. Stuart Little mixes gorgeous child-size puppets with live actors to work theatrical magic.</p>			</p>    			<br><br>",Historic Holmes Theatre,-95.8496862,,MN,56501,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441198409/stuart_in_car_-_paint_brush_medium.jpg
Information Meeting and Audition Sign-up,http://www.gooseberryparkplayers.org,218-299-3728,46.8646529,04/13/2011-04/14/2011,http://fmarea.culturepulse.org/event/detail/441177747/Information_Meeting_and_Audition_Signup,Moorhead,901 8th Street South,"Calling all actors and actresses&hellip;. Join the Gooseberry Park Players this summer for a positively gleeful production of Cinderella, the World&rsquo;s Favorite Fairy Tale.  Imagine, Cinderella x4,  in an original pop musical featuring four Cinderella&rsquo;s from four different cultures with four princes and kings, four wicked stepmothers, eight crazy stepsisters and four full choruses all set to pop music and dance.  There are many great female and male roles and lots of tech opportunities.  Students ages 11-18 are invited to audition and there is no activity fee! Attend one of the information meetings to learn more about the production, the audition process and schedule.</p>			</p>    			<br><br>",Concordia Frances Frazier Comstock Theatre,-96.770257,,MN,56562,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/345/gooseberry_photo_medium.jpg
Fargo-Moorhead Opera Presents Leoncavallo's I Pagliacci,,,46.8963375,04/10/2011,http://fmarea.culturepulse.org/event/detail/440782543/FargoMoorhead_Opera_Presents_Leoncavallos_I_Pagliacci,12th Ave. N. & Bolley Drive<br />						Fargo,"Festival Concert Hall, NDSU, Reineke Fine Arts Cen",The Fargo-Moorhead Opera is proud to present Leoncavallo's I Pagliacci!</p>			</p>    			<br><br>,NDSU Festival Concert Hall,-96.8063616,,ND,58105,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440782543/i_pagliacci_logo_eventful_copy_medium.jpg
Lend Me a Tenor,http://www.fmct.org,701-235-6778,46.870961,04/08/2011-04/10/2011,http://fmarea.culturepulse.org/event/detail/440839491/Lend_Me_a_Tenor,Fargo,333 4th St. S,"Set in 1934, the farce revolves around renowned tenor Tito Merelli, known to his fans as &quot;Il Stupendo,&quot; who is scheduled to sing the lead in Otello, produced as a gala fundraiser for the Cleveland Opera Company. Unfortunately, even before the star leaves his hotel room, everything begins to unravel. Chaos ensues when Merelli's wife, who has mistaken an autograph-seeker hidden in his closet for a secret lover, leaves him a &quot;Dear John&quot; letter. The distraught Merelli accidentally is given a double dose of Tranquilizers to calm him and passes out. Saunders, the company's General Manager, is determined the show must go on (for his own financial sake), so he asks his assistant Max to impersonate the opera star. Max puts on the blackface makeup required for the role of Otello, and his disguise succeeds admirably--until Merelli, also in blackface, wakes up and heads for the stage. What follows is a chain-reaction of mistaken identity, plot twists, double entendres, innuendos, and constant entrances and exits through many doors.</p>			</p>    			<br><br>",Fargo-Moorhead Community Theatre,-96.786051,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/118/fmct_logo_medium.jpg
Agatsuma: Final Arts Midwest World Fest Concert,,701-845-0966,46.919311,04/16/2011,http://fmarea.culturepulse.org/event/detail/441198463/Agatsuma_Final_Arts_Midwest_World_Fest_Concert,Valley City,101 College Street SW,"Agatsuma is the final artist to visit as part of the 2009-11 Arts Midwest World Fest Partnership<br> <br> (Valley City, North Dakota) --- Hiromitsu Agatsuma is known throughout the world for his masterful playing of the tsugaru-shamisen. Born in 1972 in the Ibaraki Prefecture of Japan, he began studying traditional Japanese folk music instrument at the age of six. By the time he was fourteen, Agatsuma had skyrocketed to the highest level of tsugaru-shamisen players in Japan&mdash;he won first prize at the 1988 All-Japan Tsugaru Shamisen Competition. He continued to master his craft, winning top honors at competitions throughout Japan. His first album, Agatsuma, was named Traditional Japanese Folk Album of the year at the 16th Annual Japanese gold-Disc Awards which is Japan&rsquo;s version of the Grammy Awards. He and his ensemble will be in Valley City sharing music and culture in the schools and throughout the community. <br> <br> Shamisen music evolved from merry bands of musicians that traveled the Japan countryside with their shamisens ready to play music in any environment for any audience. The first tsugaru-shamisen players developed one of Japan&rsquo;s richest musical traditions by viewing each concert as a once in a lifetime chance to meet new people and learn about new communities, sounds, and music. Now, Hiromitsu Agatsuma brings this sound and spirit to Arts Midwest World Fest with his special &ldquo;Nama-1cho!&rdquo; concert style&mdash;an intimate, acoustic world music experience in the spirit of the beginnings of shamisen music.<br> <br> &quot;It&rsquo;s a rare for small and mid-size Midwestern communities to host an ensemble from Japan,&quot; says Bridges Arts Council Past President, Wes Anderson. &quot;The music and culture that Agatsuma shares will be absolutely fascinating and so different from what we typically hear. The ensemble will be in Valley City for a full week and we expect this residency will be a delightful experience for our entire community.&quot; <br> <br> According to Anderson, Valley City does not regularly have the resources to host week-long residencies by international ensembles like Agatsuma. Arts Midwest, a regional arts organization based in Minneapolis, funds much of the cost and handles the coordination of Arts Midwest World Fest tours in order to offer communities throughout the Midwest this rich international arts experience. Valley City was selected as one of only nine Midwestern cities to host the 2009-11 Arts Midwest World Fest.<br> <br> &quot;Our goal is to make lasting impressions on the communities that host Arts Midwest World Fest,&quot; says David Fraher, Executive Director of Arts Midwest. &quot;Our musicians do not simply perform one evening and leave. Instead, they conduct extensive residencies during which they present their work in schools and in a variety of community venues. They conduct dozens of workshops about their culture, music and language. We want this to be a rich experience for the full community.&quot;<br> <br> Agatsuma is the final Arts Midwest World Fest ensemble to visit Valley City. Arts Midwest World Fest presents international music ensembles in week-long residencies in small and mid-size Midwestern communities. Its purpose is to foster global understanding and appreciation through cultural experiences. The other ensembles which are part of the 2009-11 Program cycle include Mauvais Sort of Canada, Beauty and Melody from Sichuan Province in China, and The Israeli Ethnic Ensemble.<br> <br> An Arts Midwest initiative, the 2009-2011 Arts Midwest World Fest is generously sponsored by the National Endowment for the Arts, 3M Foundation, The Hearst Foundations, MetLife Foundation, The Japan Foundation, the President&rsquo;s Committee on the Arts and the Humanities, Qu&eacute;bec Delegation du Chicago, the Consulate General of Israel to the Midwest, the Chinese Heritage Foundation Grants Fund of the Minneapolis Foundation, and Friends of Israel Arts. Additional support provided from the Ministry of Culture of the People&rsquo;s Republic of China.<br> <br> Arts Midwest World Fest is also generously supported by our member state arts agencies: Illinois Arts Council, Indiana Arts Commission, Iowa Arts Council, Michigan Council for Arts and Cultural Affairs, Minnesota State Arts Board, North Dakota Council on the Arts, Ohio Arts Council, South Dakota Arts Council, and Wisconsin Arts Board.<br> <br> Agatsuma Ticket Information<br> <br> There is a free-will admission public concert 7:00PM, Saturday, April 16, 2011, at Vangsted Auditorium on the campus of Valley City State University. Elevator Service is available.<br> <br> (Alternative venue in case of flooding will be announced.)<br> <br> Other donations to help pay for this program coming to Valley City are sincerely welcome and may be sent to Bridges Arts Council, P.O. Box 238, Valley City, ND 58072.<br> <br> For more information, contact Wes Anderson, 701-845-0966.</p>			</p>    			<br><br>",Valley City State University,-98.0028469,,ND,58072,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441198463/aga_live_01_medium.jpg
All Lippa Songs Masterclass with Andrew Lippa,,701-231-7834,,04/16/2011,http://fmarea.culturepulse.org/event/detail/441090367/All_Lippa_Songs_Masterclass_with_Andrew_Lippa,Fargo,12th Avenue North and Albrecht Blvd,"Listen to award winning Broadway composer/lyricist Andrew Lippa as he works with area college students regarding vocal and acting techniques utilizing songs written by him.  This event is free and open to the public. <br> Andrew Lippa wrote the music and lyrics for the Broadway musical The Addams Family,  book by Marshall Brickman and Rick Elice (Jersey Boys), which opened in April of 2010 and stars Nathan Lane and Bebe Neuwirth. For his work on this show Mr. Lippa received a Tony nomination for best score and two Drama Desk nominations for best music and best lyrics. Mr. Lippa is proud to have been music director for Kristin Chenoweth since 1999 for many of her concerts.</p>			</p>    			<br><br>",NDSU Walsh Studio Theatre,,,ND,58105,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441090367/andrewlippa_medium.jpg
Lend Me a Tenor,http://www.fmct.org,701-235-6778,46.870961,04/14/2011-04/17/2011,http://fmarea.culturepulse.org/event/detail/440839829/Lend_Me_a_Tenor,Fargo,333 4th St. S,"Set in 1934, the farce revolves around renowned tenor Tito Merelli, known to his fans as &quot;Il Stupendo,&quot; who is scheduled to sing the lead in Otello, produced as a gala fundraiser for the Cleveland Opera Company. Unfortunately, even before the star leaves his hotel room, everything begins to unravel. Chaos ensues when Merelli's wife, who has mistaken an autograph-seeker hidden in his closet for a secret lover, leaves him a &quot;Dear John&quot; letter. The distraught Merelli accidentally is given a double dose of Tranquilizers to calm him and passes out. Saunders, the company's General Manager, is determined the show must go on (for his own financial sake), so he asks his assistant Max to impersonate the opera star. Max puts on the blackface makeup required for the role of Otello, and his disguise succeeds admirably--until Merelli, also in blackface, wakes up and heads for the stage. What follows is a chain-reaction of mistaken identity, plot twists, double entendres, innuendos, and constant entrances and exits through many doors.</p>			</p>    			<br><br>",Fargo-Moorhead Community Theatre,-96.786051,,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/118/fmct_logo_medium.jpg
Little Country Theatre presents TALES OF THE LOST FORMICANS,http://www.ndsu.edu/finearts/,701.231.7969,,04/14/2011-04/28/2011,http://fmarea.culturepulse.org/event/detail/440900273/Little_Country_Theatre_presents_TALES_OF_THE_LOST_FORMICANS,Fargo,12th Avenue and Albrecht North,"Think &quot;The Hitchhiker's Guide to the Galaxy&quot; meets familiar dysfunction as anthropological aliens investigate 20th century American customs.  Their work focuses on the McKissicks, a typical, but presently unraveling, middle-class family.  Their investigation into how humans act adds a dimension of humor to the search for understanding in life.<br> <br> For mature audiences.</p>			</p>    			<br><br>",NDSU Askanase Auditorium,,ndsu.fine.arts@ndsu.edu,ND,58105,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440900273/logo_outbox_centered-17.1_medium.jpg
F-M Golden Notes New Horizons Band,,,46.8218869,04/27/2011,http://fmarea.culturepulse.org/event/detail/440749481/FM_Golden_Notes_New_Horizons_Band,Fargo,4502 37th Ave South,F-M Area senior musicians playing selected music to seletcted audiences</p>			</p>    			<br><br>,Good Samaritan Assisted Living Center,-96.862907,,ND,58104,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440749481/nhb1_medium.jpg
A Midsummer Night's Dream,http://www.theatreb.org/,701-729-8880,46.874229,04/28/2011-05/22/2011,http://fmarea.culturepulse.org/event/detail/440993037/A_Midsummer_Nights_Dream,Fargo,716 Main Avenue,"With professional flair and contemporary perspective, Theatre B will celebrate theatre at its best with a lively new take on this Shakespeare classic.</p>			</p>    			<br><br>",Main Avenue Theatre,-96.790452,tix@theatreb.org,ND,58103,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/440993037/midsummer_web_medium.jpg
Immigration Exhibits,http:// www.hcscconline.org,,46.8770778,07/27/2010-10/31/2011,http://fmarea.culturepulse.org/event/detail/440836228/Immigration_Exhibits,Moorhead,202 1st Avenue North,"Moorhead, Minn., July 27, 2010 &ndash; The Historical and Cultural Society of Clay County invites the public to an opening reception on August 10, 5 &ndash; 7 p.m. for Coming to Clay County: 150 Years of Immigration and Augustus Frederick Sherman: Ellis Island Portraits. The event is free and open to the public. Refreshments will be provided, and staff will be available to answer questions.<br> Coming to Clay County: 150 Years of Immigration is a new in-house exhibit, focusing on immigrant life in Clay County and the region from the 1850s to today. This exhibit is on display August 10, 2010 through October 2011.<br> Augustus Frederick Sherman: Ellis Island Portraits, 1905-1920, a traveling exhibit courtesy of Aperture Foundation and Statue of Liberty National Monument/Ellis Island Immigration Museum, includes images of new immigrants entering the United States for the first time through Ellis Island. This exhibit is on display through Sept. 12, 2010.<br> The HCSCC collects, preserves, and presents the history and culture of Clay County and the region. The HCSCC also provides interpretation of the Hjemkomst Viking Ship, Hopperstad Stave Church Replica, and Red River Valley Exhibition and hosts traveling exhibits in 7,000 sq. feet of temporary exhibition space. The HCSCC is a community resource for 150,000 people in the Fargo-Moorhead metro area, and serves an average of 40,000 visitors a year from all over the world.<br> For more information on the event, call 218-299-5511 or visit www.hcscconline.org. The Hjemkomst Center is located at 202 First Avenue North in Moorhead.</p>			</p>    			<br><br>",Hjemkomst Center,-96.7794831,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/org/343/hjemkomst2_medium.jpg
Keeping Warm!  Hall Case Exhibit,http://www.hcscconline.org,218-299-5511,46.8770778,01/05/2011-12/31/2011,http://fmarea.culturepulse.org/event/detail/441088055/Keeping_Warm_Hall_Case_Exhibit,Moorhead,202 1st Avenue North,"Keeping Warm: Winter Wear and Pastimes. The exhibit was assembled by HCSCC Collections Manager, Lisa Vedaa, and is located in the level 3 hall cases at the Hjemkomst Center museum.<br> The exhibit showcases artifacts from the HCSCC collection that deal with keeping warm and having fun in the winter, such as a buffalo fur coat, a children&rsquo;s sleigh from 1901, and a snowsuit worn in the late 1920s. In addition, photos are included that range from skiers speeding down a slope along the Buffalo River in Moland Township in 1930 to a 66 foot tall jump on a high bank on the Red River built by the Dovre Ski Club in the early 1920s.</p>			</p>    			<br><br>",Hjemkomst Center,-96.7794831,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441088055/keeping_warm_(2)_medium.jpg
Ceramic Science,http://www.larl.org,218-233-7594,46.8731451,04/09/2011,http://fmarea.culturepulse.org/event/detail/441152117/Ceramic_Science,Moorhead,118 5th Street South,Create with clay and learn about the science of ceramics.<br> <br> Co-sponsored by MSUM</p>			</p>    			<br><br>,Moorhead Library,-96.7718482,,MN,56560,http://fmarea.culturepulse.org/sites/fmarea.culturepulse.org/images/event/441152117/larl_logo_medium.jpg
