state,address,authors,city,moreInfoAuthor,time,date,authorImg,authorBio,location,moreInfoLink,title
NY,33 East 17th Street,Demetri Martin,New York,http://www.hachettebookgroup.com/authors_Demetri-Martin-(1522323).htm,7:00 PM,04/25/2011,,,BARNES & NOBLE UNION SQUARE,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,"Demetri Martin Talk, Book signing"
FL,265 Aragon Avenue,Mark Childress,Coral Gables,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,08:00 PM,04/28/2011,,,BOOKS & BOOKS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
MA,1400 Massachusetts Avenue,Demetri Martin,Cambridge,http://www.hachettebookgroup.com/authors_Demetri-Martin-(1522323).htm,7:00 PM,04/28/2011,,,HARVARD COOP,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,"Demetri Martin Talk, Q&A & Book signing"
GA,990 Peachtree St. NE,Mark Childress,Atlanta,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:00 PM,03/08/2011,http://www.hachettebookgroup.com/_images/Contributors/images_main/1074649_215x340.jpg,"Mark Childress was born in Monroeville, Alabama. He is the author of six previous novels and three books for children. He has lived in Ohio, Indiana, Mississippi, Louisiana, Georgia, California, Costa Rica, and currently lives in Key West, Florida. /P&gt;",MARGARET MITCHELL HOUSE,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=EVENT&regionid=&duration=,Mark Childress Talk/Signing
AL,"2626 19th Place, South",Mark Childress,Birmingham,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,04:00 PM,03/14/2011,http://www.hachettebookgroup.com/_images/Contributors/images_main/1074649_215x340.jpg,"Mark Childress was born in Monroeville, Alabama. He is the author of six previous novels and three books for children. He has lived in Ohio, Indiana, Mississippi, Louisiana, Georgia, California, Costa Rica, and currently lives in Key West, Florida. /P&gt;",ALABAMA BOOKSMITH,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=EVENT&regionid=&duration=,Mark Childress Reading Event
VA,5871 Crossroads Center Way,Mark Childress,Baileys Crossroads,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,02:00 PM,03/19/2011,http://www.hachettebookgroup.com/_images/Contributors/images_main/1074649_215x340.jpg,"Mark Childress was born in Monroeville, Alabama. He is the author of six previous novels and three books for children. He has lived in Ohio, Indiana, Mississippi, Louisiana, Georgia, California, Costa Rica, and currently lives in Key West, Florida. /P&gt;",BORDERS BAILEY'S CROSSROADS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=EVENT&regionid=&duration=,Mark Childress Reading & Signing
LA,1030 Dufossat,Mark Childress,New Orleans,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,04:00 PM,03/25/2011,http://www.hachettebookgroup.com/_images/Contributors/images_main/1074649_215x340.jpg,"Mark Childress was born in Monroeville, Alabama. He is the author of six previous novels and three books for children. He has lived in Ohio, Indiana, Mississippi, Louisiana, Georgia, California, Costa Rica, and currently lives in Key West, Florida. /P&gt;",TENNESSEE WILLIAM/NEW ORLEANS LITERARY FESTIVAL,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=EVENT&regionid=&duration=,Mark Childress Panel Event
LA,1030 Dufossat,Mark Childress,New Orleans,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,02:30 PM,03/25/2011,http://www.hachettebookgroup.com/_images/Contributors/images_main/1074649_215x340.jpg,"Mark Childress was born in Monroeville, Alabama. He is the author of six previous novels and three books for children. He has lived in Ohio, Indiana, Mississippi, Louisiana, Georgia, California, Costa Rica, and currently lives in Key West, Florida. /P&gt;",TENNESSEE WILLIAM/NEW ORLEANS LITERARY FESTIVAL,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=EVENT&regionid=&duration=,Mark Childress Reading
CA,1011 South Figueroa Street,Chris Jericho,Los Angeles,http://www.hachettebookgroup.com/authors_Chris-Jericho-(1077234).htm,1:00 PM,02/23/2011,http://www.hachettebookgroup.com/_images/Contributors/images_main/1077234_215X340.jpg,"<p>Chris Jericho, a talented actor, television personality, radio host, and rock star, has established himself as a multifaceted performer.  His unique ability to display such talent and charm in each outlet contributes to his successes across the board.  Most recently Chris completed his first book, A Lion's Tale: Around the World in Spandex in which he chronicles, with a witty and humorous narrative, his rise in the wrestling business and the pitfalls of the industry.  This memoir is set to drop on October 25, 2007.</p>    <p>Recently he made the cross over to film with his lead roles in the features, Android Apocalypse and Albino Farm.  Jericho also appeared on stage before sold-out crowds and received standing ovations when he starred in the hilarious Norm Foster play Opening Night at the Toronto Centre for the Arts. In addition, Chris has been invited to appear as a regular guest performer with the legendary comedy troupe, The Groundlings in the all-improv show, Cookin' with Gas. He also starred in the comedy pilot, Ebaum's World for the USA Network.</p>    <p>Chris' knack for comedy is obvious in his regular appearances on VH-1 and E! Networks. Lending his talent as a panelist or guest, Chris has appeared on over a dozen shows including G4TV's Attack of the Show, Filter (G4TV) Biggest Celebrity Oops (E! Networks), Best Week Ever and the I Love The 70's, 80's and 90's and soon to be released 00's series (VH-1).  Other recent guest appearances include Jimmy Kimmel Live, The Howard Stern Show, The Late, Late Show and Larry King Live. Chris also guest hosted The Best Damn Sports Show Period, MadTV and Headbanger's Ball on MTV2. </p>    <p>Jericho began wrestling at age 19 and is considered one of the most popular wrestling champions in history. In 2001 he was the first ever Undisputed Champion of the WWE and is the only performer to have held six different titles in the 44-year history of World Wrestling Entertainment.</p>    <p>Chris hosted his own show on XM Satellite Radio (Channel 41 Da Boneyard) entitled ""The Rock of Jericho"" airing Sunday nights for over 100 episodes.  The show allowed Chris to display his wide and unique range of knowledge of the music world.  </p>    <p>As lead singer of the rock band Fozzy, Chris proves that his knowledge of music spans beyond just facts. Their third CD, All That Remains was released in 2005, via Chris' own record label Ash Records. Fozzy's first three records sold over 150,000 units and the band played sold out shows worldwide, including the US, Canada, Europe, the United Kingdom and Australia. </p>    <p>Jericho's talent extends beyond the camera as he also wrote and directed a short comedy film for MTV about the band entitled, Unleashed, Uncensored, Unknown.  In addition Chris directed music videos for Fozzy's tracks ""Eat The Rich,"" ""With The Fire,"" and ""Enemy,"" all of which enjoyed rotation on MTV, MTV2, FUSE and Much Music. </p>     <p>Chris grew up in Winnipeg, Canada and currently resides in Los Angeles, CA and Tampa, FL.</p>    <p>I became obsessed with reading at a young age with Gordon Korman, Franklin W. Dixon and Beverly Cleary being my early favorites.  Once I became enthralled with an author's work, I decided I had to read everything published by them...a trend which continues to this day.   Then I graduated to the world of Stephen King and became a fanatic at 10 years old (maybe that explains why I'm a little warped).  King is still one of my favorites along with John Grisham, Douglas Preston and Lincoln Child and Tim LaHaye.  I'm also a fan of biographies and anything written about Rock n Roll, especially The Beatles.</p>",ESPN ZONE @ LA LIVE,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Chris Jericho Book signing
FL,11802 N. Dale Mabry Highway,Chris Jericho,Tampa,http://www.hachettebookgroup.com/authors_Chris-Jericho-(1077234).htm,7:00 PM,02/25/2011,http://www.hachettebookgroup.com/_images/Contributors/images_main/1077234_215X340.jpg,"<p>Chris Jericho, a talented actor, television personality, radio host, and rock star, has established himself as a multifaceted performer.  His unique ability to display such talent and charm in each outlet contributes to his successes across the board.  Most recently Chris completed his first book, A Lion's Tale: Around the World in Spandex in which he chronicles, with a witty and humorous narrative, his rise in the wrestling business and the pitfalls of the industry.  This memoir is set to drop on October 25, 2007.</p>    <p>Recently he made the cross over to film with his lead roles in the features, Android Apocalypse and Albino Farm.  Jericho also appeared on stage before sold-out crowds and received standing ovations when he starred in the hilarious Norm Foster play Opening Night at the Toronto Centre for the Arts. In addition, Chris has been invited to appear as a regular guest performer with the legendary comedy troupe, The Groundlings in the all-improv show, Cookin' with Gas. He also starred in the comedy pilot, Ebaum's World for the USA Network.</p>    <p>Chris' knack for comedy is obvious in his regular appearances on VH-1 and E! Networks. Lending his talent as a panelist or guest, Chris has appeared on over a dozen shows including G4TV's Attack of the Show, Filter (G4TV) Biggest Celebrity Oops (E! Networks), Best Week Ever and the I Love The 70's, 80's and 90's and soon to be released 00's series (VH-1).  Other recent guest appearances include Jimmy Kimmel Live, The Howard Stern Show, The Late, Late Show and Larry King Live. Chris also guest hosted The Best Damn Sports Show Period, MadTV and Headbanger's Ball on MTV2. </p>    <p>Jericho began wrestling at age 19 and is considered one of the most popular wrestling champions in history. In 2001 he was the first ever Undisputed Champion of the WWE and is the only performer to have held six different titles in the 44-year history of World Wrestling Entertainment.</p>    <p>Chris hosted his own show on XM Satellite Radio (Channel 41 Da Boneyard) entitled ""The Rock of Jericho"" airing Sunday nights for over 100 episodes.  The show allowed Chris to display his wide and unique range of knowledge of the music world.  </p>    <p>As lead singer of the rock band Fozzy, Chris proves that his knowledge of music spans beyond just facts. Their third CD, All That Remains was released in 2005, via Chris' own record label Ash Records. Fozzy's first three records sold over 150,000 units and the band played sold out shows worldwide, including the US, Canada, Europe, the United Kingdom and Australia. </p>    <p>Jericho's talent extends beyond the camera as he also wrote and directed a short comedy film for MTV about the band entitled, Unleashed, Uncensored, Unknown.  In addition Chris directed music videos for Fozzy's tracks ""Eat The Rich,"" ""With The Fire,"" and ""Enemy,"" all of which enjoyed rotation on MTV, MTV2, FUSE and Much Music. </p>     <p>Chris grew up in Winnipeg, Canada and currently resides in Los Angeles, CA and Tampa, FL.</p>    <p>I became obsessed with reading at a young age with Gordon Korman, Franklin W. Dixon and Beverly Cleary being my early favorites.  Once I became enthralled with an author's work, I decided I had to read everything published by them...a trend which continues to this day.   Then I graduated to the world of Stephen King and became a fanatic at 10 years old (maybe that explains why I'm a little warped).  King is still one of my favorites along with John Grisham, Douglas Preston and Lincoln Child and Tim LaHaye.  I'm also a fan of biographies and anything written about Rock n Roll, especially The Beatles.</p>",BARNES & NOBLE,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Chris Jericho Book signing
FL,600 North Orlando Ave,Chris Jericho,Winter Park,http://www.hachettebookgroup.com/authors_Chris-Jericho-(1077234).htm,3:00 PM,02/26/2011,http://www.hachettebookgroup.com/_images/Contributors/images_main/1077234_215X340.jpg,"<p>Chris Jericho, a talented actor, television personality, radio host, and rock star, has established himself as a multifaceted performer.  His unique ability to display such talent and charm in each outlet contributes to his successes across the board.  Most recently Chris completed his first book, A Lion's Tale: Around the World in Spandex in which he chronicles, with a witty and humorous narrative, his rise in the wrestling business and the pitfalls of the industry.  This memoir is set to drop on October 25, 2007.</p>    <p>Recently he made the cross over to film with his lead roles in the features, Android Apocalypse and Albino Farm.  Jericho also appeared on stage before sold-out crowds and received standing ovations when he starred in the hilarious Norm Foster play Opening Night at the Toronto Centre for the Arts. In addition, Chris has been invited to appear as a regular guest performer with the legendary comedy troupe, The Groundlings in the all-improv show, Cookin' with Gas. He also starred in the comedy pilot, Ebaum's World for the USA Network.</p>    <p>Chris' knack for comedy is obvious in his regular appearances on VH-1 and E! Networks. Lending his talent as a panelist or guest, Chris has appeared on over a dozen shows including G4TV's Attack of the Show, Filter (G4TV) Biggest Celebrity Oops (E! Networks), Best Week Ever and the I Love The 70's, 80's and 90's and soon to be released 00's series (VH-1).  Other recent guest appearances include Jimmy Kimmel Live, The Howard Stern Show, The Late, Late Show and Larry King Live. Chris also guest hosted The Best Damn Sports Show Period, MadTV and Headbanger's Ball on MTV2. </p>    <p>Jericho began wrestling at age 19 and is considered one of the most popular wrestling champions in history. In 2001 he was the first ever Undisputed Champion of the WWE and is the only performer to have held six different titles in the 44-year history of World Wrestling Entertainment.</p>    <p>Chris hosted his own show on XM Satellite Radio (Channel 41 Da Boneyard) entitled ""The Rock of Jericho"" airing Sunday nights for over 100 episodes.  The show allowed Chris to display his wide and unique range of knowledge of the music world.  </p>    <p>As lead singer of the rock band Fozzy, Chris proves that his knowledge of music spans beyond just facts. Their third CD, All That Remains was released in 2005, via Chris' own record label Ash Records. Fozzy's first three records sold over 150,000 units and the band played sold out shows worldwide, including the US, Canada, Europe, the United Kingdom and Australia. </p>    <p>Jericho's talent extends beyond the camera as he also wrote and directed a short comedy film for MTV about the band entitled, Unleashed, Uncensored, Unknown.  In addition Chris directed music videos for Fozzy's tracks ""Eat The Rich,"" ""With The Fire,"" and ""Enemy,"" all of which enjoyed rotation on MTV, MTV2, FUSE and Much Music. </p>     <p>Chris grew up in Winnipeg, Canada and currently resides in Los Angeles, CA and Tampa, FL.</p>    <p>I became obsessed with reading at a young age with Gordon Korman, Franklin W. Dixon and Beverly Cleary being my early favorites.  Once I became enthralled with an author's work, I decided I had to read everything published by them...a trend which continues to this day.   Then I graduated to the world of Stephen King and became a fanatic at 10 years old (maybe that explains why I'm a little warped).  King is still one of my favorites along with John Grisham, Douglas Preston and Lincoln Child and Tim LaHaye.  I'm also a fan of biographies and anything written about Rock n Roll, especially The Beatles.</p>",BORDERS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Chris Jericho Book signing
AL,32 South Section Street,Mark Childress,Fairhope,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,06:00 PM,03/10/2011,http://www.hachettebookgroup.com/_images/Contributors/images_main/1074649_215x340.jpg,"Mark Childress was born in Monroeville, Alabama. He is the author of six previous novels and three books for children. He has lived in Ohio, Indiana, Mississippi, Louisiana, Georgia, California, Costa Rica, and currently lives in Key West, Florida. /P&gt;",PAGE & PALETTE,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
AL,1140 East Fairview Avenue,Mark Childress,Montgomery,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,02:00 PM,03/12/2011,http://www.hachettebookgroup.com/_images/Contributors/images_main/1074649_215x340.jpg,"Mark Childress was born in Monroeville, Alabama. He is the author of six previous novels and three books for children. He has lived in Ohio, Indiana, Mississippi, Louisiana, Georgia, California, Costa Rica, and currently lives in Key West, Florida. /P&gt;",CAPITOL BOOK & NEWS,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading & Signing
VA,145 Ednam Drive,Mark Childress,Charlottesville,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,08:00 PM,03/17/2011,http://www.hachettebookgroup.com/_images/Contributors/images_main/1074649_215x340.jpg,"Mark Childress was born in Monroeville, Alabama. He is the author of six previous novels and three books for children. He has lived in Ohio, Indiana, Mississippi, Louisiana, Georgia, California, Costa Rica, and currently lives in Key West, Florida. /P&gt;",VIRGINIA FESTIVAL OF THE BOOK,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading and Panel - signing
IL,811 Elm Street,Mark Childress,Winnetka,http://www.hachettebookgroup.com/authors_Mark-Childress-(1074649).htm,07:00 PM,03/21/2011,http://www.hachettebookgroup.com/_images/Contributors/images_main/1074649_215x340.jpg,"Mark Childress was born in Monroeville, Alabama. He is the author of six previous novels and three books for children. He has lived in Ohio, Indiana, Mississippi, Louisiana, Georgia, California, Costa Rica, and currently lives in Key West, Florida. /P&gt;",BOOK STALL,http://www.hachettebookgroup.com/authors_tours-and-appearances.aspx?search=true&authorid=&mediaid=OTHER&regionid=&duration=,Mark Childress Reading and Signing
