moreInfo,contactPhone,title,website,zipcode,endDate,street,state,fees,startDate,city,venueName,description,time
http://www.visitmaine.com/event/8110/spring_bulb_tour/,(207) 244-7905,Spring Bulb Tour,"<a href=""http://springbulbtour.org/"" class=""uvt_eweb"">springbulbtour.org/</a>",04662,05/14/2011,Sargaent Drive,ME,<p>Suggested donation $10. Children under 12 free</p>,05/14/2011,Northeast Harbor,Spring Bulb Tour,"<p>A Spring Bulb Tour at the W.P. Stewart Estate</p><p>www.springbulbtour.org</p><p>32 Sargent Drive Northeast Harbor, Maine</p><p>Saturdays May 14th&amp; 21st</p><p>*Mother Nature can change these dates; please confirm dates on our website,</p><p>or call 244-7905</p><p>Gates Open at 9:30am to 3:00pm</p><p>Admission: Suggested Donation $10 per person, under 12 free</p><p>The public is invited to enjoy the beautiful perennial plantings and spectacular bloom of 45,000 spring bulbs in one of the premier seaside gardens of Northeast Harbor, Maine. Take in the expansive views across Somes Sound to the mountains of Acadia National Park.</p><p>Proceeds benefit Endowment Fund for The MDI Community Sailing Center</p><p>mdisailing.org</p>",<p>9:30 - 3:00</p>
http://www.visitmaine.com/event/4376/wings_waves_woods/,(207) 348-2455,"Wings, Waves &amp; Woods","<a href=""http://www.deerisle.com"" class=""uvt_eweb"">www.deerisle.com</a>",04627,05/22/2011,420 Sunset Road,ME,<p>Vary by activity.</p>,05/20/2011,Deer Isle,Island Heritage Trust,"<p>The fourth annual weekend of birding by land, by sea and by art, sponsored by Island Heritage Trust, the Deer Isle-Stonington Chamber of Commerce and Downeast Audubon. Enjoy the early spring migration with guided walks, workshops, eagle nest-watching with scopes, boat trips to see puffins and pelagics.</p><p>Galleries and studios all over the island will be open with new work and demonstrations, starting with a gallery reception Friday evening. Take in a chowder supper with all local foods on Saturday, followed by a presentation on birding by habitat by Maine Birding Trail founder, Bob Duchesne.</p>",<p>All Weekend</p>
http://www.visitmaine.com/event/7924/not-your-garden-variety_plant_sale/,(207) 633-4333,Not-Your-Garden-Variety Plant Sale,"<a href=""http://www.MaineGardens.org"" class=""uvt_eweb"">www.MaineGardens.org</a>",04537,05/22/2011,200 Barters Island Road in,ME,<p>Free and open to the public.</p>,05/21/2011,Boothbay,Coastal Maine Botanical Gardens,"<p>During the weekend of May 21 and 21 - 9-4 Saturday and 9-noon Sunday - Coastal Maine Botanical Gardens will present a sale of native plants; hardy roses, rhododendrons, and other shrubs; trees; and even some hard-to-find and unique annuals and perennials. For an even better selection, be sure your membership is up to date and attend the members-only preview May 20, from 3-7 p.m.</p>","<p>9-4 Saturday, 5/21; 9-noon Sunday, 5/22</p>"
http://www.visitmaine.com/event/7930/save_the_date_2011_green_thumb_sale/,(207) 930-3562,Save the Date: 2011 Green Thumb Sale,"<a href=""http://www.belfastgardenclub.org"" class=""uvt_eweb"">www.belfastgardenclub.org</a>",04915,05/21/2011,34 Commercial Street,ME,<p>free</p>,05/21/2011,Belfast,The Belfast Boathouse,"<p>The Belfast Garden Club&#039;s popular Annual Green Thumb Plant Sale will take place Saturday, May 21, 2011, from 9-11am at The Belfast Boathouse, 34 Commercial Street, Belfast. A wide array of annuals and perennials, gardening supplies, and more will be available for your spring gardening needs. The annual plant sale is a benefit for Belfast Garden Club activities in the community and our scholarship fund for higher education.</p><p>Area nurseries and greenhouses, as well as gardeners within the community will donate plants for the sale. If you are a gardener and you will be dividing perennials, or starting extra seedlings this spring, please consider donating them to the Belfast Garden Club Green Thumb Plant Sale!</p>",<p>9-11am</p>
http://www.visitmaine.com/event/6830/owl_stool_workshop/,(207) 367-6555,Owl Stool Workshop,"<a href=""http://www.geoffreywarnerstudio.com/"" class=""uvt_eweb"">www.geoffreywarnerstudio.com/</a>",04681,08/17/2011,43 N. Main St,ME,<p>17&quot;X17&quot;X15&quot; Finished $255.00/ Kit $165.00 24&quot;X17&quot;X15&quot; Finished $305.00/ Kit $215.00   Cost of the class is $35.00</p>,05/7/2011,Stonington,Geoffrey Warner Studio,"<p>Treat yourself to a day in our Stonington workshop where Geoff will instruct you in the assembly and finishing of your own Owl Stool~. It is both fun and instructional and the result will be a truly beautiful piece of furniture you can proudly own or give someone special as a gift, destined to become an heirloom. The cost is $35 plus the price of the kit you choose to assemble.</p><p>Workshops scheduled for May 7, 2011, June 15, 2011,  June 6, 2011, July 20, 2011, August 3, 2011, August 17, 2011.  Call or email for details.</p>",<p>This event runs the first Saturday of the month. Contact us for 2011 dates beyond March.</p>
http://www.visitmaine.com/event/8123/chocolate_talk_tasting_at_beyond_the_sea_by_the_sweetest_things/,(207) 338-2100,Chocolate Talk &amp; Tasting at Beyond the Sea by The Sweetest Things,"<a href=""http://www.BeyondTheSeaMaine.com/"" class=""uvt_eweb"">www.BeyondTheSeaMaine.com/</a>",04915,05/7/2011,74 Main Street,ME,<p>no fees!</p>,05/7/2011,Belfast,"Beyond the Sea, Belfast","<p>Did you know that a good chocolate has a distinctive snap to it, or that some chocolate treats could contain paraffin?  Sarah will share her knowledge, and chocolate samples with you on Saturday, May 7th, from Noon to Four, at Beyond the Sea.</p><p>Sarah:  &quot;I&#039;ve been making chocolates for over 20 years.  I LOVE chocolate and have so much fun trying new recipes and perfecting old ones.</p><p>I have fond memories of working in the kitchen with both of my grandmothers.  My French Canadian &quot;Meme&quot; would dip her peanut-butter balls with forks and toothpicks in a double-boiler on her kitchen stove.  I now use special dipping tools and a tempering pot, but the care is still the same.  My &quot;Grammy&quot;, a Maine native, gave me the recipe for traditional Maine</p>",<p>Noon to Four</p>
http://www.visitmaine.com/event/7004/cooking_class_lobster_lobster_lobster/,(207) 236-4259,"Cooking Class: Lobster, Lobster, Lobster","<a href=""http://www.hartstoneinn.com/class_schedule.htm"" class=""uvt_eweb"">www.hartstoneinn.com/class_schedule.htm</a>",04843,05/15/2011,41 Elm Street,ME,<p>Classes are $45 per person same classes are offered both days</p>,05/14/2011,Camden,The Hartstone Inn Kitchen,"<p>A trip to Maine should be based around eating as much lobster as one can. We&#039;re going to help you with this class. Recipes include: Maine Lobster with a Vanilla Beurre Blanc, Lobster and Gruyere Souffl~ with a Grilled Corn Cream, Maine Lobster and Asparagus Salad with a Tangerine Dressing, and Avocado and Lobster Cakes with a Chive Sour Cream and Roasted Tomato Jus.</p>","<p>Saturday, May 14 &amp; Sunday, May 15 from 1 - 3 pm</p>"
http://www.visitmaine.com/event/7553/business_after_hours-_5_18/,207-873-3315,Business After Hours- 5/18,,04901,05/18/2011,211 Main St.,ME,,05/18/2011,Waterville,MaineGeneral Medical Center at Elmwood Primary Care,"<p>Join us each month at the Mid-Maine Chamber&#039;s Business After Hours networking events. These events are a great opportunity to mix and mingle with other area business professionals and leaders in the community. Hors d&#039;oeuvres, beverages, raffles and door prizes. Free admission, no registration required.</p>",<p>5:30-7pm</p>
http://www.visitmaine.com/event/7848/bug_light_kite_festival/,(207) 767-7299,Bug Light Kite Festival,"<a href=""http://www.sphistory.org/"" class=""uvt_eweb"">www.sphistory.org/</a>",04106,05/14/2011,1 Madison Street,ME,<p>Free event</p>,05/14/2011,South Portland,Bug Light Park,"<p>Come enjoy a day of old-fashioned, kite-flying fun at Bug Light Park! The Noreasters Kite Club will lend its expertise and offer many activities, including a &quot;How to Fly a Kite&quot; workshop, demonstrations of show kites, bol racing and a candy drop for the kids. The club will also have a kite hospital to help with kite assembly and fixes. Kites will be available for purchase in the museum gift shop at the park. There will also be food and drinks available for purchase at a barbecue at the event. Portland Breakwater Lighthouse (aka Bug Light) will be open to the public during the festival, as well, giving a rare chance to see the inside of the lighthouse, thanks to volunteers from the South Portland/Cape Elizabeth Rotary Club. Rain date: May 15</p>",<p>11am to 4pm</p>
http://www.visitmaine.com/event/7817/guided_walking_tour_of_historic_downtown_presque_isle/,(207) 762-1151,Guided Walking Tour of Historic Downtown Presque Isle,"<a href=""http://www.pihistory.org/"" class=""uvt_eweb"">www.pihistory.org/</a>",04769,05/21/2011,16 Third Street,ME,<p>FREE</p>,05/21/2011,Presque Isle,The Vera Estey House,"<p>A FREE guided walking tour of historic downtown Presque Isle, Maine covering two miles and taking approximately two hours.  Tour starts and ends at the Vera Estey House at 16 Third Street, Presque Isle.  On street parking available.</p>",<p>10:00 a.m. - 12 noon</p>
http://www.visitmaine.com/event/7832/portraits_voices_shoemaking_skills_of_generations/,(207) 333-3881,Portraits &amp; Voices: Shoemaking Skills of Generations,"<a href=""http://www.museumla.org/"" class=""uvt_eweb"">www.museumla.org/</a>",04240,08/12/2012,35 Canal St.,ME,<p>$5.00 adults; $4.00 seniors and students 6 and up; Free - children 5 and under accompanied by an adult.</p>,09/25/2010,Lewiston,Museum L-A,"<p>Museum L-A&#039;s third exhibit in the acclaimed Portraits &amp; Voices series focuses on the local shoemaking industry with exhibits and activities for the whole family. Oral histories and portraits richly explore the stories of the people who helped put Auburn &quot;on the map&quot; as one of the largest producers of shoes in the nation at one time. These people built an industry that continues to produce world-famous shoes today. A timeline begins in the year 1824 and documents the history of shoemaking in the Twin Cities. Through photos and text learn the steps of making a shoe, welt-boot making, and about the &quot;cottage industry&quot; of shoemaking at home. Videos show the shoemaking process and techniques of handsewing a shoe.</p>","<p>Monday-Saturday, 10 a.m. to 4 p.m.</p>"
http://www.visitmaine.com/event/7435/aids_walk_weekend/,(207) 646-2939,AIDS Walk Weekend,"<a href=""http://www.visitogunquit.org/"" class=""uvt_eweb"">www.visitogunquit.org/</a>",03907,05/8/2011,Beach Street,ME,,05/6/2011,Ogunquit,Main Beach,"<p>Events include fundraisers to benefit local non-profits such as Frannie Peabody Center, the culminating York County 5K AIDS Walk at Ogunquit Beach, beach cookout and activities, and entertainment throughout the weekend.</p>",<p>Throughout the weekend</p>
http://www.visitmaine.com/event/7865/river_city_cinema_presents_the_human_resources_manager/,(207) 358-9396,River City Cinema presents &quot;The Human Resources Manager&quot;,"<a href=""http://www.rivercitycinema.com/HumanResourceManager.html"" class=""uvt_eweb""><span title=""&hellip;ager.html"">www.rivercitycinema.com/HumanResourceMan&hellip;</span></a>",04401,05/6/2011,126 Union Street,ME,<p>Admission: $5. Concessions available</p>,05/6/2011,Bangor,Union Street Brick Church,"<p>The Human Resources Manager of Jerusalem&#039;s largest bakery is in trouble. He is separated from his wife, distanced from his daughter and stuck in a job he hates. When one of his employees, a foreign worker, is killed in a suicide bombing, the bakery is accused of indifference, and the HR Manager is sent to the victim&#039;s hometown in Romania to make amends. Far from home, on a mission to honor a woman he didn&#039;t even know but has somehow grown to admire, the HR Manager rediscovers his own humanity and his ability to truly care for human resources. * Runtime: 103min * In Hebrew, English &amp; Romanian with English subtitles * Not Rated (mature themes) * Directed by Eran Rikllis</p>",<p>7:30pm-9:30 pm</p>
http://www.visitmaine.com/event/7952/maine_short_film_concert/,(718) 510-6929,Maine Short Film Concert,"<a href=""http://www.fryeburgacademy.org/pac"" class=""uvt_eweb"">www.fryeburgacademy.org/pac</a>",04037,05/7/2011,745 Main Street,ME,<p>$10 general admission</p>,05/7/2011,Fryeburg,Leura Hill Performing Arts Center,"<p>An evening of world class independent short films from the past and present taking place @ The Leura Hill Performing Arts Center @ The Fryeburg Acadmey in Fryeburg, Maine. Oscar winners, Best of Sundance, Intl. festival honorees in Comedy, Drama and animation! One night, 2 hour program of the world&#039;s most entertaining short flms. Info: 207-935-9232.</p>",<p>7:30-10:00pm</p>
http://www.visitmaine.com/event/7884/mothers_day_brunch/,(207) 967-4050,Mothers Day Brunch,"<a href=""http://www.nonantumresort.com/"" class=""uvt_eweb"">www.nonantumresort.com/</a>",04046,05/8/2011,95 Ocean Ave,ME,<p>Adult $38.95 12 yrs and under $15.95 2 yrs and under Free</p>,05/8/2011,Kennebunkport,Nonantum Resort,"<p>Join us for our very popular delectable Mothers Day Brunch Buffet! Serving 9am- 2pm. Reservations are required for large parties, recommended for everyone. 207-967-4050</p>",<p>9am - 2pm</p>
http://www.visitmaine.com/event/8068/mothers_day_jazz_brunch_on_the_point/,(207) 774-4527,MOTHER&#039;S DAY JAZZ BRUNCH ON THE POINT,"<a href=""http://www.thelandingatpinepoint.com/"" class=""uvt_eweb"">www.thelandingatpinepoint.com/</a>",04074,05/8/2011,353 Pine Point Road,ME,<p>Price: $29.95pp plus tax and gratuity Children under 12: 1/2 price 5 &amp; Under: Free</p>,05/8/2011,Scarborough,The Landing at Pine Point,"<p>Bring the whole family &amp; celebrate with Mom in a very relaxed, spring atmosphere here at Pine Point. Chef York is serving a bountiful spring brunch &amp; on stage will be hosting some fine musicianship to create a wonderful backdrop as we celebrate for Mother&#039;s everywhere. Join us &amp; begin an annual tradition. After a wonderful brunch &amp; some great music, take Mom for a walk with the family down to one of New England&#039;s most beautiful beaches only steps from your table.</p><p>HAPPY MOTHER&#039;S DAY !!!</p><p>SERVING: 10am-2pm</p><p>Price: $29.95pp plus tax and gratuity</p><p>Children under 12: 1/2 price 5 &amp; Under: Free</p><p>MENU:</p><p>Chef&#039;s Carving Station:Baked Virginia Ham &amp; Oven Roasted Turkey Breast w/ Sauces</p><p>Crisp Bacon Slices, Country Sausage Links, Scrambled Eggs</p><p>Garden Vege</p>",<p>10am - 2pm</p>
http://www.visitmaine.com/event/8086/midcoast_habitat_for_humanitys_backyard_bbq_playhouse_auction/,(207) 594-1859,Midcoast Habitat for Humanity&#039;s Backyard BBQ &amp; Playhouse Auction,"<a href=""http://www.midcoasthabitat.org/"" class=""uvt_eweb"">www.midcoasthabitat.org/</a>",04856,05/28/2011,"40 West Street, Corner of Rtes 1 &amp; 90",ME,,05/28/2011,Rockport,Old Rockport Elementary School,"<p>Saturday, May 28, 4-7pm Backyard BBQ &amp; Playhouse Auction</p><p>Bring the whole family to the final 2011 Midcoast Women Build event!  The celebration will include a BBQ with live music and children&#039;s entertainment from 4-6pm, followed by a live auction of full-size children&#039;s playhouses from 6-7pm.  FMI: www.midcoasthabitat.org, (207) 594-1859 or visit us on Facebook.  Rockport, Maine.</p>",<p>4-7pm</p>
http://www.visitmaine.com/event/8100/maines_awesome_auto_bikefest/,(207) 443-4800,Maine&#039;s Awesome Auto &amp; BikeFest,"<a href=""http://www.oxfordplains.com/"" class=""uvt_eweb"">www.oxfordplains.com/</a>",04270,05/29/2011,Route 26,ME,<p>$10 per person</p>,05/29/2011,Oxford,Oxford Plains Speedway,"<p>RideMaine &amp; CruiseMaine present:</p><p>Maine&#039;s Awesome Auto &amp; Bikefest</p><p>Sponsored by 107.5 Frank FM</p><p>One of Maine&#039;s largest combination events will take place on Sunday, May 29th at Oxford Plains Speedway. All day event for the entire family. Kids area, cars, bikes, awards, music &amp; more.</p><p>$10/Entrants &amp; Spectators, $5/Kids 6-12, under 6 FREE</p><p>FMI:  www.oxfordplains.com/   or info@ridemaine.net</p>",<p>10:00am - 5:00pm</p>
http://www.visitmaine.com/event/8065/kennebunkport_festival/,(207) 772-3373,Kennebunkport Festival,"<a href=""http://www.kennebunkportfestival.com/"" class=""uvt_eweb"">www.kennebunkportfestival.com/</a>",04101,06/4/2011,75 Market St. Suite 203,ME,<p>Check out the website for individual ticket prices.</p>,05/31/2011,Portland,Various locations throughout Kennebunkport and Kennebunk,"<p>An early summer gathering of friends new and old. A celebration of the good life in Maine. Our quintessential coastal community is the setting for this multi-venue Festival that&#039;s all about inspired good times. From the chefs and artists who use their talents to excite palates and imaginations to the hoteliers, homeowners, innkeepers, and gallery owners who welcome you with open arms, the Festival is truly a collaborative event where all involved share a single vision: give you an epic and ever-so-memorable start to your summer.</p>",<p>Varies</p>
http://www.visitmaine.com/event/7946/stuck_collage_montage_decoupage_assemblage/,(207) 388-0001,"Stuck: Collage, Montage, Decoupage, Assemblage","<a href=""http://www.aarhusgallery.com"" class=""uvt_eweb"">www.aarhusgallery.com</a>",04915,05/1/2011,50 Main Street,ME,,03/31/2011,Belfast,,"<p>March 31 - May 1st, 2011</p><p>OPENING RECEPTION FRIDAY April 1st, 5-8</p><p>~arhus Gallery fixes to mount a riveting and fasten-ating collection of creations from a gaggle of Maine artists who happen to adhere to working with ... glue, or any other clever way of attaching, layering, stratumizing or plain old fitting things together.  Please join ~arhus Friday April 1st  from 5 to 8pm for the Opening Reception of,  &#039;Stuck: Collage, Montage, Decoupage, Assemblage&#039;, which will run from March 31st through May 1st. We&#039;re sure you&#039;ll be stuck on it.</p>",<p>Thursday-Sunday 11am-4pm</p>
http://www.visitmaine.com/event/8082/aroostook_river_canoe_kayak_race/,(207) 764-3866,Aroostook River Canoe/Kayak Race,"<a href=""http://rmichaud36.tripod.com/id43.html"" class=""uvt_eweb"">rmichaud36.tripod.com/id43.html</a>",04769,05/14/2011,boat landing,ME,"<p>Early registration is $15.00 per participant if received by April 30, 2011. $25.00 per participant day of race.</p>",05/14/2011,Presque Isle,Public Boat Landing in Presque Isle,"<p>The Aroostook River 30 Mile Canoe &amp; Kayak Race has  changed locations this year the race will begin in Presque Isle, Maine and end up at the boat landing in Fort Fairfield.</p><p>The most important thing about this race is to have fun and enjoy the outdoor area you will be paddling through, but most of all we all need to be safe at all times. This race will go on RAIN or SHINE. We want all of the contestants to have a wonderful experience and our members and volunteers will do everything we can to</p><p>make sure that happens for you.</p>",<p>Registration closes at 8:30 a.m. Race begins at 9:00 a.m.</p>
http://www.visitmaine.com/event/6351/aroostook_river_fun_run/,207-764-0802,Aroostook River Fun Run,,04786,05/21/2011,Castle Hill Rd,ME,"<p>Entry fee is $15, $12 for seniors and $10 for youth.</p>",05/21/2011,Washburn,Thomas Brewer Park,"<p>Canoe and kayak race. Come join the fun for this annual flatwater adventure on the beautiful Aroostook River. The 8 mile trip begins at Thomas Brewer Park in Washburn and ends near the Fish &amp; Game Club in Presque Isle. Do it to win; do it for the exercise; do it for the</p><p>scenery; or do it to help raise funds for charity. Entrance fee included BBQ lunch. Mountain Bike Wildlife Poker Run for all abilities, too! Prizes!</p>",<p>Registration 8:00 to9:15 a.m. Race begins promptly at 10:00 a.m.</p>
http://www.visitmaine.com/event/8005/gallery_exhibit/,207-288-5015,Gallery Exhibit,"<a href=""http://www.coa.edu/blum"" class=""uvt_eweb"">www.coa.edu/blum</a>",04609,05/6/2011,105 Eden St.,ME,,05/2/2011,Bar Harbor,Ethel H. Blum Gallery,"<p>Adelina Mkami, Neil Oculi and Zimmerman Cardonaat at the Ethel H. Blum Gallery of College of the Atlantic. OPENING May 2 from 4 to 6 p.m.</p>","<p>Monday through Saturday, 9 a.m. to 5 p.m.</p>"
http://www.visitmaine.com/event/8093/petals_and_pearls/,443-1499,Petals and Pearls,"<a href=""http://Markingsgallery.com/"" class=""uvt_eweb"">Markingsgallery.com/</a>",05430,05/31/2011,50 Front Street,ME,<p>none</p>,05/3/2011,Bath,Markings Gallery,"<p>Markings Gallery presents the new work of  Maine jewelry designer Judith Barker.  The series &quot;Petals and Pearls&quot; will be shown featuring petal-like forms in sterling and gold accented with pearls in an array of colors and faceted gemstones . Elegance, movement, and sound...all found in Judith Barker&#039;s new work.</p><p>Showing daily 10-6</p><p>May 3rd- May 31st</p><p>Meet and Greet during Bath&#039;s Third Friday Artwalk May 20th 5-8pm</p><p>More info: Gallery 207-443-1499</p><p>Markingsgallery.com  or Facebook!</p>",<p>Daily 10-6    May 3-May31</p>
http://www.visitmaine.com/event/8039/my_truth/,207-288-5015,My Truth,"<a href=""http://www.coa.edu/blum"" class=""uvt_eweb"">www.coa.edu/blum</a>",04609,05/14/2011,105 Eden St.,ME,,05/9/2011,Bar Harbor,Ethel H. Blum Gallery,"<p>&quot;My Truth: An Anthology of Visual Responses to Literary Works,&quot; Amelia Eshleman &#039;11</p><p>OPENING May 10 from 4 to 6 p.m.</p>",<p>9AM - 5PM</p>
http://www.visitmaine.com/event/8079/gallery_exhibit/,207-288-5015,Gallery Exhibit,"<a href=""http://www.coa.edu/blum"" class=""uvt_eweb"">www.coa.edu/blum</a>",04609,06/5/2011,105 Eden St.,ME,,05/23/2011,Bar Harbor,Ethel H. Blum Gallery,"<p>Senior Project Group Show, with Lily Allgood and Andrew Louw.</p>","<p>Monday through Saturday, 9 a.m. to 5 p.m.</p>"
http://www.visitmaine.com/event/7755/five_mile_yard_sale/,(207) 672-4100,FIVE MILE YARD SALE,"<a href=""http://www.upperkennebecvalleychamber.com"" class=""uvt_eweb"">www.upperkennebecvalleychamber.com</a>",04920,05/29/2011,Main Street,ME,,05/28/2011,Bingham,around town,<p>FMI Contact Cathy Allen 207-491-5397</p><p>or George Tatakis 207-416-4811</p>,
