startdate,hours,enddate,website,title,moreInfoLink,city,address,venue,description,email,tel,zipcode,image,state
"Mar 1, 2010",Thurs-Mon 11am-6pm,"Dec 31, 2012",http://www.diaart.org,Agnes Martin,http://www.artforum.com/guide/country=US&place=Beacon&show=scheduled,Beacon,3 Beekman Street,Dia: Beacon,A presentation from Dia's collection,info@diaart.org,845 440 0100,12508.0,http://www.artforum.com/uploads/guide.001/id04749/exhibition_large.jpg,NY
"Nov 11, 2009",,"May 10, 2011",http://www.cca.edu,"'Play' is the first evening of Artists' Films, a series of contemporary artists' film + video works screened at California College of Arts. Artists' Films is curated by artist Binta Ayofemi.",http://www.artforum.com/guide/country=US&place=San Francisco&show=scheduled,San Francisco,"CCA Graduate Fine Art Department, California College of Art, 1111 Eighth St",Contemporary Artists' Films Series,,artistfilms@cca.edu,415,94107.0,http://www.artforum.com/uploads/location.000/id07750/location.jpg,CA
"Apr 1, 2010",Tuesday - Saturday 12pm - 6pm,"24, 2010",http://www.deitch.com,Jules de Balincourt,http://www.artforum.com/guide/country=US&place=New%20York&page_id=2&show=scheduled,New York,18 Wooster Street,Deitch Projects,Premonitions,info@deitch.com,1 212 343 7300,10012.0,http://www.artforum.com/uploads/location.000/id00206/location.jpg,NY
"Apr 7, 2010",,"30, 2010",http://www.ltmhgallery.com,Beyond the War: Contemporary Iraqi Artists of the Diaspora (curated by Gayle Mandle),http://www.artforum.com/guide/country=US&place=New%20York&page_id=5&show=scheduled,New York,39 E 78th St,Leila Taghinia-Milani Heller Gallery,,ltmh@ltmhgallery.com,212,10075.0,,NY
"Apr 1, 2010","Wednesday - Sunday, 12 PM - 6 PM","30, 2010",http://www.lisa-cooley.com,Andy Coolquitt,http://www.artforum.com/guide/country=US&place=New%20York&page_id=5&show=scheduled,New York,34 Orchard Street,Lisa Cooley,Spring 2010,frontdesk@lisa,,10002.0,,NY
"Apr 1, 2010",,"24, 2010",http://www.lohingeduld.com,Canopy,http://www.artforum.com/guide/country=US&place=New%20York&page_id=6&show=scheduled,New York,531 West 25th Street,Lohin Geduld Gallery,,,212 675 2656,10001.0,,NY
"Apr 8, 2010",Tuesday to Saturday 10-6,"24, 2010",http://www.marianneboeskygallery.com,Liz Craft,http://www.artforum.com/guide/country=US&place=New%20York&page_id=6&show=scheduled,New York,509 West 24th Street,Marianne Boesky,Past and Present,info@marianneboeskygallery.com,1 212 6809889,10011.0,http://www.artforum.com/uploads/location.000/id00007/location.jpg,NY
"Apr 2, 2010","Tues- Sat, 10am-6pm","24, 2010",http://www.pacewildenstein.com,Group Show,http://www.artforum.com/guide/country=US&place=New%20York&page_id=7&show=scheduled,New York,545 West 22nd Street,PACEWILDENSTEIN (22nd Street),Pastiche,info@pacewildenstein.com,212,10001.0,http://www.artforum.com/uploads/location.000/id07039/location.jpg,NY
"Apr 3, 2010",Wednesday - Saturday 1pm - 5pm,"17, 2010",http://www.columbia.edu/cu/wallach,First Year MFA Exhibition,http://www.artforum.com/guide/country=US&place=New%20York&page_id=10&show=scheduled,"8th Floor, New York","Columbia University, 1190 Amsterdam Avenue, Schermerhom Hall",Miriam and Ira D. Wallach Art Gallery,,jes121@columbia.edu,1 212 8547288,10027.0,,NY
"Apr 14, 2010",Wednesday to Sunday: 12 to 5 PM,"29, 2010",http://www.laartcore.org,Richard Fukuhara,http://www.artforum.com/guide/country=US&place=Los Angeles&show=scheduled,Los Angeles,120 Judge John Aiso St.,LA ARTCORE at Union Center for the Arts,Tapestries of Downtown America; Los Angeles,info@laartcore.net,(213) 617-4274,90012.0,http://www.artforum.com/uploads/guide.001/id06512/exhibition.jpg,CA
"Apr 11, 2010","Monday - Friday 12-4pm, Weekends 2-4 pm","30, 2010",http://www.providenceartclub.org,"Maxwell Mays Gallery: Del-Bourree Bach, Harley Bartlett, Domine Vescera Ragosta, &amp; Anthony Tomaselli: The Elevens",http://www.artforum.com/guide/country=US&place=Providence&show=scheduled,Providence,11 Thomas Street,The Providence Art Club,,info@providenceartclub.org,401,2903.0,http://www.artforum.com/uploads/guide.001/id06920/exhibition.jpg,RI
"Apr 11, 2010","Monday - Friday 12-4pm, Weekends 2-4 pm","30, 2010",http://www.providenceartclub.org,Dodge House Gallery: Joan Luce Allen &amp; Joan Thompson Boghossian: Keeping up with the Joans,http://www.artforum.com/guide/country=US&place=Providence&show=scheduled,Providence,11 Thomas Street,The Providence Art Club,,info@providenceartclub.org,401,2903.0,http://www.artforum.com/uploads/guide.001/id06923/exhibition_large.jpg,RI
"Apr 23, 2010","Mon-Sat 10-7, Sun 11-7","29, 2010",http://www.martinlawrence.com,"Last opportunity to purchase works by Warhol, Haring, Chagall, Picasso, Dali, Erte, Kaufman, Kondakova, Hallam, Deyber and Bertho at special auction pricing.",http://www.artforum.com/guide/country=US&place=New%20York&page_id=6&show=scheduled,New York,"457 West Broadway, Soho",Martin Lawrence Galleries,,soho@martinlawrence.com,212 995 8865,10012.0,http://www.artforum.com/uploads/guide.001/id07313/exhibition.jpg,NY
"May 1, 2010","Tuesday - Friday 11am - 5pm, Saturday &amp; Sunday 1 - 5pm; closed holidays","30, 2010",http://www.ulrich.wichita.edu,"Emily Brookover, Todd Hayes, Jodi Lightner and Ash Wickell",http://www.artforum.com/guide/country=US&place=Wichita&show=scheduled,Wichita,"Wichita State University, 1845 Fairmount Street",Ulrich Museum of Art,WSU School of Art &amp; Design Master of Fine Arts Thesis Exhibition,ulrich@wichita.edu,316,67260.0,http://www.artforum.com/uploads/guide.001/id05886/exhibition_large.jpg,KS
"May 1, 2010","TH/FRI (1pm - 6pm), SAT/SUN (11am - 6pm) and also by appt.","29, 2010",http://www.BECAICAD.org,FUTURE FORWARD,http://www.artforum.com/guide/country=US&place=New Orleans&show=scheduled,New Orleans,527 St. Joseph Street (across from the Contemporary Arts Center),BECA ICAD - International Center for Art + Design,An International Exhibition of New Works of Art + Design,mail@thebecafoundation.org,,70130.0,http://www.artforum.com/uploads/guide.001/id06403/exhibition.jpg,LA
"May 7, 2010",Wednesday - Sunday 12-6 pm,"30, 2010",http://www.voxpopuligallery.org,Gabriel Boyce: Owning Cats,http://www.artforum.com/guide/country=US&place=Philadelphia&show=scheduled,Philadelphia,"319 North 11th Street, Third Floor",Vox Populi,Julianna Foster &amp; Lori Spencer: Fair Ophelia <br />Nike Desis: Collect Call <br />Bryan Graf: The Sun Room <br />Ryan Trecartin: The Re'Search (Re'Search WaitS),director@voxpopuligallery.org,215 238 1236,19107.0,http://www.artforum.com/uploads/guide.001/id07333/exhibition.jpg,PA
"Feb 1, 2009",,"Feb 28, 2011",http://www.newarkmuseum.org,,http://www.artforum.com/guide/country=US&place=Newark&show=scheduled,Newark,49 Washington Street,Newark Museum,<i>The Narrative Tradition in African-American Art</i> is from the Newark Museum&#8217;s own collection and focuses on the tradition of storytelling that is part of the African-American experience.,info@newarkmuseum.org,973-596-6638,7102.0,http://www.artforum.com/uploads/guide.001/id00423/exhibition.jpg,NJ
"May 6, 2010",Open Friday/Saturday/Sunday 12-6pm or by appointment.,"28, 2010",http://www.179canal.com/,Devon Dikeou,http://www.artforum.com/guide/country=US&place=New York&show=scheduled,New York,"179 Canal Street, 2nd Floor",179 Canal,"""It's Déja Vu All Ober Again"" - Yogi Berra",179canal@gmail.com,,10013.0,,NY
"May 5, 2010",,"29, 2010",http://www.amoseno.org,Anthony Cuneo,http://www.artforum.com/guide/country=US&place=New York&show=scheduled,Brooklyn,111 Front Street #202,Amos Eno Gallery,Unwanted Literature,amosenogallery@gmail.com,(718) 237-3001,11201.0,http://www.artforum.com/uploads/guide.001/id07366/exhibition.jpg,NY
"May 6, 2010",,"29, 2010",http://www.axelle.com,Laurent Dauptain,http://www.artforum.com/guide/country=US&place=New York&show=scheduled,New York,535 W. 25th st.,Axelle Fine Arts Galerie,,valexandra@axelle.com,212,10001.0,http://www.artforum.com/uploads/guide.001/id06584/exhibition.jpg,NY
"May 8, 2010",,"29, 2010",http://www.brooklynitegallery.com,"International street art titans DOLK &amp; M-CITY, hailing from Norway &amp; Poland respectively present ""EUROTRASH""",http://www.artforum.com/guide/country=US&place=New%20York&page_id=1&show=scheduled,Brooklyn,"334 Malcolm X Blvd., Stuyvesant Heights",Brooklynite Gallery,,info@brooklynitegallery.com,347-405-5976,11233.0,http://www.artforum.com/uploads/guide.001/id06327/exhibition.jpg,NY
"May 1, 2010",Tuesday - Saturday 12pm - 6pm,"29, 2010",http://www.deitch.com,Shepard Fairey,http://www.artforum.com/guide/country=US&place=New%20York&page_id=2&show=scheduled,New York,18 Wooster Street,Deitch Projects,MAYDAY,info@deitch.com,1 212 343 7300,10012.0,http://www.artforum.com/uploads/location.000/id00206/location.jpg,NY
"May 2, 2010","Monday - Friday 12-4pm, Weekends 2-4 pm","21, 2010",http://www.providenceartclub.org,Maxwell Mays Gallery: Angel Dean and Nancy Whitcomb: Nature + Nurture,http://www.artforum.com/guide/country=US&place=Providence&show=scheduled,Providence,11 Thomas Street,The Providence Art Club,"Moitiè Gallery: Paulette H. Carr: Ink, Paper, and Steel",info@providenceartclub.org,401,2903.0,http://www.artforum.com/uploads/guide.001/id07349/exhibition.jpg,RI
"May 2, 2010","Monday - Friday 12-4pm, Weekends 2-4 pm","21, 2010",http://www.providenceartclub.org,Dodge House Gallery: Mary Jane Begin: Back to the Future: From 'The Wind in the Willows' to 'Willow Buds',http://www.artforum.com/guide/country=US&place=Providence&show=scheduled,Providence,11 Thomas Street,The Providence Art Club,,info@providenceartclub.org,401,2903.0,http://www.artforum.com/uploads/guide.001/id07352/exhibition_large.jpg,RI
"May 7, 2010",,"28, 2010",http://www.hellergallery.com,HELLER GALLERY &amp; AmDC PRESENT,http://www.artforum.com/guide/country=US&place=New%20York&page_id=4&show=scheduled,New York,420 W. 14th Street,HELLER GALLERY,BREAKABLE - Glass by Design,katya@hellergallery.com,212,10014.0,http://www.artforum.com/uploads/guide.001/id06973/exhibition.jpg,NY
"May 6, 2010",,"29, 2010",http://kipsgallery.com,Jisoo Lee,http://www.artforum.com/guide/country=US&place=New%20York&page_id=4&show=scheduled,New York,531 West 25th St.,Kips Gallery,Light Encapsulated Space In - Between,kips@kipsgallery.com,212,10001.0,,NY
"May 4, 2010",,"27, 2010",http://www.ltmhgallery.com,Shoja Azari,http://www.artforum.com/guide/country=US&place=New%20York&page_id=5&show=scheduled,New York,39 East 78th Street,Leila Taghinia-Milani Heller Gallery,Icons,ltmh@ltmhgallery.com,212,10075.0,,NY
"May 14, 2010",Thursday- Saturday12-6pm or by appt.,"29, 2010",http://www.nystudiogallery.com,Charming Baker,http://www.artforum.com/guide/country=US&place=New%20York&page_id=7&show=scheduled,New York,"154 Stanton St., New York, NY",NY Studio Gallery,Stupid Has A New Hero,info@nystudiogallery.com,212,10002.0,http://www.artforum.com/uploads/guide.001/id06775/exhibition.jpg,NY
"May 14, 2010",Thursday through Sunday 1-7pm,"23, 2010",http://www.parkersbox.com,Ten Years Hunting - [Part Two],http://www.artforum.com/guide/country=US&place=New%20York&page_id=8&show=scheduled,Brooklyn,193 Grand Street,Parker's Box,"To celebrate our tenth anniversary, we will be featuring ten artists whose work was shown in 2005-2010.",info@parkersbox.com,1 718 388 2882,11211.0,http://www.artforum.com/uploads/guide.001/id07613/exhibition.jpg,NY
"May 6, 2010","10 - 6, Tues - Sat, Closed Sundays, Mondays","29, 2010",http://www.stuxgallery.com,Alex Guofeng Cao,http://www.artforum.com/guide/country=US&place=New%20York&page_id=9&show=scheduled,New York,530 West 25th Street,Stefan Stux Gallery,DECOMPOSE/RECOMPOSE: RESURRECT,stux@stuxgallery.com,1 212 352-1600,10001.0,http://www.artforum.com/uploads/guide.001/id06960/exhibition.jpg,NY
"May 2, 2010",Thursday - Monday 12pm - 5pm,"23, 2010",http://www.flcart.org,2010 MFA Thesis Exhibition,http://www.artforum.com/guide/country=US&place=New%20York&page_id=10&show=scheduled,Long Island City,27-38 30th Street,Fisher Landau Center for Art,,info@flcart.org,1 718 9370727,11101.0,http://www.artforum.com/uploads/location.000/id01531/location.jpg,NY
"May 7, 2010","Sat.- Mon., Wed.-Thurs. 10:30 a.m.&#65533;5:30 p.m.; Fri. 10:30-8:00 p.m.; Closed Tues.","Mar 21, 2011",http://www.moma.org,Pictures by Women: A History of Modern Photography,http://www.artforum.com/guide/country=US&place=New%20York&page_id=11&show=scheduled,New York,11 West 53rd Street,MoMA - The Museum of Modern Art,"Over 200 masterworks and new acquisitions from the collection by women artists, including Diane Arbus, Berenice Abbott, and Cindy Sherman.",info@moma.org,(212) 708-9400,10019.0,http://www.artforum.com/uploads/guide.001/id06322/exhibition_large.jpg,NY
"May 20, 2010","Thursday through Saturday, noon to six","29, 2010",http://www.westernbridge.org,Allison Hrabluik,http://www.artforum.com/guide/country=US&place=Seattle&show=scheduled,Seattle,"3412 Fourth Avenue South, PO BOX 24687",Western Bridge,New Year 9,info@westernbridge.org,206-838-7444,98124.0,http://www.artforum.com/uploads/guide.001/id06928/exhibition.jpg,WA
"May 1, 2010",Friday - Saturday 12:00 - 5:30,"29, 2010",http://65grand.com,David Ingenthron,http://www.artforum.com/guide/country=US&place=Chicago&show=scheduled,Chicago,1378 West Grand Avenue 3F,65GRAND,Light : Snacks,info@65grand.com,312-719-4325,60642.0,http://www.artforum.com/uploads/guide.001/id06359/exhibition.jpg,IL
"May 2, 2010",Gallery Hours: Sundays 1-4PM,"30, 2010",http://juliuscaesarchicago.com,Dana DeGiulio,http://www.artforum.com/guide/country=US&place=Chicago&show=scheduled,Chicago,3311 West Carroll Avenue,Julius Caesar,Erect,julius@juliuscaesarchicago.com,,60624.0,http://www.artforum.com/uploads/guide.001/id04999/exhibition.jpg,IL
"May 1, 2010",Tuesday - Saturday 11am - 6pm,"29, 2010",http://www.acmelosangeles.com,Dawn Clements,http://www.artforum.com/guide/country=US&place=Los Angeles&show=scheduled,Los Angeles,"6150 Wilshire Boulevard, Spaces 1 &amp; 2",ACME.,,info@acmelosangeles.com,323-857-5942,90048.0,http://www.artforum.com/uploads/guide.001/id06083/exhibition.jpg,CA
"May 1, 2010",Tuesday - Saturday 11am - 6pm,"29, 2010",http://www.acmelosangeles.com,Lisa Borgnes,http://www.artforum.com/guide/country=US&place=Los Angeles&show=scheduled,Los Angeles,"6150 Wilshire Boulevard, Spaces 1 &amp; 2",ACME.,Stitching Up the Noughties,info@acmelosangeles.com,323-857-5942,90048.0,http://www.artforum.com/uploads/guide.001/id06822/exhibition_large.jpg,CA
"May 15, 2010",,"22, 2010",http://www.actualsizela.com,"Actual Size Los Angeles presents Chair Project: Our Chair is Your Chair. Inspired by the lack of places to sit on a crowded weekend in Chinatown, we invite you to relax and take a seat.",http://www.artforum.com/guide/country=US&place=Los Angeles&show=scheduled,Los Angeles,741 New High St.,Actual Size Los Angeles,,info@actualsizela.com,,90012.0,http://www.artforum.com/uploads/guide.001/id07640/exhibition.jpg,CA
"May 8, 2010",,"29, 2010",http://www.coreyhelfordgallery.com,Jason Shawn Alexander,http://www.artforum.com/guide/country=US&place=Los Angeles&show=scheduled,Culver City,8522 Washington Blvd,Corey Helford Gallery,&#8220;Mourners Walk Over Maple Leaves&#8221;,jch@coreyhelfordgallery.com,310-287-2340,90232.0,http://www.artforum.com/uploads/guide.001/id07392/exhibition.jpg,CA
"May 1, 2010","10:30 - 5:30, Tuesday - Saturday","29, 2010",http://www.danielweinberggallery.com,Chris Martin,http://www.artforum.com/guide/country=US&place=Los Angeles&show=scheduled,Los Angeles,6148 Wilshire Boulevard,Daniel Weinberg Gallery,,info@danielweinberggallery.com,323-954-8425,90048.0,http://www.artforum.com/uploads/guide.001/id06968/exhibition.jpg,CA
"May 20, 2010","Tue-Sat, 11a-6p","22, 2010",http://www.kimlightgallery.com,Sage Vaughn,http://www.artforum.com/guide/country=US&place=Los Angeles&show=scheduled,Los Angeles,2680 S. La Cienega Blvd.,KIM LIGHT/ LIGHTBOX,LOOP Barcelona Video Art Fair,info@kimlightgallery.com,310 559 1111,90034.0,http://www.artforum.com/uploads/guide.001/id07689/exhibition.jpg,CA
"May 1, 2010",Thurs - Sat:  12-6pm,"29, 2010",http://www.kristienglegallery.com,Bernard Yenelouis,http://www.artforum.com/guide/country=US&place=Los Angeles&show=scheduled,Los Angeles,5002 York Blvd,Kristi Engle Gallery,The Idea of Detroit,info@kristienglegallery.com,323,90042.0,http://www.artforum.com/uploads/guide.001/id06180/exhibition.jpg,CA
"May 1, 2010",Wednesday to Sunday: 12 to 5 PM,"30, 2010",http://www.laartcore.org,"Joseph Piasentin, Ann Gooding",http://www.artforum.com/guide/country=US&place=Los Angeles&show=scheduled,Los Angeles,120 Judge John Aiso St.,LA ARTCORE at Union Center for the Arts,,info@laartcore.net,(213) 617-4274,90012.0,http://www.artforum.com/uploads/guide.001/id07072/exhibition.jpg,CA
"May 6, 2010","12 to 4 pm, Thursday to Sunday.","30, 2010",http://www.laartcore.org,"Joyce Kohl, Robert Mauthe, Charles Dickson",http://www.artforum.com/guide/country=US&place=Los Angeles&show=scheduled,Los Angeles,"Brewery Complex, 650A South Avenue 21",LA ARTCORE BREWERY ANNEX,,info@laartcore.org,(323) 276-9320,90031.0,http://www.artforum.com/uploads/guide.001/id07073/exhibition.jpg,CA
"May 7, 2010","Saturdays and Sundays, 1-4pm, and by appointment","30, 2010",http://www.royalnonesuchgallery.com,Erica Gangsei,http://www.artforum.com/guide/country=US&place=Oakland&show=scheduled,Oakland,4231 Telegraph Ave.,Royal NoneSuch Gallery,Christmas Sparkle Magic and the end of All Things Serious vs. The Return,royalnonesuchgallery@gmail.com,(415) 690-3041,94609.0,http://www.artforum.com/uploads/guide.001/id07255/exhibition.jpg,CA
"May 7, 2010",,"31, 2010",http://bigumbrellastudios.com,"Sarah Woodward, Chance Carstensen, Annamarie Pabst, Angela Oswald Bulb-Out",http://www.artforum.com/guide/country=US&place=San Francisco&show=scheduled,San Francisco,906.5 Divisadero St.,Big Umbrella Studios,Bulb-Out,bigumbrellastudios@gmail.com,(415)3599211,94115.0,http://www.artforum.com/uploads/guide.001/id07466/exhibition.jpg,CA
"May 7, 2010","Thursday - Saturday, noon - 6pm &amp; by appointment","29, 2010",http://www.jancarjones.com,"Anne Eastman, Maggie Foster, Guthrie Lonergan, Hayley Silverman",http://www.artforum.com/guide/country=US&place=San Francisco&show=scheduled,San Francisco,"965 Mission, Suite 120",Jancar Jones Gallery,,info@jancarjones.com,415-281-3770,94103.0,http://www.artforum.com/uploads/guide.001/id07251/exhibition.jpg,CA
"May 21, 2010",Thurs - Sat 12-6PM,"23, 2010",http://www.johanssonprojects.com,Johansson Projects at SF Fine Art Fair,http://www.artforum.com/guide/country=US&place=San Francisco&show=scheduled,Oakland,2300 Telegraph Ave,Johansson Projects,,kimberly@johanssonprojects.com,510 444-9140,94612.0,http://www.artforum.com/uploads/guide.001/id07500/exhibition.jpg,CA
"May 18, 2010","Tuesday - Saturday, 10:30-5:30","29, 2010",http://www.wolfecontemporary.com,Davide Coltro,http://www.artforum.com/guide/country=US&place=San Francisco&show=scheduled,San Francisco,"49 Geary Street, Suite 202",Mark Wolfe Contemporary Art,[Living Shrouds],contact@wolfecontemporary.com,415-369-9404,94108.0,http://www.artforum.com/uploads/guide.001/id07692/exhibition.jpg,CA
"May 6, 2010",Tue&gt;Sat 11:00&gt;5:30,"29, 2010",http://www.georgelawsongallery.com,Masaru Kurose,http://www.artforum.com/guide/country=US&place=San Francisco&show=scheduled,San Francisco,49 Geary 2nd Flr,George Lawson Gallery - room for painting room for paper,recent paintings,gallery@rfprfp.com,415 772 0977,94108.0,http://www.artforum.com/uploads/guide.001/id07070/exhibition.jpg,CA
"May 6, 2010",Tue&gt;Sat 11:00&gt;5:30,"29, 2010",http://www.georgelawsongallery.com,Nancy Haynes,http://www.artforum.com/guide/country=US&place=San Francisco&show=scheduled,San Francisco,49 Geary 2nd Flr,George Lawson Gallery - room for painting room for paper,selected paintings,gallery@rfprfp.com,415 772 0977,94108.0,http://www.artforum.com/uploads/guide.001/id07071/exhibition_large.jpg,CA
"May 2, 2010","Sunday 12pm - 4pm, Tuesday - Saturday 11am - 4pm, Wednesday until 7pm","30, 2010",http://www.mills.edu,Between You and Me,http://www.artforum.com/guide/country=US&place=San Francisco&show=scheduled,Oakland,5000 MacArthur Boulevard,Mills College Art Museum,"The Mills College Art Museum is proud to present Between You and Me, the thesis exhibition for the 2010 MFA degree recipients.",museum@mills.edu,1 510 4302164,94613.0,http://www.artforum.com/uploads/location.000/id02094/location.jpg,CA
"Jun 6, 2010","After opening reception, Saturdays &amp; Sundays 1-4PM","27, 2010",http://juliuscaesarchicago.com,Diego Leclery,http://www.artforum.com/guide/country=US&place=Chicago&show=scheduled,Chicago,3311 West Carroll Avenue,Julius Caesar,The Natural,julius@juliuscaesarchicago.com,,60624.0,http://www.artforum.com/uploads/guide.001/id05000/exhibition.jpg,IL
"Jun 4, 2010",Wednesday - Sunday 12-6 pm,"27, 2010",http://www.voxpopuligallery.org,"""Yes, Yes I am happy, aber glücklich bin ich nicht.""",http://www.artforum.com/guide/country=US&place=Philadelphia&show=scheduled,Philadelphia,"319 North 11th Street, Third Floor",Vox Populi,"""Ray Studios Presents..."" <br />Meredith Nickie: ""This Is Going Down"" <br />Moira Teirney: ""American Dream #4""",director@voxpopuligallery.org,215 238 1236,19107.0,http://www.artforum.com/uploads/guide.001/id07832/exhibition.jpg,PA
"Jun 4, 2010",,"24, 2010",http://www.coreyhelfordgallery.com,JOE LEDBETTER,http://www.artforum.com/guide/country=US&place=Los Angeles&show=scheduled,Culver City,8522 Washington Blvd,Corey Helford Gallery,&#8220;MAGNUS MAXIMUS&#8221;,jch@coreyhelfordgallery.com,310-287-2340,90232.0,http://www.artforum.com/uploads/guide.001/id07904/exhibition_large.jpg,CA
