startDate,venue,description,endDate,website,title,cost,location,moreinfo
01/15/2011,Hennes Art Company,"<p>Greg Hennes has been in the art business for 25 years. To reflect this feat, he has assembled a group of artists who have also been influential over the past 25 years to form an exhibit with him.  Check the website for updated list of those artists being presented.</p><p>Closed Sundays.</p></p>",03/05/2011,http://www.hennesart.com,25 Year - 25 Artists,Free,"1607 Hennepin Ave., Mpls., MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=2&endyear=2011&startday=1&startmonth=2&startyear=2011&view=view_event&itm=6672
01/10/2011,"Christensen Center Art Gallery, Main floor","<p>In the midst of the millions of text messages sent each day, a group of twelve photographers took eight months to play a visual game of telephone using the U.S. Postal Service. The curator of the project, Michelle Westmark, began the photo chain by sending a 4&quot;x 6&quot; postcard version of her image to be interpreted by the next photographer on the list. This artist had a two-week window to photographically respond to the image's subject, content or formal elements and pass a postcard of the new image along, creating a visual and tactile conversation that progressed around the country. While so much of our globally digitalized world speeds along, <em>A Reasonable Facsimile</em> pauses to find connections within a variety of locations and lenses.<br /><br />Photographers included in the exhibition are Michelle Westmark (MN), Conor King (CO), Lindsay Borden (WA), Sarah Christianson (CA), Yasmin Etemadi (CA), Sarah Baron (NC), Sarah Stacke (NY), Salma Khalil (DE), Rachel Loischild (MA), Jason Flack (MA), Carl Sweets (IL), and Brett Kallusky (MN).<br /><br />Michelle Westmark received her B.A. from Bethel University and her M.F.A. from Pratt Institute where she studied photography.&nbsp; She is currently the Gallery Director and an Assistant Professor of Art at Bethel University.<br /><br />www.facsimileproject.com<br /><br />  Reception: Friday, January 21, 5:30 p.m.&ndash;7:30 p.m.<br />  <br />  Artist Talk: Friday, January 21, 9 a.m.<br />  Room 6, Old Main, Augsburg College</p><p>Gallery Hours:&nbsp; <br />Monday&ndash;Friday, 8 a.m.&ndash;8 p.m.; Saturday and Sunday, 9 a.m.&ndash; 5 p.m.<br />&nbsp;</p></p>",02/25/2011,http://www.augsburg.edu/galleries,A Reasonable Facsimile,Free and open to the public.,"Christensen Center 22nd Ave. S. at 7 ½ St., Minneapolis, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=2&endyear=2011&startday=1&startmonth=2&startyear=2011&view=view_event&itm=6738
01/18/2011,Chicago Avenue Fire Arts Center,"<p>The Chicago Avenue Fire Arts Center is pleased to announce its Winter 2011 class schedule including classes in welding, blacksmithing, jewelry, and electronics.  Find complete descriptions and register online at www.cafac.org or by calling 612-294-0400.</p><p class=""MsoNormal"">&nbsp;</p></p>",03/31/2011,http://www.cafac.org,Chicago Avenue Fire Arts Center Winter Classes,Prices range from $80 to $400 per class,"3749 Chicago Ave., Mpls., MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=2&endyear=2011&startday=1&startmonth=2&startyear=2011&view=view_event&itm=6790
01/15/2011,Hennes Art Company,"<p>Greg Hennes has been in the art business for 25 years. To reflect this feat, he has assembled a group of artists who have also been influential over the past 25 years to form an exhibit with him.  Check the website for updated list of those artists being presented.</p><p>Closed Sundays.</p></p>",03/05/2011,http://www.hennesart.com,25 Year - 25 Artists,Free,"1607 Hennepin Ave., Mpls., MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=3&endmonth=2&endyear=2011&startday=3&startmonth=2&startyear=2011&view=view_event&itm=6672
01/14/2011,Textile Center,"<p>A Common Thread, Textile Center's annual members' show, runs from Jan. 14 &ndash; Feb. 26.&nbsp; The Opening Event is Jan. 14 at 6 p.m. and features a light supper followed by the annual member's meeting at 7. This exhibition features more than 90 talented local, regional, and national fiber artists.&nbsp; Every year, art collectors and fiber artists look forward to this exhibition where the world of textile tradition and the world of &quot;no rules apply&quot; converge.&nbsp;</p></p>",02/26/2011,http://www.textilecentermn.org,A Common Thread 2011 - Textile Center Annual Members' Exhibition,Free,"3000 University Ave. SE, Minneapolis, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=3&endmonth=2&endyear=2011&startday=3&startmonth=2&startyear=2011&view=view_event&itm=6531
01/10/2011,"Christensen Center Art Gallery, Main floor","<p>In the midst of the millions of text messages sent each day, a group of twelve photographers took eight months to play a visual game of telephone using the U.S. Postal Service. The curator of the project, Michelle Westmark, began the photo chain by sending a 4&quot;x 6&quot; postcard version of her image to be interpreted by the next photographer on the list. This artist had a two-week window to photographically respond to the image's subject, content or formal elements and pass a postcard of the new image along, creating a visual and tactile conversation that progressed around the country. While so much of our globally digitalized world speeds along, <em>A Reasonable Facsimile</em> pauses to find connections within a variety of locations and lenses.<br /><br />Photographers included in the exhibition are Michelle Westmark (MN), Conor King (CO), Lindsay Borden (WA), Sarah Christianson (CA), Yasmin Etemadi (CA), Sarah Baron (NC), Sarah Stacke (NY), Salma Khalil (DE), Rachel Loischild (MA), Jason Flack (MA), Carl Sweets (IL), and Brett Kallusky (MN).<br /><br />Michelle Westmark received her B.A. from Bethel University and her M.F.A. from Pratt Institute where she studied photography.&nbsp; She is currently the Gallery Director and an Assistant Professor of Art at Bethel University.<br /><br />www.facsimileproject.com<br /><br />  Reception: Friday, January 21, 5:30 p.m.&ndash;7:30 p.m.<br />  <br />  Artist Talk: Friday, January 21, 9 a.m.<br />  Room 6, Old Main, Augsburg College</p><p>Gallery Hours:&nbsp; <br />Monday&ndash;Friday, 8 a.m.&ndash;8 p.m.; Saturday and Sunday, 9 a.m.&ndash; 5 p.m.<br />&nbsp;</p></p>",02/25/2011,http://www.augsburg.edu/galleries,A Reasonable Facsimile,Free and open to the public.,"Christensen Center 22nd Ave. S. at 7 ½ St., Minneapolis, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=3&endmonth=2&endyear=2011&startday=3&startmonth=2&startyear=2011&view=view_event&itm=6738
01/18/2011,Chicago Avenue Fire Arts Center,"<p>The Chicago Avenue Fire Arts Center is pleased to announce its Winter 2011 class schedule including classes in welding, blacksmithing, jewelry, and electronics.  Find complete descriptions and register online at www.cafac.org or by calling 612-294-0400.</p><p class=""MsoNormal"">&nbsp;</p></p>",03/31/2011,http://www.cafac.org,Chicago Avenue Fire Arts Center Winter Classes,Prices range from $80 to $400 per class,"3749 Chicago Ave., Mpls., MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=3&endmonth=2&endyear=2011&startday=3&startmonth=2&startyear=2011&view=view_event&itm=6790
01/14/2011,Hennepin Stages Theatre,"<p><em>Girls Only</em>, the original hit comedy celebrating the honor, truth, humor, and silliness of being female, finds its laughs in the very funny and charming similarities that all women share. With a two-woman cast, it mixes sketch comedy, improvisation, audience participation, video, and raucous songs in a unique examination of all things girly.</p><p>Running January  14&ndash;April 3, 2011:<br />Thursday at 7:30 p.m.<br />Friday at 8 p.m.<br />Saturday at 2 and 8 p.m.<br />Sunday at 2 p.m.</p></p>",04/03/2011,http://www.hennepintheatretrust.org/,Girls Only: The Secret Comedy of Women,$29.50,"824 Hennepin Avenue, Minneapolis, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=3&endmonth=2&endyear=2011&startday=3&startmonth=2&startyear=2011&view=view_event&itm=6845
01/21/2011,Groveland Annex,"<p><em>Force of Luminosity</em>, an exhibition of new landscape paintings by Minneapolis artist James Conaway opens January 21 at the Groveland Annex. </p><p>Conaway, a former Hamline University professor, taught studio art and art history for over three decades. He is now a full-time artist with a studio in the Minneapolis warehouse district. He has been represented by Groveland Gallery for over 11 years, and has exhibited his work extensively throughout the United States, including the Walker Art Center, the Milwaukee Art Museum, and the Scottsdale Center for the Arts.</p><p>Conaway is an avid world-traveler, and his paintings draw upon the varied landscapes he has visited during his travels. His interest in topography, season, and light provides a rich combination for his painterly, pastoral scenes: golden, autumnal pastures, sky-blue rivers beneath pinky sunrises and tree groves casting shadows on ruddy hillsides. His idealized landscapes, often painted on old, weathered pieces of wood, create a unique dialogue between the imagined trees of his painted forests and the weighty material on which he is painting. Though his landscapes do not depict real places, they are rooted in Conaway&rsquo;s real experiences of the land, water, and skies in Minnesota and beyond.</p><p>The artist will be present at the opening reception on Friday, January 21 from 5-8 p.m. The exhibition runs concurrently with <em>Presence</em>, an exhibition by Joyce Lyons and Carl Oltvedt in the main gallery.</p></p>",02/26/2011,http://www.grovelandgallery.com,James Conaway – Force of Luminosity,Free,"25 Groveland Terrace, Mpls., MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=3&endmonth=2&endyear=2011&startday=3&startmonth=2&startyear=2011&view=view_event&itm=6630
01/21/2011,Groveland Gallery,"<p>Groveland Gallery is pleased to announce an exhibition of new drawings by Minnesota artists Joyce Lyon and Carl Oltvedt. Oltvedt and Lyon approach their plein-air landscape drawings in a  similar manner. For each of these artists, the process of drawing is as  important as the drawing itself &ndash; &ldquo;translating experience into drawing,&rdquo;  as Lyon explains. Capturing the &ldquo;feeling&rdquo; of a place through carefully  composed compositions and the subtleties of line lends a quiet intensity  to Lyon&rsquo;s haunting groves of twisted olive trees and Oltvedt&rsquo;s soft,  dewy pastures.</p><p>Lyon, a New York native and an associate professor at the University of Minnesota, was a founding member of the Women&rsquo;s Art Registry of Minnesota (WARM). She is the recipient of three Minnesota State Arts Board Fellowships, as well as a Jerome/MCBA grant. Her work is in public and private collections nationally, including the Florida Holocaust Museum, the Minneapolis Institute of Arts, the Walker Art Center, and the Weisman Art Museum.</p><p>A Minneapolis native, Carl Oltvedt is a professor at Minnesota State University at Moorhead, where he has taught for nearly 30 years. His work is included in the permanent collections of the Honolulu Academy of Arts, the North Dakota Museum of Art, the Minnesota Museum of American Art, the Minneapolis Institute of Art, the Minnesota State Historical Society, and the Plains Art Museum.</p><p>The artists will be present at the opening reception Friday, January 21 from 5-8 p.m. This opening reception and exhibition run concurrently with the exhibition in the Groveland Annex, <em>Force of Luminosity</em>, by James Conaway.</p></p>",02/26/2011,http://www.grovelandgallery.com,"Joyce Lyon & Carl Oltvedt Exhibit – ""Presence""",Free.,"25 Groveland Terrace, Minneapolis, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=3&endmonth=2&endyear=2011&startday=3&startmonth=2&startyear=2011&view=view_event&itm=6628
03/30/2011,Minneapolis Convention Center,"<p>The 79th Annual Northwest Sportshow returns to the Minneapolis Convention Center March 30th through April 3rd, 2011, for five days of outdoor fun, offering a broad selection for every outdoors enthusiast from the avid sportsman to the family planning their next camping adventure.</p><p>The largest event of its kind in the Midwest, the Northwest Sportshow will offer hundreds of exhibits featuring the newest products for hunting, fishing, camping, and nearly every outdoor activity imaginable. Attendees can also visit outfitters and resorts to plan their next trip, from Minnesota getaways to exotic safaris.</p><p class=""MsoNormal"" style=""text-align: left;"">&nbsp;</p></p>",04/03/2011,http://www.minneapolisconventioncenter.com/,79th Annual Northwest Sportshow,"Adults (16+), $10; Children, Free","1301 Second Ave. S., Mpls., MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=4&endyear=2011&startday=1&startmonth=4&startyear=2011&view=view_event&itm=6700
03/31/2011,,"<p>The world's largest colonoscopy party! Come and support women over 50 in leading healthy aging but dangerous lives. Go to <a href=""http://agingbutdangerous.com"" target=""_blank"">agingbutdangerous.com</a> for more information.</p></p>",04/01/2011,http://agingbutdangerous.com,Aging But Dangerous,,"<p class=""event-description""> The Depot Minneapolis<br />				Minneapolis, MN<br />",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=4&endyear=2011&startday=1&startmonth=4&startyear=2011&view=view_event&itm=6819
03/16/2011,,"<p>Learn how to create a rain garden! Come for one session or all.&nbsp; The first class provides enough information to get you started.&nbsp; Field and workshop sessions are offered for those who are ready to install a garden this year and want more in-depth instruction. </p><p><em>*Opportunity to purchase rain garden plants. Sponsored by City of Maplewood and Ramsey-Washington Metro Watershed District and the City of North St. Paul.&nbsp; </em></p><p>For specific questions about the content of these classes, please contact Sage Passi at the Watershed District at 651-792-7958. Pre-register with Maplewood Nature Center, 2659 East 7<sup>th</sup> Street, Maplewood, MN 55119, 651-249-21770.</p><p>A RAIN GARDEN FOR YOUR YARD CLASSROOM SESSION - Wednesday, March 16, 6:30-8:30 p.m. At North St. Paul Community Center, 2290 N. 1st Street, NSP, MN 55109 or Thursday, March 31, at RWMWD Office, 2665 Noel Dr., Little Canada, MN 55117. Fee: $5.&nbsp;</p> <p>RAIN GARDEN FIELD SESSION: DRAINAGE AND SOILS - Thursday, April 14, 6-8 p.m. Fee: $5. Location TBA.</p><p>RAIN GARDEN DESIGN WORKSHOP: GARDEN LAYOUT &amp; PLANT DESIGN - Thursday, April 28, 6:30-8:30 p.m. Fee: $5. Location TBA.</p> <p>RAIN GARDEN OPEN HOUSE - Thursday, May 5, 6-8 p.m. Location: 2010 EGM Winning Yard-2211 Ariel Street, Maplewood, MN 55109. FREE.</p></p>",05/05/2011,http://www.ci.maplewood.mn.us/nc,A Raingarden for your Yard Series: Stopping Water Where it Drops,$5,"<p class=""event-description""> Various Locations<br />				North St. Paul & Little Canada, MN<br />",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=4&endyear=2011&startday=1&startmonth=4&startyear=2011&view=view_event&itm=6715
03/25/2011,Mixed Blood Theatre,"<p>Irreverent and hilarious, the disparate residents of New York&rsquo;s Avenue Q  represent the global village in this people-and-puppet musical comedy.  After a six-year Broadway run, worldwide tours, and a year in Las Vegas,  this show takes on a whole new vantage in Mixed Blood&rsquo;s intimate  theater. An ensemble of familiar characters&mdash;therapist Christmas Eve,  comedian/caterer Brian, roommates Nicky and Rod, Kate Monster, and Lucy  T. Slut&mdash; deliver the Avenue Q classics &ldquo;Everyone&rsquo;s A Little Bit Racist,&rdquo;  &ldquo;If You Were Gay,&rdquo; and, of course, &ldquo;The Internet Is For Porn.&rdquo;</p></p>",04/30/2011,http://www.mixedblood.com,Avenue Q,$15-$28,"1501 4th St. South, Minneapolis, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=4&endyear=2011&startday=1&startmonth=4&startyear=2011&view=view_event&itm=6303
01/14/2011,Hennepin Stages Theatre,"<p><em>Girls Only</em>, the original hit comedy celebrating the honor, truth, humor, and silliness of being female, finds its laughs in the very funny and charming similarities that all women share. With a two-woman cast, it mixes sketch comedy, improvisation, audience participation, video, and raucous songs in a unique examination of all things girly.</p><p>Running January  14&ndash;April 3, 2011:<br />Thursday at 7:30 p.m.<br />Friday at 8 p.m.<br />Saturday at 2 and 8 p.m.<br />Sunday at 2 p.m.</p></p>",04/03/2011,http://www.hennepintheatretrust.org/,Girls Only: The Secret Comedy of Women,$29.50,"824 Hennepin Avenue, Minneapolis, MN",http://www.minnesotamonthly.com/media/Minnesota-Monthly/Events-Pics-Calendars/Calendar/index.php?categoryfilter=All&endday=1&endmonth=4&endyear=2011&startday=1&startmonth=4&startyear=2011&view=view_event&itm=6845
