time,photo,description,venue,address,startDate,endDate,email,website,event,phone,moreInfo,cost
7:00pm - 8:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=14279,Join a group of fellow learners to explore the wonders and teaching of A Course In Miracles (ACIM) books at this ongoing Tuesday night event.,Unity Church of Hawaii (Diamond Head),"3608 Diamond Head Circle,  Honolulu, HI 96815",04/20/2010,12/24/2013,david@unityhawaii.org,http://unityhawaii.org,A Course In Miracles Tuesday evening study group,(808) 735-4436,http://www.hawaiieventsonline.com/view.php?eventID=14279,Free
7:00pm - 8:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=14277,"Led by Spirit, experience your Oneness with God through community affirmative prayer and guided meditation.  Experience the ritual of communion, burning bowl, Hawaiian-Native American blessing and candle lighting.  Healing treatments available by the Unity Healing Arts Center practitioners and individual prayer support provided by Unity Chaplains.",Unity Church of Hawaii (Diamond Head),"3608 Diamond Head Circle,  Honolulu, HI 96815",04/21/2010,12/25/2013,david@unityhawaii.org,http://unityhawaii.org,Unity Church of Hawaii Healing Service,(808) 735-4436,http://www.hawaiieventsonline.com/view.php?eventID=14277,Free
7:30am - 12:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=14276,"Please join us for our beautiful weekly Sunday services at Unity Church Of Hawaii. We embrace a &ldquo;pan denominational&ldquo; approach to spirituality and welcome everyone no matter what spiritual or religious path you are on. We have 3 Sunday services: 7:30am, 9:00am and 11:00am and starting on March 30th we will be adding a 6pm service. You can see our Sunday services live online on our website: www.unityhawaii.org at 9am &amp; 11:00am Hawaii Standard Time or view our weekly services on a one week delayed basis on Olelo Community Television channel 52 at 10:00pm each Saturday night.",Unity Church of Hawaii (Diamond Head),"3608 Diamond Head Circle,  Honolulu, HI 96815",04/18/2010,12/29/2013,david@unityhawaii.org,http://unityhawaii.org,UNITY CHURCH OF HAWAII SUNDAY SERVICES,(808) 735-4436,http://www.hawaiieventsonline.com/view.php?eventID=14276,Free
8:00pm - 2:00am,http://www.hawaiieventsonline.com/viewpic.php?id=17139,"A NEW YEAR....A NEW COMEDY SHOW!<br /> <br /> Come and laugh along with  some of  <br /> Hawaii&rsquo;s most  funniest local comedians<br /> at the LOFT every last Saturday of each<br /> month begining on March 27th 2010.<br /> Doors open at 8:00p - show starts 8:30p<br /> <br /> Then dance the night away with the <br /> sounds &amp; music by POSTIVE REGIME<br /> as they spin Old Skool Funk, Hip Hop<br /> and ReggAe all night long till 2:00am.<br /> <br /> Hosting the &ldquo;COMEDY SLAM SHOW&ldquo; will be none other then SLICK VIC!<br /> <br /> THE LINE UP:<br /> <br /> Hoshea Muyderman<br /> Wynn <br /> Paul Kane<br /> Dawn Nash<br /> James Mane <br /> Ozell Daniel<br /> Mike Seahall<br /> ...and more to follow each month.<br /> <br /> <br /> WHO: 21 &amp; OLDER WELCOME!<br /> WHAT: COMEDY SLAM<br /> WHERE: LOFT GALLERY &amp; LOUNGE<br /> WHEN: MARCH 27 2010<br /> HOW: LISTEN FOR MORE DETAILS<br /> <br /> FOR MORE INFORMATION CALL: (808) 781-6194 or (808)723-4253.",LOFT GALLERY &amp; LOUNGE,"115 NORTH HOTEL STREET,  HONOLULU, HI 96813",04/24/2010,03/26/2011,JAVENG@YAHOO.COM,,COMEDY SLAM at THE LOFT,(808) 781-6194,http://www.hawaiieventsonline.com/view.php?eventID=17139,$5.00 ...
9:00pm - 2:30am,http://www.hawaiieventsonline.com/viewpic.php?id=17362,"IRIE Wednesdays COLLEGE NIGHT 2.0 every Wednesday Night at SHOOTERS Nightclub.<br /> <br /> DJ Climaxx &amp; DJ XTC Spinning hip-hop, top 40, reggae 9PM-2:30AM. 18+ Welcome. Ladies FREE before 10PM Complements of The Promoter",Shooters Nightclub,"121 Banyan Drive,  Hilo HI 96720",04/21/2010,04/20/2011,rrphawaii@aol.com,http://www.rrentertainment.com,COLLEGE NIGHT 2.0,(808) 934-9889,http://www.hawaiieventsonline.com/view.php?eventID=17362,$7
10:00pm - 2:00am,http://www.hawaiieventsonline.com/viewpic.php?id=17363,"Fluid Ultra Lounge Friday Nights at Ohana Grill Hilo.<br /> <br /> DJ Climaxx &amp; DJ June spinning hip-hop, Top 40 &amp; Old School Mashups. Doors open at 10PM. 21+ Stylish Dress Code In Effect.",Ohana Grill,"64 keawe St,  Hilo HI 96720",04/30/2010,04/29/2011,info@rrentertainment.com,http://www.rrentertainment.com,FLUID ULTRA LOUNGE,(808) 934-9889,http://www.hawaiieventsonline.com/view.php?eventID=17363,$7
10:00pm - 1:00am,http://www.hawaiieventsonline.com/viewpic.php?id=14055,"808-382-9495<br /> myspace.com/hawaii_usa<br /> <br /> Fan reviews:<br /> Joseph Martel, Editor <br /> Dancing in the Dark Magazine<br /> Arsenio The Band who was in full swing with four lady dancers dressed in yellow costumes gyrating to the tempo of the music. What a treat!<br /> <br /> <br /> More fabulous music with two female singers belting out familiar tunes that wowed the crowd.<br /> Even more fabulous music that hits the soul when Arsenio and band members sang.<br /> <br /> <br /> Then it was Hot Salsa time with a couple dancing some cool and flashy exhibition moves that excited the audience. Almost like watching Dancing With The Stars except it was fast and furious and a lot of continuous spinning for the lady dancer. Good showmanship and terrific dancing!<br /> <br /> <br /> Arsenio The Band closed the half hour show with one of his great renditions that brought thundering applauses from an appreciative audience. <br /> ______________________ <br /> *Live musical Bands, Still Photographer, Mobile DJ/ Karaoke DJ,                Pro Sounds Engineering, Emcee, Rentals, Hula, Salsa Dancers<br /> <br /> Experience Honolulu&rsquo;s most popular cover band, soloist &amp; cover musical bands. With musical experience spanning more than a decade, The band, continues to capture the hearts of many talent professional musicians and singers. With many years of experience performing live on stage, entertaining thousands of patrons at concerts, nightclubs, festivals, weddings, parties and etc&hellip;<br /> No other can surpass the charm and magnetism.  They have captured a wide audience through their high-energy stage performance, and a repertoire covering a wide variety of musical styles from JAZZ, R&amp;B and Contemporary &amp; more. They&rsquo;re secret? Undeniable love for music and the desire of delivering an exceptional performance to their audience.","Beeman's NightClub,","Pearl Harbor, HI",04/16/2010,07/23/2011,m.hawaii@att.net,http://www.myspace.com/hawaii_usa,Arsenio the band,(808) 382-9495,http://www.hawaiieventsonline.com/view.php?eventID=14055,Free
8:00pm - 3:00am,http://www.hawaiieventsonline.com/viewpic.php?id=11826,"DJ Papi, DJ Ever &amp; DJ Don Armando, will take you through a salsa experience unlike any other that will have you grooving from the minute you walk in to the second you walk out. The best in Salsa, Merengue, Reggaeton, Bachata, Cha Cha Cha, Cumbia and more.",WAIKIKI TRADE CENTER / GROUND FLOOR,"2255 Kuhio Ave., Waikiki, HI",04/20/2010,10/22/2013,bamboleoentertainment@yahoo.com,http://www.myspace.com/bamboleoproductions,INTERNATIONAL SALSA NIGHT AT ZANZABAR NIGHT CLUB,(808) 294-1233,http://www.hawaiieventsonline.com/view.php?eventID=11826,$10 18...
9:00pm - 4:00am,http://www.hawaiieventsonline.com/viewpic.php?id=4664,"JOIN 102.7 DA BOMB &amp; RICK ROCK PRODUCTIONS FOR THE WILDEST, SEXIEST &amp; HOTTEST PARTY OF THE WEEK !!! THERE IS NO BIGGER PARTY THAN THIS MASSIVE !!! THE<br /> LEGENDARY THIRSTY THURSDAYS LIVE AT ZANZABAR !!!<br /> <br /> DON'T BE FOOLED BY IMITATORS, THIS IS THE REAL DEAL PARTY THAT HAS BEEN SOLD OUT EVERY WEEK SINCE LAST YEAR !!! JOIN RICK ROCK PRODUCTIONS AS WE COMBINE CLASS... AIR CONDITIONED COMFORT ... AND STYLE TO BRING YOU THE ULTRA PLUSH PARTY ATMOSPHERE !!!<br /> <br /> MORE FEATURES &amp; HIGHER STANDARDS THAN ANY OTHER 18+ NIGHTCLUB !!! <br /> ________________________________________________<br /> <br /> $2 DRINKS ALL NIGHT !!! $2 DRINKS ALL NIGHT !!!<br /> ________________________________________________<br /> <br /> THE INDUSTRY'S FINEST DJ'S JOIN FORCES TO ROCK THE BEST IN HIP HOP, R&amp;B, HOUSE &amp; CLUB HITS !<br /> <br /> RICK ROCK ( RICK ROCK PRODUCTIONS ) <br /> SAM THE MAN ( 102.7 DA BOMB ) <br /> RIC HAVOC ( 102.7 DA BOMB ) <br /> KOOL E ( 102.7 DA BOMB ) <br /> DJ WU CHANG ( ELITE ENTERTAINMENT ) <br /> G- MAN ( ZANZABAR ) <br /> MIKE GALMICHE ( PINEAPPLE TRACKS ) <br /> <br /> FEATURES TWO MASSIVE DANCEFLOORS WITH THE BEAT<br /> BANGIN SO HARD IT GIVES YOUR CHEST A CONCUSSION !!!<br /> PLUSH DECOR WITH A CLASSY SETTING MAKES THIS THE MOST EXQUISITE NIGHTLIFE ATTRACTION<br /> <br /> THE VIP LOUNGE - AN INTIMATE ROOM FOR THOSE WHO PREFER PRIVACY. <br /> <br /> ______________________________________________<br /> <br /> COME SEE AND FEEL HAWAII'S HYPEST THURSDAY NIGHT !!!<br /> AND EXPERIENCE WHY IT'S VOTED HONOLULU'S HOTTEST PLACE TO BE SEEN FOR THE 18 &amp; OVER CROWD !!!",ZANZABAR NIGHTCLUB,"2255 KUHIO AVENUE, 1ST FLORR WAIKIKI TRADE CENTER",04/22/2010,12/27/2012,thirstythursdays2003@yahoo.com,http://www.rickrockproductions.com,RICK ROCK'S LEGENDARY THIRSTY THURSDAYS,(808) 699-9042,http://www.hawaiieventsonline.com/view.php?eventID=4664,
9:00pm - 2:30am,http://www.hawaiieventsonline.com/viewpic.php?id=17362,"IRIE Wednesdays COLLEGE NIGHT 2.0 every Wednesday Night at SHOOTERS Nightclub.<br /> <br /> DJ Climaxx &amp; DJ XTC Spinning hip-hop, top 40, reggae 9PM-2:30AM. 18+ Welcome. Ladies FREE before 10PM Complements of The Promoter",Shooters Nightclub,"121 Banyan Drive,  Hilo HI 96720",05/12/2010,04/20/2011,rrphawaii@aol.com,http://www.rrentertainment.com,COLLEGE NIGHT 2.0,(808) 934-9889,http://www.hawaiieventsonline.com/view.php?eventID=17362,$7
10:00pm - 2:00am,http://www.hawaiieventsonline.com/viewpic.php?id=17363,"Fluid Ultra Lounge Friday Nights at Ohana Grill Hilo.<br /> <br /> DJ Climaxx &amp; DJ June spinning hip-hop, Top 40 &amp; Old School Mashups. Doors open at 10PM. 21+ Stylish Dress Code In Effect.",Ohana Grill,"64 keawe St,  Hilo HI 96720",05/07/2010,04/29/2011,info@rrentertainment.com,http://www.rrentertainment.com,FLUID ULTRA LOUNGE,(808) 934-9889,http://www.hawaiieventsonline.com/view.php?eventID=17363,$7
5:15pm - 6:15pm,http://www.hawaiieventsonline.com/viewpic.php?id=10928,"Aikido classes with The Aikido Ohana at the Higashi Hongwanji Mission of Hawai'i. The Aikido Ohana is a 501c3 non-profit organization dedicated to the practice of Aikido in a friendly and open environment since 1981. The Aikido Ohana is affiliated with the Aikikai Foundation - Aikido World Headquarters in Tokyo, Japan. Information: Chris Li, 221-8656 or www.aikidoohana.org",Higashi Hongwanji Mission of Hawai'i,"1685 Alaneo Street,  Honolulu HI 96817-2915",05/07/2010,12/30/2011,chrisli@bridge1.com,http://www.aikidoohana.org/,Beginner's Aikido classes with The Aikido Ohana,(808) 221-8656,http://www.hawaiieventsonline.com/view.php?eventID=10928,$20/mo...
3:00pm - 6:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=11945,"Kama'aina surf lessons.  Board, leash, and rash guard included.  Bring the kids.  Sunscreen and swimsuit is all you need.",White Plains or Kaisers,"Coral Sea Rd. and Eisenhower Rd.  Kapolei, HI.",06/06/2010,12/04/2011,info@GirlsWhoSurf.com,http://www.GirlsWhoSurf.com,Girls Who Surf,(808) 371-8917,http://www.hawaiieventsonline.com/view.php?eventID=11945,$50/pe...
10:00am - 4:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=12749,"Mission Houses Museum - A National Historic Landmark.<br /> The Mission Houses Museum connects the story of the American Protestant missionaries and their descendants to the history and culture of Hawai'i, in order to give present generations of residents and visitors a deeper understanding of, and appreciation for, Hawai'i's rich and complex history.<br /> <br /> Come and pay us a visit at the Mission Houses Museum. You will have the opportunity to visit 3 of Hawai'i's Historical Houses built between 1821 - 1841. Go on a guided tour through these historical houses with our knowledgeable and trained docents and listen to the stories of events that occured in Hawai'i in the 19th century.",Mission Houses Museum,"553 S. King Street,  Honolulu, HI 96813",05/06/2010,12/29/2012,kraquedan@missionhouses.org,http://www.missionhouses.org,Mission Houses Museum,(808) 531-0481,http://www.hawaiieventsonline.com/view.php?eventID=12749,HOUSE ...
9:00pm - 11:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=13701,John Valentine performing &amp; hosting open mic. in Haleiwa. Enjoy live music &amp; if you have talent bring your instrument &amp; do a couple of tunes yourself or sit in with John.,Breakers Hawaii,"Haleiwa, HI",05/06/2010,09/22/2011,,http://www.johnvalentine.biz,Breakers Restaurant &amp; Bar,,http://www.hawaiieventsonline.com/view.php?eventID=13701,Free
6:00pm - 8:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=13968,"Ali Garcia Performs Music from Mexico, Central America, South America, and more. <br /> <br /> Mexico Restaurant was listed in the Honolulu Advertiser's 2007-2008 Best Restaurants Guide.<br /> <br /> http://the.honoluluadvertiser.com/specials/bestrestaurants07/restaurant?id=186",Mexico Restaurant,"1247 N. School Street,  Honolulu, HI 96817",05/06/2010,12/19/2013,aligarciamusic@aol.com,http://www.myspace.com/aligarciamusic,Acoustic Latin Music,(415) 418-4203,http://www.hawaiieventsonline.com/view.php?eventID=13968,Free
3:00pm - 7:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=16634,A variety of locally made products and locally grown fruits and vegetables.,one block ewa of Keeaumouku,"1391 Keeamouku St. Honolulu, HI 96814",05/07/2010,12/30/2011,dbhservices@live.com,,Hunter's Farmers Market,(808) 688-3425,http://www.hawaiieventsonline.com/view.php?eventID=16634,Free
10:00pm - 1:00am,http://www.hawaiieventsonline.com/viewpic.php?id=14055,"808-382-9495<br /> myspace.com/hawaii_usa<br /> <br /> Fan reviews:<br /> Joseph Martel, Editor <br /> Dancing in the Dark Magazine<br /> Arsenio The Band who was in full swing with four lady dancers dressed in yellow costumes gyrating to the tempo of the music. What a treat!<br /> <br /> <br /> More fabulous music with two female singers belting out familiar tunes that wowed the crowd.<br /> Even more fabulous music that hits the soul when Arsenio and band members sang.<br /> <br /> <br /> Then it was Hot Salsa time with a couple dancing some cool and flashy exhibition moves that excited the audience. Almost like watching Dancing With The Stars except it was fast and furious and a lot of continuous spinning for the lady dancer. Good showmanship and terrific dancing!<br /> <br /> <br /> Arsenio The Band closed the half hour show with one of his great renditions that brought thundering applauses from an appreciative audience. <br /> ______________________ <br /> *Live musical Bands, Still Photographer, Mobile DJ/ Karaoke DJ,                Pro Sounds Engineering, Emcee, Rentals, Hula, Salsa Dancers<br /> <br /> Experience Honolulu&rsquo;s most popular cover band, soloist &amp; cover musical bands. With musical experience spanning more than a decade, The band, continues to capture the hearts of many talent professional musicians and singers. With many years of experience performing live on stage, entertaining thousands of patrons at concerts, nightclubs, festivals, weddings, parties and etc&hellip;<br /> No other can surpass the charm and magnetism.  They have captured a wide audience through their high-energy stage performance, and a repertoire covering a wide variety of musical styles from JAZZ, R&amp;B and Contemporary &amp; more. They&rsquo;re secret? Undeniable love for music and the desire of delivering an exceptional performance to their audience.","Beeman's NightClub,","Pearl Harbor, HI",05/07/2010,07/23/2011,m.hawaii@att.net,http://www.myspace.com/hawaii_usa,Arsenio the band,(808) 382-9495,http://www.hawaiieventsonline.com/view.php?eventID=14055,Free
10:00am - 2:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=16633,A variety of locally made products and locally grown fruits and vegetables.,One block ewa of Keeaumouku St.,"1391 Kapiolani Blvd. Honolulu, HI 96814",05/13/2010,12/29/2011,dbhservices@live.com,,Hunter's Farmers Market,(808) 688-3425,http://www.hawaiieventsonline.com/view.php?eventID=16633,Free
8:00pm - 3:00am,http://www.hawaiieventsonline.com/viewpic.php?id=11826,"DJ Papi, DJ Ever &amp; DJ Don Armando, will take you through a salsa experience unlike any other that will have you grooving from the minute you walk in to the second you walk out. The best in Salsa, Merengue, Reggaeton, Bachata, Cha Cha Cha, Cumbia and more.",WAIKIKI TRADE CENTER / GROUND FLOOR,"2255 Kuhio Ave., Waikiki, HI",05/11/2010,10/22/2013,bamboleoentertainment@yahoo.com,http://www.myspace.com/bamboleoproductions,INTERNATIONAL SALSA NIGHT AT ZANZABAR NIGHT CLUB,(808) 294-1233,http://www.hawaiieventsonline.com/view.php?eventID=11826,$10 18...
9:00pm - 4:00am,http://www.hawaiieventsonline.com/viewpic.php?id=4664,"JOIN 102.7 DA BOMB &amp; RICK ROCK PRODUCTIONS FOR THE WILDEST, SEXIEST &amp; HOTTEST PARTY OF THE WEEK !!! THERE IS NO BIGGER PARTY THAN THIS MASSIVE !!! THE<br /> LEGENDARY THIRSTY THURSDAYS LIVE AT ZANZABAR !!!<br /> <br /> DON'T BE FOOLED BY IMITATORS, THIS IS THE REAL DEAL PARTY THAT HAS BEEN SOLD OUT EVERY WEEK SINCE LAST YEAR !!! JOIN RICK ROCK PRODUCTIONS AS WE COMBINE CLASS... AIR CONDITIONED COMFORT ... AND STYLE TO BRING YOU THE ULTRA PLUSH PARTY ATMOSPHERE !!!<br /> <br /> MORE FEATURES &amp; HIGHER STANDARDS THAN ANY OTHER 18+ NIGHTCLUB !!! <br /> ________________________________________________<br /> <br /> $2 DRINKS ALL NIGHT !!! $2 DRINKS ALL NIGHT !!!<br /> ________________________________________________<br /> <br /> THE INDUSTRY'S FINEST DJ'S JOIN FORCES TO ROCK THE BEST IN HIP HOP, R&amp;B, HOUSE &amp; CLUB HITS !<br /> <br /> RICK ROCK ( RICK ROCK PRODUCTIONS ) <br /> SAM THE MAN ( 102.7 DA BOMB ) <br /> RIC HAVOC ( 102.7 DA BOMB ) <br /> KOOL E ( 102.7 DA BOMB ) <br /> DJ WU CHANG ( ELITE ENTERTAINMENT ) <br /> G- MAN ( ZANZABAR ) <br /> MIKE GALMICHE ( PINEAPPLE TRACKS ) <br /> <br /> FEATURES TWO MASSIVE DANCEFLOORS WITH THE BEAT<br /> BANGIN SO HARD IT GIVES YOUR CHEST A CONCUSSION !!!<br /> PLUSH DECOR WITH A CLASSY SETTING MAKES THIS THE MOST EXQUISITE NIGHTLIFE ATTRACTION<br /> <br /> THE VIP LOUNGE - AN INTIMATE ROOM FOR THOSE WHO PREFER PRIVACY. <br /> <br /> ______________________________________________<br /> <br /> COME SEE AND FEEL HAWAII'S HYPEST THURSDAY NIGHT !!!<br /> AND EXPERIENCE WHY IT'S VOTED HONOLULU'S HOTTEST PLACE TO BE SEEN FOR THE 18 &amp; OVER CROWD !!!",ZANZABAR NIGHTCLUB,"2255 KUHIO AVENUE, 1ST FLORR WAIKIKI TRADE CENTER",05/06/2010,12/27/2012,thirstythursdays2003@yahoo.com,http://www.rickrockproductions.com,RICK ROCK'S LEGENDARY THIRSTY THURSDAYS,(808) 699-9042,http://www.hawaiieventsonline.com/view.php?eventID=4664,
6:00pm - 8:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=14394,<br />   <br />   <br />   <br />   <br />,Mexico Lindo  Restaurant,"600 Kailua Rd # 109  ,  (by Kailua Times Supermarket),  Kailua, HI 96734,  (808) 263-0055",05/09/2010,02/03/2013,aligarciamusic@aol.com,http://www.myspace.com/aligarciamusic,Live Latin Music- Mexico Lindo Kailua,(415) 418-4203,http://www.hawaiieventsonline.com/view.php?eventID=14394,Free
4:00pm - 10:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=13079,"Kenshikan Dojo: Budo (martial art) Classes<br /> <br /> Martial arts such as aikido, karate, kendo and more. Classes occur throughout the year. For more information, call the JCCH at (808) 945-7633, ext. 33 or email info@jcch.com.",Japanese Cultural Center of Hawai'i - Kenshikan Dojo,"2454 S. Beretania St.,  Honolulu, HI 96826",05/06/2010,11/29/2012,info@jcch.com,http://www.jcch.com,Martial Art Classes at the JCCH,(808) 945-7633,http://www.hawaiieventsonline.com/view.php?eventID=13079,Differ...
4:00pm - 10:00pm,http://www.hawaiieventsonline.com/viewpic.php?id=15416,"Taiko Center of the Pacific offers year-round public classes in TAIKO (Japanese drumming) for all ages and all skill levels. A complete art form for the mind, body, and spirit. CULTURAL, ATHLETIC, MUSICAL and FUN.",Kapiolani Community College,"4303 Diamond Head Road, Honolulu, HI 96816",05/07/2010,12/29/2013,info@taikoarts.com,http://www.taikoarts.com,TAIKO CLASSES,(808) 737-7236,http://www.hawaiieventsonline.com/view.php?eventID=15416,Cost v...
6:30pm - 7:30pm,http://www.hawaiieventsonline.com/viewpic.php?id=13942,,Aloha Activity Center,"725 Kapiolani Blvd. C101, HI",05/08/2010,12/28/2013,hawaiieventsonline@wannahula.com,http://www.WannaHula.com,FUN Hula &amp; Tahitian Lessons,(808) 677-7341,http://www.hawaiieventsonline.com/view.php?eventID=13942,See ht...
