time,description,venue,address,startDate,endDate,photos,title,website,phone,moreInfoLink,cost
6PM - 10PM,"No Biters Allowed  May 7 - 29, 2011    Opening reception:  May 7, 2011 from 6-10pm    In May, Crewest celebrates it's 9 Year Anniversary!    Being the first and longest running brick and mortar gallery in L.A. exclusively dedicated to graffiti we thought this show better be special.    We decided to put on a group show to not only inspire but also educate our viewers and followers about the historical contribution of some of these great graffiti artists from the West Coast.    &#8220;No Biters Allowed&#8221; is an exhibition featuring the work of artists who have been painting graffiti or active since the 1980&#8217;s and from the West Coast. These artists were pivotal in transforming the landscape of what graffiti and urban art is all about to us.    All these artists had their roots in graffiti painting and writing. Some of these artists have gone on to become fine artists, graphic designers, and self-employed owners of different companies. Others have chosen to work as mentors to young people by offering their graffiti creativity as a positive source of inspiration.    This exhibit will focus on the artwork old and new created by some of today&#8217;s most recognized street legends from that golden era.    Artists include:  ACME, AXIS, CHAZ BOJORQUEZ, CRE8, DEFER, ESTRIA, FEAR, HEAVEN, MANDOE, MAN ONE, MEAR, MURAL, NEON, NUKE, PANIC, PJAY, PRECISE, RELIK, RISKY, SACRED194, SINER, SLICK, STREET PHANTOM, TEMPT, VOGUE, VYAL, ZENDER...and a few other surprises to be announced!    *We will be hosting several artist talks and special events to coincide with this exhibition and our 9 Year Anniversary.",Crewest Gallery,"110 Winston St., Los Angeles, CA 90013",05/07/2011,,,NO BITERS ALLOWED,http://www.crewest.com,(213,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/c91b8d089660e75685257878000bc3df!OpenDocument,Free</font>
1 1/2hr,"ROB TROY and R.G. Present &quot;COMEDY HANGOVER&quot;   GET DRUNK with LAUGHTER...  Where:  Hollywood Improv  8162 Melrose Ave  Los Angeles, CA 90046  When:  Wednesday 06/29/11   8:00 PM  Ticket Price:  $14.00   (1/2 off with promo code EYESPY)  18 &amp; over  Two items minimum    Truly amazing show...in just the last few months...comedians who have appeared or dropped in to do a guest spot at the Hollywood Improv have been, Chris D'Elia, Bobby Lee, Bryan Callen, Bret Ernst, Daniel Tosh, Bill Burr, Sarah Silverman, Aziz Asnari, Nick Swardson, Dave Chappelle...MORE!",Hollywood Improv,"8162 Melrose Ave Los Angeles, CA 90046",06/29/2011,,,COMEDY HANGOVER (8),http://www.laughstub.com/buyTicket.cfm?showTimingID=79969&amp;choose=1,(323) 651-2583,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/fe0d0ebf862529788525787600741f02!OpenDocument,$14</font>
12-6pm,"Photographs by Martha Cooper  with Original remixes of these photographs in a range of media by Aeon, John Ahearn, Aiko, Bio, Nicer &amp; B-Gee, Blade, Blanco, Mark Bode, Burning Candy, Victor Castillo, Cey, Cekis, Claw, Cosbe, Crash, Dabs &amp; Myla, Anton van Dalen, Daze, Dearraindrop, Jane Dickson, Dr. Revolt, Shepard Fairey, Faust, Flying Fortress, Freedom, Fumakaka, Futura, Gaia, Grotesk, Logan Hicks, How &amp; Nosm, LA II, Lady Pink, Anthony Lister, The London Police, Mare 139, Barry McGee, Nazza Stencil, Nunca, José Parlá, Quik, Lee Quinones, Kenny Scharf, Sharp, Skewville, Chris Stain, Subway Art History, Swoon, T-Kid, Terror161 and more.    April 9 - May 7, 2011    Opening Reception April 9, 2011 6pm-8pm",Carmichael Gallery,"5795 Washington Blvd., Culver City, CA 90293",04/09/2011,05/07/2011,,MARTHA COOPER: REMIX,http://www.carmichaelgallery.com,323-939-0600,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/c1a2c1e580819c6f8525786300151ab7!OpenDocument,free</font>
8:30 PM to 10:30 PM,"Ultimate Laff-Down XXII starts Thursday, March 3, 2011 at Khoury's in Long Beach. 8:30 PM start     NEED CONTESTANTS     Go to this link for contest rules:  http://www.laffdown.com/rulesXXII.htm",Khoury's Restaurant,"110 N. Marina Drive, Long Beach, CA 90803",03/03/2011,07/07/2011,http://www.eyespyla.com/www/thebuzz.nsf/UltLaff2-200.jpg,ULTIMATE LAFF-DOWN XXII - COMEDY COMPETITION,http://www.laffdown.com,949-223-0298,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/c23ed5252605bca98525783e0061af94!OpenDocument,$7-$15 cover charges depending the contest round</font>
8 p.m. - 1a.m.,"RSVP asap at   rsvp@chocolatesundaes.com   or   Text Pookey Wigington at 310 600 7992 cell, space is limited.     Everyone is free on our guestlist    Guest list closes at 7:45p.m. &amp; 9:45p.m. sharp.    Show times are 8p.m. &amp; 10p.m. at the Laugh Factory.      Make sure all guest list submissions are in by 4p.m. Sunday.     Located at 8001 Sunset Blvd. in Hollywood.    Hope to see each and everyone of you this week. Same place, same time!",The Laugh Factory,8001 Sunset Blvd.,03/20/2011,07/20/2011,,CHOCOLATE SUNDAES COMEDY SHOW @ THE LAUGH FACTORY!,,310-600-7992</font>,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/cc305d2aad0e507e85257855005b7961!OpenDocument,
,"WHAT.: Weird On Top. Improvisational comedy troupe.  WHO: Kerr Seth Lordygan produces for The Eclectic Company Theatre.    WHEN: 8 P.M. on  July 15, August 12, September 23, October 21, November 11, December 9 , 2010 and January 20, February 17, March 1, April 21, May 12, June 9, July 7 and August 18, 2011.      	. Weird On Top, a favorite with local audiences, returns to The Eclectic Company Theatre by popular demand with more premium-grade improvisational comedy.   The players include Danielle Cintron, Tiffany Cole, Mason Hallberg, Kerr Seth Lordygan, Sarah McCann and Alex Sanborn.  	Be prepared for the bizarre, the unexpected, and the very, very funny.",,"5312 Laurel Canyon Blvd., Valley Village CA 91607",07/15/2010,08/18/2011,,WEIRD ON TOP,http://www.eclecticcompanytheatre.org,818-508-3003,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/73789500344ba1b585257747006be508!OpenDocument,$10</font>
11-5,"Lilacs Out of the Dead Land  Featuring works by:  Paul Torres, Casey Weldon, Richard J Frost,   Sinae Park, Lily Mae Martin, and Dylan Sisson     Opening Reception: Friday, April 1st, 2011 from 7-10pm  On View: April 1st &#8211; May 7th, 2011    Though it opens April 1st, WWA gallery&#8217;s upcoming show, Lilacs Out of the Dead Land, is seriously no joke.  Featuring works by Paul Torres, Casey Weldon, Richard J Frost, Sinae Park, Lily Mae Martin, and Dylan Sisson, Lilacs Out of the Dead Land unites six unique artists and visions in one show and exposes a fresh new field of talent not to be missed.    Lilacs Out of the Dead Land, a line taken from the T.S. Elliot poem, The Waste Land, evokes the imagery of new growth in an otherwise barren world, which is how the works of the contributing artists should be viewed. In an art world that can at times appear as a wasteland of creativity and freshness, these six artists are cultivating their own unique styles, which seek to move the conversation forward, not simply blend into the background.     Open to the public, the Lilacs Out of the Dead Land gallery reception is from 7 - 10pm on Friday, April 1st.  The exhibition will run until May 7th, 2011.",WWA gallery,"9517 Culver Blvd. Culver City, CA",04/01/2011,05/07/2011,,WWA GALLERY'S NEWEST SHOW LILACS OUT OF THE DEAD LAND,http://www.wwagallery.com,310 836 4992,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/0794fb498240d87085257862005fac20!OpenDocument,free open to the public</font>
By Appointment,"Over the last 30 years, David Goldner&#8217;s photographs have appeared on calendars, posters, record and magazine covers. Including Vanidades, Boulevard, Player's World and Playboy. In addition, David has photographed an impressive list of celebrities including; Renee Russo, Kim Bassenger, Demi Moore, Delta Burke, Cassandra Peterson and of course her alter ego, Elvira.     A successful commercial photographic artist, Mr. Goldner's evocative works pay homage to iconic photographer Francesco Scavullo and visionary painters Alberto Vargas and Patrick Nagel. Goldner fuses photography and painting to capture the essence of femininity and glamour. He continues to explore his subject on large archival canvas, now utilizing 3-D computer graphics for more discrete images.    The exhibit consists of several of the originals works which are reprinted in his recently published art book, &quot;Pixels, Pigments &amp; Paints.&quot;    The only public receptions will be on San Pedro's 1st Thursdays Art Walk Nights, April 7 &amp; May 5, 2011 from 7-11 PM, ADULTS ONLY, (18 and over) &quot;Pixels Pigments &amp; Paints&quot; can also be seen by appointment.      Park in the large city parking lot behind the Ramona Bakery at Pacific &amp; 11th Street. Enter Flazh!Alley from the alley, of course.",Flazh!Alley Art Studio,"1113 S. Pacific Ave., Suite B",03/28/2011,05/07/2011,http://www.eyespyla.com/www/thebuzz.nsf/flazhMarch200.jpg,&quot;PIXELS PIGMENTS &amp; PAINTS&quot; PHOTOGRAPHY &amp; OILS ON CANVAS BY DAVID GOLDNER,http://flazhalleystudio.com,310-833-3633,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/6126f6066597f5c28525784c008026d2!OpenDocument,Free</font>
9am-4:30pm,,Armstrong's,"150 E. 3rd St., Pomona, 91766",03/12/2011,05/07/2011,,CLARITY EXHIBITION,http://armstronggallery.net,909-623-6464,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/706f7868a47e313285257848007b87c2!OpenDocument,free and opento the public</font>
,"Tommy Davidson comes back to crack up Burbank on Feb 27, 2011 at 9pm. Tickets are $22 (including all taxes and service fees)   Tommy's career began in Washington DC, earning an ardent following via hard work in various comedy clubs. As one of the cutting-edge, young stand-ups, he was spotted by huge concert promoters, who booked him as the opening act for major touring acts including Patti LaBelle, Kenny G and Luther Vandross. It wasn´t long before he came to Hollywood performing stand-up at a number of clubs, including the Comedy Act Theatre, where he met Robert Townsend which led to his first national television appearance with a starring role in Partners in Crime. This was the conduit to Keenan Ivory Wayans, who proved instrumental in Davidson´s career by offering him an opportunity to audition and join the uniquely talented cast of the most adventurous primetime variety show of its day, In Living Color. He, Jamie Foxx, Jim Carrey and Damon Wayans made tv history with their originality.",,"Flappers Comedy Cub, 102 East Magnolia Blvd, Burbank, CA 91502",02/27/2011,08/27/2011,,TOMMY DAVIDSON ON FLAPPERS STAGE,http://www.FlappersComedy.com,818-845-9721,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/74a3f6842aa794f985257832006a5b37!OpenDocument,$22.00 (includes all taxes &amp; service fees)</font>
,"JAY PHILLIPS &amp; DC ERVIN keep it crackin' this Thursday night at the Comedy Store!!    CRACK'EM UP THURSDAY'S Comedy Show, showcasing some of the FLYEST and FUNNIEST comedians from around the world!! Two great shows in one night of up and coming comedians and top comedians as seen on HBO, Showtime, NBC, Comedy Central, MTV, STARZ, TV ONE, The Tonight Show, BET etc...    This weeks line-up to feature RON G, SMOKEY DEESE, SATARIUS PIERNAS,... BT KINGSLEY, ELIJAH HOWARD, MARCUS HAWKINS, JAMAL DOMAN &amp;...    Last weeks line-up included MALIK S, ALYCIA COOPER, ROBERT ZAPATA, GARRICK DIXON, JUSTIN HIRES, BIG DAVE, JEREMY SCIPPIO &amp; BRANDON BROADY.    FREE b4 9:30 on guestlist||$10 after 9:30pm  REPLY HERE OR TEXT 818-631-5434 for (after 930pm) $5 guestlist.     COMEDY STORE  Belly Room  8433 Sunset Blvd  W. Hollywood, CA 90069    Doors open at 9:00pm|| Showtime 9:30pm  2 drink min.  21 +      Produced by Nichelle Murdock, Fly Star Entertainment  Room manager, Uncle Levi  Sponsored by Norman Lewis Limousine 1-800-400-9771",,"8433 W. Sunset Blvd Los Angeles, CA 90069",12/16/2010,12/09/2011,,CRACK'EM UP THURSDAY'S - COME SEE THE FLYEST COMEDIANS IN THE COUNTRY!!,http://facebook.com/nichellemurdock,818-631-5434,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/f1c0c4c3f356e8be852577f2006ba5aa!OpenDocument,FREE B4 9:30pm w/RSVP or $10 at the door</font>
9 a.m. to 5 p.m,"The Arroyo Arts Collective presents For the Birds, a month long installation project on the grounds of the Audubon Center at Debs Park. For the Birds will treat visitors to a rare glimpse of an urban wildlife sanctuary, set in a Northeast Los Angeles neighborhood that has long been a haven for artists. This collaboration between two sets of &#8220;rare birds&#8221; allows a time for quiet reflection on the fragile ecosystems that surround both. Exploring a wide range of themes related to local birds, artists will construct temporary installations in the parkland of the Center, a haven for nearly 140 bird species. Visitors will enjoy a unique blend of art and nature as they follow trail maps to the installation sites. A gallery show of bird related artwork by Arroyo Arts Collective members will be exhibited inside the Center and auctioned to benefit the Audubon Center at the closing reception on May 7, from 2 to 5 p.m., with music by the band, Artichoke. In addition to the Opening and Closing Receptions, For the Birds features three Saturday activities for families: Paper Bag Puppet Making, on April 16, from 2 to 4 p.m., a bilingual Bird walk on April 23, at 9 a.m. and Conservation and Conversations, featuring conversations with the artists and an opportunity to help with habitat restoration in the park, on April 30 at 10 a.m. The Audubon Center is located at 4700 North Griffin Avenue, Los Angeles, CA 90031. Information at ArroyoArtsCollective.org or by voice mail at 323-850-8566. This event is free and open to the public.",Audubon Center at Debs Park,"4700 North Griffin Avenue, Los Angeles, CA 90031",04/09/2011,05/07/2011,,THE ARROYO ARTS COLLECTIVE PRESENTS: FOR THE BIRDS,http://www.ArroyoArtsCollective.org,(323) 850-8566,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/a352291f2e4ecd658525784700059298!OpenDocument,free and open to the public</font>
last Sunday of every month at 5pm,"Flappers Comedy Club is proud to present Old Fart Funnies! Come to Flappers Comedy Club the last Sunday of every month for an evening of fun and food for the wise in years yet young at heart. We offer an inspiring and uplifting show with comedians that appeal to a 55 and over crowd.  Join us for our Grand Opening Show April 24th, Easter Sunday. The shows start at 5pm. Come hungry! We are offering Senior food specials, such as Spaghetti Sunday Dinner - a Salad, Plate of Pasta and Garlic Bread for only $9.99! (Tax included. Drinks and gratuity not included.) We also have a full menu of tasty food and delicious drinks to choose from. Flappers Comedy Club is handicap accessible with free parking nearby, and we will happily try to accommodate special needs. Call any time with questions. All ages welcome. We hope to make you laugh soon!",Flappers Comedy Club,"Flappers Comedy Club- 102 E. Magnolia Blvd-Burbank, CA 91502",04/24/2011,12/25/2011,,OLD FART FUNNIES- THIS AIN&#8217;T YOUR GRANDKIDS&#8217; COMEDY NIGHT!,http://www.flapperscomedy.com,8188459721,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/824fb93cfc67afbd85257869000c69db!OpenDocument,$20.00 gen. admission- Seniors get 50% discount-$10.- does not include gratuity &amp; drinks-2 drink min.</font>
,"Filipowski hosts LA's hottest up and coming comedians with special guest headliners at this UCLA fave.    Recent Guests include: Robbie Pickard, Justin Hires, Amy Cheapo, Justine Marino, Ali Breen, Dustin Hempstead, David Forseth, Hasan Minhaj, Rajan Dharni, Brian Moote, Jeff Dye, Adam Hunter, Mike Tsirklin and more      Suggested donation $5. No drink min, but please buy a drink or 7!    Every Monday 10PM Upstairs  www.LIKE2LAUGH.com",,"1097 Glendon Ave, Los Angeles, CA 90024",07/22/2010,12/20/2012,,WESTWOOD BREWING COMEDY MONDAYS,http://www.LIKE2LAUGH.com,(310) 824-0820,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/7a8142544d61047b85257769007da391!OpenDocument,"FREE, Tips appreciated</font>"
,"Step over the line and enter a space created by Los Angeles-based furniture designer Tanya Aguiñiga. In her new site-specific installation, Aguiñiga uses weaving techniques she learned in Chiapas, Mexico to create a sweeping three-dimensional environment crafted entirely from yarn and custom-built furniture. Drawing on her experience growing up on the US/Mexico border, the exhibition considers how physical borders and cultural boundaries are traversed everyday in an interconnected world. Visitors will also be invited to add their own weavings to the installation.",at Curson,"5814 Wilshire Boulevard  Los Angeles, CA 90036",01/23/2011,05/08/2011,,CROSSING THE LINE: A SPACE BY TANYA AGUIÑIGA,http://www.cafam.org,323-937-4230,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/b13d431982f95b088525780000005689!OpenDocument,"General admission $10, Members free</font>"
,"Muy Funny Mondays at The Laugh Factory is Muy Caliente! Join us every week for some Latin flavored humor with host Joey Medina as some of the most promising comedians entertain audiences and not only keep the tradition alive, but keep it as funny as it has been for the past 19 years. It's no surprise that Latino Night has become one of the biggest legacies amongst all the great comedy shows at the Laugh Factory. Every Monday at 8:00PM, the Laugh Factory showcases some of the funniest comedians on the circuit today. Special guests have included Carlos Mencia and former host Paul Rodriguez     Laugh Factory   8001 Sunset Blvd   Hollywood CA 90046     Every Monday Night - 8:00 PM (7:30 PM DOORS OPEN)     Show is 18 and over     Free tickets for eyespyla.com readers, by emailing Joeymedina@aol.com the following:  Date you want to attend, first and last name, and how many people over 21 in your party.",,Laugh Factory  8001 Sunset Blvd  Hollywood CA 90046,<br> Day(s): Monday<br> Address: Laugh Factory8001 Sunset Blvd  Hollywood CA 90046,,,MUY FUNNY MONDAYS AT LAUGH FACTORY,http://www.laughfactory.com,,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/bce035e0f2996b0f852577fe007e0589!OpenDocument,$20.00</font>
,"THE COMPLETELY DIFFERENT LATE SHOW - Fridays @ 10pm  	  Hilarity knows no hours! The Completely Different Late Show features your favorite Groundlings Main Company Members performing in an all-improv show! Every week is completely new, completely ridiculous, and completely different!     Directed By:  Karen Maruyama     Starring:  Members of the Groundlings Main Company     Ticketing:  At the Door: $11.00  Presale: $10.00  Groundlings Student: $5.00",,"7307 Melrose Avenue, Los Angeles, 90046","<br> Day(s): Friday<br> Address:7307 Melrose Avenue, Los Angeles, 90046",,,THE GROUNDLINGS - THE COMPLETELY DIFFERENT LATE SHOW,http://www.groundlings.com/start.htm,323-934-4747,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/9fcfb654a39f954585257735006cb47e!OpenDocument,$11.00</font>
,"Artist-designers Evelyn and Jerome Ackerman brought beautiful and affordable home accessories to a rapidly expanding post-World War II California population. Ranging from tapestries and mosaics to ceramics and metalwork, this exhibition is a testament to the husband-and-wife team whose 62-year marriage spawned a prolific creative collaboration that defined an era of modern design. A true marriage of craft and design, the Ackermans&#8217; timeless works continue to be a vital part of California&#8217;s distinct modern aesthetic.",at Curson,"5814 Wilshire Boulevard  Los Angeles, CA 90036",01/23/2011,05/08/2011,,A MARRIAGE OF CRAFT AND DESIGN: THE WORK OF EVELYN AND JEROME ACKERMAN CURATED BY DALE CAROLYN GLUCKMAN AND JO LAURIA,http://www.cafam.org,323-937-4230,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/fc995f150cbad0ba852578000000245e!OpenDocument,"General admission $10, Members free</font>"
,"Since 1992 The Groundlings Main Company, Alumni and Sunday Companies have played together every Thursday night in the all-improv explosion that has become almost as much of an institution as the Groundlings Theatre itself! Based entirely on audience suggestions, the comic daredevils invent custom-made satire and song. Each week features a new surprise guest.        Ticketing:  At the Door: $18.00  Presale: $17.00  Groundlings Student: $9.50",,"7307 Melrose Avenue, Los Angeles, 90046","<br> Day(s): Thursday<br> Address:7307 Melrose Avenue, Los Angeles, 90046",,,THE GROUNDLINGS - COOKIN' WITH GAS,http://www.groundlings.com/start.htm,323-934-4747,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/8bd7ba8df1f8cab685257735006c7741!OpenDocument,$18.00</font>
,"THE LOST TOMB OF KING SUNDAY - Sundays @ 7:30pm  	  As the pinnacle of the Groundlings School, the Groundlings Sunday Company puts forth new sketches every week in this refreshing show. It's a fun cast, brimming with new talent and directed by Jordan Black. As an added bonus, each show closes with an improv set, featuring all of the actors seen throughout the evening.     Directed By:  Jordan Black     Starring:  Jillian Bell, Tom Blank, Joe Boothe, Andrea Cansler, Paula Christensen, Laurel Coppock, Fortune Feimster, Jeff Galante, Greg Roman, Joe Rowley, and Greg Worswick     Ticketing:  At the Door: $16.50  Presale: $14.00  Groundlings Student: $8.75",,"7307 Melrose Avenue, Los Angeles, 90046","<br> Day(s): Sunday<br> Address:7307 Melrose Avenue, Los Angeles, 90046",,,THE GROUNDLINGS -THE LOST TOMB OF KING SUNDAY,http://www.groundlings.com/start.htm,323-934-4747,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/0cbf31ae01d23e1485257735006c303c!OpenDocument,"$16.50 -tickets at the door, $14.00 pre-sale</font>"
,"The Groundlings International Airport:    Online Special - $16.50 | Tickets at the door - $18    Cast: Scott Beehner, Mikey Day, Andrew Friedman, Damon Jones, Kevin Kirkpatrick, Laird Macintosh, Michael Naughton, Charlotte Newhouse, Michaela Watkins     Directed By: Karen Maruyama    A sketch comedy show packed with laughs. The legendary Groundlings theater troupe has unveiled its newest and greatest main stage show.   It&#8217;s an evening of sketches and improvisation, always unpredictable and always hilarious.",,"7307 Melrose Avenue, Los Angeles, 90046","<br> Day(s): Friday Saturday<br> Address:7307 Melrose Avenue, Los Angeles, 90046",,,THE GROUNDLINGS INTERNATIONAL AIRPORT,http://www.groundlings.com/start.htm,323-934-4747,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/24a44c5a03c98f0285257735006bc015!OpenDocument,$16.50 -tickets at the door $18.00</font>
,"Tickets are $14 at the door!  Buy your tickets online or call 323-934-4747 before 6:30pm and get $11 tickets.    Come and see one of L.A.'s longest running long-form improvisation shows! Watch as our Groundlings Players begin with three suggestions from the crowd, and then proceed to weave the stories together, travelling back and forth through time, playing different characters in many different situations. To add to that, they keep it up for an uncanny 40 minutes straight, and after a brief intermission, they come back and do it all over again with three new suggestions!!!",,"7307 Melrose Avenue, Los Angeles, 90046","<br> Day(s): Wednesday<br> Address:7307 Melrose Avenue, Los Angeles, 90046",,,THE GROUNDLINGS -CRAZY UNCLE JOE SHOW,http://www.groundlings.com/start.htm,323-934-4747,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/53f1cf5872dd54538525773500686d12!OpenDocument,$14 at the door</font>
,"Stage time for comedians every Tuesday, sign up at 8pm and there is a lottery drawing for order of appearence. This is a very supportive and loving comedy community",,"2029 North Lake Ave. Altadena, 91001","<br> Day(s): Tuesday<br> Address:2029 North Lake Ave. Altadena, 91001",,,COMEDY OPEN MIC,http://www.funkylittlecoffeehouse.com,626 398-7917,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/37dcad29b49fa0878525766b00814b8a!OpenDocument,$0.00</font>
,"Original Saturday Night Live cast member and comedy legend Garrett Morris presents The Downtown Comedy Club. This is downtown L.A.'s first  comedy club.    Located in the heart of historic Gallery Row, every Friday and Saturday night, The Downtown Comedy Club brings you the best in standup comedy.    Main shows every Friday and Saturday nights at 9PM.  Open mic every Friday and Saturday at 8PM.",,114 W. 5th Street L.A. 90013,<br> Day(s): Friday Saturday Sunday<br> Address:114 W. 5th Street L.A. 90013,,,SNL'S GARRETT MORRIS PRESENTS THE DOWNTOWN COMEDY CLUB,http://www.downtowncomedyclub.com,213-841-3940,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/67b2d0534546fc0d852576340008bdfb!OpenDocument,varies</font>
5-7pm,"If you have completed training at an improv school and are in between shows and looking for a way to keep your improv muscles in shape, Westside Eclectic Improv Workout Group is for you!    Our Improv Workout Groups include improv games, exercises, scene work and all the FUNdamentals of long-form improvisation. Our Workout Groups are not classes, they are very simply improv workout sessions.      Availability: 	OPEN TO ANYONE WHO HAS COMPLETED TRAINING AT AN IMPROV SCHOOL   Days: 		Tuesdays   Time: 		5-7pm  Price: 		$15 per workout session - cash only please!    Location: 	Westside Eclectic Theatre 1323-A 3rd St. Promenade, Santa Monica, CA 90401  Note: 	No need to register online. This is a drop in workout group. Pay as you go. Cash only please!",,"1323-A 3rd Street Promenade, Santa Monica, CA  90401","<br> Day(s): Tuesday<br> Address:1323-A 3rd Street Promenade, Santa Monica, CA  90401",,,IMPROV COMEDY WORKOUT GROUP,http://www.westsideeclectic.com,310-451-0850,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/1f82fda15a52a6fb8525756f0008d922!OpenDocument,$15.00</font>
,Free  Every Thursday  Stand Up comedy OPEN MIC  7pm sign up 8pm show  Comics get 6 minutes  audiences can laugh and drink tea/coffee/you get the point,,"5625 Hollywood Blvd, Hollywood, CA, 90028",<br> Day(s):4-Thursday,,,ROCK STAR COMEDY AT CAFE SABOR Y CULTURA,,(323) 466-0481</font>,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/fe25c65904fd692485257499002c6e2c!OpenDocument,
,"Upscale Comedy Club Full bar &amp; Restaurant     J. Anthony Brown &amp; Friends -Wednesday Nights   Thursday Nights - Comedy   Friday Nights - Ron G. / Grady  Saturday Night  - Derrick Ellis &amp; Friends     Wednesday, Thursday $10.00 after 8:30p.m.     Friday &amp; Saturday  $10 before 8:30 and $15 after 8:30p.m. www.thejspotcomedyclub.ecom For Reservations leave your name, telephone number &amp; how many are in your party.http://www.thejspot.tv/     Come in and Register to win a $100 gas card on Wednesday night when you leave your name and e-mail plus10 friends e-mail. Winner will be notified via e-mail.    ALL MAJOR CREDIT CARDS ACCEPTED     COME CELEBRATE YOUR BIRTHDAY, ANNIVERSARY, BRING OUT OF TOWN FAMILY &amp; FRIENDS TO THE J SPOT COMEDY CLUB. FULL BAR &amp; RESTAURANT, MENU IS AVAILABLE ON THE WEBSITE www.thejspotcomedyclub.com      J SPOT COMEDY CLUB  5581 W. MANCHESTER AVE.  LOSANGELES, CA 90045  (310)337-9057    Ages 21+    RSVP RECOMMENDED DOORS OPEN AT 7:00PM SHOWTIME 8:30PM 2nd level above Subway Restaurant Manchester &amp; Aviation / Nearest Cross Street",,"5581 W. Manchester Ave., Los Angeles, CA   90045",<br> Day(s):3-Wednesday 4-Thursday 5-Friday 6-Saturday 7-Sunday,,,J SPOT COMEDY CLUB,http://www.janthonybrown.com,(310)337-9057</font>,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/75a4eb1a628fda0685257486001587ab!OpenDocument,
,"The Upright Citizens Brigade Theatre is the home for all things comedy in Los Angeles. We have affordable, high quality shows seven nights a week.  All shows are $8, $5 or FREE and all shows are ALL AGES.      See improv, sketch and stand-up from today's comedy greats and tomorrow's innovators including Amy Poehler, Patton Oswalt, Bob Odenkirk, Sarah Silverman, Mary Lynn Rajskub, Rob Corddry and Ed Helms.    We also run one of the largest and most respected improv schools in the country.  Our students have gone on to write and perform for Saturday Night Live, The Daily Show, Late Night with Conan O'Brien, Best Week Ever, Ellen and many more.    Voted &quot;Best Improv&quot;  by Los Angeles Magazine",,"5919 Franklin Avenue, Hollywood, 90028",<br> Day(s):1-Monday 2-Tuesday 3-Wednesday 4-Thursday 5-Friday 6-Saturday 7-Sunday,,http://www.eyespyla.com/www/thebuzz.nsf/uprighcitbt_la.jpg,UPRIGHT CITIZENS BRIGADE THEATRE,http://www.ucbtheatre.com,323.908.8702</font>,http://www.eyespyla.com/www/thebuzz.nsf/6d70423f8dab5d0e88256e3c0051b8c4/ecedd449e9b438fb8625731700238bae!OpenDocument,
