description,address,startDate,image,longitude,title,moreInfoLink,latitude
,Gallery Q,09/1/2010,,-81.3647,&quot;Hip 2 B Square&quot;,http://theguide.orlandosentinel.com/orlando-market/art/gallery/hip-2-b-square-gallery-q-orlando-gallery-exhibit,28.5582
,Sara Fox Gallery House,09/7/2010,,-81.0144,&quot;The Holocaust Exhibit: A Tribute to My Parents&quot;,http://theguide.orlandosentinel.com/orlando-market/art/gallery/the-holocaust-exhibit-a-tribute-to-my-parents-sara-fox-gallery-house-daytona-beach-gallery-exhibit,29.2268
<p>photography by Bastienne Schmidt</p>,Southeast Museum of Photography,09/4/2010,,-81.0228,&quot;Home Stills&quot;,http://theguide.orlandosentinel.com/daytona-beach/art/museum/home-stills-southeast-museum-of-photography-daytona-beach-museum-exhibit,29.2108
,Gateway Center for the Arts,09/12/2010,,-79.3852,&quot;The Human Touch&quot;,http://theguide.orlandosentinel.com/na/art/gallery/the-human-touch-gateway-center-for-the-arts-debary-gallery-exhibit,33.2078
"<p>If you give a&hellip;Mouse a Cookie, a Moose a Muffin, a Cat a Cupcake and a  Pig A Party! This fun-filled week will bring these great stories to life  as we create a show using all of our favorite characters from these  stories.</p>",YMCA Aquatic Center,08/17/2010,,-81.4733,If You Give a Cat a Cupcake &amp; More,http://theguide.orlandosentinel.com/dr-phillips/camp/half-day/if-you-give-a-cat-a-cupcake-and-more-ymca-aquatic-center-camp,28.4428
<p>Botanical illustrations by Blanche Ames Ames and Marion Ruff Sheehan</p>,Florida Museum for Women Artists,08/17/2010,,-81.3038,&quot;Illustrating Orchids&quot;,http://theguide.orlandosentinel.com/deland/art/museum/illustrating-orchids-florida-museum-for-women-artists-museum-exhibit,29.0282
<p>works by Kenneth Harris</p>,African American Museum of the Arts,08/17/2010,,-81.3069,&quot;Island Xpressions&quot;,http://theguide.orlandosentinel.com/orlando-market/art/museum/island-xpressions-african-american-museum-of-the-arts-deland-museum-exhibit,29.0238
,Mennello Museum of American Art,08/17/2010,,-81.367,&quot;John Grabach and Henry Gasser: Teacher and Student&quot;,http://theguide.orlandosentinel.com/na/art/museum/john-grabach-and-henry-gasser-teacher-and-mennello-museum-of-american-art-orlando-museum-exhibit,28.5702
"<p>""Artists and Authors"" series dinner and discussion with the former CIA operatives and authors of <em>Spy Dust</em></p>",Orange County Regional History Center,08/26/2010,,-81.3779,Jonna and Tony Mendez,http://theguide.orlandosentinel.com/downtown-orlando/art/literature-poetry/jonna-and-tony-mendez-orange-county-regional-history-center-orlando-literature-event,28.5428
"The journal writing group will discuss ideas, conduct exercises and provide encouragement.",Borders Books & Music,08/18/2010,,-81.4722,Journal Writing Group,http://theguide.orlandosentinel.com/international-drive/art/literature-poetry/journal-writing-group-literature-event,28.45
,Osceola Center for the Arts,08/17/2010,,-81.3451,Juried Drawing Show,http://theguide.orlandosentinel.com/kissimmee-old-town/art/gallery/juried-drawing-show-osceola-center-for-the-arts-kissimmee-gallery-exhibit,28.282
,Arts on Douglas,08/17/2010,,-80.9208,&quot;Knock on Wood: Contemporary Wood Sculpture &amp; Furniture&quot;,http://theguide.orlandosentinel.com/orlando-market/art/gallery/knock-on-wood-contemporary-wood-sculpture-and-arts-on-douglas-new-smyrna-beach-gallery-exhibit,29.0233
,Orlando Museum of Art,08/17/2010,,-81.3651,&quot;Knuffle Funny: The Art and Whimsy of Mo Willems&quot;,http://theguide.orlandosentinel.com/na/art/museum/knuffle-funny-the-art-and-whimsy-of-mo-willems-orlando-museum-of-art-orlando-museum-exhibit,28.5727
<p><span>Summer Camp - June 10th - August 20th<br />2 to 3 Field Trips per  Week!</span></p>,La Petite Academy,08/17/2010,,-81.4059,La Petite Academy Summer Camp,http://theguide.orlandosentinel.com/orlando/camp/computer/la-petite-academy-summer-camp,28.3563
,Artisans on Fifth,08/23/2010,,-81.644,Late Summer/Early Fall Gallery Session,http://theguide.orlandosentinel.com/orlando-market/art/gallery/late-summer-early-fall-gallery-session-artisans-on-fifth-mount-dora-gallery-exhibit,28.8004
<p><span>Early drop off and late pick up available.</span></p>  <p>&nbsp;</p>  <p>Come and Join us to Learn Gymnastics and fun! -2 KIDS FOR THE PRICE OF ONE! Relative or just a friend - Join today to reserve your spot!</p>,Legacy Gymnastics,,,-81.3545,Legacy's Gymnastics Summer Camp,http://theguide.orlandosentinel.com/maitland/camp/sports-and-athletic/legacys-gymnastics-summer-camp,28.6463
The local art display can be viewed on the sidewalk between Oval on Orange Gallery and Avalon Gallery during the third Thursday of the month.  The artists will be collecting canned food for the Orlando Union Rescue Mission.,Downtown Orlando,08/19/2010,,-81.3789,Live Art Free,http://theguide.orlandosentinel.com/downtown-orlando/art/art/live-art-free-gallery-exhibit,28.5384
,Polk Museum of Art,08/17/2010,,-81.9485,&quot;Lois Mailou Jones: A Life in Vibrant Color&quot;,http://theguide.orlandosentinel.com/na/art/museum/lois-mailou-jones-a-life-in-vibrant-color-polk-museum-of-art-lakeland-museum-exhibit,28.0372
,Alice and William Jenkins Gallery at Crealde School of Art,08/17/2010,,-81.3216,&quot;Lyrical Harmonies: Landscape Paintings&quot;,http://theguide.orlandosentinel.com/na/art/gallery/lyrical-harmonies-landscape-paintings-alice-and-william-jenkins-winter-park-gallery-exhibit,28.6035
,Cornell Fine Arts Museum at Rollins College,09/11/2010,,-81.3507,&quot;MASTER/Plan: Visionary Architects and Their Utopian Worlds&quot;,http://theguide.orlandosentinel.com/rollins/art/gallery/master-plan-visionary-cornell-fine-arts-museum-at-rollins-college-winter-park-gallery-exhibit,28.5932
,Creative Spirit Gallery,08/17/2010,,-81.3272,&quot;Mechanized Underground&quot;,http://theguide.orlandosentinel.com/orlando/art/gallery/mechanized-underground-creative-spirit-gallery-exhibit,28.5554
<p>For students entering grades 3 - 5. Registration forms can be found on  our website. Camps fill up quickly.</p>  <p><span>Extended Day is available from 2:00pm - 5:30pm for an additional  charge per week.</span></p>  <p>&nbsp;</p>,Orlando Repertory Theatre,,,-81.3655,"Mischief, Magic, and Muggles with Harry Potter (B)",http://theguide.orlandosentinel.com/orlando/camp/arts/mischief-magic-and-muggles-with-harry-potter-b-orlando-repertory-theatre-camp,28.5704
"<p>A survey of works by some of the more familiar names in the museum's collection. Artists such as Arshile Gorky, Robert Rauschenberg, Pablo Picasso, Marc Chagall, Barbara Kruger, Alexander Calder, and Judy Chicago will be represented in this exhibition.</p>",Polk Museum of Art,08/17/2010,,-81.9485,&quot;Modern Masters&quot;,http://theguide.orlandosentinel.com/na/art/museum/modern-masters-polk-museum-of-art-lakeland-museum-exhibit,28.0372
,Barnes & Noble,08/23/2010,,-81.2052,Monday Night Writers,http://theguide.orlandosentinel.com/waterford-lakes/art/literature-poetry/monday-night-writers-literature-event,28.553
The Mount Dora Art League meeting will include a sculpture demonstration by Steve Piscitelli.,W.T. Bland Public Library,08/21/2010,,-81.6449,Mount Dora Art League Meeting,http://theguide.orlandosentinel.com/mount-dora/art/gallery/mount-dora-art-league-meeting-gallery-exhibit,28.8142
"<p>My Art Studio presents Creative Cultures of the World 2010!!  Join us this summer as our campers have a chance to immerse themselves  in cultures from around the world.  As they globe trot they'll be  painting like the Renaissance artists from the UK, sculpting Grecian  Vases, building Native American Totem Poles, creating Chinese Dragons,  re-creating Aborigine Stone Art and building Giant Pyramids along the  Nile.  The exploration of each culture will be done through the use of  various art mediums and the study of each cultures' art, customs,  language and architecture.    Add in great field trips and some fun free time where kids can just be  kids and you've got a great summer!!  Join Us!</p>  <p><span>Before and After-care available!!!</span></p>",My Art Studio,,,-81.3308,My Art Studio,http://theguide.orlandosentinel.com/orlando/camp/camp-type/my-art-studio-camp,28.554
<p>works by Heidi Kneisl</p>,Pom Pom's Teahouse & Sandwicheria,08/17/2010,,-81.3792,&quot;The Naysayer&quot;,http://theguide.orlandosentinel.com/downtown-orlando/art/gallery/the-naysayer-pom-poms-teahouse-and-sandwicheria-orlando-gallery-exhibit,28.5383
<p>reading by the poet and author of <em>Blues: For All the Changes</em></p>,Central Florida Community College,09/9/2010,,-82.1791,Nikki Giovanni,http://theguide.orlandosentinel.com/north-florida/art/literature-poetry/nikki-giovanni-central-florida-community-college-ocala-literature-event,29.1662
"<p>This new vignette-adapted from a 1974 original that Jeannette Genius McKean (1909-89) installed at The Center Street Gallery in Winter Park- is planned around a mid-19th-century iron bed. The black bed, one of a pair from the museum's collection, is decorated with abalone shell flowers and birds and an intricate border pattern of both abalone shell and paint. This romantic room will also include a lithograph by Alphonse Mucha (1860-1939), paintings by both Jeannette and Hugh F. McKean (1908-95), a floral textile by Ava Maxwell, and a pair of Tiffany blown-glass candle lamps, c. 1905, that were a wedding gift to Jeannette's mother, Elizabeth Morse Genius (1872-1928). Mrs. McKean, the museum's founder and an accomplished artist and interior designer, created many vignettes for exhibit over the course of her career, and this particular installation pays homage to her love of this form of expression. These themed interior scenes developed from objects in the collection are now a fond tradition at the Morse and a unique and popular exhibit with visitors.</p>",Morse Museum of American Art,08/19/2010,,-81.3512,&quot;The Now and Then Room&quot;,http://theguide.orlandosentinel.com/na/art/museum/the-now-and-then-room-morse-museum-of-american-art-winter-park-museum-exhibit,28.601
"<p>It's too much poetry for one host! Tod Caviness will trade off hosting duties with the esteemed Darlyn Finch, with Tod taking the reins for the first night. After that, the night becomes a lumbering schizophrenic maniac! Will it be Darlyn this week? Tod? BOTH? Gamble amongst yourselves. It's uncensored, unfiltered, and Tod would certainly not be within miles of this place if they didn't have great beer. Buy some.</p>",Urban Think! Bookstore,08/18/2010,,-81.3695,Open Mic Night,http://theguide.orlandosentinel.com/downtown-orlando/art/literature-poetry/open-mic-night-literature-event,28.5423
,McRae Art Studios,08/25/2010,,-81.3595,Open Studio Night,http://theguide.orlandosentinel.com/winter-park/art/gallery/open-studio-night-mcrae-art-studios-gallery-exhibit,28.6054
"<p>Tour Orlando through the lens of Central Florida fine art photographer  Barbara Ery. This collection of 30 photo transfers highlights landmark  buildings and signs such as the Mt. Vernon Hotel, The Plaza Theatre, the  Johnson&rsquo;s Diner sign, the McNamara Pontiac sign, and more.</p>",Orange County Regional History Center,08/17/2010,,-81.3792,Orlando Landmarks: Photo Transfers by Barbara Ery,http://theguide.orlandosentinel.com/downtown-orlando/art/museum/orlando-landmarks-photo-transfers-by-orange-county-regional-history-center-orlando-museum-exhibit,28.5383
,Hand Art Center,08/27/2010,,-81.3035,&quot;Oscar Bluemner: 'The Vermillionaire' in Black and White&quot;,http://theguide.orlandosentinel.com/orlando-market/art/gallery/oscar-bluemner-the-vermillionaire-in-black-and-white-hand-art-center-deland-gallery-exhibit,29.0354
A book group session.,,08/24/2010,,-81.6443,Other Book Group,http://theguide.orlandosentinel.com/na/art/literature-poetry/other-book-group-literature-event,28.7998
,Winter Park Welcome Center,08/17/2010,,-81.3434,&quot;Paint Out Exhibit&quot;,http://theguide.orlandosentinel.com/na/art/museum/paint-out-exhibit-albin-polasek-museum-and-sculpture-gardens-winter-park-museum-exhibit,28.5965
,Central Park,08/26/2010,,-81.3239,Paint the Town,http://theguide.orlandosentinel.com/lake-mary/art/gallery/paint-the-town-gallery-exhibit-1,28.7583
The paleoquest education class meets every Monday evening.,Seminole County Library Central Branch,08/23/2010,,-81.3371,Paleoquest,http://theguide.orlandosentinel.com/casselberry/art/science/paleoquest-gallery-exhibit,28.6599
<p>works by Ten Women in Art</p>,Seminole State College of Florida Fine Arts Gallery,09/2/2010,,-81.3056,&quot;Personal Baggage&quot;,http://theguide.orlandosentinel.com/orlando-market/art/gallery/personal-baggage-seminole-state-college-of-florida-fine-arts-gallery-sanford-gallery-exhibit,28.745
<p>photography by Donna Palmer Oldham</p>,The Casements,08/17/2010,,-81.046,&quot;Perspectives&quot;,http://theguide.orlandosentinel.com/orlando-market/art/gallery/perspectives-the-casements-ormond-beach-gallery-exhibit,29.2877
<p>Opening reception with the artist</p>,Artistree Co-op,08/19/2010,,-81.3897,Photographs by Claudia Wickham,http://theguide.orlandosentinel.com/college-park/art/gallery/photographs-by-claudia-wickham-artistree-co-op-orlando-gallery-exhibit,28.5658
,Gateway Center for the Arts,08/27/2010,,-79.3852,Poetry at the Gallery,http://theguide.orlandosentinel.com/na/art/literature-poetry/poetry-at-the-gallery-gateway-center-for-the-arts-debary-literature-event,33.2078
<p>Artistic expressions are not limited to musical talents.&nbsp; Many local artists express their talents by the written and spoken word. Bring your pen and paper to share your inspirations. Not a poet?&nbsp;Poetry and open mic night&nbsp;is also for those looking for inspiration.</p>,Cup O’ Soul French Press Café,08/17/2010,,-81.3581,Poetry Night,http://theguide.orlandosentinel.com/winter-park/bars-and-clubs/bars-clubs/poetry-night-winter-park-bar-club-event,28.592
"<p>Featuring local artists Jon Didier, Adrian Gonzalez,  and Will Sclater from 7-11pm on Friday, August 20, 2010. All three  artists share a common interest in getting back to the &ldquo;roots&rdquo; of  printmaking as illustrated through their gritty techniques as well as  through the content of their imagery which are both surrealistic and  satirical. In addition to etchings, ink drawings and mixed media works  will also be on exhibit.</p>",Twelve 21 Gallery,08/20/2010,,-81.3732,&quot;Pressed&quot;,http://theguide.orlandosentinel.com/na/art/gallery/pressed-twelve-21-gallery-orlando-gallery-exhibit,28.5622
<p>Camp for students entering grades 3 - 5. Registration forms available at  our website.</p>  <p>&nbsp;</p>  <p><span>Extended Day available from 2:00pm - 5:30pm for an additional  charge per week.</span></p>,Orlando Repertory Theatre,,,-81.3655,Ramona and Beezus,http://theguide.orlandosentinel.com/orlando/camp/arts/ramona-and-beezus-orlando-repertory-theatre-camp,28.5704
,Boom-Art!,08/17/2010,,-81.3191,"Recycled found objects, canvas and handpainted furniture",http://theguide.orlandosentinel.com/azalea-park/art/contemporary/recycled-found-objects-canvas-and-handpainted-furniture-boom-art-orlando-gallery-exhibit,28.5355
,Cornell Fine Arts Museum at Rollins College,09/11/2010,,-81.3507,&quot;Remix: Old and New Acquisitions from the Permanent Collection&quot;,http://theguide.orlandosentinel.com/rollins/art/gallery/remix-old-and-new-cornell-fine-arts-museum-at-rollins-college-winter-park-gallery-exhibit,28.5932
<p>Get up close and personal with the Zoo's many reptiles and amphibians.  Reptile Weekend showcases the world of herps and identifies the  important role these animals play in keeping our planet healthy and  balanced.</p>,Brevard Zoo,09/4/2010,,-80.6081,Reptile Weekend,http://theguide.orlandosentinel.com/melbourne/art/zoo/reptile-weekend-brevard-zoo-melbourne-zoo-event,28.0836
,Cornell Fine Arts Museum at Rollins College,09/11/2010,,-81.3507,&quot;Robert Motherwell and Jasper Johns: Poetic Works as Metaphor&quot;,http://theguide.orlandosentinel.com/rollins/art/gallery/robert-motherwell-and-cornell-fine-arts-museum-at-rollins-college-winter-park-gallery-exhibit,28.5932
