phone,title,webSite,city,startDate,description,venue,state,endDate
864-646-7249,ASHTABULA DRAPED IN BLACK: 19TH CENTURY MOURNING TRADITIONS AND CUSTOMS TOUR&nbsp,http://www.pendletonhistoricfoundation.org,Pendleton,,"As part of their educational mission, the Pendleton Historic Foundation is offering a tour that highlights the traditions and customs of 19th century mourning. Docents dressed in the various stages of mourning will guide visitors through the first floor of the house. Subjects covered during the tour include mourning etiquette, invitations and visitation, draping the house, the stages and dress of mourning, the wake, funeral food, post mortem photography, and consolation literature.",,South Carolina,
908-527-0400,Thanksgiving Day Craft Workshop&nbsp,http://www.kean.edu/libertyhall,Union,,You and your family will create a colorful turkey centerpiece that your guests will “gobble” over as they enjoy their meal on Thanksgiving Day.,,New Jersey,
908-527-0400,Gingerbread House Workshop&nbsp,http://libertyhall@kean.edu,Union,,"Candy canes, gumdrops and more…children will get into the holiday spirit when they decorate their own Gingerbread House at this popular, annual Liberty Hall event. Reservations required",,New Jersey,
908-527-0400,Christmas Tree Ornament Workshop&nbsp,http://www.kean.edu/libertyhall,Union,,"O’ Christmas tree…children will create old-fashioned ornaments, two to bring home and two for the Christmas tree in the Great Hall, the centerpiece of our lavish holiday decorations.",,New Jersey,
908-527-0400,Wednesday Afternoon Tea&nbsp,http://www.kean.edu/libertyhall/events_rentals.html,Union,,"Liberty Hall Museum requests the pleasure of your company for Afternoon Tea. Take a moment out of your hectic schedule and join us at our Wednesday Afternoon Tea, set on our glass-enclosed porch that overlooks our gardens. Afternoon Tea is served from 2 to 4 p.m. on the second Wednesday of each month. Please arrive by 1:30 pm for registration and to view a short film that explains the history of Liberty Hall. Come earlier if you wish to stroll our grounds. The Tea includes a tour of the house. Liberty Hall’s tradition of Wednesday Afternoon Tea is continued in honor of its last resident, Mary Alice Barney Kean. She loved the home she first saw as a young bride and enjoyed giving her guests a personal tour and finishing their visit with tea on her porch. Liberty Hall is proud to maintain this custom in her memory.",,New Jersey,
202-782-2200,"Lunchtime Talk with Author Arthur Ainsberg, 'Breakthrough: Elizabeth Hughes, the Discovery of Insulin, and the Making of a Medical Miracle'&nbsp",http://nmhm.washingtondc.museum,Washington,,"Join the National Museum of Health and Medicine for a discussion with Arthur Ainsberg, author of 'Breakthrough: Elizabeth Hughes, the Discovery of Insulin, and the Making of a Medical Miracle'  Authors Thea Cooper and Arthur Ainsberg tell the true story of the invention of insulin, one of the most important medical advances of the 20th century. Ainsberg will talk about this fascinating tale of Nobel prize-winning research, and the brave little girl who risked everything for the groundbreaking experiment that saved not only her life but the lives of countless others.",,District of Columbia,
908-527-0400,Breakfast with Santa&nbsp,http://www.kean.edu/libertyhall/events_rentals.html,Union,,Naughty or nice - all are welcome when Liberty Hall hosts Breakfast with Santa. Our hot breakfast will fill you with Christmas cheer and put you in the holiday spirit. Then take a photo with the jolly old man himself in Santa’s sleigh.,,New Jersey,
713-522-1138,NEW YEAR’S NOON BASH&nbsp,http://www.cmhouston.org,Houston,,"New Year’s Noon is the city’s longest-running New Year’s Eve celebration just for kids!  This end-of-year bash rings the New Year at the stroke of noon with a parade and drop of a vibrant ball, just like they do in Times Square, but kids won’t have to stay up till midnight!  New Year’s Eve Parade with High Steppers New Orleans Style Brass Band: Dance to jazzy tunes as the High Steppers lead our exciting New Year’s parade throughout the museum! Parade begins:  11:30 a.m.;  Brilliant Ball Drop and Coundown: Watch as we celebrate the beginning of a new year just like they do on TV! Countdown begins at 11:45 a.m.;  New Year LED Masks:  Light up the New Year at Inventor’s Workshop by decorating your own mask which incorporate LEDs. ($3 take-home kit fee); Film Canister Rockets:  Shoot on over to Science Station to blast off a film canister rocket. New Year, New Life!!",,Texas,
908-527-0400,Whoville Feast&nbsp,http://www.kean.edu/libertyhall,Union,,"'Welcome, Christmas, bring your cheer. Cheer to all Whos far and near'! Roastbeast on a Bun, Suess Spuds, and Cindy Lou Who Cider and are just some of the Grinchy grub being served at Liberty Hall’s Whoville Feast.",,New Jersey,
202-782-2673,Winter Break Art Workshop: Introduction to Watercolor Pencils&nbsp,http://www.nmhm.washingtondc.museum/about/directions.html,Washington,,"Come to the National Museum of Health and Medicine and learn about the art of making collages from a medical illustrator during this hands-on workshop. Come to the National Museum of Health and Medicine and learn about the art of making collages from medical illustrator Elizabeth Lockett during this hands-on workshop. Assemble your own collage using different materials such as paper, fabric, found objects and photographs. This workshop is being held in conjunction with the exhibition, “Wounded in Action: An Art Exhibition of Orthopaedic Advancements.” Supplies will be provided, but plan to bring a selection of objects to share with the group. This workshop is free and for middle and high school students (5th grade and up). Reservations are required. Limited to 15 participants. To reserve a spot or for more information, call 202-782-2673.",,District of Columbia,
,"Our next meeting is Sunday, January 15th at 2:30 at the museum. &nbsp",http://www.orgsites.com/mo/pleasanthillhistoricalsociety/,Pleasant Hill,,"Our next meeting is Sunday, January 15th at 2:30 at the museum.",,Missouri,
713-522-1138,Rubber Duckie Celebration&nbsp,http://www.cmhouston.org,Houston,,"Guess who's another year older, cute, yellow and chubby? Rub-a-dub-a-dubby!  Splash around the Children's Museum of Houston to celebrate Rubber Duckie's birthday and have buckets of fun, this week.  For those of you who don't know, Rubber Duckie is Ernie's bath time toy duck and most treasured possession on the popular TV show, Sesame Street. Rubber Duckie's birthday falls on January 13; he will be 42 years old. 'Five Friends from Japan is an awesome opportunity for you to tour Japan and experience contemporary Japanese lifestyle through the five students highlighted in the exhibit,' said Bunmi Gaidi, CMH Educator in charge of the exhibit. 'This is a great opportunity for children to grasp similarities and differences from a contrasting culture.' Those born in the year of The Rabbit are considered the luckiest of the 'twelve animals' in the Chinese Zodiac.  Grab your lucky rabbit's foot and hop on over to the Children's Museum of Houston as we celebrate the Year of the Rabbit during Lunar New Year.  This holiday falls on February 3, but as part of the Seasons of Sharing exhibit (which celebrates holidays around the world through Jan. 9) you’ll enjoy a sneak peek.  'Don’t be late for a very important date.'  Make pandemonium by popping, poking, and puncturing this famous packaging plastic. Pop bubble wrap to the musical beat or use it to create a crazy kaleidoscope.",,Texas,
713-522-1138,Run! Jump! Fly! Adventures in Action&nbsp,http://www.cmhouston.org,Houston,,"Star as your own action hero! With child obesity on the rise and New Year resolutions to get fit begin, the Children's Museum of Houston (CMH) revitalizes exercise into entertainment.  Beginning Saturday, January 15, 2011, CMH combats childhood inertia with Run! Jump! Fly! Adventures in Action:  an interactive exhibition featuring action-adventures popular in children's books, movies and TV. You are invited to jump into action star training exploring kung fu, surfing, snowboarding, yoga, horizontal climbing and more—all designed to build strength, coordination, balance and endurance. The exhibit's objective is to get you pumped about doing the things you already like to do.  Run! Jump! Fly! gets kids moving,' said Lynnsey Dohmen, CMH Educator in charge of the exhibit. 'It teaches children physical activity is fun and complements our PowerPlay exhibit nicely.  It features a great snowboarding/skiing component which centers around balance—an attribute not currently showcased in PowerPlay.' PowerPlay is a fierce, extraordinary permanent exhibit at CMH where kids track their bodies’ responses to physical challenges. PowerPlay focuses on getting kids active and making them aware exercise is fun and good for you!  This will be the place where Run! Jump! Fly! will pack its punch. While you move through the exhibit and have fun with physical activity, you will develop ideas for how to become more active daily.  Throughout Run! Jump! Fly!, you stamp the activities you accomplished on Action Trackers. You can also take home Action Tracker 3-Day Missions which are activity logs encouraging you to get physically active for a total of 60 minutes a day. 'Five Friends from Japan is an awesome opportunity for you to tour Japan and experience contemporary Japanese lifestyle through the five students highlighted in the exhibit,' said Bunmi Gaidi, CMH Educator in charge of the exhibit. &quot;This is a great opportunity for children to grasp similarities and differences from a contrasting culture.'      Those born in the year of The",,Texas,
713-522-1138,MLK Day Peace Rally &nbsp,http://www.cmhouston.org,Houston,,"Dr. Martin Luther King, Jr. dreamed for us to live in a world where we would 'not be judged by the color of [our] skin, but by the content of [our] character.'  Take a trip to the Children's Museum of Houston to honor civil rights leader, Martin Luther King, Jr., and his acclaimed 'I Have a Dream Speech' that rocked the nation during the Civil Rights Movement in 1963.  Join our peace rally down Kid s Hall and don t forget about your own dreams!",,Texas,
919-585-3689,OLD NORTH STATE MILTARIA AND GUN SHOW,,KENLY,,OLD NORTH STATE MILTARIA AND GUN SHOW  HELD AT THE NORTH CAROLINA STATE FAIRGROUNDS IN RALEIGH NC. CONTACT HQ IF YOU WOULD LIKE TO ATTEND.,,North Carolina,
702-455-7955,Domestic Technology&nbsp,http://www.clarkcountynv.gov,Henderson,12/01/2010,"An exhibition illustrating the last 150 years of inventions, innovations and gadgets to make housework easier. A nostalgic display of household artifacts, advertising and vintage TV commercials that illustrate a transition from coal and steam powered appliances to electricity and gadgetry. The appliances and advertising on display also illustrate how design and color changed over the years, as well as sexual politics.",Clark County Museum,Nevada,02/26/2011
919-585-3689,CMVPA HQ/ B COMPANY 'GET TOGETHER'&nbsp,http://www.cmvpa.com,KENLY,,HQ AND &quot;B&quot; COMPANY HOLDS THIER &quot;GET TOGETHER&quot; ON THE THIRD SATURDAY OF EACH MONTH. THE LOCATION IS AT THE CMVPA CLUBHOUSE AT 9773 HAWLEY RD IN KENLY NC. WE ALWAYS HAVE A BBQ CHOW. AFTER THE EVENT WE USUALLY DO A SHORT CONVOY SOMEWHERE LOCAL.,,North Carolina,
308-390-3888,Stolley House Fine Dining&nbsp,http://www.hallchs.com/,Grand Island,,"Chef Meg Yutesler of Meg's Catering offers differently themed four course, gourmet meals made from scratch.   Exquisite dining in this beautifully restored home presents an evening unlike any other.   Reservations are required,",,Nebraska,
254-710-1867,Ceramics and  Print Exhibition at Baylor&nbsp,http://www.baylor.edu/martinmuseum,Waco,,"Working in clay for nearly twenty years, Phillip Ahnen's (image, lower right) ceramic sculptures reference mid 20th century industrial manufacturing and its decline due in part to the development of plastics and the current production ideology of &quot;planned obsolescence.&quot; This exhibition explores Ahnen's fascination with industrial mechanized objects, and addresses his &quot;form follows function&quot; mantra that guided the development of functional work during his apprenticeship with a master potter. Andrew DeCaen has shown his prints, drawings, and paper sculptures both in the United States and internationally. By re-contextualizing the familiar, his images aim to attract and provoke questions about contemporary food science, consumerism, and the mundane act of eating. Dennis Olsen,  will be presenting a series of intaglio-type prints called Samplings. These prints, which Olsen began as a &quot;tabula raza,&quot; meld facial appearances of different races and genders on bank notes from around the world. Kent Rush  has spent the past 28 years making art while teaching at the University of Texas at San Antonio. Appropriating photography as a means of making images, Rush collects mundane objects and surfaces on film from urban and suburban sites and presents them in a monumental format using carbon printing.",,Texas,
713-522-1138,Bubble Wrap Bonanza&nbsp,http://www.cmhouston.org,Houston,,"Get packing – and head over to the Children's Museum of Houston this week to honor Bubble Wrap&amp;#174; Appreciation Day, during Bubble Wrap&amp;#174; Bonanza. Everyone’s favorite popping, pliable plastic is celebrated nationally the last Monday of January. Make pandemonium by popping, poking, and puncturing this famous packaging plastic. Pop bubble wrap to the musical beat or use it to create a crazy kaleidoscope.",,Texas,
703-967-9399,Delmarva History &amp; Heritage Committee Meeting&nbsp,http://www.practicalmattersformuseums.com,Lewes,,"Please mark your calendar and plan to attend for a behind the scenes tour of the Lewes Historical Society with Executive Director Michael DiPaolo, enjoy a box lunch and lively discussion with friends and peers.",,Delaware,
713-522-1138,Five Friends from Japan: Children in Japan Today&nbsp,http://www.cmhouston.org,Houston,,"Beginning, January 29, 2011, travel without a passport to the new Five Friends from Japan exhibit at the Children’s Museum of Houston (CMH).  Designed to entertain by highlighting similarities and differences between Japan and the U.S., Five Friends from Japan peeks into contemporary Japanese life through individual stories of five new foreign friends. The exhibit advances understanding and appreciation of Japanese culture with true stories and real objects straight from Japan. '“Five Friends from Japan is an awesome opportunity for you to tour Japan and experience contemporary Japanese lifestyle through the five students highlighted in the exhibit,' said Bunmi Gaidi, CMH Educator in charge of the exhibit. 'This is a great opportunity for children to grasp similarities and differences from a contrasting culture.' Five young Japanese kids will take you through a mesmerizing journey to their home country. Through video messaging, each will touch on various aspects of the everyday, Japanese lifestyle:  family values, food, performing arts, school and celebratory traditions. Listen and relate to their authentic stories and music. Make pandemonium by popping, poking, and puncturing this famous packaging plastic. Pop bubble wrap to the musical beat or use it to create a crazy kaleidoscope.",,Texas,
713-522-1138,Lunar New Year&nbsp,http://www.cmhouston.org,Houston,,"Beginning, January 29, 2011, travel without a passport to the new Five Friends from Japan exhibit at the Children's Museum of Houston (CMH).  Designed to entertain by highlighting similarities and differences between Japan and the U.S., Five Friends from Japan peeks into contemporary Japanese life through individual stories of five new foreign friends. The exhibit advances understanding and appreciation of Japanese culture with true stories and real objects straight from Japan. 'Five Friends from Japan is an awesome opportunity for you to tour Japan and experience contemporary Japanese lifestyle through the five students highlighted in the exhibit,&quot; said Bunmi Gaidi, CMH Educator in charge of the exhibit. &quot;This is a great opportunity for children to grasp similarities and differences from a contrasting culture.&quot;      Those born in the year of The Rabbit are considered the luckiest of the 'twelve animals' in the Chinese Zodiac.  Grab your lucky rabbit's foot and hop on over to the Children's Museum of Houston as we celebrate the Year of the Rabbit during Lunar New Year.  This holiday falls on February 3, but as part of the Seasons of Sharing exhibit (which celebrates holidays around the world through Jan. 9) you?ll enjoy a sneak peek.  'Don?t be late for a very important date.'",,Texas,
713-522-1138,Faces of Houston&nbsp,http://www.cmhouston.org,Houston,,"The Children's Museum of Houston (CMH) invites Houston?s children to be a part of the art and to realize that every race and every face make up an integral part of a cohesive whole. A collection of 100,000 digital photos of Houston?s own youth will form a majestic picture mosaic to line the museum?s block-long Kid?s Hall and applaud the city?s vast variety in cultures. This exhibition, titled Faces of Houston, opens February 5, 2011.",,Texas,
505-428-5909,The Lloyd Kiva New Gallery &nbsp,http://www.iaia.edu/museum,Santa Fe,01/01/2011,"In his lifetime, Lloyd Kiva New was a visionary and a role model for Native American artists. His vision became reality with the establishment of what is now the Institute of American Indian Arts. He encouraged young Native American artists to find their artistic voice in today?s culture, thereby liberating them. The retail gallery bearing his name is a space dedicated to honoring his vision for Native American artists by   featuring outstanding contemporary artwork that spans a multitude of current themes and relevant issues created with as many mediums. This innovative space is a rare opportunity to view and purchase original art by Native American artists. Rotating shows throughout the year showcase outstanding artists. The Lloyd Kiva New Gallery celebrates contemporary expression for today's collector.",Museum of Contemporary Native Arts,New Mexico,01/01/2012
202-782-2673,Exploring the Heart: A Valentine?s Day Program &nbsp,http://www.nmhm.washingtondc.museum/about/directions.html,Washington,,"Join the National Museum of Health and Medicine for a unique Valentine?s Day program. Join the National Museum of Health and Medicine for a unique Valentine?s Day program. Using specimens on display and models from the Museum?s collections, take a look at how a heart begins and grows. Observe as Museum staff dissect hearts from a reptile, mammal, and bird to demonstrate similarities and differences between bird and mammal anatomy. Try your hand at making a medical illustration from the dissections or create an anatomically-correct Valentine?s Day card. Supplies will be provided.",,District of Columbia,
317-346-4500,Victorian Valentine Workshop&nbsp,http://www.johnsoncountymuseum.org,Franklin,,"Children of all ages are invited to create a one-of-a-kind Valentine?s Day card on Saturday, February 12th at noon, at the Johnson County Museum in Franklin. Visitors will learn a little background of the history of Valentine?s Day, see some beautiful antique cards from the Victorian era for inspiration, and create a holiday masterpiece to give to family or friends. The Victorian Valentine workshop is free of charge, and all you need to bring is your imagination!",,Indiana,
713-522-1138,60th Anniversary of National Engineers Week&nbsp,http://www.cmhouston.org,Houston,,"It's time to get mechanical and build like an engineer. Professional engineers explain and edify at the Children's Museum Houston (CMH) to celebrate 60 years of National Engineers Week! Take part in some popular engineering activities using everyday activities. National Engineers Week is February 20 - 26. It's time to get mechanical and build like an engineer. Professional engineers explain and edify at the Children?s Museum Houston (CMH) to celebrate 60 years of National Engineers Week! Take part in some popular engineering activities using everyday activities. SPECIAL EVENTS: Engineer Take Over: Work hand in hand with real engineers in a variety of fun, hands-on engineering activities sure to spark your imagination! Cardboard Automata: Let's get mechanical! Using cardboard and other everyday materials, explore simple machine elements to create awesome automata.",,Texas,
401-253-2250,Word Transformed Reception&nbsp,http://www.bristolartmuseum.org/,Bristol,,Artists who transforemd teh written word or printed language into an art and produced new forms of visual language.,,Rhode Island,
863-385-5437,Tot Time,,Sebring,,"This is a weekly free class for preschoolers and their caregivers. Each week, there is a story time, craft and singing centered around a variety of themes.",,Florida,
432-685-4770,'Past and Present'; Current and Collected Works by Warren Taylor&nbsp,http://www.midland.edu/mccormick/,Midland,01/20/2011,Current and Collected Works by Warren Taylor,McCormick Gallery,Texas,03/25/2011
301-946-9475,2011 APPL Annual Convention and Trade Show; Broadening Our Horizons &nbsp,http://www.appl.org/,Wheaton,02/21/2011,"The APPL Convention &amp;amp; Trade Show is a MUST ATTEND EVENT for anyone who plays a role in nonprofit public land partnerships. Your entire partnership team will benefit by attending, from beginners to experienced executives and agency personnel.",Association of Partners for Public Lands,Maryland,02/24/2011
401-253-2250,Word Transformed&nbsp,http://www.bristolartmuseum.org/,Bristol,02/27/2011,Artists who transforemd teh written word or printed language into an art and produced new forms of visual language.,Bristol Art Museum at Linden Place,Rhode Island,03/13/2011
831-471-9970,2011 California Association of Museums (CAM) Conference: Powerful Practice in Challenging Times&nbsp,http://www.calmuseums.org,Pasadena,03/02/2011,"Here is a peak at the program: Over thirty educational sessions and several half and full-day workshops;  Pre-conference tours at the Norton Simon Museum, NASA's Jet Propulsion Laboratory, Descanso Gardens, Kidspace, The Huntington Library, Art Collections, and Botanical Gardens, and Pasadena Metro Art; Dialogue Dinners (following their successful debut last year) will be held at restaurants in Old Pasadena, within walking distance from the conference hotel; evening events at Pacific Asia Museum, Gamble House, Pasadena Museum of History, and Huntington Library, Art Collections, and Botanical Gardens; and more.",California Association of Museums,California,03/04/2011
202-782-2673,Lunchtime Talk: &quot;The History of the Army Dental Corps: Putting the Bite in War-fighting&quot;&nbsp,http://www.nmhm.washingtondc.museum,Washington,,"Join the National Museum of Health and Medicine and Col. Christopher Fielding, AFIP Oral Pathology, for a lunchtime talk about the major contributions the Dental Corps has made over the last 100 years.   March 3, 2011 marks the centennial anniversary of the U.S. Army Dental Corps. Join the National Museum of Health and Medicine and Col. Christopher Fielding, AFIP Oral Pathology, for a lunchtime talk about the major contributions the Dental Corps has made over the last 100 years to ensure the health and readiness of our nation's soldiers. He will also highlight the important role dentistry has played in identifying deceased service members.",,District of Columbia,
740-432-4245,All Cambridge Glass Benefit Auction&nbsp,http://www.cambridgeglass.org,Cambridge,,"Once a year in March NCC (National Cambridge Collectors) hold an annual &quot;All Cambridge Glass Auction&quot; to benefit the museum and endowment fund. The annual All-Cambridge Auction is held at the Pritchard-Laughlin Center in Cambridge, Ohio, on the first weekend of March, the same weekend as the March Quarterly meeting, and the proceeds are used to help maintain the National Museum of Cambridge Glass.",,Ohio,
410-822-0773,Revamping Exhibits on a Shoe-string,,Easton,,"Historical Society of Talbot County recently renovated our permanent exhibit.  In this workshop, we will share the lessons we learned and the short-cuts you can take.",,Maryland,
401-253-2250,Word Transformed Artist Talk&nbsp,http://www.bristolartmuseum.org/,Bristol,,Artists who transforemd teh written word or printed language into an art and produced new forms of visual language.,,Rhode Island,
201-253-1213,Opening of Touch Tunnel&nbsp,http://www.lsc.org/lsc/ourexperiences/touch_tunnel,Jersey City,,"Liberty Science Center brings back its most popular original exhibit, based on public demand. Take a crawl through a pitch-black maze using only your sense of touch to navigate. Exploring unknown environments inthe dark brings into focus just how much we rely on sight.",,New Jersey,
231-724-3100,MARCUS GARVEY&nbsp,http://www.visitmuskegon.org/african_american_museum.htm,Muskegon Heights,,EDUCATION COMMIITTEE PROGRAM HELD AT MUSEUM,,Michigan,
919-585-3689,THE OFFICIAL GRAND OPENING OF THE CMVPA MUSEUM&nbsp,http://www.cmvpa.com,KENLY,,THE OFFICIAL GRAND OPENING OF THE CMVPA MUSEUM,,North Carolina,
202-782-2673,Lunchtime Talk: &quot;Combating Tuberculosis: A Forgotten Plague&quot;&nbsp,http://www.nmhm.washingtondc.museum,Washington,,"Join the National Museum of Health and Medicine for a lunchtime lecture to honor World TB Day, featuring a presentation by Dr. Jing Bao. Thousands of years after tuberculosis (TB) ravaged ancient cultures, and more than a century after its cause was discovered, TB continues to survive. World TB Day commemorates the day in 1882 when Dr. Robert Koch astounded the scientific community by announcing that he had discovered the cause of TB, the TB bacillus, which opened the door to diagnosis and treatment. Bao, who began her career as a physician treating tuberculosis in China, will discuss TB transmission, diagnosis, and treatment, as well as global efforts to combat the disease.",,District of Columbia,
804-788-5820,2011 Virginia Association of Museums Conference; Anchoring Our Communities&nbsp,http:///www.vamuseums.org,Portsmouth,03/12/2011,"Museums have always served as anchors in their communities - local gathering places where a town's history and culture is shared and preserved. In the 21st century, museums must find new ways to serve as community anchors, by collaborating with other organizations, by helping local schools prepare students for the future, and by harnessing technological advances to expand their reach. This year's conference will offer fresh insights as well as tools your museum can use to remain a stable community anchor long into the future, during times of smooth sailing as well as in the midst of rough seas.",Virginia Association of Museums,Virginia,03/15/2011
,2nd Annual BrickStainable Design Competition Awards Event&nbsp,http://www.BrickStainable.com,Washington,,"Potomac Valley Brick presents the 2nd Annual BrickStainable International Design Competition. The Competition seeks integrative solutions for a building using clay masonry units (brick) as a primary material. Current Green and Living Building initiatives acknowledge the importance of integrated design solutions to achieve sustainability goals. This competition seeks to explore the potential of brick construction in the creation of an energy efficient building. Design teams are challenged to maximize the physical characteristics of this construction in the creation of integrated design solutions utilizing the physical characteristics of this material such as thermal mass, porosity (or lack thereof), modularity, color, etc.  Our special evening honoring the innovative winners of The 2nd Annual BrickStainable Design Competition features keynote speaker Alan Short principal at Short &amp; Associates, chartered architects, and Professor of Architecture at Cambridge University. The Awards Evening is an opportunity to celebrate with the winners, meet the jurors, observe award-winning entries, see creative design concepts, meet building industry executives and network with peers in the design built industry. The event will be held at the National Building Museum.",,District of Columbia,
919-585-3689,a one day event for Vietnam and all local Veterans to enjoy a day together&nbsp,http://www.cmvpa.com,KENLY,,"Chapter 885 of the Vietnam Veterans of America located in Wilmington, NC. Again on April 2, 2011 we will host a one day event for Vietnam and all local Veterans to enjoy a day together. Last year an estimated 1000 veterans shared the day. CONTACT CMVPA MEMBER ROSSIE NANCE",,North Carolina,
903-875-7655,150th anniversary of the American Civil War&nbsp,http://www.voy.com/34449/3954.html,Corsicana,,"The Pearce Civil War & Western Art Museum in Corsicana, TX will host a Living History Day on Saturday, April 9, 2011 from 10 a.m to 5 p.m. in remembrance of the 150th anniversary of the American Civil War. We expect to have area reenactors, Civil War Round tables, regional Civil War museums, and college clubs take part in the event. The Museum will be open, free of charge, all day. A major advertising push will bring the general public from around the region; schools will be specifically asked to encourage their students to participate. We are located on the campus of Navarro College about on hour south of Dallas on I-45 and have green space available for bivouacking and small demonstrations. With enough participation, we can provide space for a full battle reenactment!    We want to extend an invitation for your group to participate in any way possible. Please contact me by email or phone at 903-875-7655.",,Texas,
231-724-3100,PAUL ROBERSON&nbsp,http://www.visitmuskegon.org/african_american_museum.htm,Muskegon Heights,,EDUCATION COMMIITTEE PROGRAM HELD AT MUSEUM,,Michigan,
