website,phone,directions,moreInfo,description,venue,name,city,startDate,performers,images,state,endDate,email
http://www.kcjigglejam.com,816--5617555-,25th and Grand,http://www.festivals.com/viewevent.aspx?eventid=XOonCM21qXs%3d,"The annual Jiggle Jam Fest will take place over the Memorial Day weekend at the kid friendly, fountain grouds of Crown Center Square.  The two-day event will feature nationally acclaimed childrens entertainment, musical workshops, puppet shows craft activities, shopping, games food and drink.",Crown Center - downtown Kansas City,Jiggle Jam Family Fest,Kansas City,5/28/2011,,http://www.festivals.com/gfx//backstage/1/1805/021920080250489054_ad.jpg,Missouri,5/29/2011,keli@oneillcom.com
http://www.LastSundaysFest.com,510--520-2764,,http://www.festivals.com/viewevent.aspx?eventid=gW6i4tzpwts%3d,"Our 2nd season of Telegraphs LastSundaysFest is coming to Berkeley on the Sundays of July 25, August 29, and next year April 24, 2011. Combining crafts, music and childrens exhibits attracting all ages. The music has a particular focus on alternative rock but covers the whole spectrum from rockabilly to classical and more. Its a 21st Century Happening!    Telegraphs is closed to traffic above Dwight Way. Anticipated 2-6K attendees for each event. Aprils 2011 will be UC Berkeley focused. Advertising will total 20K in various media including television. Discounts apply for multiple fairs. Seeking sellers of crafts, food, and contemporary merchandise. Visit our website lastsundaysfest.com for details and videos!",2400 Telegraph Ave.,LastSundaysFest,Berkeley,7/25/2010,,,California,4/24/2011,lastsundaysfest@gmail.com
http://www.icaf.org,,"4th to 7th Streets of The National Mall, between the National Air and Space Musuem and the National Gallery of Art",http://www.festivals.com/viewevent.aspx?eventid=lFOOpxVQbO0%3d,The festival will provide a complete synthetic experience to the participants – the creation of a total work of art that transforms the National Mall.,,World Childrens Festival,Washington,6/17/2011,,,DC,6/19/2011,
http://www.mondialchoral.org,888--9359229-233,Detailed informations and map on our web site,http://www.festivals.com/viewevent.aspx?eventid=VguDWNLt20g%3d,"Years of concerts and shows bringing together tens of thousands of choir members from all over the planet, popular performers, musicians, orchestras and artistic collaborators are pleased to present unique, original artistic pieces.  In addition to a breathtaking outdoor program and an always outstanding indoor one as well, The World Choral Festival is offering the public a very wide range of activities, within its Festival and Competition components.",Lavals City,Loto-Quebec World Choral Festival,Laval,6/23/2011,,"http://www.festivals.com/gfx//backstage/1/16824/052220091039137467_ad.jpg, http://www.festivals.com/gfx//backstage/1/16824/052220091037416235_thumb.jpg",Quebec,7/3/2011,info@mondialchoral.org
http://loudonville-mohican.com,419--9944789-,Downtown Loudonville Ohio and Surrounding Mohican Area,http://www.festivals.com/viewevent.aspx?eventid=SBGtYjzloaI%3d,"Enjoy a night out in  Downtown Loudonville!Get your best girlfriends together and enjoy   great treats, and a night of pampering!  Call about Girls Night Out Brochure      <p>Visit the Loudonville, Ohio - Mohican area and enjoy our beautiful forests, scenic rivers, and historic sites. Whether youre here for a weekend stay or a two week vacation, there is something to do for the entire family.    <p>From horseback riding, to canoeing down the Mohican River, to shopping in Amish country were sure youll enjoy yourself. We provide a far-away feeling, close to home. Loudonville is located halfway between Cleveland and Columbus, convenient to both I-77 and I-71.",Shopping,Girls Night Out in Mohican,Loudonville,3/11/2011,,,Ohio,3/11/2011,info@loudonville-mohican.com
http://www.jammincountry.com,877--6666526-,Moondance Events is located 6 1/2 miles east of Walker on the north side of Hwy 200. It is also 2 1/2 miles east of the Hwy 371 & 200 intersection near the casino.,http://www.festivals.com/viewevent.aspx?eventid=K0SpbSnO2gE%3d,"Moondance Jammin Country Fest is a country music festival held annually on the 300 acre Moondance Events festival grounds near Walker, MN.  Country music stars are highlighted all three days on the main stage. The event features open festival seating, camping, well kept facilities, two indoor regional stages, excellent security, an organized staff and much more. Fans are treated to a country music and camping celebration in a clean, safe and friendly atmosphere.",Moondance Events Festival Grounds,Moondance Jammin Country Fest,Walker,6/23/2011,,,Minnesota,6/25/2011,contact@jammincountry.com
http://www.countryfest.com,(80-0) 326-3378,"The Fest grounds are located 5 miles North of Cadott, WI off Highway 27, and West 2 miles on County Road ""S.""",http://www.festivals.com/viewevent.aspx?eventid=Z1zi8t06FNE%3d,"A 4-day outdoor country music festival with 8000 campsites catering to audinces upwards of 25,000 per day. Varying demographic based on line-up, but generally a good mix of blue and white collar with a large base of ag.",Chippewa Valley Music Festivals,Country Fest,Cadott,6/23/2011,"Secured for 2009 so far are: Montgomery Gentry, Brad Paisley, Sugarland and George Strait    Past artists include: Kenney Chesney, Tim McGraw, Keith Urban, Toby Keith, Brooks & Dunn, Alan Jackson, Rascal Flatts, Trace Adkins, Martina McBride and Alabama","http://www.festivals.com/gfx//backstage/1/3867/122320050802031875_ad.jpg, http://www.festivals.com/gfx//backstage/1/3867/082020080709392495_thumb.jpg, http://www.festivals.com/gfx//backstage/1/3867/082020080707372339_thumb.jpg, http://www.festivals.com/gfx//backstage/1/3867/082020080703567652_thumb.jpg, http://www.festivals.com/gfx//backstage/1/3867/122320050816195000_thumb.jpg, http://www.festivals.com/gfx//backstage/1/3867/122320050815344531_thumb.jpg",Wisconsin,6/26/2011,kelly@countryfest.com
http://www.sheltonsmemorial.org,406-8267359,"Hwy 200, across railroad tracks at center of town, to fair grounds. On right after bridge crossing. Free parking.",http://www.festivals.com/viewevent.aspx?eventid=pb3UsSVGmhA%3d,"Shelton's Memorial Fund helps families in Montana with children that have special out of area medical needs. Each year, the Shelton's Country Music Festival is our annual fund raiser. Our sponsors provide the venue, entertainment, concessions, silent auction items and you provide your own lawn chairs, blankets or sit-upon's for festival seating. Come and support Shelton's Memorial Fund that provides much needed assistance to families that have children that need special medical care. All proceeds from the day go directly to funding families in need. Camping available, direct access to the Clark Fork River, in and out privileges included in ticket price. Come for a few hours or stay the entire day.",Sanders County Fair Grounds,Shelton's Country Music Festival,Plains,7/23/2011,"Uncle Bacca Juice, Sho-down, BarbedWire, Justin Brown, Kim Beech, The Gravely Mountain Boys, Tyler Barham, and The Broken Wreckerds. Talent contest for children 12 and under with cash prizes.  Schedule of advertised artists subject to change on yearly basis. Current list of artists can be found at www.sheltonsmemorial.org/festival.htm","http://www.festivals.com/gfx//backstage/1/17410/072220090724046412_ad.jpg, http://www.festivals.com/gfx//backstage/1/17410/072220090731545727_thumb.jpg, http://www.festivals.com/gfx//backstage/1/17410/072220090718474734_thumb.jpg, http://www.festivals.com/gfx//backstage/1/17410/072220090716206159_thumb.jpg, http://www.festivals.com/gfx//backstage/1/17410/072220090726319831_thumb.jpg",Montana,7/23/2011,wtranch@hotspringsmt.net
http://www.coconutcreek.eventbrite.com,954-.591.8503,"For a map and directions, visit: http://www.coconutcreek.eventbrite.com",http://www.festivals.com/viewevent.aspx?eventid=uCRQWKTt8Q0%3d,"Every Friday, 6:00 pm - 10:00 pm.  Free to Attend, Free Parking, Family Entertainment, Inflatables, Face Painting and more.",Promenade at CoconutCreek,Family Weekends - Promenade at Coconut Creek,Coconut Creek,7/30/2010,Varies,,Florida,12/30/2011,info@drivenpro.com
http://www.desertrockfestival.com,+97-14 3390550,map is in the website,http://www.festivals.com/viewevent.aspx?eventid=hYCgKec96x4%3d,rock music festival,Dubai Festival City,Desert Rocks Music Festival,Dubai,3/4/2011,check the website for updates,"http://www.festivals.com/gfx//backstage/1/6142/053120061211259756_ad.jpg, http://www.festivals.com/gfx//backstage/1/6142/053020061134015024_thumb.jpg, http://www.festivals.com/gfx//backstage/1/6142/053020061133211461_thumb.jpg, http://www.festivals.com/gfx//backstage/1/6142/061920081158144288_thumb.jpg, http://www.festivals.com/gfx//backstage/1/6142/053020061141503647_thumb.jpg, http://www.festivals.com/gfx//backstage/1/6142/053020061148287680_thumb.jpg, http://www.festivals.com/gfx//backstage/1/6142/053020061151485476_thumb.jpg, http://www.festivals.com/gfx//backstage/1/6142/053020061153241481_thumb.jpg, http://www.festivals.com/gfx//backstage/1/6142/053120061200016148_thumb.jpg, http://www.festivals.com/gfx//backstage/1/6142/053020061140197322_thumb.jpg",United Arab Emirates,3/5/2011,info@desertrockfestival.com
http://www.gwmf.org,304--2910482-,500 East Parkway Drive,http://www.festivals.com/viewevent.aspx?eventid=xYcYR8ScnJI%3d,"In the dark of Winter, an idea is born  One dreary Winter afternoon in 1978, Worley Gardner and his friend Sloan Staggs from Romney, WV found themselves complaining to each other (again) how dull Winter was without the festivals and other gatherings of Summer where they could swap tunes and jam with other musicians. And suddenly they realized that they could change that for themselves and all the musicians that they knew. In that excited moment, the Winter Music Festival was born.  The first winter music festival was held the last weekend of February 1979 at Marilla Center (now the home of BOPARCs office). The charming but small main room held the performances and the square dance that Worley called in his inimitable style. Musicians looking for space to jam crowded into the boiler room. Despite the near blizzard conditions raging outside, the event was a huge success. Such a success, in fact, that the festival was moved to the Morgantown Arts Center the following year. Sadly, Sloan Staggs did not live to see the festival as it grew. The joy of that second years festival was dimmed by the news that Sloan had died the very day of the festival.  But there was no stopping a good thing. Worley and his wife Margaret spent their Christmas personally writing invitations to musicians and dancers in West Virginia and beyond, as they continued to do for 14 years until Worley died. For the third yeatr of the festival, Worley obtained the sponsorship of BOPARC, the local recreation board, and the festival, still growing, moved to South Junior High School where it remains.  On November 10, 1992, Worley Gardner died. Worley was renowned as a square dance caller and for the hammered dulcimers that he played, designed, and built along with his brother Asel. In October 1977 he performed as a featured musician at the Smithsonians Festival of American Folklife. He was also featured in a CBS radio broadcast about mountain music in 1985. Worley was sorely missed by all those who knew him. The Winter Music Festival, renamed the Worley Gardner Winter Music Festival after his death, is one of his best legacies.  Determined to keep the festival alive, Margaret Gardner, who had always hosted the festival with her husband, led the festival committee, helped by a number of local supporters, until her death on December 29, 2000. As a result, the festival lives on and in fact continues to grow. Each year the festival is attended by over 300 musicians from several states as well as many appreciative listeners music lovers from around the area. After Margarets death the Worley Gardner Winter Music Festival was renamed the Gardner Winter Music Festival so as to include Margaret in the name.  There are many of us who are deeply grateful to the Gardners for their contribution to keeping the rich legacy of West Virginias traditional music alive, and for giving us all something wonderful to look forward to in the deep, dreary days of February. May it always be so!",South Middle School,Worley Gardner Winter Music Festival,Morgantown,2/25/2011,,,West Virginia,2/26/2011,gwmf@augusta-wv.com
http://www.cfms-inc.org/central_ohio_folk_festi...,614--4910437-,"From I-270 take I-70 west to the Hilliard/Rome exit (91a), go towards New Rome and travel south to West Broad Street.  Turn right onto Broad Street (U.S. 40) and travel approximately 4 miles to Darby Creek Drive. Turn left on Darby Creek Drive and proceed 3 miles. The main park entrance is on the right.",http://www.festivals.com/viewevent.aspx?eventid=uJyWOou6Qf8%3d,"(Always the first full weekend, including Friday, in May) Primarily a teaching type festival with a Friday evening pot luck supper, jam sessions & a worst song contest a Saturday evening concert, several workshops, spotlight concerts, & a lot of jamming. The instruments, music & skills taught are traditional.",1775 Darby Creek Dr. (Battelle Creek Metro Park),Central Ohio Folk Festival,Columbus/Galloway,5/6/2011,,http://www.festivals.com/gfx//backstage/1/15786/030720090550548582_ad.jpg,Ohio,5/8/2011,Rbaron49@aol.com
http://www.laacousticmusicfestival.com,818--6218309-,"1310 11th Street Santa Monica, CA 90401-2000",http://www.festivals.com/viewevent.aspx?eventid=5XsslMQyXaA%3d,"The LA Acoustic Music Festival is a celebration of acoustic music, benefiting the California Acoustic Music Project (CAMP). CAMP provides artists in residence to schools on a salaried, ongoing basis through the curriculum of the Americana Project in order to ensure that every student gets the experience of music instruction every day. Instruments (primarily guitars, mandolins and banjos) are also provided, and songwriting, instrumentation and performance are taught, and the semester culminates in both a CD project and a concert performance. The festival takes places on the Santa Monica Pier, and this inaugural festival is happening during the piers 100th Anniversary Summer of Celebration.","The Broad Stage, Santa Monica",LA Acoustic Music Festival,Santa Monica,5/22/2011,,"http://www.festivals.com/gfx//backstage/1/16210/031520091017248955_thumb.jpg, http://www.festivals.com/gfx//backstage/1/16210/031520091015550373_ad.jpg",California,5/22/2011,bodiehouse@aol.com
http://www.uppsalareggaefestival.com,+46--188-434-417,,http://www.festivals.com/viewevent.aspx?eventid=iyCwMkPo2cc%3d,"<p>The 9th edition of the first and real Reggae festival in Scandinavia. The festival has in a short period of time, grown to be the biggest Reggae event in northern Europe; the festival won the Swedish national radio prize, Cultural Event of the year 2003.  The festival has stirred up the cultural elite in Sweden by becoming the third biggest music festival in Sweden in just five years.  The festival attracts thousands of visitors from neighboring countries and long distance visitors as far as Peru, Australia and Japan.  </p>","Kap, Ulleråksvägen, Uppsala City",Uppsala Reggae Festival,Uppsala,8/4/2011,"Alpha Blondy,Ky-Mani Marley, Third World, Busy Signal,T.O.K, Inna Yard All Stars, Junior Kelly, Collie Buddz & the New Kingston Band, The Heptones, Lutan Fyah, Etana, Don Carlos, King Jammys Super Power, Ziggi & The Renaissance Band, David Rodigan, Roots Underground,   Nazarenes, Svenska Akademien, Kultiration, Governor Andy,     Syster Sol, Internal Dread & His Friends? Roots Circus,      Hoffmaestro & Chraa, Rootvälta, Meditative Sounds, Jaqee,    Komposti Sound,   Safari Sound, Bring Down The Beat, Format & Storsien","http://www.festivals.com/gfx//backstage/1/1859/040120060346463750_thumb.jpg, http://www.festivals.com/gfx//backstage/1/1859/040120060337483437_ad.jpg, http://www.festivals.com/gfx//backstage/1/1859/040120060338576250_thumb.jpg, http://www.festivals.com/gfx//backstage/1/1859/040120060340154687_thumb.jpg, http://www.festivals.com/gfx//backstage/1/1859/040120060343440156_thumb.jpg, http://www.festivals.com/gfx//backstage/1/1859/040120060400551875_thumb.jpg, http://www.festivals.com/gfx//backstage/1/1859/040120060354575937_thumb.jpg, http://www.festivals.com/gfx//backstage/1/1859/040120060356237500_thumb.jpg, http://www.festivals.com/gfx//backstage/1/1859/040120060358408906_thumb.jpg, http://www.festivals.com/gfx//backstage/1/1859/040120060402239218_thumb.jpg",Sweden,8/7/2011,yared@uppsalareggaefestival.se
http://www.gwmf.org,304--2910482-,500 East Parkway Drive,http://www.festivals.com/viewevent.aspx?eventid=xYcYR8ScnJI%3d,"In the dark of Winter, an idea is born  One dreary Winter afternoon in 1978, Worley Gardner and his friend Sloan Staggs from Romney, WV found themselves complaining to each other (again) how dull Winter was without the festivals and other gatherings of Summer where they could swap tunes and jam with other musicians. And suddenly they realized that they could change that for themselves and all the musicians that they knew. In that excited moment, the Winter Music Festival was born.  The first winter music festival was held the last weekend of February 1979 at Marilla Center (now the home of BOPARCs office). The charming but small main room held the performances and the square dance that Worley called in his inimitable style. Musicians looking for space to jam crowded into the boiler room. Despite the near blizzard conditions raging outside, the event was a huge success. Such a success, in fact, that the festival was moved to the Morgantown Arts Center the following year. Sadly, Sloan Staggs did not live to see the festival as it grew. The joy of that second years festival was dimmed by the news that Sloan had died the very day of the festival.  But there was no stopping a good thing. Worley and his wife Margaret spent their Christmas personally writing invitations to musicians and dancers in West Virginia and beyond, as they continued to do for 14 years until Worley died. For the third yeatr of the festival, Worley obtained the sponsorship of BOPARC, the local recreation board, and the festival, still growing, moved to South Junior High School where it remains.  On November 10, 1992, Worley Gardner died. Worley was renowned as a square dance caller and for the hammered dulcimers that he played, designed, and built along with his brother Asel. In October 1977 he performed as a featured musician at the Smithsonians Festival of American Folklife. He was also featured in a CBS radio broadcast about mountain music in 1985. Worley was sorely missed by all those who knew him. The Winter Music Festival, renamed the Worley Gardner Winter Music Festival after his death, is one of his best legacies.  Determined to keep the festival alive, Margaret Gardner, who had always hosted the festival with her husband, led the festival committee, helped by a number of local supporters, until her death on December 29, 2000. As a result, the festival lives on and in fact continues to grow. Each year the festival is attended by over 300 musicians from several states as well as many appreciative listeners music lovers from around the area. After Margarets death the Worley Gardner Winter Music Festival was renamed the Gardner Winter Music Festival so as to include Margaret in the name.  There are many of us who are deeply grateful to the Gardners for their contribution to keeping the rich legacy of West Virginias traditional music alive, and for giving us all something wonderful to look forward to in the deep, dreary days of February. May it always be so!",South Middle School,Worley Gardner Winter Music Festival,Morgantown,2/25/2011,,,West Virginia,2/26/2011,gwmf@augusta-wv.com
http://www.cfms-inc.org/central_ohio_folk_festi...,614--4910437-,"From I-270 take I-70 west to the Hilliard/Rome exit (91a), go towards New Rome and travel south to West Broad Street.  Turn right onto Broad Street (U.S. 40) and travel approximately 4 miles to Darby Creek Drive. Turn left on Darby Creek Drive and proceed 3 miles. The main park entrance is on the right.",http://www.festivals.com/viewevent.aspx?eventid=uJyWOou6Qf8%3d,"(Always the first full weekend, including Friday, in May) Primarily a teaching type festival with a Friday evening pot luck supper, jam sessions & a worst song contest a Saturday evening concert, several workshops, spotlight concerts, & a lot of jamming. The instruments, music & skills taught are traditional.",1775 Darby Creek Dr. (Battelle Creek Metro Park),Central Ohio Folk Festival,Columbus/Galloway,5/6/2011,,http://www.festivals.com/gfx//backstage/1/15786/030720090550548582_ad.jpg,Ohio,5/8/2011,Rbaron49@aol.com
http://www.laacousticmusicfestival.com,818--6218309-,"1310 11th Street Santa Monica, CA 90401-2000",http://www.festivals.com/viewevent.aspx?eventid=5XsslMQyXaA%3d,"The LA Acoustic Music Festival is a celebration of acoustic music, benefiting the California Acoustic Music Project (CAMP). CAMP provides artists in residence to schools on a salaried, ongoing basis through the curriculum of the Americana Project in order to ensure that every student gets the experience of music instruction every day. Instruments (primarily guitars, mandolins and banjos) are also provided, and songwriting, instrumentation and performance are taught, and the semester culminates in both a CD project and a concert performance. The festival takes places on the Santa Monica Pier, and this inaugural festival is happening during the piers 100th Anniversary Summer of Celebration.","The Broad Stage, Santa Monica",LA Acoustic Music Festival,Santa Monica,5/22/2011,,"http://www.festivals.com/gfx//backstage/1/16210/031520091017248955_thumb.jpg, http://www.festivals.com/gfx//backstage/1/16210/031520091015550373_ad.jpg",California,5/22/2011,bodiehouse@aol.com
http://www.texasfolklifefestival.org,210--458-2249,,http://www.festivals.com/viewevent.aspx?eventid=U5RNFufxsh0%3d,"From the Alsatians to the Norwegians to the Wendish, the Texas Folklife Festival provides an opportunity for more than 40 cultures from across the state to showcase their traditional foods, music, dance and crafts. And, today, 37 years later, the festival’s mission remains the same and continues with the vibrant energy that got it all started.   Proceeds of the sales of the authentic foods and beverages are taken back to the ethnic communities to continue preserving the cultural groups’ rich traditions, while admission sales offset the Institute’s expenses in organizing the four-day event.    The revenues generated through food and beverage sales are dispersed to the cultural groups, based on their sales. The groups use these funds to educate others about their culture through festivals and outreach programs, provide scholarships for young people and various other ways that support their organizational mission.    For many of the participating groups, the Texas Folklife Festival is the only fundraising opportunity throughout the year and allows them to continue passing on their cultural tradition—be it a particular style of music, folk dance, cooking or craft—to the next generations.",San Antonio,Texas Folklife Festival,San Antonio,6/10/2011,,,Texas,6/12/2011,joann.andera@utsa.edu
http://www.fiddlecontest.com/index.html,208--4140255-,Check mapquest for whatever point of origin.,http://www.festivals.com/viewevent.aspx?eventid=8MaV3pfsqJI%3d,"The National Oldtime Fiddlers Contest and Festival is held each year during the third FULL WEEK of June and this will be our 59th Year!  The contest is the Nationals for the best of the best in the fiddling world!  Many notables have gotten their starts at this contest!  The contest is for all ages to compete and to enjoy.  Completely family friendly.  During the week we also have a Carnival, Vendor Fair, Bluegrass Music and Battle of the Bands that happens downtown at our City Park.  There are many, many things to see and do.  Once you come, you will be back!  Come and join us and see what we mean!",Throughout the city,National Oldtime Fiddlers Festival,Weiser,6/20/2011,,,Idaho,6/25/2011,admin@fiddlecontest.com
http://www.HeartlandTattoo.org,815--756-1263,ILL State 59 at Interstate 90,http://www.festivals.com/viewevent.aspx?eventid=kx7yEbmatOU%3d,"Traditional Music Tattoo featuring Scottish, Irish, and American music. An arena production show. Includes meeting of the Clans, Highland games demonstration, Scotch Tasting, Beer Tasting, Festival of Nations, International Parade and more",Sears Centre Arena,Heartland Music Tattoo,Hoffman Estates,4/16/2011,"Cast of 500 Musician, Singers, Dancers, Civilian and Military Bagpipe and Brass Bands, Drum & Bugle Corps, Drill Teams and more.","http://www.festivals.com/gfx//backstage/1/8566/100920080305390321_thumb.jpg, http://www.festivals.com/gfx//backstage/1/8566/100920080303373298_ad.jpg",Illinois,4/17/2011,m.embrey@heartlandtattoo.org
http://stxifmf.blogspot.com/,615--207-1478,,http://www.festivals.com/viewevent.aspx?eventid=TCkpZSXuncc%3d,,"Fredericksted, St Croix",St Croix International Film & Music Festival,Fredericksted,6/2/2011,,,Virgin Islands,6/8/2011,tropicheatstudios@gmail.com
http://www.icaf.org,,"4th to 7th Streets of The National Mall, between the National Air and Space Musuem and the National Gallery of Art",http://www.festivals.com/viewevent.aspx?eventid=lFOOpxVQbO0%3d,The festival will provide a complete synthetic experience to the participants – the creation of a total work of art that transforms the National Mall.,,World Childrens Festival,Washington,6/17/2011,,,DC,6/19/2011,
http://www.icaf.org,,"Right across the U.S. Capitol on the National Mall, between the National Gallery of Art and the National Air and Space Museum",http://www.festivals.com/viewevent.aspx?eventid=UL6HINE88Tw%3d,"The worlds largest international celebration of childrens creativity and imagination.  The World Childrens Festival, held every four years on The National Mall, is free and open for the public.  The 3-day festival offers more than 200 workshops, performances and activities for children as young as four and as old as ninety four.",,World Childrens Festival,Washington,6/17/2011,,,District of Columbia,6/19/2011,
http://www.mondialchoral.org,888--9359229-233,Detailed informations and map on our web site,http://www.festivals.com/viewevent.aspx?eventid=VguDWNLt20g%3d,"Years of concerts and shows bringing together tens of thousands of choir members from all over the planet, popular performers, musicians, orchestras and artistic collaborators are pleased to present unique, original artistic pieces.  In addition to a breathtaking outdoor program and an always outstanding indoor one as well, The World Choral Festival is offering the public a very wide range of activities, within its Festival and Competition components.",Lavals City,Loto-Quebec World Choral Festival,Laval,6/23/2011,,"http://www.festivals.com/gfx//backstage/1/16824/052220091037416235_thumb.jpg, http://www.festivals.com/gfx//backstage/1/16824/052220091039137467_ad.jpg",Quebec,7/3/2011,info@mondialchoral.org
