phone,moreDetailURL,latitude,name,address,admission,date,venue,description,externalURL,longitude
614-205-8835,http://www.experiencecolumbus.com/event-detail.cfm/event/Writers%27%2DGroup/id/26814,40.014421,Writers' Group,"2491 Summit St., Columbus, OH 43202",,11/22/2010 - 03/28/2011,Wild Goose Creative,"The writers group is a place for writers from beginner to experienced to share their works and receive feedback from others. Bring your most recent work, either complete or in-progress, and talk about where it has been, is, and where it could be. The group is set up as a casual discussion group focusing around writing. We come together to chat about our shared interest in writing and to share our current work with each other. Each writer is encouraged to bring a short fiction/non-fiction sample of work each month. This work can be poetry, prose, or whatever other style of writing you prefer. We normally keep the work short, like a piece that can be shared in 5 to 10 minutes time. If you cannot bring any current work, please bring a short sample of another author's work that inspires you. For first time attendees, we encourage you to bring a few older works that you are proud of to share. It helps the group to get a better idea of what sort of writing you like to do.",http://www.wildgoosecreative.com,-83.000556
740-203-6908,http://www.experiencecolumbus.com/event-detail.cfm/event/Downtown%2DDelaware%27s%2DFirst%2DFriday%2DCelebration/id/26701,40.294944,Downtown Delaware's First Friday Celebration,"61 S. Sandusky St., Delaware, 43015",Free,12/03/2010 - 12/02/2011,Downtown Delaware,"Delaware, Ohio's downtown antique shops, gift boutiques, art galleries, restaurants and other attractions stay open late as part of Main Street Delaware's family-friendly First Friday celebration of the city.",http://www.mainstreetdelaware.org,-83.068099
"614-861-8888, 800-456-4000",http://www.experiencecolumbus.com/event-detail.cfm/event/30%2DYear%2DRide%3A%2DHonda%27s%2DOhio%2DMade%2DMotorcycles/id/25445,39.932199,30-Year Ride: Honda's Ohio-Made Motorcycles,"13515 Yarmouth Dr., Pickerington, 43147",Adults $10. Students $3. Seniors $8. Children 11 and under free.,07/08/2010 - 06/30/2012,AMA Motorcycle Hall of Fame Museum,"30-Year Ride: Honda's Ohio-Made Motorcycles showcases 30 years of significant Honda motorcycles manufactured in Marysville, Ohio.",http://www.motorcyclemuseum.org,-82.781408
614-292-2295,http://www.experiencecolumbus.com/event-detail.cfm/event/Ohio%2DState%2DTheatre%3A%2DBreaking%2DGround%3A%2DA%2DPlay%2DReading%2DSeries/id/26124,39.9992307,Ohio State Theatre: Breaking Ground: A Play Reading Series,"1849 Cannon Dr., Columbus, OH 43210",,11/07/2010 - 05/15/2011,"Drake Performance, The Ohio State University",Theatre graduate student organization The Syndicate and the Department of Theatre are sponsoring a series of staged readings in conjunction with the 2010 - 2011 main stage season.,http://www.theatre.osu.edu/,-83.0227196
"614-228-2674, 888-819-COSI",http://www.experiencecolumbus.com/event-detail.cfm/event/Extreme%2DScreen%2DFilm%3A%2DLegends%2Dof%2DFlight/id/25387,39.960363,Extreme Screen Film: Legends of Flight,"333 W. Broad St., Columbus, OH 43215",$7.50 or $6 with exhibit admission.,11/03/2010 - 03/13/2011,COSI,"Take the ultimate ""flying experience"" without leaving the ground on COSI's 7-Story Extreme Screen in the new feature giant screen film, Legends of Flight opening on November 3, 2010. Soar through 100 years of aviation history and the most influential airplanes that have inspired the next generation of airplanes including the Boeing 787 Dreamliner. You'll follow veteran test pilot Capt. Mike Carriker and get a true insider's look at how a modern aircraft is designed and built as well as feel the thrill of flying through a mountain glider, a Stearman bi-plane and the heart pounding excitement of a Harrier Jump Jet.",http://www.cosi.org,-83.005872
"800-838-3006, 614-440-3177",http://www.experiencecolumbus.com/event-detail.cfm/event/Columbus%2DFood%2DAdventures%3A%2DAlt%2DEats%2DTour/id/27016,39.965172,Columbus Food Adventures: Alt Eats Tour,"Hamlet & Warren, Columbus, OH 43215",$60,12/17/2010 - 02/25/2011,Leaves from Wonderland,"Travel the world while without leaving Columbus. This tour's itinerary will introduce you to some of the best ethnic food in the city. We'll experience a taste of Zanzibar, eat Vietnamese sandwiches, sample Somali food, sample some Southern Indian food, and visit a Latino grocery store. Join us in our comfortable 14-passenger van, and learn about the cuisines and cultures of some of Columbus's finest immigrant kitchens.",http://www.columbusfoodadventures.com,-82.985218
"800-838-3006, 614-440-3177",http://www.experiencecolumbus.com/event-detail.cfm/event/Columbus%2DFood%2DAdventures%3A%2DShort%2DNorth%2DWalking%2DTour/id/27015,39.9722429,Columbus Food Adventures: Short North Walking Tour,"59 Spruce St., Columbus, OH 43215",$45,12/17/2010 - 03/25/2011,Leaves from North Market,"Take a leisurely stroll with us through the Short North. Not just an Arts district and home to the Monthly Gallery Hop, the Short North also boasts a wealth of dining and shopping opportunities. The Short North is packed full of boutiques, fine dining and nightlife and this tour is designed to show off some of the best that the Short North and Columbus have to offer.",http://www.columbusfoodadventures.com,-83.0041907
614-856-2222,http://www.experiencecolumbus.com/event-detail.cfm/event/30%2DYear%2DRide%3A%2DHonda%27s%2DOhio%2DMade%2DMotorcycles/id/25445,39.932199,30-Year Ride: Honda's Ohio-Made Motorcycles,"13515 Yarmouth Dr., Pickerington, 43147",Adults $10. Students $3. Seniors $8. Children 11 and under free.,07/08/2010 - 06/30/2012,AMA Motorcycle Hall of Fame Museum,"30-Year Ride: Honda's Ohio-Made Motorcycles showcases 30 years of significant Honda motorcycles manufactured in Marysville, Ohio.",http://www.motorcyclemuseum.org,-82.781408
614-265-7625,http://www.experiencecolumbus.com/event-detail.cfm/event/Shadowbox%2DLive%3A%2DThe%2DNaked%2DTruth/id/26719,40.050745,Shadowbox Live: The Naked Truth,"164 Easton Town Center, Columbus, OH 43219",Adults $30. Students and seniors $20.,01/06/2011 - 03/26/2011,Shadowbox Live,"Sketch comedy and rock 'n' roll get real this winter with Shadowbox Live's newest show, The Naked Truth. Take a peek behind closed doors where secrets are revealed one whisper at a time. A little racy and raw, The Naked Truth blends reality and fantasy into a comedy cocktail that will leave you begging for more.",http://www.shadowboxlive.org,-82.915363
"614-265-7625, 614-416-7625",http://www.experiencecolumbus.com/event-detail.cfm/event/Shadowbox%2DLive%3A%2DLove%2Dand%2DLies%2DLunchbox/id/26721,40.050745,Shadowbox Live: Love and Lies Lunchbox,"164 Easton Town Center, Columbus, OH 43219",$10. Students and Seniors $5,01/21/2011 - 11/25/2011,Shadowbox Live,"Whether you let love rule or you live to get away with a little while lie, you'll like Shadowbox Live's newest themed matinee, Love and Lies Lunchbox. This 45-minute teaser will leave you feeling flirty and mischievous: a naughty and nice combination.",http://www.shadowboxlive.org,-82.915363
"614-228-2674, 888-819-COSI",http://www.experiencecolumbus.com/event-detail.cfm/event/Geckos%3A%2DTails%2Dto%2DToepads/id/25146,39.960363,Geckos: Tails to Toepads,"333 W. Broad St., Columbus, OH 43215",Adults $14.25. Children 2-12 $9.25. Seniors $13.25,01/18/2011 - 05/08/2011,COSI,"Geckos: Tails to Toepads brings leaping lizards to COSI Jan. 18-May 8. With their bulging eyes, sticky toepads and surprisingly squawky voices, these remarkable reptiles can be seen in naturalistic habitats and explored through hands-on activities.",http://www.cosi.org,-83.005872
614-294-5200,http://www.experiencecolumbus.com/event-detail.cfm/event/Creative%2DChords%2DII%3A%2DGroup%2DPiano%2DLessons%2Dwith%2DBradley%2DSowash/id/26998,39.9671896,Creative Chords II: Group Piano Lessons with Bradley Sowash,"771 E. Long St., Columbus, OH 43203",$125-$150,01/31/2011 - 03/21/2011,"Jazz Academy, Lincoln Theatre","Build on your piano skills in a fast-faced, fun and creative atmosphere. This course is a continuation of Creative Chords I. However, if you know the basics (reading simple rhythms in treble and bass clef) and would like to start playing again or for the first time, this class is for you! We will cover scales, chords, and learning fake well-known tunes such as ""On Top of Old Smokey"" and ""Twinkle, Twinkle"". Text and music are provided with weekly handouts. Practice on a home piano or keyboard is expected.",http://www.jazzartsgroup.org,-82.9807147
614-294-5200,http://www.experiencecolumbus.com/event-detail.cfm/event/Creative%2DChords%2DIV%3A%2DGroup%2DPiano%2DLessons%2Dwith%2DBradley%2DSowash/id/27000,39.9671896,Creative Chords IV: Group Piano Lessons with Bradley Sowash,"771 E. Long St., Columbus, OH 43203",$125-$150,01/31/2011 - 03/21/2011,"Jazz Academy, Lincoln Theatre","Creative Chords IV is a fun and creative approach to playing pop/jazz lead sheets using common chord patterns, improvising, and personalizing tunes. The instructor will select repertoire based on the desires and ability levels of the participants. Practice on a home piano or keyboard is expected.",http://www.jazzartsgroup.org,-82.9807147
"614-645-8733, 800-214-TREE",http://www.experiencecolumbus.com/event-detail.cfm/event/Orchid%2DForest/id/26121,39.964294,Orchid Forest,"1777 E. Broad St., Columbus, OH 43203",Adults $11. Seniors and students $9. Children $6. Children under 2 free.,01/15/2011 - 03/27/2011,Franklin Park Conservatory,"The Conservatory's Pacific Island Water Garden comes alive with the warmth and color in the midst of winter. Waves of hundreds of colorful, tropical orchids are arranged on arches, descend from trees and complement lush, green foliage. Make a winter escape into the Orchid Forest.",http://www.fpconservatory.org,-82.954627
614-236-6319,http://www.experiencecolumbus.com/event-detail.cfm/event/Exhibit%3A%2DEdward%2DWeston%3A%2DLife%2DWork/id/25977,,Exhibit: Edward Weston: Life Work,"One College and Main, Columbus, OH 43209",,01/17/2011 - 03/26/2011,"Schumacher Gallery, Capital University",This groundbreaking exhibit features an outstanding grouping of vintage prints from all phases of Weston's five-decade career. Previously unpublished masterworks are interspersed with well-known signature images. Works are from the collection of Michael Mattis and Judith Hochberg.,http://www.schumachergallery.org,
614-644-9624,http://www.experiencecolumbus.com/event-detail.cfm/event/Exhibit%3A%2DHere%27s%2DLooking%2DAt%2DYou%3A%2DNew%2DPortraits%2Dby%2DOhio%2DArtists/id/25355,39.96056,Exhibit: Here's Looking At You: New Portraits by Ohio Artists,"Riffe Center, 77 S. High St., Columbus, OH 43215",Free,01/27/2011 - 04/17/2011,Ohio Arts Council's Riffe Gallery,"Curated by Kay Koeninger, the exhibition features 14 Ohio artists who stretch the idea of what a portrait can be. Through their eyes, we see not only the world but ourselves and others in a transformative new light. They are not constrained by a past art form but are energized and profoundly inspired by it, using a variety of mediums - from photography to charcoal to stoneware to acrylic painting - to create unforgettable portraits.",http://www.riffegallery.org,-83.000336
614-222-3270,http://www.experiencecolumbus.com/event-detail.cfm/event/Exhibit%3A%2DSeventh%2DDream%2Dof%2DTeenage%2DHeaven/id/25413,39.963372,Exhibit: Seventh Dream of Teenage Heaven,"107 N. 9th St., Columbus, OH 43215",Free,01/27/2011 - 03/12/2011,Columbus College of Art & Design Canzani Center,"Seventh Dream of Teenage Heaven explores what it means to long for a return to the vitality and glory of an idealized past. While ""nostalgia"" is often summoned to convey a yearning for the reclamation of something lost, for the return of some bygone era, ""saudade"" is at times a more appropriate description. Originating in 15th-century Portugal when friends and family were missing at sea or war - but not confirmed dead - saudade lends the sense of possibility, the potential of recovery, the likelihood of seeing them again. It offers a fissure into which the realization of return is there. Hope remains alive and well. With this in mind, Seventh Dream of Teenage Heaven investigates how once-glorified and lyrical pasts - physical, mental, material, and spiritual - can again be claimed in present and future moments.",http://www.ccad.edu,-82.990894
"614-645-0642, 614-645-KING",http://www.experiencecolumbus.com/event-detail.cfm/event/Exhibit%3A%2DHomage%2Dto%2DBearden%3A%2DPiecing%2Dit%2DTogether/id/25400,39.9701669,Exhibit: Homage to Bearden: Piecing it Together,"867 Mt. Vernon Ave., Columbus, OH 43203",,01/29/2011 - 04/09/2011,The King Arts Complex,"Romare Bearden (1911-1988), an American artist of African-American heritage, is widely acknowledged as one of the most talented and original visual artists of the twentieth century. Original Romare Bearden works from private collections highlight this exhibition. Selected collage artists from Ohio provide accompanying 2 & 3 - dimensional work.",http://www.kingartscomplex.com,-82.979941
888-OHIO-123,http://www.experiencecolumbus.com/event-detail.cfm/event/Ohio%2DStatehouse%2DSesquicentennial/id/26412,,Ohio Statehouse Sesquicentennial,"Broad St.& High St., Columbus, OH 43215",Free,01/01/2011 - 12/31/2011,Ohio Statehouse,"Red, white and blue patriotic bunting will adorn the west columns of the Ohio Statehouse throughout 2011. The bunting will draw attention to the significance of the Statehouse's year-long sesquicentennial celebration. Special events and activities are planned throughout the year.",http://www.ohiostatehouse.org,
"614-645-8733, 800-214-TREE",http://www.experiencecolumbus.com/event-detail.cfm/event/Cocktails%2Dat%2Dthe%2DConservatory/id/23325,39.964294,Cocktails at the Conservatory,"1777 E. Broad St., Columbus, OH 43203",$10. Must be 21 or over.,01/06/2011 - 12/29/2011,Franklin Park Conservatory,"Enjoy the botanically-themed monthly featured cocktail or a full bar selection along with small plate hors d-oeuvres. DJs from Encore Entertainment create the musical ambience beginning at 5:30 p.m. At dusk, the Palm House glows with James Turrell's LED installation, Light Raiment II. $10 minimum at the door: receive $10 tokens for food and beverage.",http://www.fpconservatory.org/cocktails.htm,-82.954627
614-265-7625,http://www.experiencecolumbus.com/event-detail.cfm/event/Shadowbox%2DLive%3A%2DThe%2DNaked%2DTruth/id/26719,40.050745,Shadowbox Live: The Naked Truth,"164 Easton Town Center, Columbus, OH 43219",Adults $30. Students and seniors $20.,01/06/2011 - 03/19/2011,Shadowbox Live,"Sketch comedy and rock 'n' roll get real this winter with Shadowbox Live's newest show, The Naked Truth. Take a peek behind closed doors where secrets are revealed one whisper at a time. A little racy and raw, The Naked Truth blends reality and fantasy into a comedy cocktail that will leave you begging for more.",http://www.shadowboxlive.org,-82.915363
"614-228-2674, 888-819-COSI",http://www.experiencecolumbus.com/event-detail.cfm/event/Geckos%3A%2DTails%2Dto%2DToepads/id/25146,39.960363,Geckos: Tails to Toepads,"333 W. Broad St., Columbus, OH 43215",Adults $14.25. Children 2-12 $9.25. Seniors $13.25,01/15/2011 - 05/08/2011,COSI,"There are more than 1,000 species of Geckos living across the globe from balmy tropical beaches and lush rainforests to frigid mountain slopes and parched deserts. They range from shadowy nighttime hunters to neon-colored nectar eaters that scamper around in daylight. Welcome to the Gecko's world!",http://www.cosi.org,-83.005872
614-247-5825,http://www.experiencecolumbus.com/event-detail.cfm/event/HOOT%2DFamily%2DFilm%2DSeries/id/27205,,HOOT Family Film Series,"1554 N. High St., Columbus, OH 43201",Free with a suggested donation of a canned good,01/29/2011 - 10/29/2011,Gateway Film Center,"HOOT is a monthly festival of films, music and activities designed for Central Ohio families and children. On the final Saturday of each month, families are invited to enjoy stimulating games, story readings, and music from around the world. The Shazzbots, a popular local kids band, will provide music between short films.",http://www.gatewayfilmcenter.com,
614-273-8030,http://www.experiencecolumbus.com/event-detail.cfm/event/Walk%2DWith%2Da%2DDoc/id/27220,40.145059,Walk With a Doc,"9466 Columbus Pike or 1500 Polaris Pkwy., Columbus, OH 43035",Free,01/08/2011 - 12/31/2011,Highbanks Metro Park or Polaris Fashion Place,"Start your Saturday right. Walk with a Doc is free and open to anyone interested in taking steps for their health. Come alone or bring loved ones, and enjoy a rejuvenating walk in the park. Board-certified cardiologist Dr. David Sabgir, other specialists, and additional healthcare professionals can provide support and answer questions. Among the free activities are: blood pressure checks, healthy snacks, recipes and information to make better lifestyle changes, and opportunities to talk with the docs. The walks are held most Saturdays. Please check WalkWithADoc.org to confirm times and locations.",http://www.walkwithadoc.org,-82.981907
614-292-8861,http://www.experiencecolumbus.com/event-detail.cfm/event/Exhibit%3A%2DCrossing%2Dthe%2DBLVD%3A%2Dstrangers%2C%2Dneighbors%2C%2Daliens%2Din%2Da%2Dnew%2DAmerica/id/27204,39.958751,"Exhibit: Crossing the BLVD: strangers, neighbors, aliens in a new America","50 W. Town St., Columbus, OH 43215",Free,01/18/2011 - 03/26/2011,OSU Urban Arts Space,"Come to the OSU Urban Arts Space and see Crossing the BLVD: strangers, neighbors, aliens in a new America. The artists started the project in 1999 when they began conducting workshops for new immigrants to recount their experiences. Eleven years later, Crossing the BLVD has grown into a multifaceted documentation, consisting of an award-winning book, CD, website, performances, public radio documentaries, and traveling exhibition.",http://www.uas.osu.edu,-83.000786
614-247-5825,http://www.experiencecolumbus.com/event-detail.cfm/event/HOOT%2DFamily%2DFilm%2DSeries/id/27205,39.9940603,HOOT Family Film Series,"1554 N. High St., Columbus, OH 43201",Free with a suggested donation of a canned good,01/29/2011 - 10/29/2011,Gateway Film Center,"HOOT is a monthly festival of films, music and activities designed for Central Ohio families and children. On the final Saturday of each month, families are invited to enjoy stimulating games, story readings, and music from around the world. The Shazzbots, a popular local kids band, will provide music between short films.",http://www.gatewayfilmcenter.com,-83.0068502
"614-297-2300, 800-686-6124",http://www.experiencecolumbus.com/event-detail.cfm/event/Echoes%2Din%2DTime%2DTheatre%3A%2DProtection%2C%2DPay%2Dand%2Dthe%2DLong%2DRoad%2Dto%2DFreedom/id/26066,40.002125,"Echoes in Time Theatre: Protection, Pay and the Long Road to Freedom","1982 Velma Ave., Columbus, OH 43211",Adults $12. Seniors $7. Children 6-12 $9.,02/05/2011 - 02/26/2011,Ohio Historical Center/Ohio Village,Listen to the story of one soldier from the United States Colored Troops as he tells how the colored soldier fights for not only the freedom of his race but his own personal to freedom to join the white soldiers fighting the war that threatens to divide the Union.,http://www.ohiohistory.org,-82.986624
614-292-2295,http://www.experiencecolumbus.com/event-detail.cfm/event/Ohio%2DState%2DTheatre%3A%2DOthello/id/26122,39.9992307,Ohio State Theatre: Othello,"1849 Cannon Dr., Columbus, OH 43210",$12-$18,02/10/2011 - 02/26/2011,"Roy Bowen Theatre, The Ohio State University","Often called Shakespeare's most intimate tragedy, Othello is a timely play of race, politics, and the marriage bed. A young public figure on the political rise and esteemed general in the service of Venice, Othello has recently wed Desdemona, the daughter of a senator. When he promotes Michael Cassio to be his lieutenant, the brilliant, politically ambitious, and passed over Iago is enraged and plots revenge. Othello aspires to belong to Desdemona's world and instead becomes victim to its bigotry and his own inner demons through Iago's keen psychological manipulation.",http://www.theatre.osu.edu/,-83.0227196
614-292-3535,http://www.experiencecolumbus.com/event-detail.cfm/event/Anna%2DDeavere%2DSmith%3A%2DLet%2DMe%2DDown%2DEasy/id/25469,39.9671792,Anna Deavere Smith: Let Me Down Easy,"769 E. Long St., Columbus, OH 43203",$20-$48,02/22/2011 - 02/27/2011,Lincoln Theatre,"One of the foremost solo theater artists of our time, Anna Deavere Smith pioneered the journalistic style of portraying multiple real-life characters with texts drawn verbatim from her own interviews with her subjects. She now returns with her latest production, Let Me Down Easy, which incisively examines coping with illness, injury, survivorship, and mortality.",http://www.wexarts.org,-82.9815464
614-292-2295,http://www.experiencecolumbus.com/event-detail.cfm/event/Ohio%2DState%2DTheatre%3A%2DSpring%27s%2DAwakening/id/26123,39.9992307,Ohio State Theatre: Spring's Awakening,"1849 Cannon Dr., Columbus, OH 43210",$12-$18,02/24/2011 - 03/05/2011,"Thurber Theatre, The Ohio State University","Challenging too many taboos to be performable when first written in the late 19th century, Spring's Awakening was almost universally regarded as brazen pornography. Set in a small German town in the 1890's, adolescent boys and girls grope their way towards knowledge and maturity against the blocks set up by parents and teachers in the name of morality. Melchior, fearless in his pursuit of the truth, manages to retain his freedom of spirit, but his friends are not so lucky or strong.",http://www.theatre.osu.edu/,-83.0227196
800-745-3000,http://www.experiencecolumbus.com/event-detail.cfm/event/Madagascar%2DLive/id/26897,39.9621991,Madagascar Live,"34 W. Broad St., Columbus, OH 43215",$30-65-$97.80,02/25/2011 - 02/27/2011,Palace Theatre,,http://www.ticketmaster.com,-83.0016398
614-464-9400,http://www.experiencecolumbus.com/event-detail.cfm/event/Phoenix%2DTheatre%2Dfor%2DChildren%3A%2DCharlotte%27s%2DWeb/id/24216,39.96056,Phoenix Theatre for Children: Charlotte's Web,"77 S. High St., Columbus, OH 43215",,02/25/2011 - 03/11/2011,"Studio One Theatre, Riffe Center","Wilbur must be ""Some Pig"" because Charlotte, the spider, has written those words in her web. Charlotte's sacrifice for Wilbur proves that she is some spider as well. This classic story has warmed the hearts of audiences for generations.",http://www.phoenix4kids.org,-83.000336
