hours,phone,dates,url,pictures,moreinfo,fulladdress,name,venue,description,email,endDate
10:00am  - 2:00pm,,03/05/2011,,,http://www.gohawaii.com/lanai/events/internal/021611149,"834-A Gay Street, Lanai City, HI&nbsp;&nbsp;96763",THE LANAI TAAPE COOK-OFF CHALLENGE N FUNDRAISER,The Lanai Ohana Poke Market,"<p>""Lana'i Ta'ape Cook-Off Challenge is an event about bringing awareness of non-native fish that were introduced in the late 60's and 70's.&nbsp; Of all the species released, the top three that do more harm than good are the ROI, TA'APE, and TOAU.&nbsp; Of the three, oru event is to encourage the catching and eating of the TA'APE, which are easily caught and are good table fare.&nbsp;<br> <br>The first 10 contestants will be accepted, applications may be picked up at The Lana'i Ohana Poke Market.<br> <br>Cook-Off Challenge entry fee is $25.00. Prizes will be given to the top three contestants.<br> <br>The Fried Ta'ape Plate Lunch Benefit Fundraiser is $8.00 with a drink.<br> <br>FRESH TA'APE will be available and FREE with purchase of plate lunch!<br>""</p>",,
3:00pm  - 5:00pm,808-826-1469,03/20/2011,http://www.McMasterSlackKey.com/liveshows.html,,http://www.gohawaii.com/kauai/events/internal/1215101157,"5-5299 Kuhio Hwy., Hanalei, HI&nbsp;&nbsp;96714",Spirit of Slack Key Concert,Hanalei Community Center,"<p>Sunday 3:00-5:00pm. Hanalei Family Community Center. Award winning traditional Hawaiian slack key guitar &amp; ukulele concert featuring songs &amp; stories of the Aloha spirit. FREE gift drawing. Tickets $20 ($15 keiki and seniors).&nbsp; Proceeds support Hale Halawai Ohana o Hanalei and this program.<br>Call 826-1469 for more info and reservations.<br> <br>Directions: In Hanalei, just past Ching Young Shopping Village, look for the Slack Key Concert banner on the mountain side of the road next to the soccer fields. Turn left towards the mountains on the little access road, go twenty yards and turn left and around into the gravelled parking area. The community center is the double yurt brown building.<br> <br>Concerts of award winning Kauai recording artists Doug &amp; Sandy McMaster. They have 8 CDs and a DVD to their credit and work tirelessly to perpetuate the knowledge of traditional Hawaiian slack key guitar and its history.<br> <br>Here's a few audience comments:<br>""""Awesome music &amp; talent!"""" - Kathy<br>""""Beautiful, relaxing music."""" -JoAnne<br>""""Soothing to the soul and spirit."""" -David &amp; Dianne<br>""""...make this show your first priority."""" -Donnia<br>""""To really feel Hawaii, you must hear slack key music. It embodies Aloha!"""" -Bill<br>""""Experience real Aloha and the real Hawaii -- very unique. Makes you feel like you are part of a family."""" -Carole &amp; Steve<br>""""This is a must when visiting Kauai. Great learning experience from the stories &amp; music. Excellent!! The music &amp; stories will remain in my mind for a long time!"""" -Lana &amp; Justin<br>""""The most aloha experience on Kauai. The 'ono' of entertainment."""" - Bob &amp; Emily<br> <br>Experience and learn history of Hawaiian slack key guitar &amp; ukulele as well as stories behind the songs, of Hawaii places and history.<br>http://www.McMasterSlackKey.com/liveshows.html</p>",aplenty@hawaiiantel.net,
4:00pm  - 6:00pm,808-826-1469,03/25/2011,http://www.McMasterSlackKey.com/liveshows.html,,http://www.gohawaii.com/kauai/events/internal/1215101154,"5-5299 Kuhio Hwy., Hanalei, HI&nbsp;&nbsp;96714",Legends of Slack Key Concert,Hanalei Community Center,"<p>Friday 4:00-6:00pm. Hanalei Family Community Center. Award winning traditional Hawaiian slack key guitar &amp; ukulele concert featuring songs &amp; stories of legendary slack key players. FREE gift drawing. Tickets $20 ($15 keiki and seniors).&nbsp; Proceeds support Hale Halawai Ohana o Hanalei and this program.<br>Call 826-1469 for more info and reservations.<br> <br>Directions: In Hanalei, just past Ching Young Shopping Village, look for the Slack Key Concert banner on the mountain side of the road next to the soccer fields. Turn left towards the mountains on the little access road, go twenty yards and turn left and around into the gravelled parking area. The community center is the double yurt brown building.<br> <br>Concerts of award winning Kauai recording artists Doug &amp; Sandy McMaster. They have 8 CDs and a DVD to their credit and work tirelessly to perpetuate the knowledge of traditional Hawaiian slack key guitar and its history.<br> <br>Here's a few audience comments:<br>""""Awesome music &amp; talent!"""" - Kathy<br>""""Beautiful, relaxing music."""" -JoAnne<br>""""Soothing to the soul and spirit."""" -David &amp; Dianne<br>""""...make this show your first priority."""" -Donnia<br>""""To really feel Hawaii, you must hear slack key music. It embodies Aloha!"""" -Bill<br>""""Experience real Aloha and the real Hawaii -- very unique. Makes you feel like you are part of a family."""" -Carole &amp; Steve<br>""""This is a must when visiting Kauai. Great learning experience from the stories &amp; music. Excellent!! The music &amp; stories will remain in my mind for a long time!"""" -Lana &amp; Justin<br>""""The most aloha experience on Kauai. The 'ono' of entertainment."""" - Bob &amp; Emily<br> <br>Experience and learn history of Hawaiian slack key guitar &amp; ukulele as well as stories behind the songs, of Hawaii places and history.<br>http://www.McMasterSlackKey.com/liveshows.html</p>",aplenty@hawaiiantel.net,
3:00pm  - 5:00pm,808-826-1469,03/27/2011,http://www.McMasterSlackKey.com/liveshows.html,,http://www.gohawaii.com/kauai/events/internal/1215101158,"5-5299 Kuhio Hwy., Hanalei, HI&nbsp;&nbsp;96714",Kauai Slack Key Concert,Hanalei Community Center,"<p>Sunday 3:00-5:00pm. Hanalei Family Community Center. Award winning traditional Hawaiian slack key guitar &amp; ukulele concert featuring songs &amp; stories of Kauai. FREE gift drawing. Tickets $20 ($15 keiki and seniors).&nbsp; Proceeds support Hale Halawai Ohana o Hanalei and this program.<br>Call 826-1469 for more info and reservations.<br> <br>Directions: In Hanalei, just past Ching Young Shopping Village, look for the Slack Key Concert banner on the mountain side of the road next to the soccer fields. Turn left towards the mountains on the little access road, go twenty yards and turn left and around into the gravelled parking area. The community center is the double yurt brown building.<br> <br>Concerts of award winning Kauai recording artists Doug &amp; Sandy McMaster. They have 8 CDs and a DVD to their credit and work tirelessly to perpetuate the knowledge of traditional Hawaiian slack key guitar and its history.<br> <br>Here's a few audience comments:<br>""""Awesome music &amp; talent!"""" - Kathy<br>""""Beautiful, relaxing music."""" -JoAnne<br>""""Soothing to the soul and spirit."""" -David &amp; Dianne<br>""""...make this show your first priority."""" -Donnia<br>""""To really feel Hawaii, you must hear slack key music. It embodies Aloha!"""" -Bill<br>""""Experience real Aloha and the real Hawaii -- very unique. Makes you feel like you are part of a family."""" -Carole &amp; Steve<br>""""This is a must when visiting Kauai. Great learning experience from the stories &amp; music. Excellent!! The music &amp; stories will remain in my mind for a long time!"""" -Lana &amp; Justin<br>""""The most aloha experience on Kauai. The 'ono' of entertainment."""" - Bob &amp; Emily<br> <br>Experience and learn history of Hawaiian slack key guitar &amp; ukulele as well as stories behind the songs, of Hawaii places and history.<br>http://www.McMasterSlackKey.com/liveshows.html</p>",aplenty@hawaiiantel.net,
1:00pm  - 3:00pm,,03/13/2011,,,http://www.gohawaii.com/big-island/events/internal/21711129,"Hwy. 11, Volcano, HI&nbsp;&nbsp;96778",SUNDAY WALK IN THE PARK,Hawaii Volcanoes National Park,<p>This new monthly program takes participants on guided walks on the trails in Hawaii Volcanoes National Park.&nbsp;&nbsp; This two-hour hike will start at the park's Kilauea Visitor Center and follow some of the popular trails around Kilauea Crater. Free.</p>,programs@fhvnp.org.,
,808-536-4441,03/24/2011,http://www.kumukahua.org,,http://www.gohawaii.com/oahu/events/internal/21611184,"46 Merchant St, Honolulu, HI&nbsp;&nbsp;96813",THE HOLIDAY OF RAIN,Kumu Kahua Theatre,"<p>At the Sadie Thompson Inn in Samoa, the innkeepers have planned an unusual experience for their special guests: a reenactment of W. Somerset Maugham&rsquo;s 1921 short story &ldquo;Rain.&rdquo; But thanks to a magician&rsquo;s time warp, the real Maugham finds himself on the guest list. Swirling together fantasy, history, humor and drama, Victoria Nalani Kneubuhl, winner of the Hawaii Award for Literature and the author of The Conversion of Kaahumanu and Ola Na Iwi, re-imagines Maugham&rsquo;s steamy South Sea story in a wild romp of illusions, delusions and near fatal attractions.<br> <br>Tickets are on sale now and prices range from $5 to $20.&nbsp; Tickets may be purchased with a credit card by calling 536-4441, or by visiting the Kumu Kahua Box Office at 46 Merchant Street from 11am to 3pm Monday through Friday.&nbsp; For more information about this and other productions, or to purchase tickets online, visit www. Kumu Kahua.org.</p>",,04/23/2011
,717-671-4300,03/18/2011,,,http://www.gohawaii.com/oahu/events/internal/072610493,"1801 Kalakaua Ave, Honolulu, HI&nbsp;&nbsp;96815",First Hawaiian International Auto Show,Hawaii Convention Center,"<p>With plenty of automotive excitement and family fun in the works, the 2011-model show<br>season is sure to be one to remember.</p>",,03/20/2011
4:30pm  - 5:30pm,808-240-6369,03/24/2011,http://princekuhio.wetpaint.com,,http://www.gohawaii.com/kauai/events/internal/021611142,"1571 Poipu Rd., Koloa, HI&nbsp;&nbsp;96756",PRINCE KUHIO CELEBRATION - HULA KAHIKO,Grand Hyatt Kauai Resort and Spa,"<p>As part of the Prince Kuhio Celebration, come learn the story of ancient hula (hula kahiko), hula chants and find out about kinolau (plants) as they relate to hula kahiko. Hula kahiko is not only the dance, kahiko entails meaningful chants, gathering plants (kinolau), and the creation of lei. Please join us as we share our culture through chants that are significant for gathering. Learn to dance a hula kahiko, and learn about the creation of our kupe`e (bracelets).</p>",stella.burgess@hyatt.com,
,808-596-7858,01/28/2011,http://www.hawaiiopera.org,,http://www.gohawaii.com/oahu/events/internal/1228101226,"777 Ward Avenue, Honolulu, HI&nbsp;&nbsp;96814",GRAND OPERA SEASON,Neil Blaisdell Center,"<p>HOT launches the 2011 Grand Opera Season with its devilish production of Faust by Charles Gounod.&nbsp; Directed by HOT's General and Artistic Director Henry Akina, Faust showcases a seasoned cast to tell the story of Satan's grip on the human soul.&nbsp; John Bellemar, last seen at HOT in the high tenor role of Don Ottavio and Almaviva, returns to the HOT stage in the title role. Soprano Melody Moore makes her HOT stage debut in the role of Marguerite.&nbsp; She has been heard at many companies throughout the United States.&nbsp; Bass Jamie Offenbach makes his debut in the role of Mephistopheles with this production. Mark Flint returns to HOT to conduct Faust.</p> <p>The centerpiece of the season is Gaetano Donizetti's Lucia di Lammermoor.&nbsp; HOT's Executive Director Karen Tiller stages a storybook cast for this dramatic tragedy set to powerful music.&nbsp; It will be presented in Italian with English subtitles. Nancy Allen Lundy, takes the stage in the title role and partners with Jorge Lopez-Yanez as Lucia's lover Edgardo. Gregory Gerbrandt makes his HOT debut as Lucia&rsquo;s manipulating evil brother Enrico.&nbsp; Maestro Michael conducts this opera.&nbsp;&nbsp;</p> <p>The season finale, Giuseppe Verdi's unforgettable classic, La Traviata, also be staged by Henry Akina.&nbsp; Maestro Ty Paterson takes the baton to conduct this audience favorite.&nbsp; The celebrated Uruguayan soprano Luz del Alba appears as Violetta. Eric Margiore sings the tenor role of Alfredo. Star baritone Jake Gardner appears as the elder Germont.</p>",hottickets@hawaiiopera.org,03/01/2011
6:00pm  - 9:00pm,808-240-6369,03/25/2011,http://princekuhio.wetpaint.com,,http://www.gohawaii.com/kauai/events/internal/021611144,"1571 Poipu Rd., Koloa, HI&nbsp;&nbsp;96756",PRINCE KUHIO CELEBRATION - EVENING OF HAWAIIAN ENTERTAINMENT,Grand Hyatt Kauai Resort and Spa,"<p>As part of the Prince Kuhio Celebration, come enjoy some outstanding Hawaiian musicians for an evening of song and instrumentals. There will be a torchlighting ceremony, followed by Hawaiian soloists, dancers and musicians. Hear the award winning sounds of Ledward Kaapana and Mike Kaawa, along with the unique voice of Kamakakehau Fernandez, an award winning falsetto entertainer. Kamakakehau brings a Hawaiian operatic style to his music. No charge.</p>",stella.burgess@hyatt.com,
,808-240-6369,03/19/2011,,,http://www.gohawaii.com/kauai/events/internal/21711135,"1571 Poipu Rd, Koloa, HI&nbsp;&nbsp;96756",PRINCE KUHIO CELEBRATION,Grand Hyatt Resort and Spa,"<p>Indoor and outdoor events with canoe racing from Kalapaki Beach to Hanamaulu and Poipu, ukulele lessons, Hawaiian salt making at the Salt Ponds of Hanapepe. Hula, workshops and Hawaiiana entertainment with a Prince Kuhio commemorative ceremony held at Prince Kuhio Park on Lawai Road on Saturday, March 26, 2011 from 10 a.m. to 11:30 a.m.</p>",,03/26/2011
,808-596-7858,02/25/2011,http://www.hawaiiopera.org,,http://www.gohawaii.com/oahu/events/internal/2021183,"777 Ward Avenue, Honolulu, HI&nbsp;&nbsp;96814",HAWAII OPERA THEATRE - LA TRAVIATA,Neal Blaisdell Concert Hall,"<p>Hawaii Opera Theatre's season finale, Giuseppe Verdi's unforgettable classic, La Traviata, will be staged by Henry Akina February 25, 27 &amp; Mar 1 at the Blaisdell Concert Hall. Maestro Ty Paterson takes the baton to conduct this audience favorite. The celebrated Uruguayan soprano Luz del Alba appears as Violetta. She has made her mark on many companies in the United States and abroad, most recently touring with the Venice Opera. She recently appeared in the Republic of China as Violetta and was last heard at HOT in the role of Donna Anna in Don Giovanni. Eric Margiore sings the tenor role of Alfredo. ""He is an ideal match vocally and in personality for the role opposite Luz del Alba,"" Akina said. In demand across the U.S. and in Europe for his great acting and singing abilities, Margiore makes his debut at HOT in this role after having auditioned for the company in New York. Star baritone Jake Gardner appears as the elder Germont, a role often thought to be based on the father of Alexandre Dumas who wrote the novel upon which La Traviata is based. Jake made his debut at HOT in Il Trittico and continued that season to sing Scarpia in Tosca. Last season, Gardner was heard in the role of Wotan in HOT's premiere of Die Walk&uuml;re. La Traviata will be presented in Italian with English subtitles.<br> <br>Conductor - Tyrone Paterson<br>Director - Henry Akina<br>Violetta - Luz del Alba<br>Alfredo - Eric Margiore<br>Germont - Jake Gardner<br>Flora - Mary Chesnut<br>Grenvile - Jamie Offenbach<br>Annina - Kristin Stone<br>Gastone - Laurence Paxton<br>Baron Douphol - Leon Williams<br>Marquis D'Obigny - John Mount<br>Giuseppe - Phil Hidalgo<br>Commissioner - Stelio Scordilis<br>Servant - Benoit Weber</p>",hottickets@hawaiiopera.org,03/01/2011
10:00am  - 11:30am,808-240-6369,03/26/2011,http://princekuhio.wetpaint.com,,http://www.gohawaii.com/kauai/events/internal/021611145,"Lawai Road, Koloa, HI&nbsp;&nbsp;96756",PRINCE KUHIO CELEBRATION - COMMEMORATIVE CEREMONIES,Prince Kuhio Park,"<p>As part of the Prince Kuhio Celebration and in honor of his birthday, come observe the Native Hawaiian protocol of honoring Prince Kuhio through giving hookupu (offerings, gifts) and through dance and singing. Join us on the day of Prince Kuhio's birth near the location where he was born to honor his achievements and his importance to the people of Hawaii. Open to the public at no charge. These commemorative ceremonies are sponsored by the Royal Order of Kamehameha.</p>",stella.burgess@hyatt.com,
10:30am  - 4:30pm,808-941-9754,03/27/2011,http://www.ukulele.com/wikiwiki,,http://www.gohawaii.com/oahu/events/14205,"Honolulu, HI&nbsp;&nbsp;96814",WIKI WIKI ONE DAY VINTAGE COLLECTABLES &amp; HAWAIIANA SHOW,777 Ward Ave,"<p>The Wiki Wiki One Day Vintage Collectibles &amp; Hawaiiana Show is a strictly vintage 20 years and older show and sale at the Blaisdell Center Hawaii Suites in Honolulu. Vendors are from Mainland U.S., Outer Islands and Oahu with everything from Aloha shirts, antiques, art, estate jewelry, dolls, furniture, asian antiques, fine glassware, Hawaiiana, coins, stamps, kitchenware, koa, surf items, ukulele and more! The three annual Wiki Wiki shows are in Spring, October and December. They're a 91 table show with no presales to the vendors until early entry at 9 am.</p>",show@ukulele.com,
9:30am,,03/07/2011,http://www.volcanoartcenter.org,,http://www.gohawaii.com/big-island/events/internal/21611123,"19-4074 Old Volcano Rd, Volcano Village, HI&nbsp;&nbsp;96785",NIAULANI NATURE WALK AND FOREST TOUR,Volcano Arts Center Niaulani Campus,"<p>Take a one-hour guided nature walk through an old-growth Hawaiian rain forest on an easy, half-mile loop trail. The walk introduces individuals, families, and groups to the native plants and birds of Volcano. Mondays.&nbsp; Free.</p>",,03/28/2011
10:00am  - 2:00pm,,03/07/2011,http://www.konahistorical.org,,http://www.gohawaii.com/big-island/events/internal/21611122,"81-6551 Mamalahoa Hwy, Kealakekua, HI&nbsp;&nbsp;96750",GREENWELL STORE LIVING HISTORY EXPERIENCE,Kona Historical Society,"<p>Experience daily life in the Hawaiian Kingdom in the 1890&rsquo;s at this general store, built by English immigrant Henry Greenwell.&nbsp; Costumed interpreters show you authentic goods of the day and provide a rare glimpse into Kona&rsquo;s colorful past.&nbsp; Monday, Tuesday, Wednesday, Thursday. Free.</p>",,03/31/2011
9:00am  - 4:00pm,,03/14/2011,http://www.huinoeau.com,,http://www.gohawaii.com/maui/events/internal/021611161,"2841 Baldwin Avenue, Makawao, HI&nbsp;&nbsp;96768",CAMP KALUANUI: SPRING 2011,Hui No&rsquo;eau Visual Arts Center,"<p>A truly fun and dynamic experience, CAMP KALUANUI helps spark creativity, engagement, discovery and self-expression while offering the fun, outdoor Kaluanui environment offering fresh air and room to explore. Programs are developed to offer each camper a unique experience that nurtures their individual creative spirit while building friendships, gaining artistic understanding, and- most importantly- having fun! During each week of full-day CAMP KALUANUI, our team of teaching artists will focus on a different theme.</p>",kmchugh@huinoeau.com,04/01/2011
3:30pm  - 12:00am,,03/13/2011,http://www.mauiarts.org,,http://www.gohawaii.com/maui/events/1201101014,"Kahului, HI&nbsp;&nbsp;96732",POCKET OPERA ON MAUI,Maui Arts &amp; Cultural Center,"<p>KAHULUI &ndash; Maui Pops Orchestra will welcome the Pocket Opera Company of San Francisco to the Maui Arts &amp; Cultural Center&rsquo;s Castle Theater Sunday, March 13, at 3:30 p.m. for a performance of &ldquo;Elixir of Love&rdquo; by Donizetti. The San Francisco Pocket Opera is known for its English translations of famous operas.<br> <br>The translations are the work of opera founder and artistic director Donald Pippin, who moved to San Francisco in 1952 and has been part of the city&rsquo;s music scene ever since.&nbsp; Pippin&rsquo;s 80-plus translations are witty and charming, making opera accessible to listeners who otherwise might find the idea of this classic art form a bit stuffy. &ldquo;Pippin is to opera what Mark Twain was to American literature, a breath of fresh air and a national treasure,&rdquo; according to the Sacramento Bee.<br> <br>Pippin himself will be on hand at the Maui concert to present narratives setting up the various scenes performed by several lead singers from San Francisco. The chorus will be made up of local performers, while Maui Pops provides orchestral accompaniment. In addition to &ldquo;Elixir of Love,&rdquo; the orchestra will perform music from famous operas, including the Overture to &ldquo;Die Meistersinger&rdquo; by Wagner.<br> <br>Tickets are $15, $35 and $45, plus a $3 facility fee. Call the MACC box office at 242-7469 or purchase online at www.mauiarts.org.</p>",jill@mauiislandpress.com,
2:00pm  - 7:00pm,,03/05/2011,,,http://www.gohawaii.com/big-island/events/internal/1215101206,"201 Waikoloa Beach Dr, Waikola, HI&nbsp;&nbsp;96738",11TH ANNUAL GREAT WAIKOLOA UKULELE FESTIVAL,Queen's Marketplace,"<p>Queens MarketPlace is the Gathering Place of the Kohala Coast, and what brings people together better than music? Since 2001, the Great Waikoloa Ukulele Festival has drawn audiences from everywhere and ukulele artists from around the world.<br> <br>Big Island ukulele enthusiasts can strum along and play their part with a great lineup of ukulele masters. Come and join us for laughter, love and hope. Ukulele give-aways, food booths, ukulele lessons and more.</p>",info@ukulelefestivalhawaii.org,
9:00am  - 5:00pm,,03/05/2011,http://www.bishopmuseum.org,,http://www.gohawaii.com/oahu/events/internal/21611190,"1525 Bernice Street, Honolulu, HI&nbsp;&nbsp;96817",DINOSAURS UNEARTHED: FEATHERED DISCOVERIES,Bishop Museum,<p>Dinosaurs Unearthed: Feathered Discoveries emphasizes the link between dinosaurs and today's feathered birds. The exhibit mixes animatronic dinosaurs with replicas of dinosaur skeletons and interactive displays featuring some of the newest information about these ancient creatures.&nbsp; Admission: Adults - $17.95; Youth (4-12) and Seniors (65+) - $14.95: Hawaii resident and Military with ID &ndash; Adult $10.95; Youth (4-12) and Seniors (65+) $8.95; (non-resident visitors accompanied by Military or Hawaii Resident with ID - $14.95) Members and Children three and under are always free. Children 16 and under must be accompanied by an adult.</p>,bishoppr@bishopmuseum.org,09/05/2011
7:30pm,808-242-7469,03/05/2011,http://www.mauiarts.org,,http://www.gohawaii.com/maui/events/internal/112111292,"One Cameron Way, Kahului, HI&nbsp;&nbsp;96732","THREE MAUI DIVAS WITH AMY HANAIALII, RAIATEA HELM &amp; NAPUA MAKUA",Maui Arts &amp; Cultural Center,"<p>These exceptional, beautiful Hawaiian vocalists are guaranteed to out-Diva even the best of the VH1 Divas. This rare triple-bill concert spotlights these homegrown stars at their sassy best, individually and together!<br>Tickets : $12, $30, $40 (plus applicable fees)</p>",macc@mauiarts.org,
8:00pm,800-745-3000,03/05/2011,,,http://www.gohawaii.com/oahu/events/internal/21611186,"777 Ward Ave, Honolulu, HI&nbsp;&nbsp;96814","DARLY HALL &amp; JOHN OATES ""DO WHAT YOU WANT, BE WHAT YOU ARE TOUR 2011""",Blaisdell Arena,"<p>Blaisdell Arena, 8 p.m. $65-$75 - Daryl Hall and John Oates started working together in the early 1970's and went on to become the most succesful duo in rock history.</p>",,
6pm,808-885-6868,03/07/2011,,,http://www.gohawaii.com/big-island/events/internal/091710784,"67-1186 Lindsey Rd, Waimea, HI&nbsp;&nbsp;96743",TAKACS QUARTET WITH JOYCE YANG,Kahilu Theatre,"<p>This performance matches up one of the most gifted young pianists of her generation, Joyce Yang, with an ensemble known worldwide for its extraordinary musicianship and keen ability to bring drama, grace and elegance to the interpretation of the string quartet repertoire.&nbsp;&nbsp; Fee.&nbsp; 7 p.m. at the Kahilu Theatre in Waimea.&nbsp; (808) 885-6868 or www.kahilutheatre.org.</p>",,
6:30pm,808-532-8700,03/09/2011,http://www.honoluluacademy.org,,http://www.gohawaii.com/oahu/events/internal/21011111,"Doris Duke Theater, 900 S Beretania St, Honolulu, HI&nbsp;&nbsp;96814",HONOLULU CHAMBER MUSIC SERIES - TAKACS QUARTET WITH PIANIST JOYCE YANG,Honolulu Academy of Arts,"<p>Based at the University of Colorado, Boulder, the Takacs Quartet's award-winning recordings include the complete Beethoven Cycle. Commenting on their latest Schubert recording for Hyperion, Gramophone magazine noted: &ldquo;The Takacs have the ability to make you believe that there&rsquo;s no other possible way the music should go, and the strength to overturn preconceptions that comes only with the greatest performers."" Joining them is pianist Joyce Yang who last year was awarded an Avery Fisher Career Grant, one of the most prestigious prizes in classical music. Born in Seoul, Yang is featured in In the Heart of Music, a film about the 2005 Van Cliburn International Piano Competition.</p>",,
,808-667-9194,03/12/2011,http://www.visitlahaina.com,,http://www.gohawaii.com/maui/events/internal/021611151,"Front St, Lahaina, HI&nbsp;&nbsp;96761",OCEAN ARTS FESTIVAL,Banyan Tree Park,"<p>Lahaina celebrates the annual migration of Pacific Humpback whales with ocean arts festivities. Thursday and Friday evenings (7 to 9pm) feature marine biologist educational presentations and videos in Campbell Park, located next to The Wharf Cinema Center. On Saturday and Sunday from 9am to 5pm in Banyan Tree Park, artists display their best marine-themed art for sale, while Hawaiian musicians and hula troupes entertain. Enjoy a kids ocean art contest, whale photo displays, and a Creature Feature touch pool exhibit by Maui Ocean Center. Free admission.</p>",,03/13/2011
7:30pm  - 9:30pm,808-956-8246,03/11/2011,http://www.outreach.hawaii.edu/community/,,http://www.gohawaii.com/oahu/events/internal/1191125,"2411 Dole Street, Honolulu, HI&nbsp;&nbsp;96822",JOYCE YANG - PIANO,Orvis Auditorium,"<p>Critically acclaimed as &ldquo;the most gifted young pianist of her generation&rdquo; with a &ldquo;million-volt stage presence,&rdquo; pianist Joyce Yang captivates audiences around the globe with her stunning virtuosity combined with heartfelt lyricism and interpretive sensitivity. Just twenty-four, she has established herself as one of the leading artists of her generation through her innovative solo recitals and notable collaborations with the world's top orchestras. In 2010 she was awarded an Avery Fisher Career Grant, one of the most prestigious prizes in classical music.<br>Ticket prices vary, call 956-8246 for information. Tickets Available beginning February 1 at www.etickethawaii.com, call 944-2697 or visit any UH Ticket outlet.</p>",tslaught@hawaii.edu,
8:00am  - 1:00pm,808-651-2996,03/19/2011,http://princekuhio.wetpaint.com,,http://www.gohawaii.com/kauai/events/internal/1261140,"Kauai, HI&nbsp;&nbsp;96766",PRINCE KUHIO LONG-DISTANCE CANOE RACES,Kalapaki Beach,"<p>Watch Kauai's avid outrigger canoe paddlers compete in this ancient Hawaiian sport 8:00 AM Women's Event: Kalapaki Beach to Hanamaulu, return to Kalapaki.<br>10:00 AM Men's Event: Kalapaki to Poipu Beach. The awards ceremony will be at Poipu Beach Park around 1 PM. Canoe race times and location are subject to change<br>Call Pomai Kane, 808-651-2996, for information</p>",stella.burgess@hyatt.com,
11:00am  - 2:00pm,808-240-6369,03/20/2011,http://princekuhio.wetpaint.com,,http://www.gohawaii.com/kauai/events/internal/1261141,"End of Lawai Road, Koloa, HI&nbsp;&nbsp;96756",PRINCE KUHIO CELEBRATION - LAAU LAPAAU (HERBAL MEDICINE DEMONSTRATION),National Tropical Botanical Garden Visitors Center,"<p>See a demonstration of Laau Lapaau (herbal medicinal plants). Learn which plants, grown on Kauai, contribute to health and healing, according long-time knowledge and practices held by our local Hawaiian culture. Located at the NTBG Visitor Center, end of Lawai Road, near Spouting Horn park. Led by Ginger Saiki.</p>",stella.burgess@hyatt.com,
12:00pm,,03/12/2011,,,http://www.gohawaii.com/big-island/events/internal/21711128,"329 Kamehameha Ave Hilo, Hilo, HI&nbsp;&nbsp;96720",HAWAII COUNTY BAND CONCERT,Mooheau Park Bandstand,"<p>The 40-member strong Hawaii County Band is a Island musical treasure that you can enjoy if you happen to be in Hilo on the one Saturday a month the group performs.&nbsp;&nbsp; The band plays a tapestry of seasonal works, Hawaiian pieces, overtures, movie themes and other selections.&nbsp; Free.</p>",,
5:30pm  - 9:00pm,808-240-6369,03/20/2011,http://princekuhio.wetpaint.com,,http://www.gohawaii.com/kauai/events/internal/1261142,"Koloa, HI&nbsp;&nbsp;96756",PRINCE KUHIO CELEBRATION - UKULELE LESONS,1571 Poipu Rd,"<p>Ukulele lessons (beginners), sponsored by Grand Hyatt Kauai Resort and Spa, Koloa at Stevenson's Foyer, taught by&nbsp; New Rising Sun &ndash; Joe Crocona<br>Learn to strum and play the ukulele, an instrument originally introduced by the Portuguese, then made popular by Hawaiians. Space is limited for classes. Limit is 5 students per class. 1/2 hour classes offered. Children must 5 years and older. Children 5 - 12 years of age must be accompanied by an adult. Open to the public, no charge. Call 808-240-6369 to register.</p>",stella.burgess@hyatt.com,
9:00am  - 11:30am,808-240-6369,03/21/2011,http://princekuhio.wetpaint.com,,http://www.gohawaii.com/kauai/events/internal/1261143,"Eleele, HI&nbsp;&nbsp;96716",PRINCE KUHIO CELEBRATION - PAAKAI - THE ART OF SALT MAKING,Salt Pond Park,<p>Learn about Paakai (the art and culture of Hawaiian salt making):&nbsp; If you are touring on the west side of Kauai stop by Salt Pond Park at Puolo Point (east) side of the park in Eleele and visit with Anake (Aunty) Janet Kahalekomo and her ohana (family) as they share their history and knowledge of salt cultivation on Kauai. The Kahalekomo family has been cultivating Kauai's red salt for decades. Open to the public at no charge.</p>,stella.burgess@hyatt.com,
,808-967-8222,03/13/2011,http://www.volcanoartcenter.org,,http://www.gohawaii.com/big-island/events/internal/1215101190,"99-252 Crater Rim Dr, HNP, HI&nbsp;&nbsp;96718",SPRING WIND QUINTET,Kilauea Military Camp Theater,"<p>The Spring Wind Quintet, recognized as one of the country&rsquo;s leading woodwind quintets, has been a major force in the development of chamber music in Hawaii. The group has an extensive and varied repertoire and will peform a world premier for this event. At the Kilauea Military Camp Theater in Hawaii Volcanoes National Park.</p>",,
