tickets,times,latitude,from,moreInfoLink,title,email,longitude,zipcode,image,state,city,address,venue,to,description
Adults $7 Childen under 12 free Seniors and students with ID $5 Target Free Saturdays,M-W &amp; Fr. 12- 5p Thur 12-9p Sat. 10a-5p Sun 1p-5p,43.0224995,09/12/2010,http://www.geneseefun.com/event/detail/440897949/Unbroken_Ties_Dialogues_in_Cuban_Art,Unbroken Ties: Dialogues in Cuban Art,flintexpress@yahoo.com,-83.6779263,48503,http://www.geneseefun.com/sites/geneseefun.com/images/org/19/fiafrontview[1]_(2)_edited-1_medium.jpg,MI,<br /> 						Flint,1120 E. Kearsley,Flint Institute of Arts,12/07/2014,"Unbroken Ties: Dialogues in Cuban Art is an exhibition of over 50 works by artists who have remained in Cuba, side by side with artists who left as children or mid career. The Cuba imagined and the Cuba remembered- a complex portait of the day to day reality of the Cuban experience.</p>			</p>    			<br><br>"
Adults $7 Childen under 12 free Seniors and students with ID $5 Target Free Saturdays,M-W &amp; Fr. 12- 5p Thur 12-9p Sat. 10a-5p Sun 1p-5p,43.0224995,09/12/2010,http://www.geneseefun.com/event/detail/440897949/Unbroken_Ties_Dialogues_in_Cuban_Art,Unbroken Ties: Dialogues in Cuban Art,flintexpress@yahoo.com,-83.6779263,48503,http://www.geneseefun.com/sites/geneseefun.com/images/org/19/fiafrontview[1]_(2)_edited-1_medium.jpg,MI,<br /> 						Flint,1120 E. Kearsley,Flint Institute of Arts,12/07/2014,"Unbroken Ties: Dialogues in Cuban Art is an exhibition of over 50 works by artists who have remained in Cuba, side by side with artists who left as children or mid career. The Cuba imagined and the Cuba remembered- a complex portait of the day to day reality of the Cuban experience.</p>			</p>    			<br><br>"
$18 / $30 / $40 / $49,"Thu, Mar 10, 2011 at 8pm",43.0232493,03/10/2011,http://www.geneseefun.com/event/detail/440742441/PINK_FLOYD_EXPERIENCE,PINK FLOYD EXPERIENCE,flintexpress@yahoo.com,-83.6776107,48503,http://www.geneseefun.com/sites/geneseefun.com/images/event/440742441/pinkfloydexperienceweb_medium.jpg,MI,<br /> 						Flint,1241 E. Kearsley Street,The Whiting,03/10/2011,"Ticket Center: 810-237-7333 - This performance echoes everything that made Pink Floyd one of rock &amp; roll&rsquo;s greatest icons. It&rsquo;s a celebration of the music, the themes and the innovation that this great band brought to its fans around the world. It&rsquo;s Pink Floyd up close and personal, with six musicians, $2.5 million worth of production equipment, quadraphonic sound, amazing video and a massive light show. The show features live &lsquo;note-for-note&rsquo; musical recreations of Pink Floyd&rsquo;s hits and is a visual spectacle that includes mind-blowing moving lighting and stylized surreal video as well as several &lsquo;classic&rsquo; Pink Floyd icons including a collapsible wall, the bulb man, marching hammers and yes, the gigantic pig blimp! Don&rsquo;t miss this truly unforgettable concert experience for audiences of all ages.</p>			</p>    			<br><br>"
$15 - $37,8PM,43.0232493,03/25/2011,http://www.geneseefun.com/event/detail/440842705/Johnny_Winter,Johnny Winter,flintexpress@yahoo.com,-83.6776107,48503,,MI,<br /> 						Flint,1241 E. Kearsley Street,The Whiting,03/25/2011,Johnny Winter with Special Guest: The Rusty Wright Band</p>			</p>    			<br><br>
$18 / $30 / $40 / $49,"Thu, Mar 10, 2011 at 8pm",43.0232493,03/10/2011,http://www.geneseefun.com/event/detail/440742441/PINK_FLOYD_EXPERIENCE,PINK FLOYD EXPERIENCE,flintexpress@yahoo.com,-83.6776107,48503,http://www.geneseefun.com/sites/geneseefun.com/images/event/440742441/pinkfloydexperienceweb_medium.jpg,MI,<br /> 						Flint,1241 E. Kearsley Street,The Whiting,03/10/2011,"Ticket Center: 810-237-7333 - This performance echoes everything that made Pink Floyd one of rock &amp; roll&rsquo;s greatest icons. It&rsquo;s a celebration of the music, the themes and the innovation that this great band brought to its fans around the world. It&rsquo;s Pink Floyd up close and personal, with six musicians, $2.5 million worth of production equipment, quadraphonic sound, amazing video and a massive light show. The show features live &lsquo;note-for-note&rsquo; musical recreations of Pink Floyd&rsquo;s hits and is a visual spectacle that includes mind-blowing moving lighting and stylized surreal video as well as several &lsquo;classic&rsquo; Pink Floyd icons including a collapsible wall, the bulb man, marching hammers and yes, the gigantic pig blimp! Don&rsquo;t miss this truly unforgettable concert experience for audiences of all ages.</p>			</p>    			<br><br>"
$15 - $37,8PM,43.0232493,03/25/2011,http://www.geneseefun.com/event/detail/440842705/Johnny_Winter,Johnny Winter,flintexpress@yahoo.com,-83.6776107,48503,,MI,<br /> 						Flint,1241 E. Kearsley Street,The Whiting,03/25/2011,Johnny Winter with Special Guest: The Rusty Wright Band</p>			</p>    			<br><br>
$23 / $43 / $57 / $67,"Sun, Apr 10, 2011 at 2pm &amp; 7pm",43.0232493,04/10/2011,http://www.geneseefun.com/event/detail/440742451/THE_COLOR_PURPLE,THE COLOR PURPLE,flintexpress@yahoo.com,-83.6776107,48503,http://www.geneseefun.com/sites/geneseefun.com/images/event/440742451/purple_medium.jpg,MI,<br /> 						Flint,1241 E. Kearsley Street,The Whiting,04/10/2011,"Ticket Center: 810-237-7333 - THE COLOR PURPLE, a soul-stirring musical based on the classic Pulitzer Prize-winning novel by Alice Walker and the moving film by Steven Spielberg. Nominated for eleven Tony&reg; Awards, THE COLOR PURPLE is a landmark theatrical event, a celebration of love, and a Broadway phenomenon. With a joyous GRAMMY&reg;-nominated score featuring jazz, gospel and blues, THE COLOR PURPLE is capturing the hearts of young and old, and uniting audiences in a community of joy. ASL interpreted &quot;A SOARING, EPIC TALE. It made a JOYFUL noise in my heart.&quot; --Richard Corliss, TIME Magazine</p>			</p>    			<br><br>"
$19 / $30 / $43 / $53,"Sat, Feb 26, 2011 at 8pm Sun, Feb 27, 2011 at 2pm",43.0232493,02/26/2011,http://www.geneseefun.com/event/detail/440742437/CIRQUE_SHANGHAI_BAI_XI_,CIRQUE SHANGHAI: BAI XI,flintexpress@yahoo.com,-83.6776107,48503,http://www.geneseefun.com/sites/geneseefun.com/images/event/440742437/cirqueshangaiweb_medium.jpg,MI,<br /> 						Flint,1241 E. Kearsley Street,The Whiting,02/27/2011,"Ticket Center: 810-237-7333 - Cirque Shanghai: Bai Xi is a grand theatrical production performed in spectacular costumes, both on the stage and high in the air. Featuring state-of-the-art computerized lighting and beautiful orchestrations that range from exotic Oriental to trend setting electronic faction, Cirque Shanghai: Bai XI is a breathtaking spectacle that establishes a new standard of acrobatic and entertainment excellence. &ldquo;Flawless feats of acrobatic brilliance!&rdquo; &ndash; Daily Herald</p>			</p>    			<br><br>"
All Seats: $20,Friday/Saturday: 8PM Show Sunday: 2:30PM Show,43.013575,02/25/2011,http://www.geneseefun.com/event/detail/440828077/Apartment_3A,Apartment 3A,vertigotheatrics@ail.com,-83.6886836,48502,http://www.geneseefun.com/sites/geneseefun.com/images/event/440828077/logo-backcopy_medium.jpg,MI,<br /> 						Flint,755 S. Saginaw,Masonic Temple,02/27/2011,"February 2011 Studio Show (non-dinner performance) Apartment 3A By Jeff Daniels Reeling from the loss of what she thought was the love of her life, Annie Wilson searches for a reason to hope again with a mysterious next-door neighbor who teaches her what it truly means to be in love forever. Life has a way of creating skeptics and Annie is one of them (although she is passionate about her job at PBS). Though her station cohort, landlord and new acquaintance insist that life does and should have deeper meaning, she attempts to remain resolute in her theory that without proof of the existential, it does not exist. Therefore All we have to look forward to is the pain and discomfort this world and the human beings living in it have to offer. This densely layered, poignant comedy is brilliantly crafted, funny and clever. It is considered to be Jeff Daniels most passionate and inventive work to date. Vertigo Theatrics is delighted to bring this mid-Michigan premier of this heart warming comedy penned by one of Michigan&rsquo;s own to our stage. Show Dates: Friday, 2/25/11 Saturday, 2/26/11 Performance: 8PM 1Matinee: Sunday, 2/27/11 Performance: 2:30PM All Seats: $20 Apartment 3A is presented by special arrangement with Dramatists Play Service, Inc. 440 Park Avenue South New York, NY. 10016 Originally produced by the Purple Rose Theatre Company (1996) Jeff Daniels, Executive Director Guy Sanville, Artistic Director Alan Ribant, Managing Director</p>			</p>    			<br><br>"
$12 / $20 / $28 / $39,"Sun, Mar 13, 2011 at 3pm &amp; 7pm",43.0232493,03/13/2011,http://www.geneseefun.com/event/detail/440742445/LEMONY_SNICKETS_THE_COMPOSER_IS_DEAD,LEMONY SNICKET’S THE COMPOSER IS DEAD,flintexpress@yahoo.com,-83.6776107,48503,http://www.geneseefun.com/sites/geneseefun.com/images/event/440742445/lemonysnicketweb_medium.jpg,MI,<br /> 						Flint,1241 E. Kearsley Street,The Whiting,03/13/2011,"Ticket Center: 810-237-7333 - Renowned children&rsquo;s author Lemony Snicket and the critically-acclaimed Phantom Limb Company join forces for this breathtaking theatrical adaptation of The New York Times best-selling picture book The Composer is Dead. There is a mystery to solve at Symphony Hall, and the suspects are all lurking somewhere onstage! Follow the Inspector as he interrogates each section of the orchestra. Where exactly were the violins on the night in question? Did anyone see the harp? Aren&rsquo;t the trumpets protesting a bit too boisterously? Every instrument is brought to life in this enchantingly uproarious musical mystery.</p>			</p>    			<br><br>"
Dinner Seats: $45/$40 in advance Performance Only Seats $30,Friday/Saturday: 7PM Dinner/8PM Show Sunday: 1:30PM Lunch/2:30 PM Show,43.013575,03/18/2011,http://www.geneseefun.com/event/detail/440828079/MidLife_The_Crisis_Musical,Mid-Life The Crisis Musical,vertigotheatrics@aol.com,-83.6886836,48502,http://www.geneseefun.com/sites/geneseefun.com/images/event/440828079/logo-backcopy_medium.jpg,MI,<br /> 						Flint,755 S. Saginaw,Masonic Temple,03/27/2011,"Mid-Life! The Crisis Musical Book, Music &amp; Lyrics By Bob Walton and Jim Walton With a balanced look at the &quot;joys&quot; of growing older, through a cast of three men and three women, MID-LIFE! will strike a chord with all regardless of age. A series of scenes and sketches poke fun at the frustrations of mammograms, love handles, weekend warriors and proctology exams. The cleverly crafted songs celebrate forgetfulness, reading glasses and menopause, but also touch on the sentimental wisdom that the later years afford us. MID-LIFE! Is a hilarious romp with an honest humor about the trials and tribulations of the unavoidable aging process, Welcome to MID-LIFE! Vertigo Theatrics is happy to bring to the stage this musical celebrating the joys and trials of life in style. It is through laughter we heal the spirit and receive the rejuvenation to &ldquo;take one day at a time&rdquo; and create lasting smiles and memories. Show Dates: Friday, 3/18/11 Saturday, 3/19/11 Friday, 3/25/11 &amp; Saturday, 3/26/11 Sunday, 3/27/2011 Dinner Seats: $45/$40 in advance - online through PayPal or by calling (810) 239-7469 Performance only Seats: $30 Mid-Life! The Crisis Musical is presented through special arrangement with R &amp; H Theatricals www.rnhtheatricals.com</p>			</p>    			<br><br>"
$23 / $43 / $57 / $67,"Sun, Apr 10, 2011 at 2pm &amp; 7pm",43.0232493,04/10/2011,http://www.geneseefun.com/event/detail/440742451/THE_COLOR_PURPLE,THE COLOR PURPLE,flintexpress@yahoo.com,-83.6776107,48503,http://www.geneseefun.com/sites/geneseefun.com/images/event/440742451/purple_medium.jpg,MI,<br /> 						Flint,1241 E. Kearsley Street,The Whiting,04/10/2011,"Ticket Center: 810-237-7333 - THE COLOR PURPLE, a soul-stirring musical based on the classic Pulitzer Prize-winning novel by Alice Walker and the moving film by Steven Spielberg. Nominated for eleven Tony&reg; Awards, THE COLOR PURPLE is a landmark theatrical event, a celebration of love, and a Broadway phenomenon. With a joyous GRAMMY&reg;-nominated score featuring jazz, gospel and blues, THE COLOR PURPLE is capturing the hearts of young and old, and uniting audiences in a community of joy. ASL interpreted &quot;A SOARING, EPIC TALE. It made a JOYFUL noise in my heart.&quot; --Richard Corliss, TIME Magazine</p>			</p>    			<br><br>"
All seats $30,"Tue, Apr 26, 2011 at 7pm Sat Apr 30, 2011 at 7pm",43.0232493,04/26/2011,http://www.geneseefun.com/event/detail/440742455/FAHRENHEIT_451,FAHRENHEIT 451,flintexpress@yahoo.com,-83.6776107,48503,http://www.geneseefun.com/sites/geneseefun.com/images/event/440742455/fahrenheit-451_medium.jpg,MI,<br /> 						Flint,1241 E. Kearsley Street,The Whiting,04/30/2011,"Ticket Center: 810-237-7333 - From the Novel by Ray Bradbury. Performed by Rich Orlo. Adapted and Directed by Wynn Handman. The Whiting, in collaboration with The American Place Theatre in New York City, presents professionally staged verbatim theatrical adaptations of significant American literary works. This classic American novel presents a frightening vision of the future where &ldquo;firemen&rdquo; don't put out fires; they start them in order to burn books. Written in the midst of the Cold War, this futuristic tale of lawlessness and censorship is as captivating today as it was when it was first published in 1953.This presentation of FAHRENHEIT 451 is a production of The American Place Theatre&rsquo;s Literature to Life Arts Education Program, led by Artistic Director Wynn Handman.</p>			</p>    			<br><br>"
