state,zipcode,address,startDate,city,description,venue,moreinfo,phone,website,title
PA,15232.0,5744 Ellsworth Ave.,,Pittsburgh,,Spin Bartini and Ultralounge,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:62505,412-362-7746,,Bensen & Pangikas
PA,15203.0,2773 Sidney St.,,Pittsburgh,Salsa.,Tusca Global Tapas,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:66609,412-488-9000,http://www.tuscatapas.com/,DJ Bobby D
PA,15106.0,1837 Washington St.,,Heidelberg,,Wright's Seafood Inn,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:78678,412-279-7900,,Open Stage
PA,15090.0,10150 Old Perry Hwy.,,Wexford,,Billy's Roadhouse Bar &#38; Grill,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:21712,724-934-1177,,Pete Hewlett & Scott Anderson
PA,15108.0,1300 Broadhead Rd.,,Coraopolis,,Viola's Pasta &#38; More,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:80359,724-457-1471,,Johnny (Holiday) Pia
PA,15632.0,5904 Washington Ave,,Export,,Joeys the Edge,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87395,724-327-3899,,Kenny Blake
PA,15209.0,1306 Walters Ave,,Millvale,"Hosted by Dave Klysz w/ Craig King, Max Woodhall, John Menosky.",Good Time Bar,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86469,412-821-9968,,Open Stage Jam Night
PA,15212.0,400 Cedar Ave.,,Pittsburgh,Wednesdays.,Allegheny Elks Lodge #339,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:21526,412-321-1834,http://www.elks.org/LODGES/LodgePages.cfm?LodgeNumber=339&ID=2372,Pittsburgh Banjo Club
PA,15222.0,719 Liberty Avenue,Dec. 3-4,Pittsburgh,25th Anniversary Tour.,Benedum Center,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:88128,412-456-6666,http://www.pgharts.org,Mannheim Steamroller
PA,15237.0,1501 Ingomar Road,Dec. 3-5,Franklin Park,"""The Christmas Spirit."" The Dec 4th performance will take place at the Fox Chapel Presbyterian Church, 384 Fox Chapel Rd.",Ingomar United Methodist Church,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:88272,412-364-3613,,The Pittsburgh Concert Chorale
PA,15224.0,4412 Liberty Ave.,,Pittsburgh,Drum & bass weekly.,Bloomfield Bridge Tavern,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:80806,412-682-8611,,Fuzz!
PA,15222.0,719 Liberty Avenue,Dec. 3-4,Pittsburgh,25th Anniversary Tour.,Benedum Center,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:88128,412-456-6666,http://www.pgharts.org,Mannheim Steamroller
PA,15238.0,492 Nixon Road,,Cheswick,Hosted by All My Monsters,The Blue Haven Lounge,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:21572,724-274-9963,,Open Stage
PA,15237.0,1501 Ingomar Road,Dec. 3-5,Franklin Park,"""The Christmas Spirit."" The Dec 4th performance will take place at the Fox Chapel Presbyterian Church, 384 Fox Chapel Rd.",Ingomar United Methodist Church,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:88272,412-364-3613,,The Pittsburgh Concert Chorale
PA,15203.0,1500 East Carson,,Pittsburgh,,Elixir Ultralounge,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:53414,412-481-1811,,DJ Midas
PA,15223.0,1021 Mt. Royal Blvd.,,Shaler,,Fodi Bros.,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:70681,412-486-9919,,DJ Diane
PA,15201.0,5147 Butler Street,,Pittsburgh,Hosted by Bill Ivins & Matt Sciotto.,Geno's Bar and Grille,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:62433,412-781-3432,,Open Mic Night
PA,15237.0,1501 Ingomar Road,Dec. 3-5,Franklin Park,"""The Christmas Spirit."" The Dec 4th performance will take place at the Fox Chapel Presbyterian Church, 384 Fox Chapel Rd.",Ingomar United Methodist Church,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:88272,412-364-3613,,The Pittsburgh Concert Chorale
PA,15006.0,445 Bairdford Rd.,,West Deer,,The Halfway House,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87321,724-265-1680,,Gary Prisby
PA,15203.0,2224 E. Carson Street,,Pittsburgh,,Ibiza,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:74986,412-325-2227,http://www.ibizatapasrestaurant.com/,Latin DJ Night
PA,15201.0,4130 Butler St.,,Pittsburgh,Music/spoken word. Hosted by Gene Stovall.,Istanbul,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:79494,412-683-1623,,Word Up
PA,15222.0,1400 Smallman St.,,Pittsburgh,DJs from 106.7 WAMO.,Krobar,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:53419,412-277-7615,,Hip Hop Nite
PA,15203.0,2204 East Carson Street,,Pittsburgh,'90s grunge vs. '90s hip hop.,Lava Lounge,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:82299,412-431-5282,http://www.myspace.com/lavaloungepgh,DJ Machinehead
PA,15222.0,411 Wood St.,,Pittsburgh,,Mexico City,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:79430,412-246-2042,,Salsa Wednesdays
PA,15601.0,23 W. Otterman Street,"Wed., Dec. 15, 2 & 8 p.m",Greensburg,Celebrate the season with the 24-piece Pops Orchestra & singers.,Palace Theatre,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86768,724-836-8000,http://www.thepalacetheatre.org,Latshaw Pops Orchestra 2010 Christmas Spectacular
PA,15238.0,378 Freeport Road,,Blawnox,,Moondog's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:81609,412-828-2040,http://www.moondogs.us/,All-Request w/ DJ Norm
PA,15201.0,4421 Butler St.,,Pittsburgh,,The New Amsterdam,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:56461,412-682-6414,,Jason Deutsch
PA,15601.0,23 W. Otterman Street,"Wed., Dec. 15, 2 & 8 p.m",Greensburg,Celebrate the season with the 24-piece Pops Orchestra & singers.,Palace Theatre,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86768,724-836-8000,http://www.thepalacetheatre.org,Latshaw Pops Orchestra 2010 Christmas Spectacular
PA,15205.0,6504 Steubenville Pike,,Robinson,,Niko's Coffee House,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:54960,412-329-6939,,Open Stage
PA,15220.0,1337 Steuben Street,,Crafton,"Hosted by Steve and Mark of ""kick"".",Obey House,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:33894,412-922-3883,http://www.obeyhouse.com/,Electric/Acoustic
PA,15203.0,2518 E. Carson Street,,Pittsburgh,Acoustic. Hosted by AE Honik.,Over the Bar Bicycle Cafe,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:71295,412-381-3698,,Open Mic Night
PA,15108.0,318 Forest Grove Rd.,,Coraopolis,,The Pine Restaurant &#38; Bar,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:79849,412-331-9282,http://www.thepinerb.com,Rick Revetta
PA,15233.0,900 Western Ave.,,Pittsburgh,,Cassis,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:82580,412-586-7794,http://www.cassispittsburgh.com,Kurt Giamatte
PA,15222.0,949 Liberty Ave.,,Pittsburgh,,Little E's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:60167,412-392-2217,,Tuesday Night Jazz Series w/ Tony Campbell
PA,15038.0,1473 Rte. 837,,Elrama,Feat. the Smokin' Hot Band. Country/blues/rock etc.,The Pit Stop,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:53810,412-384-7487,,Open Stage
PA,15232.0,5744 Ellsworth Ave.,,Pittsburgh,,Spin Bartini and Ultralounge,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:62505,412-362-7746,,Bensen & Pangikas
PA,15133.0,305 Laredo St.,,McKeesport,Hosted by Matt Tichon.,Port Vue Pub,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:38427,412-664-0399,http://www.portvuepub.com,Open Stage
PA,15632.0,5904 Washington Ave,,Export,,Joeys the Edge,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87395,724-327-3899,,Kenny Blake
PA,15136.0,704 Thompson Ave.,,McKees Rocks,,Revolutionaries Cafe,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:81352,412-458-1081,,All Ages Dance Party with DJ Steve
PA,15143.0,509 Beaver St.,,Sewickley,Wednesdays.,Sewickley Hotel,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:21522,412-741-9457,http://www.sewickleyhotel.com,"Anthony Thomas, Skip Peck, Richard Everett"
PA,15203.0,1224 E. Carson St.,,Pittsburgh,Hip hop & top 40.,Rumshakers,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:53428,412-431-5910,http://www.rumshakers-pgh.com,DJ Nitro
PA,15217.0,5832 Forward,,Pittsburgh,,Frankie &#38; Georgie's 4 Wood Grill,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:83667,412-422-5027,,Eric Johnson
PA,15024.0,775 Freeport Rd,,Cheswick,Hosted by Big House Pete & Barbary Wine.,Sam Morgan's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:33149,724-274-2554,,Acoustic Open Stage
PA,15206.0,5929 Baum Blvd.,,Pittsburgh,,Tana Ethiopian Cuisine,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:62963,412-665-2770,,Jazz Jam Session
PA,15143.0,509 Beaver St.,,Sewickley,Wednesdays.,Sewickley Hotel,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:21522,412-741-9457,http://www.sewickleyhotel.com,"Anthony Thomas, Skip Peck, Richard Everett"
PA,15237.0,2310 Babcock Blvd.,,Pittsburgh,,Shenanigans,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:70038,412-821-4355,http://www.shenanigansbarandgrille.com,DJ Xavier
PA,15201.0,2901 Penn Avenue,,Pittsburgh,,CJ's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:78755,412-642-2377,,Roger Humphries & RH Factor Jazz Jam Session
PA,15120.0,171 East Bridge St.,,Homestead,Hosted by Josh Cochran & the Sing Sing Players.,Sing Sing,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:55156,412-461-7426,,Open Mic Nite
PA,15123.0,3075 Clairton Blvd.,,West Mifflin,"The former Shootz Cafe open stage, hosted by Verity's Lie. All acts welcome.",Steel City Saloon,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:67571,412-653-1300,,Open Stage
PA,15222.0,949 Liberty Ave.,,Pittsburgh,Entrepreneurial Thursdays.,Little E's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:80880,412-392-2217,,Jessica Lee & Friends
PA,15203.0,2003 E. Carson St.,,Pittsburgh,,Tiki Lounge,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:73152,412-381-8454,,Todd Cheat's Punk Rock Jukebox
PA,15222.0,930 Penn Ave.,,Pittsburgh,Latin jazz trio.,Seviche,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:79212,412-697-3120,http://www.seviche.com,Salsamba
PA,15044.0,4109 Bakerstown Road,,Gibsonia,Top 40.,Tilt's Pub,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:76714,724-443-5211,http://www.tiltspub.com,DJ Dan Bogan
PA,15146.0,4089 William Penn Hwy,,Monroeville,,Nardis Restaurant,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87499,412-372-1595,,Spider Rondinelli & the Pittsburgh Jazz Giants
PA,15146.0,2525 Monroeville Blvd,,Monroeville,Hosted by Ed Jenkins & Casey's Kids,Tolerico's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:21579,412-824-8018,http://www.tolericos.com,Open Stage
PA,15233.0,900 Western Ave.,,Pittsburgh,,Cassis,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:82580,412-586-7794,http://www.cassispittsburgh.com,Kurt Giamatte
PA,15203.0,2108 E. Carson Street,,Pittsburgh,EZ Lou & Dale Cooper. '70s-'90s.,Z-Lounge,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:53434,412-431-1800,http://www.zloungepgh.com,Z:Rewind
PA,15206.0,6001 Penn Ave.,,Pittsburgh,Live jazz.,Capri Ristorante,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:85182,412-362-1250,,Funk Friday Happy Hour
PA,15233.0,900 Western Ave.,,Pittsburgh,,Cassis,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:82580,412-586-7794,http://www.cassispittsburgh.com,Kurt Giamatte
PA,15217.0,5832 Forward,,Pittsburgh,,Frankie &#38; Georgie's 4 Wood Grill,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:83667,412-422-5027,,Eric Johnson
PA,15017.0,116 Hickory Heights Dr.,,Bridgeville,,Hickory Heights Golf Club,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:69763,412-257-1485,,Michael Todd
PA,15208.0,553 Brushton Ave.,,Pittsburgh,Presented by Black & White Productions.,Donny's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:74969,412-244-4050,,Donny's Honey Dew
PA,15206.0,5929 Baum Blvd.,,Pittsburgh,,Tana Ethiopian Cuisine,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:62963,412-665-2770,,Jazz Jam Session
PA,15233.0,900 Western Ave.,,Pittsburgh,,Cassis,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:82580,412-586-7794,http://www.cassispittsburgh.com,Kurt Giamatte
PA,15212.0,353 North Shore Dr.,,Pittsburgh,,Calico Jack's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86334,412-322-7380,http://www.calicojackspitt.com,The Sofa Kings
PA,15222.0,947 Penn Ave,,Pittsburgh,,Sonoma Grille,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87512,412-697-1336,http://www.thesonomagrille.com,Eric Susoeff Trio
PA,15221.0,7600 Forbes Ave.,,Pittsburgh,,Calli's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86793,412-242-8281,,Live Jazz
PA,15003.0,1280 Breitenstein Rd.,,Ambridge,Hosted by Leanne Regalla & Frank Piscopo.,Harmony Ridge,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:84645,724-266-2414,,Acoustic Affair Songwriter Spotlight
PA,15222.0,212 Blvd. of the Allies,,Pittsburgh,,Papa J's Centro,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:72330,412-391-7272,http://www.papajs.com/,Anthony Jardine
PA,15229.0,348 Center Ave.,,West View,,Drinks Bar,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86532,412-931-9888,,DJ Shane
PA,15211.0,217 Shiloh St.,,Pittsburgh,Thursdays,Sloppy Joe's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:21000,412-381-4300,,Wil E Tri and the Bluescasters
PA,15201.0,5147 Butler Street,,Pittsburgh,,Geno's Bar and Grille,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86886,412-781-3432,,Open Mic w/ Matt Sciotto
PA,15237.0,3385 Babcock Boulevard,,Ross,,Sunseri's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:62426,412-364-1066,,The Contenders
PA,15234.0,1100 Grove Rd.,,Castle Shannon,,Linden Grove,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:81064,412-882-8687,http://www.thelindengrove.com,Souled Out
PA,15238.0,378 Freeport Road,,Blawnox,W/ JJ Burner.,Moondog's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:75096,412-828-2040,http://www.moondogs.us/,Open Stage & Jam
PA,15120.0,171 E. Bridge St.,,Homestead,,Rock Bottom,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:63443,412-462-2739,http://www.rockbottom.com,Good Brother Earl
PA,15206.0,134 S. Highland Ave.,,Pittsburgh,Hump day chill. House music. aDesusParty.,Spoon,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:83803,412-362-6001,,Spoon Fed
PA,15044.0,5018 Bakerstown Rd.,,Gibsonia,Hosted by Lager & Lawnchair of Dizzy Woosh.,Two Bit Tavern,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:84744,724-625-3252,,Open Stage
PA,15203.0,1908 E. Carson St.,,Pittsburgh,,The Inn'Termission,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87088,412-381-3497,,The Rhythm Aces
PA,15222.0,655 Penn Ave.,,Pittsburgh,"DJ Juan Diego, DJ Carla.",Backstage Bar at Theater Square,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:74389,412-325-6769,http://www.pgharts.org/venues/backstagebar.aspx,Ritmo Wednesdays
PA,15203.0,1601 East Carson Street,,Pittsburgh,Bonics & DJ McFly. Hip hop & dance.,Diesel,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:53409,412-431-8800,http://www.dieselpgh.com/,Code Blue Wednesdays
PA,15206.0,5929 Baum Blvd.,,Pittsburgh,Rotating bands.,Tana Ethiopian Cuisine,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:72594,412-665-2770,,R&B Night
PA,15211.0,217 Shiloh St.,,Pittsburgh,Thursdays,Sloppy Joe's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:21000,412-381-4300,,Wil E Tri and the Bluescasters
PA,15237.0,3385 Babcock Boulevard,,Ross,,Sunseri's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:62426,412-364-1066,,The Contenders
PA,15234.0,1100 Grove Rd.,,Castle Shannon,,Linden Grove,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:81064,412-882-8687,http://www.thelindengrove.com,Souled Out
PA,15232.0,728 Copeland St.,,Pittsburgh,,Alto,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:66501,412-682-1074,,Elevated Thursdays w/ DJ Zimmie
PA,15201.0,212 44th Street,,Pittsburgh,,Arsenal Bowling Lanes,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:66983,412-683-5993,http://www.arsenalbowl.com,'80s Night: Mockster & Swank Cat
PA,15203.0,1908 E. Carson St.,,Pittsburgh,,The Inn'Termission,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87088,412-381-3497,,The Rhythm Aces
PA,15206.0,126 S. Highland Avenue,,Pittsburgh,"Dan Dabber, Vybz Machine, Phinesse & Gangsta Shack. Roots/reggae/dancehall.",AVA Bar &#38; Lounge,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:48027,412-363-8277,http://www.shadowlounge.net,Champion Sound
PA,15201.0,4016 Butler Street,,Pittsburgh,DJ Hatesyou. 80s.,Belvedere's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:53406,412-687-2555,,Neon
PA,15668.0,4917 William Penn Hwy.,,Murrysville,,Bruschetta's Bar & Grille,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:54410,724-327-3535,,Drew Bentley
PA,15201.0,2901 Penn Avenue,,Pittsburgh,,CJ's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:78755,412-642-2377,,Roger Humphries & RH Factor Jazz Jam Session
PA,15090.0,100 Village Club Dr.,,Wexford,,Grazie Restaurant & Events Center,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:88067,724-934-7880,,Jack Knight
PA,15229.0,517 Perry Hwy.,,West View,,Highland Bar,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86648,412-931-9917,,DJ Shane
PA,15063.0,807 Dry Run Rd.,,Monongahela,,Hot House Tap & Grille,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:59999,724-258-4212,,Open stage w/ Rick Ashcroft
,,,,,,,,,,
PA,15626.0,785 Rt. 22,,Delmont,Hosted by Mark Cyler.,Hot Rod Lounge,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:75464,724-327-1660,,Open Stage
PA,15644.0,416 Clay Ave,,Jeannette,All genres of music welcome.,Keynote Cafe,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:33887,412-638-5263,,Open Stage
PA,15222.0,949 Liberty Ave.,,Pittsburgh,Entrepreneurial Thursdays.,Little E's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:80880,412-392-2217,,Jessica Lee & Friends
PA,15014.0,907 1st Avenue,,Brackenridge,Acoustic. Thursdays.,Parkview Bar & Grill,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:21375,724-224-2124,,"Nicole Belli, Jeff Pogas, Derrick Edwards"
PA,15213.0,226 Meyran Ave.,,Pittsburgh,"Hip hop, club & R&B.",Pittsburgh Cafe,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:57966,412-687-3330,http://www.pittsburghcafe.com,Noetik 5000
PA,15136.0,704 Thompson Ave.,,McKees Rocks,Hosted by The Scott Albert Project.,Revolutionaries Cafe,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:82485,412-458-1081,,Open Stage
PA,15203.0,1224 E. Carson St.,,Pittsburgh,Hip hop & top 40.,Rumshakers,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:53428,412-431-5910,http://www.rumshakers-pgh.com,DJ Nitro
PA,15222.0,930 Penn Ave.,,Pittsburgh,Latin jazz trio.,Seviche,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:79212,412-697-3120,http://www.seviche.com,Salsamba
PA,15642.0,681 Jackson St.,,Irwin,Hosted by Gil Snyder. Weekly special guests.,Shafton Fire Hall,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:37934,724-863-7918,,Gil's Blues Power Open Stage
PA,15211.0,217 Shiloh St.,,Pittsburgh,Thursdays,Sloppy Joe's,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:21000,412-381-4300,,Wil E Tri and the Bluescasters
PA,16066.0,1708 Route 228,,Cranberry,,Smokey Bones BBQ,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:82098,724-772-7000,,DJ Brandon
