description,locationPhone,startDate,fullAddress,endDate,image,title,place,moreInfoLink
"<p>DanceWorks Chicago&#8217;s Dance Bytes (Harold Washington Library) blends a dynamic dance presentation with informative behind-the-scenes insights. Dance Bytes is an opportunity to connect with dance and dancers through an intimate look into the artistic journey. The creation of new work as well as the dances themselves are vehicles for <span class=""caps"">DWC</span> dancers and audiences to investigate a wide range of dance techniques, movement styles, and artistic approaches.</p>",773.472.1105,05/24/2011,"400 South State Street, Chicago, IL",05/24/2011,http://my.seechicagodance.com/files/20100924110259.jpg,DWC's Dance Bytes at Harold Washington Library,"Harold Washington Library, Cindy Pritzker Auditorium",http://www.seechicagodance.com/performance/340
"<p><span class=""caps"">CTT</span> will take tap dancing to new heights as we collaborate with some of the most noted non-tap choreographers in the city. It will be a little jazz, a little contemporary, but everything will be Tap&#8230;ish!</p>",312.902.1500,06/25/2011,"2936 North Southport, Chicago, IL",06/25/2011,http://my.seechicagodance.com/files/20110412120028.jpg,TAP!(ish),Athenaeum Theatre,http://www.seechicagodance.com/performance/467
"<p>Winifred Haun & Dancers shares a program with Kanopy Dance Theater of Madison, WI and Lonny Joseph Gordon of Texas.  The program will feature six exciting works choreographed by Winifred Haun, Lisa Thurrell and Lonny Joseph Gordon.</p>",312.337.6543,09/16/2011,"1016 N. Dearborn Parkway, Chicago, IL",09/17/2011,http://my.seechicagodance.com,Winifred Haun & Dancers presents Kanopy Dance Theater and Lonny Joseph Gordon,Ruth Page Center for the Arts,http://www.seechicagodance.com/performance/465
"<p>Winifred Haun, Jessica Miller Thomlinson, and Jacqueline Stewart share a program of new work and old favorites.</p>",312.337.6543,03/23/2012,"1016 N. Dearborn Parkway, Chicago, IL",03/24/2012,http://my.seechicagodance.com,"Winifred Haun, Jessica Miller Thomlinson, Jacqueline Stewart",Ruth Page Center for the Arts,http://www.seechicagodance.com/performance/466
"<p>The Joffrey Ballet?s 2010-2011 Stars season concludes this spring with &#8220;Rising Stars,&#8221; a mixed repertory program featuring two World Premieres by Edwaard Liang and Yuri Possokhov, plus a company premiere by Julia Adam.</p>",312.922.2110,05/12/2011,"50 East Congress Parkway, Chicago, IL",05/15/2011,http://my.seechicagodance.com/files/20100819111145.jpg,"Joffrey Ballet presents ""Rising Stars""",Auditorium Theatre of Roosevelt University,http://www.seechicagodance.com/performance/436
"<p>As NoMi LaMad brings its fourth season to close, the company takes an insightful look at the resiliency of human nature.  What began as a look at woman&#8217;s struggle with sickness, self-image, and relationships, quickly blossomed into a study of how people everywhere are &#8216;defying the odds.&#8217;  Between the recession, arts funding being cut, and the day-to-day struggles we all face, NoMi LaMad takes a deeper look at how these battles are fought and survived.</p>",312.337.6543,05/13/2011,"1016 N. Dearborn Parkway, Chicago, IL",05/14/2011,http://my.seechicagodance.com/files/20110417154820.jpg,"NoMi LaMad Dance Inc.'s ""Defying the Odds""",Ruth Page Center for the Arts,http://www.seechicagodance.com/performance/361
"<p>Windy City Rhythms features Chicago&#8217;s very own tap community &#8211; from pros to aficionados &#8211; alongside special guests and respected elders. <span class=""caps"">WCR</span> is CHRP&#8217;s contribution to National Tap Dance Day events held around the world commemorating Bill &#8220;Bojangles&#8221; Robinson&#8217;s birthday and celebrating the African and Irish roots of American tap.</p>",773-947-0600,05/15/2011,"740 E. 56th Place, Chicago, IL",05/15/2011,http://my.seechicagodance.com/files/20110412170718.jpg,Windy City Rhythms,DuSable Museum of African American History,http://www.seechicagodance.com/performance/479
"<p>Inspired by &#8220;theatre of quietude&#8221; and String Theory, The Llanarth Group&#8217;s Told by the Wind is a fusion of movement and text that &#8220;dances&#8221; an inner landscape. Intimate and meditative, it is a requiem for the unseen; a poignant duet for two figures who never physically meet.</p>",312-369-8330,05/20/2011,"1306 S. Michigan Ave., Chicago, IL",05/21/2011,http://my.seechicagodance.com/files/20110426155906.jpg,,Dance Center of Columbia College Chicago,http://www.seechicagodance.com/performance/476
"<p>&#8220;One of the most daring and exciting dances of 2010.&#8221;</p>  	<p>- Zachary Whittenburg, TimeOut Chicago</p>",847-491-3147,06/02/2011,"10 Arts Circle Drive, Chicago, IL",06/05/2011,http://my.seechicagodance.com/files/20110502123705.JPG,"""Sharks Before Drowning"" returns to Chicago!",Northwestern University Marjorie Ward Marshall Ballroom Theater,http://www.seechicagodance.com/performance/480
"<p>DanceWorks Chicago is excited to partner with The Ruth Page Center for the Arts on Dance Chance, a one-hour event designed to offer opportunities for choreographers to show their work informally, create a forum for dialogue among artists, and build audience for dance. Inspired by the concept of open-mic night, Dance Chance is held once a month and features 3 choreographers chosen by chance, each of whom has a 15-minute time slot to share their work. To round out the hour, the final 15-minute segment is a moderated meet-the-artist session providing an opportunity for choreographers to discuss their work and process as well as time for the audience to ask questions. At the end of each Dance Chance, the next trio of participants is chosen from names submitted by choreographers in attendance. The event, held in the intimate theater of the Ruth Page Center, 1016 N. Dearborn, is open to the public. For information, please see http://www.danceworkschicago.org/dance-chance.html</p>",312.337.6543,06/06/2011,"1016 N. Dearborn Parkway, Chicago, IL",07/11/2011,http://my.seechicagodance.com/files/20100204182607.jpg,DANCE CHANCE,Ruth Page Center for the Arts,http://www.seechicagodance.com/performance/209
"<p>There is something for everyone in the latest show from Matter Dance, voted âBest Dance Company in Chicagoâ for three consecutive years in the Chicago Reader Best of Chicago awards. Entertaining and surprising for the dance aficionado or the novice, The Fabulous Adventures Of&#8230; takes the audience on a dance adventure, ranging from classical to comical. Matter Dance Chicago once again delivers the innovative and engaging performances for which they are known. Visit www.matterdance.com for more information.</p>",773.327.5252,06/09/2011,"1225 W Belmont Ave., Chicago, IL",06/11/2011,http://my.seechicagodance.com/files/2011042284936.jpg,Matter Dance Chicago presents The Fabulous Adventures of...,Stage 773,http://www.seechicagodance.com/performance/475
"<p>The critically acclaimed company of dancers continue to entertain audiences from around the world with the must see concert of the year &#8220;Flamenco Passion.&#8221; Extraordinary costumes and stage settings accompany this spectacular concert with romantic Spanish Ballets, traditional folkloric suites, and fiery, sensual Flamenco drams.</p>",847-673-6300,06/24/2011,"9501 Skokie Blvd, Chicago, IL",06/26/2011,http://my.seechicagodance.com/files/20100831122716.jpg,"American Spanish Dance & Music Festival, Flamenco Passion Gala Concerts",North Shore Center for the Performing Arts in Skokie,http://www.seechicagodance.com/performance/477
