name,startingHour,description,image,fee,closingHour,moreInfo,location
Lake Placid Ski / Snowboard Weekend!,5PM,"<p>Get on the Party Bus as we head to New York for an amazing ski & snowboard weekend!</p>  						<p>A couple big bumps. Some serious curve carving. Now add YOU for a guaranteed good time - all in the name of old man winter. Join us for our series of 2010 winter ski excursions with Lake Placid, NY & VAIL, CO. Lodging, bus/air, lift tickets, nightly parties, and more are all in store. Book using promo code P2N25 and save $25 on any air-inclusive trip! Click below for FULL DETAILS on each trip. <br /> <br />http://www.PhillyTrips.com <br /></p>",http://philly.cities2night.com/event/99681/image_original,"$300.00 Entry,",10PM,http://philly.cities2night.com/event/99681/lake-placid-ski-snowboard-weekend/,",  ,"
Lake Placid Ski / Snowboard Weekend!,5PM,"<p>Get on the Party Bus as we head to New York for an amazing ski & snowboard weekend!</p>  						<p>A couple big bumps. Some serious curve carving. Now add YOU for a guaranteed good time - all in the name of old man winter. Join us for our series of 2010 winter ski excursions with Lake Placid, NY & VAIL, CO. Lodging, bus/air, lift tickets, nightly parties, and more are all in store. Book using promo code P2N25 and save $25 on any air-inclusive trip! Click below for FULL DETAILS on each trip. <br /> <br />http://www.PhillyTrips.com <br /></p>",http://philly.cities2night.com/event/99682/image_original,"$300.00 Entry,",10PM,http://philly.cities2night.com/event/99682/lake-placid-ski-snowboard-weekend/,",  ,"
ULITIMATE PINK FLOYD TRIBUTE BAND.................THINKPINKFLOYD.COM,6PM,"<p>WWW.THINKPINKFLOYD.COM,FREE- CONCERT> IN THE PARK, magical, epic, psychedelic with</p>  						<p>THE ULITIMATE PINK FLOYD TRIBUTE BAND. <br />MORE INFO AT WWW.THINKPINKFLOYD.COM <br /> <br /> <br />UPCOMING SHOWS! <br /> <br /> <br />MARCH 28TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />MAY 30 <br />CHILL BAR & GRILL <br />100 buck rd <br />HOLLAND pa 18966 <br />215 357 7700 <br />---------------------- <br />JUNE6TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />SEPT 2  <br /> IN THE PARK <br />LANGORNE PARK -RT 413 AND <br />MAPLE AVE  <br />901 bridgetown pike <br />LANGHORNE PA 19047 <br />6 PM EST <br />----------</p>",http://philly.cities2night.com/event/81670/image_original,"Free Entry,",9PM,http://philly.cities2night.com/event/81670/ulitimate-pink-floyd-tribute-bandthinkpinkfloydcom/,",  ,"
Colorado Ski & Snowboard Trip 2010 :: VAIL,8AM,"<p>Join us in VAIL COLORADO for another amazing Western Ski & Snowboard trip!</p>  						<p>A couple big bumps. Some serious curve carving. Now add YOU for a guaranteed good time - all in the name of old man winter. Join us for our series of 2010 winter ski excursions with Lake Placid, NY & VAIL, CO. Lodging, bus/air, lift tickets, nightly parties, and more are all in store. Book using promo code P2N25 and save $25 on any air-inclusive trip! Click below for FULL DETAILS on each trip. <br /> <br />http://www.PhillyTrips.com <br /> <br /></p>",http://philly.cities2night.com/event/99683/image_original,"$750.00 Entry,",5PM,http://philly.cities2night.com/event/99683/colorado-ski-snowboard-trip-2010-vail/,",  ,"
Colorado Ski & Snowboard Trip 2010 :: VAIL,8AM,"<p>Join us in VAIL COLORADO for another amazing Western Ski & Snowboard trip!</p>  						<p>A couple big bumps. Some serious curve carving. Now add YOU for a guaranteed good time - all in the name of old man winter. Join us for our series of 2010 winter ski excursions with Lake Placid, NY & VAIL, CO. Lodging, bus/air, lift tickets, nightly parties, and more are all in store. Book using promo code P2N25 and save $25 on any air-inclusive trip! Click below for FULL DETAILS on each trip. <br /> <br />http://www.PhillyTrips.com <br /> <br /></p>",http://philly.cities2night.com/event/99684/image_original,"$750.00 Entry,",5PM,http://philly.cities2night.com/event/99684/colorado-ski-snowboard-trip-2010-vail/,",  ,"
Colorado Ski & Snowboard Trip 2010 :: VAIL,8AM,"<p>Join us in VAIL COLORADO for another amazing Western Ski & Snowboard trip!</p>  						<p>A couple big bumps. Some serious curve carving. Now add YOU for a guaranteed good time - all in the name of old man winter. Join us for our series of 2010 winter ski excursions with Lake Placid, NY & VAIL, CO. Lodging, bus/air, lift tickets, nightly parties, and more are all in store. Book using promo code P2N25 and save $25 on any air-inclusive trip! Click below for FULL DETAILS on each trip. <br /> <br />http://www.PhillyTrips.com <br /> <br /></p>",http://philly.cities2night.com/event/99685/image_original,"$750.00 Entry,",5PM,http://philly.cities2night.com/event/99685/colorado-ski-snowboard-trip-2010-vail/,",  ,"
Colorado Ski & Snowboard Trip 2010 :: VAIL,8AM,"<p>Join us in VAIL COLORADO for another amazing Western Ski & Snowboard trip!</p>  						<p>A couple big bumps. Some serious curve carving. Now add YOU for a guaranteed good time - all in the name of old man winter. Join us for our series of 2010 winter ski excursions with Lake Placid, NY & VAIL, CO. Lodging, bus/air, lift tickets, nightly parties, and more are all in store. Book using promo code P2N25 and save $25 on any air-inclusive trip! Click below for FULL DETAILS on each trip. <br /> <br />http://www.PhillyTrips.com <br /> <br /></p>",http://philly.cities2night.com/event/99686/image_original,"$750.00 Entry,",5PM,http://philly.cities2night.com/event/99686/colorado-ski-snowboard-trip-2010-vail/,",  ,"
Colorado Ski & Snowboard Trip 2010 :: VAIL,8AM,"<p>Join us in VAIL COLORADO for another amazing Western Ski & Snowboard trip!</p>  						<p>A couple big bumps. Some serious curve carving. Now add YOU for a guaranteed good time - all in the name of old man winter. Join us for our series of 2010 winter ski excursions with Lake Placid, NY & VAIL, CO. Lodging, bus/air, lift tickets, nightly parties, and more are all in store. Book using promo code P2N25 and save $25 on any air-inclusive trip! Click below for FULL DETAILS on each trip. <br /> <br />http://www.PhillyTrips.com <br /> <br /></p>",http://philly.cities2night.com/event/99687/image_original,"$750.00 Entry,",5PM,http://philly.cities2night.com/event/99687/colorado-ski-snowboard-trip-2010-vail/,",  ,"
Colorado Ski & Snowboard Trip 2010 :: VAIL,8AM,"<p>Join us in VAIL COLORADO for another amazing Western Ski & Snowboard trip!</p>  						<p>A couple big bumps. Some serious curve carving. Now add YOU for a guaranteed good time - all in the name of old man winter. Join us for our series of 2010 winter ski excursions with Lake Placid, NY & VAIL, CO. Lodging, bus/air, lift tickets, nightly parties, and more are all in store. Book using promo code P2N25 and save $25 on any air-inclusive trip! Click below for FULL DETAILS on each trip. <br /> <br />http://www.PhillyTrips.com <br /> <br /></p>",http://philly.cities2night.com/event/99688/image_original,"$750.00 Entry,",5PM,http://philly.cities2night.com/event/99688/colorado-ski-snowboard-trip-2010-vail/,",  ,"
ULITIMATE PINK FLOYD TRIBUTE BAND.................THINKPINKFLOYD.COM,6PM,"<p>WWW.THINKPINKFLOYD.COM,FREE- CONCERT> IN THE PARK, magical, epic, psychedelic with</p>  						<p>THE ULITIMATE PINK FLOYD TRIBUTE BAND. <br />MORE INFO AT WWW.THINKPINKFLOYD.COM <br /> <br /> <br />UPCOMING SHOWS! <br /> <br /> <br />MARCH 28TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />MAY 30 <br />CHILL BAR & GRILL <br />100 buck rd <br />HOLLAND pa 18966 <br />215 357 7700 <br />---------------------- <br />JUNE6TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />SEPT 2  <br /> IN THE PARK <br />LANGORNE PARK -RT 413 AND <br />MAPLE AVE  <br />901 bridgetown pike <br />LANGHORNE PA 19047 <br />6 PM EST <br />----------</p>",http://philly.cities2night.com/event/81671/image_original,"Free Entry,",9PM,http://philly.cities2night.com/event/81671/ulitimate-pink-floyd-tribute-bandthinkpinkfloydcom/,",  ,"
ULITIMATE PINK FLOYD TRIBUTE BAND.................THINKPINKFLOYD.COM,6PM,"<p>WWW.THINKPINKFLOYD.COM,FREE- CONCERT> IN THE PARK, magical, epic, psychedelic with</p>  						<p>THE ULITIMATE PINK FLOYD TRIBUTE BAND. <br />MORE INFO AT WWW.THINKPINKFLOYD.COM <br /> <br /> <br />UPCOMING SHOWS! <br /> <br /> <br />MARCH 28TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />MAY 30 <br />CHILL BAR & GRILL <br />100 buck rd <br />HOLLAND pa 18966 <br />215 357 7700 <br />---------------------- <br />JUNE6TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />SEPT 2  <br /> IN THE PARK <br />LANGORNE PARK -RT 413 AND <br />MAPLE AVE  <br />901 bridgetown pike <br />LANGHORNE PA 19047 <br />6 PM EST <br />----------</p>",http://philly.cities2night.com/event/81672/image_original,"Free Entry,",9PM,http://philly.cities2night.com/event/81672/ulitimate-pink-floyd-tribute-bandthinkpinkfloydcom/,",  ,"
ULITIMATE PINK FLOYD TRIBUTE BAND.................THINKPINKFLOYD.COM,6PM,"<p>WWW.THINKPINKFLOYD.COM,FREE- CONCERT> IN THE PARK, magical, epic, psychedelic with</p>  						<p>THE ULITIMATE PINK FLOYD TRIBUTE BAND. <br />MORE INFO AT WWW.THINKPINKFLOYD.COM <br /> <br /> <br />UPCOMING SHOWS! <br /> <br /> <br />MARCH 28TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />MAY 30 <br />CHILL BAR & GRILL <br />100 buck rd <br />HOLLAND pa 18966 <br />215 357 7700 <br />---------------------- <br />JUNE6TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />SEPT 2  <br /> IN THE PARK <br />LANGORNE PARK -RT 413 AND <br />MAPLE AVE  <br />901 bridgetown pike <br />LANGHORNE PA 19047 <br />6 PM EST <br />----------</p>",http://philly.cities2night.com/event/81673/image_original,"Free Entry,",9PM,http://philly.cities2night.com/event/81673/ulitimate-pink-floyd-tribute-bandthinkpinkfloydcom/,",  ,"
ULITIMATE PINK FLOYD TRIBUTE BAND.................THINKPINKFLOYD.COM,6PM,"<p>WWW.THINKPINKFLOYD.COM,FREE- CONCERT> IN THE PARK, magical, epic, psychedelic with</p>  						<p>THE ULITIMATE PINK FLOYD TRIBUTE BAND. <br />MORE INFO AT WWW.THINKPINKFLOYD.COM <br /> <br /> <br />UPCOMING SHOWS! <br /> <br /> <br />MARCH 28TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />MAY 30 <br />CHILL BAR & GRILL <br />100 buck rd <br />HOLLAND pa 18966 <br />215 357 7700 <br />---------------------- <br />JUNE6TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />SEPT 2  <br /> IN THE PARK <br />LANGORNE PARK -RT 413 AND <br />MAPLE AVE  <br />901 bridgetown pike <br />LANGHORNE PA 19047 <br />6 PM EST <br />----------</p>",http://philly.cities2night.com/event/81674/image_original,"Free Entry,",9PM,http://philly.cities2night.com/event/81674/ulitimate-pink-floyd-tribute-bandthinkpinkfloydcom/,",  ,"
All you touch and all you SEE is all your life will ever be!,6PM,"<p>free concert in langhorne park</p>  						<p>SEPT 2  <br /> IN THE PARK <br />LANGORNE PARK -RT 413 AND <br />MAPLE AVE  <br />901 bridgetown pike <br />LANGHORNE PA 19047 <br />6 PM EST <br />----------THE ULITIMATE PINK FLOYD TRIBUTE BAND. <br />MORE INFO AT THINKPINKFLOYD.COM <br /> <br />People we get out to our events are <br />true Pink Floyd fans from the area and beyond. <br />.... <br /> <br />People really enjoy the music of Pink Floyd. <br /> <br />Their music was magical, epic, psychedelic with <br />awesome musicianship and bizarre imagery in the lyrics. <br />few other shows............... <br /> <br />MARCH 28TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />MAY 30 <br />CHILL BAR & GRILL <br />100 buck rd <br />HOLLAND pa 18966 <br />215 357 7700 <br />---------------------- <br />JUNE6TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br /> <br /></p>",http://nepa.cities2night.com/event/81658/image_original,"Free Entry,",9PM,http://nepa.cities2night.com/event/81658/all-you-touch-and-all-you-see-is-all-your-life-will-ever-be/,",  ,"
All you touch and all you SEE is all your life will ever be!,6PM,"<p>free concert in langhorne park</p>  						<p>SEPT 2  <br /> IN THE PARK <br />LANGORNE PARK -RT 413 AND <br />MAPLE AVE  <br />901 bridgetown pike <br />LANGHORNE PA 19047 <br />6 PM EST <br />----------THE ULITIMATE PINK FLOYD TRIBUTE BAND. <br />MORE INFO AT THINKPINKFLOYD.COM <br /> <br />People we get out to our events are <br />true Pink Floyd fans from the area and beyond. <br />.... <br /> <br />People really enjoy the music of Pink Floyd. <br /> <br />Their music was magical, epic, psychedelic with <br />awesome musicianship and bizarre imagery in the lyrics. <br />few other shows............... <br /> <br />MARCH 28TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />MAY 30 <br />CHILL BAR & GRILL <br />100 buck rd <br />HOLLAND pa 18966 <br />215 357 7700 <br />---------------------- <br />JUNE6TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br /> <br /></p>",http://nepa.cities2night.com/event/81659/image_original,"Free Entry,",9PM,http://nepa.cities2night.com/event/81659/all-you-touch-and-all-you-see-is-all-your-life-will-ever-be/,",  ,"
All you touch and all you SEE is all your life will ever be!,6PM,"<p>free concert in langhorne park</p>  						<p>SEPT 2  <br /> IN THE PARK <br />LANGORNE PARK -RT 413 AND <br />MAPLE AVE  <br />901 bridgetown pike <br />LANGHORNE PA 19047 <br />6 PM EST <br />----------THE ULITIMATE PINK FLOYD TRIBUTE BAND. <br />MORE INFO AT THINKPINKFLOYD.COM <br /> <br />People we get out to our events are <br />true Pink Floyd fans from the area and beyond. <br />.... <br /> <br />People really enjoy the music of Pink Floyd. <br /> <br />Their music was magical, epic, psychedelic with <br />awesome musicianship and bizarre imagery in the lyrics. <br />few other shows............... <br /> <br />MARCH 28TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />MAY 30 <br />CHILL BAR & GRILL <br />100 buck rd <br />HOLLAND pa 18966 <br />215 357 7700 <br />---------------------- <br />JUNE6TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br /> <br /></p>",http://nepa.cities2night.com/event/81660/image_original,"Free Entry,",9PM,http://nepa.cities2night.com/event/81660/all-you-touch-and-all-you-see-is-all-your-life-will-ever-be/,",  ,"
All you touch and all you SEE is all your life will ever be!,6PM,"<p>free concert in langhorne park</p>  						<p>SEPT 2  <br /> IN THE PARK <br />LANGORNE PARK -RT 413 AND <br />MAPLE AVE  <br />901 bridgetown pike <br />LANGHORNE PA 19047 <br />6 PM EST <br />----------THE ULITIMATE PINK FLOYD TRIBUTE BAND. <br />MORE INFO AT THINKPINKFLOYD.COM <br /> <br />People we get out to our events are <br />true Pink Floyd fans from the area and beyond. <br />.... <br /> <br />People really enjoy the music of Pink Floyd. <br /> <br />Their music was magical, epic, psychedelic with <br />awesome musicianship and bizarre imagery in the lyrics. <br />few other shows............... <br /> <br />MARCH 28TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />MAY 30 <br />CHILL BAR & GRILL <br />100 buck rd <br />HOLLAND pa 18966 <br />215 357 7700 <br />---------------------- <br />JUNE6TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br /> <br /></p>",http://nepa.cities2night.com/event/81661/image_original,"Free Entry,",9PM,http://nepa.cities2night.com/event/81661/all-you-touch-and-all-you-see-is-all-your-life-will-ever-be/,",  ,"
Triumph Brewing Company presents THINK PINK FLOYD,9PM,"<p>THINK PINK FLOYD is THE ULTIMATE PINK FLOYD TRIBUTE BAND</p>  						<p>http://www.thinkpinkfloyd.com <br />http://www.facebook.com/THINKPINKFLOYD1 <br />http://www.youtube.com/thinkpinkfloyd <br /> <br />A live tribute to Pink Floyd from the Meddle album to the Division Bell era, <br />(and everything in between) <br />THINK PINK FLOYD is the  most popular Pink Floyd tribute show, <br />authentic recreation of PINK FLOYD. <br /> <br />THINK PINK FLOYD has been featured in OUT ON THE TOWN ENTERTAINMENT NEWS <br />The band’s greatest thrill has been the diverse repertoire of classic Pink Floyd songs ,venues that  request their return and the tons of new fans who instantly fall in love with the band. <br />  <br />People we get out to our events are <br />true Pink Floyd fans from the area and beyond. <br /> <br />People really enjoy the music of Pink Floyd. <br /> <br />Their music was magical, epic, psychedelic with <br />awesome musicianship and bizarre imagery in the lyrics. <br /> <br />THINK PINK FLOYD performs the favorites that all pink Floyd fans recognize. <br />******Seduced by a journey through sound & lights******  <br />Fog flows across a the stage. <br /> as <br />the band kicks into the DARK SIDE OF THE MOON.... <br /> <br /> Think Pink Floyd has built up an enormous repertoire with  <br />about four hours of vintage Floyd material to choose from.  <br />And the band really has all the bases covered: <br /> From the young Pink Floyd’s ""meddle"" echeo's” (1971)  <br />through the ”Dark Side Of The Moon” (1973), ”Wish You Were Here”  <br />(1975) Animals (1977)”The Wall” (1979)  ”A Momentary Lapse Of Reason”  <br />(1987) and ”The Division Bell” (1994). plus much more syd and roger legendary music,  <br />a kick ass band and a unique sound, light and film show.(((((Think Pink Floyd)))))</p>",http://nepa.cities2night.com/event/108305/image_original,"$5.00 Entry,",2AM,http://nepa.cities2night.com/event/108305/triumph-brewing-company-presents-think-pink-floyd/,"400 Union Square, New Hope, PA, 18938"
All you touch and all you SEE is all your life will ever be!,6PM,"<p>free concert in langhorne park</p>  						<p>SEPT 2  <br /> IN THE PARK <br />LANGORNE PARK -RT 413 AND <br />MAPLE AVE  <br />901 bridgetown pike <br />LANGHORNE PA 19047 <br />6 PM EST <br />----------THE ULITIMATE PINK FLOYD TRIBUTE BAND. <br />MORE INFO AT THINKPINKFLOYD.COM <br /> <br />People we get out to our events are <br />true Pink Floyd fans from the area and beyond. <br />.... <br /> <br />People really enjoy the music of Pink Floyd. <br /> <br />Their music was magical, epic, psychedelic with <br />awesome musicianship and bizarre imagery in the lyrics. <br />few other shows............... <br /> <br />MARCH 28TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br />---------------------- <br />MAY 30 <br />CHILL BAR & GRILL <br />100 buck rd <br />HOLLAND pa 18966 <br />215 357 7700 <br />---------------------- <br />JUNE6TH <br /> (SWEENEY'S SALOON) <br />13639 PHILMOUNT AVE <br />PHILA PA 19116 <br /> <br /></p>",http://nepa.cities2night.com/event/81662/image_original,"Free Entry,",9PM,http://nepa.cities2night.com/event/81662/all-you-touch-and-all-you-see-is-all-your-life-will-ever-be/,",  ,"
