moreInfoLink,phone,title,address,venueName,description
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232388&amp;max=10,704-372-1000,Michael Winslow,345 N. College St.,McGlohon Theatre,"Best known for his role as Sgt. Larvelle ""Motor Mouth"" Jones in the Police Academy series, Winslow is also known as ""the man of 10,000 sound effects""."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232455&amp;max=10,,"Pizza, Beer & Comedy",2820 Selwyn Ave.,Mellow Mushroom,"Open mic with comedians getting 7-10 minutes of stage time, followed by a featured act performing from 25-45 minutes. Hosted by Nicci Hooten."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232433&amp;max=10,,Funny Bone Improv,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,"Forget about losing weight, getting sober, or finally taking that pesky paternity test. It&#146;s time to give up!For more information, visit www.funnyboneimprov.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231539&amp;max=10,,Rockstar Live Band Karaoke,,The Saloon at the NC Music Factory,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232329&amp;max=10,704-376-3737,"Songwriters Showcase f. Etta Lea, Rob McHale",3227 N. Davidson St.,The Evening Muse,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229607&amp;max=10,,Open Mic Night,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,"Stand-up comedy open mic. Comics get five minutes.  Sign-up starts at 7 p.m. For more information, visit www.thecomedyzonefortmill.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A195261&amp;max=10,,Steve Engler Band,5th %26 College,Blue Restaurant,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10,,Charlotte Comedy Theater,2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232479&amp;max=10,704-597-8230,Toby Creek,2740 W. Sugar Creek Road.,Puckett's Farm Equipment,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232159&amp;max=10,,Ken Evans,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A223910&amp;max=10,704-549-0050,Tony Fisher,8708 J. W. Clay Blvd,Lava Bistro,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232454&amp;max=10,704-607-3062,Open Mic,19191 Commonwealth Ave.,Petra's Piano Bar and Cabaret,Featuring comedians and musicians. No language or content restrictions. Each performer will be given fives minutes on stage. Must sign-up by 9:55 p.m.; Show starts at 10 p.m.
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232358&amp;max=10,704-376-1446,"Wahnderlust, Devon Elizabeth",218 E Independence Blvd,Double Door Inn,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10,,Charlotte Comedy Theater,2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A57146&amp;max=10,704-373-0782,Wizards Roadshow,1411 S. Tryon St.,The Gin Mill,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232430&amp;max=10,704-334-2655,The Chuckleheads,300 East Morehead St.,Morehead Street Tavern,"The Chuckleheads' Comedy Improv Variety Extravaganza. Junior Chuckleheads performance at 8 p.m.; Senior Chuckleheads at 9 p.m. For more information, visit www.actorscrib.com or www.thechuckleheads.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232061&amp;max=10,,Wizards Roadshow,,"Skinnyz, Matthews",
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232159&amp;max=10,,Ken Evans,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232351&amp;max=10,,Amy Broome Band,,Jackalope Jack's,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232449&amp;max=10,704-621-6373,Patrick Garrity,Galway Hooker,Lake Norman Comedy Zone,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A84937&amp;max=10,704-523-1594,Bayou Butch Lucas,4707 South Blvd.,Villa Antonio,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232455&amp;max=10,,"Pizza, Beer & Comedy",2820 Selwyn Ave.,Mellow Mushroom,"Open mic with comedians getting 7-10 minutes of stage time, followed by a featured act performing from 25-45 minutes. Hosted by Nicci Hooten."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A196241&amp;max=10,,Beats and Keys,,Encore Bistro,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229607&amp;max=10,,Open Mic Night,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,"Stand-up comedy open mic. Comics get five minutes.  Sign-up starts at 7 p.m. For more information, visit www.thecomedyzonefortmill.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232359&amp;max=10,704-376-1446,"Chasing Edison, Consisder the Source",218 E Independence Blvd,Double Door Inn,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10,,Charlotte Comedy Theater,2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232330&amp;max=10,704-376-3737,Dana & Susan Robinson,3227 N. Davidson St.,The Evening Muse,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A81992&amp;max=10,704-343-2727,DJ Wojo,1933 S. Blvd.,Tyber Creek Pub,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231695&amp;max=10,704-372-2633,Improv Charlotte,NoDa,Wine Up,Long and short form comedic improv games. Proceeds benefit local and international charities.
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232363&amp;max=10,704-377-6874,"Falling Through April w/Another Day Falls, Beyond The Fade, Peyton Maddux",1423 South Tryon St,Amos' Southend,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232454&amp;max=10,704-607-3062,Open Mic,19191 Commonwealth Ave.,Petra's Piano Bar and Cabaret,Featuring comedians and musicians. No language or content restrictions. Each performer will be given fives minutes on stage. Must sign-up by 9:55 p.m.; Show starts at 10 p.m.
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232160&amp;max=10,,Patrick Garrity and Sid Davis,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A153015&amp;max=10,704-374-1982,Hip Hop w/ DJ Magic,225 N. Caldwell St.,Breakfast Club,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232441&amp;max=10,704-894-2361,Benji Brown,207 Faculty Dr,"Duke Family Performance Hall, Davidson College","Apocalypse Greek Step Show: Revelation of the Divine. For tickets, visit www.davidson.edu/tickets."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10,,Charlotte Comedy Theater,2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232160&amp;max=10,,Patrick Garrity and Sid Davis,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231797&amp;max=10,704-358-9200,JJ Grey & Mofro,1615 Elizabeth Ave.,Visulite Theatre,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A228834&amp;max=10,,Funny First Sunday at House of Jazz,8630 University Executive Park Drive,House of Jazz,Enjoy a comedy show at the House of Jazz. For more information call 704-968-2207 or visit www.thehouseofjazz.net.
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A56902&amp;max=10,,Joe Blythe,Speedway Blvd.,"Iron Thunder, Concord",
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A196244&amp;max=10,,John Alexander,5th %26 College,Blue Restaurant,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232455&amp;max=10,,"Pizza, Beer & Comedy",2820 Selwyn Ave.,Mellow Mushroom,"Open mic with comedians getting 7-10 minutes of stage time, followed by a featured act performing from 25-45 minutes. Hosted by Nicci Hooten."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232450&amp;max=10,704-621-6373,Tim Simmons,Galway Hooker,Lake Norman Comedy Zone,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231985&amp;max=10,704-371-4300,Johnny Wicker,2224 Park Rd.,Comet Grill,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A198686&amp;max=10,704-377-9017,Live Jazz,1800 E. 7th St.,Cajun Queen,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229607&amp;max=10,,Open Mic Night,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,"Stand-up comedy open mic. Comics get five minutes.  Sign-up starts at 7 p.m. For more information, visit www.thecomedyzonefortmill.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232457&amp;max=10,704-895-9090,"Marie Reed, Paul Finnican, Rob McHale",128 South Main St,"Summit Coffee & Tea, Davidson",
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10,,Charlotte Comedy Theater,2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A159093&amp;max=10,,Open Mic,400 N Polk St.,"Players, Pineville",
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232454&amp;max=10,704-607-3062,Open Mic,19191 Commonwealth Ave.,Petra's Piano Bar and Cabaret,Featuring comedians and musicians. No language or content restrictions. Each performer will be given fives minutes on stage. Must sign-up by 9:55 p.m.; Show starts at 10 p.m.
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229694&amp;max=10,704-537-3323,Open Mic Night,5237 Albemarle Road,Boppers Bar & Boogie,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232426&amp;max=10,704-687-3315,Steve Hofstetter,,UNC-Charlotte,"Hofstetter has been on The Late Late Show with Craig Ferguson and E! True Hollywood Story, Comics Unleashed, Comedy All-Stars, Quite Frankly, White Boyz in the Hood, Countdown and more."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A106570&amp;max=10,,Open Mic Night,2901 North Davidson St,Prevue,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232165&amp;max=10,,Tim Simmons,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232284&amp;max=10,704-597-8230,Open Mic w/ Shawn,2740 W. Sugar Creek Road.,Puckett's Farm Equipment,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232467&amp;max=10,,Pop-Tart Monkies,,Whisky River,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A199425&amp;max=10,,Charlotte Comedy Theater,2901 North Davidson St,Prevue,"Features Charlotte's improv comedy ensemble in a competitive battle of hilarity. High energy, audience interactive improv that's rated R. For reservations, call 803-548-6824. For more information, visit www.charlottecomedy.com."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A154711&amp;max=10,,R&B Live,1820 South Blvd.,Sunset Club,The open mic highlights national recording artists and provides newly signed and unsigned artists a platform to showcase their talent.
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232165&amp;max=10,,Tim Simmons,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A230248&amp;max=10,704-895-6944,Rayen Belchere,19607 Statesville Road,Kylie's Sports Bar and Grill,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232451&amp;max=10,704-621-6373,Shaun Jones,Galway Hooker,Lake Norman Comedy Zone,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A157625&amp;max=10,,Shiprocked w/ Scott Weaver,1228 Gordon St.,Snug Harbor,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232166&amp;max=10,,Shaun Jones,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232264&amp;max=10,704-398-4072,"The Toasters, All Rise, I.E.D., Dirty South Revolutionaries",3400 Tuckaseegee Rd.,Milestone,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232408&amp;max=10,,Showkase Comedy Spotlight,4919 Beatties Ford Road,Ramses Temple,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A155240&amp;max=10,704-372-2633,"Touch One Thursdays f/ live music, DJ Flemingo",NoDa,Wine Up,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232180&amp;max=10,704-372-1000,Jeanne Robertson,430 S. Tryon St.,Knight Theater,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232475&amp;max=10,704-398-4072,"25 Minutes to Go, Babyshaker, Blacklist Royals",3400 Tuckaseegee Rd.,Milestone,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232166&amp;max=10,,Shaun Jones,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232452&amp;max=10,704-621-6373,Tony Tone,Galway Hooker,Lake Norman Comedy Zone,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A196902&amp;max=10,,After Work Groove with DJ Festivus,,DaVinci's Pizza,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232167&amp;max=10,,Tony Tone,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232338&amp;max=10,704-358-9298,Bass Church f. Mindelixir,511 E. 36th St.,Neighborhood Theatre,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232167&amp;max=10,,Tony Tone,900 Crossroads Plaza,Fort Mill Comedy Zone at Madison&#146;s On The Corner,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231695&amp;max=10,704-372-2633,Improv Charlotte,NoDa,Wine Up,Long and short form comedic improv games. Proceeds benefit local and international charities.
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A228834&amp;max=10,,Funny First Sunday at House of Jazz,8630 University Executive Park Drive,House of Jazz,Enjoy a comedy show at the House of Jazz. For more information call 704-968-2207 or visit www.thehouseofjazz.net.
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232360&amp;max=10,704-376-1446,Big Sam's Funky Nation,218 E Independence Blvd,Double Door Inn,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232389&amp;max=10,704-372-1000,Gallagher,345 N. College St.,McGlohon Theatre,"Starting his career in comedy in the the early '80s, Gallagher became a notable comedian through his appearances on the Tonight Show and Showtime."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232477&amp;max=10,704-343-9494,"Boondox, F Dux",400 W. Tremont Ave.,Tremont Music Hall,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232453&amp;max=10,704-621-6373,Gallagher,Galway Hooker,Lake Norman Comedy Zone,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232136&amp;max=10,704-372-1000,Charlotte Symphony Pops: Fascinatin' Rhythm,130 N. Tryon St.,Belk Theater,Christopher Warren-Green leads the orchestra in this special program of hits by composer George Gershwin.
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A159608&amp;max=10,,DJ MCD,229 Medical Park Road %23120,"G'ss Lounge, Mooresville",
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232191&amp;max=10,704-372-1000,Laugh for the Cure,345 N. College St.,McGlohon Theatre,"The event begins with hors d'oeuvres and a silent auction in The Atrium at 6 p.m. A live auction and the comedy show, featuring comedians James Sibley and Greg Hahn will follow in McGlohon Theatre at 7:15 p.m. Presented by The Susan G. Komen for the Cure to help raise awareness and funding for breast health programs in the community."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A156644&amp;max=10,,DJ T-Nice,,Phil & Tony's,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A157867&amp;max=10,,Drum Circle,Corner of Main St. and Maxwell St.,Red Caboose,"Come enjoy an evening of drumming. All ages welcomed. Donations accepted. For more information, call 704-655-1253."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A229788&amp;max=10,803-222-8018,The Magic of John Tudor,1625 Highway 55 East,Clover School District Auditorium,"Family Night XII, featuring original humorous pieces that revolve around fairy tales, romance, struggles with cosmic forces and more."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232201&amp;max=10,704-372-1000,Doug Benson,345 N. College St.,McGlohon Theatre,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A153016&amp;max=10,704-374-1982,Flashback Fridays,225 N. Caldwell St.,Breakfast Club,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232390&amp;max=10,704-372-1000,Doug Benson,345 N. College St.,McGlohon Theatre,"Benson has appeared on Comedy Central Presents, Best Week Ever and was a contestant on Last Comic Standing. He also starred in Super High Me."
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231695&amp;max=10,704-372-2633,Improv Charlotte,NoDa,Wine Up,Long and short form comedic improv games. Proceeds benefit local and international charities.
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A228834&amp;max=10,,Funny First Sunday at House of Jazz,8630 University Executive Park Drive,House of Jazz,Enjoy a comedy show at the House of Jazz. For more information call 704-968-2207 or visit www.thehouseofjazz.net.
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232331&amp;max=10,704-376-3737,"Fred Eaglesmith, Emily Lynch; Crowfield",3227 N. Davidson St.,The Evening Muse,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232462&amp;max=10,,Gene Gene and the Blues Machine,,"Midtown Sundries, University",
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232343&amp;max=10,,Groove 8,,"Wild Wing Cafe, South Charlotte",
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232364&amp;max=10,704-377-6874,"Hell Awaits w/Perpetual Nightmare, Nemesis, Nephilim",1423 South Tryon St,Amos' Southend,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232480&amp;max=10,704-597-8230,James Scott Bullard & The Latenight Sweethearts,2740 W. Sugar Creek Road.,Puckett's Farm Equipment,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232465&amp;max=10,,Leaving Venus,,"McHale's, Rock Hill",
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A231381&amp;max=10,704-371-4300,The Lenny Federal Band,2224 Park Rd.,Comet Grill,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A198686&amp;max=10,704-377-9017,Live Jazz,1800 E. 7th St.,Cajun Queen,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232461&amp;max=10,,Mike & Friends Play the Oldies,2007 Central Ave,Tommy's Pub,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A223911&amp;max=10,704-549-0050,Mike Lassiter,8708 J. W. Clay Blvd,Lava Bistro,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232538&amp;max=10,704-523-2822,Pocketful of Strange,3039 South Blvd,Greystone Restaurant,
http://charlottehappenings.creativeloafing.com/gbase/Events/Event?oid=oid%3A232353&amp;max=10,704-523-2822,Pocketful of Strange,3039 South Blvd,Greystone Restaurant,
