moreInfoLink,title,venueAddress,endDate,description,venue,startDate,venuePhone
http://gonewport.com/ViewPage.aspx?id=175,Colonial Sites Tour,"127 Thames Street, Newport, RI 02840",02/26/2011,"During the Colonial Sites Tour, take a guided tour inside two of Newport’s historic landmarks and backdrops to the American Revolution. Visit the 1739 Colony House, built to house R.I. government meetings, and the c.1697 Wanton-Lyman-Hazard House, Newport’s oldest house museum. This 11:30am tour costs $12 per person, $10 with Newport Winter Festival button, and lasts 75 minutes. Weather permitting. Tour space is limited. Reservations recommended.",Museum & Shop at Brick Market,02/26/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Rogues and Scoundrels History Walking Tour,"127 Thames Street, Newport, RI 02840",02/26/2011,"See where scoundrels lived, where pirates profited and where criminals were put on trial and punished. Find out why this colony was known as “Rogue’s Island.” This 11am tour costs $12 per person, $10 with Newport Winter Festival button, and lasts 75 minutes. Weather permitting. Tour space is limited. Reservations recommended.",Museum & Shop at Brick Market,02/26/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Gilbert Stuart and His Times,"212 Bellevue Avenue, Newport, RI 02840",02/28/2011,A Vareika Gallery exhibition to benefit the Gilbert Stuart birthplace and museum. Featuring over Fifty artworks by the renowned American portraitist Gilbert Stuart and some of his contemporaries. Free Admission.,William Vareika FineArts Ltd,02/01/2011,401-849-6149
http://gonewport.com/ViewPage.aspx?id=175,Visit the American Revolution,"Washington Square, Newport, RI 02840",02/24/2011,"Join Norman Desmarais, author of ""The Guide to the American Revolutionary War in Canada and New England"" for a  6pm lecture about local sites from the American Revolution. $5 per person, $4 with Winter Festival button",Colony House,02/24/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,The Bit Players: Comedy Improv,"4 Equality Park Place, Newport, RI 02840",02/26/2011,"8pm. High-energy, fast-paced improvisation with various bits, diverse performers, and the always popular participation from the audience there is no telling what might happen when The Bit Players hit the stage - one thing is for certain; you will laugh! Much like the hit TV show ""Whose Line Is It Anyway?"" Everything is entirely made up on the spot, in front of your eyes from characters to scenes to stories to music! Mention GoNewport and get $5 off. Always BYOB",Firehouse Theater,02/25/2011,401-849-3473
http://gonewport.com/ViewPage.aspx?id=175,Historic Foodways and Hearth Cooking Workshop,"1 Coggeshall Farm Road, Bristol, RI 02809",02/26/2011,"Participants will spend an evening at Coggeshall Farm Museum exploring what it meant to ""eat local"" in 1790's Rhode Island. Working from Amelia Simmons' American Cookery, the first American cookbook, originally published in 1796, guests will prepare several receipts at the hearth using produce raised on the farm before sitting down to enjoy dinner by candlelight.  Limited to eight participants and is intended for ages 16 and up. Reservations are required. 4pm-8pm. $60.00 pp & $50.00 for members.",Coggeshall Farm Museum,02/26/2011,401-253-9062
http://gonewport.com/ViewPage.aspx?id=175,Newport Irish Heritage Month,"Citywide, Newport, RI 02840",03/31/2011,Celebrate all that is Irish during this exciting month-long event.,AOH Newport,03/01/2011,401-847-8671
http://gonewport.com/ViewPage.aspx?id=175,Gilbert Stuart and His Times,"212 Bellevue Avenue, Newport, RI 02840",03/06/2011,A Vareika Gallery exhibition to benefit the Gilbert Stuart birthplace and museum. Featuring over Fifty artworks by the renowned American portraitist Gilbert Stuart and some of his contemporaries. Free Admission.,William Vareika FineArts Ltd,03/01/2011,401-849-6149
http://gonewport.com/ViewPage.aspx?id=175,The Bit Players: Comedy Improv,"4 Equality Park Place, Newport, RI 02840",03/05/2011,"8pm. High-energy, fast-paced improvisation with various bits, diverse performers, and the always popular participation from the audience there is no telling what might happen when The Bit Players hit the stage - one thing is for certain; you will laugh! Much like the hit TV show ""Whose Line Is It Anyway?"" Everything is entirely made up on the spot, in front of your eyes from characters to scenes to stories to music! Mention GoNewport and get $5 off. Always BYOB",Firehouse Theater,03/04/2011,401-849-3473
http://gonewport.com/ViewPage.aspx?id=175,The Bit Players: Comedy Improv,"4 Equality Park Place, Newport, RI 02840",03/12/2011,"8pm. High-energy, fast-paced improvisation with various bits, diverse performers, and the always popular participation from the audience there is no telling what might happen when The Bit Players hit the stage - one thing is for certain; you will laugh! Much like the hit TV show ""Whose Line Is It Anyway?"" Everything is entirely made up on the spot, in front of your eyes from characters to scenes to stories to music! Mention GoNewport and get $5 off. Always BYOB",Firehouse Theater,03/11/2011,401-849-3473
http://gonewport.com/ViewPage.aspx?id=175,Passport Wine Tasting Series,"150 Conanicus Avenue, Jamestown, RI 02835",03/11/2011,"The Bay Voyage Inn presents a Passport Wine Tasting Series, Sponsored by Johnson Brothers. Each will take place from 6pm-8pm in the Bay Voyage Harbor Room. Entry is $30.00 per person at the door or reserve a Passport for the entire 6 night series for $150.00. Enjoy our waterfront view, a selection of wines, and pairings created by our Chef de Cuisine from each region of the evening! The second date on Friday, March 11th will feature an array from Spain, France, and Italy.",Bay Voyage Inn,03/11/2011,401-423-2100
http://gonewport.com/ViewPage.aspx?id=175,Saint Patrick's Day Parade,"Downtown, Newport, RI",03/12/2011,"11am. Find your best green attire, keep your eyes open for leprechauns, and join in the revelry to celebrate St. Patrick's Day in Newport! The parade begins at 11 a.m. at City Hall, runs through Washington Square, down Thames Street, and ends at St. Augustine's Church.",,03/12/2011,401-845-9123
http://gonewport.com/ViewPage.aspx?id=175,Historic Foodways and Hearth Cooking Workshop,"1 Coggeshall Farm Road, Bristol, RI 02809",03/12/2011,"Participants will spend an evening at Coggeshall Farm Museum exploring what it meant to ""eat local"" in 1790's Rhode Island. Working from Amelia Simmons' American Cookery, the first American cookbook, originally published in 1796, guests will prepare several receipts at the hearth using produce raised on the farm before sitting down to enjoy dinner by candlelight.  Limited to eight participants and is intended for ages 16 and up. Reservations are required. 4pm-8pm. $60.00 pp & $50.00 for members.",Coggeshall Farm Museum,03/12/2011,401-253-9062
http://gonewport.com/ViewPage.aspx?id=175,The Bit Players: Comedy Improv,"4 Equality Park Place, Newport, RI 02840",03/19/2011,"8pm. High-energy, fast-paced improvisation with various bits, diverse performers, and the always popular participation from the audience there is no telling what might happen when The Bit Players hit the stage - one thing is for certain; you will laugh! Much like the hit TV show ""Whose Line Is It Anyway?"" Everything is entirely made up on the spot, in front of your eyes from characters to scenes to stories to music! Mention GoNewport and get $5 off. Always BYOB",Firehouse Theater,03/18/2011,401-849-3473
http://gonewport.com/ViewPage.aspx?id=175,The Bit Players: Comedy Improv,"4 Equality Park Place, Newport, RI 02840",03/26/2011,"8pm. High-energy, fast-paced improvisation with various bits, diverse performers, and the always popular participation from the audience there is no telling what might happen when The Bit Players hit the stage - one thing is for certain; you will laugh! Much like the hit TV show ""Whose Line Is It Anyway?"" Everything is entirely made up on the spot, in front of your eyes from characters to scenes to stories to music! Mention GoNewport and get $5 off. Always BYOB",Firehouse Theater,03/25/2011,401-849-3473
http://gonewport.com/ViewPage.aspx?id=175,Newport Restaurant Week Spring,"Newport & Bristol County, , RI",04/03/2011,"A three-course meal from some of the finest area restaurant without breaking the bank! From a steaming cup of chowder overlooking the harbor to fine dining in romantic restaurants, Newport & Bristol County restaurants offer an array of creative menus. $16 for a three-course lunch and $30 for a three-course dinner.",,03/25/2011,401-845-9123
http://gonewport.com/ViewPage.aspx?id=175,Historic Foodways and Hearth Cooking Workshop,"1 Coggeshall Farm Road, Bristol, RI 02809",03/26/2011,"Participants will spend an evening at Coggeshall Farm Museum exploring what it meant to ""eat local"" in 1790's Rhode Island. Working from Amelia Simmons' American Cookery, the first American cookbook, originally published in 1796, guests will prepare several receipts at the hearth using produce raised on the farm before sitting down to enjoy dinner by candlelight.  Limited to eight participants and is intended for ages 16 and up. Reservations are required. 4pm-8pm. $60.00 pp & $50.00 for members.",Coggeshall Farm Museum,03/26/2011,401-253-9062
http://gonewport.com/ViewPage.aspx?id=175,Newport Art Museum Annual Members' Juried Exhibition,"76 Bellevue Avenue, Newport, RI 02840",04/30/2011,"Rhode Island's largest and most comprehensive exhibition of regional contemporary art showcases new work by some of the region's brightest lights, rising stars and undiscovered talents. Admission for non-members: $10 adults, $8 seniors, $6 students/military with valid ID, by donation Sat 10 am-12 pm; Members: free.",Newport Art Museum,04/01/2011,401-848-8200
http://gonewport.com/ViewPage.aspx?id=175,Colony House and Wanton-Lyman-Hazard House Historic Sites Tour,"127 Thames Street, Newport, RI 02840",04/02/2011,"Tour the 1739 Colony House, built to house RI government meetings, and the 1697 Wanton-Lyman-Hazard House, Newport's oldest house museum. Reservations suggested for this 11:30am tour.",Museum & Shop at Brick Market,04/02/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Discover Colonial Newport,"127 Thames Street, Newport, RI 02840",04/02/2011,"Hear stories of revolution and ruin, struggles for religious liberty and remarkable entrepreneurship among Newport's diverse people. $12 per person",Museum & Shop at Brick Market,04/02/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Discover Colonial Newport,"127 Thames Street, Newport, RI 02840",04/03/2011,"Hear stories of revolution and ruin, struggles for religious liberty and remarkable entrepreneurship among Newport's diverse people. $12 per person",Museum & Shop at Brick Market,04/03/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,3rd Annual Food & Wine Expo,"65 Ridge Road, Newport, RI 02840",04/07/2011,"6pm-9pm. Ocean Cliff Hotel, Sardella's Restaurant, and the Marina Café & Pub will be hosting the 3rd Annual Food & Wine Expo. There will be numerous purveyors showcasing artisan cheeses, meats, breads, olive oils, and several other food and beverage related goods. Various local and international wine and beer producers will be exhibiting their products, as well. In addition, there will be live entertainment provided by The Dick Lupino Quartet, and the Rogers, Middletown, and Portsmouth Bands. All of the proceeds raised at the event will be split evenly, and donated to the music departments at Rogers High School, Middletown High School, and Portsmouth High School. $25 per person. This is a 21 years and older event.",Ocean Cliff Hotel,04/07/2011,401-855-3475
http://gonewport.com/ViewPage.aspx?id=175,Colony House and Wanton-Lyman-Hazard House Historic Sites Tour,"127 Thames Street, Newport, RI 02840",04/09/2011,"Tour the 1739 Colony House, built to house RI government meetings, and the 1697 Wanton-Lyman-Hazard House, Newport's oldest house museum. Reservations suggested for this 11:30am tour.",Museum & Shop at Brick Market,04/09/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Discover Colonial Newport,"127 Thames Street, Newport, RI 02840",04/09/2011,"Hear stories of revolution and ruin, struggles for religious liberty and remarkable entrepreneurship among Newport's diverse people. $12 per person",Museum & Shop at Brick Market,04/09/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Discover Colonial Newport,"127 Thames Street, Newport, RI 02840",04/10/2011,"Hear stories of revolution and ruin, struggles for religious liberty and remarkable entrepreneurship among Newport's diverse people. $12 per person",Museum & Shop at Brick Market,04/10/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Daffodil Days at Blithewold,"101 Ferry Road, Bristol, RI 02809",04/30/2011,"Celebrate spring at this beautiful thirty-three acre estate on Narragansett Bay with a spectacular display of more than 50,000 daffodils. April 10 - May 1, 2011.","Blithwold Mansion, Garden & Arboretum",04/10/2011,401-253-2707
http://gonewport.com/ViewPage.aspx?id=175,Colony House and Wanton-Lyman-Hazard House Historic Sites Tour,"127 Thames Street, Newport, RI 02840",04/16/2011,"Tour the 1739 Colony House, built to house RI government meetings, and the 1697 Wanton-Lyman-Hazard House, Newport's oldest house museum. Reservations suggested for this 11:30am tour.",Museum & Shop at Brick Market,04/16/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Discover Colonial Newport,"127 Thames Street, Newport, RI 02840",04/16/2011,"Hear stories of revolution and ruin, struggles for religious liberty and remarkable entrepreneurship among Newport's diverse people. $12 per person",Museum & Shop at Brick Market,04/16/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Discover Colonial Newport,"127 Thames Street, Newport, RI 02840",04/17/2011,"Hear stories of revolution and ruin, struggles for religious liberty and remarkable entrepreneurship among Newport's diverse people. $12 per person",Museum & Shop at Brick Market,04/17/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Discover Colonial Newport,"127 Thames Street, Newport, RI 02840",04/23/2011,"Hear stories of revolution and ruin, struggles for religious liberty and remarkable entrepreneurship among Newport's diverse people. $12 per person",Museum & Shop at Brick Market,04/23/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Colony House and Wanton-Lyman-Hazard House Historic Sites Tour,"127 Thames Street, Newport, RI 02840",04/23/2011,"Tour the 1739 Colony House, built to house RI government meetings, and the 1697 Wanton-Lyman-Hazard House, Newport's oldest house museum. Reservations suggested for this 11:30am tour.",Museum & Shop at Brick Market,04/23/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Easter Egg Hunt,"548 Bellevue Avenue, Newport, RI 02840",04/23/2011,"The Preservation Society of Newport County invites you to bring the children to meet the Easter Bunny. Reservations required.  Visit website for ticket prices and to make reservations, or call.",Rosecliff,04/23/2011,401-847-1000
http://gonewport.com/ViewPage.aspx?id=175,Colony House and Wanton-Lyman-Hazard House Historic Sites Tour,"127 Thames Street, Newport, RI 02840",04/30/2011,"Tour the 1739 Colony House, built to house RI government meetings, and the 1697 Wanton-Lyman-Hazard House, Newport's oldest house museum. Reservations suggested for this 11:30am tour.",Museum & Shop at Brick Market,04/30/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Discover Colonial Newport,"127 Thames Street, Newport, RI 02840",04/30/2011,"Hear stories of revolution and ruin, struggles for religious liberty and remarkable entrepreneurship among Newport's diverse people. $12 per person",Museum & Shop at Brick Market,04/30/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Marian O'Connell: Artist Books and Etchings,"76 Bellevue Avenue, Newport, RI 02840",03/13/2011,"Marian O'Connell's exquisite intaglio prints are inspired by things she loves: New England flowers, gardens and architecture. O'Connell's hand-painted accordion book Walls, Gates and Fences, 2008 won ""Best in Show"" and the ""Newport Art Museum Award"" in the 2009 Newport Annual Members' Juried Exhibition. Museum members free; non-members $10 suggested donation.",Newport Art Museum,03/01/2011,401-848-8200
http://gonewport.com/ViewPage.aspx?id=175,William Klenk: Collage Paintings,"76 Bellevue Avenue, Newport, RI 02840",03/20/2011,"William Klenk's painterly collages have a transformative power that ""connects us to our world in a different way than painting does. Collage uses actual material from our lives - bits of signs, posters and letters - and combines them in a way that transforms the elements into something else."" Klenk has taught drawing and painting at the University of Rhode Island for five decades.",Newport Art Museum,03/01/2011,401-848-8200
http://gonewport.com/ViewPage.aspx?id=175,Newport Art Museum Annual Members' Juried Exhibition,"76 Bellevue Avenue, Newport, RI 02840",03/31/2011,"Rhode Island's largest and most comprehensive exhibition of regional contemporary art showcases new work by some of the region's brightest lights, rising stars and undiscovered talents. Admission for non-members: $10 adults, $8 seniors, $6 students/military with valid ID, by donation Sat 10 am-12 pm; Members: free.",Newport Art Museum,03/01/2011,401-848-8200
http://gonewport.com/ViewPage.aspx?id=175,Newport Cooks! The Mysteries of Baking Revealed,"35 King Street, Newport, RI 02840",03/03/2011,"Taught by Chef Karen Benjamin, The Creative Cake Company. Come to one class or take all three and you too can unravel the many mysteries of baking. $50 per class. Class I: Cakes with the Expert – February 17th. Class II: Pastry & Crusts – February 24th. Class III: Custards – March 3rd.",Edward King House,03/03/2011,401-293-0740
http://gonewport.com/ViewPage.aspx?id=175,Jamestown: A History of Narragansett Bay’s Island Town,"Washington Square, Newport, RI 02840",03/03/2011,"Rosemary Enright and Sue Maden, authors of the new book ""Jamestown:, will discuss how Jamestown’s history has been shaped by its geography. Jamestown was part of the larger world when merchants and travelers used the common roadway of the bay. As the speed of transportation on land increased, that same bay isolated the town. Enright and Maden will share how the island developed into the community it is today. $5 per person, Reservations requested.",Colony House,03/03/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Music Series at Trinity: Matthew Truss and Brent Erstad,"Queen Anne Square, Newport, RI 02840",03/04/2011,"This opening program will feature American countertenor Matthew Truss and pianist Brent Erstad in an evening of French Melodies and American Spirituals. Mr. Truss has garnered international acclaim both on the concert and opera stage. Praised for his “mellifluous voice and ebullient manner,” he is making his mark as a young performer whose “precocious voice boasts both beauty and volume.”",Trinity Church,03/04/2011,401-846-0660
http://gonewport.com/ViewPage.aspx?id=175,"Newport Cooks! Laissez Les Bon Temps Rouler: Cajun, Creole & Louisiana Cookin’ on Mardi Gras","35 King Street, Newport, RI 02840",03/08/2011,"The good times will be rolling in this cooking class as we celebrate Mardi Gras with Private Chefs Sophia Pendergast & Miles Chandler of Saucery. Their love of New Orleans spills over into their extensive culinary knowledge of Cajun, Creole & local cuisine. Open any Louisiana cookbook and you’ll see, “first you make a roux”. In class you’ll make a roux as we learn to prepare Crawfish Etouffee & other flavorful & spicy delights. Wine tasting to compliment the meal. Class fee: $50",Edward King House,03/08/2011,401-293-0740
http://gonewport.com/ViewPage.aspx?id=175,Newport Cooks! Modern Local Fresh on The Ides of March,"35 King Street, Newport, RI 02840",03/15/2011,"Taught by Food & Wine Magazine nominated Best Chef of the Year Jake Rojas. With a main course of pork, you’ll be certain it is local & prepared with an artist’s eye for detail. Chef Jake will share valuable tips for sourcing the best ingredients & kitchen secrets for prepping & preparing a 3-course meal like you might eat at delightful Tallulah on Thames.  Even seasoned cooks will take home nuggets of gold from this bright and talented Chef!  Wine tasting to compliment the meal. Class fee:$50",Edward King House,03/15/2011,401-293-0740
http://gonewport.com/ViewPage.aspx?id=175,"An Affinity with Newport: The 18th Century Architecture of Marblehead, MA","Washington Square, Newport, RI 02840",03/24/2011,"Historian Judy Anderson will discuss the colonial architectural heritage of Marblehead, MA which shares much in common with Newport, RI. Hundreds of pre-Revolutionary War homes line the streets of both communities. She will focus on the colonial architecture of Marblehead, placing it in context with the town’s colonial-era history & discuss conditions for construction, survival & preservation. $5 per person. A joint program between Newport Historical Society & Newport Restoration Foundation.",Colony House,03/24/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,A Night of Irish Music with Robbie O’Connell,"500 Hope Street, Bristol, RI 02809",03/25/2011,"Robbie O’Connell, a Clancy family Irish folk performer, will grace the mansion parlors with an intimate performance on at 7:30pm. Within recent years, Robbie O’Connell  has performed solo throughout the East Coast as well as in Ireland. Tickets are $20, $15 for Linden Place Members, free for Colt Circle members and includes a wine reception to meet the performer.  Reservations are recommended.",Linden Place Museum,03/25/2011,401-253-0390
http://gonewport.com/ViewPage.aspx?id=175,Estate Gardeners of Newport: Putting a Human Face on Newport’s Horticultural History,"Washington Square, Newport, RI 02840",03/31/2011,"Harry Eudenbach, author of ""Estate Gardeners of Newport: A Horticultural Legacy"", will highlight how Newport’s rich Colonial history set the stage for two centuries of horticultural pursuits by well-to-do Aquidneck Island estate owners. He will focus on the individual gardeners who cared for and nurtured Newport’s renowned gardens and landscapes. Reservations requested. $5 per person",Colony House,03/31/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,"ACA ""Spring Into Art""","P.O. Box 746, Newport, RI 02840",04/23/2011,"Arts & Cultural Alliance of Newport County ""Spring Into Art"" is a week long celebration of local artists and arts venues events happening in Newport County during spring break.",Arts & Cultural Alliance of Newport County,04/16/2011,401-849-6200
http://gonewport.com/ViewPage.aspx?id=175,Discover Colonial Newport,"127 Thames Street, Newport, RI 02840",05/01/2011,"Hear stories of revolution and ruin, struggles for religious liberty and remarkable entrepreneurship among Newport's diverse people. $12 per person",Museum & Shop at Brick Market,05/01/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Newport Art Museum Annual Members' Juried Exhibition,"76 Bellevue Avenue, Newport, RI 02840",05/22/2011,"Rhode Island's largest and most comprehensive exhibition of regional contemporary art showcases new work by some of the region's brightest lights, rising stars and undiscovered talents. Admission for non-members: $10 adults, $8 seniors, $6 students/military with valid ID, by donation Sat 10 am-12 pm; Members: free.",Newport Art Museum,05/01/2011,401-848-8200
http://gonewport.com/ViewPage.aspx?id=175,The Aquidneck Island National Police Parade,,05/01/2011,"11:50am stepping off at The Hampton Inn (West Main Road, Middletown) and ending in front of the Newport Police Department.",,05/01/2011,
http://gonewport.com/ViewPage.aspx?id=175,Daffodil Days at Blithewold,"101 Ferry Road, Bristol, RI 02809",05/01/2011,"Celebrate spring at this beautiful thirty-three acre estate on Narragansett Bay with a spectacular display of more than 50,000 daffodils. April 10 - May 1, 2011.","Blithwold Mansion, Garden & Arboretum",05/01/2011,401-253-2707
http://gonewport.com/ViewPage.aspx?id=175,5th Annual Hidden Kitchen Tour of Portsmouth,,05/06/2011,"Experience the Beauty of Portsmouth's Hearths and Homes - The Hidden Kitchens of Portsmouth Tour is in its fifth year as a fundraiser for the Portsmouth Public Education Foundation.  Seven unique Portsmouth kitchens will be open to the public from 11am-7pm. The kitchens were selected for their unique features and varied locations throughout Portsmouth. The tour features tastings along the way from local restaurants, caterers and merchants.Tickets are $25.",Portsmouth Public Education Foundation,05/06/2011,
http://gonewport.com/ViewPage.aspx?id=175,"Michael Mack:  Hearing Voices, Speaking in Tongues","Purgatory Road, Middletown, RI 02842",05/06/2011,"Harbor House, RI's first independent clubhouse, a place where those with mental illness can rebuild their lives through a work-ordered days presents Michael Mack:  Hearing Voices, Speaking With Tongues. Mack's comedic drama unfolds through narrative-form poems which give an intimate look into family dynamics around mental illness, complete with difficulties, desperation, love, and hope. This brilliant, creative one-man show is a powerful and unique form of art.",Saint George's School,05/06/2011,401-846-9003
http://gonewport.com/ViewPage.aspx?id=175,Colony House and Wanton-Lyman-Hazard House Historic Sites Tour,"127 Thames Street, Newport, RI 02840",05/07/2011,"Tour the 1739 Colony House, built to house RI government meetings, and the 1697 Wanton-Lyman-Hazard House, Newport's oldest house museum. Reservations suggested for this 11:30am tour.",Museum & Shop at Brick Market,05/07/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Discover Colonial Newport,"127 Thames Street, Newport, RI 02840",05/07/2011,"Hear stories of revolution and ruin, struggles for religious liberty and remarkable entrepreneurship among Newport's diverse people. $12 per person",Museum & Shop at Brick Market,05/07/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Rogues & Scoundrels History Walking Tour,"127 Thames Street, Newport, RI 02840",05/07/2011,"See where scoundrels lived, where pirates profited and where criminals were put on trial and punished. Find out why this colony was known as ""Rogue's Island."" Reservations requested. $12 per person.",Museum & Shop at Brick Market,05/07/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Discover Colonial Newport,"127 Thames Street, Newport, RI 02840",05/08/2011,"Hear stories of revolution and ruin, struggles for religious liberty and remarkable entrepreneurship among Newport's diverse people. $12 per person",Museum & Shop at Brick Market,05/08/2011,401-841-8770
http://gonewport.com/ViewPage.aspx?id=175,Passport Wine Tasting Series,"150 Conanicus Avenue, Jamestown, RI 02835",05/13/2011,"The Bay Voyage Inn presents a Passport Wine Tasting Series, Sponsored by Johnson Brothers. Each will take place from 6pm-8pm in the Bay Voyage Harbor Room. Entry is $30.00 per person at the door or reserve a Passport for the entire 6 night series for $150.00. Enjoy our waterfront view, a selection of wines, and pairings created by our Chef de Cuisine from each region of the evening! The third date on Friday, May 13th, 2011 will feature wines from Down Under; focused on Australia & New Zealand.",Bay Voyage Inn,05/13/2011,401-423-2100
http://gonewport.com/ViewPage.aspx?id=175,Discover Colonial Newport,"127 Thames Street, Newport, RI 02840",05/14/2011,"Hear stories of revolution and ruin, struggles for religious liberty and remarkable entrepreneurship among Newport's diverse people. $12 per person",Museum & Shop at Brick Market,05/14/2011,401-841-8770
