sTicketPhone,sSynopsis,close,sMoreInfo,sTheaterAddress,showName,more,theater,opens,sTicketPrice
,"The relentlessly inventive, high-octane, amplified string quartet Ethel continues Caramoor's Extreme Chamber Music series' exploration of music beyond boundaries.  Constantly re-imagining the possibilities of performance, Ethel embraces today's most exhilarating music with emphasis on works composed since 1995. Their improvisatory spirit and fierce intensity make an Ethel concert an event not to be missed.    Program includes:    Philip Glass - selections from The Hours  Phil Kline - The Blue Room  Terry Riley - Sunrise of the Planetary Dream Collector  Mark Stewart - To Whom it May Concern Thank You",,http://tickets.caramoor.org/public/default.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Ethel,http://www.theatermania.com/westchester-rockland/shows/ethel_164932/,Caramoor,,$25.00 - $34.00
631-754-5569,"In the year 2056 - the not so distant future - an epidemic of organ failures devastates the planet. Out of the tragedy, a savior emerges: GeneCo, a biotech company that offers organ transplants, for a price. Those who miss their payments are scheduled for repossession and hunted by the Repo Men. In a world where surgery addicts are hooked on painkilling drugs and murder is sanctioned by law, a sheltered young girl searches for the cure to her own rare disease as well as information about her family's mysterious history. After being sucked into the haunting world of GeneCo, she is unable to turn back, as all of her questions will be answered at the wildly anticipated spectacular event: The Genetic Opera.",,http://www.zenshadowcast.org/,"423 Park Avenue, Huntington, New York 11743",Repo! The Genetic Opera with Zydrate Enthusiasts Network Shadowcast,http://www.theatermania.com/long-island/shows/repo-the-genetic-opera-with-zydrate-enthusiasts-network-shadowcast_168900/,Cineme Arts Centre,,$15.00
,"In the process of establishing a major career, the Jupiter String Quartet, Caramoor's 2005/06 Ernst Stiefel String Quartet-in-Residence, makes its triumphant return to the festival with an impassioned and intriguing program: Beethoven's heroic Harp quartet, Ramshackle Songs composed for them by the young Dan Visconti, followed by one of the most beloved of all chamber works, Schumann's Piano Quintet, with 1997 Van Cliburn Gold medalist pianist Jon Nakamatsu.    Program includes:    Beethoven - String Quartet No. 10 in E-flat Major, Op. 74 (Harp)  Dan Visconti - Ramshackle Songs  Schumann - Piano Quintet in E-flat Major, Op. 44",,http://tickets.caramoor.org/public/advanced_search.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Jupiter String Quartet,http://www.theatermania.com/westchester-rockland/shows/jupiter-string-quartet_164964/,Caramoor,,$15.00 - $25.00
,"Originally formed two decades ago by the string principals of the renowned Leipzig Gewandhaus Orchestra, the Leipzig String Quartet has become one of the towering and most versatile European string quartets. Known for its meticulously sculpted interpretations and its distinctive dark timbre, they present two innovative masterpieces by Mozart and Beethoven, and Tan Dun's first work upon arriving in New York City.    Program includes:    Mozart - String Quartet No. 17 in B flat, K.458 (The Hunt)  Tan Dun - Eight Colors for String Quartet  Beethoven - String Quartet No. 13 in B-flat Major, Op. 130",,http://tickets.caramoor.org/public/advanced_search.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Leipzig String Quartet,http://www.theatermania.com/westchester-rockland/shows/leipzig-string-quartet_164969/,Caramoor,,$15.00 - $25.00
,"The phenomenal young Polish master Lukasz Kuropaczewski has it all. Astonishing and effortless technical virtuosity and a white-hot musical imagination provide thrills and revelations in both familiar and unusual repertoire. When even the sound of a trial chord during tuning ravishes your ear, you know you're in the presence of an extraordinary artist.    Program includes:    Ponce - Twenty-Four Preludes     Sor - Grand Solo Op. 14  Bach - Suite No. 5 in C minor, BWV 1011  Jose - Sonata",,http://tickets.caramoor.org/public/default.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Lukasz Kuropaczewski,http://www.theatermania.com/westchester-rockland/shows/lukasz-kuropaczewski_164925/,Caramoor,,$20.00
,"In a realm of her own, Midori needs no introduction! Her development from the technical virtuosity and poise of her child prodigy years to a deeply expressive and powerful artist has set Midori apart as a master musician. She joins forces with pianist Ozgur Aydin - winner of the ARD International Music Competition 1997 in Munich - in a profoundly poetic program that plumbs the depths of musical beauty and expression.",,http://tickets.caramoor.org/public/default.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Midori in Recital,http://www.theatermania.com/westchester-rockland/shows/midori-in-recital_164935/,Caramoor,,$15.00 - $45.00
866-811-4111,Steve Ross in Concert &quot;Puttin' on the Ritz&quot;,,http://www.guildhall.org/calendar.ihtml?id=1268,"158 Main Street, East Hampton, NY 11937",Steve Ross in Concert,http://www.theatermania.com/long-island/shows/steve-ross-in-concert_170283/,John Drew Theater at Guild Hall,,$53.00-$55.00
,"Michael Barrett leads the orchestra of St. Luke's in saluting our Nation's 234th birthday. Tchaikovsky's famous 1812 Overture will be paired with American patriotic favorites by Sousa and Ferde Grofe (the Grand Canyon Suite). The first electronic instrument ever invented - the Theremin - championed by Caramoor's founder Lucy Rosen, will make a guest appearance under the skilled fingers of Rob Schwimmer. A spectacular fireworks display promptly follows the concert.    Program includes:    Sousa - Stars and Stripes Forever  Ives - Variations on America  Grofe - Grand Canyon Suite  Tchaikovsky - 1812 Overture",,http://tickets.caramoor.org/public/default.asp,"149 Girdle Ridge Road, Katonah, NY 10536","Pops, Patriots and Fireworks",http://www.theatermania.com/westchester-rockland/shows/pops-patriots-and-fireworks_164930/,Caramoor,,$30.00 - $70.00;&nbsp;Children half price
866-811-4111,"Fast friends, former co-workers, and two of America's leading on-air voices reunite for a special morning coffee talk, to benefit Guild Hall.",,http://www.guildhall.org/calendar.ihtml?id=1319,"158 Main Street, East Hampton, NY 11937","Today's View: Conversation, Comedy, Coffee (and Mimosa Moments)",http://www.theatermania.com/long-island/shows/todays-view-conversation-comedy-coffee-and-mimosa-moments_170276/,John Drew Theater at Guild Hall,,$38.00-$100.00
,"The zany Polygraph Lounge (musical pranksters, Rob Schwimmer and Mark Stewart), fascinates with inspired lunacy, original music and a stage full of bizarre instruments, including  theremin, daxophone, travel bug, uboingy, garglephone, and many more.  Referencing 250 years of music since J.S. Bach and using everything from nose flutes to cell phones to create their unexpectedly witty ""hit tunes,"" Polygraph Lounge takes up the very special tradition of Spike Jones, Victor Borge and Peter Schickele, gives it a unique twist, and leaves audiences gasping for breath.    ""Musically high-minded but hilariously lowbrow and always maniacal!"" -New York Post",,http://tickets.caramoor.org/public/advanced_search.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Rolling In The Aisles,http://www.theatermania.com/westchester-rockland/shows/rolling-in-the-aisles_164974/,Caramoor,,$15.00 - $45.00
866-811-4111,"Jamaica's first dancehall superstar, Yellowman ushered in a new era in reggae music following Bob Marley's death. His early-'80s success brought the popularity of toasting -- the reggae equivalent of rapping -- to a whole new level, and helped establish dancehall as the wave of the future.  Yellowman's witticisms are as cheeky, spirited, and intelligent as ever, delivered with his customary sharp, melodic style.",,http://www.boultoncenter.org,"37 West Main Street, Bay Shore, NY 11706",Yellowman,http://www.theatermania.com/long-island/shows/yellowman_169149/,YMCA Boulton Center for the Performing Arts,,$40.00
,"2010 marks the 200th anniversaries of both Chopin's and Schumann's births, and Caramoor celebrates these two quintessential Romantics with a mixed program demonstrating their artistic genius and passion. Complemented by some of today's consummate chamber musicians and Caramoor favorites, the young mezzo Sasha Cooke, who recently made her Met debut and who promises to be one the great singers of her generation, performs Schumann's overwhelming A Woman's Love and Life: a perfect vehicle for her artistry.    Program includes:    Schumann - Frauenliebe und Leben, Op. 42  Schumann - Andante and Variations for 2 pianos, 2 cellos and horn  Schumann - Fantasiestucke, Op. 73  Chopin - Cello Sonata in G minor, Op. 65",,http://tickets.caramoor.org/public/advanced_search.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Schumann and Chopin at 200,http://www.theatermania.com/westchester-rockland/shows/schumann-and-chopin-at-200_164961/,Caramoor,,$15.00 - $45.00
,"To celebrate the 200th anniversary of Robert Schumann's birth, Caramoor welcomes Maestro Robert Spano, Music Director of the Atlanta Symphony, for his debut performance at Caramoor.  Each of the works on this program conveys Schumann's devotion to the expression of poetic imagery for the concentration and amplification of emotion in his music. The works are by turns noble, mysterious, naive and joyful, and remain fresh and appealing to new audiences.  Vladimir Feltsman, a Caramoor favorite, returns following his revelatory recital last summer.    The program inclides:    Schumann - Overture to Manfred, Op. 115  Schumann - Piano Concerto in A minor, Op.54  Schumann - Symphony No. 3 in E-flat Major, Op.97 (Rhenish)",,http://tickets.caramoor.org/public/advanced_search.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Schumann the Romantic,http://www.theatermania.com/westchester-rockland/shows/schumann-the-romantic_164957/,Caramoor,,$15.00 - $65.00
,"Featuring the dynamic young group Kaleidoscope (The Teaching Artists Ensemble of the New York Philharmonic), SoundWorld! blends classical, folk, and world music genres into an energetic and imaginative musical trip around the world! Through a unique approach to interactive performance, Kaleidoscope invites the audience into a world of cultures by engaging children and their families through rhythmic activities, singing, close listening, questioning, and movement.  The program crosses musical bridges of all kinds to transport the audience from Africa to South America to Asia... (and even some surprise destinations!).",,http://tickets.caramoor.org/public/advanced_search.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Soundworld!,http://www.theatermania.com/westchester-rockland/shows/soundworld_164956/,Caramoor,,$15.00
,"Both a household name and a classical music icon, Yo-Yo Ma is welcomed everywhere in the world for his generous humanity, peerless virtuosity and musical imagination. His visits to Caramoor, dating from the earliest years of his career, have always been special events and occasions of exceptional audience delight. In this concert, featuring two works for cello and orchestra, Yo-Yo will be joined by an exceptional chamber orchestra of young colleagues, The Knights, with whom he enjoys close collaborations in the Silk Road Project.    The program is a particularly appealing and accessible mix of lesser known works by well-known composers and new discoveries from exotic locales.    Ives - The Unanswered Question  Saint-Sa&euml;ns - Cello Concerto No. 1 in A minor, Op. 33  Ljova - Garmoshka  Golijov - Night of the Flying Horses  Schubert - Symphony No. 3 in D major, D.200  Dvorak - Silent Woods, for Cello and Orchestra  Trad.(arr. Jacobsen) - Ascending Bird",,http://tickets.caramoor.org/public/advanced_search.asp,"149 Girdle Ridge Road, Katonah, NY 10536",Yo-Yo Ma with The Knights,http://www.theatermania.com/westchester-rockland/shows/yoyo-ma-with-the-knights_164980/,Caramoor,,$45.00 - $110.00
