fullAddress,venue,description,email,image,ticketPhone,title,website,dates,moreInfoLink
"16587 NE 74th St, Redmond, WA, 98052",SecondStory Repertory Theatre,"Beatrice and Benedick can&rsquo;t stand each other &ndash; all they do is bicker and gossip. So you know they&rsquo;re going to wind up in love. The question is, how? That&rsquo;s the secret in one of the great romantic comedies of all time!</p>			</p>    			<br><br>",boxoffice@secondstoryrep.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440968445/much_ado_medium.jpg,(425) 881-6777,Much Ado About Nothing,http://www.secondstoryrep.org,02/04/2011-02/26/2011,http://www.seattleperforms.com/event/detail/440968445/Much_Ado_About_Nothing
"200 Madison Ave N, Bainbridge Island, WA, 98110",Bainbridge Performing Arts,"Acting for the Camera is a television and movie acting class for 5th &ndash; 8th grade students, held at BPA. Thomas Hurley III and Eugie Price lead this action-packed class, which includes a take-home DVD for all actors and their scene work approximately two weeks after class is over. Classes meet January 11 &ndash; March 3, Tuesdays and Thursdays at 4:00 &ndash; 6:00 p.m. Tuition is $325, and students may register at 206.842.1163.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441063855/centerad_acting4cam_468x150_medium.jpg,206-842-1163,Acting for the Camera: 5th - 8th Grade,http://www.bainbridgeperformingarts.org/Education/WinterActing.html,01/11/2011-03/03/2011,http://www.seattleperforms.com/event/detail/441063855/Acting_for_the_Camera_5th_8th_Grade
"200 Madison Ave N, Bainbridge Island, WA, 98110",Bainbridge Performing Arts,"Improv for Actors, Improvisers, and Storytellers is an improvisation class for adults, 17 and over. Led by Todd Erler, Artistic Director of the Jewel Box Theatre, classes will be held at BPA, and all levels of experience are welcome, from novice to expert. Classes meet for six weeks, January 24 &ndash; March 7, Mondays at 6:30 &ndash; 9:00 p.m. (no class February 21). Tuition is $275, and students may register at 206.842.1163 or 206.842.8569.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441063865/todderlerweb_medium.jpg,206.842.1163,"Improv for Actors, Improvisers, and Storytellers",http://www.bainbridgeperformingarts.org/Education/SecondStage.html,01/24/2011-03/07/2011,http://www.seattleperforms.com/event/detail/441063865/Improv_for_Actors_Improvisers_and_Storytellers
"200 Madison Ave N, Bainbridge Island, WA, 98110",Bainbridge Performing Arts,"The Jungle Book, BPA Theatre School&rsquo;s winter offering for 1st &ndash; 4th grades, begins at the Jewel Box Theatre on February 28. Gabe Carbajal and D&rsquo;Arcy Clements lead students on this fun-filled adventure with lions, tigers, and bears. Classes meet for eight weeks February 28 &ndash; April 24, Mondays at 4:00 &ndash; 6:00 p.m. (no class March 28). Tuition is $80, and students are encouraged to register at 206.842.1163.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441063873/centerad_junglebook_spring_468x150_medium.jpg,206-842-1163,The Jungle Book: 1st - 4th Grade at the Jewel Box Theatre,http://www.bainbridgeperformingarts.org/Education/JungleBook_JewelBox.html,02/28/2011-04/24/2011,http://www.seattleperforms.com/event/detail/441063873/The_Jungle_Book_1st_4th_Grade_at_the_Jewel_Box_Theatre
"200 Madison Ave N, Bainbridge Island, WA, 98110",Bainbridge Performing Arts,"BPA Theatre School&rsquo;s second winter offering at the Jewel Box Theatre is The Adventures of Robin Hood. Gabe Carbajal and D&rsquo;Arcy Clements lead students in this true adventure of maidens, swordsmen, robbers, royalty, and mayhem. Classes meet for eight weeks March 2&ndash; April 24, Wednesdays at 4:00 &ndash; 6:00 p.m. (no class March 30). Tuition is $120, and students may register at 206.842.1163.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441063877/centerad_robinhood_spring_468x150_medium.jpg,206-842-1163,The Adventures of Robin Hood: 5th - 8th Grade at the Jewel Box Theatre,http://www.bainbridgeperformingarts.org/Education/RobinHood_JewelBox.html,03/02/2011-04/24/2011,http://www.seattleperforms.com/event/detail/441063877/The_Adventures_of_Robin_Hood_5th_8th_Grade_at_the_Jewel_Box_Theatre
"400 E. University Ave., Ellensburg, WA, 98926",Central Washington University - McConnell Auditorium,"Feed The Artist In You At CWU<br> <br> <br> Whether you are a student, full-time theatre teacher, a teacher who loves theatre, or a professional working in the various areas of theatre the Summer Institute for Theatre Arts has something to offer you. Established in 1996 by the Theatre Arts Department of Central Washington University as the Drama Teacher's Summer Institute, the program was specifically designed for teachers. Since then, more than 500 teachers, representing more than 20 states and eight nations, have attended the Institute, learning new skills to take back to the classroom, making life-long friends and networking with other theatre artists and educators from across the nation and the world.<br> <br> <br> Classes are presented in comprehensive seminars ranging from three to 18 days, annually from late June through July.			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440957695/summer_medium.jpg,509-963-1273,S u m m e r    I n s t i t u t e    f o r    T h e a t r e    A r t s,http://www.cwu.edu/~theatre/program/graduate/institute/index.html,06/20/2011-07/28/2011,http://www.seattleperforms.com/event/detail/440957695/S_u_m_m_e_r_I_n_s_t_i_t_u_t_e_f_o_r_T_h_e_a_t_r_e_A_r_t_s
"5510 University Way NE, Seattle, WA, 98105",Wing-It Productions,"Jet City Improv is Seattle's best comedy now in its 19th year. It is fast-paced, audience-interactive, all-ages improvisational comedy. We were voted the &quot;Best Improv in Seattle&quot; by the King 5's Best in the Northwest, as well as the &quot;Best Place to go in you are Underage.&quot; Come see what The Stranger calls &quot;fantastic improv theater.&quot;</p>			</p>    			<br><br>",info@jetcityimprov.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441083861/billy120_medium.jpg,206 352-8291,Jet City Improv,http://www.jetcityimprov.com,01/07/2011-12/30/2011,http://www.seattleperforms.com/event/detail/441083861/Jet_City_Improv
"1428 Post Alley, Seattle, WA, 98101",Market Theater,"HAPPY 25TH ANNIVERSARY THEATRESPORTS!! Even the judges wouldn't boo you!</p> <p>Seattle Theatresports is the most professional improv show the Northwest has to offer. Theatersports is comedy, improv, theater, and sports all rolled into one! Teams of improvisers create scenes based entirely on audience suggestions and are scored by a panel of judges.</p> <p>Seattle Theatresports is also Seattle's longest running show, having turned 25 years old this June!</p>			</p>    			<br><br>",info@unexpectedproductions.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/869/ts100_medium.gif,,TheatreSports,http://www.unexpectedproductions.org/Theatresports,08/03/2007-12/31/2011,http://www.seattleperforms.com/event/detail/869/TheatreSports
"216 Union St, Seattle, WA, 98101",The Triple Door,"Direct from New York City! BURLESQUE TO BROADWAY starring Quinn Lemley with Stacey Harris and Natalie Loftin Bell sizzle with an intoxicating 10-piece big band celebrating the icons of Burlesque to Broadway. Directed by Tony Award Winner, Joe Hardy, it&rsquo;s hot! Hot! HOT! with the music, jokes and costumes of Burlesque to Broadway! &nbsp;It&rsquo;s all about the tease! And they aim to please! From Gypsy Rose Lee, Sally Rand, Fanny Brice to Cher, you will enter the world of Minsky&rsquo;s Burlesque Theatre, The Ziegfeld Follies, Broadway to classic television in this fast paced theatrical concert.<br> <br> Complete with sequins, feathers and fans these Broadway Hotties take you on a ride thru the music of Burlesque to Broadway&hellip; and beyond. Don't miss your chance to bump and grind with Quinn and her girls. Experience the incomparable Quinn Lemley The Village Voice calls, &quot;Drop dead gorgeous with crystalline intonation&quot;. Sirius Satellite raves, &quot;Lemley is Hot Hot Hot!&quot; and The Naples Daily News graciously states, &ldquo;Quinn Lemley nails it. Hard!&rdquo; BURLESQUE TO BROADWAY is a tour de force. &nbsp;Grab your guy or gal and join us as, Quinn and her girls dance up a storm, fill the house with vaudeville humor, and sing one show stopping hit after another from Burlesque, Broadway and Beyond!<br> <br> 7pm &amp; 10pm shows &nbsp;- 3 nights only!&nbsp;</p>			</p>    			<br><br>",,,206-838-4333,Burlesque to Broadway,"http://Direct from New York City! BURLESQUE TO BROADWAY starring Quinn Lemley with Stacey Harris and Natalie Loftin Bell sizzle with an intoxicating 10-piece big band celebrating the icons of Burlesque to Broadway. Directed by Tony Award Winner, Joe Hardy",02/23/2011-02/25/2011,http://www.seattleperforms.com/event/detail/441086645/Burlesque_to_Broadway
"216 Union St, Seattle, WA, 98101",The Triple Door,"The new production Burlesque to Broadway is hitting the Triple Door in Seattle! It is a fun, fast paced show directed by Tony Award Winner Joseph Hardy and featuring that drop dead talented Quinn Lemley. Tickets are 30% off between now and Christmas! Don't miss it, it will be a fantastic, sexy, sizzling show. Sponsored by MAC Cosmetics.<br> <br> <br> <br> Check out the reel and show times:<br> <br> http://www.centuryartists.com/shows/burlesque-to-broadway</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441065389/quinn_medium.jpg,206.838.4333,Burlesque to Broadway,http://www.centuryartists.com/shows/burlesque-to-broadway,02/23/2011-02/25/2011,http://www.seattleperforms.com/event/detail/441065389/Burlesque_to_Broadway
"3515 South Alaska Street, Seattle, WA, 98118",Rainier Valley Cultural Center,"Set amidst the whiskey sipping chauvinism of early 1960, quiet's Mad Men-esque production of The Taming of the Shrew continues the investigation of our season-long theme, &quot;enGender Bender: Exploring our social blueprints&quot;, through the eyes of Shakespeare's classic comedy. <br> <br> <br> Baptista Minola, senior partner of Padua Advertising, has a problem.  His youngest daughter Bianca has been drawing the attention of nearly every man on the Upper East Side. His solution?  No one will be allowed to &quot;court&quot; Bianca until his oldest daughter  the headstrong, fiery, and temperamental Katharina  is married.  After all, who would want a wife like Kate? <br> <br> <br> Seeing the play is only half of the event... <br> <br> <br> quiet seeks to use art as a medium for social change. Join cast members, professors, community members and social service partner organizations for a panel discussion after each performance. The panel will discuss issues of gender addressed in the play. Patrons are encouraged to ask questions and get involved in the dialogue. <br> <br> <br> quiet is an Associated Program of Shunpike. </p>			</p>    			<br><br>",info@quietonline.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441087755/full_cast_pc_(draft)_medium.jpg,,The Taming of the Shrew,http://www.quietonline.org,02/11/2011-02/25/2011,http://www.seattleperforms.com/event/detail/441087755/The_Taming_of_the_Shrew
"8703 160th Avenue NE, Redmond, WA, 98052",Fred W Meitzer Theater,"This hilarious international musical hit begins when the Little Sisters of Hoboken discover that their cook, Sister Julia, Child of God, has accidentally poisoned 52 of the sisters, and they are in dire need of funds for the burials.</p>			</p>    			<br><br>",ticketing@redwoodtheatre.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441020959/nunsense_thumb_medium.jpg,(425) 522-3730,Nunsense,http://redwoodtheatre.org/2011/nunsense.html,02/11/2011-02/26/2011,http://www.seattleperforms.com/event/detail/441020959/Nunsense
"409 7th Ave. S., Seattle, WA, 98104",Theatre Off Jackson,"Three Screams is a dark, dynamic, and hilarious play centered on a contemporary theft of Edvard Munch's ""The Scream"". An accountant and unlikely thief who's helped pull-off the heist, Edvard, manically confronts his love-hate relationship with Munch's famous painting face-to-face. His wife, Tulla, shares a completely different side of the story—baking pastries to calm her nerves, while containing a strange, stifled lust beneath her apron. 20 years later their son, Gunnar, revisits the actual location where Munch painted the Scream and must now deal with the omnipresent power this singular work has had over his family.</p>			</p>    			<br><br>",davidturnipseed@hotmail.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441065489/3screams_web_size_medium.jpg,253-548-7432,3 Screams,http://www.manaloneproductions.com/,02/04/2011-02/26/2011,http://www.seattleperforms.com/event/detail/441065489/3_Screams
"303 Front Street North, Issaquah, WA, 98027",Village Theatre,"Sleuth <br>By Anthony Shaffer <br> <br>Wealthy mystery novelist Andrew Wyke invites young Milo Tindle to his elegant, isolated country house to settle a bit of unpleasant business; Milo is having an affair with Andrew's wife. What begins as a bizarre cat and mouse game of robbery spirals into a complex duel of wits and deception. Packed with thrills, and twists and turns that continue to tip the scale, this Tony Award-winning puzzle will keep you guessing up to the very deadly end!  <br> <br> <br>			</p>    			<br><br>",boxoffice@villagetheatre.org,,425-392-2202,Sleuth,,01/20/2011-02/27/2011,http://www.seattleperforms.com/event/detail/5383/Sleuth
"950 Main Street, Edmonds, WA, 98020",The Wade James Theatre,Spotlight on New Local Playwrights			</p>    			<br><br>,info@driftwoodplayers.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/45/edmondsdriftwoodplayers_medium.jpg,425-774-9600,Spotlight on New Local Playwrights,,02/25/2011-02/27/2011,http://www.seattleperforms.com/event/detail/5703/Spotlight_on_New_Local_Playwrights
"155 Mercer Street, Seattle, WA, 98109",Bagley Wright Theatre at Seattle Repertory Theatre,"by Tarell McCraney, directed by Juliette Carrillo<br><br><br> <br><br><br> The Louisiana bayou, West African mythology, and family interplay swirl together in this absorbing drama from one of the country's most exciting new playwrights. A wandering soul recently released from prison clashes with his straight-and-narrow brother. Yet even as they grapple with their own notions of freedom and tradition, they remain fiercely intertwined.<br><br><br> <br><br><br> Recommended for ages 14 and above for profanity, sexually suggestive language.<br>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440952886/bs_small_medium.jpg,(206) 443-2222,The Brothers Size,http://www.seattlerep.org/Plays/1011/BZ/,02/04/2011-02/27/2011,http://www.seattleperforms.com/event/detail/440952886/The_Brothers_Size
"4029 Stone Way North, Seattle, WA, 98103",DownStage,"The 1998 Pulitzer prize-winning play (also winner of Obie, Drama Desk, Outer Critics Circle and New York Drama Critics awards) by Paula Vogel, How I Learned to Drive is both funny and disturbing. The story follows the strained relationship between Lil&rsquo;Bit and her uncle from adolescence through adulthood. Using the metaphor of driving, taboo issues of exploitation are brought to light, often with humor, suspending the piece between the categories of drama and comedy.<br> Unquestionably modern and innovative, How I Learned to Drive succeeds in great part due to classic elements. Vogel uses the classic Greek device of a chorus composed of a male, female, and teenager, to fulfill a variety of roles in the play. As well as observing and commenting on the action, they assume roles in various scenes such as individual family members and high school girls and boys.  The two main characters, Li&rsquo;l Bit and Peck, are observed and analyzed by the Greek chorus to provide a catharsis for the audience, as in the Greek choral tradition. When the adult Li&rsquo;l Bit drives off at the end of the play, once more able to believe in forgiveness and family, the catharsis for both Li&rsquo;l Bit and the audience is complete.<br> Moreover, Vogel, like the ancient Greek playwrights, warns the audience of its own fallibility. She does not ignore omens that presage moral disaster but meets them head on. In dramatizing the different perspectives of Li&rsquo;l Bit and Peck, by extension she dramatizes those of every member of the audience and its larger society.  <br> In Stone Soup&rsquo;s production, music will set the stage of the physical and psychological world of How I Learned to Drive; sweet and melodic, celebrations of love and youth and the special synergy that the two create when they are blended together. In particular, rock n&rsquo;roll love songs with an edge will underscore the action, the music of sexuality which has always been known as the music of youth, especially when it was new and revolutionary in the 1950s and 1960s where the story is set. The best rock &lsquo;n&rsquo; roll always gave a sense of freedom and expanding awareness. It is music that makes old people feel young and free and young people feel that they possess the wisdom of a hard-lived past.<br> The production runs Feb 3-27, Thursdays &ndash; Saturdays at 8pm with Sunday matinees 2/13 and 27. All tickets 2/3-5 are $10; Thursdays after the preview are pay-what-you will. General admission prices are $16-20; $13 for those under 30. <br> Tickets are available for purchase at www.brownpapertickets.com, 800-838-3006 or Stone Soup Box Office (206) 633-1883; www.stonesouptheatre.org</p>			</p>    			<br><br>",carolynne@stonesouptheatre.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441062681/drive_pc_electronictiny_medium.jpg,206.633.1883,How I Learned to Drive by Paula Vogel at Stone Soup,http://www.stonesouptheatre.org,02/04/2011-02/27/2011,http://www.seattleperforms.com/event/detail/441062681/How_I_Learned_to_Drive_by_Paula_Vogel_at_Stone_Soup
"204 N. 85th St, Seattle, WA, 98103",Taproot Theatre,"Voyage across land and sea. through the underworld to the top of Mt Olympus. Muses and monsters introduce this epic myth of the brave and courageous Odysseus as he valiantly seeks his homeland and the arms of his wife and child.</p><br><br> <br><br> <br> Featuring: Mark Chamberlin, Nolan Palmer, Ryan Childers, Nic Beach, Randy Scholz, <br> Stephen Grenley, Alex Robertson, Nikki Visel, April Wolfe, Jesse Notehelfer, Pam Nolte, Sarah Roquemore, Solomon Davis and Josh Smyth<br> 			</p>    			<br><br>",box@taproottheatre.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/5655/web_banner_490x176px_medium.jpg,206-781-9707,The Odyssey,http://www.taproottheatre.org/buy-tickets,02/02/2011-03/05/2011,http://www.seattleperforms.com/event/detail/5655/The_Odyssey
"7400 Sand Point Way NE, Seattle, WA, 98115",Magnuson Park Community Theatre,"The Drowsy Chaperone pays tribute to the jazz-age shows of the 1920's and the power those shows held to transport us into a dazzling fantasy.  If you've ever sat in a dark theatre and thought, &quot;Dear Lord in heaven, please let it be good,&quot; this is the show for you!			</p>    			<br><br>",ann@seattlemusicaltheatre.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/32/seattlemusicaltheatre_medium.gif,206-363-2809,The Drowsy Chaperone,http://seattlemusicaltheatre.org,02/11/2011-03/05/2011,http://www.seattleperforms.com/event/detail/440963821/The_Drowsy_Chaperone
"305 Harrison Street, Seattle, WA, 98109",Seattle Center House,"A terrifying graveyard encounter with an escaped convict; a summons to meet the bitter, decaying Miss Havisham and her beautiful, cold-hearted ward Estella; the sudden generosity of an unknown benefactor - this series of events changes the orphaned Pip's life forever, and he eagerly feels his humble origins in favor of a new life as a gentleman in London. Dickens' haunting late novel depicts Pip's education and development through adversity as he discovers that having ""expectations"" is a double-edged sword. 			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/21/bookitrepertorytheatre_medium.jpg,206.216.0833,Great Expectations,,02/08/2011-03/06/2011,http://www.seattleperforms.com/event/detail/5597/Great_Expectations
"7116 6th Ave, Tacoma, WA, 98406",Tacoma Musical Playhouse,"Celebrate Read Across America and the birthday of Dr. Seuss with TMP! From the Tony Award-winning team of Lynn Ahrens and Stephen Flaherty (Ragtime, Once On This Island, A Christmas Carol), Seussical is a fantastical, magical, musical extravaganza which brings to life all of our favorite Dr. Seuss characters, including Horton the Elephant, Gertrude McFuzz, Lazy Mayzie and a little boy with a big imagination--Jojo. ""Oh, the Thinks You Will Think"" as the spirit of imagination transports the colorful characters from the Jungle of Nool to the Circus McGurkus to the invisible world of the Who's. Read Across America is an initiative on reading created by the National Education Association, and includes National Read Across America Day, observed each year on March 2, the birthday of Dr. Seuss. 			</p>    			<br><br>",,,253-565-6867,SEUSSICAL,http://www.tmp.org,02/26/2011-03/06/2011,http://www.seattleperforms.com/event/detail/5648/SEUSSICAL_
"507 S 3rd St., Renton, WA, 98055",Renton Civic Theater,"Sister Elizabeth Donderstock is Squeamish, and has been her whole life. She makes cheese balls (traditional and smoky) that sustain the existence of her entire religious community, Clusterhaven. However, she feels unappreciated among her Squeamish brethren, and she decides to try her luck in the outside world. Meanwhile, back at Clusterhaven, Liz's compatriots just can't seem to duplicate her cheese ball recipe, and they are panic-stricken and desperate. Will the cheese balls ever taste good again? The answers to this and so many other questions can be found in this new comedy</p>			</p>    			<br><br>",boxoffice@rentoncivictheater.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/440989867/rentoncivictheaterlogo30_medium.jpg,425-226-5529,The Book of Liz,http://www.rentoncivictheater.org,02/27/2011-03/07/2011,http://www.seattleperforms.com/event/detail/440989867/The_Book_of_Liz_
"400 E. University Ave., Ellensburg, WA, 98926",Central Washington University - Milo Smith Tower Theater,"This award winning family drama tells the fantastical story of a little girl in search of her home. Iris is kidnapped by the Greater Goods and banished to an island with all her memories wiped away. But Iris begins to find clues to who she really is, and sets out on a brave and wondrous adventure to rediscover herself. Like Alice in Wonderland the story has magical characters, a wild journey and an appealing heroine, but it also carries a strong message about how our present and our future is informed and defined by the past. <br> <br>STILL LIFE WITH IRIS was originally commissioned and produced by Seattle Children's Theatre. It was inspired by the Image Influenced Illusions of Steffan Soule and Cooper Edens from their book, Dreams, Magic, and Miracles. Its development was supported by a major grant from the John F. Kennedy Center's Fund for New American Plays, the first play for young audiences to receive such an award. <br> <br>Family Friendly			</p>    			<br><br>",boxoffice@cwu.edu,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/441/centraltheatreensemble_medium.jpg,509-963-1774,Still Life with Iris,http://www.cwu.edu/~theatre/tix,03/04/2011-03/12/2011,http://www.seattleperforms.com/event/detail/5555/Still_Life_with_Iris
