prices,title,website,phone,moreInfoLink,time,description,venue,address,startDate,image,endDate
,Spraygraphic Black & White Photography Show Opening Reception,http://www.thatsawrapphx.com,602-252-5051,http://www.phoenixnewtimes.com/events/spraygraphic-black-and-white-photography-show-opening-reception-1532694/,,,That's a Wrap!,"2022 N. 7th St.     (north of McDowell Rd.)    Phoenix, AZ",02/06/2011,http://vvoice.vo.llnwd.net/e14/1604706.55.jpg,02/27/2011
free,"""Color Color Everywhere: Claudia Hartley""",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/color-color-everywhere-claudia-hartley-1515894/,,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",02/11/2011,,02/24/2011
free,"""Through the Seasons: Romona Youngquist""",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/through-the-seasons-romona-youngquist-1515900/,,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",02/25/2011,,03/10/2011
free,"""Through the Seasons: Romona Youngquist"" Opening Reception",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/through-the-seasons-romona-youngquist-opening-reception-1515901/,6:00pm-9:00pm,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",02/25/2011,,02/25/2011
free,"""New Horizons: Gail Morris""",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/new-horizons-gail-morris-1515898/,,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",03/11/2011,,03/25/2011
free,"""New Horizons: Gail Morris"" Opening Reception",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/new-horizons-gail-morris-opening-reception-1515899/,6:00pm-9:00pm,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",03/11/2011,,03/11/2011
,Salon des Enfants,http://www.alwunhouse.org,602-253-7887,http://www.phoenixnewtimes.com/events/salon-des-enfants-1401976/,,Juried student art sale.,Alwun House Gallery & Gardens,"1204 E. Roosevelt St.      Phoenix, AZ",03/19/2011,http://vvoice.vo.llnwd.net/e14/3201540.55.jpg,03/19/2011
,"""Lighthouse"" Opening Reception",http://www.alwunhouse.org,602-253-7887,http://www.phoenixnewtimes.com/events/lighthouse-opening-reception-1401978/,7:00pm,Opening reception for the themed group exhibition that focuses on illuminated works.,Alwun House Gallery & Gardens,"1204 E. Roosevelt St.      Phoenix, AZ",03/26/2011,http://vvoice.vo.llnwd.net/e14/3201540.55.jpg,03/26/2011
free,"""Boldly Facing Life: Lu Cong and Nate Ronniger""",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/boldly-facing-life-lu-cong-and-nate-ronniger-1515902/,,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",04/01/2011,,04/15/2011
free,"""Boldly Facing Life: Lu Cong and Nate Ronniger"" Opening Reception",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/boldly-facing-life-lu-cong-and-nate-ronniger-opening-reception-1515906/,6:00pm-9:00pm,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",04/01/2011,,04/01/2011
free,"""Novastream: Quim Bove""",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/novastream-quim-bove-1515910/,,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",04/19/2011,,05/12/2011
free,"""Novastream: Quim Bove"" Reception",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/novastream-quim-bove-reception-1515911/,6:00pm-9:00pm,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",04/22/2011,,04/22/2011
free,"""The Casebeer & Joe Show"" Opening Reception",http://www.alwunhouse.org,602-253-7887,http://www.phoenixnewtimes.com/events/the-casebeer-and-joe-show-opening-reception-1401980/,7:00pm,The exhibit by the Phoenix-based artists will also showcase a live performance by singer-songwriter Joe Myers.,Alwun House Gallery & Gardens,"1204 E. Roosevelt St.      Phoenix, AZ",05/01/2011,http://vvoice.vo.llnwd.net/e14/3201540.55.jpg,05/01/2011
free,"""Stumbling Toward Enlightenment: Henry Stinson and Lane Timothy""",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/stumbling-toward-enlightenment-henry-stinson-and-lane-timothy-1515907/,,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",05/13/2011,,05/26/2011
free,"""Stumbling Toward Enlightenment: Henry Stinson and Lane Timothy"" Opening Reception",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/stumbling-toward-enlightenment-henry-stinson-and-lane-timothy-opening-reception-1515909/,6:00pm-9:00pm,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",05/13/2011,,05/13/2011
free,"""Nature's Magic: Jane Jones""",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/natures-magic-jane-jones-1515913/,,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",06/03/2011,,06/16/2011
free,"""Nature's Magic: Jane Jones"" Opening Reception",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/natures-magic-jane-jones-opening-reception-1515914/,6:00pm-9:00pm,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",06/03/2011,,06/03/2011
free,"""Coffee With . . . Eve Plumb""",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/coffee-with-eve-plumb-1515915/,,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",07/08/2011,,07/22/2011
free,"""Coffee With . . . Eve Plumb"" Opening Reception",http://www.bonnerdavid.com,480-941-8500,http://www.phoenixnewtimes.com/events/coffee-with-eve-plumb-opening-reception-1515916/,6:00pm-9:00pm,,Bonner David Galleries,"7040 E. Main St.      Scottsdale, AZ",07/08/2011,,07/08/2011
,Make @ MADE: Wire Wrapped Glass Pendant,http://www.madephx.com,602-256-6233,http://www.phoenixnewtimes.com/events/make-made-wire-wrapped-glass-pendant-1532695/,10:00am-12:00pm,Kathleen Hunter teaches a two-hour on basic wire wrapping.,MADE art boutique,"922 N. Fifth St.      Phoenix, AZ",12/12/2011,,12/12/2011
free,Holiday Miniature Show,http://www.trailsidegalleries.com,480-945-7751,http://www.phoenixnewtimes.com/events/holiday-miniature-show-1515918/,,,Trailside Galleries,"7330 Scottsdale Mall      Scottsdale, AZ",12/01/2011,http://vvoice.vo.llnwd.net/e14/2943135.55.jpg,12/30/2011
free,"""Over and Over""",http://www.asu.edu/xed/galleria,602-496-1500,http://www.phoenixnewtimes.com/events/over-and-over-1482600/,,Solo exhibition by Julio Rodarte.,ASU Mercado Galleria,"502 E. Monroe St.     (inside Mercado Building C)    Phoenix, AZ",11/02/2011,,12/30/2011
,"""Artist-Made Ornament"" Exhibition",http://www.madephx.com,602-256-6233,http://www.phoenixnewtimes.com/events/artist-made-ornament-exhibition-1532696/,,,MADE art boutique,"922 N. Fifth St.      Phoenix, AZ",12/07/2011,,12/31/2011
free,Fritz Scholder,http://www.larsengallery.com,480-941-0900,http://www.phoenixnewtimes.com/events/fritz-scholder-1481325/,,"Paintings, monotypes, graphics, and drawings.",Larsen Gallery,"3705 N. Bishop Ln.      Scottsdale, AZ",10/17/2011,,12/31/2011
free,Holiday Miniature Show,http://www.duleyjones.com,480-945-8475,http://www.phoenixnewtimes.com/events/holiday-miniature-show-1409424/,,,Duley-Jones Gallery,"7100 E. Main St.      Scottsdale, AZ",12/01/2011,,12/31/2011
free,"""New York""",http://www.gebertartaz.com/,480-429-0711,http://www.phoenixnewtimes.com/events/new-york-1515800/,,"Works by Hunt Slonem, Pamela Sunday, David Parke, and Claire Lieberman.",Gebert Contemporary Art Gallery,"7160 E. Main St.      Scottsdale, AZ",12/03/2011,,12/31/2011
free,"""Political Ply: Recycled Evaporative Cooling Shade Structures""",http://asuartmuseum.asu.edu,480-965-2787,http://www.phoenixnewtimes.com/events/political-ply-recycled-evaporative-cooling-shade-structures-1374016/,,,ASU Art Museum,"51 E. 10th St.      Tempe, AZ",10/01/2011,,12/31/2011
free,"""Resemblance: Figurative Study""",http://www.larsengallery.com,480-941-0900,http://www.phoenixnewtimes.com/events/resemblance-figurative-study-1481327/,,New works by Jamie Chase.,Larsen Gallery,"3705 N. Bishop Ln.      Scottsdale, AZ",10/17/2011,,12/31/2011
free,"""Beast and Quiet""",http://www.eyelounge.com,602-430-1490,http://www.phoenixnewtimes.com/events/beast-and-quiet-1539304/,,,eye lounge,"419 E. Roosevelt St.      Phoenix, AZ",12/28/2011,,12/31/2011
,"""Allan Houser: Tradition to Abstraction""",http://www.heard.org,602-252-8848,http://www.phoenixnewtimes.com/events/allan-houser-tradition-to-abstraction-1400081/,,"The Heard presents paintings, sketchings, and illustrations from the Allan Houser Archives. A sister exhibit at Desert Botanical Garden features Houser sculptures.",Heard Museum,"2301 N. Central Ave.      Phoenix, AZ",11/21/2011,http://vvoice.vo.llnwd.net/e14/1414907.55.jpg,08/22/2011
free,Allan Houser,http://www.thelatinamericanartgallery.com,480-609-7077,http://www.phoenixnewtimes.com/events/allan-houser-1488346/,,"Works by the native master in conjunction with the dual ""Allan Houser: Tradition to Abstraction"" exhibits at Heard Museum and Desert Botanical Garden.",Figarelli Contemporary,"7610 E. McDonald Dr.      Scottsdale, AZ",11/01/2011,,05/30/2011
,"""Allan Houser: Tradition to Abstraction""",http://www.dbg.org,480-941-1225,http://www.phoenixnewtimes.com/events/allan-houser-tradition-to-abstraction-1488345/,,"Sculptures in bronze. A sister exhibit at Heard Museum features paintings, sketchings, and illustrations from the Allan Houser Archives.",Desert Botanical Garden,"1201 N. Galvin Pkwy.     (Papago Park)    Phoenix, AZ",11/21/2011,http://vvoice.vo.llnwd.net/e14/1390197.55.jpg,05/30/2011
,"""Harry Fonseca: An Artist's Journey""",http://www.heard.org,602-252-8848,http://www.phoenixnewtimes.com/events/harry-fonseca-an-artists-journey-1140384/,,Retrospective of the Nisenan Maidu/Hawaiian/Portuguese artist.,Heard Museum,"2301 N. Central Ave.      Phoenix, AZ",03/20/2011,http://vvoice.vo.llnwd.net/e14/1414907.55.jpg,04/04/2011
free,Jean Richardson,http://www.duleyjones.com,480-945-8475,http://www.phoenixnewtimes.com/events/jean-richardson-1409430/,,,Duley-Jones Gallery,"7100 E. Main St.      Scottsdale, AZ",02/01/2011,,02/27/2011
free,"""Cups, Bowls & Plates""",http://www.usps.com/,,http://www.phoenixnewtimes.com/events/cups-bowls-and-plates-1162301/,9:00am-5:00pm,,U.S. Post Office,"500 S. Mill Ave.      Tempe, AZ",12/04/2011,,03/03/2011
,"""Poetics of Light""",http://www.artnet.com/etherton.html,1-520-624-7370,http://www.phoenixnewtimes.com/events/poetics-of-light-1532699/,,Local Phoenicians James Hajicek and Carol Panaro-Smith show alongside Tucson creative type Kate Breakey and Japan-based artist Masao Yamamoto.,Etherton Gallery,"135 S. Sixth Ave.     (Joesler Village)    Tucson, AZ",12/08/2011,http://vvoice.vo.llnwd.net/e14/1445494.55.jpg,02/27/2011
"$5-$7, free on Thursdays","""Chuck Close Prints: Process and Collaboration""",http://www.smoca.org,480-994-2787,http://www.phoenixnewtimes.com/events/chuck-close-prints-process-and-collaboration-1370501/,,,Scottsdale Museum of Contemporary Art,"7374 E. Second St.      Scottsdale, AZ",02/12/2011,,05/09/2011
$4,"""Exotic Art Show""",http://www.alwunhouse.org,602-253-7887,http://www.phoenixnewtimes.com/events/exotic-art-show-1401972/,12:00pm-6:00pm,Mature subject matter.,Alwun House Gallery & Gardens,"1204 E. Roosevelt St.      Phoenix, AZ",02/12/2011,http://vvoice.vo.llnwd.net/e14/3201540.55.jpg,03/12/2011
free,Merrill Mahaffey,http://www.duleyjones.com,480-945-8475,http://www.phoenixnewtimes.com/events/merrill-mahaffey-1409431/,,,Duley-Jones Gallery,"7100 E. Main St.      Scottsdale, AZ",03/01/2011,,03/30/2011
,"""Exposing Time""",http://www.phxart.org,,http://www.phoenixnewtimes.com/events/exposing-time-1360239/,,,Phoenix Art Museum,"1625 N. Central Ave.      Phoenix, AZ",03/06/2011,http://vvoice.vo.llnwd.net/e14/1414915.55.jpg,06/27/2011
free,"""Lighthouse""",http://www.alwunhouse.org,602-253-7887,http://www.phoenixnewtimes.com/events/lighthouse-1401977/,12:00pm-6:00pm,Themed group exhibition focuses on illuminated works.,Alwun House Gallery & Gardens,"1204 E. Roosevelt St.      Phoenix, AZ",03/30/2011,http://vvoice.vo.llnwd.net/e14/3201540.55.jpg,04/16/2011
free,George Alexander,http://www.duleyjones.com,480-945-8475,http://www.phoenixnewtimes.com/events/george-alexander-1409432/,,,Duley-Jones Gallery,"7100 E. Main St.      Scottsdale, AZ",04/01/2011,,04/30/2011
free,"""The Casebeer & Joe Show""",http://www.alwunhouse.org,602-253-7887,http://www.phoenixnewtimes.com/events/the-casebeer-and-joe-show-1401979/,12:00pm-6:00pm,,Alwun House Gallery & Gardens,"1204 E. Roosevelt St.      Phoenix, AZ",05/04/2011,http://vvoice.vo.llnwd.net/e14/3201540.55.jpg,05/21/2011
,"""Cezanne and American Modernism""",http://www.phxart.org,,http://www.phoenixnewtimes.com/events/cezanne-and-american-modernism-1360242/,,,Phoenix Art Museum,"1625 N. Central Ave.      Phoenix, AZ",06/26/2011,http://vvoice.vo.llnwd.net/e14/1414915.55.jpg,09/26/2011
free,Dayvid LeMmon,http://www.perihelionarts.com,602-334-6299,http://www.phoenixnewtimes.com/events/dayvid-lemmon-1516260/,11:00am-5:00pm<br />,"<p>Now that technology has advanced to the point that a five-year-old with a digital camera and the right editing software can look like the next Annie Leibovitz, there&#146;s only one thing left for photographers to do &#150; screw shit up in the name of art.",Perihelion Arts,"610 E. Roosevelt St., Unit 137      Phoenix, AZ",12/11/2011,http://vvoice.vo.llnwd.net/e14/4166010.49.jpg,12/11/2011
free,"Aaron Abbott's ""Phonebook""",http://www.conspirephoenix.com,602-237-5446,http://www.phoenixnewtimes.com/events/aaron-abbotts-phonebook-1534036/,,"<p>If you really want to feel a connection to the mafia, ditch the season whatever of <i>The Sopranos</i> and head to your closest neighborhood payphone.",Conspire,"901 N. Fifth St.      Phoenix, AZ",12/08/2011,http://vvoice.vo.llnwd.net/e14/4193819.49.jpg,12/31/2011
,Monday Madness,,602-272-3146,http://www.phoenixnewtimes.com/events/monday-madness-1427656/,,,27th Avenue Bar & Grill,"2038 N. 27th Ave.      Phoenix, AZ",,http://vvoice.vo.llnwd.net/e14/3829760.55.jpg,
,Fireside Sunday,,602-553-7382,http://www.phoenixnewtimes.com/events/fireside-sunday-1442525/,4:00pm-8:00pm,The weekly affair features live music and half-price bottles of wine.,Geordie's at Wrigley Mansion,"2501 E. Telawa Trail     (at 24th St. and Biltmore Circle)    Phoenix, AZ",,http://vvoice.vo.llnwd.net/e14/3739836.55.jpg,
,Canvas@1011,http://www.myspace.com/canvas1011,602-252-3951,http://www.phoenixnewtimes.com/events/canvas-1011-921636/,,,Canvas@1011,"1011 N. 3rd St.      Phoenix, AZ",,,
,Danela Gallery at the Borgata,http://www.danelagallery.com,480-922-1801,http://www.phoenixnewtimes.com/events/danela-gallery-at-the-borgata-808333/,,,Danela Gallery at the Borgata,"6166 N. Scottsdale Rd. Ste. 606      Scottsdale, AZ",,,
free,Nickel Creek Gallery,http://www.nickelcreekgallery.com/,,http://www.phoenixnewtimes.com/events/nickel-creek-gallery-797887/,,,Nickel Creek Gallery,"6501 E. Cave Creek Rd., Stes. 6 and 7      Cave Creek, AZ",,,
,Occams Edge & Gallery,,602-264-2163,http://www.phoenixnewtimes.com/events/occam-s-edge-and-gallery-91612/,,,Occam's Edge & Gallery,"3310 N. Third St.      Phoenix, AZ",,,
free,Trailside Galleries,http://www.trailsidegalleries.com,480-945-7751,http://www.phoenixnewtimes.com/events/trailside-galleries-113235/,,,Trailside Galleries,"7330 Scottsdale Mall      Scottsdale, AZ",,http://vvoice.vo.llnwd.net/e14/2943135.55.jpg,
,White Chrysanthemum,,602-716-0099,http://www.phoenixnewtimes.com/events/white-chrysanthemum-91602/,,,White Chrysanthemum,"821 N. 3rd St., No. 4      Phoenix, AZ",,,
,Another Gallery,,602-721-0839,http://www.phoenixnewtimes.com/events/another-gallery-1516237/,,,Another Gallery,"3806 N. Third St.      Phoenix, AZ",,,
,Heard Museum Guild Indian Fair & Market - Best of Show Reception,http://www.heard.org,602-252-8848,http://www.phoenixnewtimes.com/events/heard-museum-guild-indian-fair-and-market-best-of-show-reception-1400155/,5:30pm-8:30pm,,Heard Museum,"2301 N. Central Ave.      Phoenix, AZ",03/05/2011,http://vvoice.vo.llnwd.net/e14/1414907.55.jpg,03/05/2011
,Heard Museum Council Native Art & Artifacts Appraisal Day,http://www.heard.org,602-252-8848,http://www.phoenixnewtimes.com/events/heard-museum-council-native-art-and-artifacts-appraisal-day-1400157/,10:00am-2:00pm,,Heard Museum,"2301 N. Central Ave.      Phoenix, AZ",03/20/2011,http://vvoice.vo.llnwd.net/e14/1414907.55.jpg,03/20/2011
,"""Artists' Books and Illustrators""",http://www.heard.org,480-488-9817,http://www.phoenixnewtimes.com/events/artists-books-and-illustrators-1400163/,,,Heard Museum North Scottsdale,"32633 N. Scottsdale Rd.     (The Summit at Scottsdale)    Scottsdale, AZ",03/27/2011,http://vvoice.vo.llnwd.net/e14/1414908.55.jpg,10/03/2011
,A Gathering of Carvers: Katsina Doll Marketplace,http://www.heard.org,602-252-8848,http://www.phoenixnewtimes.com/events/a-gathering-of-carvers-katsina-doll-marketplace-1400158/,10:00am-4:00pm,,Heard Museum,"2301 N. Central Ave.      Phoenix, AZ",04/10/2011,http://vvoice.vo.llnwd.net/e14/1414907.55.jpg,04/10/2011
,Heard Museum Guild American Indian Student Art Show & Sale,http://www.heard.org,602-252-8848,http://www.phoenixnewtimes.com/events/heard-museum-guild-american-indian-student-art-show-and-sale-1400159/,10:00am-4:00pm,,Heard Museum,"2301 N. Central Ave.      Phoenix, AZ",04/10/2011,http://vvoice.vo.llnwd.net/e14/1414907.55.jpg,04/14/2011
,52nd Annual Heard Museum Guild Indian Fair & Market,http://www.heard.org,602-252-8848,http://www.phoenixnewtimes.com/events/52nd-annual-heard-museum-guild-indian-fair-and-market-1400156/,9:30am-5:00pm<br />,,Heard Museum,"2301 N. Central Ave.      Phoenix, AZ",03/06/2011,http://vvoice.vo.llnwd.net/e14/1414907.55.jpg,03/06/2011
$10,Pool Tournament,,602-298-1500,http://www.phoenixnewtimes.com/events/pool-tournament-1069645/,7:30pm,,Jimbo's Sports Bar & Grill,"12224 N. 51st Ave.      Phoenix, AZ",,,
,Lee Alexander,http://santanflat.com,480-882-2995,http://www.phoenixnewtimes.com/events/lee-alexander-637064/,6:30pm,,San Tan Flat Saloon & Grill,"6185 W. Hunt Hwy.      Queen Creek, AZ",,,
,Lake Pleasant Regional Park,http://www.maricopa.gov/parks/lake_pleasant,,http://www.phoenixnewtimes.com/events/lake-pleasant-regional-park-488319/,,The park offes all manner of aquatic activities plus excellent wildlife viewing.,Lake Pleasant Regional Park,"41835 N. Castle Hot Springs Rd.      Morristown, AZ",,,
free,Downtown Chandler Art Walk,http://www.chandleraz.gov,,http://www.phoenixnewtimes.com/events/downtown-chandler-art-walk-691102/,5:00pm-9:00pm,,Historic Downtown Chandler,"Arizona Ave. south of Chandler Blvd.      Chandler, AZ",,,
,Cave Creek Museum,http://www.cavecreekmuseum.org,480-488-2764,http://www.phoenixnewtimes.com/events/cave-creek-museum-122685/,,Closed June through September.,Cave Creek Museum,"6140 Skyline Dr.      Cave Creek, AZ",,,
,White Chrysanthemum,,602-716-0099,http://www.phoenixnewtimes.com/events/white-chrysanthemum-91602/,,,White Chrysanthemum,"821 N. 3rd St., No. 4      Phoenix, AZ",,,
free,Pecos Community Center Skate Park,http://phoenix.gov/PRL/skate.html#pecos,,http://www.phoenixnewtimes.com/events/pecos-community-center-skate-park-581960/,,,Pecos Community Center Skate Park,"17010 S. 48th St.      Ahwatukee, AZ",,,
