startDate,city,address,venue,description,longitude,zipcode,state,title,website,latitude,moreinfo
Tuesdays-Sundays. May  7   May 29,Pittsburgh,1300 Bingham Street,City Theatre,"Playwright George S. Kaufman returns to his Pittsburgh childhood home to cure his writer's block, but is foiled by eccentric locals.",-79.98514,15203.0,PA,Louder Faster,http://www.citytheatrecompany.org,40.42936,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:81734
Fridays-Sundays. Nov. 26   Dec. 19,Pittsburgh,1300 Bingham Street,City Theatre,"A ""Living Nativity"" w/ audience participation & more.",-79.98514,15203.0,PA,Sister's Christmas Catechism: The Mystery of the Magi's Gold,http://www.citytheatrecompany.org,40.42936,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:81739
,Pittsburgh,117 Sandusky Street,Andy Warhol Museum,"Arts activities and special programs: Weekend Factory, Creative Collaborations and more.",-80.00236,15212.0,PA,Andy Warhol Museum,http://www.warhol.org,40.44841,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23339
,Pittsburgh,s Way,Children's Museum of Pittsburgh,,-80.00681,15212.0,PA,Children's Museum of Pittsburgh,http://www.pittsburghkids.org,40.45294,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23859
,,,,"Nine year-round centers in city, with programs in sports, fitness and arts. Plus individual programs and features.",,,,Citiparks Recreation Centers,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23343
Mondays-Saturdays.,,,,"Toys and playspace, especially for preschoolers. East End.",,,,Pittsburgh Toy Lending Library,ptll.pointparkjournalism.com/,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23340
"Mondays-Fridays, 1:30-3:30 p.m",Pittsburgh,s Way,Children's Museum of Pittsburgh,Tackle a different building challenge each weekday!,-80.00681,15212.0,PA,Builder's Challenge,http://www.pittsburghkids.org,40.45294,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:39297
"Wednesdays, Fridays, 1:30-3:30 p.m",Pittsburgh,s Way,Children's Museum of Pittsburgh,"Explore different printmaking techniques, including collagraphs, flower prints and oil crayon monotypes.",-80.00681,15212.0,PA,Printmaking Techniques,http://www.pittsburghkids.org,40.45294,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:39296
,Pittsburgh,Allegheny Commons West,National Aviary,"Programs for kids, Mon./Thu.",-80.00249,15212.0,PA,Little Peepers: Stories and Crafts,http://www.aviary.org,40.45124,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:37754
,Homestead,623 East 8th Avenue,Rivers of Steel National Heritage Area,Steel industry and community artifacts from 1881-1986.,-79.9045,15120.0,PA,Exhibits on the Homestead Mill,http://www.riversofsteel.com,40.40916,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23506
"Saturdays, Sundays. Jan.  9   Feb. 6",Pittsburgh,7501 Penn Avenue,Gemini Theater,Interactive musical adaptation of Kipling's novel.,-79.89603,15208.0,PA,Jungle Book,http://www.geminitheater.org,40.44829,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89474
,Pittsburgh,320 6th Avenue,First Presbyterian Church,Tours of 13 Tiffany stained-glass windows,-79.99898,15222.0,PA,First Presbyterian Church,http://www.fpcp.org,40.44174,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23320
"Sun., Jan. 9, 1-4 p.m",Pittsburgh,5738 Forbes Avenue,Jewish Community Center,"Family Zumba, Youth fitness assessments, Interactive sport station, more.",-79.92405,15217.0,PA,Youth & Family Wellness Fair,http://www.jccpgh.org,40.43789,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89167
,Pittsburgh,Point State Park,Fort Pitt Museum,Reconstructed fort houses museum of Pittsburgh history circa French & Indian War and American Revolution.,0.0,15222.0,PA,Fort Pitt Museum,http://www.fortpittmuseum.com,0.0,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:78122
,Pittsburgh,Allegheny Commons West,National Aviary,Story telling and bird programs.,-80.00249,15212.0,PA,Little Peepers: Munchkins Mondays,http://www.aviary.org,40.45124,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:37753
,Pittsburgh,7227 Reynolds Street,Frick Art &#38; Historical Center,"Ongoing: tours of Clayton, the Frick estate, with classes, car & carriage museum. Nov. 19 - Jan. 2: Holidays at the Frick: A Gilded Age Christmas.",-79.90251,15208.0,PA,Frick Art & Historical Center,http://www.frickart.org,40.44634,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23149
,Allison Park,200 Hartwood Acres,Hartwood Acres,"Tour this Tudor mansion and stable complex, and enjoy hikes and outdoor activities in the surrounding park.",-79.91108,15101.0,PA,Hartwood Acres,http://www.friendsofhartwood.org,40.56947,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23323
,Chalk Hill,,Kentuck Knob,,-79.51117,15431.0,PA,Kentuck Knob,http://www.kentuckknob.com,39.87448,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23657
"Third Monday of every month, 3 p.m",Pittsburgh,612 Smithfield Street,"Carnegie Library, Downtown","Play videogames, board games, cards & more with other teens.",-79.99749,15222.0,PA,Get Your Game On Teens!,http://www.clpgh.org,40.4418,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:42926
,Butler,322 N. McKean St.,Maridon Museum,"Collection includes jade and ivory statues from China and Japan, as well as Meissen porcelain.",-79.89356,16001.0,PA,Maridon Museum,http://www.maridon.org,40.86407,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23494
,Monroeville,1 McGinley Road,McGinley House & McCully Log House,"Historic homes open for tours, lectures and more.",-79.74425,15146.0,PA,McGinley House & McCully Log House,http://www.monroevillehistorical.org/,40.42365,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23495
"Sun., Jan. 23, 2 p.m",Pittsburgh,101 Sixth Street,Byham Theater,Presented by Pittsburgh International Children's Theater & Vital Theatre Company.,-80.00192,15222.0,PA,Angelina Ballerina the Musical,http://www.pgharts.org,40.44408,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89444
,Pittsburgh,1212 Smallman Street,Senator John Heinz History Center,Mario Lemieux's Personal Trophy Collection.,-79.99289,15222.0,PA,Memories of Mario,http://www.heinzhistorycenter.org,40.44648,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89331
,Pittsburgh,Allegheny Commons West,National Aviary,"Home to more than 600 birds from over 200 species. With classes, lectures, demos and more.",-80.00249,15212.0,PA,National Aviary,http://www.aviary.org,40.45124,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23497
,Pittsburgh,4200 5th Avenue,Nationality Rooms,26 rooms helping to tell the story of Pittsburgh's immigrant past. University of Pittsburgh.,-79.95927,15213.0,PA,Nationality Rooms,http://www.pitt.edu/~natrooms,40.44147,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23498
,Scott,330 Old Washington Pike,Old St. Luke's,"Pioneer church features 1823 pipe organ, Revolutionary War graves.",-80.09027,15106.0,PA,Old St. Luke's,http://www.oldsaintlukes.org,40.38441,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23500
Today,Pittsburgh,4400 Forbes Avenue,Carnegie Museum of Art,"The museums contemporary art collection presented thematically, examining how art reflects the bizarre & unusual aspects of life.",-79.94926,15213.0,PA,Ordinary Madness,http://www.cmoa.org,40.44413,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86195
,Green Tree,101 Radisson Dr.,The Funny Bone,Touring professional comedians weekly.,-80.05791,15219.0,PA,All Pro Wednesdays,http://funnybonepgh.com,40.41814,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23891
,Pittsburgh,4923 Penn Ave.,Envy Night Club,Hosted by John Pridmore.,-79.94436,15224.0,PA,Comedy Night,http://www.chefjtropical.com,40.46533,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:74949
,Washington,1 Museum Road,Pennsylvania Trolley Museum,"Includes displays, walking tours, gift shop, picnic area and Trolley Theatre.",-80.25532,15301.0,PA,Trolley rides and exhibits,http://www.pa-trolley.org,40.20801,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23502
,Pittsburgh,225 Station Sq.,Buckhead Saloon,,-80.00806,15219.0,PA,Comedy Night at Buckhead Saloon,http://www.buckheadpittsburgh.com/,40.43458,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87191
,Pittsburgh,1 Schenley Park,Phipps Conservatory &#38; Botanical Garden,,-79.68921,15213.0,PA,Phipps Conservatory & Botanical Garden,http://www.phipps.conservatory.org,40.67918,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23503
,Pittsburgh,1441 Woods Run Ave.,Younger's,Comedy open stage hosted by Tonnochi:B.,-80.03493,15212.0,PA,Jokee Oakee,,40.47508,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86252
,Pittsburgh,One Wild Place,Pittsburgh Zoo & PPG Aquarium,"Home to 4,000 animals, including many endangered species.",-79.92051,15206.0,PA,Pittsburgh Zoo & PPG Aquarium,http://www.pittsburghzoo.org,40.48352,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23504
"Thursdays, 9 p.m",Pittsburgh,212 Blvd. of the Allies,Papa J's Centro,Hosted by TJ Amick & Subhah Agarwal.,-80.00362,15222.0,PA,Open Mic,http://www.papajs.com/,40.43905,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:76241
,Springdale,613 Marion Ave.,Rachel Carson Homestead,Photos and artifacts of her life & work.,-79.78342,15144.0,PA,A Reverence for Life,http://www.rachelcarsonhomestead.org,40.54639,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23505
,Pittsburgh,1212 Smallman Street,Senator John Heinz History Center,"Ongoing: Western PA Sports Museum, Clash of Empires, and exhibits on local history, more. Current: Vatican Splendors: A Journey through Faith and Art, Beat 'Em Bucs - The Story of the 1960 Pittsburgh Pirates.",-79.99289,15222.0,PA,Senator John Heinz History Center,http://www.heinzhistorycenter.org,40.44648,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23664
"Thursdays, 10 p.m",Pittsburgh,655 Penn Avenue,Cabaret at Theatre Square,,-80.00062,15222.0,PA,Pittsburgh Improv Jam,http://www.pgharts.org,40.44313,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:72163
,Sewickley,1901 Glen Mitchell Road,Sewickley Heights History Center,"Museum commemorates Pittsburgh industrialists, local history.",-80.14795,15143.0,PA,Sewickley Heights History Center,http://www.sewickleyheightshistory.org,40.54641,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23507
,Pittsburgh,4141 Fifth Avenue,Soldiers & Sailors Memorial Hall,Exhibits commemorate local veterans from the Civil War to Operation Desert Storm.,-79.95544,15213.0,PA,Soldiers & Sailors Memorial Hall,http://www.soldiersandsailorshall.org,40.44429,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23508
"Fridays, 9 p.m",Pittsburgh,2500 s. 18th Street,Corner Cafe,,-79.98421,15203.0,PA,Pittsburgh Comedy Showcase w/ Mike Wysocki,,40.4219,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:84623
,,,,Reading and mentoring program.,,,,Beginning With Books,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23182
"Sat., Jan. 8, 5:30 p.m",Belle Vernon,Gallitin Road and Route 51 N,Rostraver Ice Garden,,-79.82961,15012.0,PA,"Tom Anzalone, Mike Conley, Aaron Kleiber",,40.19804,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89403
,,,,To work with patients and families. Training provided.,,,,Bethany Hospice,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23183
,,,,Assistance needed for this agency which works with disenfranchised women.,,,,Bethlehem Haven,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23184
,,,,Adults to mentor young people from single-parent and at-risk homes.,,,,Big Brothers/Big Sisters of Greater Pittsburgh,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23185
"Sat., Jan. 8, 8 p.m",Pittsburgh,7501 Penn Avenue,Gemini Theater,Improv comedy based on audience suggestion.,-79.89603,15208.0,PA,The Amish Monkeys,http://www.geminitheater.org,40.44829,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89497
,Pittsburgh,5129 Penn Avenue,Thomas Merton Center,"Read & code letters, pick books, pack 'em or database 'em! Sundays 3-8 p.m. or by appt.",-79.94174,15224.0,PA,Book 'Em Books to Prisoners Work Party,http://www.thomasmertoncenter.org/,40.46505,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23358
,Pittsburgh,2526 E. Carson St.,Excuses Bar &#38; Grill,Hosted by Travis Coulton & Travis Walling.,-79.96867,15203.0,PA,Weekly Comedy Open Mic,,40.42732,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:76263
,Greensburg,221 N. Main Street,Westmoreland Museum of American Art,,-79.54524,15601.0,PA,Born of Fire: The Valley Work,http://www.wmuseumaa.org,40.30533,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:50925
"Mondays, 8 p.m",Homestead,122 West 8th Ave.,Duke's Upper Deck,"Featured & open mic comedy, hosted by Aaron Kleiber",-79.9126,15120.0,PA,The Comedy Stop,,40.40531,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87190
,,,,Gallery-sitters needed for upcoming exhibitions. South Side.,,,,Brew House Space 101,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23186
,Green Tree,101 Radisson Dr.,The Funny Bone,Weekly showcase of local/regional talent.,-80.05791,15219.0,PA,Best of the Burgh,http://funnybonepgh.com,40.41814,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23890
Ongoing.,,,,Seeking to connect mentors with men & women who are incarcerated. jbackers@prisonsociety.org,,,,Building Bridges,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86854
,,,,To work with children with disabilities.,,,,CareBreak,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23187
"Tuesdays, 8 p.m",Finleyville,3710 State Route 88,Roy's By the Tracks,,-79.98936,15332.0,PA,Comedy Open Mic,,40.25635,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:85407
,Pittsburgh,4400 Forbes Avenue,Carnegie Museum of Natural History,,-79.94926,15213.0,PA,Carnegie Museum of Natural History,http://www.carnegiemnh.org,40.44413,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23156
"Tuesdays, 9 p.m",Pittsburgh,1306 E. Carson Street,Smiling Moose,Hosted by Mitch Mekulsia.,-79.98499,15203.0,PA,Open Mic Stand Up Comedy Nite,,40.42866,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:55957
,Pittsburgh,1 Allegheny Avenue,Carnegie Science Center,,-80.00345,15212.0,PA,Carnegie Science Center,http://www.carnegiesciencecenter.org,40.45222,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23661
Ongoing.,,,,"Compassionate volunteers to assist patients & families w/ companionship; administrative opportunities, more. Free training & orientation provided.",,,,Cedars Community Hospice,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:72846
,Pittsburgh,s Way,Children's Museum of Pittsburgh,,-80.00681,15212.0,PA,Children's Museum of Pittsburgh,http://www.pittsburghkids.org,40.45294,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23859
"Sat., Jan. 15, 8 p.m",Pittsburgh,4919 Penn Avenue,ModernFormations Gallery,,-79.9445,15224.0,PA,The Kristen & Amie Show feat. Irony City,http://www.modernformations.com,40.46535,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89224
Ongoing.,,,,"Volunteers and interns needed for fundraising, marketing & event planning.",,,,Christopher's Guests,www.christophersguests.org,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:55502
,,,,"Nine year-round centers in city, with programs in sports, fitness and arts. Plus individual programs and features.",,,,Citiparks Recreation Centers,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23343
,Pittsburgh,4923 Penn Ave.,Envy Night Club,Hosted by John Pridmore.,-79.94436,15224.0,PA,Comedy Night,http://www.chefjtropical.com,40.46533,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:74949
,Pittsburgh,225 Station Sq.,Buckhead Saloon,,-80.00806,15219.0,PA,Comedy Night at Buckhead Saloon,http://www.buckheadpittsburgh.com/,40.43458,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87191
"Sat., Jan. 22, 9 p.m",Pittsburgh,1602 East Carson St.,Rex Theater,,-79.98246,15203.0,PA,Eddie Ifft,,40.42877,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:88958
Today,Pittsburgh,206 S.Highland Ave.,The Gallery 4,Recent work by Michael Walsh.,-79.92517,15206.0,PA,Coming Full Circle,,40.45831,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89212
,Ligonier,US Route 30,Compass Inn,Demos and tours with costumed guides featuring this restored stagecoach stop.,-79.17752,15655.0,PA,Compass Inn,http://www.compassinn.com,40.20487,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23318
"Last Saturday of every month, 10 p.m",Pittsburgh,655 Penn Avenue,Cabaret at Theatre Square,,-80.00062,15222.0,PA,The Serious Comedy Show,http://www.pgharts.org,40.44313,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:67460
"Sat., Feb. 19, 8 p.m",Greensburg,23 W. Otterman Street,Palace Theatre,,-79.5456,15601.0,PA,Steven Wright,http://www.thepalacetheatre.org,40.30333,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86760
,,,,Reading and mentoring program.,,,,Beginning With Books,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23182
,,,,To work with patients and families. Training provided.,,,,Bethany Hospice,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23183
,,,,Assistance needed for this agency which works with disenfranchised women.,,,,Bethlehem Haven,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23184
,,,,Adults to mentor young people from single-parent and at-risk homes.,,,,Big Brothers/Big Sisters of Greater Pittsburgh,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23185
,Pittsburgh,5129 Penn Avenue,Thomas Merton Center,"Read & code letters, pick books, pack 'em or database 'em! Sundays 3-8 p.m. or by appt.",-79.94174,15224.0,PA,Book 'Em Books to Prisoners Work Party,http://www.thomasmertoncenter.org/,40.46505,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23358
,Greensburg,221 N. Main Street,Westmoreland Museum of American Art,,-79.54524,15601.0,PA,Born of Fire: The Valley Work,http://www.wmuseumaa.org,40.30533,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:50925
,,,,Gallery-sitters needed for upcoming exhibitions. South Side.,,,,Brew House Space 101,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23186
Ongoing.,,,,Seeking to connect mentors with men & women who are incarcerated. jbackers@prisonsociety.org,,,,Building Bridges,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:86854
,,,,To work with children with disabilities.,,,,CareBreak,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23187
,,,,"Seeking new players, no experience necessary. Wednesdays, Squirrel Hill.",,,,Competitive Scrabble,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23694
,Pittsburgh,4400 Forbes Avenue,Carnegie Museum of Natural History,,-79.94926,15213.0,PA,Carnegie Museum of Natural History,http://www.carnegiemnh.org,40.44413,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23156
,Pittsburgh,621 Penn Avenue,O'Reilly Theater,Presented by Reduced Shakespeare Co.,-80.00132,15222.0,PA,The Complete World of Sports (abridged),http://www.ppt.org,40.44295,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89096
,Pittsburgh,1 Allegheny Avenue,Carnegie Science Center,,-80.00345,15212.0,PA,Carnegie Science Center,http://www.carnegiesciencecenter.org,40.45222,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23661
Ongoing.,,,,"Compassionate volunteers to assist patients & families w/ companionship; administrative opportunities, more. Free training & orientation provided.",,,,Cedars Community Hospice,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:72846
,Pittsburgh,s Way,Children's Museum of Pittsburgh,,-80.00681,15212.0,PA,Children's Museum of Pittsburgh,http://www.pittsburghkids.org,40.45294,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23859
Ongoing.,,,,"Volunteers and interns needed for fundraising, marketing & event planning.",,,,Christopher's Guests,www.christophersguests.org,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:55502
,,,,Advocacy group for affordable healthcare.,,,,Consumer Health Coalition,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23348
,,,,"Nine year-round centers in city, with programs in sports, fitness and arts. Plus individual programs and features.",,,,Citiparks Recreation Centers,,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23343
,,,,Seeking volunteer advocates for abused and neglected children.,,,,Court Appointed Special Advocate (CASA) Program,www.pgh-casa.org/,,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23191
,Pittsburgh,4923 Penn Ave.,Envy Night Club,Hosted by John Pridmore.,-79.94436,15224.0,PA,Comedy Night,http://www.chefjtropical.com,40.46533,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:74949
,Pittsburgh,Woodland Road,Chatham University,African Art from the Olkes Collection.,-79.92356,15232.0,PA,Culture in Context,http://www.chatham.edu,40.44797,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:22728
,Pittsburgh,225 Station Sq.,Buckhead Saloon,,-80.00806,15219.0,PA,Comedy Night at Buckhead Saloon,http://www.buckheadpittsburgh.com/,40.43458,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:87191
Today,Pittsburgh,206 S.Highland Ave.,The Gallery 4,Recent work by Michael Walsh.,-79.92517,15206.0,PA,Coming Full Circle,,40.45831,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:89212
,Ligonier,US Route 30,Compass Inn,Demos and tours with costumed guides featuring this restored stagecoach stop.,-79.17752,15655.0,PA,Compass Inn,http://www.compassinn.com,40.20487,http://www.pittsburghcitypaper.ws/gyrobase/Event?event=oid:23318
