date,image,title,timeResult,location,moreInfoLink
"Apr 12, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/POR.gif,Portland Trail Blazers vs OKC,10:00 PM,"Portland, OR",http://www.cbssports.com/nba/teams/page/POR/portland-trail-blazers
"Apr 14, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/POR.gif,Portland Trail Blazers vs GS,10:30 PM,"Portland, OR",http://www.cbssports.com/nba/teams/page/POR/portland-trail-blazers
"Apr 10, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/CHA.gif,Charlotte Bobcats vs Det,7:00 PM,"Charlotte, N.C.",http://www.cbssports.com/nba/teams/page/CHA/charlotte-bobcats
"Apr 14, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/CHA.gif,Charlotte Bobcats vs Chi,8:00 PM,"Charlotte, N.C.",http://www.cbssports.com/nba/teams/page/CHA/charlotte-bobcats
"Apr  9, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/CLE.gif,Cleveland Cavaliers vs Ind,7:30 PM,"Cleveland, OH",http://www.cbssports.com/nba/teams/page/CLE/cleveland-cavaliers
"Apr 11, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/CLE.gif,Cleveland Cavaliers vs Orl,1:00 PM,"Cleveland, OH",http://www.cbssports.com/nba/teams/page/CLE/cleveland-cavaliers
"Apr  9, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/ORL.gif,Orlando Magic vs NY,7:00 PM,"Orlando, FL",http://www.cbssports.com/nba/teams/page/ORL/orlando-magic
"Apr 14, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/ORL.gif,Orlando Magic vs Phi,8:00 PM,"Orlando, FL",http://www.cbssports.com/nba/teams/page/ORL/orlando-magic
"Apr 10, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/MEM.gif,Memphis Grizzlies vs Phi,8:00 PM,"Memphis, TN",http://www.cbssports.com/nba/teams/page/MEM/memphis-grizzlies
"Apr 13, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/CHI.gif,Chicago Bulls vs Bos,8:00 PM,"Chicago, IL",http://www.cbssports.com/nba/teams/page/CHI/chicago-bulls
"Apr 10, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/IND.gif,Indiana Pacers vs NJ,7:00 PM,"Indianapolis, IN",http://www.cbssports.com/nba/teams/page/IND/indiana-pacers
"Apr 12, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/IND.gif,Indiana Pacers vs Orl,7:00 PM,"Indianapolis, IN",http://www.cbssports.com/nba/teams/page/IND/indiana-pacers
"Apr 14, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/DAL.gif,Dallas Mavericks vs SA,8:00 PM,"Dallas, TX",http://www.cbssports.com/nba/teams/page/DAL/dallas-mavericks
"Apr  9, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/PHI.gif,Philadelphia 76ers vs Mil,7:00 PM,"Philadelphia, PA",http://www.cbssports.com/nba/teams/page/PHI/philadelphia-76ers
"Apr 12, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/PHI.gif,Philadelphia 76ers vs Mia,7:00 PM,"Philadelphia, PA",http://www.cbssports.com/nba/teams/page/PHI/philadelphia-76ers
"Apr  9, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/NO.gif,New Orleans Hornets vs Utah,8:00 PM,"New Orleans, LA",http://www.cbssports.com/nba/teams/page/NO/new-orleans-hornets
"Apr 11, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/NO.gif,New Orleans Hornets vs Min,7:00 PM,"New Orleans, LA",http://www.cbssports.com/nba/teams/page/NO/new-orleans-hornets
"Apr 10, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/WAS.gif,Washington Wizards vs Atl,7:00 PM,"Washington, D.C.",http://www.cbssports.com/nba/teams/page/WAS/washington-wizards
"Apr 14, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/WAS.gif,Washington Wizards vs Ind,8:00 PM,"Washington, D.C.",http://www.cbssports.com/nba/teams/page/WAS/washington-wizards
"Apr 10, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/LAC.gif,Los Angeles Clippers vs GS,10:30 PM,"Los Angeles, CA",http://www.cbssports.com/nba/teams/page/LAC/los-angeles-clippers
"Apr 12, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/LAC.gif,Los Angeles Clippers vs Dal,10:30 PM,"Los Angeles, CA",http://www.cbssports.com/nba/teams/page/LAC/los-angeles-clippers
"Apr 14, 2011",http://sports.cbsimg.net/images/cbss/ui2/logos/nba/160x100/LAC.gif,Los Angeles Clippers vs LAL,10:30 PM,"Los Angeles, CA",http://www.cbssports.com/nba/teams/page/LAC/los-angeles-clippers
