city,description,date,venue,state,title,webSite,moreInfoLink
Plant City,,03/08/2011,Florida Strawberry Festival,FL,Corn Dog Eating Contest,http://flstrawberryfestival.com,http://eatfeats.com/query.php?_table=contests&id=6379
North Lake Tahoe,,03/06/2011,Tahoe Snow Festival,CA,Doughnut Eating Contest,http://www.tahoesnowfestival.com/,http://eatfeats.com/query.php?_table=contests&id=6204
Orem,,03/04/2011,Wiseguys,UT,Cereal Eating Contest,http://www.wiseguyscomedy.com/wiseguys-orem.php,http://eatfeats.com/query.php?_table=contests&id=6159
St. Louis,,02/27/2011,Beggin' Pet Parade,MO,Bacon Eating Contest,http://www.beggintime.com/Parade.aspx,http://eatfeats.com/query.php?_table=contests&id=6386
Des Moines,registration opens January 21  </TD>,02/26/2011,Blue Ribbon Bacon Festival,IA,Bacon Eating Contest,http://blueribbonbaconfestival.com,http://eatfeats.com/query.php?_table=contests&id=6126
Miami Lakes,,02/26/2011,Taste of Miami Lakes,FL,Wing Eating Contest,http://www.tasteofmiamilakesfestival.com/,http://eatfeats.com/query.php?_table=contests&id=6136
Claremore,hands-free  </TD>,10/15/2011,Route 66 Pecan & Fun Fest,OK,Pie Eating Contest,http://route66nuthouse.com/events.asp,http://eatfeats.com/query.php?_table=contests&id=6486
Minersville,,07/08/2011,Big Diamond Speedway,PA,Hot Wing Eating Contest,http://www.bigdiamondspeedway.net/,http://eatfeats.com/query.php?_table=contests&id=6583
Timonium,Contact:  aprobey@hollypoultry.com  </TD>,06/11/2011,Hightopps Backstage Grille,MD,Holly Wing Wars,http://www.hightoppsbackstagegrille.com/,http://eatfeats.com/query.php?_table=contests&id=6253
Chicago,,06/10/2011,Chicago Ribfest,IL,Rib Eating Contest,http://www.ribfest-chicago.com/,http://eatfeats.com/query.php?_table=contests&id=6480
Durham,"for 4 person teams, contains eating, running, biking & water segments, filled up in 15 minutes March 1   </TD>",05/28/2011,various locations,NC,The Doughman quadrathlon,http://doughman.org,http://eatfeats.com/query.php?_table=contests&id=6559
San Bernardino,,05/07/2011,California Chili Championship,CA,Chili Eating Contest,http://www.californiachilicookoff.com/,http://eatfeats.com/query.php?_table=contests&id=6534
Huntsville,qualifiers to be held in March  </TD>,05/07/2011,Dreamland,AL,Rib Eating Finals,http://www.dreamlandbbq.com/huntsville.aspx,http://eatfeats.com/query.php?_table=contests&id=6522
Seattle,,04/17/2011,Cupcake Camp Seattle,WA,Cupcake Eating Contest,http://cupcakecampseattle.com/,http://eatfeats.com/query.php?_table=contests&id=6485
Gilbert,,04/17/2011,Flancer's,AZ,Flancer's 11th Annual Pizza Eating Contest,http://flancers.com,http://eatfeats.com/query.php?_table=contests&id=6512
Fullerton,,04/17/2011,Harley Davidson of Fullerton,CA,Jalapeno Eating Contest,http://www.harleyfullerton.com/,http://eatfeats.com/query.php?_table=contests&id=6519
Miami,,04/09/2011,RA Sushi,FL,Maki Madness,http://www.facebook.com/RAsushiSouthMiami,http://eatfeats.com/query.php?_table=contests&id=6499
Belzoni,,04/02/2011,World Catfish Festival,MS,Catfish Eating Contest,http://www.belzonims.com/catfishfest.htm,http://eatfeats.com/query.php?_table=contests&id=6516
Phoenix,qualify by eating a pound of meatballs by March 31   </TD>,04/02/2011,La Cucina Italiana,AZ,Meatball Eating Contest,http://www.andys-lacucinaitaliana.com/,http://eatfeats.com/query.php?_table=contests&id=6515
Dayton,"qualify by eating 16 inch sub in under 16 minutes before March 20, semifinals held week of March 21   </TD>",04/02/2011,The Submarine House,OH,Super Duper Cheesesteak Challenge Finals,http://www.submarinehouse.com/,http://eatfeats.com/query.php?_table=contests&id=6579
Middletown,,03/31/2011,Wing Masters,CT,Wing Eating Contest,http://www.facebook.com/TheOfficialWingMasters,http://eatfeats.com/query.php?_table=contests&id=6525
San Diego,,03/30/2011,Man Diego,CA,Out Eat Pete,http://www.mamaskitchen.org/,http://eatfeats.com/query.php?_table=contests&id=6456
Los Angeles,,03/19/2011,Los Angeles Boat Show,CA,Hooters Wing Eating Contest,http://www.losangelesboatshow.com/,http://eatfeats.com/query.php?_table=contests&id=6547
Washington County,"Brian Subich will MC <BR>Contact:   724-225-9550, ext. 404  </TD>",03/19/2011,Men's Culinary Classic,PA,Pierogi Eating Contest,http://washingtonfair.org,http://eatfeats.com/query.php?_table=contests&id=6576
Las Vegas,,03/17/2011,Silverton Casino,NY,Cabbage and Corned Beef Eating Contest,http://www.silvertoncasino.com/,http://eatfeats.com/query.php?_table=contests&id=6575
Las Vegas,,03/17/2011,Hash House a Go Go,NV,Corned Beef Eating Contest,http://www.hashhouseagogo.com/,http://eatfeats.com/query.php?_table=contests&id=6528
New Castle,,03/17/2011,Elk Creek Mining Company,CO,Ghost Wing Eating Contest,http://www.elkcreekmining.com/,http://eatfeats.com/query.php?_table=contests&id=6477
Manhattan,,03/13/2011,KyoChonNY,NY,Wing Eating Contest,http://www.facebook.com/kyochonNY,http://eatfeats.com/query.php?_table=contests&id=6508
Middletown,,03/12/2011,Orange County Fair Speedway,NY,Hot Dog Eating Contest,http://www.orangecountyfairspeedway.net/,http://eatfeats.com/query.php?_table=contests&id=6568
Saugus,$20 entry fee for charity  </TD>,03/12/2011,Tumble Inn Diner,MA,Pancake Eating Contest,http://www.facebook.com/pages/Tumble-Inn-Diner/118817271509686,http://eatfeats.com/query.php?_table=contests&id=6558
Coraopolis,,03/11/2011,Jailhouse Saloon,PA,Mashed Potato Eating Contest,http://www.facebook.com/pages/Jailhouse-Saloon/70746790933,http://eatfeats.com/query.php?_table=contests&id=6539
Chicago,,03/08/2011,Fat Cat,IL,Crawfish Eating Contest,http://www.fatcatbar.com/,http://eatfeats.com/query.php?_table=contests&id=6570
Middletown,,03/08/2011,Cheeseburger in Paradise,NY,Mini Cheeseburger Eating Contest,http://www.cheeseburgerinparadise.com/,http://eatfeats.com/query.php?_table=contests&id=6554
Port Clinton,$5 entry fee  </TD>,03/08/2011,Common Grounds Coffee and Deli,OH,Paczki Eating COntest,,http://eatfeats.com/query.php?_table=contests&id=6564
Sterling Heights,,03/08/2011,Jamboozies,MI,Paczki Eating Contest,http://www.jambooziesmi.com/,http://eatfeats.com/query.php?_table=contests&id=6556
Denver,,03/08/2011,"Fox & Hound  - Centennial, Arapahoe Road",CO,Wing Eating Contest,http://www.foxandhound.com/locations/denver-centennial-arapahoe-road.aspx,http://eatfeats.com/query.php?_table=contests&id=6502
Ashburn,,03/08/2011,The Ashburn Pub,VA,Wing Eating Contest,http://www.theashburnpub.com/TheAshburnPub/theashburnpub.html,http://eatfeats.com/query.php?_table=contests&id=6531
Coupeville,$5 entry fee  </TD>,03/06/2011,MusselFest,WA,Mussel Eating Contest,http://thepenncovemusselfestival.com,http://eatfeats.com/query.php?_table=contests&id=6567
Fulton,,03/06/2011,Oysterfest,TX,Raw Oyster Eating Contest - women,http://fultonoysterfest.org/,http://eatfeats.com/query.php?_table=contests&id=6550
Orlando,,03/05/2011,Mardi Gras Street Festival,FL,Andouille Sausage Eating Contest,http://www.facebook.com/event.php?eid=201122436580297,http://eatfeats.com/query.php?_table=contests&id=6574
Orlando,,03/05/2011,Mardi Gras Street Festival,FL,Beignet Eating Contest,http://www.facebook.com/event.php?eid=201122436580297,http://eatfeats.com/query.php?_table=contests&id=6573
Washington,,03/05/2011,Pica Taco,DC,El Toro Burrito Contest,http://www.facebook.com/pages/PICA-TACO/115302041824915,http://eatfeats.com/query.php?_table=contests&id=6562
North Tonawanda,$10 to enter contest  </TD>,03/05/2011,Nestor's Texas Hots,NY,Hot Dog Eating Contest,http://www.facebook.com/pages/Nestors-Texas-Hots/157684434284688,http://eatfeats.com/query.php?_table=contests&id=6572
Louisville,,03/05/2011,Mardi Gras Festival,KY,King Cake Eating Contest,http://www.4thstlive.com/events.cfm?date=3/5/2011&event=2741,http://eatfeats.com/query.php?_table=contests&id=6552
Coupeville,$5 entry fee  </TD>,03/05/2011,MusselFest,WA,Mussel Eating Contest,http://thepenncovemusselfestival.com,http://eatfeats.com/query.php?_table=contests&id=6566
Ansonia,,03/05/2011,Ansonia Nature Center,CT,Pancake Eating Contest,,http://eatfeats.com/query.php?_table=contests&id=6503
Liberal,,03/05/2011,International Pancake Day,KS,Pancake Eating Contest,http://www.pancakeday.net/,http://eatfeats.com/query.php?_table=contests&id=6555
Fulton,,03/05/2011,Oysterfest,TX,Raw Oyster Eating Contest - men,http://fultonoysterfest.org/,http://eatfeats.com/query.php?_table=contests&id=6549
Jupiter,,03/05/2011,Abacoa Town Center,FL,Wing Eating Contest,,http://eatfeats.com/query.php?_table=contests&id=6542
Knoxville,$15 entry fee  </TD>,03/05/2011,I Love NY Pizza,TN,Yankee Chow Down,http://www.nypizza-knox.com/,http://eatfeats.com/query.php?_table=contests&id=6471
Evanston,"for 2 person teams, need to have entrants receive pledges from sponsors   </TD>",03/04/2011,Bennison's Bakery,IL,Paczki Eating Contest,http://www.bennisonscakes.com/,http://eatfeats.com/query.php?_table=contests&id=6588
St. Louis,,03/02/2011,Joanie's Pizzeria,MO,Spaghetti Eating Contest,http://www.joanies.com/,http://eatfeats.com/query.php?_table=contests&id=6578
St. Louis,$10 entry fee  </TD>,03/01/2011,Hammerstone's,MO,Wing Eating Contest,http://hammerstones.net/,http://eatfeats.com/query.php?_table=contests&id=6557
Winston Salem,,02/28/2011,Bob's Big Gas Subs & Pub,NC,Bob's Big Gastrointestinal Eating Challenge,http://www.bobsbigsubs.com/,http://eatfeats.com/query.php?_table=contests&id=6580
Quakertown,,02/28/2011,Casey's Place,PA,Sausage Eating Contest,http://www.thebarroomblitz.com/,http://eatfeats.com/query.php?_table=contests&id=6571
Clemson,,02/26/2011,BGR The Burger Joint,SC,9 Pound Burger Eat Off,http://www.bgrtheburgerjoint.com/,http://eatfeats.com/query.php?_table=contests&id=6537
Utica,"for 3 person teams, $50 entry fee to benefit Boys & Girls clubs   </TD>",02/26/2011,Celtic Harp,NY,Chili Eating Contest,http://www.facebook.com/pages/The-Celtic-Harp/111004853728,http://eatfeats.com/query.php?_table=contests&id=6427
Savannah,,02/26/2011,Savannah Man Show,GA,Corleone Trattoriaâs Man Vs. Meatball Contest,http://savannahnow.com/manshow,http://eatfeats.com/query.php?_table=contests&id=6565
Ybor City,,02/26/2011,Fiesta Day Flan Fest,FL,Flan eating contest,http://www.ybormarket.com/,http://eatfeats.com/query.php?_table=contests&id=6511
Brownsville,,02/26/2011,Sombrero Festival,TX,Hot Wings Eating Contest,http://www.sombrerofestival.com/,http://eatfeats.com/query.php?_table=contests&id=6585
Williamsville,hands free  </TD>,02/26/2011,Eastern Hills Mall,NY,Ice Cream Eating Contest,http://www.shopeasternhills.com/,http://eatfeats.com/query.php?_table=contests&id=6494
Middletown,Contact:   401 847 7666 </TD>,02/26/2011,IHOP Family Restaurant,RI,IHOP Pancake Eating Contest,http://www.newportevents.com/winterfest/,http://eatfeats.com/query.php?_table=contests&id=6590
Brownsville,,02/26/2011,Sombrero Festival,TX,Jalapeno Eating Contest,http://www.sombrerofestival.com/,http://eatfeats.com/query.php?_table=contests&id=6586
La Habra,original date Feb 12  </TD>,02/26/2011,Chick-fil-A at The La Habra Marketplace,CA,Nugget Eating Contest,http://www.facebook.com/cfalahabra,http://eatfeats.com/query.php?_table=contests&id=6146
Atlanta,,02/26/2011,4th Annual L5P Mardi Gras Music & Food Festival,GA,Oyster Eating Contest,http://www.l5pmardigras.com/home.html,http://eatfeats.com/query.php?_table=contests&id=6521
Clarksville,,02/26/2011,G's Pancake House,TN,Pancake Eating Contest,http://www.yelp.com/biz/gs-pancake-house-clarksville,http://eatfeats.com/query.php?_table=contests&id=6424
Portland,"for 4 person teams,  scavenger hunt, eating competition and urban foot race combination   </TD>",02/26/2011,multiple locations,OR,PDX Cartathlon I,,http://eatfeats.com/query.php?_table=contests&id=6435
Miami Lakes,,02/26/2011,Taste of Miami Lakes,FL,Pizza Eating Contest,http://www.tasteofmiamilakesfestival.com/,http://eatfeats.com/query.php?_table=contests&id=6475
Oak Ridge,$25 entry fee  </TD>,02/26/2011,BBQ Fanatics' Smokin' grill,NJ,Rib Eating Contest,http://bbqfanatics.webs.com/,http://eatfeats.com/query.php?_table=contests&id=6422
Leonardtown,$20 entry fee  </TD>,02/26/2011,Rustic River Bar & Grill,MD,Rib Eating Contest,http://www.rusticriver.net/,http://eatfeats.com/query.php?_table=contests&id=6544
Fort Collins,$5 entry fee  </TD>,02/26/2011,Mo Jeaux's Bar & Grill,CO,Ring of Fire Hot Wing Eating Contest,http://www.facebook.com/pages/Mo-Jeauxs-Bar-Grill/122715541125059,http://eatfeats.com/query.php?_table=contests&id=6569
Brownsville,,02/26/2011,Sombrero Festival,TX,Taco Eating Contest,http://www.sombrerofestival.com/,http://eatfeats.com/query.php?_table=contests&id=6584
Encinitas,$30 Entry or $25 in advance (before 2/20) Fundraiser for San Dieguito Academy Girls Water Polo: Please Email Brie for Entry/More info  <BR>Contact: Brie BrieCardosa@gmail.com 7606960497  </TD>,02/26/2011,Mr. Peabody's,CA,Turkey Taco Showdown!,http://mrpeabodys.net,http://eatfeats.com/query.php?_table=contests&id=6459
Vancouver,,02/26/2011,Lonsdale Quay Market,BC,Wing Eating Contest,,http://eatfeats.com/query.php?_table=contests&id=6561
Albany,$25 entry fee <BR>Contact:   489-4910  </TD>,02/25/2011,Sutterâs Mill & Mining Co.,NY,Steerburger-Eating Contest,http://suttersburgers.com,http://eatfeats.com/query.php?_table=contests&id=6455
Fresno,,07/28/2011,Fresno Grizzlies game,CA,Man Night Eating Contest,http://fresno.grizzlies.milb.com/,http://eatfeats.com/query.php?_table=contests&id=6781
Issaquah,,07/17/2011,Triple X Root Beer Drive-In,WA,Messy Burger Eating Contest,http://triplexrootbeer.com,http://eatfeats.com/query.php?_table=contests&id=6668
Marshall,,07/16/2011,Pastrami Joe's,MI,World Reuben Eating Championship,http://pastramijoes.com,http://eatfeats.com/query.php?_table=contests&id=6607
Lakewood,,07/07/2011,BlueClaws Wing Fling,NJ,Wing Eating Contest,http://blueclaws.com,http://eatfeats.com/query.php?_table=contests&id=6751
Cumming,,07/04/2011,Dutch Monkey Doughnuts,GA,Doughnut Eating Contest,http://www.facebook.com/dutchmonkeydoughnuts,http://eatfeats.com/query.php?_table=contests&id=6641
Elk Grove,,05/21/2011,Old Town Elk Grove Chili Cook Off,CA,Chili Eating Contest,http://www.facebook.com/event.php?eid=115409925149383,http://eatfeats.com/query.php?_table=contests&id=6618
Manhattan,,05/18/2011,Carnegie Deli,NY,World Pickle Eating Championship,http://carnegiedeli.com,http://eatfeats.com/query.php?_table=contests&id=6680
East Petersburg,,05/10/2011,Burkharts' Bakery,PA,"""Can You Whoop the Big Whoop",http://www.facebook.com/burkhartsbakery,http://eatfeats.com/query.php?_table=contests&id=6677
Dallas,,05/05/2011,Mattito's - Routh Street,TX,Bob Armstrong queso-eating contest,http://www.mattitos.com/,http://eatfeats.com/query.php?_table=contests&id=6675
Lake Elsinore,,05/05/2011,Lake Elsinore Storm game,CA,Taco Eating Contest,http://lakeelsinore.storm.milb.com/,http://eatfeats.com/query.php?_table=contests&id=6666
Gatlinburg,,04/28/2011,Ribfest & Wings,TN,Hot wing eating contest,http://www.eventsgatlinburg.com/event_detail.aspx?id=27,http://eatfeats.com/query.php?_table=contests&id=6753
Gatlinburg,,04/28/2011,Ribfest & Wings,TN,Ice cream eating contest,http://www.eventsgatlinburg.com/event_detail.aspx?id=27,http://eatfeats.com/query.php?_table=contests&id=6754
Breckenridge,,04/24/2011,Mi Casa,CO,Taco Eating Contest,http://www.facebook.com/micasabreck,http://eatfeats.com/query.php?_table=contests&id=6776
Boca Raton,,04/23/2011,Talia's Tuscan Table,FL,Italian Sandwich Eating Contest,http://www.taliastable.com/,http://eatfeats.com/query.php?_table=contests&id=6606
Pacific Beach,to benefit Make-A-Wish Foundation  </TD>,04/17/2011,Dirty Bird's,CA,Charity Wing Eating Contest,http://www.facebook.com/dirtybirds,http://eatfeats.com/query.php?_table=contests&id=6747
College Park,for college teams with 10 members  </TD>,04/16/2011,Cornerstone Grill & Loft,MD,1st Annual Collegiate Competitive Eating League National Championship,http://www.cornerstonegrillandloft.com/,http://eatfeats.com/query.php?_table=contests&id=6648
Morrison,,04/16/2011,The Evergreen Bar & Grill,WI,Chili Dog Eating Contest,http://www.facebook.com/pages/The-Evergreen-Bar-Grill/154738546737,http://eatfeats.com/query.php?_table=contests&id=6761
Sanibel,,04/16/2011,Shell Museum,FL,Second Annual Mollusk Festival And Oyster Eating Contest,http://www.shellmuseum.org/,http://eatfeats.com/query.php?_table=contests&id=6678
Milwaukee,,04/09/2011,Real Chili,WI,Real Chili Eating Contest,http://www.facebook.com/pages/Real-Chili/423228800206,http://eatfeats.com/query.php?_table=contests&id=6696
Arlington,donation to Walk for Lupus suggested   </TD>,04/07/2011,Bailey' s Pub and Grille (Ballston Common Mall),VA,Cluck Lupus finals,http://www.facebook.com/BaileysBallston,http://eatfeats.com/query.php?_table=contests&id=6741
Marion,"$100 entry fee, 8 eaters will advance to finals   </TD>",04/02/2011,Poppy's Sports Pub & Grille,OH,Hot Dog Eating Contest Fiinals,http://www.bluefusionfun.com/,http://eatfeats.com/query.php?_table=contests&id=6717
Marathon,,04/02/2011,Maple Festival,NY,Pancake Eating Contest,http://maplefest.org,http://eatfeats.com/query.php?_table=contests&id=6780
Dayton,"qualify by eating 16 inch sub in under 16 minutes before March 20, semifinals held week of March 21   </TD>",04/02/2011,The Submarine House,OH,Super Duper Cheesesteak Challenge Finals,http://www.submarinehouse.com/,http://eatfeats.com/query.php?_table=contests&id=6579
Eighty Four,"$30 entry fee, $20 will go to winner   </TD>",04/01/2011,84 Lounge & Lakes,PA,Wing Eating Contest,http://www.facebook.com/84lounge.lakes,http://eatfeats.com/query.php?_table=contests&id=6616
Arlington,donation to Walk for Lupus suggested   </TD>,03/31/2011,Bailey' s Pub and Grille (Ballston Common Mall),VA,Cluck Lupus qualifier,http://www.facebook.com/BaileysBallston,http://eatfeats.com/query.php?_table=contests&id=6740
Atlanta,$10 entry fee  </TD>,03/31/2011,RA Sushi,GA,Maki Madness,http://www.facebook.com/RAsushiAtlanta,http://eatfeats.com/query.php?_table=contests&id=6735
Londonderry,,03/30/2011,Ninety Nine Restaurant,NH,Wing Eating Contest,http://www.yelp.com/biz/ninety-nine-restaurant-and-pub-londonderry,http://eatfeats.com/query.php?_table=contests&id=6676
Lavalette,,03/29/2011,The Crab's Claw Inn,NJ,Taco Eating Contest,http://www.thecrabsclaw.com/,http://eatfeats.com/query.php?_table=contests&id=6625
Brooklyn,for three teams of four people  </TD>,03/28/2011,The Bell House,NY,The Pizza Packet Pizza Party,http://www.thebellhouseny.com/,http://eatfeats.com/query.php?_table=contests&id=6651
New Orleans,,03/27/2011,New Orleans Roadfood Festival,LA,Beignet Eating Contest,http://www.neworleansroadfoodfestival.com/,http://eatfeats.com/query.php?_table=contests&id=6709
Huntington Beach,$10 entry fee  </TD>,03/27/2011,RA Sushi,CA,Maki Madness,http://www.facebook.com/RAsushiHuntingtonBeach,http://eatfeats.com/query.php?_table=contests&id=6645
Allentown,qualifiers held during March  </TD>,03/27/2011,Big Woody's Sports Bar,PA,Munch Madness Finals,http://www.bigwoodyspizza.com/,http://eatfeats.com/query.php?_table=contests&id=6653
Denver,"for teams of 4, $400 in pledges required to participate   </TD>",03/27/2011,Jax Fish House,CO,Oyster Eating Contest,http://jaxfishhousedenver.com,http://eatfeats.com/query.php?_table=contests&id=6627
Cambridge,,03/26/2011,Atwood's Tavern,MA,Bacon Eating Contest,http://atwoodstavern.com,http://eatfeats.com/query.php?_table=contests&id=6764
Marion,"$100 entry fee, 8 eaters will advance to finals   </TD>",03/26/2011,Poppy's Sports Pub & Grille,OH,Hot Dog Eating Contest 1st round,http://www.bluefusionfun.com/,http://eatfeats.com/query.php?_table=contests&id=6716
Orlando,5 teams of 2 amateurs will be selected   </TD>,03/26/2011,Pie-Fection,FL,Pie-Zilla Challenge,http://pie-fection.com/,http://eatfeats.com/query.php?_table=contests&id=6638
Lexington,,03/26/2011,Southside Pub,KY,Wing Eating Contest,http://www.facebook.com/pages/Southside-Pub/112877158724308,http://eatfeats.com/query.php?_table=contests&id=6755
Arlington,donation to Walk for Lupus suggested   </TD>,03/24/2011,Bailey' s Pub and Grille (Ballston Common Mall),VA,Cluck Lupus qualifier,http://www.facebook.com/BaileysBallston,http://eatfeats.com/query.php?_table=contests&id=6739
Poplar Grove,,03/24/2011,Crosstown Pub,IL,Punisher Challenge,http://www.facebook.com/pages/Crosstown-Pub/247154248953,http://eatfeats.com/query.php?_table=contests&id=6617
Bowling Green,"4 week tournament, for teams of 1-3 people   </TD>",03/22/2011,Qdoba Bowling Green,O,5th Annual Bracketville Burrito Eating Contest,http://www.facebook.com/pages/Qdoba-Bowling-Green-Ohio/105894899371,http://eatfeats.com/query.php?_table=contests&id=6715
Cincinnati,,03/20/2011,Tina's,OH,Cheese coney eating contest,http://www.yelp.com/biz/tinas-cincinnati,http://eatfeats.com/query.php?_table=contests&id=6759
Tustin,$10 entry fee  </TD>,03/20/2011,RA Sushi,CA,Maki Madness,http://www.facebook.com/RAsushiTustin,http://eatfeats.com/query.php?_table=contests&id=6725
Baltimore,,03/20/2011,RA Sushi Baltimore,MD,Maki Madness Sushi Eating Contest,http://www.facebook.com/RASushiBaltimore,http://eatfeats.com/query.php?_table=contests&id=6646
Chicago,contests held at all three Chicagoland RA Sushis   </TD>,03/20/2011,RA Sushi Chicagoland,MD,Maki Madness Sushi Eating Contest,http://www.facebook.com/RAsushiChicagoland,http://eatfeats.com/query.php?_table=contests&id=6647
Boulder,"for teams of 4, $400 in pledges required to participate   </TD>",03/20/2011,Jax Fish House,CO,Oyster Eating Contest,http://jaxfishhouseboulder.com,http://eatfeats.com/query.php?_table=contests&id=4081
Fort Myers Beach,,03/20/2011,Blessing of the Fleet,FL,Shrimp Eating Contest,,http://eatfeats.com/query.php?_table=contests&id=6769
Daytona Beach,,03/20/2011,Spring Break Nationals,FL,Spring Break Nationals Pizza Eating Contest,http://Spring Break Nationals Pizza Eating Contest,http://eatfeats.com/query.php?_table=contests&id=6749
Lakeland,,03/19/2011,Shane's Rib Shack,FL,Big Dad Eating Contest,http://www.facebook.com/ShanesRibShackLakeland,http://eatfeats.com/query.php?_table=contests&id=6771
Kissimmee,,03/19/2011,Kowtown Festival,FL,Hot Dog Eating Contest,http://www.kissimmeemainstreet.com/,http://eatfeats.com/query.php?_table=contests&id=6722
Government Camp,$5 entry fee  </TD>,03/19/2011,Snow Beach Festival at SkiBowl,OR,Hot Dog Eating Contest,http://www.facebook.com/skibowl,http://eatfeats.com/query.php?_table=contests&id=6736
Waukesha,2 contests to be held March 19  </TD>,03/19/2011,The Ultimate Man Zone,WI,OZ's Big Boss Sauce Wing Eating Contest,http://theultimatemanzone.com/,http://eatfeats.com/query.php?_table=contests&id=6656
Bolivar,$50 entry fee  </TD>,03/19/2011,Italian Festival of Mississippi,MS,Spaghetti Eating Contest,http://www.italianfestivalofmississippi.com/,http://eatfeats.com/query.php?_table=contests&id=6699
Daytona Beach,,03/19/2011,Spring Break Nationals,FL,Spring Break Nationals Pizza Eating Contest,http://Spring Break Nationals Pizza Eating Contest,http://eatfeats.com/query.php?_table=contests&id=6748
Waukesha,2 contests to be held March 19  </TD>,03/19/2011,The Ultimate Man Zone,WI,Toppers Tripple Order Eating Contest,http://theultimatemanzone.com/,http://eatfeats.com/query.php?_table=contests&id=6657
Novi,,03/19/2011,Spring Boating Expo,MI,Wing Eating Contest,http://www.boatmichigan.org/content.aspx?page=SpringBoatingExpo,http://eatfeats.com/query.php?_table=contests&id=6643
Florence,,03/18/2011,Muggbees,KY,Banana Eating Contest,http://www.muggbeesbar.com/,http://eatfeats.com/query.php?_table=contests&id=6591
Waukesha,,03/18/2011,The Ultimate Man Zone,WI,OZ's Big Boss Sauce Wing Eating Contest,http://theultimatemanzone.com/,http://eatfeats.com/query.php?_table=contests&id=6655
Waukesha,,03/18/2011,The Ultimate Man Zone,WI,Toppers Tripple Order Eating Contest,http://theultimatemanzone.com/,http://eatfeats.com/query.php?_table=contests&id=6658
