price,description,time,address,name,imageLogo,phone,place,moreInfo,eventDate
,"Deepening Into Sacred Love through Tantra <br />Gently Guided by Evalena Rose of LoveJourney<br />in San Francisco<br /><br />Women Only: 9/19/09<br />Men &amp; Women: 9/20/09<br /><br />A morning Introduction to Tantra and Sacred Sexuality is followed by an afternoon that deepens our explorations into Sacred Love. This deeply-embodied and soulful exploration of presence includes heart-centered exchanges, breath practices, and movement to create joyous openings and profoundly pleasurable interactions.   Learn techniques that activate vital energy centers and create ecstatic states, preparing the body for full body orgasm and the heart for sacred love. Expand your capacity for intimate contact through dyadic exchanges and sacred ritual held in a container of boundaries and unconditional love.  <br />Enjoy the life-transforming work of LoveJourney. <br /><br />707.824.1118  www.lovejourneytantra.com or www.tantraforwomen.com<br /><br />$85 per person if prepaid, $100 thereafter<br />$145 per couple if prepaid, $170 thereafter",(10 AM - 6 PM)For Men & Women,"1749 O'Farrell Street	       	      San Francisco, CA  	      94610",Deepening Into Sacred Love through Tantra,http://www.sfstation.com,707-824-1117,Center for Healing and Expression,http://www.sfstation.com/deepening-into-sacred-love-through-tantra-e535641,"Sat Sep 19, 2009 - Sun Feb 21"
$15 - $20,"Dressy attire recommended for this lovely venue along the water. Saturday, February 27, 2010, 8pm-Midnight.<br /><br />LOCATION: Sinbads Restaurant, Pier 2 along the Embarcadero, next to the famous Ferry Bldg, San Francisco CA 94111. Conveniently located next to BART (Embarcadero Station) and MUNI. Limited $5 valet parking available at the restaurant.<br /><br />SPONSORED by The Society of Single Professionals, the worlds largest non-profit singles organization.<br /><br />DISCOUNT AND MORE SINGLES PARTIES at http://www.thepartyhotline.com<br /><br />TRAVEL with http://www.singlestravelcompany.com<br /><br />LISTEN FREE TO EXPERTS ON DATING at http://www.singlespodcastingnetwork.com",(8pm-Midnight)Meet new friends at this fun pa...,"Pier 2	       	      San Francisco, CA  	      94102",Solid Gold Singles Dance,http://www.sfstation.com,415-507-9962,Sinbad's Pier II Restaurant - the Embarcadero Drive,http://www.sfstation.com/solid-gold-singles-dance-e803091,Sat Feb 27
,Audrey is a singers singer.  She takes risks and leaves you satisfied.  She surprises and thrills with notes that push a melody to new heights.  She turns and coaxes a lyric until it becomes a reflection of your own experience.  She shapes and colors phrasing and rhythm until the music she hears reappears like a Picasso interpretation of a familiar tune.,(8pm-12am)NO COVER,"504 Broadway Street	       	      San Francisco, CA  	      94113",Audrey Shimkas Jazz Trio,http://www.sfstation.com,415.982.6223,Enrico's,http://www.sfstation.com/audrey-shimkas-jazz-trio-e798541,Fri Mar 12
,"TICKETS ON SALE FRIDAY, JANUARY 22 AT 10:00 AM<br /><br />The 11th COACHELLA VALLEY MUSIC &amp; ARTS FESTIVAL will feature a mix of artists ranging from Pavement, Thom Yorke????, Vampire Weekend, Them Crooked Vultures, LCD Soundsystem, Phoenix, Tiësto, Faith No More, Deadmau5, David Guetta, MGMT and Public Image Limited.  Set for Friday, April 16, Saturday, April 17 and Sunday, April 18 at the beautiful Empire Polo Club in Indio, CA--the same grounds where COACHELLA debuted in 1999--the COACHELLA 2010 line-up will feature more than 130 acts. <br /><br />This year's COACHELLA will feature a variety of options to make the concert experience an enjoyable one.  In addition to expanded camping options--including car, RV and traditional tent camping-- COACHELLA will allow, for the first time, in-and-out privileges for all attendees.   Festival goers will once again have the ability to purchase 3-day festival tickets and various onsite camping options via an easy layaway payment plan.  <br />For those looking to streamline the weekends experience, COACHELLA has teamed with Valley Music Travel to provide exclusive travel packages, local hotel shuttle transportation and private home rentals with VIP COACHELLA access.  For more information and to purchase tickets, please visit www.valleymusictravel.com/coachella.php.<br /><br />FRIDAY APRIL 16:  Jay-Z, LCD Soundsystem, Them Crooked Vultures, Vampire Weekend, Deadmau5, Public Image Limited, The Specials, Grizzly Bear, Passion Pit, Echo and the Bunnymen, Benny Benassi, Fever Ray, Grace Jones, She &amp; Him, Erol Alkan, The Avett Brothers, Calle 13, The Whitest Boy Alive, The Cribs, La Roux, Yeasayer, Lucero, DJ Lance Rock, The Dillinger Escape Plan, Proxy, Ra Ra Riot, Deer Tick, Wolfgang Gartner, Aeroplane, Iglu &amp; Hartly, Sleigh Bells, P.O.S., Baroness, Hockey, Little Dragon, White Rabbits, Wale, Kate Miller-Heidke, As Tall as Lions, Jets Overhead, Alana Grace, Pablo Hassan.<br /><br />Listen: http://lala.com/zzY2I<br /><br />SATURDAY, APRIL 17:  Muse, Faith No More, Tiësto, MGMT, David Guetta, The Dead Weather, Hot Chip, Devo, Coheed and Cambria, Kaskade, 2Many DJ's, Major Lazer, Dirty Projectors, Gossip, Z-Trip, The xx, John Waters, Les Claypool, The Raveonettes, Mew, Sia, Camera Obscura, Tokyo Police Club, Porcupine Tree, Old Crow Medicine Show, Aterciopalados, Bassnectar, Frightened Rabbit, Dirty South, Flying Lotus, Corinne Bailey Rae, Pretty Lights, Shooter Jennings, RX Bandits, The Almighty Defenders, Edward Sharp and the Magnetic Zeros, Craze &amp; Klever, Zoe, The Temper Trap, Portugal. The Man, Band of Skulls, Girls, Beach House, Steel Train, Frank Turner.<br /><br />SUNDAY, APRIL 18:  Gorillaz, Pavement, Thom Yorke????, Phoenix, Orbital, Spoon, Sly and the Family Stone, De La Soul, Julian Casablancas, Plastikman, Gary Numan, Charlotte Gainsbourg, Sunny Day Real Estate, Yo La Tengo, MUTEMATH, Deerhunter, Infected Mushroom, Club 75, Matt &amp; Kim, The Big Pink, Gil Scott-Heron, King Khan and the Shrines, Florence and the Machine, Yann Tiersen, Little Boots, Miike Snow, Talvin Singh, Ceu, B.o.B., Babasonicos, Owen Pallett, The Glitch Mob, Mayer Hawthorne, Local Natives, Rusko, The Middle East, Hadouken!, The Soft Pack, Kevin Devine, Paparazzi, Delphic, One EskimO.<br /><br />Tickets for COACHELLA go on sale Friday, January 22 at 10:00 AM at all Ticketmaster locations and www.coachella.com. Three-day weekend passes are $269.00, plus surcharges.  More details on layaway, camping options and up-to-the minute information, can be found at www.coachella.com.  COACHELLA 2010 sponsors include Heineken and PlayStation.",(all day)Listen to the lineup on Lala: h...,"81-800 AVENUE 51 	       	      San Francisco, CA  	      92201",Coachella Valley Music &amp; Arts Festival,http://www.sfstation.com/images/ev/91/501491a_tn220x220.jpg,,Empire Polo Fields,http://www.sfstation.com/coachella-valley-music-and-arts-festival-e501491,Fri Apr 16 - Sun Apr 18
,"TICKETS ON SALE FRIDAY, JANUARY 22 AT 10:00 AM<br /><br />The 11th COACHELLA VALLEY MUSIC &amp; ARTS FESTIVAL will feature a mix of artists ranging from Pavement, Thom Yorke????, Vampire Weekend, Them Crooked Vultures, LCD Soundsystem, Phoenix, Tiësto, Faith No More, Deadmau5, David Guetta, MGMT and Public Image Limited.  Set for Friday, April 16, Saturday, April 17 and Sunday, April 18 at the beautiful Empire Polo Club in Indio, CA--the same grounds where COACHELLA debuted in 1999--the COACHELLA 2010 line-up will feature more than 130 acts. <br /><br />This year's COACHELLA will feature a variety of options to make the concert experience an enjoyable one.  In addition to expanded camping options--including car, RV and traditional tent camping-- COACHELLA will allow, for the first time, in-and-out privileges for all attendees.   Festival goers will once again have the ability to purchase 3-day festival tickets and various onsite camping options via an easy layaway payment plan.  <br />For those looking to streamline the weekends experience, COACHELLA has teamed with Valley Music Travel to provide exclusive travel packages, local hotel shuttle transportation and private home rentals with VIP COACHELLA access.  For more information and to purchase tickets, please visit www.valleymusictravel.com/coachella.php.<br /><br />FRIDAY APRIL 16:  Jay-Z, LCD Soundsystem, Them Crooked Vultures, Vampire Weekend, Deadmau5, Public Image Limited, The Specials, Grizzly Bear, Passion Pit, Echo and the Bunnymen, Benny Benassi, Fever Ray, Grace Jones, She &amp; Him, Erol Alkan, The Avett Brothers, Calle 13, The Whitest Boy Alive, The Cribs, La Roux, Yeasayer, Lucero, DJ Lance Rock, The Dillinger Escape Plan, Proxy, Ra Ra Riot, Deer Tick, Wolfgang Gartner, Aeroplane, Iglu &amp; Hartly, Sleigh Bells, P.O.S., Baroness, Hockey, Little Dragon, White Rabbits, Wale, Kate Miller-Heidke, As Tall as Lions, Jets Overhead, Alana Grace, Pablo Hassan.<br /><br />Listen: http://lala.com/zzY2I<br /><br />SATURDAY, APRIL 17:  Muse, Faith No More, Tiësto, MGMT, David Guetta, The Dead Weather, Hot Chip, Devo, Coheed and Cambria, Kaskade, 2Many DJ's, Major Lazer, Dirty Projectors, Gossip, Z-Trip, The xx, John Waters, Les Claypool, The Raveonettes, Mew, Sia, Camera Obscura, Tokyo Police Club, Porcupine Tree, Old Crow Medicine Show, Aterciopalados, Bassnectar, Frightened Rabbit, Dirty South, Flying Lotus, Corinne Bailey Rae, Pretty Lights, Shooter Jennings, RX Bandits, The Almighty Defenders, Edward Sharp and the Magnetic Zeros, Craze &amp; Klever, Zoe, The Temper Trap, Portugal. The Man, Band of Skulls, Girls, Beach House, Steel Train, Frank Turner.<br /><br />SUNDAY, APRIL 18:  Gorillaz, Pavement, Thom Yorke????, Phoenix, Orbital, Spoon, Sly and the Family Stone, De La Soul, Julian Casablancas, Plastikman, Gary Numan, Charlotte Gainsbourg, Sunny Day Real Estate, Yo La Tengo, MUTEMATH, Deerhunter, Infected Mushroom, Club 75, Matt &amp; Kim, The Big Pink, Gil Scott-Heron, King Khan and the Shrines, Florence and the Machine, Yann Tiersen, Little Boots, Miike Snow, Talvin Singh, Ceu, B.o.B., Babasonicos, Owen Pallett, The Glitch Mob, Mayer Hawthorne, Local Natives, Rusko, The Middle East, Hadouken!, The Soft Pack, Kevin Devine, Paparazzi, Delphic, One EskimO.<br /><br />Tickets for COACHELLA go on sale Friday, January 22 at 10:00 AM at all Ticketmaster locations and www.coachella.com. Three-day weekend passes are $269.00, plus surcharges.  More details on layaway, camping options and up-to-the minute information, can be found at www.coachella.com.  COACHELLA 2010 sponsors include Heineken and PlayStation.",(all day),"81-800 AVENUE 51 	       	      San Francisco, CA  	      92201",Coachella Valley Music &amp; Arts Festival,http://www.sfstation.com/images/ev/91/501491a_tn220x220.jpg,,Empire Polo Fields,http://www.sfstation.com/coachella-valley-music-and-arts-festival-e501491,Fri Apr 16 - Sun Apr 18
$5 - $25,"Musicians and music fans, get informed and get inspired with Blue Bear's new Master Artist Series. On Saturday, March 13, the brand new duo Skerdio - i.e., Skerik and Radioactive - joins Blue Bear for an evening of performance, technique discussion and Q&amp;A. It's a unique opportunity to connect with well-established musicians in an intimate setting. All ages are welcome to this event, and advance tickets are highly recommended, as recent Master Artist Series events sold out in advance. <br /><br />Renowned saxophonist and Bay Area favorite Skerik (Critters Buggin, Dead Kenny G's, Garage a Trois, Syncopated Taint Septet, Roger Waters, Les Claypool) will bring his latest electronics set up that allows him to efficiently change timbres, sounds and directions. He will demonstrate signal path, unity gain and survival in the electronic music world, meaning survival techniques using any sound system found in any club, theater, church or cult headquarters. From microphones to monitors and everything between, mysteries will be unveiled. <br /><br />Worldwide underground legend emcee and beatboxer Radioactive (New Native, Top Four Flights, New Clear Vission, True World Order, and formerly of Michael Franti and Spearhead), who holds two Australian Gold Records, will teach standard beatboxing, mic rocking, looping, lyric writing and hook making. He'll also explain crowd participation, mic control, stage presence, album concepts, marketing strategies, freestyling and tour expectations.<br /><br />Random tips for saxophonists, lyricists, beatboxers and musicians of all types will be brought forth. These two creative characters are joining forces for one night only - don't miss it!",(6:00-7:30pm)All ages welcome,"Bldg. D, Fort Mason Center	       	      San Francisco, CA  	      94123",Skerdio: Saxophonist Skerik and Emcee/Beatboxer Radioactive,http://www.sfstation.com,415-673-3600,Blue Bear School of Music,http://www.sfstation.com/skerdio-saxophonist-skerik-and-emcee-beatboxer-radioactive-e815541,Sat Mar 13
,"Come to the Hard Rock Cafe for your chance to win a FREE pair of tickets, VIP party access and rockin' party bus transport to SFs' legendary Warfield theater. and the smash show THE JIMI HENDRIX EXPERIENCE, all for free, and at no cost to enter.<br /><br />-Enter to win from 4:00-5:45 at Hard Rock Cafe, Pier 39, San <br /> Francisoc CA. <br />-First Come first served. <br />-One entry per person. <br />-Winners will be drawn at 5:45 and party starts promptly at  <br /> 6:00 pm. <br />-VIP transport leaves from Hard Rock Cafe at 7:30. <br />-WINNERS MUST BE PRESENT TO WIN, and 18+ (do not have to ride <br /> transport).",(4:00PM-5:45PM)Winners will be drawn at 5:45 a...,"1 Beach St.  Pier 39 Bldg Q-1	       	      San Francisco, CA  	      94133",VIP Party and Show Tickets for Experience Hendrix,http://www.sfstation.com,415-956-2013,Hard Rock Cafe,http://www.sfstation.com/vip-party-and-show-tickets-for-experience-hendrix-e812891,Thu Mar 11
,"Deepening Into Sacred Love through Tantra <br />Gently Guided by Evalena Rose of LoveJourney<br />in San Francisco<br /><br />Women Only: 9/19/09<br />Men &amp; Women: 9/20/09<br /><br />A morning Introduction to Tantra and Sacred Sexuality is followed by an afternoon that deepens our explorations into Sacred Love. This deeply-embodied and soulful exploration of presence includes heart-centered exchanges, breath practices, and movement to create joyous openings and profoundly pleasurable interactions.   Learn techniques that activate vital energy centers and create ecstatic states, preparing the body for full body orgasm and the heart for sacred love. Expand your capacity for intimate contact through dyadic exchanges and sacred ritual held in a container of boundaries and unconditional love.  <br />Enjoy the life-transforming work of LoveJourney. <br /><br />707.824.1118  www.lovejourneytantra.com or www.tantraforwomen.com<br /><br />$85 per person if prepaid, $100 thereafter<br />$145 per couple if prepaid, $170 thereafter",(10:00AM to 6:00PM)For Women Only,"1749 O'Farrell Street	       	      San Francisco, CA  	      94610",Deepening Into Sacred Love through Tantra,http://www.sfstation.com,707-824-1117,Center for Healing and Expression,http://www.sfstation.com/deepening-into-sacred-love-through-tantra-e535641,"Sat Sep 19, 2009 - Sun Feb 21"
,"Veronica Klaus is a San Francisco Cabaret Icon well known for her soulful renditions of jazz, blues and cabaret music such as on her latest CD &quot;Veronica Klaus-Live at the Lodge!&quot; She recently finished a highly successful run of her critically acclaimed autobiographical show Family Jewels-The Making of Veronica Klaus. The San Francisco Chronicle lauds her as &quot;A beautifully expressive and tuneful song stylist..who is brassy and confident onstage!' She was voted Best Chanteuse by SF Bay Guardian.",(8pm-12am)NO COVER,"504 Broadway Street	       	      San Francisco, CA  	      94113",Veronica Klaus JAZZ/BLUES/SOUL,http://www.sfstation.com,415.982.6223,Enrico's Sidewalk Cafe,http://www.sfstation.com/veronica-klaus-jazz-blues-soul-e798411,Fri Mar 26
,"Considered a true entertainer, T.J. has a three octave range, and a voice that is mesmerizing, rich and powerful! One minute she is belting out a tune reminiscent of Chaka Khan, and the next, singing a ballad in the sultry husky tones of Sarah Vaughn. Her voice is a true instrument and she takes you on a musical journey, painting a picture with her voice through the interpretation of the lyrics.",(7:30- 11:30pm)NO COVER,"504 Broadway Street	       	      San Francisco, CA  	      94113",Tonette Jeanine &quot;Songbird&quot;,http://www.sfstation.com,415.982.6223,Enrico's,http://www.sfstation.com/tonette-jeanine-songbird-e792411,Fri Feb 12 - Thu Mar 25
$20 - $40,"Tell It Slant, a new musical drama about the youthful love of poet Emily Dickinson, by Sharmon J. Hilfinger and composer Joan McMillen.  April 17  May 16, Southside Theater at Fort Mason Center, Building D, Marina Blvd. &amp; Buchanan St., San Francisco.  Performances are Fridays &amp; Saturdays at 8:00 pm, Sunday matinees at 2:00 pm, and three Sunday evenings, April 25, May 2, May 9 at 8:00 p.m.  Preview April 16 at 8:00 pm. Tickets $20 - $40. (415) 433-1235, www.tixbayarea.com",(8:00 pm),"In Fort Mason Center	       	      San Francisco, CA  	      94123",Tell It Slant,http://www.sfstation.com,415-433-1235,Southside Theater,http://www.sfstation.com/tell-it-slant-e818631,Sat Apr 17 - Sun May 16
$20 - $40,"Tell It Slant, a new musical drama about the youthful love of poet Emily Dickinson, by Sharmon J. Hilfinger and composer Joan McMillen.  April 17  May 16, Southside Theater at Fort Mason Center, Building D, Marina Blvd. &amp; Buchanan St., San Francisco.  Performances are Fridays &amp; Saturdays at 8:00 pm, Sunday matinees at 2:00 pm, and three Sunday evenings, April 25, May 2, May 9 at 8:00 p.m.  Preview April 16 at 8:00 pm. Tickets $20 - $40. (415) 433-1235, www.tixbayarea.com",(2:00 pm),"In Fort Mason Center	       	      San Francisco, CA  	      94123",Tell It Slant,http://www.sfstation.com,415-433-1235,Southside Theater,http://www.sfstation.com/tell-it-slant-e818631,Sat Apr 17 - Sun May 16
$20 - $40,"Tell It Slant, a new musical drama about the youthful love of poet Emily Dickinson, by Sharmon J. Hilfinger and composer Joan McMillen.  April 17  May 16, Southside Theater at Fort Mason Center, Building D, Marina Blvd. &amp; Buchanan St., San Francisco.  Performances are Fridays &amp; Saturdays at 8:00 pm, Sunday matinees at 2:00 pm, and three Sunday evenings, April 25, May 2, May 9 at 8:00 p.m.  Preview April 16 at 8:00 pm. Tickets $20 - $40. (415) 433-1235, www.tixbayarea.com","(2:00 pm, 8:00 pm)","In Fort Mason Center	       	      San Francisco, CA  	      94123",Tell It Slant,http://www.sfstation.com,415-433-1235,Southside Theater,http://www.sfstation.com/tell-it-slant-e818631,Sat Apr 17 - Sun May 16
,"Los nadies have created one of the freshest sounds to come out of the Bay Areas Latin <br />music scene in a long time.  Filling a vacuum in Northern California that their southern counterparts <br />Ozomatli deliver so well in L.A., Los Nadies bring a keen mix of politics, poetry, street party and <br />musicianship every time they step on to a stage. Their unique blend of rock, nueva trova, South <br />American folklore and Afro-Latin rhythms follows and expands on the tradition of celebration and <br />protest put forth by musicians like Silvio Rodríguez, Manu Chao, and Santana.   <br /><br />Front man Juán Cubas vocals, along with José Vergelíns drums, and Francisco Ferrers lead <br />guitar, serve as the anchor for the band, having played together for over a decade in Bay Area <br />Latin rock bands like Zudaka and Santero. Multitalented percussionist Garsha Shavankhani  brings <br />an array of Afro-Peruvian, Afro-Cuban and Flamenco experience into the bands cache of rhythmic <br />arsenal.  Along with Cuba, guitarist Mateo Nube composes the bands lyrics and shares in vocal <br />duties.  Bassist Marco Bianchi is the newest addition to the Los nadies family.<br />Los nadies take their name from a poem/essay by Uruguayan historian Eduardo Galeano decrying <br />the invisibility cast upon the millions of dispossessed people around the world.",(7:30pm-11:30pm)NO COVER,"504 Broadway Street	       	      San Francisco, CA  	      94113",Los Nadies,http://www.sfstation.com,,Enrico's,http://www.sfstation.com/los-nadies-e818921,Thu Mar 18
