allDates,moreInfoLink,name,address,city,price,description,venueName,state,image
02/27/2011,http://www.villagevoice.com/events/cellular-chaos-satanized-2390747/,Cellular Chaos+Satanized,152 Ludlow St.,New York,$7,,Cake Shop,NY,
02/27/2011,http://www.villagevoice.com/events/jesse-cook-2390690/,Jesse Cook,237 W. 42nd St.,New York,$30-$35,,B.B. King Blues Club & Grill,NY,
02/27/2011,http://www.villagevoice.com/events/local-x-local-bear-hands-2390739/,'Local X Local: Bear Hands',61 Wythe Ave.,Brooklyn,free,,Brooklyn Bowl,NY,
02/27/2011,http://www.villagevoice.com/events/jae-millz-2398502/,Jae Millz,70 North 6th St.,Brooklyn,$20,,Public Assembly,NY,
02/27/2011,http://www.villagevoice.com/events/the-pendulum-swings-gigi-and-pop-2398652/,The Pendulum Swings+Gigi & Pop,245 Grand Street,Brooklyn,$7,,Bruar Falls,NY,
02/27/2011,http://www.villagevoice.com/events/big-search-bow-ribbons-hiro-kone-2398578/,Big Search+Bow Ribbons+Hiro Kone,289 Kent Ave.,Brooklyn,$8,,Glasslands Gallery,NY,
02/27/2011,http://www.villagevoice.com/events/the-relatives-father-figures-2398526/,The Relatives+Father Figures,125 Fifth Ave.,Brooklyn,$10,,Southpaw,NY,
02/27/2011,http://www.villagevoice.com/events/athan-and-trapped-in-static-the-quelle-source-2398550/,Athan & Trapped in Static+the Quelle Source,256 Grand St.,Brooklyn,$7,,The Trash Bar,NY,
02/27/2011,http://www.villagevoice.com/events/dysfunctional-family-jazz-band-2398507/,Dysfunctional Family Jazz Band,375 Third Ave.,New York,,,Rodeo Bar,NY,
02/27/2011,http://www.villagevoice.com/events/bruce-lamont-lichens-kevin-hufnagel-2398685/,Bruce Lamont+Lichens+Kevin Hufnagel,484 Union Ave.,Brooklyn,,,Union Pool,NY,
02/27/2011,http://www.villagevoice.com/events/school-of-rock-best-of-season-show-2390775/,'School of Rock: Best of Season Show',431 W. 16th St.,New York,$15,,Highline Ballroom,NY,
02/28/2011,http://www.villagevoice.com/events/janine-jansen-2394103/,Janine Jansen,158 Bleecker St.,New York,$25,,(le) Poisson Rouge,NY,
02/28/2011,http://www.villagevoice.com/events/friends-grand-rapids-gunfight-2398569/,Friends+Grand Rapids+Gunfight,49 S. 2nd St.,Brooklyn,$7,,Death By Audio,NY,
02/28/2011,http://www.villagevoice.com/events/elcodeck-discovery-adrienne-mack-davis-2398527/,Elcodeck+Discovery+Adrienne Mack Davis,125 Fifth Ave.,Brooklyn,$8,,Southpaw,NY,
02/28/2011,http://www.villagevoice.com/events/the-kickdrums-the-rza-2390740/,The Kickdrums+the RZA,61 Wythe Ave.,Brooklyn,free,,Brooklyn Bowl,NY,
02/28/2011,http://www.villagevoice.com/events/the-kobolds-old-monk-teen-girl-2390748/,The Kobolds+Old Monk+Teen Girl,152 Ludlow St.,New York,free,,Cake Shop,NY,
02/28/2011,http://www.villagevoice.com/events/motorhead-clutch-valient-thorr-2398676/,Motorhead+Clutch+Valient Thorr,1515 Broadway,New York,sold out,,Best Buy Theatre Times Square,NY,
02/28/2011,http://www.villagevoice.com/events/slow-motion-centerfold-avan-lava-mancie-2398492/,Slow Motion Centerfold+Avan Lava+Mancie,158 Ludlow St.,New York,$8,,Pianos,NY,
02/28/2011,http://www.villagevoice.com/events/the-so-so-glos-lady-lamb-the-beekeeper-bow-ribbons-2398561/,The So So Glos+Lady Lamb the Beekeeper+Bow Ribbons,125 E. 11th St.,New York,free,,Webster Hall,NY,
02/28/2011,http://www.villagevoice.com/events/subject-of-the-question-luster-drum-the-jaguar-2398552/,Subject of the Question+Luster+Drum the Jaguar,256 Grand St.,Brooklyn,$7,,The Trash Bar,NY,
02/28/2011,http://www.villagevoice.com/events/brick-and-mortar-the-city-music-project-2394185/,Brick & Mortar+the City Music Project,217 E. Houston St.,New York,$8,,Mercury Lounge,NY,
02/28/2011,http://www.villagevoice.com/events/western-caravan-2398513/,Western Caravan,375 Third Ave.,New York,,,Rodeo Bar,NY,
03/01/2011,http://www.villagevoice.com/events/nik-bartschs-ronin-2394104/,'Nik Bartsch's Ronin',158 Bleecker St.,New York,$20,,(le) Poisson Rouge,NY,
03/01/2011,http://www.villagevoice.com/events/luz-hawthorne-kelley-mcrae-2394124/,Luz+Hawthorne+Kelley McRae,154 Ludlow St.,New York,,,Living Room,NY,
03/01/2011,http://www.villagevoice.com/events/murder-by-death-fake-problems-buried-beds-2390729/,Murder By Death+Fake Problems+Buried Beds,6 Delancey,New York,$16,,Bowery Ballroom,NY,
03/01/2011,http://www.villagevoice.com/events/quok-seabrook-power-plant-the-dreebs-2398570/,Quok+Seabrook Power Plant+the Dreebs,49 S. 2nd St.,Brooklyn,$7,,Death By Audio,NY,
03/01/2011,http://www.villagevoice.com/events/quiet-lights-mansions-and-junipers-for-a-minor-reflection-2398690/,Quiet Lights+Mansions & Junipers+For A Minor Reflection,249 4th Avenue,Brooklyn,$8,,The Rock Shop,NY,
03/01/2011,http://www.villagevoice.com/events/at-a-distance-corrupt-autopilot-luluc-2398493/,At a Distance+Corrupt Autopilot+Luluc,158 Ludlow St.,New York,$8,,Pianos,NY,
03/01/2011,http://www.villagevoice.com/events/merce-2398533/,Merce,Avenue C at East 2nd Street,New York,$10,,The Stone,NY,
03/01/2011,http://www.villagevoice.com/events/west-the-defender-the-go-round-2398553/,West the Defender+the Go Round,256 Grand St.,Brooklyn,$7,,The Trash Bar,NY,
03/01/2011,http://www.villagevoice.com/events/young-magic-wise-blood-emil-and-friends-2398583/,Young Magic+Wise Blood+Emil & Friends,289 Kent Ave.,Brooklyn,$8-$10,,Glasslands Gallery,NY,
03/01/2011,http://www.villagevoice.com/events/jonathan-tiersten-and-ten-tiers-david-fagan-2394169/,Jonathan Tiersten & Ten Tiers+David Fagan,1039 Washington St.,Hoboken,$10,,Maxwell's,NJ,
03/01/2011,http://www.villagevoice.com/events/communal-vibe-2394114/,Communal Vibe,93 Second Ave.,New York,$6,,Lit Lounge,NY,
03/01/2011,http://www.villagevoice.com/events/five-oclock-heroes-the-nowherenauts-2394187/,Five O'Clock Heroes+the NowhereNauts,217 E. Houston St.,New York,$10,,Mercury Lounge,NY,
03/01/2011,http://www.villagevoice.com/events/kings-and-liars-master-arrow-2390759/,Kings & Liars+Master Arrow,105 Eldridge St.,New York,$7,,Fontana's,NY,
03/01/2011,http://www.villagevoice.com/events/tom-carter-2398534/,Tom Carter,Avenue C at East 2nd Street,New York,$10,,The Stone,NY,
03/01/2011,http://www.villagevoice.com/events/superhuman-happiness-chico-mann-2394105/,Superhuman Happiness+Chico Mann,158 Bleecker St.,New York,$10,,(le) Poisson Rouge,NY,
03/02/2011,http://www.villagevoice.com/events/the-pretty-reckless-2411731/,The Pretty Reckless,100 Lafayette St.,New York,$15-$40,,Santos' Party House,NY,
03/02/2011,http://www.villagevoice.com/events/summer-camp-high-highs-2406023/,Summer Camp+High Highs,217 E. Houston St.,New York,$10,,Mercury Lounge,NY,
03/02/2011,http://www.villagevoice.com/events/chris-thile-and-gabriel-kahane-2405885/,Chris Thile & Gabriel Kahane,158 Bleecker St.,New York,$30,,(le) Poisson Rouge,NY,
03/02/2011,http://www.villagevoice.com/events/amy-miles-milton-baby-dayliner-2406034/,Amy Miles+Milton+Baby Dayliner,327 Bowery,New York,,,Bowery Electric,NY,
03/02/2011,http://www.villagevoice.com/events/witness-a-downfall-victor-made-a-time-machine-2406045/,Witness a Downfall+Victor Made a Time Machine,9 Great Jones,New York,$8,,Ace of Clubs,NY,
03/02/2011,http://www.villagevoice.com/events/flogging-molly-moneybrother-the-drowning-men-2411845/,Flogging Molly+Moneybrother+the Drowning Men,610 W. 56th St.,New York,$33.50-$35,,Terminal 5,NY,
03/02/2011,http://www.villagevoice.com/events/schrodingers-other-cat-parple-will-duvall-2411795/,Schrodinger's Other Cat+Parple+Will Duvall,214 Sullivan St.,New York,$10,,Sullivan Hall,NY,
03/02/2011,http://www.villagevoice.com/events/the-wiyo-the-weal-and-woe-2412122/,The Wiyo+the Weal & Woe,249 4th Avenue,Brooklyn,$10,,The Rock Shop,NY,
03/02/2011,http://www.villagevoice.com/events/brownbird-rudy-relic-bougarelli-danydany-2406096/,Brownbird Rudy Relic+Bougarelli+Danydany,152 Ludlow St.,New York,$7,,Cake Shop,NY,
03/02/2011,http://www.villagevoice.com/events/the-buck-offs-jonie-blinman-phil-common-2412129/,The Buck-offs+Jonie Blinman+Phil Common,159 E. Houston St.,New York,,,National Underground,NY,
03/02/2011,http://www.villagevoice.com/events/dark-inc-haircut-1234-marks-2411899/,Dark Inc.+Haircut 1234+Marks,256 Grand St.,Brooklyn,$7,,The Trash Bar,NY,
03/02/2011,http://www.villagevoice.com/events/anthony-david-the-revelations-2406183/,Anthony David+the Revelations,431 W. 16th St.,New York,$12-$15,,Highline Ballroom,NY,
03/02/2011,http://www.villagevoice.com/events/the-explosed-blues-duo-2405998/,The ExPlosed Blues Duo,376 9th St.,Brooklyn,$10,,Barbes,NY,
03/02/2011,http://www.villagevoice.com/events/the-get-up-kids-2411997/,The Get Up Kids,125 E. 11th St.,New York,$25-$30,,Webster Hall,NY,
03/02/2011,http://www.villagevoice.com/events/me-and-mars-koonda-holaa-john-makay-2411708/,Me & Mars+Koonda Holaa+John Makay,158 Ludlow St.,New York,$8,,Pianos,NY,
03/02/2011,http://www.villagevoice.com/events/oceanographer-minor-stars-the-wicked-tomorrow-2412060/,Oceanographer+Minor Stars+the Wicked Tomorrow,245 Grand Street,Brooklyn,$7,,Bruar Falls,NY,
03/02/2011,http://www.villagevoice.com/events/prince-rama-amen-dunes-sex-worker-2412040/,Prince Rama+Amen Dunes+Sex Worker,289 Kent Ave.,Brooklyn,$8-$10,,Glasslands Gallery,NY,
03/02/2011,http://www.villagevoice.com/events/the-ricecookers-cheer-2406156/,The Ricecookers+cheer,105 Eldridge St.,New York,$7,,Fontana's,NY,
03/02/2011,http://www.villagevoice.com/events/tennis-la-sera-holiday-shores-2406051/,Tennis+La Sera+Holiday Shores,6 Delancey,New York,$13-$15,,Bowery Ballroom,NY,
03/02/2011,http://www.villagevoice.com/events/rafael-toral-ben-hall-2406253/,Rafael Toral+Ben Hall,232 3rd St.,Brooklyn,$12,,Issue Project Room,NY,
03/02/2011,http://www.villagevoice.com/events/john-waite-jenna-andrews-2405987/,John Waite+Jenna Andrews,237 W. 42nd St.,New York,$25-$30,,B.B. King Blues Club & Grill,NY,
03/02/2011,http://www.villagevoice.com/events/mohammad-dangerfield-and-da-circle-2411742/,Mohammad Dangerfield & Da Circle,204 Varick St.,New York,$12,,S.O.B.'s,NY,
03/02/2011,http://www.villagevoice.com/events/fake-babies-heroes-and-zeros-2405899/,Fake Babies+Heroes & Zeros,93 Second Ave.,New York,$6,,Lit Lounge,NY,
03/02/2011,http://www.villagevoice.com/events/the-heavy-pets-buzzuniverse-2406002/,The Heavy Pets+BuzzUniverse,1039 Washington St.,Hoboken,$10,,Maxwell's,NJ,
03/02/2011,http://www.villagevoice.com/events/holger-deleted-scenes-some-community-2412018/,Holger+Deleted Scenes+Some Community,49 S. 2nd St.,Brooklyn,$7,,Death By Audio,NY,
03/02/2011,http://www.villagevoice.com/events/janka-nabay-and-the-bubu-gang-bonjay-dutch-e-germ-2412072/,Janka Nabay & the Bubu Gang+Bonjay+Dutch E Germ,361 Metropolitan Ave.,Brooklyn,$10-$12,,Knitting Factory,NY,
03/02/2011,http://www.villagevoice.com/events/maxwell-peebles-call-of-the-wild-new-tongues-2412107/,Maxwell Peebles+Call of the Wild+New Tongues,484 Union Ave.,Brooklyn,,,Union Pool,NY,
03/02/2011,http://www.villagevoice.com/events/april-smith-and-the-great-picture-show-the-orion-experience-2406020/,April Smith & the Great Picture Show+the Orion Experience,217 E. Houston St.,New York,$10,,Mercury Lounge,NY,
03/02/2011,http://www.villagevoice.com/events/billy-woodward-and-the-senders-the-high-irons-nathan-xander-2411749/,Billy Woodward & the Senders+the High Irons+Nathan Xander,125 Fifth Ave.,Brooklyn,,,Southpaw,NY,
03/02/2011,http://www.villagevoice.com/events/blank-baby-and-the-adults-2411724/,Blank Baby & the Adults,375 Third Ave.,New York,,,Rodeo Bar,NY,
03/02/2011,http://www.villagevoice.com/events/nate-wooley-and-laul-pytton-2411776/,Nate Wooley & Laul Pytton,Avenue C at East 2nd Street,New York,$10,With Ikue Mori at late show.</p>,The Stone,NY,
03/03/2011,http://www.villagevoice.com/events/bryan-dunn-band-union-street-preservation-society-mark-and-lola-2412131/,Bryan Dunn Band+Union Street Preservation Society+Mark & Lola,159 E. Houston St.,New York,,,National Underground,NY,
03/03/2011,http://www.villagevoice.com/events/the-read-y-set-2406174/,The Read y Set,127 E. 23rd St.,New York,$14,,Gramercy Theater,NY,
03/03/2011,http://www.villagevoice.com/events/the-yes-way-courtesy-tier-the-aviation-orange-2406035/,The Yes Way+Courtesy Tier+the Aviation Orange,327 Bowery,New York,,,Bowery Electric,NY,
03/03/2011,http://www.villagevoice.com/events/sean-bones-new-numbers-heavenly-states-2412123/,Sean Bones+New Numbers+Heavenly States,249 4th Avenue,Brooklyn,$10,,The Rock Shop,NY,
03/03/2011,http://www.villagevoice.com/events/libel-the-new-colossus-eula-2411982/,Libel+the New Colossus+Eula,702 Union St.,Brooklyn,$6,,Union Hall,NY,
03/03/2011,http://www.villagevoice.com/events/smith-westerns-unknown-mortal-orchestra-computer-magic-2406025/,Smith Westerns+Unknown Mortal Orchestra+Computer Magic,217 E. Houston St.,New York,sold out,,Mercury Lounge,NY,
03/03/2011,http://www.villagevoice.com/events/arborea-matteah-baim-helena-espvall-2412093/,Arborea+Matteah Baim+Helena Espvall,622 Degraw St.,Brooklyn,$10,,Littlefield,NY,
03/03/2011,http://www.villagevoice.com/events/dirty-beaches-yellowfever-widowspeak-2412042/,Dirty Beaches+YellowFever+Widowspeak,289 Kent Ave.,Brooklyn,$10,,Glasslands Gallery,NY,
03/03/2011,http://www.villagevoice.com/events/dummy-jar-goodbye-january-big-mosey-2411900/,Dummy Jar+Goodbye January+Big Mosey,256 Grand St.,Brooklyn,$7,,The Trash Bar,NY,
03/03/2011,http://www.villagevoice.com/events/dynasty-electric-ski-beatz-and-the-senseis-the-flowdown-2406124/,Dynasty Electric+Ski Beatz & the Sensei's+the Flowdown,285 W. Broadway,New York,$10-$12,,Canal Room,NY,
03/03/2011,http://www.villagevoice.com/events/the-fast-romantics-the-liability-2406158/,The Fast Romantics+the Liability,105 Eldridge St.,New York,$7,,Fontana's,NY,
03/03/2011,http://www.villagevoice.com/events/the-get-up-kids-miniature-tigers-brian-bonz-2406073/,The Get Up Kids+Miniature Tigers+Brian Bonz,66 N. 6th St.,Brooklyn,sold out,,Music Hall of Williamsburg,NY,
03/03/2011,http://www.villagevoice.com/events/bobby-long-taurus-aaron-lee-tasjan-2406052/,Bobby Long+Taurus+Aaron Lee Tasjan,6 Delancey,New York,$15,,Bowery Ballroom,NY,
03/03/2011,http://www.villagevoice.com/events/madam-thrashy-netherlands-milk-and-blood-2411709/,Madam Thrashy+Netherlands+Milk & Blood,158 Ludlow St.,New York,$8,,Pianos,NY,
03/03/2011,http://www.villagevoice.com/events/melissa-auf-der-maur-the-shining-twins-leah-siegel-2406189/,Melissa Auf der Maur+the Shining Twins+Leah Siegel,431 W. 16th St.,New York,$12-$14,,Highline Ballroom,NY,
03/03/2011,http://www.villagevoice.com/events/red-baraat-sam-bardfelds-up-jumped-the-devil-2405999/,Red Baraat+Sam Bardfeld's Up Jumped the Devil,376 9th St.,Brooklyn,$10,,Barbes,NY,
03/03/2011,http://www.villagevoice.com/events/the-rex-complex-scream-along-with-billy-xylofaux-2412084/,The Rex Complex+Scream Along with Billy+Xylofaux,184 Bedford Ave.,Brooklyn,,,Spike Hill,NY,
03/03/2011,http://www.villagevoice.com/events/tennis-la-sera-holiday-shores-2406021/,Tennis+La Sera+Holiday Shores,149 7th St.,Brooklyn,$13-$15,,Bell House,NY,
03/03/2011,http://www.villagevoice.com/events/weyesblood-petrogenesis-2412096/,WEYESBLOOD+Petrogenesis,915 Wyckoff Ave.,Flushing,,,Silent Barn,NY,
03/03/2011,http://www.villagevoice.com/events/atomic-tom-2406008/,Atomic Tom,1039 Washington St.,Hoboken,$10,,Maxwell's,NJ,
03/03/2011,http://www.villagevoice.com/events/howard-fishman-the-dime-store-romeos-2406268/,Howard Fishman+the Dime Store Romeos,315 Columbia St.,Brooklyn,$10,,Jalopy Theatre,NY,
03/03/2011,http://www.villagevoice.com/events/ginas-picture-show-2405908/,Gina's Picture Show,93 Second Ave.,New York,$6,,Lit Lounge,NY,
03/03/2011,http://www.villagevoice.com/events/lavalier-rocketship-park-dj-misery-creep-2412109/,Lavalier+Rocketship Park+DJ Misery Creep,484 Union Ave.,Brooklyn,,,Union Pool,NY,
03/03/2011,http://www.villagevoice.com/events/shyvonne-party-supplies-recess-2411750/,Shyvonne+Party Supplies+Recess,125 Fifth Ave.,Brooklyn,$10-$12,,Southpaw,NY,
03/03/2011,http://www.villagevoice.com/events/sugar-and-gold-yip-deceiver-project-jenny-2412074/,Sugar & Gold+Yip Deceiver+Project Jenny,361 Metropolitan Ave.,Brooklyn,$10-$12,,Knitting Factory,NY,
03/03/2011,http://www.villagevoice.com/events/ikue-mori-sylvie-courvoisier-and-ned-rothenburg-2411778/,"Ikue Mori, Sylvie Courvoisier & Ned Rothenburg",Avenue C at East 2nd Street,New York,$10,,The Stone,NY,
03/03/2011,http://www.villagevoice.com/events/nation-beat-2411725/,Nation Beat,375 Third Ave.,New York,,,Rodeo Bar,NY,
03/03/2011,http://www.villagevoice.com/events/eli-paperboy-reed-and-the-true-loves-sister-anne-2412079/,Eli 'Paperboy' Reed & the True Loves+Sister Anne,361 Metropolitan Ave.,Brooklyn,$15,,Knitting Factory,NY,
03/04/2011,http://www.villagevoice.com/events/lets-zydeco-steve-riley-and-the-zydeco-playboys-2406134/,'Let's Zydeco: Steve Riley & the Zydeco Playboys',121 W. 45th St.,New York,,,Connolly's Pub,NY,
03/04/2011,http://www.villagevoice.com/events/downtown-music-festival-2411999/,'Downtown Music Festival',125 E. 11th St.,New York,$25,"With A-Trak, Art Brut, Lissie Trullie, and more.</p>",Webster Hall,NY,
03/04/2011,http://www.villagevoice.com/events/old-number-7-stanley-john-mitchell-and-his-band-of-buddies-2412134/,Old Number 7+Stanley John Mitchell & His Band of Buddies,159 E. Houston St.,New York,,,National Underground,NY,
03/04/2011,http://www.villagevoice.com/events/fellow-the-deceived-bound-by-substance-stoned-fire-2406046/,Fellow the Deceived+Bound By Substance+Stoned Fire,9 Great Jones,New York,$10,,Ace of Clubs,NY,
03/04/2011,http://www.villagevoice.com/events/master-strong-intention-lightning-swords-of-death-2406154/,Master+Strong Intention+Lightning Swords of Death,98-104 Meserole Ave.,Brooklyn,$15,,Europa Night Club,NY,
03/04/2011,http://www.villagevoice.com/events/nora-mccarthy-sings-the-music-of-dom-minasi-2406058/,'Nora McCarthy Sings the Music Of Dom Minasi',34 W. 22nd St.,New York,$20,,Metropolitan Room,NY,
03/04/2011,http://www.villagevoice.com/events/elliott-sharp-2406254/,Elliott Sharp,232 3rd St.,Brooklyn,$50-$250,,Issue Project Room  110 Livingston,NY,
03/04/2011,http://www.villagevoice.com/events/black-taxi-tv-tv-2406028/,Black Taxi+TV/TV,217 E. Houston St.,New York,$10,,Mercury Lounge,NY,
03/04/2011,http://www.villagevoice.com/events/kirsten-holly-2405839/,Kirsten Holly,425 Lafayette St.,New York,$15,Singing Dusty Springfield.</p>,Joe's Pub,NY,
03/04/2011,http://www.villagevoice.com/events/aki-onda-and-mv-carbon-2406295/,Aki Onda & MV Carbon,466 Grand St.,New York,$10,,Abrons Arts Center,NY,
03/04/2011,http://www.villagevoice.com/events/astronautalis-sims-wahoo-skiffle-crazies-2412124/,Astronautalis+Sims+Wahoo Skiffle Crazies,249 4th Avenue,Brooklyn,$10,,The Rock Shop,NY,
03/04/2011,http://www.villagevoice.com/events/conspirator-marc-and-aron-the-disco-biscuits-2406177/,Conspirator+Marc & Aron+the Disco Biscuits,127 E. 23rd St.,New York,$25,,Gramercy Theater,NY,
03/04/2011,http://www.villagevoice.com/events/the-delfonics-2405988/,The Delfonics,237 W. 42nd St.,New York,$26-$30,,B.B. King Blues Club & Grill,NY,
03/04/2011,http://www.villagevoice.com/events/dinosaur-feathers-motel-motel-shark--2406101/,Dinosaur Feathers+Motel Motel+Shark?,152 Ludlow St.,New York,$7,,Cake Shop,NY,
03/04/2011,http://www.villagevoice.com/events/dum-dum-girls-frankie-rose-and-the-outs-minks-2406054/,Dum Dum Girls+Frankie Rose & the Outs+MINKS,6 Delancey,New York,$13-$15,,Bowery Ballroom,NY,
03/04/2011,http://www.villagevoice.com/events/esben-and-the-witch-josh-t-pearson-2406022/,Esben & the Witch+Josh T. Pearson,149 7th St.,Brooklyn,$12,,Bell House,NY,
03/04/2011,http://www.villagevoice.com/events/the-hellfish-waiting-for-bobby-sons-of-jove-2411901/,The Hellfish+Waiting for Bobby+Sons of Jove,256 Grand St.,Brooklyn,$8,,The Trash Bar,NY,
03/04/2011,http://www.villagevoice.com/events/life-in-a-blender-gato-loco-2406000/,Life in a Blender+Gato Loco,376 9th St.,Brooklyn,$10,,Barbes,NY,
03/04/2011,http://www.villagevoice.com/events/the-new-collisions-the-fast-romantics-boss-charles-2411984/,The New Collisions+the Fast Romantics+Boss Charles,702 Union St.,Brooklyn,$8,,Union Hall,NY,
03/04/2011,http://www.villagevoice.com/events/noxious-foxes-i-love-monsters-gold-streets-2412086/,Noxious Foxes+I Love Monsters+Gold Streets,184 Bedford Ave.,Brooklyn,,,Spike Hill,NY,
03/04/2011,http://www.villagevoice.com/events/super-mirage-wormburner-medals-2411710/,Super Mirage+Wormburner+Medals,158 Ludlow St.,New York,$10,,Pianos,NY,
03/04/2011,http://www.villagevoice.com/events/watermelon-sonic-roses-my-summer-2406160/,Watermelon+Sonic Roses+My Summer,105 Eldridge St.,New York,$8,,Fontana's,NY,
03/04/2011,http://www.villagevoice.com/events/zoobombs-nymph-columboid-2412061/,Zoobombs+Nymph+Columboid,245 Grand Street,Brooklyn,,,Bruar Falls,NY,
03/04/2011,http://www.villagevoice.com/events/zs-black-crown-ceremony-pc-worship-2412098/,Zs+Black Crown Ceremony+PC Worship,915 Wyckoff Ave.,Flushing,,,Silent Barn,NY,
03/04/2011,http://www.villagevoice.com/events/chocolate-bread-socratic-west-the-defender-2406009/,Chocolate Bread+Socratic+West the Defender,1039 Washington St.,Hoboken,$10,,Maxwell's,NJ,
03/04/2011,http://www.villagevoice.com/events/dr-john-and-the-lower-911-marco-benevento-high-and-mighty-brass-band-2411797/,Dr. John & the Lower 911+Marco Benevento+High & Mighty Brass Band,214 Sullivan St.,New York,$40-$45,,Sullivan Hall,NY,
03/04/2011,http://www.villagevoice.com/events/mr-dream-sleepies-fort-lean-2412043/,Mr. Dream+Sleepies+Fort Lean,289 Kent Ave.,Brooklyn,$8,,Glasslands Gallery,NY,
03/04/2011,http://www.villagevoice.com/events/rick-ross-2412106/,Rick Ross,1515 Broadway,New York,sold out,,Best Buy Theatre Times Square,NY,
03/04/2011,http://www.villagevoice.com/events/onra-buddy-sativa-sadat-x-2412075/,Onra+Buddy Sativa+Sadat X,361 Metropolitan Ave.,Brooklyn,$15-$17,,Knitting Factory,NY,
03/04/2011,http://www.villagevoice.com/events/paint-it-black-punch-iron-chic-2412019/,Paint It Black+Punch+Iron Chic,49 S. 2nd St.,Brooklyn,sold out,,Death By Audio,NY,
03/04/2011,http://www.villagevoice.com/events/red-clay-2406293/,Red Clay,200 Hudson St.,New York,$10,,92Y Tribeca,NY,
03/04/2011,http://www.villagevoice.com/events/soft-skin-poly-morphines-dead-sexy-sheila-2405914/,Soft Skin+Poly Morphines+Dead Sexy Sheila,93 Second Ave.,New York,$6,,Lit Lounge,NY,
03/04/2011,http://www.villagevoice.com/events/stephane-wrembel-2406269/,Stephane Wrembel,315 Columbia St.,Brooklyn,$10,,Jalopy Theatre,NY,
03/04/2011,http://www.villagevoice.com/events/zongo-junction-mokaad-thought-2411765/,Zongo Junction+Mokaad+Thought,125 Fifth Ave.,Brooklyn,$10,,Southpaw,NY,
03/05/2011,http://www.villagevoice.com/events/the-seedy-seeds-medals-2411986/,The Seedy Seeds+Medals,702 Union St.,Brooklyn,$7,,Union Hall,NY,
03/05/2011,http://www.villagevoice.com/events/wild-flag-yellowfever-2412125/,Wild Flag+YellowFever,249 4th Avenue,Brooklyn,sold out,,The Rock Shop,NY,
03/05/2011,http://www.villagevoice.com/events/bamboo-2411803/,Bamboo,214 Sullivan St.,New York,$10,,Sullivan Hall,NY,
03/05/2011,http://www.villagevoice.com/events/chester-river-runoff-2406270/,Chester River Runoff,315 Columbia St.,Brooklyn,$10,,Jalopy Theatre,NY,
03/05/2011,http://www.villagevoice.com/events/rhythm-bound-2411727/,Rhythm Bound,375 Third Ave.,New York,,,Rodeo Bar,NY,
03/06/2011,http://www.villagevoice.com/events/lets-zydeco-c-j-chemier-and-the-red-hot-louisiana-band-2406135/,'Let's Zydeco: C.J. Chemier & the Red Hot Louisiana Band',121 W. 45th St.,New York,,,Connolly's Pub,NY,
