ticketPhone,title,website,moreInfoLink,from,tickets,latitude,times,to,description,venue,address,city,state,image,zipcode,longitude,email
(916) 773 5533,Art Studio Trek: Art and Chocolate,http://www.artstudiotrek.com,http://www.sacramento365.com/event/detail/441166921/Art_Studio_Trek_Art_and_Chocolate,,Free,38.736199,Sat &amp;&nbsp;Sun 10am-5pm,,"Come out to the 5th Anniversary of Art Studio Trek! Enjoy the combined efforts of 19 artists at 13 studio locations in the Roseville, Rocklin, and Granite Bay area. Celebrate this free weekend event and share in the artists&rsquo; personal creative endeavors. There will be a vast array of talent, art, and even an opportunity for you, the guest! Visitors will be eligible for door prizes and original art. It will be a time of creative celebration in this artist community as artists demonstrate art techniques and offer their artwork for sale.</p> <p>Download a map.</p>			</p>    			<br><br>",Art Studio Trek,1408 Tiffany Circle,Roseville,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441166921/image_for_email_medium.jpg,95661,-121.266026,dengellenner@hotmail.com
(916) 920-2791,The Administrative Education Forum,http://adminprofessionals.net,http://www.sacramento365.com/event/detail/441171909/The_Administrative_Education_Forum,04/28/2011,,38.6194471,Thurs 8am-4:30pm,04/28/2011,"The Administrative Education&nbsp;Forum is an educational and networking forum for administrative assistants, executive assistants, office managers, human resource, and all office professionals.  Includes keynote speaker, workshops, vendor expo, and more.  Presented in observance of Administrative Professionals Day and Administrative Professionals Week.</p>			</p>    			<br><br>",Patrick Hays Learning Center,3700 Gateway Oaks Drive,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441171909/administrative_education_forum_medium.png,95833,-121.5229908,info@iaap-sac.org
Tish Donahue: (916) 874-4576,Citizens Academy,http://www.sacda.org/assets/pdf/pr/advisories/Citizen's%20Academy_2011.pdf,http://www.sacramento365.com/event/detail/441151987/Citizens_Academy,,,38.521895,Tuesdays 6pm-8:30pm,,"Meet your public safety leaders, officials, officers and experts. Learn about racial profiling, gang and hate crimes, in-car cameras, internal affairs, &ldquo;three strikes&rdquo; and more. Lunch with judges, tour the county jail and communication center and see a taser demonstration.</p> <p>The Sacramento County District Attorney&rsquo;s Office, the Sacramento Police Department, and the Sacramento Sheriff&rsquo;s Department are proud to announce its 11th Citizens Academy course. In an effort to improve communication, relationships, and provide a better understanding between ethnic and cultural communities and the criminal justice system, District Attorney Jan Scully formed the Citizens Academy.</p> <p>Since the start of the academy in 2002, there have been ten graduating classes with more than 500 participants. In partnership with the Sacramento Police Department and Sacramento Sheriff&rsquo;s Department, Jan Scully has brought this program to the community to provide an overview of the criminal justice system (law enforcement roles, responsibilities, and challenges) and to engage citizens from all backgrounds in communication, participation and mutual learning about issues within the criminal justice system. The course continues to make a great impact on multicultural and multi-ethnic sensitivity within the criminal justice community.</p> <p>Representatives from the DA&rsquo;s office, the judiciary, public defense, law enforcement, and community organizations answer community questions, address their concerns and demonstrate a commitment to building, bridges between the criminal justice system and the various ethnic, racial and faith-based communities. Citizens Academy is hosted by the District Attorney&rsquo;s Office in partnership with the Sacramento Police Department, and Sacramento Sheriff&rsquo;s Department.</p>			</p>    			<br><br>",Sacramento Police Department,5770 Freeport Blvd.,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441151987/district_attorney_office_medium.jpg,95822,-121.499014,donahuet@sacda.org
(650) 365-0621,ZinFest Wine Festival,http://www.zinfest.com/wine-festival,http://www.sacramento365.com/event/detail/441164879/ZinFest_Wine_Festival,05/14/2011,,38.146278,Sat Noon-6pm,05/14/2011,"Sip, swirl, and savor from a selection of 250 handcrafted wines from 50 Lodi wineries. Enjoy local provisions, the ZinFest Wine &amp; Cooking school, or relax along the beautiful Mokelumne River to an eclectic mix of live music. Peruse merchandise from regional vendors and take home a commemorative bottle of custom blended Old Vine Zinfandel from the ZinFest Wine Shoppe. There is no better way to celebrate the fantastic wines of Lodi Wine Country!</p>			</p>    			<br><br>",Lodi Lake Park,1101-1301 W. Turner Road,Lodi,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441164879/zinfest_lodi_medium.jpg,95240,-121.292852,
(916) 207-5606,The Lower Room,http://www.actorsworkshop.net/,http://www.sacramento365.com/event/detail/441172079/The_Lower_Room,,,38.670986,Thurs-Sat 7pm,,"The Lower Room retells the story of Jesus&rsquo; passion through the eyes of those who were the last of the followers at the cross and the first at the tomb: women. It answers: What were women doing, feeling, and thinking while the men were gathered with Jesus in the Upper Room? Who knows? Perhaps they were gathered in the &ldquo;Lower Room.&rdquo;</p>			</p>    			<br><br>",T.H.E. Actors Workshop & Integral Theatre Company,800 Reading St.,Folsom,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441172079/lower_room_1200_bw_medium.jpg,95630,-121.176484,theactorsworkshop@gmail.com
(916) 234-3160,The Perfect Brunch,http://www.brendanovak.com,http://www.sacramento365.com/event/detail/441173011/The_Perfect_Brunch,05/14/2011,$40,38.791213,Sat 11am,05/14/2011,"Brunch for a cause!&nbsp; Presented by Mercedes-Benz of Rocklin &amp; Arden Hills Resort Club &amp; Spa with support from Arden Fair Mall, join&nbsp;New York Times &amp; USA Today best-selling author Brenda Novak for a delicious buffet brunch--complete with bottomless mimosas--prepared by Bistro 33 of Rocklin, all to benefit the Diabetes Research Institute!&nbsp;</p> <p>Guests who attend &ldquo;The Perfect Brunch&rdquo; will receive swag bags filled with specialty items (while supplies last) and a personally autographed copy of a Brenda Novak romantic suspense novel. Plus, guests will enjoy complimentary chair massages performed by expertly trained staff from Arden Hills Resort Club &amp; Spa and can enter a raffle for the chance to win an 18k pave diamond ring valued at $3,500.</p> <p>Don't miss this chance to spend a &ldquo;perfect&rdquo; afternoon with your family and friends while making a difference to those suffering from diabetes.</p>			</p>    			<br><br>",Bistro 33- Rocklin,4747 Granite Drive,Rocklin,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441173011/brendanovak_medium.jpg,95677,-121.220403,trcusack@yahoo.com
(916) 376-4676,River Cats Opening Night,http://www.raleyfield.com/event-detail.php?id=61&title=River+Cats+Opening+Night,http://www.sacramento365.com/event/detail/441147351/River_Cats_Opening_Night,04/07/2011,$7+,38.580434,Thurs 7:05pm,04/07/2011,"The Sacramento River Cats open their 12th season in West Sacramento against the Tacoma Rainiers. Sacramento is shooting for its fifth consecutive division title and 10th in 12 seasons. Over their first 11 seasons, the River Cats have produced Major League Baseball greats such as Cy Young Award winner Barry Zito, All-Star Nick Swisher, and Rookie of the Year Huston Street.</p> <p>&nbsp;</p>			</p>    			<br><br>",Raley Field,400 Ball Pallpark Drive,West Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441147351/river_cats_medium.jpg,95691,-121.513553,raleyfield@rivercats.com
(916) 264-2920,Terrific Terrariums with Ms. Ladybug,http://www.saclibrary.org/?pageId=647,http://www.sacramento365.com/event/detail/441198597/Terrific_Terrariums_with_Ms_Ladybug,04/07/2011,Free,38.391758,Thurs 3:30pm-4:30pm,04/07/2011,"Dig in to this hands-on gardening event!  A terrarium is a biosphere, a miniature garden grown inside a closed container.  Ms. Ladybug will teach you how to make your own terrarium out of recycled materials &ndash; take it home and watch your plants grow!</p>			</p>    			<br><br>",Franklin Community Library,10055 Franklin High Road,Elk Grove,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441198597/terrarium_medium.jpg,95757,-121.43152,
(916) 443-1927,Northern Lights,http://www.nakedcoffee.net/espresso/?page_id=11,http://www.sacramento365.com/event/detail/441199385/Northern_Lights,,,38.58234,Thurs 8:30pm,,"Enjoy performances by Northern&nbsp;Lights, Buddy Sahagan, and A Street Named Hell.</p>			</p>    			<br><br>",Naked Lounge - Downtown,1111 H Street,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441199385/naked_lounge_medium.jpg,95814,-121.490711,
(916) 446-9777,Patrick Ardell: Solo Exhibition,,http://www.sacramento365.com/event/detail/441088789/Patrick_Ardell_Solo_Exhibition,,Free,38.578889,Mon-Sat Noon-9pm,,"Patrick Ardell, a&nbsp;Sacramento State&nbsp;Fine Arts graduate, will present his solo exhibition of large-scale paintings depicting gritty urban landscapes and glamorous denizens.</p>			</p>    			<br><br>",Sub-Q Piercing & Tattoo,1715 I Street,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441088789/sub_q_medium.jpg,95811,-121.482816,
(916) 444-3137,Real (Funny) Housewives of Rio Linda,http://saccomedyspot.com/real-funny-housewives-of-rio-linda/,http://www.sacramento365.com/event/detail/441164381/Real_Funny_Housewives_of_Rio_Linda,04/08/2011,&nbsp;,38.576353,Fri 9pm,04/08/2011,"Some of the funniest comics on the planet in one fantastic show!  All women comics covering topics everyone will find hilarious--guys included.</p> <p>The Real (Funny) Housewives are: Cheryl The Soccer Mom, Kimmie Kay, Kristen Frisk, Sinderella, Stephanie Garcia.<br> </p>			</p>    			<br><br>",Sacramento Comedy Spot,1050 20th Street,Suite 130<br />						Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441164381/real_funny_housewives_riolinda_medium.jpg,95811,-121.48025,laugh@saccomedyspot.com
,Down Battle Mountain Tour,http://www.aceofspadessac.com/,http://www.sacramento365.com/event/detail/441173285/Down_Battle_Mountain_Tour,,,38.5698837,Fri 5pm,,"The Down&nbsp;Battle Mountain&nbsp;Tour features performances by Dance Gavin Dance, I&nbsp;Wrestled a Bear Once,&nbsp;In Fear &amp;&nbsp;Faith, Close to Home, Just Like Vinyl, and a DJ&nbsp;set by Big Chocolate.</p> <p>&nbsp;</p>			</p>    			<br><br>",Ace of Spades (formerly Venue Nightclub),1417 R St.,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441173285/downbattlemountain_medium.jpg,95811,-121.4909482,
(916) 482-6111,Movie Night Pajama-Rama,http://www.ardenhills.net,http://www.sacramento365.com/event/detail/441174105/Movie_Night_PajamaRama,04/08/2011,,38.588228,Fri 6pm,04/08/2011,"Get your kids ready for some movie viewing fun...it&rsquo;s Movie Night Pajama-Rama!  That&rsquo;s right, as part of a continuing monthly offering, kids ages 4 to 11 are invited to show up in their favorite PJs to watch movies on the big screen and enjoy popcorn, treats, and beverages.   Pillows, blankets, sleeping bags, and a stuffed animal are welcome, too.</p> <p>Parents are invited to enjoy the show as well or they can choose to dine at the adjacent Mangos Restaurant.</p>			</p>    			<br><br>",Arden Hills Resort Club & Spa,1220 Arden Hills Lane,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441174105/pajama_movie_night_medium.jpg,95864,-121.355821,trcusack@yahoo.com
(205) 877-9705,Little Debbie Million Smile Mission Tour,http://www.littledebbie.com/,http://www.sacramento365.com/event/detail/441177897/Little_Debbie_Million_Smile_Mission_Tour,04/08/2011,Free,38.5374604,Fri 10am-4pm,04/08/2011,"The Little Debbie Million Smile Mission will be handing out samples of new Little Debbie Cloud Cakes and much more! With an Airstream trailer-turned-Smile Studio, this event is hands-on, totally interactive, and fun for the whole family. The Smile Squad will take photos and video to become part of the national Little Debbie photo mosaic, and while you're there, register to win some really great prizes, including a 2011 Airstream Sport travel trailer, digital cameras, gift cards, Little Debbie snacks, and more!</p>			</p>    			<br><br>",Sacramento Zoo,Land Park Drive and Sutterville Road,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441177897/airstream_medium.jpg,95822,-121.5036417,
(530) 756-8763,2nd Friday ArtAbout,http://davisdowntown.com/events/2nd-friday-artabout,http://www.sacramento365.com/event/detail/441197567/2nd_Friday_ArtAbout,04/08/2011,Free,,Fri 5:30pm~9pm,04/08/2011,"2nd Friday ArtAbout is a monthly evening of art viewing and artists&rsquo; receptions at galleries and businesses in Downtown Davis and beyond. All events are free and open to the public--many include a chance to meet and greet featured artists, enjoy refreshments, live music, art demos, and more. This month there are 25 participating venues with outdoor modern dance performances around Downtown as well.</p> <p>To get a schedule, which changes every 2nd Friday, visit here, or e-mail the address below. Also, download a map.</p>			</p>    			<br><br>",Downtown Davis,212 D Street,Davis,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441197567/artaboutlogosmall_medium.jpg,95616,,
(916) 443-1927,Camporia,http://www.nakedcoffee.net/espresso/?page_id=11,http://www.sacramento365.com/event/detail/441199393/Camporia,,,38.58234,Fri 8:30pm,,"Nick Tidwell was writing songs and living in Sac, Nick Lipanovich was twiddling his thumbs and living in Sac. N. Tidwell contacted N. Lipanovich and they began to write songs and twiddle their thumbs together. Now they are the pop/acoustic/folk dup Camporia.</p> <p>Also performing:<br> Skout's&nbsp;Honor<br> Martin Purtill</p>			</p>    			<br><br>",Naked Lounge - Downtown,1111 H Street,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441199393/camporia_medium.jpg,95814,-121.490711,
(916) 355-7357,Local Author Fair,http://library.folsom.ca.us,http://www.sacramento365.com/event/detail/441151967/Local_Author_Fair,04/09/2011,Free,,Sat 1pm-4pm,04/09/2011,"Please join us for the 2nd annual Folsom Public Library Author Fair featuring keynote speaker Naida West, popular Sacramento area novelist and publisher.  This event also offers book sales and signing by local authors, networking opportunities, and refreshments.</p>			</p>    			<br><br>",Folsom Public Library,411 Stafford Street,Folsom,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441151967/writer_with_quill_pen_medium.jpg,95630,,
(916) 808-8815,Estate Planning Seminar with Mark S. Drobny,http://saczoo.org,http://www.sacramento365.com/event/detail/441104267/Estate_Planning_Seminar_with_Mark_S_Drobny,04/09/2011,,38.5374604,Sat 10am-Noon,04/09/2011,"This free, informative seminar will navigate through a jungle of topics presented by local attorney Mark S. Drobny, California State Bar Certified Legal Specialist in Estate Planning, Trust and Probate Law. Mr. Drobny is widely regarded as one of the top experts on estate planning, providing information on a variety of topics in an entertaining manner that will help you design a plan that fits your needs.</p>			</p>    			<br><br>",Sacramento Zoo,Land Park Drive and Sutterville Road,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441104267/logo-saczoosociety-green_medium.jpg,95822,-121.5036417,
(916) 489-7529,The Phantom Cat of the Chautauqua Theatre,http://www.cplayhouse.org/,http://www.sacramento365.com/event/detail/441129135/The_Phantom_Cat_of_the_Chautauqua_Theatre,,,38.631899,Saturdays Noon &amp;&nbsp;2pm,,"Strange doings at the Chautauqua Theatre!  New owners are there, but they find that the Phantom Cat considers himself the owner!</p> <p>&nbsp;</p>			</p>    			<br><br>",Chautauqua Playhouse,5325 Engle Rd.,Carmichael,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441129135/phantom_cat_chautauqua_medium.jpg,,-121.339949,tickets@cplayhouse.org
(916) 457-RCTC,Seussical: The Musical,http://www.rivercitytheatre.org/,http://www.sacramento365.com/event/detail/441129614/Seussical_The_Musical,,,38.541481,Fridays 7:30pm,,"Seussical is a fantastical, magical, musical extravaganza! Tony winners Lynn Ahrens and Stephen Flaherty (Ragtime, Once On This Island) have lovingly brought to life all of our favorite Dr. Seuss characters, including Horton the Elephant, The Cat in the Hat, Gertrude McFuzz, lazy Mayzie, and a little boy with a big imagination--Jojo. &quot;Oh, the Thinks You Can Think&quot; captures the show's spirit of imagination, as the colorful characters transport us from the Jungle of Nool to the Circus McGurkus to the invisible world of the Whos.</p> <p>This event takes place in the Hiram Johnson&nbsp;High&nbsp;School Auditorium.</p>			</p>    			<br><br>",Hiram Johnson High School,6879 14th Ave.,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441129614/seussical_rivercity_medium.jpg,95820,-121.425441,
(916) 489-4918,Guided Nature Walk: Spring Nature Hike,http://www.sacnaturecenter.net/guidednaturewalk.html,http://www.sacramento365.com/event/detail/441171681/Guided_Nature_Walk_Spring_Nature_Hike,04/09/2011,,38.6175477,Sat 10:30am,04/09/2011,"Enjoy the treasures of the spring season with a naturalist led hike through the Nature Preserve to discover butterflies, flowers, and nesting birds.</p>			</p>    			<br><br>",Effie Yeaw Nature Center,2850 San Lorenzo Way,Carmichael,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441171681/effie_yeaw_logo_medium.jpg,95608,-121.3115213,eync@saccounty.net
Heera (916) 686-5785 or Rajani (916) 218-2778,Bollywood Hungama 2011,http://www.sangeetbharati.org,http://www.sacramento365.com/event/detail/441172807/Bollywood_Hungama_2011,04/09/2011,,38.4412179,Sat 5:30pm-9pm,04/09/2011,"Enjoy Bollywood dances and songs, Antakshari with the audience, learn the steps to a Bollywood dance, raffle prizes, and dancing to famous Bollywood tunes with DJ.</p>			</p>    			<br><br>",Roy Herburger Elementary School,8670 Maranello Drive,Elk Grove,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441172807/bollywood_09_121_medium.jpg,95624,-121.3926929,sangeetbharati@hotmail.com
,Super Diamond,http://www.aceofspadessac.com/,http://www.sacramento365.com/event/detail/441173289/Super_Diamond,,,38.5698837,Sat 8pm,,"When your parents popped in a Neil Diamond tape on repeat during long interstate road trips, you reluctantly sang along. Never thought you'd turn out to be a Diamond fan now, right? But singing along to &quot;Sweet Caroline&quot; and &quot;Brother Love's Traveling Salvation Show&quot; is so addictive now, you'd do anything to see Neil on stage. A band out of San Francisco can put a rest to that Diamond thirst. Super Diamond delivers a high-octane Diamond tribute show that rocks!</p>			</p>    			<br><br>",Ace of Spades (formerly Venue Nightclub),1417 R St.,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441173289/super_diamond_medium.jpg,95811,-121.4909482,
(916) 608-6888,Sacramento Ballet: Peter and the Wolf,https://www.threestages.net/Online/default.asp?doWork::WScontent::loadArticle=Load&BOparam::WScontent::loadArticle::article_id=4F24CCA4-C139-4819-8875-F28366731AC2,http://www.sacramento365.com/event/detail/441173679/Sacramento_Ballet_Peter_and_the_Wolf,04/09/2011,,38.662598,Sat 2pm,04/09/2011,"A perfect introduction to dance for the kids or for the whole family! Accompany the dancers on a journey of pure imagination into a fantasy world where any and all things can happen. What do Swan Queens, Cheshire Cats, and Fairy Tale Characters have in common? Tune in and discover a whole new world of fun and adventure.</p> <p>After the &nbsp;fun and informative Discover Dance performance, Sacramento Ballet presents their ever-popular (and sell out) show, Peter &amp; The Wolf, the world's most famous children's ballet. Celebrity Guest, Donna Apidone from Capital Public Radio, will narrate the charming tale choreographed by Ron Cunningham to the delightful music of Sergei Prokofiev. Join Peter, Cat, and Bird as they capture the big bad Wolf and take him to the zoo! Get your tickets early and don&rsquo;t forget to bring your camera.<br> <br> One of California&rsquo;s foremost dance companies, the Sacramento Ballet makes its Three Stages debut as part of their 2010-11 season, Coloring Outside the Lines. From creative virtuosity to pure, unadulterated fun&mdash;&ldquo;joyous, life-affirming, graceful and athletic&hellip;&rdquo; (Sacramento Bee)&mdash;seeing one performance will inspire you to see all three.</p>			</p>    			<br><br>",Three Stages Performing Arts Center,10 College Parkway,Folsom,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441173679/discoverdance_2010_72dpi_medium.jpeg,95630,-121.126932,ticketoffice@threestages.net
(916) 447-4956,Return of the Swainson's Hawk Celebration,http://www.swainsonshawk.org,http://www.sacramento365.com/event/detail/441179265/Return_of_the_Swainsons_Hawk_Celebration,04/09/2011,Free,38.5844119,Sat 9am,04/09/2011,"Enjoy a presentation with  California Raptor Center on Swainson&rsquo;s Hawk with live Swainson&rsquo;s Hawks at 9am sharp. Refreshments and information booths will be onsite. A&nbsp;guided nature walk and birdwatching on the American River Parkway will be fun for the whole family.</p> <p>Sponsors: Friends of the Swainson&rsquo;s Hawk, Sacramento Audubon Society, Friends of the River Bank, and Save the American River Association.</p>			</p>    			<br><br>",Sutter's Landing Regional Park,20 28th Street,Sacramento,CA,http://www.sacramento365.com/sites/sacramento365.com/images/event/441179265/grasshopper_medium.jpg,95816,-121.4646251,swainsonshawk@sbcglobal.net
